阿达日嘎,a'da'ri'ga
唐家窑,tang'jia'yao
陶瓷厂,tao'ci'chang
陶海,tao'hai
套海,tao'hai
陶家坑,tao'jia'keng
陶来,tao'lai
陶勒,tao'le
陶力,tao'li
陶仁,tao'ren
陶湾,tao'wan
特步,te'bu
特尔斯,te'er'si
特斯格,te'si'ge
腾格里沙漠,teng'ge'li'sha'mo
天草,tian'cao
天池湾,tian'chi'wan
天生场,tian'sheng'chang
天生园,tian'sheng'yuan
甜水井,tian'shui'jing
天天好大药房,tian'tian'hao'da'yao'fang
天主堂,tian'zhu'tang
条龙,tiao'long
铁厂,tie'chang
铁格,tie'ge
铁矿沟,tie'kuang'gou
铁魁,tie'kui
停车场,ting'che'chang
通格图,tong'ge'tu
通呼,tong'hu
头道沟,tou'dao'gou
头道拐,tou'dao'guai
头关,tou'guan
土沟,tu'gou
土井子,tu'jing'zi
图克木,tu'ke'mu
图克木庙,tu'ke'mu'miao
图来图,tu'lai'tu
土圈,tu'quan
土圈梁,tu'quan'liang
图日根,tu'ri'gen
土山子,tu'shan'zi
土湾,tu'wan
团山子,tuan'shan'zi
瓦窑,wa'yao
洼子,wa'zi
湾门,wan'men
王家,wang'jia
王家井,wang'jia'jing
王家圈,wang'jia'quan
王陵公园,wang'ling'gong'yuan
王生玉,wang'sheng'yu
王思利,wang'si'li
旺源宾馆,wang'yuan'bin'guan
围沟,wei'gou
魏家,wei'jia
魏家梁,wei'jia'liang
魏金山,wei'jin'shan
为民医院,wei'min'yi'yuan
魏占山,wei'zhan'shan
温纯,wen'chun
温都日呼,wen'dou'ri'hu
文教招待所,wen'jiao'zhao'dai'suo
温馨超市,wen'xin'chao'shi
温馨花园,wen'xin'hua'yuan
温州商城,wen'zhou'shang'cheng
乌德,wu'de
乌尔,wu'er
乌尔特,wu'er'te
乌尔图,wu'er'tu
五个疙瘩,wu'ge'ge'da
五个头,wu'ge'tou
五号,wu'hao
五棵树,wu'ke'shu
乌拉沟,wu'la'gou
乌兰,wu'lan
乌兰敖包,wu'lan'ao'bao
乌兰布和沙漠,wu'lan'bu'he'sha'mo
乌兰额日格,wu'lan'e'ri'ge
乌兰恩格,wu'lan'en'ge
乌兰哈达,wu'lan'ha'da
乌兰呼都格,wu'lan'hu'dou'ge
乌兰呼舒,wu'lan'hu'shu
乌兰矿,wu'lan'kuang
乌兰淖尔,wu'lan'nao'er
乌兰诺尔,wu'lan'nuo'er
乌兰泉吉,wu'lan'quan'ji
乌兰苏海,wu'lan'su'hai
乌兰陶勒盖,wu'lan'tao'le'gai
乌兰乌拉,wu'lan'wu'la
乌勒图,wu'le'tu
乌力,wu'li
乌力吉苏木,wu'li'ji'su'mu
乌力吉图,wu'li'ji'tu
乌力图,wu'li'tu
乌努格其,wu'nu'ge'qi
五七大学,wu'qi'da'xue
五千米,wu'qian'mi
无人城,wu'ren'cheng
乌日金,wu'ri'jin
乌日图,wu'ri'tu
乌日图高勒,wu'ri'tu'gao'le
乌赛,wu'sai
乌斯图,wu'si'tu
乌苏木,wu'su'mu
乌苏图,wu'su'tu
乌素图,wu'su'tu
乌套海,wu'tao'hai
梧桐沟,wu'tong'gou
梧桐树,wu'tong'shu
希贝,xi'bei
西北宾馆,xi'bei'bin'guan
西别,xi'bie
希勃,xi'bo
希博,xi'bo
希勃图,xi'bo'tu
西岔沟,xi'cha'gou
西大地,xi'da'di
西大滩,xi'da'tan
西道沟,xi'dao'gou
西戈壁,xi'ge'bi
西沟,xi'gou
西沟梁,xi'gou'liang
西沟门,xi'gou'men
西沟子,xi'gou'zi
西关村,xi'guan'cun
西关队,xi'guan'dui
喜桂,xi'gui
喜桂图,xi'gui'tu
习家,xi'jia
西井,xi'jing
西井田,xi'jing'tian
希尼呼都格,xi'ni'hu'dou'ge
喜鹊沟,xi'que'gou
希热图,xi're'tu
西山头,xi'shan'tou
西滩,xi'tan
洗羊,xi'yang
细腰子,xi'yao'zi
西域宾馆,xi'yu'bin'guan
西远,xi'yuan
下井,xia'jing
夏勒,xia'le
下圈,xia'quan
下泉,xia'quan
下圈子,xia'quan'zi
下田,xia'tian
夏图,xia'tu
咸水沟,xian'shui'gou
咸水井,xian'shui'jing
向德,xiang'de
向东山,xiang'dong'shan
向阳庄,xiang'yang'zhuang
箱子特,xiang'zi'te
小敖包,xiao'ao'bao
小板石,xiao'ban'shi
小北沟,xiao'bei'gou
硝场,xiao'chang
小跌水,xiao'die'shui
小东沟,xiao'dong'gou
小房子,xiao'fang'zi
小沟,xiao'gou
小孤山,xiao'gu'shan
小黑道,xiao'hei'dao
小红疙瘩,xiao'hong'ge'da
小红坑,xiao'hong'keng
小红山,xiao'hong'shan
小黄山,xiao'huang'shan
小豁豁,xiao'huo'huo
小井子,xiao'jing'zi
小口子,xiao'kou'zi
小木头沟,xiao'mu'tou'gou
小寺寺,xiao'si'si
小松山,xiao'song'shan
小塔塔,xiao'ta'ta
小台子,xiao'tai'zi
小田,xiao'tian
小湾,xiao'wan
小西沟,xiao'xi'gou
小窑,xiao'yao
小榆树,xiao'yu'shu
小照子,xiao'zhao'zi
谢仁,xie'ren
新春超市,xin'chun'chao'shi
新房子,xin'fang'zi
新华百货大楼,xin'hua'bai'huo'da'lou
新华工商所,xin'hua'gong'shang'suo
新华书店,xin'hua'shu'dian
新华影楼,xin'hua'ying'lou
新井,xin'jing
新世纪宾馆,xin'shi'ji'bin'guan
新世纪大药房,xin'shi'ji'da'yao'fang
新世纪广场,xin'shi'ji'guang'chang
新泰河,xin'tai'he
新乌苏,xin'wu'su
新鑫宾馆,xin'xin'bin'guan
星河大酒店,xing'he'da'jiu'dian
杏树梁,xing'shu'liang
许家,xu'jia
徐家,xu'jia
徐家沟,xu'jia'gou
徐兴涛,xu'xing'tao
薛家,xue'jia
学校农场,xue'xiao'nong'chang
雅布赖山,ya'bu'lai'shan
雅布赖盐场,ya'bu'lai'yan'chang
雅布赖镇,ya'bu'lai'zhen
雅干,ya'gan
雅戈尔,ya'ge'er
雅染,ya'ran
牙仁,ya'ren
雅斯图,ya'si'tu
牙腾,ya'teng
丫头沟,ya'tou'gou
丫丫庙,ya'ya'miao
延安站,yan'an'zhan
盐城宾馆,yan'cheng'bin'guan
延福寺,yan'fu'si
闫家道,yan'jia'dao
延寿寺,yan'shou'si
阎王鼻子,yan'wang'bi'zi
阳光酒店,yang'guang'jiu'dian
阳光美食城,yang'guang'mei'shi'cheng
杨家圈,yang'jia'quan
羊路沟,yang'lu'gou
阳湾沟,yang'wan'gou
腰坝滩,yao'ba'tan
窑洞沟,yao'dong'gou
窑沟,yao'gou
窑湾,yao'wan
叶家,ye'jia
野马沟,ye'ma'gou
野马泉,ye'ma'quan
以纯,yi'chun
一撮毛,yi'cuo'mao
一道沟,yi'dao'gou
意尔康,yi'er'kang
一号,yi'hao
一号井,yi'hao'jing
一号山,yi'hao'shan
伊和高勒,yi'he'gao'le
伊和乌苏,yi'he'wu'su
伊和乌素,yi'he'wu'su
伊克尔,yi'ke'er
一棵树,yi'ke'shu
一棵树山,yi'ke'shu'shan
伊克乌苏,yi'ke'wu'su
一零二,yi'ling'er
一零三,yi'ling'san
一零四,yi'ling'si
一零五,yi'ling'wu
益民大药房,yi'min'da'yao'fang
一平,yi'ping
一万米,yi'wan'mi
一笑堂大药房,yi'xiao'tang'da'yao'fang
伊韵儿,yi'yun'er
一中农场,yi'zhong'nong'chang
阴山坡,yin'shan'po
英格图,ying'ge'tu
营盘山,ying'pan'shan
莹石矿,ying'shi'kuang
樱桃沟,ying'tao'gou
鹰窝沟,ying'wo'gou
鹰窝山,ying'wo'shan
永昌加油站,yong'chang'jia'you'zhan
永康药店,yong'kang'yao'dian
邮电宾馆,you'dian'bin'guan
油房沟,you'fang'gou
育肥场,yu'fei'chang
与狼共舞,yu'lang'gong'wu
玉石山,yu'shi'shan
榆树沟,yu'shu'gou
榆树沟门,yu'shu'gou'men
榆树井,yu'shu'jing
榆树梁,yu'shu'liang
元房子,yuan'fang'zi
元山,yuan'shan
元山子,yuan'shan'zi
圆锥山,yuan'zhui'shan
岳家井,yue'jia'jing
月牙山,yue'ya'shan
枣树梁,zao'shu'liang
则日,ze'ri
曾家田,zeng'jia'tian
扎德盖,zha'de'gai
扎腊,zha'la
扎拉,zha'la
扎拉特,zha'la'te
扎拉图,zha'la'tu
扎马,zha'ma
窄沟,zhai'gou
张家,zhang'jia
张家房,zhang'jia'fang
张家沟,zhang'jia'gou
张家梁,zhang'jia'liang
掌心子,zhang'xin'zi
赵德高,zhao'de'gao
召和,zhao'he
赵家,zhao'jia
折腰山,zhe'yao'shan
折腰子,zhe'yao'zi
正沟,zheng'gou
直沟,zhi'gou
蜘蛛王,zhi'zhu'wang
种畜场,zhong'chu'chang
中沟,zhong'gou
钟古来,zhong'gu'lai
钟家圈,zhong'jia'quan
中井,zhong'jing
中凯集团,zhong'kai'ji'tuan
中口子,zhong'kou'zi
中梁,zhong'liang
中圈,zhong'quan
中泉子,zhong'quan'zi
中滩,zhong'tan
周家,zhou'jia
周家田,zhou'jia'tian
珠和,zhu'he
朱家圈,zhu'jia'quan
珠斯楞,zhu'si'leng
转咀子,zhuan'ju'zi
砖瓦厂,zhuan'wa'chang
转运站,zhuan'yun'zhan
总口子,zong'kou'zi
