爱思所牵引,ai'si'suo'qian'yin
若增减增故,ruo'zeng'jian'zeng'gu
若执非自类,ruo'zhi'fei'zi'lei
散灭皆成无,san'mie'jie'cheng'wu
三因生非有,san'yin'sheng'fei'you
色等亦分支,se'deng'yi'fen'zhi
善修即正见,shan'xiu'ji'zheng'jian
少生之本性,shao'sheng'zhi'ben'xing
设彼差别者,she'bi'cha'bie'zhe
设非自灭性,she'fei'zi'mie'xing
设见远为量,she'jian'yuan'wei'liang
设若根无有,she'ruo'gen'wu'you
设若贪有过,she'ruo'tan'you'guo
设若依彼过,she'ruo'yi'bi'guo
设谓火灭时,she'wei'huo'mie'shi
设谓见贪生,she'wei'jian'tan'sheng
设谓虽转依,she'wei'sui'zhuan'yi
设谓与彼同,she'wei'yu'bi'tong
设谓与之同,she'wei'yu'zhi'tong
设谓醉等力,she'wei'zui'deng'li
设许一切事,she'xu'yi'qie'shi
设遇灭因前,she'yu'mie'yin'qian
设执德是支,she'zhi'de'shi'zhi
设自种子果,she'zi'zhong'zi'guo
身次第成识,shen'ci'di'cheng'shi
身等失念等,shen'deng'shi'nian'deng
身若安住时,shen'ruo'an'zhu'shi
身体无增减,shen'ti'wu'zeng'jian
身体之能力,shen'ti'zhi'neng'li
身心亦如是,shen'xin'yi'ru'shi
身亦应具德,shen'yi'ying'ju'de
身有违品故,shen'you'wei'pin'gu
身语意之染,shen'yu'yi'zhi'ran
生爱而束缚,sheng'ai'er'shu'fu
生故称为因,sheng'gu'cheng'wei'yin
生果即并存,sheng'guo'ji'bing'cun
生过即兴起,sheng'guo'ji'xing'qi
生苦故如指,sheng'ku'gu'ru'zhi
生苦因即缚,sheng'ku'yin'ji'fu
胜麟角喻等,sheng'lin'jiao'yu'deng
生识用异故,sheng'shi'yong'yi'gu
胜外有无学,sheng'wai'you'wu'xue
生芽土水等,sheng'ya'tu'shui'deng
生因若彼无,sheng'yin'ruo'bi'wu
生余身之因,sheng'yu'shen'zhi'yin
是不退转性,shi'bu'tui'zhuan'xing
识成各相异,shi'cheng'ge'xiang'yi
事成则成立,shi'cheng'ze'cheng'li
识持彼法故,shi'chi'bi'fa'gu
视德而爱恋,shi'de'er'ai'lian
实法悲悯生,shi'fa'bei'min'sheng
识功能定故,shi'gong'neng'ding'gu
是够故为牛,shi'gou'gu'wei'niu
是故彼等生,shi'gu'bi'deng'sheng
是故差异成,shi'gu'cha'yi'cheng
是故成量性,shi'gu'cheng'liang'xing
是故非微尘,shi'gu'fei'wei'chen
是故互为果,shi'gu'hu'wei'guo
是故说此依,shi'gu'shuo'ci'yi
是故我所心,shi'gu'wo'suo'xin
是故无彼过,shi'gu'wu'bi'guo
是故行非思,shi'gu'xing'fei'si
是故亦成立,shi'gu'yi'cheng'li
是故一切事,shi'gu'yi'qie'shi
是故一切时,shi'gu'yi'qie'shi
是故于我贪,shi'gu'yu'wo'tan
失毁作受者,shi'hui'zuo'shou'zhe
逝即证义故,shi'ji'zheng'yi'gu
是见之理由,shi'jian'zhi'li'you
是量实合理,shi'liang'shi'he'li
是前无彼因,shi'qian'wu'bi'yin
识取境之法,shi'qu'jing'zhi'fa
是诠类聚别,shi'quan'lei'ju'bie
湿生等众生,shi'sheng'deng'zhong'sheng
识是正量性,shi'shi'zheng'liang'xing
世俗不承许,shi'su'bu'cheng'xu
是他彼之因,shi'ta'bi'zhi'yin
事体若不成,shi'ti'ruo'bu'cheng
时息多刹那,shi'xi'duo'cha'na
识亦应有别,shi'yi'ying'you'bie
是因不可得,shi'yin'bu'ke'de
是因非自在,shi'yin'fei'zi'zai
是因善作彼,shi'yin'shan'zuo'bi
是由见境德,shi'you'jian'jing'de
是由苦乐生,shi'you'ku'le'sheng
识证有别故,shi'zheng'you'bie'gu
识致改变故,shi'zhi'gai'bian'gu
是诸根之因,shi'zhu'gen'zhi'yin
手等动皆动,shou'deng'dong'jie'dong
受生于劣处,shou'sheng'yu'lie'chu
受用之所依,shou'yong'zhi'suo'yi
殊胜求其余,shu'sheng'qiu'qi'yu
殊胜智慧成,shu'sheng'zhi'hui'cheng
水等之所依,shui'deng'zhi'suo'yi
水银及金等,shui'yin'ji'jin'deng
说彼为常有,shuo'bi'wei'chang'you
说道不明余,shuo'dao'bu'ming'yu
说毫不可医,shuo'hao'bu'ke'yi
说教能解脱,shuo'jiao'neng'jie'tuo
说事之诸名,shuo'shi'zhi'zhu'ming
说所立遍因,shuo'suo'li'bian'yin
说无常知苦,shuo'wu'chang'zhi'ku
说意依于身,shuo'yi'yi'yu'shen
说有除数论,shuo'you'chu'shu'lun
说者能为境,shuo'zhe'neng'wei'jing
死毒等返故,si'du'deng'fan'gu
死致诸患退,si'zhi'zhu'huan'tui
随从何行心,sui'cong'he'xing'xin
随得而运用,sui'de'er'yun'yong
虽尔无离贪,sui'er'wu'li'tan
虽非他事物,sui'fei'ta'shi'wu
随他生起时,sui'ta'sheng'qi'shi
随行所立故,sui'xing'suo'li'gu
随有无所造,sui'you'wu'suo'zao
所生坏聚见,suo'sheng'huai'ju'jian
所修之智慧,suo'xiu'zhi'zhi'hui
所依不稳固,suo'yi'bu'wen'gu
所依此亦同,suo'yi'ci'yi'tong
所依令安住,suo'yi'ling'an'zhu
所依名因义,suo'yi'ming'yin'yi
所依齐全住,suo'yi'qi'quan'zhu
所依无故遮,suo'yi'wu'gu'zhe
所依亦遮故,suo'yi'yi'zhe'gu
所知无常性,suo'zhi'wu'chang'xing
所住即所依,suo'zhu'ji'suo'yi
他法作特指,ta'fa'zuo'te'zhi
他利前利成,ta'li'qian'li'cheng
他勤将胜进,ta'qin'jiang'sheng'jin
他体亦非害,ta'ti'yi'fei'hai
他忆受等过,ta'yi'shou'deng'guo
他因纵聚合,ta'yin'zong'ju'he
贪彼亦有过,tan'bi'yi'you'guo
贪嗔彼此间,tan'chen'bi'ci'jian
贪等不一定,tan'deng'bu'yi'ding
贪等成不定,tan'deng'cheng'bu'ding
贪我因中生,tan'wo'yin'zhong'sheng
檀香与斧同,tan'xiang'yu'fu'tong
贪执即是因,tan'zhi'ji'shi'yin
体不现识前,ti'bu'xian'shi'qian
体等作能立,ti'deng'zuo'neng'li
体性生功德,ti'xing'sheng'gong'de
跳跃非如是,tiao'yue'fei'ru'shi
跳跃决定性,tiao'yue'jue'ding'xing
听闻等功用,ting'wen'deng'gong'yong
痛苦不生贪,tong'ku'bu'sheng'tan
痛苦颠倒心,tong'ku'dian'dao'xin
痛苦之特性,tong'ku'zhi'te'xing
同类生前成,tong'lei'sheng'qian'cheng
同类因离故,tong'lei'yin'li'gu
同类因种子,tong'lei'yin'zhong'zi
同时生多体,tong'shi'sheng'duo'ti
同性生牛识,tong'xing'sheng'niu'shi
投生恶处众,tou'sheng'e'chu'zhong
涂麻油火烧,tu'ma'you'huo'shao
为彼故修法,wei'bi'gu'xiu'fa
为彼因得转,wei'bi'yin'de'zhuan
为除彼之因,wei'chu'bi'zhi'yin
为此是正量,wei'ci'shi'zheng'liang
为摧解脱者,wei'cui'jie'tuo'zhe
谓多则如前,wei'duo'ze'ru'qian
为何不流转,wei'he'bu'liu'zhuan
为何亦不见,wei'he'yi'bu'jian
唯患无不治,wei'huan'wu'bu'zhi
未见灭不趋,wei'jian'mie'bu'qu
唯见于种别,wei'jian'yu'zhong'bie
未见众人前,wei'jian'zhong'ren'qian
味具色等违,wei'ju'se'deng'wei
为令勤彼说,wei'ling'qin'bi'shuo
违品妨害无,wei'pin'fang'hai'wu
谓瓶之色等,wei'ping'zhi'se'deng
为遣非生者,wei'qian'fei'sheng'zhe
谓如境根聚,wei'ru'jing'gen'ju
谓如色无过,wei'ru'se'wu'guo
谓身灭非依,wei'shen'mie'fei'yi
未说唯说爱,wei'shuo'wei'shuo'ai
为他利行智,wei'ta'li'xing'zhi
谓心依身故,wei'xin'yi'shen'gu
谓性合无过,wei'xing'he'wu'guo
谓修纵超胜,wei'xiu'zong'chao'sheng
唯由彼生故,wei'you'bi'sheng'gu
谓由具法生,wei'you'ju'fa'sheng
唯由身体生,wei'you'shen'ti'sheng
谓由心中生,wei'you'xin'zhong'sheng
未遮比量故,wei'zhe'bi'liang'gu
为证依彼经,wei'zheng'yi'bi'jing
唯知是苦性,wei'zhi'shi'ku'xing
稳固及无余,wen'gu'ji'wu'yu
闻虎见血等,wen'hu'jian'xue'deng
我等无所需,wo'deng'wu'suo'xu
我非痛苦因,wo'fei'tong'ku'yin
我所取成彼,wo'suo'qu'cheng'bi
我亦应解脱,wo'yi'ying'jie'tuo
我与根等异,wo'yu'gen'deng'yi
我之彼缘生,wo'zhi'bi'yuan'sheng
我执同一因,wo'zhi'tong'yi'yin
我执我所执,wo'zhi'wo'suo'zhi
无彼则不生,wu'bi'ze'bu'sheng
无别存是依,wu'bie'cun'shi'yi
无别待亦无,wu'bie'dai'yi'wu
无别是识因,wu'bie'shi'shi'yin
无不具力性,wu'bu'ju'li'xing
无不齐全因,wu'bu'qi'quan'yin
无不生相因,wu'bu'sheng'xiang'yin
无常等之故,wu'chang'deng'zhi'gu
无常等自性,wu'chang'deng'zi'xing
无常亦无量,wu'chang'yi'wu'liang
无关之木块,wu'guan'zhi'mu'kuai
无果非妄说,wu'guo'fei'wang'shuo
无过亦非有,wu'guo'yi'fei'you
无过有境贪,wu'guo'you'jing'tan
无害真实义,wu'hai'zhen'shi'yi
无惑断一切,wu'huo'duan'yi'qie
无力不取余,wu'li'bu'qu'yu
无力故有爱,wu'li'gu'you'ai
无明是有因,wu'ming'shi'you'yin
无恼及无病,wu'nao'ji'wu'bing
无勤何因致,wu'qin'he'yin'zhi
无身贪未见,wu'shen'tan'wei'jian
无思由贪我,wu'si'you'tan'wo
无体罪非重,wu'ti'zui'fei'zhong
无违故次第,wu'wei'gu'ci'di
无我或修行,wu'wo'huo'xiu'xing
无心故非他,wu'xin'gu'fei'ta
无行德总业,wu'xing'de'zong'ye
无因不待他,wu'yin'bu'dai'ta
无因生违故,wu'yin'sheng'wei'gu
无有差别故,wu'you'cha'bie'gu
无有差异故,wu'you'cha'yi'gu
无有对治故,wu'you'dui'zhi'gu
无有能力故,wu'you'neng'li'gu
无有能障等,wu'you'neng'zhang'deng
无有相异故,wu'you'xiang'yi'gu
无有邪分别,wu'you'xie'fen'bie
习气差别转,xi'qi'cha'bie'zhuan
习气苏醒因,xi'qi'su'xing'yin
昔行灭尽已,xi'xing'mie'jin'yi
现见成作用,xian'jian'cheng'zuo'yong
现见有我者,xian'jian'you'wo'zhe
先前未曾见,xian'qian'wei'ceng'jian
显示所欲故,xian'shi'suo'yu'gu
先重后轻故,xian'zhong'hou'qing'gu
相同多体故,xiang'tong'duo'ti'gu
相违次第生,xiang'wei'ci'di'sheng
相违极成立,xiang'wei'ji'cheng'li
相违于此说,xiang'wei'yu'ci'shuo
相违之二事,xiang'wei'zhi'er'shi
相系贪嗔等,xiang'xi'tan'chen'deng
相异而宣说,xiang'yi'er'xuan'shuo
相属住性故,xiang'zhu'zhu'xing'gu
消除观待缘,xiao'chu'guan'dai'yuan
消除亦见故,xiao'chu'yi'jian'gu
薪变不复还,xin'bian'bu'fu'hai
心法之慈悲,xin'fa'zhi'ci'bei
心即成彼性,xin'ji'cheng'bi'xing
心是因不同,xin'shi'yin'bu'tong
心所缘取故,xin'suo'yuan'qu'gu
心性为光明,xin'xing'wei'guang'ming
心修悲等生,xin'xiu'bei'deng'sheng
心续安住因,xin'xu'an'zhu'yin
心亦明显故,xin'yi'ming'xian'gu
心应无消失,xin'ying'wu'xiao'shi
心中尔时明,xin'zhong'er'shi'ming
行持他利故,xing'chi'ta'li'gu
形等极成立,xing'deng'ji'cheng'li
行力若未尽,xing'li'ruo'wei'jin
修彼因无害,xiu'bi'yin'wu'hai
修故无余断,xiu'gu'wu'yu'duan
修苦成无义,xiu'ku'cheng'wu'yi
修习不成立,xiu'xi'bu'cheng'li
修习灭尽故,xiu'xi'mie'jin'gu
修已说道转,xiu'yi'shuo'dao'zhuan
修余即为彼,xiu'yu'ji'wei'bi
许彼灭因致,xu'bi'mie'yin'zhi
许彼为正量,xu'bi'wei'zheng'liang
许成喻不成,xu'cheng'yu'bu'cheng
许摧生过故,xu'cui'sheng'guo'gu
许离贪者住,xu'li'tan'zhe'zhu
许能立有余,xu'neng'li'you'yu
许是果等同,xu'shi'guo'deng'tong
许因故承许,xu'yin'gu'cheng'xu
寻觅有智者,xun'mi'you'zhi'zhe
业果亦成一,ye'guo'yi'cheng'yi
业身纵安住,ye'shen'zong'an'zhu
业亦非业有,ye'yi'fei'ye'you
依悲说善妙,yi'bei'shuo'shan'miao
益彼诸功用,yi'bi'zhu'gong'yong
异别故谓主,yi'bie'gu'wei'zhu
亦成极明性,yi'cheng'ji'ming'xing
亦成无心等,yi'cheng'wu'xin'deng
依此而分析,yi'ci'er'fen'xi
依此即是说,yi'ci'ji'shi'shuo
依此破会合,yi'ci'po'hui'he
依此亦遮破,yi'ci'yi'zhe'po
已断我见种,yi'duan'wo'jian'zhong
一法不能尽,yi'fa'bu'neng'jin
以反体分异,yi'fan'ti'fen'yi
亦非皆能悦,yi'fei'jie'neng'yue
亦非一切生,yi'fei'yi'qie'sheng
一覆一切覆,yi'fu'yi'qie'fu
异故他体过,yi'gu'ta'ti'guo
抑或未覆时,yi'huo'wei'fu'shi
已见然不除,yi'jian'ran'bu'chu
亦将侍勤作,yi'jiang'shi'qin'zuo
依教理观察,yi'jiao'li'guan'cha
亦皆得成立,yi'jie'de'cheng'li
以今苦厌离,yi'jin'ku'yan'li
亦具正加行,yi'ju'zheng'jia'hang
依空见解脱,yi'kong'jian'jie'tuo
依苦悟无我,yi'ku'wu'wu'wo
依苦行烦恼,yi'ku'xing'fan'nao
依赖于同类,yi'lai'yu'tong'lei
亦离变因故,yi'li'bian'yin'gu
疑虑有误者,yi'lv'you'wu'zhe
已灭及未生,yi'mie'ji'wei'sheng
依名言为量,yi'ming'yan'wei'liang
亦能障彼过,yi'neng'zhang'bi'guo
意起之心生,yi'qi'zhi'xin'sheng
依强等而增,yi'qiang'deng'er'zeng
一切变变故,yi'qie'bian'bian'gu
一切成贪同,yi'qie'cheng'tan'tong
一切成一切,yi'qie'cheng'yi'qie
一切成执德,yi'qie'cheng'zhi'de
一切即灭法,yi'qie'ji'mie'fa
一切皆平等,yi'qie'jie'ping'deng
一切若是因,yi'qie'ruo'shi'yin
一切时我执,yi'qie'shi'wo'zhi
一切贪成同,yi'qie'tan'cheng'tong
一切因无尽,yi'qie'yin'wu'jin
一切之现量,yi'qie'zhi'xian'liang
亦是此能生,yi'shi'ci'neng'sheng
意识非有损,yi'shi'fei'you'sun
抑是怀疑处,yi'shi'huai'yi'chu
一是一之因,yi'shi'yi'zhi'yin
以识著他境,yi'shi'zhu'ta'jing
抑寿已尽故,yi'shou'yi'jin'gu
依他缘误解,yi'ta'yuan'wu'jie
意体成相同,yi'ti'cheng'xiang'tong
一体之名称,yi'ti'zhi'ming'cheng
意谓于自相,yi'wei'yu'zi'xiang
依无见何知,yi'wu'jian'he'zhi
亦无享受者,yi'wu'xiang'shou'zhe
亦无住大勤,yi'wu'zhu'da'qin
一息取多境,yi'xi'qu'duo'jing
以心行差别,yi'xin'xing'cha'bie
依修成悲性,yi'xiu'cheng'bei'xing
已修若反复,yi'xiu'ruo'fan'fu
亦许是因故,yi'xu'shi'yin'gu
一一刹那中,yi'yi'cha'na'zhong
一因故并存,yi'yin'gu'bing'cun
以有境相异,yi'you'jing'xiang'yi
一由染料变,yi'you'ran'liao'bian
亦再生起故,yi'zai'sheng'qi'gu
一者所生贪,yi'zhe'suo'sheng'tan
依智说真谛,yi'zhi'shuo'zhen'di
依止所为事,yi'zhi'suo'wei'shi
一中不容故,yi'zhong'bu'rong'gu
引故谓指具,yin'gu'wei'zhi'ju
因同性不失,yin'tong'xing'bu'shi
因无差异故,yin'wu'cha'yi'gu
因习已断除,yin'xi'yi'duan'chu
因与果事故,yin'yu'guo'shi'gu
因治灭尽故,yin'zhi'mie'jin'gu
引中不退转,yin'zhong'bu'tui'zhuan
因主故亦苦,yin'zhu'gu'yi'ku
因住果不灭,yin'zhu'guo'bu'mie
应成俱生故,ying'cheng'ju'sheng'gu
应成无毁灭,ying'cheng'wu'hui'mie
应成余异体,ying'cheng'yu'yi'ti
由爱殊胜乐,you'ai'shu'sheng'le
由爱障诸过,you'ai'zhang'zhu'guo
由彼比量者,you'bi'bi'liang'zhe
有彼成无彼,you'bi'cheng'wu'bi
由彼此亦胜,you'bi'ci'yi'sheng
由彼即慈悲,you'bi'ji'ci'bei
有彼若成义,you'bi'ruo'cheng'yi
由彼所造作,you'bi'suo'zao'zuo
有别是根境,you'bie'shi'gen'jing
有惭谁力言,you'can'shui'li'yan
由常生非理,you'chang'sheng'fei'li
由此可决定,you'ci'ke'jue'ding
有断如白等,you'duan'ru'bai'deng
由非次第者,you'fei'ci'di'zhe
有过亦具故,you'guo'yi'ju'gu
由见过毁灭,you'jian'guo'hui'mie
由境而改变,you'jing'er'gai'bian
由具方得见,you'ju'fang'de'jian
由离因之故,you'li'yin'zhi'gu
有情非他引,you'qing'fei'ta'yin
有情受生时,you'qing'shou'sheng'shi
犹如功德等,you'ru'gong'de'deng
犹如荆棘等,you'ru'jing'ji'deng
犹如湿地火,you'ru'shi'di'huo
犹如依于心,you'ru'yi'yu'xin
犹如语言等,you'ru'yu'yan'deng
有识成有者,you'shi'cheng'you'zhe
有时贪欲等,you'shi'tan'yu'deng
有时亦不灭,you'shi'yi'bu'mie
有时于心续,you'shi'yu'xin'xu
由事证事故,you'shi'zheng'shi'gu
由贪殊胜乐,you'tan'shu'sheng'le
由调和精增,you'tiao'he'jing'zeng
有为行境者,you'wei'xing'jing'zhe
有谓言说等,you'wei'yan'shuo'deng
有谓指之具,you'wei'zhi'zhi'ju
有我则知他,you'wo'ze'zhi'ta
有无随从故,you'wu'sui'cong'gu
有无依无故,you'wu'yi'wu'gu
有亦定多性,you'yi'ding'duo'xing
有亦无忆故,you'yi'wu'yi'gu
有依悉具住,you'yi'xi'ju'zhu
有因故依修,you'yin'gu'yi'xiu
有因故因治,you'yin'gu'yin'zhi
由因自性知,you'yin'zi'xing'zhi
有于有无碍,you'yu'you'wu'ai
有增有减性,you'zeng'you'jian'xing
有者次第无,you'zhe'ci'di'wu
有者复返故,you'zhe'fu'fan'gu
有者极声称,you'zhe'ji'sheng'cheng
有者生彼果,you'zhe'sheng'bi'guo
有者则声称,you'zhe'ze'sheng'cheng
由执爱安乐,you'zhi'ai'an'le
有之本性者,you'zhi'ben'xing'zhe
由知因自性,you'zhi'yin'zi'xing
由自知自体,you'zi'zhi'zi'ti
于彼常执我,yu'bi'chang'zhi'wo
于彼岂有害,yu'bi'qi'you'hai
与彼相违义,yu'bi'xiang'wei'yi
与彼性诸过,yu'bi'xing'zhu'guo
于不可说者,yu'bu'ke'shuo'zhe
于此等多处,yu'ci'deng'duo'chu
于此非离贪,yu'ci'fei'li'tan
于此所依无,yu'ci'suo'yi'wu
于此无害故,yu'ci'wu'hai'gu
欲得乐离苦,yu'de'le'li'ku
愚等亦见故,yu'deng'yi'jian'gu
于后之超胜,yu'hou'zhi'chao'sheng
愈来愈超胜,yu'lai'yu'chao'sheng
与旁生行淫,yu'pang'sheng'xing'yin
与其异体者,yu'qi'yi'ti'zhe
欲求不受苦,yu'qiu'bu'shou'ku
与刃药等联,yu'ren'yao'deng'lian
余身成此生,yu'shen'cheng'ci'sheng
欲说依他故,yu'shuo'yi'ta'gu
于四谛固常,yu'si'di'gu'chang
于他前安住,yu'ta'qian'an'zhu
于他生耽著,yu'ta'sheng'dan'zhu
于他无有故,yu'ta'wu'you'gu
余调亦非尔,yu'tiao'yi'fei'er
于违彼离贪,yu'wei'bi'li'tan
于我具贪故,yu'wo'ju'tan'gu
于我所离贪,yu'wo'suo'li'tan
于我无爱恋,yu'wo'wu'ai'lian
欲知唯彼者,yu'zhi'wei'bi'zhe
于自性颠倒,yu'zi'xing'dian'dao
缘非能利故,yuan'fei'neng'li'gu
缘取亦不成,yuan'qu'yi'bu'cheng
缘所取舍事,yuan'suo'qu'she'shi
造过反非尔,zao'guo'fan'fei'er
造可复返变,zao'ke'fu'fan'bian
造瓶等泥形,zao'ping'deng'ni'xing
造作亦非理,zao'zuo'yi'fei'li
则成惑分断,ze'cheng'huo'fen'duan
则初应不生,ze'chu'ying'bu'sheng
则果不应减,ze'guo'bu'ying'jian
则无次第因,ze'wu'ci'di'yin
增益而爱恋,zeng'yi'er'ai'lian
增益贪亦见,zeng'yi'tan'yi'jian
增益自他贪,zeng'yi'zi'ta'tan
障碍流失故,zhang'ai'liu'shi'gu
障因等有故,zhang'yin'deng'you'gu
证成初生故,zheng'cheng'chu'sheng'gu
证成非应理,zheng'cheng'fei'ying'li
证实苦具因,zheng'shi'ku'ju'yin
证实异事等,zheng'shi'yi'shi'deng
证知有实量,zheng'zhi'you'shi'liang
证知自体已,zheng'zhi'zi'ti'yi
知彼亦成立,zhi'bi'yi'cheng'li
知故一聚无,zhi'gu'yi'ju'wu
知苦无相违,zhi'ku'wu'xiang'wei
执我未灭除,zhi'wo'wei'mie'chu
执相有境故,zhi'xiang'you'jing'gu
致有者变化,zhi'you'zhe'bian'hua
智者谓常性,zhi'zhe'wei'chang'xing
知总相得之,zhi'zong'xiang'de'zhi
种等成立轨,zhong'deng'cheng'li'gui
种类等亦住,zhong'lei'deng'yi'zhu
众人境差异,zhong'ren'jing'cha'yi
众生等差异,zhong'sheng'deng'cha'yi
众生法性故,zhong'sheng'fa'xing'gu
众生亦仅此,zhong'sheng'yi'jin'ci
众生欲离苦,zhong'sheng'yu'li'ku
众相多方便,zhong'xiang'duo'fang'bian
种子得增长,zhong'zi'de'zeng'zhang
诸常法已破,zhu'chang'fa'yi'po
诸大无生异,zhu'da'wu'sheng'yi
诸根一一损,zhu'gen'yi'yi'sun
诸垢客尘性,zhu'gou'ke'chen'xing
诸过不能灭,zhu'guo'bu'neng'mie
诸过之根本,zhu'guo'zhi'gen'ben
诸过纵有别,zhu'guo'zong'you'bie
诸名于何者,zhu'ming'yu'he'zhe
诸生皆有依,zhu'sheng'jie'you'yi
诸识常时生,zhu'shi'chang'shi'sheng
诸事一刹那,zhu'shi'yi'cha'na
诸贪之种子,zhu'tan'zhi'zhong'zi
著性非如是,zhu'xing'fei'ru'shi
住行形差异,zhu'xing'xing'cha'yi
诸业增上无,zhu'ye'zeng'shang'wu
住因皆无力,zhu'yin'jie'wu'li
住因起何用,zhu'yin'qi'he'yong
住引业余者,zhu'yin'ye'yu'zhe
住因亦作何,zhu'yin'yi'zuo'he
住者外非他,zhu'zhe'wai'fei'ta
转变何事彼,zhuan'bian'he'shi'bi
转依彼本性,zhuan'yi'bi'ben'xing
自己害自许,zi'ji'hai'zi'xu
自类是大种,zi'lei'shi'da'zhong
自类之能力,zi'lei'zhi'neng'li
自力现前住,zi'li'xian'qian'zhu
自然得进展,zi'ran'de'jin'zhan
自他中执嗔,zi'ta'zhong'zhi'chen
自贪缘内支,zi'tan'yuan'nei'zhi
自心凭何除,zi'xin'ping'he'chu
自性此此中,zi'xing'ci'ci'zhong
自性非同彼,zi'xing'fei'tong'bi
自性尽变已,zi'xing'jin'bian'yi
自性是诸法,zi'xing'shi'zhu'fa
自性无别故,zi'xing'wu'bie'gu
自性无差异,zi'xing'wu'cha'yi
自性无坏灭,zi'xing'wu'huai'mie
自许贪心等,zi'xu'tan'xin'deng
纵彼不成立,zong'bi'bu'cheng'li
纵彼无他灭,zong'bi'wu'ta'mie
纵各具能力,zong'ge'ju'neng'li
纵勤依德分,zong'qin'yi'de'fen
纵唯名无谬,zong'wei'ming'wu'miu
纵无会合等,zong'wu'hui'he'deng
纵无增益勤,zong'wu'zeng'yi'qin
纵一然多明,zong'yi'ran'duo'ming
纵有力有害,zong'you'li'you'hai
纵有体微故,zong'you'ti'wei'gu
纵知具功德,zong'zhi'ju'gong'de
作不作同性,zuo'bu'zuo'tong'xing
作者亦相违,zuo'zhe'yi'xiang'wei
