啊就一般性,a'jiu'yi'ban'xing
诸暨日报,zhu'ji'ri'bao
诸暨市,zhu'ji'shi
诸暨在线,zhu'ji'zai'xian
诸暨中学,zhu'ji'zhong'xue
竹节,zhu'jie
助理的,zhu'li'de
装胖,zhuang'pang
紫金宫,zi'jin'gong
紫晶宫,zi'jing'gong
紫蓬山,zi'peng'shan
自修课,zi'xiu'ke
总就,zong'jiu
总有的,zong'you'de
做个朋友可以吗,zuo'ge'peng'you'ke'yi'ma
做介绍,zuo'jie'shao
做人还是,zuo'ren'hai'shi
做人还是你,zuo'ren'hai'shi'ni
做袜子,zuo'wa'zi
