爱和谊,ai'he'yi
注册会计师责任险,zhu'ce'kuai'ji'shi'ze'ren'xian
住宿和餐饮服务业,zhu'su'he'can'yin'fu'wu'ye
住宿和餐饮业,zhu'su'he'can'yin'ye
住宿业,zhu'su'ye
转让,zhuan'rang
专业代理,zhuan'ye'dai'li
专业代理业务,zhuan'ye'dai'li'ye'wu
专业技术服务,zhuan'ye'ji'shu'fu'wu
装潢家具维修,zhuang'huang'jia'ju'wei'xiu
撞击力,zhuang'ji'li
追偿,zhui'chang
资本金,zi'ben'jin
资本密集,zi'ben'mi'ji
自动水喷淋系统,zi'dong'shui'pen'lin'xi'tong
自留风险,zi'liu'feng'xian
自然保护,zi'ran'bao'hu
咨询与调查,zi'xun'yu'diao'cha
总保费,zong'bao'fei
综合费用率,zong'he'fei'yong'lv
综合赔付率,zong'he'pei'fu'lv
宗教组织,zong'jiao'zu'zhi
租赁商务服务业,zu'lin'shang'wu'fu'wu'ye
租赁业,zu'lin'ye
组织机构代码证,zu'zhi'ji'gou'dai'ma'zheng
最大诚信原则,zui'da'cheng'xin'yuan'ze
