阿卡波糖,a'ka'bo'tang
野木瓜颗三叉神经痛,ye'mu'gua'ke'san'cha'shen'jing'tong
叶酸,ye'suan
乙胺丁醇,yi'an'ding'chun
一般减量原则每周见,yi'ban'jian'liang'yuan'ze'mei'zhou'jian
一般先予以一半用量,yi'ban'xian'yu'yi'yi'ban'yong'liang
伊贝沙坦,yi'bei'sha'tan
异丙肾上腺素,yi'bing'shen'shang'xian'su
一次性吸痰负压吸引器一个,yi'ci'xing'xi'tan'fu'ya'xi'yin'qi'yi'ge
一疗程,yi'liao'cheng
易蒙停洛哌丁胺,yi'meng'ting'luo'pai'ding'an
依那普利,yi'na'pu'li
依帕司他,yi'pa'si'ta
伊曲康唑,yi'qu'kang'zuo
伊曲康唑疗程为周,yi'qu'kang'zuo'liao'cheng'wei'zhou
抑酸用,yi'suan'yong
依托泊苷,yi'tuo'bo'gan
一线半胱氨酸泡腾,yi'xian'ban'guang'an'suan'pao'teng
乙酰半胱氨酸泡腾,yi'xian'ban'guang'an'suan'pao'teng
异烟肼,yi'yan'jing
抑制骨髓破坏,yi'zhi'gu'sui'po'huai
抑制全身炎症反应,yi'zhi'quan'shen'yan'zheng'fan'ying
抑制全是炎症反应,yi'zhi'quan'shi'yan'zheng'fan'ying
银黄含化,yin'huang'han'hua
蚓激酶肠溶,yin'ji'mei'chang'rong
银杏达莫,yin'xing'da'mo
用六次,yong'liu'ci
用六月,yong'liu'yue
用于,yong'yu
又名强的松,you'ming'qiang'di'song
鱼精蛋白中和肝肾,yu'jing'dan'bai'zhong'he'gan'shen
予以补碱,yu'yi'bu'jian
原液泵入,yuan'ye'beng'ru
暂停该类抗生素,zan'ting'gai'lei'kang'sheng'su
真菌培养门诊楼楼微生物室,zhen'jun'pei'yang'men'zhen'lou'lou'wei'sheng'wu'shi
真菌涂门诊楼楼特检室,zhen'jun'tu'men'zhen'lou'lou'te'jian'shi
正常钠量钠,zheng'chang'na'liang'na
至滴,zhi'di
脂肪乳,zhi'fang'ru
脂溶性维生素,zhi'rong'xing'wei'sheng'su
止痛,zhi'tong
指细胞外液占体重,zhi'xi'bao'wai'ye'zhan'ti'zhong
止血敏,zhi'xue'min
止血敏酚磺乙胺,zhi'xue'min'fen'huang'yi'an
直至减完,zhi'zhi'jian'wan
重度两性,zhong'du'liang'xing
重酒石酸去甲肾上腺素,zhong'jiu'shi'suan'qu'jia'shen'shang'xian'su
肿瘤溶解综合症,zhong'liu'rong'jie'zong'he'zheng
重症监护,zhong'zheng'jian'hu
重症监护镇静,zhong'zheng'jian'hu'zhen'jing
注射液硝普钠,zhu'she'ye'xiao'pu'na
注射液盐酸氨溴索,zhu'she'ye'yan'suan'an'xiu'suo
注射用奥美拉唑,zhu'she'yong'ao'mei'la'zuo
注射用环磷酰胺,zhu'she'yong'huan'lin'xian'an
注射用胸腺肽,zhu'she'yong'xiong'xian'tai
注射用盐酸氨溴索,zhu'she'yong'yan'suan'an'xiu'suo
注意神志瞳孔变化,zhu'yi'shen'zhi'tong'kong'bian'hua
专用溶媒,zhuan'yong'rong'mei
总量小于,zong'liang'xiao'yu
最大到,zui'da'dao
最大量,zui'da'liang
最大量可用至,zui'da'liang'ke'yong'zhi
最高相当于,zui'gao'xiang'dang'yu
最值,zui'zhi
左甲状腺素钠,zuo'jia'zhuang'xian'su'na
唑来膦酸,zuo'lai'lin'suan
唑来膦酸注射液,zuo'lai'lin'suan'zhu'she'ye
左旋氨氯地平,zuo'xuan'an'lv'di'ping
左旋门冬酰胺酶,zuo'xuan'men'dong'xian'an'mei
左氧氟沙星,zuo'yang'fu'sha'xing
