阿多诺,a'duo'nuo
基督教文论,ji'du'jiao'wen'lun
极而反,ji'er'fan
机锋,ji'feng
极高明而道中庸,ji'gao'ming'er'dao'zhong'yong
既济,ji'ji
积渐,ji'jian
积久贯通,ji'jiu'guan'tong
嵇康,ji'kang
极乐世界,ji'le'shi'jie
季梁,ji'liang
济两明一,ji'liang'ming'yi
季路,ji'lu
即民见天,ji'min'jian'tian
即其本体,ji'qi'ben'ti
讥诮嘲讽,ji'qiao'chao'feng
极权主义国家,ji'quan'zhu'yi'guo'jia
计然,ji'ran
鸡三足,ji'san'zu
继善成性,ji'shan'cheng'xing
即身成佛,ji'shen'cheng'fo
极深究几,ji'shen'jiu'ji
稽实定数,ji'shi'ding'shu
嵇叔夜,ji'shu'ye
积水成渊,ji'shui'cheng'yuan
己所不欲,ji'suo'bu'yu
基提翁的芝诺,ji'ti'weng'de'zhi'nuo
积土成山,ji'tu'cheng'shan
即万物之自虚,ji'wan'wu'zhi'zi'xu
极微,ji'wei
即物穷理,ji'wu'qiong'li
即物实测,ji'wu'shi'ce
机心,ji'xin
疾虚妄,ji'xu'wang
寄言出意,ji'yan'chu'yi
集义所生,ji'yi'suo'sheng
济有者皆有,ji'you'zhe'jie'you
己欲达而达人,ji'yu'da'er'da'ren
己欲立而立人,ji'yu'li'er'li'ren
季真,ji'zhen
及知而后知,ji'zhi'er'hou'zhi
寂知揭体,ji'zhi'jie'ti
嵇中散,ji'zhong'san
架构,jia'gou
贾逵,jia'kui
假名,jia'ming
贾思勰,jia'si'xie
假物,jia'wu
假象见意,jia'xiang'jian'yi
贾谊,jia'yi
加一倍法,jia'yi'bei'fa
假有,jia'you
兼爱,jian'ai
坚白同异,jian'bai'tong'yi
兼别,jian'bie
减担,jian'dan
见独,jian'du
见分,jian'fen
渐化,jian'hua
见利思义,jian'li'si'yi
见理于事,jian'li'yu'shi
兼名,jian'ming
减少兽性,jian'shao'shou'xing
鉴识,jian'shi
健顺,jian'shun
见体,jian'ti
渐悟,jian'wu
见侮不辱,jian'wu'bu'ru
见贤思齐,jian'xian'si'qi
兼相爱,jian'xiang'ai
间相胜,jian'xiang'sheng
践形,jian'xing
见性成佛,jian'xing'cheng'fo
兼以易别,jian'yi'yi'bie
贱有,jian'you
鉴真,jian'zhen
江藩,jiang'fan
蒋介石,jiang'jie'shi
讲课笔记,jiang'ke'bi'ji
江天骥,jiang'tian'ji
蒋维乔,jiang'wei'qiao
焦竑,jiao'hong
交会地,jiao'hui'di
交轮几,jiao'lun'ji
教条主义,jiao'tiao'zhu'yi
交相利,jiao'xiang'li
教相判释,jiao'xiang'pan'shi
教学方法,jiao'xue'fang'fa
教学过程,jiao'xue'guo'cheng
教学理论,jiao'xue'li'lun
教学思想,jiao'xue'si'xiang
焦循,jiao'xun
解蔽,jie'bi
洁宫,jie'gong
阶级斗争,jie'ji'dou'zheng
阶级分析法,jie'ji'fen'xi'fa
阶级结构,jie'ji'jie'gou
阶级性,jie'ji'xing
阶级意识,jie'ji'yi'shi
戒律,jie'lv
桀溺,jie'ni
竭天成能,jie'tian'cheng'neng
解脱,jie'tuo
接习,jie'xi
解衣般礴,jie'yi'ban'bo
节用,jie'yong
接舆,jie'yu
节欲反性,jie'yu'fan'xing
节葬,jie'zang
接子,jie'zi
尽地力,jin'di'li
金刚智,jin'gang'zhi
禁攻寝兵,jin'gong'qin'bing
进化论,jin'hua'lun
尽见,jin'jian
金履祥,jin'lv'xiang
今日适越而昔来,jin'ri'shi'yue'er'xi'lai
尽善尽美,jin'shan'jin'mei
尽天地古今皆二,jin'tian'di'gu'jin'jie'er
尽心知性,jin'xin'zhi'xing
尽性,jin'xing
禁欲主义,jin'yu'zhu'yi
金岳霖,jin'yue'lin
敬德保民,jing'de'bao'min
静笃,jing'du
京房,jing'fang
静观,jing'guan
敬鬼神而远之,jing'gui'shen'er'yuan'zhi
净化,jing'hua
经济斗争,jing'ji'dou'zheng
经济范畴,jing'ji'fan'chou
经济基础,jing'ji'ji'chu
经济哲学,jing'ji'zhe'xue
境界,jing'jie
敬静工夫,jing'jing'gong'fu
精气,jing'qi
经权,jing'quan
精神,jing'shen
精神居形体,jing'shen'ju'xing'ti
精神科学,jing'shen'ke'xue
精神修养,jing'shen'xiu'yang
经世应务,jing'shi'ying'wu
经世致用,jing'shi'zhi'yong
精爽,jing'shuang
净土,jing'tu
静为躁君,jing'wei'zao'jun
经学即理学,jing'xue'ji'li'xue
经验,jing'yan
经验论,jing'yan'lun
经验主义,jing'yan'zhu'yi
惊异感,jing'yi'gan
精义入神以致用,jing'yi'ru'shen'yi'zhi'yong
静因之道,jing'yin'zhi'dao
经院派,jing'yuan'pai
经院哲学,jing'yuan'zhe'xue
静则生慧,jing'ze'sheng'hui
境者心造,jing'zhe'xin'zao
景中情,jing'zhong'qing
九经,jiu'jing
究竟觉,jiu'jing'jue
九句因,jiu'ju'yin
鸠摩罗什,jiu'mo'luo'shen
九品莲台,jiu'pin'lian'tai
九守,jiu'shou
九思,jiu'si
九天,jiu'tian
居安思危,ju'an'si'wei
举本统末,ju'ben'tong'mo
矩不方,ju'bu'fang
俱分进化,ju'fen'jin'hua
居敬,ju'jing
具体而微,ju'ti'er'wei
举一反三,ju'yi'fan'san
绝待,jue'dai
绝地天通,jue'di'tian'tong
绝对不会,jue'dui'bu'hui
绝对真理,jue'dui'zhen'li
绝迹玄会,jue'ji'xuan'hui
绝仁弃义,jue'ren'qi'yi
绝圣弃智,jue'sheng'qi'zhi
绝羡欲,jue'xian'yu
觉性,jue'xing
觉照,jue'zhao
君臣共治,jun'chen'gong'zhi
君臣无常位,jun'chen'wu'chang'wei
均衡论,jun'heng'lun
君火,jun'huo
君民一体,jun'min'yi'ti
君权神授,jun'quan'shen'shou
君为天下之大害,jun'wei'tian'xia'zhi'da'hai
君相道合,jun'xiang'dao'he
君形者,jun'xing'zhe
君子喻于义,jun'zi'yu'yu'yi
开明自营,kai'ming'zi'ying
开物成务,kai'wu'cheng'wu
康南海,kang'nan'hai
康僧会,kang'seng'hui
康有为,kang'you'wei
康与之,kang'yu'zhi
考茨基,kao'ci'ji
克堤拉斯篇,ke'di'la'si'pian
科尔施,ke'er'shi
客观实在性,ke'guan'shi'zai'xing
客观唯心主义,ke'guan'wei'xin'zhu'yi
克己复礼,ke'ji'fu'li
克己尽物,ke'ji'jin'wu
克雷安德,ke'lei'an'de
克力同篇,ke'li'tong'pian
科林斯,ke'lin'si
克吕西波,ke'lv'xi'bo
可能性,ke'neng'xing
克勤,ke'qin
科西克,ke'xi'ke
客形,ke'xing
科学的人生观,ke'xue'de'ren'sheng'guan
科学神,ke'xue'shen
科学实验的方法,ke'xue'shi'yan'de'fang'fa
科学性,ke'xue'xing
科学与玄学论战,ke'xue'yu'xuan'xue'lun'zhan
科学之科学,ke'xue'zhi'ke'xue
可知论,ke'zhi'lun
孔安国,kong'an'guo
孔穿,kong'chuan
孔鲋,kong'fu
孔伋,kong'ji
孔丘,kong'qiu
空想社会主义,kong'xiang'she'hui'zhu'yi
孔颜乐处,kong'yan'le'chu
孔颖达,kong'ying'da
空有,kong'you
孔子,kong'zi
口辩,kou'bian
寇谦之,kou'qian'zhi
苦行主义,ku'xing'zhu'yi
旷达,kuang'da
狂狷,kuang'juan
况谓之名,kuang'wei'zhi'ming
揆端推类,kui'duan'tui'lei
窥基,kui'ji
拉布里奥拉,la'bu'li'ao'la
拉尔修,la'er'xiu
拉法格,la'fa'ge
赖其力者生,lai'qi'li'zhe'sheng
莱茵报,lai'yin'bao
兰普萨古,lan'pu'sa'gu
老聃,lao'dan
老莱子,lao'lai'zi
劳力者治于人,lao'li'zhe'zhi'yu'ren
劳思光,lao'si'guang
劳心者治人,lao'xin'zhe'zhi'ren
老子,lao'zi
了别,le'bie
乐观其反,le'guan'qi'fan
乐广,le'guang
乐巨公,le'ju'gong
乐利主义,le'li'zhu'yi
乐天知命,le'tian'zhi'ming
雷非天怒,lei'fei'tian'nu
类固不必可推知也,lei'gu'bu'bi'ke'tui'zhi'ye
类固相召,lei'gu'xiang'zhao
类名,lei'ming
类同,lei'tong
雷为火,lei'wei'huo
李翱,li'ao
理本气末,li'ben'qi'mo
理禀,li'bing
李卜克内西,li'bu'ke'nei'xi
理乘气功,li'cheng'qi'gong
理存于欲,li'cun'yu'yu
李达,li'da
立大本,li'da'ben
李大钊,li'da'zhao
李侗,li'dong
李耳,li'er
李二曲,li'er'qu
李丰,li'feng
李复,li'fu
利根,li'gen
理根于气,li'gen'yu'qi
李塨,li'gong
李觏,li'gou
李光地,li'guang'di
李含光,li'han'guang
利合,li'he
力黑,li'hei
李华,li'hua
李璜,li'huang
李季,li'ji
理迹,li'ji
离坚白,li'jian'bai
力今胜古,li'jin'sheng'gu
理具于心,li'ju'yu'xin
李克,li'ke
李悝,li'kui
理论的科学,li'lun'de'ke'xue
理论基础,li'lun'ji'chu
理昧,li'mei
力命,li'ming
理明,li'ming
力牧,li'mu
理念的世界,li'nian'de'shi'jie
理念论,li'nian'lun
理念世界,li'nian'shi'jie
理气,li'qi
理气合一,li'qi'he'yi
理气同异,li'qi'tong'yi
李筌,li'quan
立人极,li'ren'ji
李善兰,li'shan'lan
理生气,li'sheng'qi
理事,li'shi
理势,li'shi
李石岑,li'shi'cen
历史的方法,li'shi'de'fang'fa
历史范畴,li'shi'fan'chou
理势合一,li'shi'he'yi
历史民族,li'shi'min'zu
历史唯物主义,li'shi'wei'wu'zhu'yi
理事无碍,li'shi'wu'ai
李恕谷,li'shu'gu
李叔同,li'shu'tong
李斯,li'si
理统,li'tong
李通玄,li'tong'xuan
历物十事,li'wu'shi'shi
理先气后,li'xian'qi'hou
理想国,li'xiang'guo
立象尽意,li'xiang'jin'yi
离心无境,li'xin'wu'jing
理性发展,li'xing'fa'zhan
理性方案,li'xing'fang'an
理性具体,li'xing'ju'ti
理性认识,li'xing'ren'shi
力行哲学,li'xing'zhe'xue
理性主义者,li'xing'zhu'yi'zhe
李旴江,li'xu'jiang
李延平,li'yan'ping
理义,li'yi
礼义,li'yi
礼仪,li'yi
理一分殊,li'yi'fen'shu
礼义廉耻,li'yi'lian'chi
丽以淫,li'yi'yin
丽以则,li'yi'ze
利用,li'yong
李颙,li'yong
利用安身以崇德,li'yong'an'shen'yi'chong'de
理有穷通,li'you'qiong'tong
李籲,li'yu
理欲,li'yu
理源,li'yuan
礼乐教化,li'yue'jiao'hua
理载于气,li'zai'yu'qi
李泽厚,li'ze'hou
李贽,li'zhi
理知,li'zhi
礼之用,li'zhi'yong
李之藻,li'zhi'zao
理主气从,li'zhu'qi'cong
李卓吾,li'zhuo'wu
炼丹,lian'dan
联合体,lian'he'ti
连环可解也,lian'huan'ke'jie'ye
炼气,lian'qi
炼形,lian'xing
连珠,lian'zhu
连珠式,lian'zhu'shi
连珠体,lian'zhu'ti
两点论,liang'dian'lun
两端贵先,liang'duan'gui'xian
两故化,liang'gu'hua
良贵,liang'gui
两行,liang'hang
良价,liang'jia
两可之说,liang'ke'zhi'shuo
量论,liang'lun
良能,liang'neng
梁启超,liang'qi'chao
梁启雄,liang'qi'xiong
梁丘贺,liang'qiu'he
梁任公,liang'ren'gong
两刃相割,liang'ren'xiang'ge
梁汝元,liang'ru'yuan
量时制谊,liang'shi'zhi'yi
梁漱溟,liang'shu'ming
两仪,liang'yi
良知,liang'zhi
量智,liang'zhi
良知现成,liang'zhi'xian'cheng
廖平,liao'ping
列御寇,lie'yu'kou
列子,lie'zi
林同济,lin'tong'ji
林则徐,lin'ze'xu
灵宝天尊,ling'bao'tian'zun
灵府,ling'fu
灵魂,ling'hun
灵明,ling'ming
灵气,ling'qi
灵人,ling'ren
凌曙,ling'shu
灵台,ling'tai
凌廷堪,ling'ting'kan
灵祐,ling'you
刘安,liu'an
刘宝楠,liu'bao'nan
刘宾客,liu'bin'ke
六柄,liu'bing
刘伯温,liu'bo'wen
刘敞,liu'chang
六尘,liu'chen
六道,liu'dao
六德,liu'de
刘德仁,liu'de'ren
六度,liu'du
六分,liu'fen
刘逢禄,liu'feng'lu
六府,liu'fu
六根,liu'gen
柳河东,liu'he'dong
六极,liu'ji
刘基,liu'ji
留基伯,liu'ji'bo
刘蕺山,liu'ji'shan
六境,liu'jing
六经皆史,liu'jing'jie'shi
六经未必为太阳,liu'jing'wei'bi'wei'tai'yang
六经注我,liu'jing'zhu'wo
刘峻,liu'jun
六理,liu'li
刘伶,liu'ling
六美,liu'mei
刘梦得,liu'meng'de
六逆,liu'ni
六气,liu'qi
六趣,liu'qu
刘劭,liu'shao
刘少奇,liu'shao'qi
刘申叔,liu'shen'shu
六识,liu'shi
刘师培,liu'shi'pei
六十四卦,liu'shi'si'gua
刘述先,liu'shu'xian
流水不腐,liu'shui'bu'fu
六顺,liu'shun
刘文敏,liu'wen'min
刘熙载,liu'xi'zai
柳下惠,liu'xia'hui
刘献廷,liu'xian'ting
刘向,liu'xiang
六相缘起,liu'xiang'yuan'qi
六相圆融,liu'xiang'yuan'rong
刘孝标,liu'xiao'biao
刘勰,liu'xie
刘歆,liu'xin
流行时间,liu'xing'shi'jian
刘绚,liu'xuan
六爻,liu'yao
刘义庆,liu'yi'qing
刘因,liu'yin
刘毓松,liu'yu'song
刘禹锡,liu'yu'xi
刘知几,liu'zhi'ji
刘昼,liu'zhou
柳子厚,liu'zi'hou
柳宗元,liu'zong'yuan
刘宗周,liu'zong'zhou
龙虎,long'hu
隆正,long'zheng
鲁班,lu'ban
鲁褒,lu'bao
卢藏用,lu'cang'yong
陆沉,lu'chen
陆德明,lu'de'ming
卢格,lu'ge
陆绩,lu'ji
陆贾,lu'jia
陆九龄,lu'jiu'ling
陆九韶,lu'jiu'shao
陆九渊,lu'jiu'yuan
卢卡奇,lu'ka'qi
卢克莱修,lu'ke'lai'xiu
陆陇其,lu'long'qi
鹿门子,lu'men'zi
卢森堡,lu'sen'bao
鲁胜,lu'sheng
陆世仪,lu'shi'yi
鲁问,lu'wen
陆象山,lu'xiang'shan
陆修静,lu'xiu'jing
鲁迅,lu'xun
鲁仲连,lu'zhong'lian
乱极则治,luan'ji'ze'zhi
卵有毛,luan'you'mao
略知,lue'zhi
轮不碾地,lun'bu'nian'di
轮回,lun'hui
伦理,lun'li
伦理学,lun'li'xue
罗从彦,luo'cong'yan
罗光,luo'guang
罗含,luo'han
罗洪先,luo'hong'xian
落花之辨,luo'hua'zhi'bian
罗克汀,luo'ke'ting
罗马时期,luo'ma'shi'qi
罗钦顺,luo'qin'shun
罗汝芳,luo'ru'fang
罗隐,luo'yin
罗整庵,luo'zheng'an
吕本中,lv'ben'zhong
吕不韦,lv'bu'wei
吕才,lv'cai
吕澂,lv'cheng
吕大临,lv'da'lin
吕大愚,lv'da'yu
吕东莱,lv'dong'lai
吕公著,lv'gong'zhu
吕坤,lv'kun
吕留良,lv'liu'liang
吕柟,lv'nan
虑求,lv'qiu
履事,lv'shi
吕晚村,lv'wan'cun
吕希哲,lv'xi'zhe
吕振羽,lv'zhen'yu
吕祖谦,lv'zu'qian
马丹阳,ma'dan'yang
马端临,ma'duan'lin
马尔库塞,ma'er'ku'sai
马浮,ma'fu
马建忠,ma'jian'zhong
马可,ma'ke
马融,ma'rong
马有卵,ma'you'luan
马祖道一,ma'zu'dao'yi
麦加拉学派,mai'jia'la'xue'pai
麦里梭,mai'li'suo
曼海姆,man'hai'mu
满空皆火,man'kong'jie'huo
毛苌,mao'chang
矛盾,mao'dun
矛盾之说,mao'dun'zhi'shuo
毛公,mao'gong
毛亨,mao'heng
毛奇龄,mao'qi'ling
毛泽东,mao'ze'dong
美刺,mei'ci
美的根源,mei'di'gen'yuan
美善相乐,mei'shan'xiang'le
梅文鼎,mei'wen'ding
美质不饰,mei'zhi'bu'shi
每种现象,mei'zhong'xian'xiang
梦幻人世,meng'huan'ren'shi
孟轲,meng'ke
孟胜,meng'sheng
孟喜,meng'xi
蒙庄,meng'zhuang
孟子,meng'zi
米利都,mi'li'dou
米利都人,mi'li'dou'ren
米利都学派,mi'li'dou'xue'pai
米特林,mi'te'lin
妙明真心,miao'ming'zhen'xin
妙悟,miao'wu
妙叶,miao'ye
灭度,mie'du
民胞物与,min'bao'wu'yu
民本,min'ben
民本君末,min'ben'jun'mo
民贵君轻,min'gui'jun'qing
民可使由之,min'ke'shi'you'zhi
民生,min'sheng
民生史观,min'sheng'shi'guan
民生哲学,min'sheng'zhe'xue
闵损,min'sun
民无终贱,min'wu'zhong'jian
民之所欲,min'zhi'suo'yu
民主君客,min'zhu'jun'ke
闵子骞,min'zi'qian
名辩,ming'bian
明辨,ming'bian
命不可勉,ming'bu'ke'mian
明诚,ming'cheng
明诚合一,ming'cheng'he'yi
明耻,ming'chi
名达,ming'da
明胆异气,ming'dan'yi'qi
明道不计功,ming'dao'bu'ji'gong
明法审令,ming'fa'shen'ling
明分使群,ming'fen'shi'qun
名各顺于天,ming'ge'shun'yu'tian
明故,ming'gu
明鬼,ming'gui
冥极之知,ming'ji'zhi'zhi
明鉴,ming'jian
名教,ming'jiao
名教出于自然,ming'jiao'chu'yu'zi'ran
名教即自然,ming'jiao'ji'zi'ran
名教之乐,ming'jiao'zhi'le
名教自然之辨,ming'jiao'zi'ran'zhi'bian
名理,ming'li
冥然自合,ming'ran'zi'he
名色,ming'se
明善诚身,ming'shan'cheng'shen
名胜,ming'sheng
名生于真,ming'sheng'yu'zhen
名士,ming'shi
名实,ming'shi
名实耦,ming'shi'ou
名实相应,ming'shi'xiang'ying
名实之辩,ming'shi'zhi'bian
命题,ming'ti
明体达用之学,ming'ti'da'yong'zhi'xue
命物之名,ming'wu'zhi'ming
明心见性,ming'xin'jian'xing
溟涬,ming'xing
冥行妄作,ming'xing'wang'zuo
名有三科,ming'you'san'ke
命迂,ming'yu
明于天人之分,ming'yu'tian'ren'zhi'fen
明哲保身,ming'zhe'bao'shen
名逐物而迁,ming'zhu'wu'er'qian
墨翟,mo'di
墨箓,mo'lu
末那识,mo'na'shi
莫破质点,mo'po'zhi'dian
莫若以明,mo'ruo'yi'ming
莫绍揆,mo'shao'kui
莫为,mo'wei
墨子,mo'zi
某些特征,mou'xie'te'zheng
牟子,mou'zi
牟宗三,mou'zong'san
目不见,mu'bu'jian
目识,mu'shi
穆斯林哲学,mu'si'lin'zhe'xue
木桶里,mu'tong'li
目想,mu'xiang
纳甲,na'jia
南无,na'mo
拿证据来,na'zheng'ju'lai
南方无穷而有穷,nan'fang'wu'qiong'er'you'qiong
难自然好学论,nan'zi'ran'hao'xue'lun
脑气筋,nao'qi'jin
脑髓说,nao'sui'shuo
脑昔芬尼,nao'xi'fen'ni
内成,nei'cheng
内丹,nei'dan
内界立法,nei'jie'li'fa
内美,nei'mei
内圣外王,nei'sheng'wai'wang
内视,nei'shi
内视反听,nei'shi'fan'ting
内史兴,nei'shi'xing
内外交相成之道,nei'wai'jiao'xiang'cheng'zhi'dao
内外相须,nei'wai'xiang'xu
内外之合,nei'wai'zhi'he
内心世界,nei'xin'shi'jie
内省,nei'xing
内学,nei'xue
内游,nei'you
内籀,nei'zhou
能必副所,neng'bi'fu'suo
能参,neng'can
能动性,neng'dong'xing
能立,neng'li
能破,neng'po
能所,neng'suo
能知,neng'zhi
能知必能行,neng'zhi'bi'neng'xing
逆教,ni'jiao
念念生灭,nian'nian'sheng'mie
聂豹,nie'bao
涅槃,nie'pan
牛僧孺,niu'seng'ru
欧布里德,ou'bu'li'de
欧克里德,ou'ke'li'de
耦立,ou'li
偶其类,ou'qi'lei
偶然,ou'ran
偶然性,ou'ran'xing
欧文,ou'wen
欧阳德,ou'yang'de
欧阳建,ou'yang'jian
欧阳渐,ou'yang'jian
欧阳竟无,ou'yang'jing'wu
欧阳修,ou'yang'xiu
耦中有耦,ou'zhong'you'ou
偶自生,ou'zi'sheng
判教,pan'jiao
潘尼提乌,pan'ni'ti'wu
潘平格,pan'ping'ge
潘师正,pan'shi'zheng
潘用微,pan'yong'wei
潘梓年,pan'zi'nian
庞鸿,pang'hong
庞朴,pang'pu
庖丁解牛,pao'ding'jie'niu
裴徽,pei'hui
裴頠,pei'wei
彭定求,peng'ding'qiu
捧喝,peng'he
彭康,peng'kang
彭蒙,peng'meng
彭绍升,peng'shao'sheng
彭晓,peng'xiao
彭允初,peng'yun'chu
譬称,pi'cheng
否极泰来,pi'ji'tai'lai
皮日休,pi'ri'xiu
皮锡瑞,pi'xi'rui
平待,ping'dai
平旦之气,ping'dan'zhi'qi
平等,ping'deng
评判的态度,ping'pan'de'tai'du
凭虚构象,ping'xu'gou'xiang
破对待,po'dui'dai
破邪显正,po'xie'xian'zheng
破心中贼,po'xin'zhong'zei
破作两片,po'zuo'liang'pian
普列汉诺夫,pu'lie'han'nuo'fu
普鲁东,pu'lu'dong
普罗克洛斯,pu'luo'ke'luo'si
普罗泰戈拉,pu'luo'tai'ge'la
普罗提诺,pu'luo'ti'nuo
普纳路亚,pu'na'lu'ya
朴素辩证法,pu'su'bian'zheng'fa
朴素唯物主义,pu'su'wei'wu'zhu'yi
菩提,pu'ti
菩提达摩,pu'ti'da'mo
菩提树,pu'ti'shu
普通科学,pu'tong'ke'xue
普通人民,pu'tong'ren'min
气本,qi'ben
气禀,qi'bing
气禀有定,qi'bing'you'ding
岐伯,qi'bo
其大千里,qi'da'qian'li
漆雕开,qi'diao'kai
七法,qi'fa
气化,qi'hua
气化即道,qi'hua'ji'dao
器可变,qi'ke'bian
启蒙运动,qi'meng'yun'dong
气母,qi'mu
七气,qi'qi
七情,qi'qing
齐是非,qi'shi'fei
器世间,qi'shi'jian
齐死生,qi'si'sheng
契嵩,qi'song
其他阶级,qi'ta'jie'ji
器体道用,qi'ti'dao'yong
齐万物,qi'wan'wu
气万则理万,qi'wan'ze'li'wan
齐万致,qi'wan'zhi
七纬,qi'wei
齐物,qi'wu
齐物我,qi'wu'wo
气须形而知,qi'xu'xing'er'zhi
气一则理一,qi'yi'ze'li'yi
气有聚散无灭息,qi'you'ju'san'wu'mie'xi
起源于,qi'yuan'yu
气运,qi'yun
气韵,qi'yun
气运决定论,qi'yun'jue'ding'lun
齐泽克,qi'ze'ke
气者理之依,qi'zhe'li'zhi'yi
奇正相生,qi'zheng'xiang'sheng
气质,qi'zhi
气质之性,qi'zhi'zhi'xing
气自然论,qi'zi'ran'lun
钱德洪,qian'de'hong
谴告,qian'gao
乾坤,qian'kun
乾坤并建,qian'kun'bing'jian
钱穆,qian'mu
前识,qian'shi
迁想妙得,qian'xiang'miao'de
遣相证性,qian'xiang'zheng'xing
强调理性,qiang'diao'li'xing
强力从事,qiang'li'cong'shi
强物就我,qiang'wu'jiu'wo
巧转,qiao'zhuan
切问近思,qie'wen'jin'si
禽滑釐,qin'hua'li
亲民,qin'min
亲下手一番,qin'xia'shou'yi'fan
亲知,qin'zhi
情采,qing'cai
青出于兰而青于兰,qing'chu'yu'lan'er'qing'yu'lan
轻贱唐虞而笑大禹,qing'jian'tang'yu'er'xiao'da'yu
清静无为,qing'jing'wu'wei
青年黑格尔派,qing'nian'hei'ge'er'pai
清谈,qing'tan
情伪相感,qing'wei'xiang'gan
轻物重生,qing'wu'chong'sheng
清虚一大,qing'xu'yi'da
情欲寡浅,qing'yu'gua'qian
情中景,qing'zhong'jing
穷达,qiong'da
穷理尽性,qiong'li'jin'xing
穷神知化,qiong'shen'zhi'hua
穷通,qiong'tong
穷形尽相,qiong'xing'jin'xiang
邱处机,qiu'chu'ji
丘处机,qiu'chu'ji
求放心,qiu'fang'xin
邱汉生,qiu'han'sheng
邱濬,qiu'jun
去和取同,qu'he'qu'tong
去解释,qu'jie'shi
取境,qu'jing
去九界,qu'jiu'jie
去苦求乐,qu'ku'qiu'le
屈平,qu'ping
瞿秋白,qu'qiu'bai
去人欲,qu'ren'yu
趋时更新,qu'shi'geng'xin
瞿世英,qu'shi'ying
取实责名,qu'shi'ze'ming
取象形器,qu'xiang'xing'qi
屈原,qu'yuan
犬可以为羊,quan'ke'yi'wei'yang
全盘否定,quan'pan'fou'ding
犬儒,quan'ru
犬儒理念,quan'ru'li'nian
犬儒学派,quan'ru'xue'pai
犬儒学者,quan'ru'xue'zhe
犬儒主义,quan'ru'zhu'yi
犬儒主义学派,quan'ru'zhu'yi'xue'pai
犬儒主义者,quan'ru'zhu'yi'zhe
全性保真,quan'xing'bao'zhen
全增嘏,quan'zeng'gu
全祖望,quan'zu'wang
群己,qun'ji
群有以至虚为宗,qun'you'yi'zhi'xu'wei'zong
群众观点,qun'zhong'guan'dian
群众路线,qun'zhong'lu'xian
冉求,ran'qiu
冉雍,ran'yong
冉有,ran'you
让生于有余,rang'sheng'yu'you'yu
饶鲁,rao'lu
人道,ren'dao
人道有为,ren'dao'you'wei
人道之知,ren'dao'zhi'zhi
任德,ren'de
人定胜天,ren'ding'sheng'tian
任耳目而定情实,ren'er'mu'er'ding'qing'shi
人非利不生,ren'fei'li'bu'sheng
人副天数,ren'fu'tian'shu
人极,ren'ji
任继愈,ren'ji'yu
人皆可以为尧舜,ren'jie'ke'yi'wei'yao'shun
人爵,ren'jue
人口因素,ren'kou'yin'su
人类感官,ren'lei'gan'guan
人类互助原则,ren'lei'hu'zhu'yuan'ze
人类进化之时期,ren'lei'jin'hua'zhi'shi'qi
人类生命,ren'lei'sheng'ming
人理,ren'li
刃利之喻,ren'li'zhi'yu
人伦,ren'lun
人马之喻,ren'ma'zhi'yu
人谋,ren'mou
人能,ren'neng
人能弘道,ren'neng'hong'dao
人能胜乎天,ren'neng'sheng'hu'tian
任情极性,ren'qing'ji'xing
人神关系,ren'shen'guan'xi
仁声,ren'sheng
人生观论战,ren'sheng'guan'lun'zhan
认识的多元论,ren'shi'de'duo'yuan'lun
认识论,ren'shi'lun
人事为本,ren'shi'wei'ben
任曙,ren'shu
人为天地万物之盗说,ren'wei'tian'di'wan'wu'zhi'dao'shuo
仁为天地万物之源,ren'wei'tian'di'wan'wu'zhi'yuan
人为万物之灵,ren'wei'wan'wu'zhi'ling
人文,ren'wen
人物品藻,ren'wu'pin'zao
人心,ren'xin
人性,ren'xing
人性兽性同时发展,ren'xing'shou'xing'tong'shi'fa'zhan
人演,ren'yan
人义,ren'yi
仁义,ren'yi
仁义礼智,ren'yi'li'zhi
仁以通为第一义,ren'yi'tong'wei'di'yi'yi
人欲,ren'yu
人欲横流说,ren'yu'heng'liu'shuo
仁者爱人,ren'zhe'ai'ren
仁政,ren'zheng
任卓宣,ren'zhuo'xuan
人自己,ren'zi'ji
人自身,ren'zi'shen
日新,ri'xin
日新之化,ri'xin'zhi'hua
容闳,rong'hong
荣辱,rong'ru
荣辱之分,rong'ru'zhi'fen
容肇祖,rong'zhao'zu
柔节,rou'jie
柔羽胜刚强,rou'yu'sheng'gang'qiang
入德凝道,ru'de'ning'dao
入静,ru'jing
如来藏,ru'lai'zang
汝南月旦,ru'nan'yue'dan
阮德如,ruan'de'ru
阮籍,ruan'ji
阮嗣宗,ruan'si'zong
阮咸,ruan'xian
阮修,ruan'xiu
阮元,ruan'yuan
阮瞻,ruan'zhan
弱者道之用,ruo'zhe'dao'zhi'yong
萨卡斯,sa'ka'si
萨特,sa'te
塞内卡,sai'nei'ka
塞翁失马,sai'weng'shi'ma
赛先生,sai'xian'sheng
三宝,san'bao
三表,san'biao
三不朽,san'bu'xiu
三才,san'cai
三材,san'cai
三乘,san'cheng
三从四德,san'cong'si'de
三达德,san'da'de
三大哲学家,san'da'zhe'xue'jia
三盗,san'dao
三德,san'de
三谛偈,san'di'ji
三谛圆融,san'di'yuan'rong
三法,san'fa
三法印,san'fa'yin
三纲,san'gang
三纲领八条目,san'gang'ling'ba'tiao'mu
三纲六纪,san'gang'liu'ji
三纲五常,san'gang'wu'chang
三个阶段,san'ge'jie'duan
