艾牧电子,ai'mu'dian'zi
乾务奶牛场,qian'wu'nai'niu'chang
乾务南,qian'wu'nan
乾务糖厂,qian'wu'tang'chang
乾务卫生院,qian'wu'wei'sheng'yuan
乾务消防队,qian'wu'xiao'fang'dui
乾务中心小学,qian'wu'zhong'xin'xiao'xue
前西二队,qian'xi'er'dui
前西六队,qian'xi'liu'dui
乾西农场,qian'xi'nong'chang
前西三队,qian'xi'san'dui
前西四队,qian'xi'si'dui
前西五队,qian'xi'wu'dui
前西一队,qian'xi'yi'dui
侨光西,qiao'guang'xi
侨光小学,qiao'guang'xiao'xue
侨立中医院,qiao'li'zhong'yi'yuan
侨苑,qiao'yuan
庆华国际酒店,qing'hua'guo'ji'jiu'dian
清华科技园,qing'hua'ke'ji'yuan
情侣南路北,qing'lv'nan'lu'bei
情侣南路南,qing'lv'nan'lu'nan
情侣南路中,qing'lv'nan'lu'zhong
清沁园,qing'qin'yuan
青湾,qing'wan
青湾码头,qing'wan'ma'tou
青湾农场,qing'wan'nong'chang
青竹花园,qing'zhu'hua'yuan
全球通大厦,quan'qiu'tong'da'sha
燃气集团,ran'qi'ji'tuan
仁恒星园,ren'heng'xing'yuan
人力资源中心,ren'li'zi'yuan'zhong'xin
人民西路口,ren'min'xi'lu'kou
人民医院,ren'min'yi'yuan
日东涂料,ri'dong'tu'liao
日高公司,ri'gao'gong'si
日华花园,ri'hua'hua'yuan
日通座椅厂,ri'tong'zuo'yi'chang
荣泰河庭南门,rong'tai'he'ting'nan'men
荣兴路口,rong'xing'lu'kou
榕益,rong'yi
撒比斯化学,sa'bi'si'hua'xue
赛迪生,sai'di'sheng
三板,san'ban
三板市场,san'ban'shi'chang
三板四连,san'ban'si'lian
三板小学,san'ban'xiao'xue
三村工业园,san'cun'gong'ye'yuan
三叠泉,san'die'quan
三沟,san'gou
三间,san'jian
三角,san'jiao
三里,san'li
三龙,san'long
三台石北,san'tai'shi'bei
三塘,san'tang
三灶,san'zao
三灶街,san'zao'jie
三灶文化中心,san'zao'wen'hua'zhong'xin
三灶医院,san'zao'yi'yuan
三灶总站,san'zao'zong'zhan
沙白石,sha'bai'shi
沙脊,sha'ji
沙栏,sha'lan
沙栏市场,sha'lan'shi'chang
沙龙新村,sha'long'xin'cun
沙丘遗址,sha'qiu'yi'zhi
沙湾,sha'wan
山边,shan'bian
山场路中,shan'chang'lu'zhong
山场市场,shan'chang'shi'chang
山场西,shan'chang'xi
山水恒源,shan'shui'heng'yuan
山水花城,shan'shui'hua'cheng
上表,shang'biao
上栅,shang'ce
上冲,shang'chong
上冲检查站,shang'chong'jian'cha'zhan
上冲客运中心,shang'chong'ke'yun'zhong'xin
上冲总站,shang'chong'zong'zhan
上金龙,shang'jin'long
上涌村,shang'yong'cun
神前总站,shen'qian'zong'zhan
生化制药厂,sheng'hua'zhi'yao'chang
省科干学校,sheng'ke'gan'xue'xiao
省科干学院,sheng'ke'gan'xue'yuan
胜利路,sheng'li'lu
圣堂,sheng'tang
世邦广场,shi'bang'guang'chang
世邦家居世界,shi'bang'jia'ju'shi'jie
石博园,shi'bo'yuan
石场,shi'chang
时代山湖海,shi'dai'shan'hu'hai
石化仓储,shi'hua'cang'chu
石花东,shi'hua'dong
石景山,shi'jing'shan
石门,shi'men
石门坑,shi'men'keng
石山,shi'shan
市实验中学,shi'shi'yan'zhong'xue
市图书馆,shi'tu'shu'guan
实验中学北门,shi'yan'zhong'xue'bei'men
石竹苑,shi'zhu'yuan
狮子头,shi'zi'tou
收容教育所,shou'rong'jiao'yu'suo
曙光,shu'guang
双龙,shuang'long
双龙村口,shuang'long'cun'kou
双喜电器,shuang'xi'dian'qi
水泊围,shui'po'wei
水湾北,shui'wan'bei
水湾路南,shui'wan'lu'nan
水湾头,shui'wan'tou
水拥坑,shui'yong'keng
顺意花场,shun'yi'hua'chang
四九顷,si'jiu'qing
饲料厂,si'liao'chang
四塘,si'tang
泗喜油站,si'xi'you'zhan
四中,si'zhong
颂其制衣厂,song'qi'zhi'yi'chang
隧道南,sui'dao'nan
獭山,ta'shan
獭山村口,ta'shan'cun'kou
台农创业园,tai'nong'chuang'ye'yuan
太平湾,tai'ping'wan
太阳鸟游艇,tai'yang'niao'you'ting
潭井,tan'jing
坦洲路口,tan'zhou'lu'kou
汤臣倍健,tang'chen'bei'jian
唐家,tang'jia
唐家市场,tang'jia'shi'chang
唐淇路中,tang'qi'lu'zhong
唐人街,tang'ren'jie
桃园新村,tao'yuan'xin'cun
特警支队,te'jing'zhi'dui
藤湖苑,teng'hu'yuan
藤山二路,teng'shan'er'lu
体育中心南,ti'yu'zhong'xin'nan
体育中心南站,ti'yu'zhong'xin'nan'zhan
体育中心西,ti'yu'zhong'xin'xi
田边,tian'bian
天地人市场,tian'di'ren'shi'chang
天湖风景区,tian'hu'feng'jing'qu
田家炳中学,tian'jia'bing'zhong'xue
天科路北,tian'ke'lu'bei
天科路中,tian'ke'lu'zhong
天威科技园,tian'wei'ke'ji'yuan
田心,tian'xin
田岩,tian'yan
铁炉,tie'lu
铁山,tie'shan
同胜工业区,tong'sheng'gong'ye'qu
通信大厦,tong'xin'da'sha
同益,tong'yi
头围,tou'wei
外沙,wai'sha
湾口,wan'kou
万威美地,wan'wei'mei'di
湾仔,wan'zai
湾仔口岸,wan'zai'kou'an
湾仔旅游码头,wan'zai'lv'you'ma'tou
湾仔沙,wan'zai'sha
湾仔沙广场,wan'zai'sha'guang'chang
湾仔中学,wan'zai'zhong'xue
望海楼,wang'hai'lou
旺角百货,wang'jiao'bai'huo
网山,wang'shan
伟创力,wei'chuang'li
伟创力广场,wei'chuang'li'guang'chang
卫东,wei'dong
卫东五队,wei'dong'wu'dui
威尔科技园,wei'er'ke'ji'yuan
卫红,wei'hong
桅夹,wei'jia
桅夹村委,wei'jia'cun'wei
桅夹路口,wei'jia'lu'kou
桅夹中,wei'jia'zhong
威景制衣厂,wei'jing'zhi'yi'chang
为农市场,wei'nong'shi'chang
卫强,wei'qiang
威士茂北门,wei'shi'mao'bei'men
围头,wei'tou
围头新村,wei'tou'xin'cun
文武学校,wen'wu'xue'xiao
武警支队,wu'jing'zhi'dui
五七桥,wu'qi'qiao
五山沙龙,wu'shan'sha'long
五山糖厂,wu'shan'tang'chang
五山卫生院,wu'shan'wei'sheng'yuan
五山中心小学,wu'shan'zhong'xin'xiao'xue
五山中学,wu'shan'zhong'xue
乌石,wu'shi
五一三广场,wu'yi'san'guang'chang
西部沿海入口,xi'bu'yan'hai'ru'kou
西侧,xi'ce
西堤,xi'di
西凤百货,xi'feng'bai'huo
西海岸花园,xi'hai'an'hua'yuan
西湖城区,xi'hu'cheng'qu
西江月花园,xi'jiang'yue'hua'yuan
西窖,xi'jiao
西坑,xi'keng
西六围,xi'liu'wei
西埔,xi'pu
西埔长途站,xi'pu'chang'tu'zhan
西埔路中,xi'pu'lu'zhong
西埔明珠广场,xi'pu'ming'zhu'guang'chang
西埔市场,xi'pu'shi'chang
西湾,xi'wan
西湾东,xi'wan'dong
西湾小学,xi'wan'xiao'xue
西五围,xi'wu'wei
下栅,xia'ce
下栅检查站,xia'ce'jian'cha'zhan
下冲,xia'chong
夏村,xia'cun
夏村南,xia'cun'nan
下金龙路口,xia'jin'long'lu'kou
夏美,xia'mei
虾山路口,xia'shan'lu'kou
夏湾,xia'wan
夏湾路中,xia'wan'lu'zhong
夏湾市场,xia'wan'shi'chang
夏湾新村,xia'wan'xin'cun
显兴包装,xian'xing'bao'zhuang
香工路北,xiang'gong'lu'bei
香工路口,xiang'gong'lu'kou
香工路南,xiang'gong'lu'nan
香华东,xiang'hua'dong
香华中,xiang'hua'zhong
祥环新村,xiang'huan'xin'cun
香宁花园,xiang'ning'hua'yuan
香洲,xiang'zhou
香洲港,xiang'zhou'gang
香洲区府,xiang'zhou'qu'fu
香洲总站,xiang'zhou'zong'zhan
小赤坎,xiao'chi'kan
小赤坎东,xiao'chi'kan'dong
小赤坎西,xiao'chi'kan'xi
小濠冲,xiao'hao'chong
小濠冲西,xiao'hao'chong'xi
小黄杨,xiao'huang'yang
小林,xiao'lin
小林市场,xiao'lin'shi'chang
小林实小,xiao'lin'shi'xiao
斜尾,xie'wei
斜尾新村,xie'wei'xin'cun
新埠,xin'bu
新村,xin'cun
新村口,xin'cun'kou
新东,xin'dong
新二,xin'er
新二桥头,xin'er'qiao'tou
新沟,xin'gou
信海大厦,xin'hai'da'sha
心和制衣厂,xin'he'zhi'yi'chang
新虹环保,xin'hong'huan'bao
新鸿酒店,xin'hong'jiu'dian
新会南朗,xin'hui'nan'lang
新徽实验学校,xin'hui'shi'yan'xue'xiao
新力船厂,xin'li'chuan'chang
新立科技,xin'li'ke'ji
新马墩,xin'ma'dun
新青二路,xin'qing'er'lu
新青二路口,xin'qing'er'lu'kou
新青管委会,xin'qing'guan'wei'hui
新青科技园,xin'qing'ke'ji'yuan
新青五路,xin'qing'wu'lu
新沙,xin'sha
新市花园,xin'shi'hua'yuan
新世界花园,xin'shi'jie'hua'yuan
新堂,xin'tang
新堂市场,xin'tang'shi'chang
新堂制衣厂,xin'tang'zhi'yi'chang
新围,xin'wei
新围村口,xin'wei'cun'kou
新五,xin'wu
新屋,xin'wu
新五林场,xin'wu'lin'chang
新香洲万家,xin'xiang'zhou'wan'jia
新益,xin'yi
新一村口,xin'yi'cun'kou
新一冷冻厂,xin'yi'leng'dong'chang
新泽园,xin'ze'yuan
新洲,xin'zhou
幸村,xing'cun
兴发公司,xing'fa'gong'si
星汉路东,xing'han'lu'dong
星汉路西,xing'han'lu'xi
星汉路中,xing'han'lu'zhong
星洋公司,xing'yang'gong'si
兴业公司,xing'ye'gong'si
兴业中,xing'ye'zhong
星宇,xing'yu
行政服务中心,xing'zheng'fu'wu'zhong'xin
亚马逊部落,ya'ma'xun'bu'luo
烟墩山,yan'dun'shan
沿山仔,yan'shan'zai
阳春埔,yang'chun'pu
阳光机场酒店,yang'guang'ji'chang'jiu'dian
阳光生态园,yang'guang'sheng'tai'yuan
洋河酒厂,yang'he'jiu'chang
漾湖明居,yang'hu'ming'ju
漾湖明居西门,yang'hu'ming'ju'xi'men
洋环,yang'huan
养老院,yang'lao'yuan
乙川精机,yi'chuan'jing'ji
意多家私,yi'duo'jia'si
艺匠家居,yi'jiang'jia'ju
益力集团,yi'li'ji'tuan
一六八医院,yi'liu'ba'yi'yuan
一区,yi'qu
艺术学院,yi'shu'xue'yuan
怡馨园,yi'xin'yuan
一职校,yi'zhi'xiao
一中,yi'zhong
一中东门,yi'zhong'dong'men
一字桥头,yi'zi'qiao'tou
银城酒店,yin'cheng'jiu'dian
银都,yin'du
银海新村,yin'hai'xin'cun
银桦新村,yin'hua'xin'cun
银坑,yin'keng
银坑村,yin'keng'cun
银沙滩,yin'sha'tan
银石雅园,yin'shi'ya'yuan
银石雅园南,yin'shi'ya'yuan'nan
银潭,yin'tan
银鑫花园,yin'xin'hua'yuan
银星花园,yin'xing'hua'yuan
英表,ying'biao
英表南,ying'biao'nan
盈得利制衣厂,ying'de'li'zhi'yi'chang
映月路西,ying'yue'lu'xi
映月新村,ying'yue'xin'cun
永安路中,yong'an'lu'zhong
勇达大厦,yong'da'da'sha
永丰路口,yong'feng'lu'kou
永辉路口,yong'hui'lu'kou
永结花园,yong'jie'hua'yuan
永前制冰,yong'qian'zhi'bing
油码头,you'ma'tou
邮政大厦,you'zheng'da'sha
渔村,yu'cun
裕华公司,yu'hua'gong'si
鱼兰,yu'lan
鱼林村委,yu'lin'cun'wei
鱼林小学,yu'lin'xiao'xue
鱼弄,yu'nong
裕泰工业园,yu'tai'gong'ye'yuan
裕田化工,yu'tian'hua'gong
御温泉,yu'wen'quan
园林西,yuan'lin'xi
圆明山庄,yuan'ming'shan'zhuang
圆明新园,yuan'ming'xin'yuan
圆明新园总站,yuan'ming'xin'yuan'zong'zhan
元盛电子,yuan'sheng'dian'zi
园艺研究所,yuan'yi'yan'jiu'suo
园艺研究院,yuan'yi'yan'jiu'yuan
粤海东,yue'hai'dong
粤华西,yue'hua'xi
月坑,yue'keng
月坑市场,yue'keng'shi'chang
月堂,yue'tang
云顶澜山,yun'ding'lan'shan
造贝,zao'bei
造贝东,zao'bei'dong
造贝西,zao'bei'xi
招商花园城,zhao'shang'hua'yuan'cheng
招商花园城南,zhao'shang'hua'yuan'cheng'nan
昭信,zhao'xin
昭信路口,zhao'xin'lu'kou
振达猪场,zhen'da'zhu'chang
珍珠乐园,zhen'zhu'le'yuan
正表,zheng'biao
正业,zheng'ye
纸箱厂,zhi'xiang'chang
中臣花园,zhong'chen'hua'yuan
中大南门,zhong'da'nan'men
中大五院,zhong'da'wu'yuan
中电大厦,zhong'dian'da'sha
中纺城,zhong'fang'cheng
中富,zhong'fu
中富实业,zhong'fu'shi'ye
中南修理厂,zhong'nan'xiu'li'chang
中润集团,zhong'run'ji'tuan
中山大学,zhong'shan'da'xue
中山亭,zhong'shan'ting
中心村,zhong'xin'cun
中心围,zhong'xin'wei
中兴南,zhong'xing'nan
中阳革业,zhong'yang'ge'ye
中医院,zhong'yi'yuan
中珠花园,zhong'zhu'hua'yuan
中珠桥,zhong'zhu'qiao
洲仔,zhou'zai
竹场,zhu'chang
珠峰大道,zhu'feng'da'dao
珠峰大道西,zhu'feng'da'dao'xi
珠光汽车公司,zhu'guang'qi'che'gong'si
珠光新城,zhu'guang'xin'cheng
珠海,zhu'hai
珠海保税区,zhu'hai'bao'shui'qu
珠海北站,zhu'hai'bei'zhan
珠海大桥东,zhu'hai'da'qiao'dong
珠海大桥西,zhu'hai'da'qiao'xi
珠海电厂,zhu'hai'dian'chang
珠海电台,zhu'hai'dian'tai
珠海港,zhu'hai'gang
珠海拱北候机楼,zhu'hai'gong'bei'hou'ji'lou
珠海机场,zhu'hai'ji'chang
珠海下栅检查站,zhu'hai'xia'ce'jian'cha'zhan
珠海香洲候机楼,zhu'hai'xiang'zhou'hou'ji'lou
珠海渔女,zhu'hai'yu'nv
珠海站,zhu'hai'zhan
竹坑,zhu'keng
竹仙洞,zhu'xian'dong
竹苑,zhu'yuan
竹洲,zhu'zhou
竹洲小学,zhu'zhou'xiao'xue
卓雅花园,zhuo'ya'hua'yuan
卓越路口,zhuo'yue'lu'kou
紫荆园,zi'jing'yuan
遵义医学院,zun'yi'yi'xue'yuan
