阿卡邦,a'ka'bang
嫩闺女,nen'gui'nv
嫩姐夫,nen'jie'fu
嫩姐姐,nen'jie'jie
嫩老婆,nen'lao'po
嫩俩个,nen'lia'ge
嫩两个,nen'liang'ge
嫩麻痹,nen'ma'bi
嫩妈妈,nen'ma'ma
嫩在哪,nen'zai'na
能干点什么,neng'gan'dian'shen'me
能合适,neng'he'shi
能强点,neng'qiang'dian
能休班,neng'xiu'ban
能怎么了,neng'zen'me'le
你彪,ni'biao
你彪啊,ni'biao'a
你彪了,ni'biao'le
你彪吗,ni'biao'ma
你彪么,ni'biao'me
你别上火,ni'bie'shang'huo
你别上火了,ni'bie'shang'huo'le
你不彪,ni'bu'biao
你不休班,ni'bu'xiu'ban
你才彪,ni'cai'biao
你痴,ni'chi
你痴不,ni'chi'bu
你吃饭啦,ni'chi'fan'la
你痴了,ni'chi'le
你从来没考虑,ni'cong'lai'mei'kao'lv
你带干什么,ni'dai'gan'shen'me
你倒好成天叨叨,ni'dao'hao'cheng'tian'dao'dao
你的死,ni'de'si
你得干什么,ni'dei'gan'shen'me
你等会哈,ni'deng'hui'ha
你等看看,ni'deng'kan'kan
你冬眠啊,ni'dong'mian'a
你都知道什么,ni'dou'zhi'dao'shen'me
你告诉我来,ni'gao'su'wo'lai
你过来来,ni'guo'lai'lai
你好死了,ni'hao'si'le
你和个,ni'he'ge
你就坏吧,ni'jiu'huai'ba
你开发区,ni'kai'fa'qu
你看办,ni'kan'ban
你看见来,ni'kan'jian'lai
你看没看见,ni'kan'mei'kan'jian
你来烟台,ni'lai'yan'tai
你莱州,ni'lai'zhou
你那干嘛,ni'na'gan'ma
你那干嘛呢,ni'na'gan'ma'ne
你那干啥,ni'na'gan'sha
你那干什么,ni'na'gan'shen'me
你那冷不冷,ni'na'leng'bu'leng
你哪么,ni'na'me
你那么了,ni'na'me'le
你那么知道,ni'na'me'zhi'dao
你能干点什么,ni'neng'gan'dian'shen'me
你捏个,ni'nie'ge
你蓬莱,ni'peng'lai
你去烟台,ni'qu'yan'tai
你却和别人说,ni'que'he'bie'ren'shuo
你上俺家,ni'shang'an'jia
你上午来干嘛,ni'shang'wu'lai'gan'ma
你是快了,ni'shi'kuai'le
你是莱州,ni'shi'lai'zhou
你是没辙,ni'shi'mei'zhe
你是能,ni'shi'neng
你是女人啊,ni'shi'nv'ren'a
你是说我很傻,ni'shi'shuo'wo'hen'sha
你是说昨天啊,ni'shi'shuo'zuo'tian'a
你是烟台,ni'shi'yan'tai
你是烟台的,ni'shi'yan'tai'de
你是烟台哪的,ni'shi'yan'tai'na'de
你说说来,ni'shuo'shuo'lai
你说算,ni'shuo'suan
你说些什么,ni'shuo'xie'shen'me
你说行了,ni'shuo'xing'le
你下个周,ni'xia'ge'zhou
你休班,ni'xiu'ban
你烟台,ni'yan'tai
你烟台的,ni'yan'tai'de
你烟台哪的,ni'yan'tai'na'de
你要是说方便,ni'yao'shi'shuo'fang'bian
你也听不明白,ni'ye'ting'bu'ming'bai
你也早早,ni'ye'zao'zao
你也早早睡,ni'ye'zao'zao'shui
你也早早睡吧,ni'ye'zao'zao'shui'ba
你在班上吗,ni'zai'ban'shang'ma
你在福山,ni'zai'fu'shan
你在家干什么,ni'zai'jia'gan'shen'me
你在开发区,ni'zai'kai'fa'qu
你在莱山,ni'zai'lai'shan
你在莱阳,ni'zai'lai'yang
你在莱州,ni'zai'lai'zhou
你在龙口,ni'zai'long'kou
你在牟平,ni'zai'mu'ping
你在哪干什么,ni'zai'na'gan'shen'me
你在捏,ni'zai'nie
你在蓬莱,ni'zai'peng'lai
你在烟台,ni'zai'yan'tai
你在以后,ni'zai'yi'hou
你在招远,ni'zai'zhao'yuan
你造反了,ni'zao'fan'le
你早早睡,ni'zao'zao'shui
你早早睡吧,ni'zao'zao'shui'ba
你遭罪,ni'zao'zui
你这个周,ni'zhe'ge'zhou
你知道这些日子,ni'zhi'dao'zhe'xie'ri'zi
你自己看着吧,ni'zi'ji'kan'zhe'ba
捏边,nie'bian
捏次,nie'ci
捏个,nie'ge
捏个人,nie'ge'ren
捏就,nie'jiu
捏么,nie'me
捏么多,nie'me'duo
捏时候,nie'shi'hou
捏些,nie'xie
牛尾汤,niu'wei'tang
农博园,nong'bo'yuan
弄特,nong'te
暖山,nuan'shan
哦恩,o'en
欧美香,ou'mei'xiang
怕受骗,pa'shou'pian
帕特仑,pa'te'lun
爬虾,pa'xia
排名就,pai'ming'jiu
盘石,pan'shi
泡茶呢,pao'cha'ne
跑山鸡,pao'shan'ji
跑烟台,pao'yan'tai
陪老公啊,pei'lao'gong'a
蓬达,peng'da
彭果,peng'guo
蓬建,peng'jian
蓬莱,peng'lai
蓬莱啊,peng'lai'a
蓬莱吧,peng'lai'ba
蓬莱春,peng'lai'chun
蓬莱的,peng'lai'de
蓬莱港,peng'lai'gang
蓬莱阁,peng'lai'ge
蓬莱了,peng'lai'le
蓬莱吗,peng'lai'ma
蓬莱呢,peng'lai'ne
蓬莱人,peng'lai'ren
蓬莱市,peng'lai'shi
蓬莱师范,peng'lai'shi'fan
蓬莱天气,peng'lai'tian'qi
蓬莱小面,peng'lai'xiao'mian
蓬莱信息港,peng'lai'xin'xi'gang
蓬莱一中,peng'lai'yi'zhong
偏口,pian'kou
品质果蔬,pin'zhi'guo'shu
平里店,ping'li'dian
平壤馆,ping'rang'guan
葡萄山,pu'tao'shan
普天布衣,pu'tian'bu'yi
七餐,qi'can
七点来钟,qi'dian'lai'zhong
七甲,qi'jia
绮丽大厦,qi'li'da'sha
齐鲁人才,qi'lu'ren'cai
奇山,qi'shan
奇山路,qi'shan'lu
齐山镇,qi'shan'zhen
淇水,qi'shui
齐王飞君,qi'wang'fei'jun
栖霞,qi'xia
栖霞的,qi'xia'de
栖霞了,qi'xia'le
栖霞人,qi'xia'ren
栖霞市,qi'xia'shi
前七夼,qian'qi'kuang
牵手俱乐部,qian'shou'ju'le'bu
欠砸,qian'za
强点了,qiang'dian'le
巧果,qiao'guo
巧媳妇,qiao'xi'fu
沁水河,qin'shui'he
青岛方特,qing'dao'fang'te
轻合金,qing'he'jin
轻快了,qing'kuai'le
青年南路,qing'nian'nan'lu
清泉路,qing'quan'lu
清泉寨,qing'quan'zhai
穷架,qiong'jia
穷毛病,qiong'mao'bing
穷心思,qiong'xin'si
去百盛,qu'bai'sheng
去长岛,qu'chang'dao
去打吊瓶,qu'da'diao'ping
去东海,qu'dong'hai
去福山,qu'fu'shan
去干哈,qu'gan'ha
去海边吧,qu'hai'bian'ba
去海边了,qu'hai'bian'le
去海阳,qu'hai'yang
去黄县,qu'huang'xian
曲家,qu'jia
去佳世客,qu'jia'shi'ke
曲姐,qu'jie
去开发区,qu'kai'fa'qu
去莱山,qu'lai'shan
去莱阳,qu'lai'yang
去莱州,qu'lai'zhou
去利群,qu'li'qun
去龙口,qu'long'kou
去牟平,qu'mu'ping
去蓬莱,qu'peng'lai
去栖霞,qu'qi'xia
去三站,qu'san'zhan
去威海,qu'wei'hai
去幸福,qu'xing'fu
去行了,qu'xing'le
去烟大,qu'yan'da
去烟台,qu'yan'tai
去烟台了,qu'yan'tai'le
去养马岛,qu'yang'ma'dao
去招远,qu'zhao'yuan
去振华,qu'zhen'hua
曲主任,qu'zhu'ren
泉城学院,quan'cheng'xue'yuan
全溶,quan'rong
泉鑫大厦,quan'xin'da'sha
全烟台,quan'yan'tai
全营养,quan'ying'yang
让服,rang'fu
让服你,rang'fu'ni
惹我上火,re'wo'shang'huo
认带,ren'dai
人工岛,ren'gong'dao
仁和兴,ren'he'xing
荏原,ren'yuan
日日顺,ri'ri'shun
融科林语,rong'ke'lin'yu
乳山,ru'shan
三鞭,san'bian
三鞭酒,san'bian'jiu
三点来钟,san'dian'lai'zhong
三个周,san'ge'zhou
三联家电,san'lian'jia'dian
散啤,san'pi
三山岛,san'shan'dao
三十里堡,san'shi'li'pu
三水大厦,san'shui'da'sha
三仙山,san'xian'shan
三元湖,san'yuan'hu
三站,san'zhan
桑岛,sang'dao
桑么,sang'me
丧门,sang'men
嗓门了,sang'men'le
嗓门人,sang'men'ren
嗓门我,sang'men'wo
沙河镇,sha'he'zhen
扇贝丁,shan'bei'ding
山村名菜,shan'cun'ming'cai
山东工商,shan'dong'gong'shang
山东工商学院,shan'dong'gong'shang'xue'yuan
山东海阳,shan'dong'hai'yang
山东莱阳,shan'dong'lai'yang
山东莱州,shan'dong'lai'zhou
山东龙口,shan'dong'long'kou
山东哪的,shan'dong'na'de
山东蓬莱,shan'dong'peng'lai
山东商务,shan'dong'shang'wu
山东省莱州市,shan'dong'sheng'lai'zhou'shi
山东省烟台市,shan'dong'sheng'yan'tai'shi
山东烟台,shan'dong'yan'tai
山东烟台的,shan'dong'yan'tai'de
山东一,shan'dong'yi
山东中医药,shan'dong'zhong'yi'yao
山前店,shan'qian'dian
山商,shan'shang
山水国际,shan'shui'guo'ji
山水龙城,shan'shui'long'cheng
上俺,shang'an
上俺家,shang'an'jia
上个周,shang'ge'zhou
上海边,shang'hai'bian
上喝粥,shang'he'zhou
上黄县,shang'huang'xian
上火哈,shang'huo'ha
上火上的,shang'huo'shang'de
上狂,shang'kuang
上夼西路,shang'kuang'xi'lu
上莱阳,shang'lai'yang
上来一阵,shang'lai'yi'zhen
上莱州,shang'lai'zhou
上老火,shang'lao'huo
上老火了,shang'lao'huo'le
上林苑,shang'lin'yuan
上龙口,shang'long'kou
上哪打,shang'na'da
上哪来,shang'na'lai
上哪弄,shang'na'nong
上哪耍,shang'na'shua
上嫩家,shang'nen'jia
上蓬莱,shang'peng'lai
上青岛,shang'qing'dao
上曲家,shang'qu'jia
上什么火,shang'shen'me'huo
上威海,shang'wei'hai
上烟台,shang'yan'tai
上尧,shang'yao
商议商议,shang'yi'shang'yi
上招远,shang'zhao'yuan
捎给你,shao'gei'ni
捎给我,shao'gei'wo
少教,shao'jiao
社会广角,she'hui'guang'jiao
蛇窝泊,she'wo'bo
什么色的,shen'me'se'de
神仙洞,shen'xian'dong
盛隆,sheng'long
盛隆街,sheng'long'jie
生气上火,sheng'qi'shang'huo
盛泉,sheng'quan
生物肥,sheng'wu'fei
生物菌,sheng'wu'jun
生物菌肥,sheng'wu'jun'fei
生物有机肥,sheng'wu'you'ji'fei
生物有机肥料,sheng'wu'you'ji'fei'liao
生物有机钙,sheng'wu'you'ji'gai
声远,sheng'yuan
十八乐,shi'ba'le
市府街,shi'fu'jie
师哥好,shi'ge'hao
石沟屯,shi'gou'tun
是航,shi'hang
世回尧,shi'hui'yao
世纪华府,shi'ji'hua'fu
是吭,shi'keng
十里金滩,shi'li'jin'tan
石良,shi'liang
石良镇,shi'liang'zhen
十六村,shi'liu'cun
世贸百货,shi'mao'bai'huo
是你逼我说的,shi'ni'bi'wo'shuo'de
矢崎,shi'qi
是烟台,shi'yan'tai
是烟台的,shi'yan'tai'de
市长大厦,shi'zhang'da'sha
手把一,shou'ba'yi
受不大了,shou'bu'da'le
收苹果,shou'ping'guo
首饰城,shou'shi'cheng
首院,shou'yuan
舒家,shu'jia
耍伴,shua'ban
耍彪,shua'biao
耍胡,shua'hu
睡不过去,shui'bu'guo'qu
水道镇,shui'dao'zhen
税官,shui'guan
谁客户,shui'ke'hu
水母网,shui'mu'wang
水溶肥,shui'rong'fei
水溶肥料,shui'rong'fei'liao
谁知道的,shui'zhi'dao'de
谁知道来,shui'zhi'dao'lai
顺正,shun'zheng
说算,shuo'suan
说些没用的,shuo'xie'mei'yong'de
说行了,shuo'xing'le
四点来钟,si'dian'lai'zhong
死架子,si'jia'zi
寺口,si'kou
四眼桥,si'yan'qiao
宋家,song'jia
松岚,song'lan
松霞,song'xia
松霞路,song'xia'lu
宋作文,song'zuo'wen
苏家店,su'jia'dian
算了越说越伤心,suan'le'yue'shuo'yue'shang'xin
隋宏,sui'hong
孙家滩,sun'jia'tan
所城里,suo'cheng'li
他和你是一个人,ta'he'ni'shi'yi'ge'ren
他们不犯我,ta'men'bu'fan'wo
塔山,ta'shan
他躺下了,ta'tang'xia'le
他休班,ta'xiu'ban
他在烟台,ta'zai'yan'tai
太花花了,tai'hua'hua'le
台湾村,tai'wan'cun
太虚宫,tai'xu'gong
谭格庄,tan'ge'zhuang
糖果剧,tang'guo'ju
唐家泊,tang'jia'bo
桃村,tao'cun
桃村的,tao'cun'de
桃村镇,tao'cun'zhen
套带,tao'dai
桃花街,tao'hua'jie
淘金小镇,tao'jin'xiao'zhen
滕家,teng'jia
踢蹬,ti'deng
天地广场,tian'di'guang'chang
天鹅蛋,tian'e'dan
天合城,tian'he'cheng
天和大厦,tian'he'da'sha
田横山,tian'heng'shan
天籁谷,tian'lai'gu
天马相城,tian'ma'xiang'cheng
天马栈桥,tian'ma'zhan'qiao
天天渔港,tian'tian'yu'gang
天越湾,tian'yue'wan
铁记,tie'ji
铁姆肯,tie'mu'ken
听风凉,ting'feng'liang
亭口,ting'kou
挺忙的吗,ting'mang'de'ma
挺上火,ting'shang'huo
挺上火的,ting'shang'huo'de
挺头,ting'tou
挺要命,ting'yao'ming
挺有数,ting'you'shu
同德利,tong'de'li
通海路,tong'hai'lu
通汇,tong'hui
桐林路,tong'lin'lu
同三,tong'san
通伸,tong'shen
通世,tong'shi
通世路,tong'shi'lu
通世南路,tong'shi'nan'lu
通世新城,tong'shi'xin'cheng
头菜,tou'cai
头着,tou'zhe
土掉渣,tu'diao'zha
土山,tu'shan
土山镇,tu'shan'zhen
砣矶,tuo'ji
外部人员,wai'bu'ren'yuan
外用工,wai'yong'gong
玩保皇,wan'bao'huang
万第,wan'di
万多福,wan'duo'fu
万光,wan'guang
万光府前,wan'guang'fu'qian
万华,wan'hua
万利盛,wan'li'sheng
王格庄,wang'ge'zhuang
王兰秀,wang'lan'xiu
王乔红,wang'qiao'hong
王屋水库,wang'wu'shui'ku
往烟台,wang'yan'tai
微肥,wei'fei
威海了,wei'hai'le
味极鲜,wei'ji'xian
威力发,wei'li'fa
微生物肥,wei'sheng'wu'fei
微生物菌剂,wei'sheng'wu'jun'ji
稳沉,wen'chen
文峰山,wen'feng'shan
文化区,wen'hua'qu
文经,wen'jing
文经学院,wen'jing'xue'yuan
温馨家园,wen'xin'jia'yuan
文苑星城,wen'yuan'xing'cheng
我背不下来,wo'bei'bu'xia'lai
我被盗,wo'bei'dao
我彪,wo'biao
我彪了,wo'biao'le
我不爱动弹,wo'bu'ai'dong'tan
我不彪,wo'bu'biao
我不痴,wo'bu'chi
我不上火,wo'bu'shang'huo
我不休班,wo'bu'xiu'ban
我痴,wo'chi
我吃饭哈,wo'chi'fan'ha
我从来没怀疑,wo'cong'lai'mei'huai'yi
我带睡觉,wo'dai'shui'jiao
我带睡觉了,wo'dai'shui'jiao'le
我到烟台,wo'dao'yan'tai
我到烟台了,wo'dao'yan'tai'le
我的你问问,wo'de'ni'wen'wen
我等给你,wo'deng'gei'ni
我等看看,wo'deng'kan'kan
我等明天,wo'deng'ming'tian
我等去,wo'deng'qu
我等问问,wo'deng'wen'wen
我都不惜,wo'dou'bu'xi
我干活了哈,wo'gan'huo'le'ha
我告诉你哈,wo'gao'su'ni'ha
我各样,wo'ge'yang
我还管,wo'hai'guan
我好疯了,wo'hao'feng'le
我好死了,wo'hao'si'le
我和俺,wo'he'an
我和俺妈,wo'he'an'ma
我喝奶茶,wo'he'nai'cha
我和你俩,wo'he'ni'lia
我和你说哈,wo'he'ni'shuo'ha
我很上火,wo'hen'shang'huo
我家牛排,wo'jia'niu'pai
我劲,wo'jin
我今天休班,wo'jin'tian'xiu'ban
我就上火,wo'jiu'shang'huo
我觉也是,wo'jue'ye'shi
我卡睡,wo'ka'shui
我卡睡了,wo'ka'shui'le
我开发区,wo'kai'fa'qu
我看好你了,wo'kan'hao'ni'le
我看见来,wo'kan'jian'lai
我看看来,wo'kan'kan'lai
我看看你来,wo'kan'kan'ni'lai
我来烟台,wo'lai'yan'tai
我莱州,wo'lai'zhou
我捞不着,wo'lao'bu'zhao
我龙口,wo'long'kou
我马上就打,wo'ma'shang'jiu'da
我们烟台,wo'men'yan'tai
我明天休班,wo'ming'tian'xiu'ban
我哪么,wo'na'me
我那么了,wo'na'me'le
我那么知道,wo'na'me'zhi'dao
我捏个,wo'nie'ge
我蓬莱,wo'peng'lai
我去烟台,wo'qu'yan'tai
我啥时说了,wo'sha'shi'shuo'le
我上班了哈,wo'shang'ban'le'ha
我上个周,wo'shang'ge'zhou
我深思,wo'shen'si
我是莱州,wo'shi'lai'zhou
我是蓬莱的,wo'shi'peng'lai'de
我是烟台,wo'shi'yan'tai
我是烟台的,wo'shi'yan'tai'de
我是咋样过来的,wo'shi'za'yang'guo'lai'de
我是怎样过来的,wo'shi'zen'yang'guo'lai'de
我是招远的,wo'shi'zhao'yuan'de
我是芝罘区的,wo'shi'zhi'fu'qu'de
我说算,wo'shuo'suan
我算看透你了,wo'suan'kan'tou'ni'le
我算是白说了,wo'suan'shi'bai'shuo'le
我特反感,wo'te'fan'gan
我洗澡了哈,wo'xi'zao'le'ha
我下个周,wo'xia'ge'zhou
我先吃饭哈,wo'xian'chi'fan'ha
我先洗刷,wo'xian'xi'shua
我心里的感受,wo'xin'li'de'gan'shou
窝心人,wo'xin'ren
我休班,wo'xiu'ban
我烟台,wo'yan'tai
我烟台的,wo'yan'tai'de
我也问你啊,wo'ye'wen'ni'a
我一个周,wo'yi'ge'zhou
我砸你,wo'za'ni
我砸死你,wo'za'si'ni
我在福山,wo'zai'fu'shan
我在海边,wo'zai'hai'bian
我在海阳,wo'zai'hai'yang
我在黄县,wo'zai'huang'xian
我在开发区,wo'zai'kai'fa'qu
我在莱山,wo'zai'lai'shan
我在莱阳,wo'zai'lai'yang
我在莱州,wo'zai'lai'zhou
我在龙口,wo'zai'long'kou
我在牟平,wo'zai'mu'ping
我在蓬莱,wo'zai'peng'lai
我在栖霞,wo'zai'qi'xia
我在幸福,wo'zai'xing'fu
我在烟台,wo'zai'yan'tai
我在烟台呢,wo'zai'yan'tai'ne
我在招远,wo'zai'zhao'yuan
我在这看,wo'zai'zhe'kan
我在振华,wo'zai'zhen'hua
我在芝罘区,wo'zai'zhi'fu'qu
我早就证实了,wo'zao'jiu'zheng'shi'le
我这吃饭,wo'zhe'chi'fan
我这个周,wo'zhe'ge'zhou
我真败了,wo'zhen'bai'le
我真不爱,wo'zhen'bu'ai
我真草了,wo'zhen'cao'le
我真愁了,wo'zhen'chou'le
我真叫你,wo'zhen'jiao'ni
我真让你,wo'zhen'rang'ni
我真上火,wo'zhen'shang'huo
我真无奈了,wo'zhen'wu'nai'le
我真笑了,wo'zhen'xiao'le
我真郁闷了,wo'zhen'yu'men'le
我真晕,wo'zhen'yun
我真晕了,wo'zhen'yun'le
五餐,wu'can
五点来钟,wu'dian'lai'zhong
五房,wu'fang
五里头,wu'li'tou
无染寺,wu'ran'si
午台,wu'tai
五味粥,wu'wei'zhou
无限打,wu'xian'da
五职,wu'zhi
五指山路,wu'zhi'shan'lu
喜榜,xi'bang
西北娃,xi'bei'wa
西海岸,xi'hai'an
洗海藻,xi'hai'zao
系楼,xi'lou
西蒙西,xi'meng'xi
西牟,xi'mou
西南河,xi'nan'he
系能,xi'neng
西炮台,xi'pao'tai
西山华庭,xi'shan'hua'ting
系统分配,xi'tong'fen'pei
喜旺,xi'wang
喜旺肠,xi'wang'chang
西霞口,xi'xia'kou
喜主,xi'zhu
瞎掰掰,xia'bai'bai
夏甸,xia'dian
下丁家,xia'ding'jia
下个周,xia'ge'zhou
下个周吧,xia'ge'zhou'ba
下个周六,xia'ge'zhou'liu
夏邱镇,xia'qiu'zhen
下曲家,xia'qu'jia
下午休班,xia'wu'xiu'ban
县府街,xian'fu'jie
仙坛,xian'tan
现在在烟台,xian'zai'zai'yan'tai
闲着干嘛,xian'zhe'gan'ma
祥隆,xiang'long
相信我就出下去,xiang'xin'wo'jiu'chu'xia'qu
香逸中央,xiang'yi'zhong'yang
小彪,xiao'biao
小彪样,xiao'biao'yang
小彪子,xiao'biao'zi
小草房,xiao'cao'fang
小草屋,xiao'cao'wu
小东夼,xiao'dong'kuang
小饭量,xiao'fan'liang
小姑宁,xiao'gu'ning
小闺娘,xiao'gui'niang
小闺宁,xiao'gui'ning
小孩丫丫,xiao'hai'ya'ya
笑胡,xiao'hu
笑话人,xiao'hua'ren
小门家,xiao'men'jia
小棚,xiao'peng
小破酒,xiao'po'jiu
小死样,xiao'si'yang
小隋,xiao'sui
些毛病,xie'mao'bing
辛安镇,xin'an'zhen
信电,xin'dian
新港路,xin'gang'lu
新海阳,xin'hai'yang
鑫荟金行,xin'hui'jin'hang
新嘉,xin'jia
新牟,xin'mou
心情舒坦,xin'qing'shu'tan
新世界花园,xin'shi'jie'hua'yuan
新元广场,xin'yuan'guang'chang
辛庄街,xin'zhuang'jie
辛庄镇,xin'zhuang'zhen
星霸,xing'ba
行村,xing'cun
行带,xing'dai
幸福大厦,xing'fu'da'sha
幸福河,xing'fu'he
幸福南路,xing'fu'nan'lu
幸福中路,xing'fu'zhong'lu
幸海里,xing'hai'li
星海湾,xing'hai'wan
星河城,xing'he'cheng
行了哈,xing'le'ha
熊架,xiong'jia
熊架子,xiong'jia'zi
熊老头,xiong'lao'tou
熊毛病,xiong'mao'bing
休班,xiu'ban
休班啊,xiu'ban'a
休班吧,xiu'ban'ba
休班不,xiu'ban'bu
休班的,xiu'ban'de
休班啦,xiu'ban'la
休班了,xiu'ban'le
休班吗,xiu'ban'ma
休班么,xiu'ban'me
休班那,xiu'ban'na
休班呀,xiu'ban'ya
休不休班,xiu'bu'xiu'ban
休个班,xiu'ge'ban
休天班,xiu'tian'ban
徐福,xu'fu
徐福镇,xu'fu'zhen
徐家店,xu'jia'dian
徐家集,xu'jia'ji
徐建波,xu'jian'bo
徐晓彬,xu'xiao'bin
轩社长,xuan'she'zhang
穴坊,xue'fang
血命,xue'ming
雪窝,xue'wo
雪域天路,xue'yu'tian'lu
鸭巴,ya'ba
亚沙,ya'sha
亚沙会,ya'sha'hui
牙山,ya'shan
烟宝,yan'bao
眼馋我,yan'chan'wo
烟大,yan'da
烟大的,yan'da'de
烟大市场,yan'da'shi'chang
烟房,yan'fang
烟海,yan'hai
烟建,yan'jian
烟建集团,yan'jian'ji'tuan
眼前就像放电影,yan'qian'jiu'xiang'fang'dian'ying
烟台,yan'tai
烟台啊,yan'tai'a
烟台吧,yan'tai'ba
烟台百姓网,yan'tai'bai'xing'wang
烟台办,yan'tai'ban
烟台本地,yan'tai'ben'di
烟台大剧院,yan'tai'da'ju'yuan
烟台大学,yan'tai'da'xue
烟台到,yan'tai'dao
烟台的,yan'tai'de
烟台的啊,yan'tai'de'a
烟台地区,yan'tai'di'qu
烟台地图,yan'tai'di'tu
烟台店,yan'tai'dian
烟台电视台,yan'tai'dian'shi'tai
烟台二手车,yan'tai'er'shou'che
烟台二中,yan'tai'er'zhong
烟台分公司,yan'tai'fen'gong'si
烟台分行,yan'tai'fen'hang
烟台福山,yan'tai'fu'shan
烟台港,yan'tai'gang
烟台古酿,yan'tai'gu'niang
烟台海阳,yan'tai'hai'yang
烟台号,yan'tai'hao
烟台话,yan'tai'hua
烟台火车站,yan'tai'huo'che'zhan
烟台机场,yan'tai'ji'chang
烟台交警,yan'tai'jiao'jing
烟台交警网,yan'tai'jiao'jing'wang
烟台交运,yan'tai'jiao'yun
烟台开发区,yan'tai'kai'fa'qu
烟台啦,yan'tai'la
烟台来,yan'tai'lai
烟台莱山,yan'tai'lai'shan
烟台莱阳,yan'tai'lai'yang
烟台莱州,yan'tai'lai'zhou
烟台了,yan'tai'le
烟台了吗,yan'tai'le'ma
烟台龙口,yan'tai'long'kou
烟台论坛,yan'tai'lun'tan
烟台吗,yan'tai'ma
烟台么,yan'tai'me
烟台没有,yan'tai'mei'you
烟台牟平,yan'tai'mu'ping
烟台那,yan'tai'na
烟台哪的,yan'tai'na'de
烟台哪里,yan'tai'na'li
烟台哪里的,yan'tai'na'li'de
烟台南山,yan'tai'nan'shan
烟台南山学院,yan'tai'nan'shan'xue'yuan
烟台呢,yan'tai'ne
烟台苹果,yan'tai'ping'guo
烟台汽车,yan'tai'qi'che
烟台汽车总站,yan'tai'qi'che'zong'zhan
烟台人,yan'tai'ren
烟台人民,yan'tai'ren'min
烟台人事,yan'tai'ren'shi
烟台日报,yan'tai'ri'bao
烟台三中,yan'tai'san'zhong
烟台山,yan'tai'shan
烟台山医院,yan'tai'shan'yi'yuan
烟台市,yan'tai'shi
烟台市福山区,yan'tai'shi'fu'shan'qu
烟台市里,yan'tai'shi'li
烟台市区,yan'tai'shi'qu
烟台市芝罘区,yan'tai'shi'zhi'fu'qu
烟台天气,yan'tai'tian'qi
烟台天气预报,yan'tai'tian'qi'yu'bao
烟台团购,yan'tai'tuan'gou
烟台玩,yan'tai'wan
烟台晚报,yan'tai'wan'bao
烟台万华,yan'tai'wan'hua
烟台呀,yan'tai'ya
烟台也是,yan'tai'ye'shi
烟台一中,yan'tai'yi'zhong
烟台银行,yan'tai'yin'hang
烟台有,yan'tai'you
烟台站,yan'tai'zhan
烟台招聘,yan'tai'zhao'pin
烟台这,yan'tai'zhe
烟台这边,yan'tai'zhe'bian
烟台芝罘区,yan'tai'zhi'fu'qu
烟台职业,yan'tai'zhi'ye
烟台职业学院,yan'tai'zhi'ye'xue'yuan
燕喜堂,yan'xi'tang
烟职,yan'zhi
样吧你,yang'ba'ni
烊饼,yang'bing
杨础,yang'chu
养海参,yang'hai'shen
羊岚,yang'lan
养马岛,yang'ma'dao
要不要脸了,yao'bu'yao'lian'le
要是我这样说你,yao'shi'wo'zhe'yang'shuo'ni
要太少,yao'tai'shao
要血命,yao'xue'ming
要血命了,yao'xue'ming'le
业达,ye'da
也捞不着,ye'lao'bu'zhao
掖县,ye'xian
掖县公园,ye'xian'gong'yuan
也休班,ye'xiu'ban
也在烟台,ye'zai'yan'tai
一百货,yi'bai'huo
一般不能,yi'ban'bu'neng
一般个,yi'ban'ge
一般个人,yi'ban'ge'ren
一般能,yi'ban'neng
驿道,yi'dao
驿道镇,yi'dao'zhen
一等吧,yi'deng'ba
一等哈,yi'deng'ha
一点来钟,yi'dian'lai'zhong
一点数,yi'dian'shu
一腚,yi'ding
一个点了,yi'ge'dian'le
一个多周,yi'ge'duo'zhou
一个周,yi'ge'zhou
一个周的,yi'ge'zhou'de
一个周了,yi'ge'zhou'le
一哗哗,yi'hua'hua
一会的哈,yi'hui'de'ha
一会哈,yi'hui'ha
一回聊哈,yi'hui'liao'ha
一就,yi'jiu
一块耍,yi'kuai'shua
伊诺特,yi'nuo'te
壹通国际,yi'tong'guo'ji
一休班,yi'xiu'ban
怡园小区,yi'yuan'xiao'qu
银河怡海,yin'he'yi'hai
饮乐多,yin'le'duo
银芝,yin'zhi
银芝小区,yin'zhi'xiao'qu
迎春大街,ying'chun'da'jie
婴儿乐,ying'er'le
迎祥路,ying'xiang'lu
永达街,yong'da'jie
永德隆,yong'de'long
永福园,yong'fu'yuan
有点数,you'dian'shu
悠阁,you'ge
有个小伙,you'ge'xiao'huo
有机肥,you'ji'fei
有机肥料,you'ji'fei'liao
有机化肥,you'ji'hua'fei
又就,you'jiu
有看好的,you'kan'hao'de
有空我过去,you'kong'wo'guo'qu
有那么了,you'na'me'le
有时间过来玩吧,you'shi'jian'guo'lai'wan'ba
又是我这,you'shi'wo'zhe
有栓,you'shuan
有小伙,you'xiao'huo
有休班,you'xiu'ban
有烟台,you'yan'tai
鱿鱼头,you'yu'tou
毓璜,yu'huang
毓璜顶,yu'huang'ding
毓璜顶医院,yu'huang'ding'yi'yuan
渔家乐,yu'jia'le
御金台,yu'jin'tai
嵛景华城,yu'jing'hua'cheng
玉林店,yu'lin'dian
鱼鸟河,yu'niao'he
