阿泊加,a'bo'jia
服务台名称,fu'wu'tai'ming'cheng
服务台说明,fu'wu'tai'shuo'ming
服务台位置,fu'wu'tai'wei'zhi
复杂方式,fu'za'fang'shi
负责单位,fu'ze'dan'wei
负责人,fu'ze'ren
负责人审阅,fu'ze'ren'shen'yue
负责人员,fu'ze'ren'yuan
负责统计,fu'ze'tong'ji
复诊日期,fu'zhen'ri'qi
复诊预约序号,fu'zhen'yu'yue'xu'hao
该月缺勤,gai'yue'que'qin
感染,gan'ran
感染编码,gan'ran'bian'ma
感染次数,gan'ran'ci'shu
感染结果,gan'ran'jie'guo
感染数,gan'ran'shu
肝炎免疫学,gan'yan'mian'yi'xue
干燥温度,gan'zao'wen'du
高储数量,gao'chu'shu'liang
高蛋白,gao'dan'bai
高碘,gao'dian
个人缴纳,ge'ren'jiao'na
个人帐户,ge'ren'zhang'hu
个人帐户养老金,ge'ren'zhang'hu'yang'lao'jin
给药方法,gei'yao'fang'fa
给药途径,gei'yao'tu'jing
更换人,geng'huan'ren
更换时间,geng'huan'shi'jian
更换数量,geng'huan'shu'liang
更换序号,geng'huan'xu'hao
公费证号,gong'fei'zheng'hao
供货厂商,gong'huo'chang'shang
供货单位,gong'huo'dan'wei
功能备注,gong'neng'bei'zhu
功能编号,gong'neng'bian'hao
功能编码,gong'neng'bian'ma
功能窗口,gong'neng'chuang'kou
功能集名称,gong'neng'ji'ming'cheng
功能类别,gong'neng'lei'bie
功能名称,gong'neng'ming'cheng
工伤假,gong'shang'jia
工时费用,gong'shi'fei'yong
供试管观察对象,gong'shi'guan'guan'cha'dui'xiang
供试管恒保温时间,gong'shi'guan'heng'bao'wen'shi'jian
供试管恒温水浴,gong'shi'guan'heng'wen'shui'yu
供试管结论,gong'shi'guan'jie'lun
公式描述,gong'shi'miao'shu
供试品稀释,gong'shi'pin'xi'shi
公式索引,gong'shi'suo'yin
公休假,gong'xiu'jia
供应厂商,gong'ying'chang'shang
供应商,gong'ying'shang
工资金额,gong'zi'jin'e
工资总额,gong'zi'zong'e
工作单位,gong'zuo'dan'wei
工作量,gong'zuo'liang
工作情况,gong'zuo'qing'kuang
工作日期,gong'zuo'ri'qi
工作天数,gong'zuo'tian'shu
工作性质,gong'zuo'xing'zhi
工作月份,gong'zuo'yue'fen
购入判别,gou'ru'pan'bie
估计价格,gu'ji'jia'ge
骨髓得分,gu'sui'de'fen
故障描述,gu'zhang'miao'shu
故障现象,gu'zhang'xian'xiang
挂号标志,gua'hao'biao'zhi
挂号次数,gua'hao'ci'shu
挂号费,gua'hao'fei
挂号复诊,gua'hao'fu'zhen
挂号关联,gua'hao'guan'lian
挂号金额,gua'hao'jin'e
挂号科室,gua'hao'ke'shi
挂号类别,gua'hao'lei'bie
挂号年龄,gua'hao'nian'ling
挂号人次,gua'hao'ren'ci
挂号人数,gua'hao'ren'shu
挂号日期,gua'hao'ri'qi
挂号识别,gua'hao'shi'bie
挂号时间,gua'hao'shi'jian
挂号限额,gua'hao'xian'e
挂号序号,gua'hao'xu'hao
挂起时间,gua'qi'shi'jian
挂起原因,gua'qi'yuan'yin
观察标志,guan'cha'biao'zhi
观察结果,guan'cha'jie'guo
观察室病死,guan'cha'shi'bing'si
观察室抢救成功数,guan'cha'shi'qiang'jiu'cheng'gong'shu
观察室抢救人数,guan'cha'shi'qiang'jiu'ren'shu
观察室人数,guan'cha'shi'ren'shu
观察项目,guan'cha'xiang'mu
管道清场方法,guan'dao'qing'chang'fang'fa
管道清场情况,guan'dao'qing'chang'qing'kuang
关键词,guan'jian'ci
管理费用,guan'li'fei'yong
管理费用率,guan'li'fei'yong'lv
管理医生,guan'li'yi'sheng
关联窗口,guan'lian'chuang'kou
关联疾病,guan'lian'ji'bing
关联类型,guan'lian'lei'xing
关联列名,guan'lian'lie'ming
关联数据窗口,guan'lian'shu'ju'chuang'kou
关联项目,guan'lian'xiang'mu
关联序号,guan'lian'xu'hao
关联业务类型,guan'lian'ye'wu'lei'xing
管食,guan'shi
关系,guan'xi
灌装人,guan'zhuang'ren
灌装时间起止,guan'zhuang'shi'jian'qi'zhi
归并项目,gui'bing'xiang'mu
归档判别,gui'dang'pan'bie
规范编号,gui'fan'bian'hao
规范日期,gui'fan'ri'qi
规格,gui'ge
归还判别,gui'huan'pan'bie
归还日期,gui'huan'ri'qi
归类标志,gui'lei'biao'zhi
归属代码,gui'shu'dai'ma
归属对象,gui'shu'dui'xiang
归属级别,gui'shu'ji'bie
归属类别,gui'shu'lei'bie
归属性质,gui'shu'xing'zhi
规则长度,gui'ze'chang'du
规则名称,gui'ze'ming'cheng
规则序号,gui'ze'xu'hao
贵重标志,gui'zhong'biao'zhi
过渡性养老金,guo'du'xing'yang'lao'jin
过多或过少限制,guo'duo'huo'guo'shao'xian'zhi
国籍代码,guo'ji'dai'ma
过敏批号,guo'min'pi'hao
过敏史,guo'min'shi
过敏药物,guo'min'yao'wu
过敏症状,guo'min'zheng'zhuang
过去史,guo'qu'shi
海关编号,hai'guan'bian'hao
含量,han'liang
含量测定及卫生标准,han'liang'ce'ding'ji'wei'sheng'biao'zhun
汉字,han'zi
行号,hang'hao
行数,hang'shu
行业分类,hang'ye'fen'lei
行业调节性补贴,hang'ye'tiao'jie'xing'bu'tie
号码编号,hao'ma'bian'hao
号码长度,hao'ma'chang'du
号码简称,hao'ma'jian'cheng
号码类别,hao'ma'lei'bie
号码名称,hao'ma'ming'cheng
号票打印说明,hao'piao'da'yin'shuo'ming
好转出院,hao'zhuan'chu'yuan
好转人数,hao'zhuan'ren'shu
合并药量,he'bing'yao'liang
合并症,he'bing'zheng
核定标志,he'ding'biao'zhi
核定人,he'ding'ren
核定时间,he'ding'shi'jian
核对人,he'dui'ren
核对人数,he'dui'ren'shu
合格上限,he'ge'shang'xian
合格数量,he'ge'shu'liang
合格下限,he'ge'xia'xian
合计金额,he'ji'jin'e
合计经历时间,he'ji'jing'li'shi'jian
核算备注,he'suan'bei'zhu
核算标志,he'suan'biao'zhi
核算结束时间,he'suan'jie'shu'shi'jian
核算开始时间,he'suan'kai'shi'shi'jian
核算科室,he'suan'ke'shi
核算类型,he'suan'lei'xing
核算人员的工号,he'suan'ren'yuan'de'gong'hao
核算日期,he'suan'ri'qi
核算算法,he'suan'suan'fa
核算项目,he'suan'xiang'mu
核算序号,he'suan'xu'hao
合同编号,he'tong'bian'hao
合同号,he'tong'hao
合同金额,he'tong'jin'e
合同明细,he'tong'ming'xi
合同日期,he'tong'ri'qi
合同数量,he'tong'shu'liang
合同序号,he'tong'xu'hao
合同原件,he'tong'yuan'jian
合同状态,he'tong'zhuang'tai
何校毕业,he'xiao'bi'ye
横向坐标,heng'xiang'zuo'biao
候诊时间,hou'zhen'shi'jian
呼叫时间,hu'jiao'shi'jian
户口地址,hu'kou'di'zhi
户口电话,hu'kou'dian'hua
户口性质,hu'kou'xing'zhi
户口邮编,hu'kou'you'bian
护理措施,hu'li'cuo'shi
护理费,hu'li'fei
护理级别,hu'li'ji'bie
护理人员,hu'li'ren'yuan
护理问题,hu'li'wen'ti
互联网址,hu'lian'wang'zhi
护士代号,hu'shi'dai'hao
护士评价单号,hu'shi'ping'jia'dan'hao
护士随访标志,hu'shi'sui'fang'biao'zhi
护士随访信息,hu'shi'sui'fang'xin'xi
划价工号,hua'jia'gong'hao
划价价格,hua'jia'jia'ge
划价金额,hua'jia'jin'e
化验费,hua'yan'fei
化验明细,hua'yan'ming'xi
化验项目,hua'yan'xiang'mu
换床类型,huan'chuang'lei'xing
换床日期,huan'chuang'ri'qi
换后病区,huan'hou'bing'qu
换后床号,huan'hou'chuang'hao
换后卡号,huan'hou'ka'hao
换后科室,huan'hou'ke'shi
换后医生,huan'hou'yi'sheng
换前病区,huan'qian'bing'qu
换前床号,huan'qian'chuang'hao
换前卡号,huan'qian'ka'hao
换前科室,huan'qian'ke'shi
换前医生,huan'qian'yi'sheng
患者关系,huan'zhe'guan'xi
患者情况,huan'zhe'qing'kuang
磺胺类过敏,huang'an'lei'guo'min
回复内容,hui'fu'nei'rong
回复人,hui'fu'ren
回复时间,hui'fu'shi'jian
恢复时间,hui'fu'shi'jian
回家人数,hui'jia'ren'shu
回收科室,hui'shou'ke'shi
回收人,hui'shou'ren
回收时间,hui'shou'shi'jian
回收药液量,hui'shou'yao'ye'liang
回收乙醇量,hui'shou'yi'chun'liang
回收乙醇时间起止,hui'shou'yi'chun'shi'jian'qi'zhi
会议编号,hui'yi'bian'hao
会议类型,hui'yi'lei'xing
会议内容,hui'yi'nei'rong
会议时间,hui'yi'shi'jian
会议主题,hui'yi'zhu'ti
回院时间,hui'yuan'shi'jian
会诊标志,hui'zhen'biao'zhi
会诊建议,hui'zhen'jian'yi
会诊科室,hui'zhen'ke'shi
会诊人次,hui'zhen'ren'ci
会诊日期,hui'zhen'ri'qi
会诊收入,hui'zhen'shou'ru
会诊意见,hui'zhen'yi'jian
会诊医师,hui'zhen'yi'shi
汇总日期,hui'zong'ri'qi
汇总完成,hui'zong'wan'cheng
汇总原则,hui'zong'yuan'ze
混管交换水,hun'guan'jiao'huan'shui
婚假,hun'jia
婚检假,hun'jian'jia
婚姻状况,hun'yin'zhuang'kuang
货币单位,huo'bi'dan'wei
货币误差,huo'bi'wu'cha
货币误差标志,huo'bi'wu'cha'biao'zhi
活产人数,huo'chan'ren'shu
活产死亡,huo'chan'si'wang
获得性人类免疫缺陷病毒抗体,huo'de'xing'ren'lei'mian'yi'que'xian'bing'du'kang'ti
活动持续单位时间,huo'dong'chi'xu'dan'wei'shi'jian
活动名称,huo'dong'ming'cheng
活动情况,huo'dong'qing'kuang
活动时间,huo'dong'shi'jian
活动消耗营养成分,huo'dong'xiao'hao'ying'yang'cheng'fen
活动序号,huo'dong'xu'hao
货物来源,huo'wu'lai'yuan
基本工资,ji'ben'gong'zi
基本药物标志,ji'ben'yao'wu'biao'zhi
级别,ji'bie
疾病编号,ji'bing'bian'hao
疾病编码,ji'bing'bian'ma
疾病代码,ji'bing'dai'ma
疾病类别,ji'bing'lei'bie
疾病名称,ji'bing'ming'cheng
疾病序号,ji'bing'xu'hao
疾病诊断,ji'bing'zhen'duan
疾病转归,ji'bing'zhuan'gui
基础分值,ji'chu'fen'zhi
基础价格,ji'chu'jia'ge
基础理论培训序号,ji'chu'li'lun'pei'xun'xu'hao
基础养老金,ji'chu'yang'lao'jin
基础因素序号,ji'chu'yin'su'xu'hao
记费标志,ji'fei'biao'zhi
记费工号,ji'fei'gong'hao
记费日期,ji'fei'ri'qi
计费时间,ji'fei'shi'jian
机构编码,ji'gou'bian'ma
籍贯,ji'guan
籍贯代码,ji'guan'dai'ma
籍贯地址,ji'guan'di'zhi
计划编号,ji'hua'bian'hao
计划产量,ji'hua'chan'liang
计划单号,ji'hua'dan'hao
计划明细,ji'hua'ming'xi
计划内容,ji'hua'nei'rong
计划年度,ji'hua'nian'du
计划启用日期,ji'hua'qi'yong'ri'qi
计划人员,ji'hua'ren'yuan
计划日期,ji'hua'ri'qi
计划时间,ji'hua'shi'jian
计划数量,ji'hua'shu'liang
计划项目,ji'hua'xiang'mu
计划序号,ji'hua'xu'hao
计划月份,ji'hua'yue'fen
计划状态,ji'hua'zhuang'tai
计检单号,ji'jian'dan'hao
计检明细,ji'jian'ming'xi
计检人员,ji'jian'ren'yuan
计检日期,ji'jian'ri'qi
计检序号,ji'jian'xu'hao
计检周期,ji'jian'zhou'qi
基金比例,ji'jin'bi'li
剂量单位,ji'liang'dan'wei
计量单位,ji'liang'dan'wei
计量类型,ji'liang'lei'xing
计量序号,ji'liang'xu'hao
记录,ji'lu
记录编号,ji'lu'bian'hao
记录单号,ji'lu'dan'hao
记录号,ji'lu'hao
纪录内容,ji'lu'nei'rong
记录人,ji'lu'ren
记录人员,ji'lu'ren'yuan
记录日期,ji'lu'ri'qi
记录时间,ji'lu'shi'jian
记录事项,ji'lu'shi'xiang
记录文本,ji'lu'wen'ben
记录序号,ji'lu'xu'hao
机器名称,ji'qi'ming'cheng
计生假,ji'sheng'jia
计生证号,ji'sheng'zheng'hao
基数,ji'shu
级数,ji'shu
技术档案,ji'shu'dang'an
技术职称,ji'shu'zhi'cheng
计算,ji'suan
计算表达式,ji'suan'biao'da'shi
计算标志,ji'suan'biao'zhi
计算公式,ji'suan'gong'shi
计算过程,ji'suan'guo'cheng
计算机名,ji'suan'ji'ming
计算项,ji'suan'xiang
计算状态,ji'suan'zhuang'tai
计提折旧,ji'ti'zhe'jiu
记提折旧,ji'ti'zhe'jiu
既往史,ji'wang'shi
剂型,ji'xing
记帐标志,ji'zhang'biao'zhi
记帐工号,ji'zhang'gong'hao
记帐日期,ji'zhang'ri'qi
记帐时间,ji'zhang'shi'jian
急诊标志,ji'zhen'biao'zhi
急诊病死,ji'zhen'bing'si
急诊出车,ji'zhen'chu'che
急诊号码,ji'zhen'hao'ma
急诊人次,ji'zhen'ren'ci
急诊人数,ji'zhen'ren'shu
急诊收入,ji'zhen'shou'ru
急诊危重病人抢救成功数,ji'zhen'wei'zhong'bing'ren'qiang'jiu'cheng'gong'shu
急诊危重病人抢救人数,ji'zhen'wei'zhong'bing'ren'qiang'jiu'ren'shu
急诊用药,ji'zhen'yong'yao
假别,jia'bie
家床号,jia'chuang'hao
加床判别,jia'chuang'pan'bie
加工损失量,jia'gong'sun'shi'liang
甲级病案,jia'ji'bing'an
甲级份数,jia'ji'fen'shu
甲基红试验,jia'ji'hong'shi'yan
甲级愈合数,jia'ji'yu'he'shu
加减标志,jia'jian'biao'zhi
家属编号,jia'shu'bian'hao
家属购进时间,jia'shu'gou'jin'shi'jian
家属签字,jia'shu'qian'zi
家属筛选时间,jia'shu'shai'xuan'shi'jian
家属使用次数,jia'shu'shi'yong'ci'shu
家属体重,jia'shu'ti'zhong
加水量,jia'shui'liang
家庭电话,jia'ting'dian'hua
家庭住址,jia'ting'zhu'zhi
加乙醇浓度,jia'yi'chun'nong'du
加乙醇浓度及量,jia'yi'chun'nong'du'ji'liang
加乙醇时间,jia'yi'chun'shi'jian
加乙醇数量,jia'yi'chun'shu'liang
家长姓名,jia'zhang'xing'ming
鉴别,jian'bie
键别,jian'bie
检测结果,jian'ce'jie'guo
检测日期,jian'ce'ri'qi
检测仪器名称,jian'ce'yi'qi'ming'cheng
检测仪器名称型号,jian'ce'yi'qi'ming'cheng'xing'hao
检查,jian'cha
检查单,jian'cha'dan
检查费,jian'cha'fei
检查份数,jian'cha'fen'shu
检查工号,jian'cha'gong'hao
检查类别,jian'cha'lei'bie
检查情况,jian'cha'qing'kuang
检查人,jian'cha'ren
检查人数,jian'cha'ren'shu
检查人员,jian'cha'ren'yuan
检查日期,jian'cha'ri'qi
检查室号,jian'cha'shi'hao
检查时间,jian'cha'shi'jian
检查数,jian'cha'shu
检查数据,jian'cha'shu'ju
检查项目,jian'cha'xiang'mu
检查者,jian'cha'zhe
建床床号,jian'chuang'chuang'hao
建床科室,jian'chuang'ke'shi
建床日期,jian'chuang'ri'qi
简单方式,jian'dan'fang'shi
检定单位,jian'ding'dan'wei
检定等级,jian'ding'deng'ji
检定费用,jian'ding'fei'yong
检定日期,jian'ding'ri'qi
监督销毁,jian'du'xiao'hui
间隔日数,jian'ge'ri'shu
间隔周期,jian'ge'zhou'qi
键号,jian'hao
健康检查,jian'kang'jian'cha
键名,jian'ming
检品编号,jian'pin'bian'hao
检品编码,jian'pin'bian'ma
检品名称,jian'pin'ming'cheng
检品批号,jian'pin'pi'hao
检品数量,jian'pin'shu'liang
减少单号,jian'shao'dan'hao
减少方式,jian'shao'fang'shi
减少人,jian'shao'ren
减少日期,jian'shao'ri'qi
减少时间,jian'shao'shi'jian
减少序号,jian'shao'xu'hao
减少原因,jian'shao'yuan'yin
检索步长,jian'suo'bu'chang
检验单号,jian'yan'dan'hao
检验费,jian'yan'fei
检验复核人,jian'yan'fu'he'ren
检验记录人,jian'yan'ji'lu'ren
检验结果,jian'yan'jie'guo
检验结论,jian'yan'jie'lun
检验内容,jian'yan'nei'rong
检验人,jian'yan'ren
检验日期,jian'yan'ri'qi
检验项目,jian'yan'xiang'mu
检验项目标准,jian'yan'xiang'mu'biao'zhun
检验依据,jian'yan'yi'ju
简要病史,jian'yao'bing'shi
简要说明,jian'yao'shuo'ming
键值,jian'zhi
煎煮操作者,jian'zhu'cao'zuo'zhe
煎煮时间起止,jian'zhu'shi'jian'qi'zhi
降级记录,jiang'ji'ji'lu
降级日期,jiang'ji'ri'qi
奖金的发放金额,jiang'jin'de'fa'fang'jin'e
奖金分值金额,jiang'jin'fen'zhi'jin'e
奖金合计,jiang'jin'he'ji
奖金提成比例,jiang'jin'ti'cheng'bi'li
奖金系数,jiang'jin'xi'shu
奖扣判别,jiang'kou'pan'bie
奖扣项目序号,jiang'kou'xiang'mu'xu'hao
奖励,jiang'li
奖励金额,jiang'li'jin'e
奖励扣除的金额,jiang'li'kou'chu'de'jin'e
奖项,jiang'xiang
缴费年数,jiao'fei'nian'shu
缴费月数,jiao'fei'yue'shu
角号,jiao'hao
校核人,jiao'he'ren
交回标签数,jiao'hui'biao'qian'shu
交货地点,jiao'huo'di'dian
交货方式,jiao'huo'fang'shi
交货时间,jiao'huo'shi'jian
缴款方式,jiao'kuan'fang'shi
交款合计,jiao'kuan'he'ji
缴款合计,jiao'kuan'he'ji
缴款金额,jiao'kuan'jin'e
缴款名称,jiao'kuan'ming'cheng
缴款日期,jiao'kuan'ri'qi
缴款序号,jiao'kuan'xu'hao
角形,jiao'xing
角型代码,jiao'xing'dai'ma
角形代码,jiao'xing'dai'ma
教育对象,jiao'yu'dui'xiang
教育对象编号,jiao'yu'dui'xiang'bian'hao
教育计划编号,jiao'yu'ji'hua'bian'hao
借床科室,jie'chuang'ke'shi
接待参观序号,jie'dai'can'guan'xu'hao
接到报警时间,jie'dao'bao'jing'shi'jian
节点判别,jie'dian'pan'bie
借方金额,jie'fang'jin'e
解封工号,jie'feng'gong'hao
解封日期,jie'feng'ri'qi
结果,jie'guo
结果标志,jie'guo'biao'zhi
结果序号,jie'guo'xu'hao
结论,jie'lun
接瓶标志,jie'ping'biao'zhi
接瓶人,jie'ping'ren
接瓶时间,jie'ping'shi'jian
介绍人,jie'shao'ren
接生费,jie'sheng'fei
接生医生,jie'sheng'yi'sheng
接收队列,jie'shou'dui'lie
接收人,jie'shou'ren
接收时间,jie'shou'shi'jian
结束编码,jie'shu'bian'ma
结束标志,jie'shu'biao'zhi
结束人,jie'shu'ren
结束日期,jie'shu'ri'qi
结束时间,jie'shu'shi'jian
结算次数,jie'suan'ci'shu
结算方式,jie'suan'fang'shi
结算缴款,jie'suan'jiao'kuan
结算类型,jie'suan'lei'xing
结算日期,jie'suan'ri'qi
结算项目,jie'suan'xiang'mu
接药人,jie'yao'ren
接药时间,jie'yao'shi'jian
借阅备注,jie'yue'bei'zhu
借阅单位,jie'yue'dan'wei
借阅目的,jie'yue'mu'di
借阅日期,jie'yue'ri'qi
借阅医生,jie'yue'yi'sheng
结账类型,jie'zhang'lei'xing
结帐日期,jie'zhang'ri'qi
结账日期,jie'zhang'ri'qi
结帐时间,jie'zhang'shi'jian
结账序号,jie'zhang'xu'hao
接诊医生,jie'zhen'yi'sheng
截止时间上午,jie'zhi'shi'jian'shang'wu
截止时间下午,jie'zhi'shi'jian'xia'wu
金额,jin'e
进货合计,jin'huo'he'ji
进货价格,jin'huo'jia'ge
进货金额,jin'huo'jin'e
进货渠道,jin'huo'qu'dao
进货日期,jin'huo'ri'qi
进货数量,jin'huo'shu'liang
禁忌程度,jin'ji'cheng'du
禁忌食物编号,jin'ji'shi'wu'bian'hao
禁忌序号,jin'ji'xu'hao
禁忌药品,jin'ji'yao'pin
进口办公室意见,jin'kou'ban'gong'shi'yi'jian
进口国家,jin'kou'guo'jia
进口判别,jin'kou'pan'bie
今日病危,jin'ri'bing'wei
今日病重,jin'ri'bing'zhong
今日出院,jin'ri'chu'yuan
今日入院,jin'ri'ru'yuan
今日死亡,jin'ri'si'wang
今日转出,jin'ri'zhuan'chu
今日转入,jin'ri'zhuan'ru
进食障碍,jin'shi'zhang'ai
进修医师,jin'xiu'yi'shi
禁用标志,jin'yong'biao'zhi
禁用级别,jin'yong'ji'bie
进院日期,jin'yuan'ri'qi
禁止发送,jin'zhi'fa'song
禁止接收,jin'zhi'jie'shou
经办人,jing'ban'ren
颈部,jing'bu
净残值率,jing'can'zhi'lv
精度等级,jing'du'deng'ji
净化高级,jing'hua'gao'ji
精滤原水,jing'lv'yuan'shui
精神药权,jing'shen'yao'quan
经营许可证号,jing'ying'xu'ke'zheng'hao
就餐人数,jiu'can'ren'shu
就诊次数,jiu'zhen'ci'shu
就诊号码,jiu'zhen'hao'ma
就诊结束,jiu'zhen'jie'shu
就诊结束时间,jiu'zhen'jie'shu'shi'jian
就诊卡号,jiu'zhen'ka'hao
就诊开始时间,jiu'zhen'kai'shi'shi'jian
就诊日期,jiu'zhen'ri'qi
就诊序号,jiu'zhen'xu'hao
就诊状态,jiu'zhen'zhuang'tai
具体内容,ju'ti'nei'rong
卡片打印,ka'pian'da'yin
开处方权,kai'chu'fang'quan
开单科室,kai'dan'ke'shi
开单日期,kai'dan'ri'qi
开单时间,kai'dan'shi'jian
开单医生,kai'dan'yi'sheng
开单员工,kai'dan'yuan'gong
开放床位,kai'fang'chuang'wei
开方日期,kai'fang'ri'qi
开户金额,kai'hu'jin'e
开户银行,kai'hu'yin'hang
开机日期,kai'ji'ri'qi
开机时数,kai'ji'shi'shu
开机序号,kai'ji'xu'hao
开始人,kai'shi'ren
开始日期,kai'shi'ri'qi
开始时间,kai'shi'shi'jian
开题报告,kai'ti'bao'gao
开题报告文件关联,kai'ti'bao'gao'wen'jian'guan'lian
开嘱医生,kai'zhu'yi'sheng
抗菌药物标志,kang'jun'yao'wu'biao'zhi
抗生素标志,kang'sheng'su'biao'zhi
抗生素谱鉴定正确率,kang'sheng'su'pu'jian'ding'zheng'que'lv
抗生素用权,kang'sheng'su'yong'quan
考核部门,kao'he'bu'men
考核得分,kao'he'de'fen
考核对象,kao'he'dui'xiang
考核科室,kao'he'ke'shi
考核年份,kao'he'nian'fen
考核日期,kao'he'ri'qi
考核说明,kao'he'shuo'ming
考核体第,kao'he'ti'di
考核体系,kao'he'ti'xi
考核月份,kao'he'yue'fen
考评数据,kao'ping'shu'ju
考评状态,kao'ping'zhuang'tai
考勤扣除,kao'qin'kou'chu
考勤年份,kao'qin'nian'fen
考勤月份,kao'qin'yue'fen
可否修改,ke'fou'xiu'gai
科护士长,ke'hu'shi'zhang
科护士长代码,ke'hu'shi'zhang'dai'ma
科目编码,ke'mu'bian'ma
科目层次,ke'mu'ceng'ci
科目代码,ke'mu'dai'ma
科目固定,ke'mu'gu'ding
科目来源,ke'mu'lai'yuan
科目名称,ke'mu'ming'cheng
科目说明,ke'mu'shuo'ming
科目体系,ke'mu'ti'xi
科目新增标志,ke'mu'xin'zeng'biao'zhi
可能丙,ke'neng'bing
可能甲,ke'neng'jia
可能乙,ke'neng'yi
科室,ke'shi
科室比例,ke'shi'bi'li
科室层次,ke'shi'ceng'ci
科室成本,ke'shi'cheng'ben
科室处理意见,ke'shi'chu'li'yi'jian
科室代码,ke'shi'dai'ma
科室负责人,ke'shi'fu'ze'ren
科室归并,ke'shi'gui'bing
科室考核序号,ke'shi'kao'he'xu'hao
科室来源,ke'shi'lai'yuan
科室类别,ke'shi'lei'bie
科室名称,ke'shi'ming'cheng
科室排序,ke'shi'pai'xu
科室判别,ke'shi'pan'bie
科室数据,ke'shi'shu'ju
科室说明,ke'shi'shuo'ming
科室体系,ke'shi'ti'xi
科室信息,ke'shi'xin'xi
科室新增标志,ke'shi'xin'zeng'biao'zhi
科室主任,ke'shi'zhu'ren
科研病案,ke'yan'bing'an
科研成果编号,ke'yan'cheng'guo'bian'hao
可用病床,ke'yong'bing'chuang
空白支票金额,kong'bai'zhi'piao'jin'e
空白支票张数,kong'bai'zhi'piao'zhang'shu
控制标志,kong'zhi'biao'zhi
控制等级,kong'zhi'deng'ji
控制方式,kong'zhi'fang'shi
扣除,kou'chu
扣除金额,kou'chu'jin'e
扣分标准,kou'fen'biao'zhun
扣分理由,kou'fen'li'you
扣款比例,kou'kuan'bi'li
扣款金额,kou'kuan'jin'e
库存来源,ku'cun'lai'yuan
库存类型,ku'cun'lei'xing
库存识别,ku'cun'shi'bie
库存数量,ku'cun'shu'liang
库存性质,ku'cun'xing'zhi
库存序号,ku'cun'xu'hao
库房类别,ku'fang'lei'bie
库房名称,ku'fang'ming'cheng
库房识别,ku'fang'shi'bie
库房状态,ku'fang'zhuang'tai
库位编码,ku'wei'bian'ma
库位类别,ku'wei'lei'bie
库位名称,ku'wei'ming'cheng
会计制度,kuai'ji'zhi'du
矿工天数,kuang'gong'tian'shu
来源代码,lai'yuan'dai'ma
来院已死,lai'yuan'yi'si
栏位类型,lan'wei'lei'xing
栏位描述,lan'wei'miao'shu
栏位名称,lan'wei'ming'cheng
栏位顺序,lan'wei'shun'xu
栏位组号,lan'wei'zu'hao
类别,lei'bie
类别编号,lei'bie'bian'hao
类别编码,lei'bie'bian'ma
类别代码,lei'bie'dai'ma
类别类型,lei'bie'lei'xing
类别名称,lei'bie'ming'cheng
累计方式,lei'ji'fang'shi
累计费用,lei'ji'fei'yong
累计折旧,lei'ji'zhe'jiu
类型,lei'xing
类型编号,lei'xing'bian'hao
类型描述,lei'xing'miao'shu
类型名称,lei'xing'ming'cheng
理论成品量,li'lun'cheng'pin'liang
历史标志,li'shi'biao'zhi
历史序号,li'shi'xu'hao
隶属关系,li'shu'guan'xi
离院日期,li'yuan'ri'qi
离院时间,li'yuan'shi'jian
链霉素过敏,lian'mei'su'guo'min
炼蜜时间起止,lian'mi'shi'jian'qi'zhi
炼蜜者,lian'mi'zhe
炼蜜总量,lian'mi'zong'liang
联系地址,lian'xi'di'zhi
联系电话,lian'xi'dian'hua
联系关系,lian'xi'guan'xi
联系人,lian'xi'ren
联系人名,lian'xi'ren'ming
联系人员,lian'xi'ren'yuan
联系邮编,lian'xi'you'bian
良发分值,liang'fa'fen'zhi
量具检查情况,liang'ju'jian'cha'qing'kuang
量具清场方法,liang'ju'qing'chang'fang'fa
列标题,lie'biao'ti
列层次,lie'ceng'ci
列代码,lie'dai'ma
列对齐方式,lie'dui'qi'fang'shi
列高,lie'gao
列号,lie'hao
列宽,lie'kuan
列名称,lie'ming'cheng
列数,lie'shu
列体系,lie'ti'xi
列约束,lie'yue'shu
临床日期,lin'chuang'ri'qi
临床诊断,lin'chuang'zhen'duan
临时发票,lin'shi'fa'piao
临时工代码,lin'shi'gong'dai'ma
临时医嘱,lin'shi'yi'zhu
领标签数,ling'biao'qian'shu
领导批示,ling'dao'pi'shi
领瓶数,ling'ping'shu
零售价格,ling'shou'jia'ge
零售减值,ling'shou'jian'zhi
零售金额,ling'shou'jin'e
零售增值,ling'shou'zeng'zhi
领药病区,ling'yao'bing'qu
领药方式,ling'yao'fang'shi
领药科室,ling'yao'ke'shi
领用工号,ling'yong'gong'hao
领用科室,ling'yong'ke'shi
领用判别,ling'yong'pan'bie
领用日期,ling'yong'ri'qi
领用时间,ling'yong'shi'jian
领用退回,ling'yong'tui'hui
领证日期,ling'zheng'ri'qi
留床人数,liu'chuang'ren'shu
留观记录序号,liu'guan'ji'lu'xu'hao
留观人数,liu'guan'ren'shu
留观住院号,liu'guan'zhu'yuan'hao
六经小计,liu'jing'xiao'ji
留样标志,liu'yang'biao'zhi
留样量,liu'yang'liang
留样日期,liu'yang'ri'qi
留样时间,liu'yang'shi'jian
留样数量,liu'yang'shu'liang
留院人数,liu'yuan'ren'shu
流转单号,liu'zhuan'dan'hao
流转方式,liu'zhuan'fang'shi
漏报数,lou'bao'shu
