哀公问政,ai'gong'wen'zheng
治乱持危,zhi'luan'chi'wei
执其两端,zhi'qi'liang'duan
知人也,zhi'ren'ye
至死不变,zhi'si'bu'bian
知斯三者,zhi'si'san'zhe
知所以修身,zhi'suo'yi'xiu'shen
知所以治人,zhi'suo'yi'zhi'ren
知天地之化育,zhi'tian'di'zhi'hua'yu
知天也,zhi'tian'ye
知微之显,zhi'wei'zhi'xian
至矣,zhi'yi
知远之近,zhi'yuan'zhi'jin
知者过之,zhi'zhe'guo'zhi
致中和,zhi'zhong'he
质诸鬼神而无疑,zhi'zhu'gui'shen'er'wu'yi
中立而不倚,zhong'li'er'bu'yi
仲尼曰,zhong'ni'yue
仲尼祖述尧舜,zhong'ni'zu'shu'yao'shun
重其禄,zhong'qi'lu
忠恕违道不远,zhong'shu'wei'dao'bu'yuan
忠信重禄,zhong'xin'zhong'lu
中也者,zhong'ye'zhe
中庸不可能也,zhong'yong'bu'ke'neng'ye
中庸其至矣乎,zhong'yong'qi'zhi'yi'hu
舟车所至,zhou'che'suo'zhi
周公,zhou'gong
周公成文,zhou'gong'cheng'wen
著则明,zhu'ze'ming
追王大王,zhui'wang'da'wang
肫肫其仁,zhun'zhun'qi'ren
自诚明谓之性,zi'cheng'ming'wei'zhi'xing
子路问强,zi'lu'wen'qiang
自明诚谓之教,zi'ming'cheng'wei'zhi'jiao
子庶民也,zi'shu'min'ye
子庶民则百姓劝,zi'shu'min'ze'bai'xing'quan
子述之,zi'shu'zhi
子孙保之,zi'sun'bao'zhi
自天申之,zi'tian'shen'zhi
子为大夫,zi'wei'dai'fu
子为士,zi'wei'shi
子曰,zi'yue
宗庙飨之,zong'miao'xiang'zhi
宗庙之礼,zong'miao'zhi'li
奏假无言,zou'jia'wu'yan
奏其乐,zou'qi'le
足以有别也,zu'yi'you'bie'ye
足以有敬也,zu'yi'you'jing'ye
足以有临也,zu'yi'you'lin'ye
足以有容也,zu'yi'you'rong'ye
足以有执也,zu'yi'you'zhi'ye
尊其位,zun'qi'wei
尊为天子,zun'wei'tian'zi
尊贤为大,zun'xian'wei'da
尊贤也,zun'xian'ye
尊贤则不惑,zun'xian'ze'bu'huo
尊贤之等,zun'xian'zhi'deng
