艾夫斯,ai'fu'si
找下了吗,zhao'xia'le'ma
找下了么,zhao'xia'le'me
找下没,zhao'xia'mei
这不对了,zhe'bu'dui'le
这谁呢,zhe'shui'ne
珍视明滴眼液,zhen'shi'ming'di'yan'ye
枕头乡,zhen'tou'xiang
真熄火,zhen'xi'huo
挣不下,zheng'bu'xia
挣不下钱,zheng'bu'xia'qian
挣下钱,zheng'xia'qian
痔疮胶囊,zhi'chuang'jiao'nang
知道俩,zhi'dao'lia
值顾,zhi'gu
重八席,zhong'ba'xi
中大街,zhong'da'jie
中垛,zhong'duo
中条山,zhong'tiao'shan
周家庄,zhou'jia'zhuang
煮饼,zhu'bing
祝你健康,zhu'ni'jian'kang
专医院,zhuan'yi'yuan
装话,zhuang'hua
紫金园,zi'jin'yuan
自我调理,zi'wo'tiao'li
自由鸟,zi'you'niao
自作了,zi'zuo'le
祖师庙,zu'shi'miao
左氧氟沙星胶囊,zuo'yang'fu'sha'xing'jiao'nang
作业完了,zuo'ye'wan'le
作业完了吗,zuo'ye'wan'le'ma
作业完了么,zuo'ye'wan'le'me
坐着里,zuo'zhe'li
