爱国诗人,ai'guo'shi'ren
数百年之久的,shu'bai'nian'zhi'jiu'de
数十里,shu'shi'li
疏远者,shu'yuan'zhe
率兵,shuai'bing
率军十万,shuai'jun'shi'wan
双方动辄出动,shuang'fang'dong'zhe'chu'dong
水利的兴修,shui'li'de'xing'xiu
水利工程,shui'li'gong'cheng
说服韩赵燕,shuo'fu'han'zhao'yan
私不害公,si'bu'hai'gong
私门请托,si'men'qing'tuo
思想学术,si'xiang'xue'shu
死者数万,si'zhe'shu'wan
宋国,song'guo
宋国执政,song'guo'zhi'zheng
宋军,song'jun
送来了,song'lai'le
宋时,song'shi
宋襄公,song'xiang'gong
苏秦,su'qin
速战速决,su'zhan'su'jue
酸枣,suan'zao
随即出动,sui'ji'chu'dong
虽然白起,sui'ran'bai'qi
虽然后来,sui'ran'hou'lai
随着生产力,sui'zhe'sheng'chan'li
孙膑,sun'bin
孙武,sun'wu
所编,suo'bian
所夺土地,suo'duo'tu'di
所谓的,suo'wei'de
他的包围圈,ta'de'bao'wei'quan
他的手中,ta'de'shou'zhong
他的主力,ta'de'zhu'li
他还是,ta'hai'shi
他将眼光,ta'jiang'yan'guang
他就是,ta'jiu'shi
他口中的,ta'kou'zhong'de
他们那,ta'men'na
他终于,ta'zhong'yu
太强,tai'qiang
太原郡,tai'yuan'jun
太子平,tai'zi'ping
唐昧,tang'mei
逃奔魏,tao'ben'wei
掏心战术,tao'xin'zhan'shu
特殊待遇,te'shu'dai'yu
田单,tian'dan
田忌,tian'ji
田民,tian'min
田氏,tian'shi
天时间,tian'shi'jian
田文,tian'wen
天子之国,tian'zi'zhi'guo
挑起了,tiao'qi'le
铁器的使用,tie'qi'de'shi'yong
铤而走险,ting'er'zou'xian
廷掾,ting'yuan
痛感国家沦亡,tong'gan'guo'jia'lun'wang
同年,tong'nian
同时称帝,tong'shi'cheng'di
同时形成,tong'shi'xing'cheng
统一大业,tong'yi'da'ye
统一国家,tong'yi'guo'jia
统一六国,tong'yi'liu'guo
统一战争,tong'yi'zhan'zheng
投奔鲁国,tou'ben'lu'guo
图谋吞并,tu'mou'tun'bing
团团围在了,tuan'tuan'wei'zai'le
囤粮地的,tun'liang'di'de
外交斗争,wai'jiao'dou'zheng
外交重压,wai'jiao'zhong'ya
完成对赵军,wan'cheng'dui'zhao'jun
万秦军,wan'qin'jun
万余人,wan'yu'ren
王城,wang'cheng
王龁,wang'he
王室内部,wang'shi'nei'bu
望着,wang'zhe
为丞相,wei'cheng'xiang
为地位稍次,wei'di'wei'shao'ci
为都城的,wei'du'cheng'de
卫国,wei'guo
魏国的,wei'guo'de
魏国李悝,wei'guo'li'kui
卫国人,wei'guo'ren
魏国信陵君,wei'guo'xin'ling'jun
魏惠王,wei'hui'wang
为将,wei'jiang
魏将,wei'jiang
为据,wei'ju
魏军,wei'jun
围困的十来万,wei'kun'de'shi'lai'wan
为了打击赵国,wei'le'da'ji'zhao'guo
为了满足,wei'le'man'zu
围了你,wei'le'ni
为了破坏,wei'le'po'huai
为了早日脱身,wei'le'zao'ri'tuo'shen
为目标的,wei'mu'biao'de
为骑战,wei'qi'zhan
为秦,wei'qin
为秦王,wei'qin'wang
魏冉,wei'ran
魏人,wei'ren
威势,wei'shi
为王三年,wei'wang'san'nian
为尉,wei'wei
魏文侯,wei'wen'hou
魏武侯,wei'wu'hou
魏相,wei'xiang
魏相公叔,wei'xiang'gong'shu
魏信陵君,wei'xin'ling'jun
为诱饵,wei'you'er
为诸侯,wei'zhu'hou
为最高官职,wei'zui'gao'guan'zhi
文武分权的,wen'wu'fen'quan'de
我的小师弟,wo'de'xiao'shi'di
武安君,wu'an'jun
武庚,wu'geng
五国第一次,wu'guo'di'yi'ci
五国军队,wu'guo'jun'dui
五国之兵,wu'guo'zhi'bing
无忌,wu'ji
五家为,wu'jia'wei
五年,wu'nian
吴起,wu'qi
吴起变法,wu'qi'bian'fa
五十余日,wu'shi'yu'ri
武遂,wu'sui
武王,wu'wang
武王二年,wu'wang'er'nian
武王灭商,wu'wang'mie'shang
无限渴望,wu'xian'ke'wang
伍长,wu'zhang
物质享受,wu'zhi'xiang'shou
武卒,wu'zu
玺符制度,xi'fu'zhi'du
西汉帛书,xi'han'bo'shu
西汉末,xi'han'mo
西汉末年,xi'han'mo'nian
西门豹,xi'men'bao
西面事秦,xi'mian'shi'qin
西周,xi'zhou
西周初年,xi'zhou'chu'nian
西周公,xi'zhou'gong
西周君,xi'zhou'jun
西周灭亡,xi'zhou'mie'wang
西周时期,xi'zhou'shi'qi
先打败,xian'da'bai
先秦文化,xian'qin'wen'hua
咸阳,xian'yang
咸阳被,xian'yang'bei
县以下,xian'yi'xia
现在看是,xian'zai'kan'shi
相邦,xiang'bang
向东发展,xiang'dong'fa'zhan
相国,xiang'guo
想联合秦,xiang'lian'he'qin
相亲善,xiang'qin'shan
向戌,xiang'xu
向戌弭兵,xiang'xu'mi'bing
相应的变化,xiang'ying'de'bian'hua
乡有三老,xiang'you'san'lao
崤函之利,xiao'han'zhi'li
消耗战略,xiao'hao'zhan'lue
崤山之险,xiao'shan'zhi'xian
小师弟,xiao'shi'di
消息的同时,xiao'xi'de'tong'shi
挟天子以令诸侯,xie'tian'zi'yi'ling'zhu'hou
新城和宜阳,xin'cheng'he'yi'yang
新的一页,xin'de'yi'ye
新法,xin'fa
信平君,xin'ping'jun
新郑,xin'zheng
行合纵之策,xing'he'zong'zhi'ce
姓芈,xing'mi
兴起于,xing'qi'yu
形同于,xing'tong'yu
荥阳,xing'yang
行义不计毁誉,xing'yi'bu'ji'hui'yu
匈奴,xiong'nu
熊氏,xiong'shi
修书,xiu'shu
许昌市禹州,xu'chang'shi'yu'zhou
选拔官吏,xuan'ba'guan'li
雪耻复仇,xue'chi'fu'chou
学宫,xue'gong
训练军队,xun'lian'jun'dui
燕兵,yan'bing
燕都,yan'du
燕国,yan'guo
燕国全境,yan'guo'quan'jing
严加审查,yan'jia'shen'cha
燕将,yan'jiang
燕军,yan'jun
眼看着,yan'kan'zhe
严厉的法律,yan'li'de'fa'lv
燕人,yan'ren
燕太子丹,yan'tai'zi'dan
燕王哙,yan'wang'kuai
严刑酷法,yan'xing'ku'fa
燕有截,yan'you'jie
燕昭王,yan'zhao'wang
眼中放着,yan'zhong'fang'zhe
阳城,yang'cheng
阳翟,yang'di
要不是将士,yao'bu'shi'jiang'shi
遥远的,yao'yuan'de
也被,ye'bei
也竞相,ye'jing'xiang
也是最后一次,ye'shi'zui'hou'yi'ci
一百余年间,yi'bai'yu'nian'jian
以保证,yi'bao'zheng
一蹴而就,yi'cu'er'jiu
一定粮食,yi'ding'liang'shi
以伐齐楚,yi'fa'qi'chu
以隔断,yi'ge'duan
一件事,yi'jian'shi
已经断粮,yi'jing'duan'liang
一蹶不振,yi'jue'bu'zhen
以郡统县,yi'jun'tong'xian
一切权力,yi'qie'quan'li
伊阙,yi'que
依然饱有,yi'ran'bao'you
以守为攻,yi'shou'wei'gong
一伍,yi'wu
已无法扭转,yi'wu'fa'niu'zhuan
以玺为凭,yi'xi'wei'ping
一战获胜,yi'zhan'huo'sheng
意志坚定,yi'zhi'jian'ding
夷宗,yi'zong
因事,yin'shi
引诱赵军,yin'you'zhao'jun
因在晋水,yin'zai'jin'shui
郢城,ying'cheng
嬴稷,ying'ji
营建,ying'jian
嬴政,ying'zheng
雍城,yong'cheng
用命相抵,yong'ming'xiang'di
又称,you'cheng
又称将军,you'cheng'jiang'jun
又充分利用,you'chong'fen'li'yong
诱出,you'chu
优厚俸禄,you'hou'feng'lu
又将,you'jiang
又利用,you'li'yong
游说家,you'shui'jia
游说之士,you'shui'zhi'shi
又于,you'yu
有凿顶,you'zao'ding
愈打愈大,yu'da'yu'da
予秦,yu'qin
与秦抗衡,yu'qin'kang'heng
与秦连横,yu'qin'lian'heng
御史,yu'shi
于十七年,yu'shi'qi'nian
与远方国家结盟,yu'yuan'fang'guo'jia'jie'meng
御之,yu'zhi
原本赵军,yuan'ben'zhao'jun
远交近攻,yuan'jiao'jin'gong
元年,yuan'nian
约公元前,yue'gong'yuan'qian
约前,yue'qian
乐毅,yue'yi
乐毅帮助,yue'yi'bang'zhu
乐毅率,yue'yi'lv
越战越强,yue'zhan'yue'qiang
运动战,yun'dong'zhan
杂法和具法,za'fa'he'ju'fa
杂法是对,za'fa'shi'dui
再次分封,zai'ci'fen'feng
再回过头来,zai'hui'guo'tou'lai
在疆土广大,zai'jiang'tu'guang'da
在上党设,zai'shang'dang'she
再世般,zai'shi'ban
在收到,zai'shou'dao
在他的心中,zai'ta'de'xin'zhong
在位,zai'wei
宰相,zai'xiang
再也没有,zai'ye'mei'you
再逐步兼并,zai'zhu'bu'jian'bing
在诸侯国中,zai'zhu'hou'guo'zhong
早成了,zao'cheng'le
遭到失败,zao'dao'shi'bai
贼法,zei'fa
贼法治杀人,zei'fa'zhi'sha'ren
曾巩,zeng'gong
增加剥削量,zeng'jia'bo'xue'liang
增加肉刑,zeng'jia'rou'xing
增强了,zeng'qiang'le
曾参,zeng'shen
战大败,zhan'da'bai
战国策,zhan'guo'ce
战国策新注,zhan'guo'ce'xin'zhu
战国初,zhan'guo'chu
战国初期,zhan'guo'chu'qi
战国七雄,zhan'guo'qi'xiong
战国时,zhan'guo'shi
战国时期,zhan'guo'shi'qi
战国时事,zhan'guo'shi'shi
战国四公子,zhan'guo'si'gong'zi
战国中期开始,zhan'guo'zhong'qi'kai'shi
战国纵横家书,zhan'guo'zong'heng'jia'shu
战局的发展,zhan'ju'de'fa'zhan
展开了,zhan'kai'le
战略级,zhan'lue'ji
战神,zhan'shen
战无不胜,zhan'wu'bu'sheng
张仪,zhang'yi
赵悼襄王,zhao'dao'xiang'wang
赵悼襄王六年,zhao'dao'xiang'wang'liu'nian
赵悼襄王四年,zhao'dao'xiang'wang'si'nian
赵都邯郸,zhao'du'han'dan
招抚流亡,zhao'fu'liu'wang
赵高,zhao'gao
赵国将领,zhao'guo'jiang'ling
赵国平原君,zhao'guo'ping'yuan'jun
赵国骑军,zhao'guo'qi'jun
赵国士卒,zhao'guo'shi'zu
赵国之败,zhao'guo'zhi'bai
赵将,zhao'jiang
赵军,zhao'jun
赵军大旗,zhao'jun'da'qi
赵军的,zhao'jun'de
赵军红旗,zhao'jun'hong'qi
赵军主力,zhao'jun'zhu'li
赵军主力的,zhao'jun'zhu'li'de
赵军主帅,zhao'jun'zhu'shuai
赵军辎重兵,zhao'jun'zi'zhong'bing
赵括,zhao'kuo
赵括和,zhao'kuo'he
招徕士人,zhao'lai'shi'ren
赵人,zhao'ren
赵奢,zhao'she
赵胜,zhao'sheng
昭王,zhao'wang
赵王,zhao'wang
赵武,zhao'wu
赵武灵王,zhao'wu'ling'wang
赵相,zhao'xiang
赵孝成王,zhao'xiao'cheng'wang
这段历史,zhe'duan'li'shi
这方圆不过,zhe'fang'yuan'bu'guo
这一策略,zhe'yi'ce'lue
这一历史阶段,zhe'yi'li'shi'jie'duan
这一时期,zhe'yi'shi'qi
这一围,zhe'yi'wei
侦查和逮捕,zhen'cha'he'dai'bu
真正天子的,zhen'zheng'tian'zi'de
正当秦国,zheng'dang'qin'guo
整顿吏治,zheng'dun'li'zhi
郑国渠,zheng'guo'qu
争权和分封,zheng'quan'he'fen'feng
正式承认,zheng'shi'cheng'ren
正式承认三家,zheng'shi'cheng'ren'san'jia
政治法则,zheng'zhi'fa'ze
政治形势,zheng'zhi'xing'shi
政治制度,zheng'zhi'zhi'du
郑州新郑,zheng'zhou'xin'zheng
之策,zhi'ce
制定法律,zhi'ding'fa'lv
之计,zhi'ji
之间的,zhi'jian'de
治理地方,zhi'li'di'fang
只怕是这,zhi'pa'shi'zhe
纸上谈兵,zhi'shang'tan'bing
之势,zhi'shi
之外的,zhi'wai'de
只要长平,zhi'yao'chang'ping
中国古代,zhong'guo'gu'dai
中国古代史,zhong'guo'gu'dai'shi
中国历史上,zhong'guo'li'shi'shang
中记载,zhong'ji'zai
中经,zhong'jing
中军,zhong'jun
中军大营,zhong'jun'da'ying
重农抑商,zhong'nong'yi'shang
中山国,zhong'shan'guo
中央官僚体制,zhong'yang'guan'liao'ti'zhi
中央集权,zhong'yang'ji'quan
中央集权的统治,zhong'yang'ji'quan'de'tong'zhi
终于打败了,zhong'yu'da'bai'le
终于建立了,zhong'yu'jian'li'le
终于未能,zhong'yu'wei'neng
终于在,zhong'yu'zai
中原地区,zhong'yuan'di'qu
周安王,zhou'an'wang
周朝,zhou'chao
周朝实行,zhou'chao'shi'xing
周成王,zhou'cheng'wang
周公旦,zhou'gong'dan
周密的策划,zhou'mi'de'ce'hua
周赧王,zhou'nan'wang
周赧王死去,zhou'nan'wang'si'qu
周人,zhou'ren
周慎王,zhou'shen'wang
周王,zhou'wang
周王室,zhou'wang'shi
周围国家,zhou'wei'guo'jia
周威烈王,zhou'wei'lie'wang
周显王,zhou'xian'wang
周元王,zhou'yuan'wang
周元王元年,zhou'yuan'wang'yuan'nian
柱国,zhu'guo
诸侯国,zhu'hou'guo
诸侯国内部,zhu'hou'guo'nei'bu
诸侯强国,zhu'hou'qiang'guo
逐渐发展起来,zhu'jian'fa'zhan'qi'lai
逐渐形成,zhu'jian'xing'cheng
主力部队,zhu'li'bu'dui
主力决战,zhu'li'jue'zhan
著名的政治家,zhu'ming'de'zheng'zhi'jia
注重水利,zhu'zhong'shui'li
专心学术,zhuan'xin'xue'shu
装备优良,zhuang'bei'you'liang
庄襄王,zhuang'xiang'wang
自己的,zi'ji'de
自立为,zi'li'wei
子木,zi'mu
自认为,zi'ren'wei
自我安慰,zi'wo'an'wei
子之,zi'zhi
纵长,zong'chang
纵横家,zong'heng'jia
族诛之刑,zu'zhu'zhi'xing
最便捷的途径,zui'bian'jie'de'tu'jing
最高武职,zui'gao'wu'zhi
最激烈的,zui'ji'lie'de
最强的国家,zui'qiang'de'guo'jia
最为彻底,zui'wei'che'di
最为强大的国家,zui'wei'qiang'da'de'guo'jia
最有实力的,zui'you'shi'li'de
最直接的办法,zui'zhi'jie'de'ban'fa
最重要的是,zui'zhong'yao'de'shi
最尊贵者称,zui'zun'gui'zhe'cheng
左庶长,zuo'shu'chang
作为俸禄,zuo'wei'feng'lu
作新注,zuo'xin'zhu
作战能力,zuo'zhan'neng'li
