艾滋病防治条例,ai'zi'bing'fang'zhi'tiao'li
国家宗教事务局,guo'jia'zong'jiao'shi'wu'ju
国境卫生检疫法,guo'jing'wei'sheng'jian'yi'fa
国库券,guo'ku'quan
锅炉压力容器检验所,guo'lu'ya'li'rong'qi'jian'yan'suo
国民待遇原则,guo'min'dai'yu'yuan'ze
国民政府,guo'min'zheng'fu
国内登山管理办法,guo'nei'deng'shan'guan'li'ban'fa
国内贸易局,guo'nei'mao'yi'ju
国内诉讼,guo'nei'su'song
国旗法,guo'qi'fa
过热迹象,guo're'ji'xiang
过失,guo'shi
过失犯罪,guo'shi'fan'zui
过失责任,guo'shi'ze'ren
国体,guo'ti
国土资源部,guo'tu'zi'yuan'bu
国土资源部部令,guo'tu'zi'yuan'bu'bu'ling
国土资源部工作规则,guo'tu'zi'yuan'bu'gong'zuo'gui'ze
国土资源听证规定,guo'tu'zi'yuan'ting'zheng'gui'ding
国务院,guo'wu'yuan
国务院办公厅,guo'wu'yuan'ban'gong'ting
国务院参事室,guo'wu'yuan'can'shi'shi
国务院出版事业管理局,guo'wu'yuan'chu'ban'shi'ye'guan'li'ju
国务院发展研究中心,guo'wu'yuan'fa'zhan'yan'jiu'zhong'xin
国务院法制办,guo'wu'yuan'fa'zhi'ban
国务院法制局,guo'wu'yuan'fa'zhi'ju
国务院扶贫开发办,guo'wu'yuan'fu'pin'kai'fa'ban
国务院港澳办,guo'wu'yuan'gang'ao'ban
国务院关税税则委员会,guo'wu'yuan'guan'shui'shui'ze'wei'yuan'hui
国务院国资委工作规则,guo'wu'yuan'guo'zi'wei'gong'zuo'gui'ze
国务院经法规研究中心,guo'wu'yuan'jing'fa'gui'yan'jiu'zhong'xin
国务院经济贸易办公室,guo'wu'yuan'jing'ji'mao'yi'ban'gong'shi
国务院科技干部局,guo'wu'yuan'ke'ji'gan'bu'ju
国务院口岸领导小组,guo'wu'yuan'kou'an'ling'dao'xiao'zu
国务院企业管理委员会,guo'wu'yuan'qi'ye'guan'li'wei'yuan'hui
国务院侨务办公室,guo'wu'yuan'qiao'wu'ban'gong'shi
国务院生产办公室,guo'wu'yuan'sheng'chan'ban'gong'shi
国务院水土保持委员会,guo'wu'yuan'shui'tu'bao'chi'wei'yuan'hui
国务院台湾事务办公室,guo'wu'yuan'tai'wan'shi'wu'ban'gong'shi
国务院特区办公室,guo'wu'yuan'te'qu'ban'gong'shi
国务院体制改革办公室,guo'wu'yuan'ti'zhi'gai'ge'ban'gong'shi
国务院外事办,guo'wu'yuan'wai'shi'ban
国务院稀土领导小组,guo'wu'yuan'xi'tu'ling'dao'xiao'zu
国务院信访条例,guo'wu'yuan'xin'fang'tiao'li
国务院新闻办公室,guo'wu'yuan'xin'wen'ban'gong'shi
国务院学位委员会,guo'wu'yuan'xue'wei'wei'yuan'hui
国务院证券委员会,guo'wu'yuan'zheng'quan'wei'yuan'hui
国务院知青办,guo'wu'yuan'zhi'qing'ban
国务院组织法,guo'wu'yuan'zu'zhi'fa
国营公司,guo'ying'gong'si
国有独资企业,guo'you'du'zi'qi'ye
国有独资商业银行,guo'you'du'zi'shang'ye'yin'hang
国有公司,guo'you'gong'si
国有股,guo'you'gu
国有股减持,guo'you'gu'jian'chi
国有化,guo'you'hua
国有经济,guo'you'jing'ji
国有企业,guo'you'qi'ye
国有企业清产核资办法,guo'you'qi'ye'qing'chan'he'zi'ban'fa
国有制,guo'you'zhi
国有资产管理局,guo'you'zi'chan'guan'li'ju
国有资产流失,guo'you'zi'chan'liu'shi
国有资产评估管理办法,guo'you'zi'chan'ping'gu'guan'li'ban'fa
过于自信的过失,guo'yu'zi'xin'de'guo'shi
国债回购,guo'zhai'hui'gou
国债投资,guo'zhai'tou'zi
国债一级自营商,guo'zhai'yi'ji'zi'ying'shang
国债专项资金,guo'zhai'zhuan'xiang'zi'jin
海底电缆管道保护规定,hai'di'dian'lan'guan'dao'bao'hu'gui'ding
海关保税核查办法,hai'guan'bao'shui'he'cha'ban'fa
海关法,hai'guan'fa
海关关务公开办法,hai'guan'guan'wu'gong'kai'ban'fa
海关行业标准管理办法,hai'guan'hang'ye'biao'zhun'guan'li'ban'fa
海关实施人身扣留规定,hai'guan'shi'shi'ren'shen'kou'liu'gui'ding
海关税,hai'guan'shui
海关统计工作管理规定,hai'guan'tong'ji'gong'zuo'guan'li'gui'ding
海关统计条例,hai'guan'tong'ji'tiao'li
海关行政处罚实施条例,hai'guan'xing'zheng'chu'fa'shi'shi'tiao'li
海关行政处罚听证办法,hai'guan'xing'zheng'chu'fa'ting'zheng'ban'fa
海关行政复议办法,hai'guan'xing'zheng'fu'yi'ban'fa
海关行政赔偿办法,hai'guan'xing'zheng'pei'chang'ban'fa
海关行政许可听证办法,hai'guan'xing'zheng'xu'ke'ting'zheng'ban'fa
海关总署,hai'guan'zong'shu
海军司令部,hai'jun'si'ling'bu
海难救助合同,hai'nan'jiu'zhu'he'tong
海商法,hai'shang'fa
海上海事行政处罚规定,hai'shang'hai'shi'xing'zheng'chu'fa'gui'ding
海上交通安全法,hai'shang'jiao'tong'an'quan'fa
海上留置权,hai'shang'liu'zhi'quan
海上旅客运输合同,hai'shang'lv'ke'yun'shu'he'tong
海上拖航,hai'shang'tuo'hang
海上优先请求权,hai'shang'you'xian'qing'qiu'quan
海上灾难,hai'shang'zai'nan
海事报告,hai'shi'bao'gao
海事法院,hai'shi'fa'yuan
海事声明书,hai'shi'sheng'ming'shu
海事诉讼程序,hai'shi'su'song'cheng'xu
海事诉讼特别程序法,hai'shi'su'song'te'bie'cheng'xu'fa
海事行政许可条件规定,hai'shi'xing'zheng'xu'ke'tiao'jian'gui'ding
海事争议,hai'shi'zheng'yi
海事仲裁程序规则,hai'shi'zhong'cai'cheng'xu'gui'ze
海洋公约,hai'yang'gong'yue
海洋环境保护法,hai'yang'huan'jing'bao'hu'fa
海洋局,hai'yang'ju
海洋倾废管理条例,hai'yang'qing'fei'guan'li'tiao'li
海洋石油安全生产规定,hai'yang'shi'you'an'quan'sheng'chan'gui'ding
海洋行政处罚实施办法,hai'yang'xing'zheng'chu'fa'shi'shi'ban'fa
海洋渔业船员发证规定,hai'yang'yu'ye'chuan'yuan'fa'zheng'gui'ding
海域使用管理法,hai'yu'shi'yong'guan'li'fa
海域使用权登记办法,hai'yu'shi'yong'quan'deng'ji'ban'fa
海域使用权管理规定,hai'yu'shi'yong'quan'guan'li'gui'ding
海运合同,hai'yun'he'tong
含糊,han'hu
汉族,han'zu
航次租船合同,hang'ci'zu'chuan'he'tong
行业限制,hang'ye'xian'zhi
核安全局,he'an'quan'ju
合并,he'bing
核出口管制条例,he'chu'kou'guan'zhi'tiao'li
合法,he'fa
合法的,he'fa'de
合法的房屋所有权,he'fa'de'fang'wu'suo'you'quan
合法继承人,he'fa'ji'cheng'ren
合法权益,he'fa'quan'yi
合法受让人,he'fa'shou'rang'ren
合法收入,he'fa'shou'ru
合法性,he'fa'xing
合法行为,he'fa'xing'wei
核工业总公司,he'gong'ye'zong'gong'si
合伙,he'huo
合伙财产,he'huo'cai'chan
合伙律师,he'huo'lv'shi
合伙企业,he'huo'qi'ye
合伙企业登记管理办法,he'huo'qi'ye'deng'ji'guan'li'ban'fa
合伙企业法,he'huo'qi'ye'fa
合伙人,he'huo'ren
合伙生意,he'huo'sheng'yi
合伙协议,he'huo'xie'yi
合伙型联营,he'huo'xing'lian'ying
合伙债务,he'huo'zhai'wu
合伙制律师事务所,he'huo'zhi'lv'shi'shi'wu'suo
合计惩处,he'ji'cheng'chu
和解,he'jie
合理的,he'li'de
合理的考虑,he'li'de'kao'lv
合理的预见,he'li'de'yu'jian
合理期限,he'li'qi'xian
合理时限,he'li'shi'xian
合理性,he'li'xing
合理性方面的要求,he'li'xing'fang'mian'de'yao'qiu
合理性要求,he'li'xing'yao'qiu
合理预期,he'li'yu'qi
合谋,he'mou
合谋诈骗,he'mou'zha'pian
核实,he'shi
合适的处分,he'shi'de'chu'fen
合适人选,he'shi'ren'xuan
核实证据,he'shi'zheng'ju
合同,he'tong
合同变更,he'tong'bian'geng
合同当事人,he'tong'dang'shi'ren
合同当事人相互关系,he'tong'dang'shi'ren'xiang'hu'guan'xi
合同法,he'tong'fa
合同前仲裁,he'tong'qian'zhong'cai
合同审查,he'tong'shen'cha
合同条款的分类,he'tong'tiao'kuan'de'fen'lei
合同修改,he'tong'xiu'gai
合同之债,he'tong'zhi'zhai
合同转让,he'tong'zhuan'rang
核心资本,he'xin'zi'ben
合议纪要,he'yi'ji'yao
合议庭,he'yi'ting
合议制,he'yi'zhi
合营期限,he'ying'qi'xian
合约,he'yue
合约一方,he'yue'yi'fang
合约责任,he'yue'ze'ren
核准程序,he'zhun'cheng'xu
合资公司,he'zi'gong'si
合资企业,he'zi'qi'ye
合作经营企业,he'zuo'jing'ying'qi'ye
合作社,he'zuo'she
衡平法,heng'ping'fa
衡平法上的补救措施,heng'ping'fa'shang'de'bu'jiu'cuo'shi
横向关系,heng'xiang'guan'xi
红股,hong'gu
宏观经济基本状况,hong'guan'jing'ji'ji'ben'zhuang'kuang
宏观经济运营良好,hong'guan'jing'ji'yun'ying'liang'hao
宏观调控,hong'guan'tiao'kong
宏观调控目标,hong'guan'tiao'kong'mu'biao
红利,hong'li
哄抢财产,hong'qiang'cai'chan
红十字标志使用办法,hong'shi'zi'biao'zhi'shi'yong'ban'fa
红十字会法,hong'shi'zi'hui'fa
红十字总会,hong'shi'zi'zong'hui
后法优于前法,hou'fa'you'yu'qian'fa
后果,hou'guo
后果的严重程度,hou'guo'de'yan'zhong'cheng'du
后手,hou'shou
后续条件,hou'xu'tiao'jian
户籍,hu'ji
户口登记条例,hu'kou'deng'ji'tiao'li
户口尚未解决,hu'kou'shang'wei'jie'jue
互免签证协议,hu'mian'qian'zheng'xie'yi
护士管理办法,hu'shi'guan'li'ban'fa
护士条例,hu'shi'tiao'li
户外广告登记管理规定,hu'wai'guang'gao'deng'ji'guan'li'gui'ding
互相帮助,hu'xiang'bang'zhu
互相抵押,hu'xiang'di'ya
互相供养的责任感,hu'xiang'gong'yang'de'ze'ren'gan
互相印证,hu'xiang'yin'zheng
互选,hu'xuan
护照法,hu'zhao'fa
互争权利诉讼,hu'zheng'quan'li'su'song
华能集团公司,hua'neng'ji'tuan'gong'si
华侨事务委员会,hua'qiao'shi'wu'wei'yuan'hui
坏账,huai'zhang
坏帐,huai'zhang
还本付息,huan'ben'fu'xi
换汇成本,huan'hui'cheng'ben
环境保护档案管理办法,huan'jing'bao'hu'dang'an'guan'li'ban'fa
环境保护领导小组,huan'jing'bao'hu'ling'dao'xiao'zu
环境保护行政处罚办法,huan'jing'bao'hu'xing'zheng'chu'fa'ban'fa
环境保护总局,huan'jing'bao'hu'zong'ju
环境标准管理办法,huan'jing'biao'zhun'guan'li'ban'fa
环境监测管理办法,huan'jing'jian'ce'guan'li'ban'fa
患精神病,huan'jing'shen'bing
环境信访办法,huan'jing'xin'fang'ban'fa
环境影响评价法,huan'jing'ying'xiang'ping'jia'fa
环境噪声污染防治法,huan'jing'zao'sheng'wu'ran'fang'zhi'fa
缓期执行,huan'qi'zhi'xing
环球律师事务所,huan'qiu'lv'shi'shi'wu'suo
缓刑,huan'xing
还债程序,huan'zhai'cheng'xu
黄河河口管理办法,huang'he'he'kou'guan'li'ban'fa
黄河水量调度条例,huang'he'shui'liang'diao'du'tiao'li
黄金管理局,huang'jin'guan'li'ju
回报,hui'bao
回报率,hui'bao'lv
回避,hui'bi
汇兑在途,hui'dui'zai'tu
汇兑支出,hui'dui'zhi'chu
恢复,hui'fu
恢复名誉,hui'fu'ming'yu
恢复行使主权,hui'fu'xing'shi'zhu'quan
恢复原状,hui'fu'yuan'zhuang
悔改,hui'gai
回购协议,hui'gou'xie'yi
挥霍浪费,hui'huo'lang'fei
会见犯罪嫌疑人,hui'jian'fan'zui'xian'yi'ren
回扣,hui'kou
贿赂,hui'lu
汇率并轨,hui'lv'bing'gui
汇率失调,hui'lv'shi'tiao
汇票,hui'piao
悔意,hui'yi
徽章,hui'zhang
悔罪,hui'zui
混合过错,hun'he'guo'cuo
混合饲料,hun'he'si'liao
混合所有制,hun'he'suo'you'zhi
婚后财产公证,hun'hou'cai'chan'gong'zheng
婚生子女,hun'sheng'zi'nv
婚外性关系,hun'wai'xing'guan'xi
婚姻,hun'yin
婚姻登记,hun'yin'deng'ji
婚姻登记档案管理办法,hun'yin'deng'ji'dang'an'guan'li'ban'fa
婚姻登记所,hun'yin'deng'ji'suo
婚姻登记条例,hun'yin'deng'ji'tiao'li
婚姻法,hun'yin'fa
婚姻法学研究会,hun'yin'fa'xue'yan'jiu'hui
婚姻基础,hun'yin'ji'chu
婚姻授产协议,hun'yin'shou'chan'xie'yi
货币,huo'bi
货币政策态势,huo'bi'zheng'ce'tai'shi
获得,huo'de
获得报酬权,huo'de'bao'chou'quan
货款拖欠,huo'kuan'tuo'qian
活期存款,huo'qi'cun'kuan
货物损害优先权,huo'wu'sun'hai'you'xian'quan
货证,huo'zheng
基本法,ji'ben'fa
基本法律,ji'ben'fa'lv
基本建设投资,ji'ben'jian'she'tou'zi
基本建设委员会,ji'ben'jian'she'wei'yuan'hui
基本经济要素,ji'ben'jing'ji'yao'su
基本权利和义务,ji'ben'quan'li'he'yi'wu
基本人权,ji'ben'ren'quan
基本适度,ji'ben'shi'du
基本性国家法律,ji'ben'xing'guo'jia'fa'lv
基本政策,ji'ben'zheng'ce
级别管辖,ji'bie'guan'xia
机部机械设备成套总局,ji'bu'ji'xie'she'bei'cheng'tao'zong'ju
基层公安机关,ji'ceng'gong'an'ji'guan
基层人民法院,ji'ceng'ren'min'fa'yuan
基层人民法院副院长,ji'ceng'ren'min'fa'yuan'fu'yuan'zhang
基层人民法院院长,ji'ceng'ren'min'fa'yuan'yuan'zhang
继承,ji'cheng
继承参与人,ji'cheng'can'yu'ren
继承法,ji'cheng'fa
继承纠纷,ji'cheng'jiu'fen
继承权,ji'cheng'quan
继承人,ji'cheng'ren
继承人多,ji'cheng'ren'duo
继承遗产,ji'cheng'yi'chan
即此函达尚希见复为荷,ji'ci'han'da'shang'xi'jian'fu'wei'he
既得权,ji'de'quan
寄递,ji'di
机动车登记办法,ji'dong'che'deng'ji'ban'fa
机动车驾驶员考试办法,ji'dong'che'jia'shi'yuan'kao'shi'ban'fa
机动车驾驶证管理办法,ji'dong'che'jia'shi'zheng'guan'li'ban'fa
机动车维修管理规定,ji'dong'che'wei'xiu'guan'li'gui'ding
给付,ji'fu
继父母,ji'fu'mu
技改投资,ji'gai'tou'zi
机关事务管理局,ji'guan'shi'wu'guan'li'ju
机关团体存款,ji'guan'tuan'ti'cun'kuan
计划单列市,ji'hua'dan'lie'shi
计划经济,ji'hua'jing'ji
计划生育,ji'hua'sheng'yu
计划生育领导小组,ji'hua'sheng'yu'ling'dao'xiao'zu
计划生育委员会,ji'hua'sheng'yu'wei'yuan'hui
计划委员会,ji'hua'wei'yuan'hui
机会成本,ji'hui'cheng'ben
集会结社,ji'hui'jie'she
集会游行示威法,ji'hui'you'xing'shi'wei'fa
基金会管理条例,ji'jin'hui'guan'li'tiao'li
基金会名称管理规定,ji'jin'hui'ming'cheng'guan'li'gui'ding
基金会年度检查办法,ji'jin'hui'nian'du'jian'cha'ban'fa
基金会信息公布办法,ji'jin'hui'xin'xi'gong'bu'ban'fa
基金经理注册登记规则,ji'jin'jing'li'zhu'ce'deng'ji'gui'ze
激励机制,ji'li'ji'zhi
计量标准考核办法,ji'liang'biao'zhun'kao'he'ban'fa
计量法,ji'liang'fa
计量局,ji'liang'ju
纪律检查委员会,ji'lv'jian'cha'wei'yuan'hui
记名票据,ji'ming'piao'ju
藉内庭发出传票,ji'nei'ting'fa'chu'chuan'piao
即期票据,ji'qi'piao'ju
及时,ji'shi
继受法,ji'shou'fa
技术产权交易所,ji'shu'chan'quan'jiao'yi'suo
技术合同法,ji'shu'he'tong'fa
技术合同法实施条例,ji'shu'he'tong'fa'shi'shi'tiao'li
技术诀窍,ji'shu'jue'qiao
技术密集型产品,ji'shu'mi'ji'xing'chan'pin
技术市场协调领导小组,ji'shu'shi'chang'xie'tiao'ling'dao'xiao'zu
缉私,ji'si
计算机软件保护条例,ji'suan'ji'ruan'jian'bao'hu'tiao'li
挤提存款,ji'ti'cun'kuan
集体股,ji'ti'gu
集体合同规定,ji'ti'he'tong'gui'ding
集体经济,ji'ti'jing'ji
集体企业,ji'ti'qi'ye
集体所有,ji'ti'suo'you
集体所有制单位,ji'ti'suo'you'zhi'dan'wei
集体土地,ji'ti'tu'di
集团公司,ji'tuan'gong'si
机械复制权,ji'xie'fu'zhi'quan
机械工业局,ji'xie'gong'ye'ju
机械工业委员会,ji'xie'gong'ye'wei'yuan'hui
极刑,ji'xing
继续进行,ji'xu'jin'xing
羁押,ji'ya
羁押期限,ji'ya'qi'xian
积压严重,ji'ya'yan'zhong
寄养子女,ji'yang'zi'nv
给予,ji'yu
给予适当的经济帮助,ji'yu'shi'dang'de'jing'ji'bang'zhu
给予援助令状,ji'yu'yuan'zhu'ling'zhuang
寄运,ji'yun
挤占挪用,ji'zhan'nuo'yong
基准利率,ji'zhun'li'lv
继子女,ji'zi'nv
加大结构调整力度,jia'da'jie'gou'tiao'zheng'li'du
价格法,jia'ge'fa
价格放开,jia'ge'fang'kai
价格形成机制,jia'ge'xing'cheng'ji'zhi
加工承揽合同条例,jia'gong'cheng'lan'he'tong'tiao'li
加工贸易,jia'gong'mao'yi
加快态势,jia'kuai'tai'shi
假冒商标,jia'mao'shang'biao
假冒商标罪,jia'mao'shang'biao'zui
加强企业管理领导小组,jia'qiang'qi'ye'guan'li'ling'dao'xiao'zu
加强税收征管稽查,jia'qiang'shui'shou'zheng'guan'ji'cha
加权价,jia'quan'jia
加权平均值,jia'quan'ping'jun'zhi
假释,jia'shi
家庭,jia'ting
家庭背景,jia'ting'bei'jing
家庭财产分割协议,jia'ting'cai'chan'fen'ge'xie'yi
家庭成员,jia'ting'cheng'yuan
家庭法,jia'ting'fa
家庭副业,jia'ting'fu'ye
家庭寄养管理暂行办法,jia'ting'ji'yang'guan'li'zan'xing'ban'fa
假证据,jia'zheng'ju
加重刑罚,jia'zhong'xing'fa
监察部,jian'cha'bu
检察官,jian'cha'guan
检察官法,jian'cha'guan'fa
检察机关,jian'cha'ji'guan
检查鉴定结论,jian'cha'jian'ding'jie'lun
监察局,jian'cha'ju
检察权,jian'cha'quan
检察人员,jian'cha'ren'yuan
检察委员会,jian'cha'wei'yuan'hui
检查委员会,jian'cha'wei'yuan'hui
检察委员会会员,jian'cha'wei'yuan'hui'hui'yuan
检察委员会检察员,jian'cha'wei'yuan'hui'jian'cha'yuan
检察委员会书记员,jian'cha'wei'yuan'hui'shu'ji'yuan
检察委员会助理检察员,jian'cha'wei'yuan'hui'zhu'li'jian'cha'yuan
检察院,jian'cha'yuan
检查员,jian'cha'yuan
检察院派出机构,jian'cha'yuan'pai'chu'ji'gou
检察长,jian'cha'zhang
简单多数,jian'dan'duo'shu
简单合同,jian'dan'he'tong
简单之债,jian'dan'zhi'zhai
鉴定,jian'ding
鉴定结论,jian'ding'jie'lun
鉴定员,jian'ding'yuan
监督,jian'du
监督程序,jian'du'cheng'xu
监护,jian'hu
监护人,jian'hu'ren
简化手续,jian'hua'shou'xu
间接法,jian'jie'fa
间接故意,jian'jie'gu'yi
间接继承,jian'jie'ji'cheng
检举,jian'ju
坚决要求,jian'jue'yao'qiu
健康保险,jian'kang'bao'xian
健康保险管理办法,jian'kang'bao'xian'guan'li'ban'fa
检控,jian'kong
减亏,jian'kui
监内执行,jian'nei'zhi'xing
减轻处罚,jian'qing'chu'fa
减轻损失,jian'qing'sun'shi
兼容性,jian'rong'xing
建设部,jian'she'bu
建设工程质量管理条例,jian'she'gong'cheng'zhi'liang'guan'li'tiao'li
建设银行,jian'she'yin'hang
监视,jian'shi
监事,jian'shi
监事会,jian'shi'hui
监视居住,jian'shi'ju'zhu
茧丝质量监督管理办法,jian'si'zhi'liang'jian'du'guan'li'ban'fa
检验,jian'yan
简易程序,jian'yi'cheng'xu
奸淫幼女罪,jian'yin'you'nv'zui
监狱,jian'yu
监狱法,jian'yu'fa
兼职律师,jian'zhi'lv'shi
建筑安全玻璃管理规定,jian'zhu'an'quan'bo'li'guan'li'gui'ding
建筑材料工业局,jian'zhu'cai'liao'gong'ye'ju
建筑法,jian'zhu'fa
建筑面积计算规则,jian'zhu'mian'ji'ji'suan'gui'ze
建筑市场管理规定,jian'zhu'shi'chang'guan'li'gui'ding
建筑许可证,jian'zhu'xu'ke'zheng
建筑业协会,jian'zhu'ye'xie'hui
建筑装饰装修管理规定,jian'zhu'zhuang'shi'zhuang'xiu'guan'li'gui'ding
缴存准备金,jiao'cun'zhun'bei'jin
交付,jiao'fu
交割日,jiao'ge'ri
交给,jiao'gei
教会法,jiao'hui'fa
缴获,jiao'huo
缴纳会费,jiao'na'hui'fei
教师法,jiao'shi'fa
教唆犯,jiao'suo'fan
教唆者,jiao'suo'zhe
交通部,jiao'tong'bu
交通法规制定程序规定,jiao'tong'fa'gui'zhi'ding'cheng'xu'gui'ding
交通事故处理程序规定,jiao'tong'shi'gu'chu'li'cheng'xu'gui'ding
交通事故行政裁决,jiao'tong'shi'gu'xing'zheng'cai'jue
交通银行,jiao'tong'yin'hang
交投活跃,jiao'tou'huo'yue
教育,jiao'yu
教育部,jiao'yu'bu
教育法,jiao'yu'fa
教育附加费,jiao'yu'fu'jia'fei
教育工会,jiao'yu'gong'hui
教育委员会,jiao'yu'wei'yuan'hui
结案,jie'an
解除,jie'chu
解除合同,jie'chu'he'tong
解答,jie'da
解放军总直属队,jie'fang'jun'zong'zhi'shu'dui
结构,jie'gou
结构扭曲,jie'gou'niu'qu
结构失调,jie'gou'shi'tiao
结构性矛盾突出,jie'gou'xing'mao'dun'tu'chu
结构优化,jie'gou'you'hua
接管,jie'guan
结果犯,jie'guo'fan
结果加重犯,jie'guo'jia'zhong'fan
结合,jie'he
结汇,jie'hui
结婚,jie'hun
结婚登记,jie'hun'deng'ji
阶级斗争,jie'ji'dou'zheng
借据,jie'ju
解决未果,jie'jue'wei'guo
接纳上诉,jie'na'shang'su
介入人,jie'ru'ren
介入诉讼,jie'ru'su'song
介绍信,jie'shao'xin
解释,jie'shi
接受存款公司,jie'shou'cun'kuan'gong'si
接受令状的送达,jie'shou'ling'zhuang'de'song'da
接受宣判的当事人,jie'shou'xuan'pan'de'dang'shi'ren
结束,jie'shu
戒严法,jie'yan'fa
节约能源法,jie'yue'neng'yuan'fa
节约能源管理暂行条例,jie'yue'neng'yuan'guan'li'zan'xing'tiao'li
进出口管理委员会,jin'chu'kou'guan'li'wei'yuan'hui
进出口关税条例,jin'chu'kou'guan'shui'tiao'li
进出口货物原产地条例,jin'chu'kou'huo'wu'yuan'chan'di'tiao'li
进出口商品复验办法,jin'chu'kou'shang'pin'fu'yan'ban'fa
进出口商品检验法,jin'chu'kou'shang'pin'jian'yan'fa
进出口银行,jin'chu'kou'yin'hang
禁毒法,jin'du'fa
禁毒工作领导小组,jin'du'gong'zuo'ling'dao'xiao'zu
禁毒委员会,jin'du'wei'yuan'hui
紧急避险,jin'ji'bi'xian
进口药材抽样规定,jin'kou'yao'cai'chou'yang'gui'ding
进口药材管理办法,jin'kou'yao'cai'guan'li'ban'fa
进口药品管理办法,jin'kou'yao'pin'guan'li'ban'fa
金钱赔偿,jin'qian'pei'chang
近亲属,jin'qin'shu
金融脆弱,jin'rong'cui'ruo
金融动荡,jin'rong'dong'dang
金融风波,jin'rong'feng'bo
金融机构,jin'rong'ji'gou
金融机构反洗钱规定,jin'rong'ji'gou'fan'xi'qian'gui'ding
金融恐慌,jin'rong'kong'huang
金融企业财务规则,jin'rong'qi'ye'cai'wu'gui'ze
金融市场,jin'rong'shi'chang
金融危机,jin'rong'wei'ji
金融许可证管理办法,jin'rong'xu'ke'zheng'guan'li'ban'fa
金融压抑,jin'rong'ya'yi
金融衍生物,jin'rong'yan'sheng'wu
金融诈骗,jin'rong'zha'pian
金融租赁公司,jin'rong'zu'lin'gong'si
金融租赁公司管理办法,jin'rong'zu'lin'gong'si'guan'li'ban'fa
金税工程,jin'shui'gong'cheng
近似商标,jin'si'shang'biao
紧缩银根,jin'suo'yin'gen
紧缩政策,jin'suo'zheng'ce
禁渔期,jin'yu'qi
禁治产人,jin'zhi'chan'ren
禁止传销条例,jin'zhi'chuan'xiao'tiao'li
禁止规范,jin'zhi'gui'fan
禁制令,jin'zhi'ling
禁止流通物,jin'zhi'liu'tong'wu
禁止使用童工规定,jin'zhi'shi'yong'tong'gong'gui'ding
经办人员,jing'ban'ren'yuan
警察法,jing'cha'fa
经常居住地,jing'chang'ju'zhu'di
经常性贷款,jing'chang'xing'dai'kuan
经常账户可兑换,jing'chang'zhang'hu'ke'dui'huan
警车管理规定,jing'che'guan'li'gui'ding
经法规研究中心,jing'fa'gui'yan'jiu'zhong'xin
经济,jing'ji
经纪,jing'ji
经济案件级别管辖,jing'ji'an'jian'ji'bie'guan'xia
经济帮助,jing'ji'bang'zhu
经济承受能力,jing'ji'cheng'shou'neng'li
经济等检察厅,jing'ji'deng'jian'cha'ting
经济法,jing'ji'fa
经济法规研究中心,jing'ji'fa'gui'yan'jiu'zhong'xin
经济犯罪,jing'ji'fan'zui
经济合同法,jing'ji'he'tong'fa
经济合同仲裁委员会,jing'ji'he'tong'zhong'cai'wei'yuan'hui
经济合作合同,jing'ji'he'zuo'he'tong
经济价值,jing'ji'jia'zhi
经济贸易办公室,jing'ji'mao'yi'ban'gong'shi
经济贸易委员会,jing'ji'mao'yi'wei'yuan'hui
经纪人管理办法,jing'ji'ren'guan'li'ban'fa
经济审判庭,jing'ji'shen'pan'ting
经济审判庭副庭长,jing'ji'shen'pan'ting'fu'ting'zhang
经济审判庭庭长,jing'ji'shen'pan'ting'ting'zhang
经济师,jing'ji'shi
经济适用住房管理办法,jing'ji'shi'yong'zhu'fang'guan'li'ban'fa
经济损失,jing'ji'sun'shi
经济特区,jing'ji'te'qu
经济特区法规,jing'ji'te'qu'fa'gui
经济体制改革,jing'ji'ti'zhi'gai'ge
经济体制改革委员会,jing'ji'ti'zhi'gai'ge'wei'yuan'hui
经济委员会,jing'ji'wei'yuan'hui
经济增长方式的转变,jing'ji'zeng'zhang'fang'shi'de'zhuan'bian
经济增长减速,jing'ji'zeng'zhang'jian'su
经济制裁,jing'ji'zhi'cai
经济仲裁制度,jing'ji'zhong'cai'zhi'du
经理独立负责制,jing'li'du'li'fu'ze'zhi
经理负责制,jing'li'fu'ze'zhi
景气回升,jing'qi'hui'sheng
精神病人,jing'shen'bing'ren
精神不正常,jing'shen'bu'zheng'chang
精神损害,jing'shen'sun'hai
精神损失,jing'shen'sun'shi
精神文明,jing'shen'wen'ming
精神药物公约,jing'shen'yao'wu'gong'yue
精饲料,jing'si'liao
经调解,jing'tiao'jie
荆条蜜,jing'tiao'mi
境外投资,jing'wai'tou'zi
境外投资管理办法,jing'wai'tou'zi'guan'li'ban'fa
警务人员,jing'wu'ren'yuan
径行判决,jing'xing'pan'jue
经研究,jing'yan'jiu
竞业禁止,jing'ye'jin'zhi
经营活动,jing'ying'huo'dong
经营期限,jing'ying'qi'xian
经营权,jing'ying'quan
经营自主权,jing'ying'zi'zhu'quan
竞争加剧,jing'zheng'jia'ju
纠纷,jiu'fen
纠风办,jiu'feng'ban
救济,jiu'ji
救济权,jiu'ji'quan
酒类流通管理办法,jiu'lei'liu'tong'guan'li'ban'fa
酒类专卖行政处理决定,jiu'lei'zhuan'mai'xing'zheng'chu'li'jue'ding
九龙,jiu'long
旧式婚姻,jiu'shi'hun'yin
就土地而缴付,jiu'tu'di'er'jiao'fu
