阿尔伯特,a'er'bo'te
在单于之下,zai'chan'yu'zhi'xia
在攻打,zai'gong'da
在公元前第,zai'gong'yuan'qian'di
在公元前第四世纪时,zai'gong'yuan'qian'di'si'shi'ji'shi
在踝部捆扎紧,zai'huai'bu'kun'za'jin
在经济中,zai'jing'ji'zhong
在历史的黎明时期,zai'li'shi'de'li'ming'shi'qi
再受命,zai'shou'ming
在外面用,zai'wai'mian'yong
在位期间,zai'wei'qi'jian
在匈奴的后裔,zai'xiong'nu'de'hou'yi
在与,zai'yu
在这期间,zai'zhe'qi'jian
在这些词中,zai'zhe'xie'ci'zhong
在政治上,zai'zheng'zhi'shang
在政治上武帝加强皇权,zai'zheng'zhi'shang'wu'di'jia'qiang'huang'quan
则是在,ze'shi'zai
则先,ze'xian
则又,ze'you
占据着,zhan'ju'zhe
展开了长达四年的,zhan'kai'le'chang'da'si'nian'de
战利品的,zhan'li'pin'de
战利品中,zhan'li'pin'zhong
展示他们,zhan'shi'ta'men
占统治地位的,zhan'tong'zhi'di'wei'de
章帝,zhang'di
张良,zhang'liang
张骞,zhang'qian
昭帝死后,zhao'di'si'hou
赵飞燕,zhao'fei'yan
赵飞燕姐妹,zhao'fei'yan'jie'mei
赵国的中国人,zhao'guo'de'zhong'guo'ren
赵国及其,zhao'guo'ji'qi
赵合德,zhao'he'de
赵氏姐妹,zhao'shi'jie'mei
赵武灵王,zhao'wu'ling'wang
昭宣二帝,zhao'xuan'er'di
昭宣中兴,zhao'xuan'zhong'xing
这个游牧民族在行进时,zhe'ge'you'mu'min'zu'zai'xing'jin'shi
这些词解释为,zhe'xie'ci'jie'shi'wei
这些游牧民的进攻,zhe'xie'you'mu'min'de'jin'gong
这一军事改革,zhe'yi'jun'shi'gai'ge
这一时期,zhe'yi'shi'qi
这一习惯,zhe'yi'xi'guan
这在突厥,zhe'zai'tu'jue
这种嗜血性,zhe'zhong'shi'xue'xing
这种说法,zhe'zhong'shuo'fa
政不出房户,zheng'bu'chu'fang'hu
整顿吏治,zheng'dun'li'zhi
征服朝鲜,zheng'fu'chao'xian
正式称帝,zheng'shi'cheng'di
正式承认了,zheng'shi'cheng'ren'le
证实了,zheng'shi'le
正是为了,zheng'shi'wei'le
正是在公元前,zheng'shi'zai'gong'yuan'qian
正直的,zheng'zhi'de
直到公元前,zhi'dao'gong'yuan'qian
直到王莽,zhi'dao'wang'mang
治国的思想,zhi'guo'de'si'xiang
之后霍光,zhi'hou'huo'guang
至于匈奴人,zhi'yu'xiong'nu'ren
之子,zhi'zi
重车兵,zhong'che'bing
众臣迎立,zhong'chen'ying'li
中国边境上,zhong'guo'bian'jing'shang
中国人把,zhong'guo'ren'ba
中国人开始,zhong'guo'ren'kai'shi
中国人描绘的,zhong'guo'ren'miao'hui'de
中国人仍然,zhong'guo'ren'reng'ran
中国人所知的胡人,zhong'guo'ren'suo'zhi'de'hu'ren
中国武士们,zhong'guo'wu'shi'men
中山王,zhong'shan'wang
忠实的,zhong'shi'de
中央集权,zhong'yang'ji'quan
终于击败,zhong'yu'ji'bai
中原部族集团,zhong'yuan'bu'zu'ji'tuan
周亚夫,zhou'ya'fu
铸币,zhu'bi
主父偃,zhu'fu'yan
诸侯王的势力,zhu'hou'wang'de'shi'li
诸侯王的势力不再能够对中央构成威胁,zhu'hou'wang'de'shi'li'bu'zai'neng'gou'dui'zhong'yang'gou'cheng'wei'xie
主流思想,zhu'liu'si'xiang
诸吕之乱,zhu'lv'zhi'luan
诸吕之乱被铲除,zhu'lv'zhi'luan'bei'chan'chu
著名的,zhu'ming'de
住在东面,zhu'zai'dong'mian
住在西面,zhu'zai'xi'mian
自己担任,zi'ji'dan'ren
最大的官职,zui'da'de'guan'zhi
最大外患,zui'da'wai'huan
最先进的文明,zui'xian'jin'de'wen'ming
作为饮器使用,zuo'wei'yin'qi'shi'yong
左贤王,zuo'xian'wang
左右大当户,zuo'you'da'dang'hu
左右大都尉,zuo'you'da'du'wei
左右大将,zuo'you'da'jiang
左右骨都侯,zuo'you'gu'dou'hou
左右谷蠡王,zuo'you'gu'li'wang
