阿不都,a'bu'dou
克州,ke'zhou
空军医院,kong'jun'yi'yuan
孔雀河,kong'que'he
库车,ku'che
库车县,ku'che'xian
哭的呢,ku'de'ne
库尔,ku'er
库尔勒,ku'er'le
库尔勒的,ku'er'le'de
库尔勒了,ku'er'le'le
库尔勒市,ku'er'le'shi
库米什,ku'mi'shen
库木塔格,ku'mu'ta'ge
快快回家,kuai'kuai'hui'jia
快快回去,kuai'kuai'hui'qu
快快写,kuai'kuai'xie
快来号,kuai'lai'hao
快来号了,kuai'lai'hao'le
快说撒,kuai'shuo'sa
矿冶,kuang'ye
奎屯,kui'tun
奎屯的,kui'tun'de
奎屯了,kui'tun'le
奎屯市,kui'tun'shi
昆仑路,kun'lun'lu
昆仑银行,kun'lun'yin'hang
昆明路,kun'ming'lu
辣皮子,la'pi'zi
辣时尚,la'shi'shang
拉条子,la'tiao'zi
辣子酱,la'zi'jiang
辣子面,la'zi'mian
辣子肉,la'zi'rou
来的呢,lai'de'ne
来电管家,lai'dian'guan'jia
来房子,lai'fang'zi
赖给你,lai'gei'ni
赖瓜子,lai'gua'zi
来号,lai'hao
来号的,lai'hao'de
来号了,lai'hao'le
赖皮子,lai'pi'zi
来撒来撒,lai'sa'lai'sa
来石河子,lai'shi'he'zi
来完号,lai'wan'hao
来我房子,lai'wo'fang'zi
来乌鲁木齐,lai'wu'lu'mu'qi
来乌市,lai'wu'shi
来新疆,lai'xin'jiang
徕远,lai'yuan
蓝调一品,lan'diao'yi'pin
兰炭,lan'tan
懒娃娃,lan'wa'wa
揽秀园,lan'xiu'yuan
朗悦盛境,lang'yue'sheng'jing
老道,lao'dao
劳动保障,lao'dong'bao'zhang
劳动街,lao'dong'jie
劳动用工,lao'dong'yong'gong
老回民,lao'hui'min
老壳子,lao'ke'zi
老满城,lao'man'cheng
老满城街,lao'man'cheng'jie
老维族,lao'wei'zu
老掌柜,lao'zhang'gui
了睡了吧,le'shui'le'ba
了睡了吗,le'shui'le'ma
了闲的很,le'xian'de'hen
了晓得,le'xiao'de
了找了,le'zhao'le
累的很,lei'de'hen
雷客,lei'ke
累求子,lei'qiu'zi
累求子的,lei'qiu'zi'de
厉害的很,li'hai'de'hen
丽景江山,li'jing'jiang'shan
丽景水岸,li'jing'shui'an
鲤鱼山,li'yu'shan
鲤鱼山路,li'yu'shan'lu
练的呢,lian'de'ne
联系的呢,lian'xi'de'ne
两公斤,liang'gong'jin
凉皮店,liang'pi'dian
凉皮子,liang'pi'zi
粮校,liang'xiao
聊不成,liao'bu'cheng
聊不成了,liao'bu'cheng'le
聊不哈,liao'bu'ha
聊的呢,liao'de'ne
聊给,liao'gei
廖师傅,liao'shi'fu
聊天的呢,liao'tian'de'ne
林子校,lin'zi'xiao
领机,ling'ji
零批次,ling'pi'ci
领秀新城,ling'xiu'xin'cheng
六道湾,liu'dao'wan
六道湾路,liu'dao'wan'lu
六公斤,liu'gong'jin
硫磺沟,liu'huang'gou
六师,liu'shi
六十户,liu'shi'hu
柳树泉,liu'shu'quan
柳园,liu'yuan
龙泉街,long'quan'jie
楼栋长,lou'dong'chang
芦草沟,lu'cao'gou
芦花鸡,lu'hua'ji
鹿角湾,lu'jiao'wan
鲁克沁,lu'ke'qin
炉院街,lu'yuan'jie
卤制品,lu'zhi'pin
轮台,lun'tai
轮台县,lun'tai'xian
罗布泊,luo'bu'po
绿河谷,lv'he'gu
马彬,ma'bin
马肠子,ma'chang'zi
马德里春天,ma'de'li'chun'tian
骂的呢,ma'de'ne
马合木提,ma'he'mu'ti
马红梅,ma'hong'mei
麻辣空间,ma'la'kong'jian
马力克,ma'li'ke
马料地,ma'liao'di
马木提,ma'mu'ti
玛纳斯,ma'na'si
玛纳斯县,ma'na'si'xian
马奶子,ma'nai'zi
马胖子,ma'pang'zi
马萍,ma'ping
马仕玖煲,ma'shi'jiu'bao
马市小区,ma'shi'xiao'qu
马晓丽,ma'xiao'li
马晓燕,ma'xiao'yan
马璇,ma'xuan
玛雅房屋,ma'ya'fang'wu
玛依拉,ma'yi'la
玛依努尔,ma'yi'nu'er
卖菜的,mai'cai'de
买的撒,mai'de'sa
麦迪娜,mai'di'na
麦尔丹,mai'er'dan
麦盖提,mai'gai'ti
麦盖提县,mai'gai'ti'xian
卖钩子,mai'gou'zi
卖钩子的,mai'gou'zi'de
买合木提,mai'he'mu'ti
买猴子,mai'hou'zi
买买提,mai'mai'ti
买买提江,mai'mai'ti'jiang
买买提明,mai'mai'ti'ming
麦趣尔,mai'qu'er
买上课,mai'shang'ke
买上了,mai'shang'le
买上没,mai'shang'mei
慢摇吧,man'yao'ba
盲道,mang'dao
忙的很吗,mang'de'hen'ma
忙的呢,mang'de'ne
忙撒,mang'sa
忙撒的,mang'sa'de
忙撒的呢,mang'sa'de'ne
忙撒呢,mang'sa'ne
忙啥的呢,mang'sha'de'ne
忙什么的呢,mang'shen'me'de'ne
盲校,mang'xiao
毛纺厂,mao'fang'chang
毛驴子,mao'lv'zi
毛芹,mao'qin
毛芹菜,mao'qin'cai
么话了,me'hua'le
么了来,me'le'lai
么了呢,me'le'ne
么心,me'xin
么有吧,me'you'ba
煤改气,mei'gai'qi
没干嘛的,mei'gan'ma'de
没干撒,mei'gan'sa
煤化厂,mei'hua'chang
没街上,mei'jie'shang
美居,mei'ju
美居物流园,mei'ju'wu'liu'yuan
煤矿医院,mei'kuang'yi'yuan
没来号,mei'lai'hao
没忙撒,mei'mang'sa
没拿上,mei'na'shang
没呢么,mei'ne'me
没求事,mei'qiu'shi
每日每夜,mei'ri'mei'ye
没撒,mei'sa
没撒啊,mei'sa'a
没撒的,mei'sa'de
没撒了,mei'sa'le
没撒没撒,mei'sa'mei'sa
没撒人,mei'sa'ren
没撒事,mei'sa'shi
没撒意思,mei'sa'yi'si
没撒用,mei'sa'yong
没说怕,mei'shuo'pa
没说撒,mei'shuo'sa
美完了,mei'wan'le
美亚大光明,mei'ya'da'guang'ming
没咋没咋,mei'za'mei'za
米东,mi'dong
米东南路,mi'dong'nan'lu
米东区,mi'dong'qu
米兜兜,mi'dou'dou
米饭菜,mi'fan'cai
米粉吧,mi'fen'ba
米粉了,mi'fen'le
米吉提,mi'ji'ti
米拉吉,mi'la'ji
米泉,mi'quan
米泉的,mi'quan'de
米泉了,mi'quan'le
米泉呢,mi'quan'ne
米泉市,mi'quan'shi
米一,mi'yi
米有吧,mi'you'ba
面包新语,mian'bao'xin'yu
面肺子,mian'fei'zi
棉花地,mian'hua'di
棉花街,mian'hua'jie
面旗子,mian'qi'zi
庙尔沟,miao'er'gou
灭火处,mie'huo'chu
民考汉,min'kao'han
民宗局,min'zong'ju
民族人,min'zu'ren
民族团结,min'zu'tuan'jie
明德路,ming'de'lu
明华街,ming'hua'jie
明园,ming'yuan
明珠花卉,ming'zhu'hua'hui
魔鬼城,mo'gui'cheng
馍馍菜,mo'mo'cai
墨玉县,mo'yu'xian
木啊,mu'a
木啊啊,mu'a'a
木啊木啊,mu'a'mu'a
木啊木啊木啊,mu'a'mu'a'mu'a
木材厂,mu'cai'chang
木合塔尔,mu'he'ta'er
木卡姆,mu'ka'mu
木拉,mu'la
木拉提,mu'la'ti
木垒,mu'lei
木垒县,mu'lei'xian
木木啊,mu'mu'a
木尼热,mu'ni're
木齐,mu'qi
木沙,mu'sha
纳编,na'bian
拿不上,na'bu'shang
那吃撒,na'chi'sa
娜迪拉,na'di'la
那个撒,na'ge'sa
那就快快,na'jiu'kuai'kuai
那就是么,na'jiu'shi'me
那就行了么,na'jiu'xing'le'me
那可以么,na'ke'yi'me
那可以呢,na'ke'yi'ne
那拉提,na'la'ti
那么可笑,na'me'ke'xiao
那你的意思呢,na'ni'de'yi'si'ne
那你前面,na'ni'qian'mian
那你撒时候,na'ni'sa'shi'hou
那你撒意思,na'ni'sa'yi'si
那你是撒,na'ni'shi'sa
那你为撒,na'ni'wei'sa
哪去呢,na'qu'ne
那撒时候,na'sa'shi'hou
拿上了,na'shang'le
拿上了吗,na'shang'le'ma
拿上没,na'shang'mei
那是怕,na'shi'pa
那是撒,na'shi'sa
那为撒,na'wei'sa
那行呢,na'xing'ne
那也行呢,na'ye'xing'ne
哪有撒,na'you'sa
那又咋了,na'you'za'le
那咋办呢,na'za'ban'ne
奶棒,nai'bang
奶疙瘩,nai'ge'da
奶妈子,nai'ma'zi
南北疆,nan'bei'jiang
南昌路,nan'chang'lu
南公园,nan'gong'yuan
南湖,nan'hu
南湖北路,nan'hu'bei'lu
南湖的,nan'hu'de
南湖店,nan'hu'dian
南湖东路,nan'hu'dong'lu
南湖二期,nan'hu'er'qi
南湖广场,nan'hu'guang'chang
南湖了,nan'hu'le
南湖南路,nan'hu'nan'lu
南湖小区,nan'hu'xiao'qu
南疆,nan'jiang
南疆的,nan'jiang'de
南郊客运站,nan'jiao'ke'yun'zhan
难看的很,nan'kan'de'hen
南梁坡,nan'liang'po
南山了,nan'shan'le
难受的很,nan'shou'de'hen
难受的呢,nan'shou'de'ne
馕饼,nang'bing
馕坑肉,nang'keng'rou
囊死给,nang'si'gei
淖毛湖,nao'mao'hu
呢必须,ne'bi'xu
呢不就,ne'bu'jiu
呢都是,ne'dou'shi
呢儿,ne'er
呢个男的,ne'ge'nan'de
呢个女的,ne'ge'nv'de
呢个是,ne'ge'shi
呢好吧,ne'hao'ba
呢会儿,ne'hui'er
呢几天,ne'ji'tian
呢叫,ne'jiao
呢就,ne'jiu
呢就好,ne'jiu'hao
呢就去,ne'jiu'qu
呢就是,ne'jiu'shi
呢就睡吧,ne'jiu'shui'ba
呢就算了,ne'jiu'suan'le
呢就行了,ne'jiu'xing'le
呢里面,ne'li'mian
呢么大,ne'me'da
呢么多,ne'me'duo
呢么多人,ne'me'duo'ren
呢么好,ne'me'hao
呢么久,ne'me'jiu
呢么快,ne'me'kuai
呢么晚,ne'me'wan
呢么远,ne'me'yuan
呢么早,ne'me'zao
呢明天,ne'ming'tian
呢你还,ne'ni'hai
呢你就,ne'ni'jiu
呢你看吧,ne'ni'kan'ba
呢你忙吧,ne'ni'mang'ba
呢你们,ne'ni'men
呢你呢,ne'ni'ne
呢你去,ne'ni'qu
呢你是,ne'ni'shi
呢你睡吧,ne'ni'shui'ba
呢你玩吧,ne'ni'wan'ba
呢你现在,ne'ni'xian'zai
呢你也,ne'ni'ye
呢是吧,ne'shi'ba
呢是不是,ne'shi'bu'shi
呢是个,ne'shi'ge
呢是你,ne'shi'ni
呢是撒,ne'shi'sa
呢是我,ne'shi'wo
呢睡吧,ne'shui'ba
呢我就,ne'wo'jiu
呢我们,ne'wo'men
呢我呢,ne'wo'ne
呢我去,ne'wo'qu
呢我睡了,ne'wo'shui'le
呢我也,ne'wo'ye
呢些,ne'xie
呢行吧,ne'xing'ba
呢样的,ne'yang'de
呢样子,ne'yang'zi
呢也,ne'ye
呢也是,ne'ye'shi
呢以后,ne'yi'hou
呢一天,ne'yi'tian
呢又咋了,ne'you'za'le
呢咋办,ne'za'ban
呢怎么办,ne'zen'me'ban
内地的,nei'di'de
内地了,nei'di'le
内地人,nei'di'ren
内高,nei'gao
内高班,nei'gao'ban
能干撒,neng'gan'sa
你比价,ni'bi'jia
你不操心,ni'bu'cao'xin
你吃的撒,ni'chi'de'sa
你吃撒,ni'chi'sa
你打夜,ni'da'ye
你大爷吧,ni'da'ye'ba
你到哪去了,ni'dao'na'qu'le
你懂撒,ni'dong'sa
你发的撒,ni'fa'de'sa
你饭菜,ni'fan'cai
你干嘛的呢,ni'gan'ma'de'ne
你干撒,ni'gan'sa
你干撒的,ni'gan'sa'de
你干撒的呢,ni'gan'sa'de'ne
你干撒了,ni'gan'sa'le
你干撒呢,ni'gan'sa'ne
你干撒去,ni'gan'sa'qu
你干撒去了,ni'gan'sa'qu'le
你个勺子,ni'ge'shao'zi
你各种,ni'ge'zhong
你钩子,ni'gou'zi
你滚撒,ni'gun'sa
你好不好意思,ni'hao'bu'hao'yi'si
你好的呢,ni'hao'de'ne
你好好的,ni'hao'hao'de
你好好的怕,ni'hao'hao'de'pa
你好好的撒,ni'hao'hao'de'sa
你好好说,ni'hao'hao'shuo
你好了撒,ni'hao'le'sa
你好怕,ni'hao'pa
你好一点,ni'hao'yi'dian
你回族,ni'hui'zu
你急撒,ni'ji'sa
尼加提,ni'jia'ti
你叫怕,ni'jiao'pa
你叫撒,ni'jiao'sa
你可笑,ni'ke'xiao
你可以呢,ni'ke'yi'ne
你快快的,ni'kuai'kuai'de
你来号,ni'lai'hao
你来号了,ni'lai'hao'le
你来乌鲁木齐,ni'lai'wu'lu'mu'qi
你来乌市,ni'lai'wu'shi
你来新疆,ni'lai'xin'jiang
你老道,ni'lao'dao
尼勒克,ni'le'ke
尼勒克县,ni'le'ke'xian
你忙的呢,ni'mang'de'ne
你忙撒,ni'mang'sa
你忙撒的呢,ni'mang'sa'de'ne
你忙撒呢,ni'mang'sa'ne
你妹吧,ni'mei'ba
你们撒时候,ni'men'sa'shi'hou
你们喧,ni'men'xuan
你呢天,ni'ne'tian
你怕撒,ni'pa'sa
你前面说,ni'qian'mian'shuo
你悄悄,ni'qiao'qiao
你撒都,ni'sa'dou
你撒情况,ni'sa'qing'kuang
你撒时候,ni'sa'shi'hou
你撒时候回来,ni'sa'shi'hou'hui'lai
你撒时候来,ni'sa'shi'hou'lai
你撒意思,ni'sa'yi'si
你骚,ni'sao
你勺子,ni'shao'zi
你是汉族,ni'shi'han'zu
你是回族,ni'shi'hui'zu
你是撒,ni'shi'sa
你说的撒,ni'shuo'de'sa
你说怕,ni'shuo'pa
你说撒,ni'shuo'sa
你说撒的呢,ni'shuo'sa'de'ne
你说撒呢,ni'shuo'sa'ne
你速速,ni'su'su
你太可笑了,ni'tai'ke'xiao'le
你玩撒,ni'wan'sa
你为怕,ni'wei'pa
你为撒,ni'wei'sa
你乌鲁木齐,ni'wu'lu'mu'qi
你想吃怕,ni'xiang'chi'pa
你想吃撒,ni'xiang'chi'sa
你想干撒,ni'xiang'gan'sa
你想撒,ni'xiang'sa
你想说撒,ni'xiang'shuo'sa
你笑撒,ni'xiao'sa
你行了撒,ni'xing'le'sa
尼亚孜,ni'ya'zi
你要干撒,ni'yao'gan'sa
你要瞌睡,ni'yao'ke'shui
你要撒,ni'yao'sa
你也可以呢,ni'ye'ke'yi'ne
你也知道呢,ni'ye'zhi'dao'ne
你有没有意思,ni'you'mei'you'yi'si
你有撒,ni'you'sa
你咋办呢,ni'za'ban'ne
你咋了你,ni'za'le'ni
你咋呢么,ni'za'ne'me
你咋是个,ni'za'shi'ge
你咋这么好,ni'za'zhe'me'hao
你咋这么可爱,ni'za'zhe'me'ke'ai
你在别,ni'zai'bie
你在不要,ni'zai'bu'yao
你在昌吉,ni'zai'chang'ji
你在房子,ni'zai'fang'zi
你在干嘛的呢,ni'zai'gan'ma'de'ne
你在干撒,ni'zai'gan'sa
你在干撒呢,ni'zai'gan'sa'ne
你在石河子,ni'zai'shi'he'zi
你在说撒,ni'zai'shuo'sa
你在乌鲁木齐,ni'zai'wu'lu'mu'qi
你在乌市,ni'zai'wu'shi
你在新疆,ni'zai'xin'jiang
你这娃娃,ni'zhe'wa'wa
你真真,ni'zhen'zhen
你真真的,ni'zhen'zhen'de
你真正的,ni'zhen'zheng'de
你知道撒,ni'zhi'dao'sa
你组撒的呢,ni'zu'sa'de'ne
你组撒呢,ni'zu'sa'ne
你嘴子,ni'zui'zi
你做撒,ni'zuo'sa
碾子沟,nian'zi'gou
尿憋,niao'bie
尿片子,niao'pian'zi
鸟市,niao'shi
牛炒,niu'chao
牛氏辈,niu'shi'bei
农八师,nong'ba'shi
弄得呢,nong'de'ne
农二师,nong'er'shi
农机厂,nong'ji'chang
农九师,nong'jiu'shi
农六师,nong'liu'shi
农七师,nong'qi'shi
农三师,nong'san'shi
农十二师,nong'shi'er'shi
农四师,nong'si'shi
农五师,nong'wu'shi
农一师,nong'yi'shi
努尔,nu'er
努尔艾力,nu'er'ai'li
努尔比亚,nu'er'bi'ya
努尔古丽,nu'er'gu'li
努尔兰,nu'er'lan
努尔买买提,nu'er'mai'mai'ti
暖气包,nuan'qi'bao
暖气费,nuan'qi'fei
诺曼琦,nuo'man'qi
女鲁木齐,nv'lu'mu'qi
哦吼,o'hou
哦吼哎,o'hou'ai
哦呦,o'you
哦呦喂,o'you'wei
哦呦呦,o'you'you
呕吼,ou'hou
呕呦,ou'you
怕东西,pa'dong'xi
怕都没有,pa'dou'mei'you
帕尔哈提,pa'er'ha'ti
帕丽丹,pa'li'dan
帕米尔,pa'mi'er
怕气候,pa'qi'hou
怕情况,pa'qing'kuang
怕撒呢,pa'sa'ne
怕事情,pa'shi'qing
帕提古丽,pa'ti'gu'li
帕提曼,pa'ti'man
怕样子,pa'yang'zi
排队的呢,pai'dui'de'ne
胖老汉,pang'lao'han
跑的呢,pao'de'ne
跑黑车,pao'hei'che
劈叉了,pi'cha'le
皮带面,pi'dai'mian
屁的话,pi'de'hua
皮革厂,pi'ge'chang
皮辣红,pi'la'hong
皮帽子,pi'mao'zi
皮山,pi'shan
皮山县,pi'shan'xian
屁事情,pi'shi'qing
屁娃娃,pi'wa'wa
皮牙子,pi'ya'zi
屁样子,pi'yang'zi
谝传子,pian'chuan'zi
嫖风,piao'feng
漂亮的很,piao'liang'de'hen
平安建设,ping'an'jian'she
平川路,ping'chuan'lu
凭撒,ping'sa
普济堂,pu'ji'tang
葡萄沟,pu'tao'gou
七道湾,qi'dao'wan
七纺,qi'fang
七坊街,qi'fang'jie
七酱园,qi'jiang'yuan
七克台,qi'ke'tai
骑马山,qi'ma'shan
起起起,qi'qi'qi
七泉湖,qi'quan'hu
七十七万年,qi'shi'qi'wan'nian
其他妈的,qi'ta'ma'de
奇台,qi'tai
奇台的,qi'tai'de
奇台路,qi'tai'lu
奇台县,qi'tai'xian
七一酱园,qi'yi'jiang'yuan
七支队,qi'zhi'dui
卡子湾,qia'zi'wan
千百合,qian'bai'he
千佛洞,qian'fo'dong
前进街,qian'jin'jie
前面不是,qian'mian'bu'shi
前面手机,qian'mian'shou'ji
前面一直,qian'mian'yi'zhi
乾撒,qian'sa
千色,qian'se
钱塘江路,qian'tang'jiang'lu
仟叶,qian'ye
炝莲白,qiang'lian'bai
乔尔玛,qiao'er'ma
乔尔泰,qiao'er'tai
悄悄了,qiao'qiao'le
且末,qie'mo
且末县,qie'mo'xian
勤和居,qin'he'ju
秦郡,qin'jun
请不上,qing'bu'shang
请不上假,qing'bu'shang'jia
清餐,qing'can
清炖羊肉,qing'dun'yang'rou
青峰路,qing'feng'lu
青格达湖,qing'ge'da'hu
青海路,qing'hai'lu
青河,qing'he
请上假,qing'shang'jia
轻校,qing'xiao
清真的,qing'zhen'de
清真风味,qing'zhen'feng'wei
清真寺,qing'zhen'si
球把子,qiu'ba'zi
求的话,qiu'de'hua
求地方,qiu'di'fang
求么,qiu'me
求事情,qiu'shi'qing
求死的,qiu'si'de
求娃娃,qiu'wa'wa
求样子,qiu'yang'zi
求子,qiu'zi
求子的,qiu'zi'de
去不哈,qu'bu'ha
去昌吉,qu'chang'ji
去干撒,qu'gan'sa
区公司,qu'gong'si
去哈密,qu'ha'mi
去红山,qu'hong'shan
去华凌,qu'hua'ling
区间车,qu'jian'che
去喀什,qu'ka'shi
去克拉玛依,qu'ke'la'ma'yi
去库尔勒,qu'ku'er'le
去奎屯,qu'kui'tun
去慢摇吧,qu'man'yao'ba
去米泉,qu'mi'quan
去南疆,qu'nan'jiang
去南山,qu'nan'shan
去呢吧,qu'ne'ba
去呢吗,qu'ne'ma
去呢么,qu'ne'me
去呢那,qu'ne'na
去呢去呢,qu'ne'qu'ne
去内地,qu'nei'di
去你房子,qu'ni'fang'zi
去石河子,qu'shi'he'zi
去死撒,qu'si'sa
去天池,qu'tian'chi
去铁路局,qu'tie'lu'ju
去徒步,qu'tu'bu
去吐鲁番,qu'tu'lu'fan
去五家渠,qu'wu'jia'qu
去乌鲁木齐,qu'wu'lu'mu'qi
去乌市,qu'wu'shi
去小西门,qu'xiao'xi'men
去伊犁,qu'yi'li
去友好,qu'you'hao
劝不住,quan'bu'zhu
全疆,quan'jiang
劝一哈,quan'yi'ha
劝一下,quan'yi'xia
劝住,quan'zhu
劝住了,quan'zhu'le
群艺馆,qun'yi'guan
热比娅,re'bi'ya
热合曼,re'he'man
热力公司,re'li'gong'si
热米拉,re'mi'la
热西提,re'xi'ti
热依汗,re'yi'han
热依拉,re'yi'la
热依木,re'yi'mu
热孜万,re'zi'wan
热孜万古丽,re'zi'wan'gu'li
热孜亚,re'zi'ya
忍不哈,ren'bu'ha
忍不下,ren'bu'xia
人民电影,ren'min'dian'ying
人民剧场,ren'min'ju'chang
日吧,ri'ba
日精,ri'jing
日了吧,ri'le'ba
日你哥,ri'ni'ge
日你钩子,ri'ni'gou'zi
日你最,ri'ni'zui
日月星光,ri'yue'xing'guang
日子长,ri'zi'chang
荣和城,rong'he'cheng
肉蛋蛋,rou'dan'dan
肉孜节,rou'zi'jie
如意酒店,ru'yi'jiu'dian
瑞豪,rui'hao
若羌,ruo'qiang
撒办法,sa'ban'fa
撒表情,sa'biao'qing
撒的呢,sa'de'ne
撒电视,sa'dian'shi
撒电影,sa'dian'ying
撒东西,sa'dong'xi
撒都不会,sa'dou'bu'hui
撒都不知道,sa'dou'bu'zhi'dao
撒都没干,sa'dou'mei'gan
撒都没说,sa'dou'mei'shuo
撒都没有,sa'dou'mei'you
撒都是,sa'dou'shi
撒都行,sa'dou'xing
撒都有,sa'dou'you
撒反应,sa'fan'ying
撒感觉,sa'gan'jue
撒工作,sa'gong'zuo
撒关系,sa'guan'xi
撒好吃的,sa'hao'chi'de
撒活动,sa'huo'dong
撒机子,sa'ji'zi
撒名字,sa'ming'zi
撒牌子,sa'pai'zi
撒皮,sa'pi
撒情况,sa'qing'kuang
撒人么,sa'ren'me
撒日子,sa'ri'zi
撒撒撒,sa'sa'sa
撒色,sa'se
撒事儿,sa'shi'er
撒时候,sa'shi'hou
撒时候到,sa'shi'hou'dao
撒时候的,sa'shi'hou'de
撒时候回来,sa'shi'hou'hui'lai
撒时候来,sa'shi'hou'lai
撒时候了,sa'shi'hou'le
撒时候去,sa'shi'hou'qu
撒时候走,sa'shi'hou'zou
撒时间,sa'shi'jian
撒事情,sa'shi'qing
撒手机,sa'shou'ji
撒态度,sa'tai'du
撒玩意,sa'wan'yi
撒问题,sa'wen'ti
撒颜色,sa'yan'se
撒样的,sa'yang'de
撒样子,sa'yang'zi
撒样子的,sa'yang'zi'de
撒药,sa'yao
撒也,sa'ye
撒也没干,sa'ye'mei'gan
撒也没有,sa'ye'mei'you
撒衣服,sa'yi'fu
撒意思,sa'yi'si
撒意思么,sa'yi'si'me
撒游戏,sa'you'xi
撒原因,sa'yuan'yin
撒照片,sa'zhao'pian
撒专业,sa'zhuan'ye
撒作业,sa'zuo'ye
赛力克,sai'li'ke
赛里木,sai'li'mu
赛里木湖,sai'li'mu'hu
赛俩目,sai'lia'mu
赛马场,sai'ma'chang
赛买提,sai'mai'ti
塞外江南,sai'wai'jiang'nan
三道坝,san'dao'ba
三道岭,san'dao'ling
三公斤,san'gong'jin
三股势力,san'gu'shi'li
三坪,san'ping
三师,san'shi
三塘湖,san'tang'hu
三屯碑,san'tun'bei
三支队,san'zhi'dui
丧眼,sang'yan
丧眼的,sang'yan'de
桑子,sang'zi
骚啊,sao'a
骚爆了,sao'bao'le
骚的很,sao'de'hen
骚坏了,sao'huai'le
骚搅,sao'jiao
骚呢,sao'ne
骚骚骚,sao'sao'sao
骚完了,sao'wan'le
骚呀,sao'ya
瑟兰,se'lan
森口,sen'kou
森楼,sen'lou
森气,sen'qi
森气了,sen'qi'le
森日快乐,sen'ri'kuai'le
森死,sen'si
僧口,seng'kou
傻逼嘛,sha'bi'ma
莎车,sha'che
莎车县,sha'che'xian
沙葱,sha'cong
沙拉木,sha'la'mu
沙漠绿洲,sha'mo'lv'zhou
沙区,sha'qu
傻娃娃,sha'wa'wa
沙湾的,sha'wan'de
沙湾县,sha'wan'xian
沙雅,sha'ya
沙雅县,sha'ya'xian
傻样子,sha'yang'zi
沙依巴克,sha'yi'ba'ke
沙依巴克区,sha'yi'ba'ke'qu
沙枣,sha'zao
删掉去,shan'diao'qu
山料,shan'liao
鄯善,shan'shan
鄯善县,shan'shan'xian
山水华庭,shan'shui'hua'ting
陕西大厦,shan'xi'da'sha
山西巷,shan'xi'xiang
上班的呢,shang'ban'de'ne
上的呢,shang'de'ne
上课的呢,shang'ke'de'ne
商量茶,shang'liang'cha
商贸城,shang'mao'cheng
上南山,shang'nan'shan
上撒班,shang'sa'ban
上沙河,shang'sha'he
上网的呢,shang'wang'de'ne
勺比,shao'bi
勺的,shao'de
勺的呢,shao'de'ne
勺掉,shao'diao
勺掉了,shao'diao'le
烧碱厂,shao'jian'chang
勺料子,shao'liao'zi
少数名誉,shao'shu'ming'yu
勺娃娃,shao'wa'wa
勺样子,shao'yang'zi
勺纸,shao'zhi
勺子了,shao'zi'le
勺子吗,shao'zi'ma
勺子么,shao'zi'me
勺子一样,shao'zi'yi'yang
社区的,she'qu'de
社区了,she'qu'le
神华城,shen'hua'cheng
什么族,shen'me'zu
神木园,shen'mu'yuan
深圳城,shen'zhen'cheng
生产建设,sheng'chan'jian'she
生产建设兵团,sheng'chan'jian'she'bing'tuan
圣丹亚,sheng'dan'ya
生气得很,sheng'qi'de'hen
生气的呢,sheng'qi'de'ne
盛世嘉园,sheng'shi'jia'yuan
剩下人,sheng'xia'ren
圣雄,sheng'xiong
生药厂,sheng'yao'chang
师部,shi'bu
是不是撒,shi'bu'shi'sa
时代购物,shi'dai'gou'wu
十二师,shi'er'shi
是非得,shi'fei'dei
是非了,shi'fei'le
是个撒,shi'ge'sa
十公斤,shi'gong'jin
是汉族,shi'han'zu
石河子,shi'he'zi
石河子大学,shi'he'zi'da'xue
石河子的,shi'he'zi'de
石河子了,shi'he'zi'le
石河子呢,shi'he'zi'ne
石河子市,shi'he'zi'shi
石化的,shi'hua'de
是回族,shi'hui'zu
世纪百盛,shi'ji'bai'sheng
世纪金花,shi'ji'jin'hua
市建委,shi'jian'wei
拾棉花,shi'mian'hua
十七户,shi'qi'hu
石人沟,shi'ren'gou
是撒意思,shi'sa'yi'si
十三师,shi'san'shi
十三小,shi'san'xiao
十三中,shi'san'zhong
是维族,shi'wei'zu
是乌鲁木齐,shi'wu'lu'mu'qi
十五小,shi'wu'xiao
是新疆,shi'xin'jiang
石油大厦,shi'you'da'sha
石油基地,shi'you'ji'di
石油局,shi'you'ju
石油新村,shi'you'xin'cun
手擀粉,shou'gan'fen
收拾房子,shou'shi'fang'zi
收拾房子呢,shou'shi'fang'zi'ne
收拾你呢,shou'shi'ni'ne
兽医站,shou'yi'zhan
手抓肉,shou'zhua'rou
疏附县,shu'fu'xian
疏勒县,shu'le'xian
刷房子,shua'fang'zi
帅的很,shuai'de'hen
帅完了,shuai'wan'le
双银,shuang'yin
水泵厂,shui'beng'chang
水泵长,shui'beng'chang
睡得呢,shui'de'ne
税登,shui'deng
睡给,shui'gei
睡觉的呢,shui'jiao'de'ne
水磨沟,shui'mo'gou
水磨沟区,shui'mo'gou'qu
水墨后,shui'mo'hou
水清木华,shui'qing'mu'hua
谁求,shui'qiu
谁求知道,shui'qiu'zhi'dao
水区,shui'qu
水上乐园,shui'shang'le'yuan
水西沟,shui'xi'gou
说的呢,shuo'de'ne
说的怕,shuo'de'pa
说的撒,shuo'de'sa
说个撒,shuo'ge'sa
说话的呢,shuo'hua'de'ne
说你撒,shuo'ni'sa
说撒,shuo'sa
说撒的,shuo'sa'de
说撒的呢,shuo'sa'de'ne
说撒了,shuo'sa'le
说撒呢,shuo'sa'ne
说我的呢,shuo'wo'de'ne
