爱和谊,ai'he'yi
签单保费,qian'dan'bao'fei
签单日期,qian'dan'ri'qi
前档,qian'dang
前面板,qian'mian'ban
牵引钩,qian'yin'gou
牵引钩口盖,qian'yin'gou'kou'gai
强制保险,qiang'zhi'bao'xian
轻度,qing'du
确实保证保险,que'shi'bao'zheng'bao'xian
裙房,qun'fang
群众团体及社会团体,qun'zhong'tuan'ti'ji'she'hui'tuan'ti
人保,ren'bao
人保财险,ren'bao'cai'xian
人民政协和民主党派,ren'min'zheng'xie'he'min'zhu'dang'pai
人身保险,ren'shen'bao'xian
人身意外伤害保险,ren'shen'yi'wai'shang'hai'bao'xian
人寿保险,ren'shou'bao'xian
人寿保险精算师,ren'shou'bao'xian'jing'suan'shi
人寿保险责任准备金,ren'shou'bao'xian'ze'ren'zhun'bei'jin
人为因素风险评估,ren'wei'yin'su'feng'xian'ping'gu
日本财产,ri'ben'cai'chan
日本财产保险公司大连分公司,ri'ben'cai'chan'bao'xian'gong'si'da'lian'fen'gong'si
如实告知义务,ru'shi'gao'zhi'yi'wu
软件业,ruan'jian'ye
瑞福德健康保险股份有限公司,rui'fu'de'jian'kang'bao'xian'gu'fen'you'xian'gong'si
瑞士再保险公司,rui'shi'zai'bao'xian'gong'si
瑞泰人寿保险有限公司,rui'tai'ren'shou'bao'xian'you'xian'gong'si
三车追尾,san'che'zhui'wei
三井住友,san'jing'zhu'you
三井住友海上火灾保险公司,san'jing'zhu'you'hai'shang'huo'zai'bao'xian'gong'si
三星火灾,san'xing'huo'zai
三者险,san'zhe'xian
缮制,shan'zhi
上海安信,shang'hai'an'xin
上年同期,shang'nian'tong'qi
商务服务,shang'wu'fu'wu
商业楼宇,shang'ye'lou'yu
商业三责附加险,shang'ye'san'ze'fu'jia'xian
商业三责险,shang'ye'san'ze'xian
社会保障业,she'hui'bao'zhang'ye
社会福利业,she'hui'fu'li'ye
设立申请书,she'li'shen'qing'shu
射幸合同,she'xing'he'tong
摄影扩印服务,she'ying'kuo'yin'fu'wu
身份证,shen'fen'zheng
审计,shen'ji
生命表,sheng'ming'biao
生命人寿保险股份有限公司,sheng'ming'ren'shou'bao'xian'gu'fen'you'xian'gong'si
生死两全保险,sheng'si'liang'quan'bao'xian
市分公司,shi'fen'gong'si
市公司,shi'gong'si
使馆汽车号牌,shi'guan'qi'che'hao'pai
适航,shi'hang
石化,shi'hua
石化企业,shi'hua'qi'ye
实际赔付率,shi'ji'pei'fu'lv
实际全损,shi'ji'quan'sun
施救费用,shi'jiu'fei'yong
蚀刻,shi'ke
室内娱乐活动,shi'nei'yu'le'huo'dong
实收,shi'shou
实收保费,shi'shou'bao'fei
试验摩托车号牌,shi'yan'mo'tuo'che'hao'pai
试验汽车号牌,shi'yan'qi'che'hao'pai
使用性质,shi'yong'xing'zhi
石油产品,shi'you'chan'pin
石油化工产品,shi'you'hua'gong'chan'pin
石油化学工业,shi'you'hua'xue'gong'ye
首创安泰人寿保险有限公司,shou'chuang'an'tai'ren'shou'bao'xian'you'xian'gong'si
受损保险标的,shou'sun'bao'xian'biao'di
手续费率,shou'xu'fei'lv
手续费台帐,shou'xu'fei'tai'zhang
受益权,shou'yi'quan
受益人,shou'yi'ren
数据丢失,shu'ju'diu'shi
双重价值条款,shuang'chong'jia'zhi'tiao'kuan
双方事故,shuang'fang'shi'gu
双环忆海,shuang'huan'yi'hai
双务合同,shuang'wu'he'tong
水利管理业,shui'li'guan'li'ye
水利环境和公司管理业,shui'li'huan'jing'he'gong'si'guan'li'ye
水幕系统,shui'mu'xi'tong
水上施工,shui'shang'shi'gong
水污染治理,shui'wu'ran'zhi'li
水险,shui'xian
水箱,shui'xiang
水箱框架,shui'xiang'kuang'jia
水渍险,shui'zi'xian
顺岸式,shun'an'shi
私车,si'che
四车追尾,si'che'zhui'wei
死亡或者伤残,si'wang'huo'zhe'shang'can
死亡伤残赔偿限额,si'wang'shang'can'pei'chang'xian'e
苏黎世,su'li'shi
损失率,sun'shi'lv
索赔,suo'pei
索赔申请书,suo'pei'shen'qing'shu
泰安,tai'an
太保,tai'bao
泰康人寿保险股份有限公司,tai'kang'ren'shou'bao'xian'gu'fen'you'xian'gong'si
太平保险,tai'ping'bao'xian
太平保险股份有限公司,tai'ping'bao'xian'gu'fen'you'xian'gong'si
太平保险有限公司,tai'ping'bao'xian'you'xian'gong'si
太平人寿保险有限公司,tai'ping'ren'shou'bao'xian'you'xian'gong'si
太平洋安泰,tai'ping'yang'an'tai
太平洋安泰人寿保险有限公司,tai'ping'yang'an'tai'ren'shou'bao'xian'you'xian'gong'si
太平洋财产,tai'ping'yang'cai'chan
太平洋财产保险公司,tai'ping'yang'cai'chan'bao'xian'gong'si
太平洋财险,tai'ping'yang'cai'xian
太平养老保险股份有限公司,tai'ping'yang'lao'bao'xian'gu'fen'you'xian'gong'si
太平洋寿险,tai'ping'yang'shou'xian
特别费用,te'bie'fei'yong
特别约定,te'bie'yue'ding
特殊风险保险,te'shu'feng'xian'bao'xian
特殊批改,te'shu'pi'gai
特种车,te'zhong'che
提供发票,ti'gong'fa'piao
提供交通事故责任认定书,ti'gong'jiao'tong'shi'gu'ze'ren'ren'ding'shu
体育场馆,ti'yu'chang'guan
体育组织,ti'yu'zu'zhi
天安,tian'an
天安保险,tian'an'bao'xian
天安保险股份有限公司,tian'an'bao'xian'gu'fen'you'xian'gong'si
天保人寿,tian'bao'ren'shou
天鸿,tian'hong
天平车险,tian'ping'che'xian
天平汽车保险股份有限公司,tian'ping'qi'che'bao'xian'gu'fen'you'xian'gong'si
停产,ting'chan
停电,ting'dian
停放被砸,ting'fang'bei'za
停放被撞,ting'fang'bei'zhuang
停气,ting'qi
停驶,ting'shi
停水,ting'shui
停业,ting'ye
同比增幅,tong'bi'zeng'fu
同等责任,tong'deng'ze'ren
统计快报,tong'ji'kuai'bao
统计日期,tong'ji'ri'qi
通讯或者网络中断,tong'xun'huo'zhe'wang'luo'zhong'duan
投保程序,tou'bao'cheng'xu
投保单,tou'bao'dan
投保流程,tou'bao'liu'cheng
投保人,tou'bao'ren
突堤式,tu'di'shi
途耗,tu'hao
图书馆和信息中心,tu'shu'guan'he'xin'xi'zhong'xin
团车,tuan'che
团体人身保险,tuan'ti'ren'shen'bao'xian
团体人身意外伤害保险,tuan'ti'ren'shen'yi'wai'shang'hai'bao'xian
团体险,tuan'ti'xian
团意险,tuan'yi'xian
退保,tui'bao
推定全损,tui'ding'quan'sun
退休年金保险,tui'xiu'nian'jin'bao'xian
托儿所养老院保健服务,tuo'er'suo'yang'lao'yuan'bao'jian'fu'wu
拖拉机,tuo'la'ji
拖拉机号牌,tuo'la'ji'hao'pai
外地代查勘,wai'di'dai'cha'kan
外国保险公司,wai'guo'bao'xian'gong'si
外籍汽车号牌,wai'ji'qi'che'hao'pai
外资独资保险公司,wai'zi'du'zi'bao'xian'gong'si
万帮,wan'bang
未到期责任准备金,wei'dao'qi'ze'ren'zhun'bei'jin
委付,wei'fu
未决笔数,wei'jue'bi'shu
未决金额,wei'jue'jin'e
未决赔款,wei'jue'pei'kuan
未决赔款准备金,wei'jue'pei'kuan'zhun'bei'jin
卫生社会保障和福利,wei'sheng'she'hui'bao'zhang'he'fu'li
危险,wei'xian
危险单位,wei'xian'dan'wei
危险管理,wei'xian'guan'li
危险事故,wei'xian'shi'gu
危险因素,wei'xian'yin'su
卫星传输服务,wei'xing'chuan'shu'fu'wu
违约责任,wei'yue'ze'ren
文化体育和娱乐业,wen'hua'ti'yu'he'yu'le'ye
文物与文化保护,wen'wu'yu'wen'hua'bao'hu
文艺创作与表演,wen'yi'chuang'zuo'yu'biao'yan
五车追尾,wu'che'zhui'wei
武警号牌,wu'jing'hao'pai
物理气相沉积,wu'li'qi'xiang'chen'ji
无民事行为能力,wu'min'shi'xing'wei'neng'li
无赔退费,wu'pei'tui'fei
无赔优待,wu'pei'you'dai
无人伤,wu'ren'shang
无效果无报酬,wu'xiao'guo'wu'bao'chou
无责,wu'ze
无责代赔,wu'ze'dai'pei
无责任财产损失赔偿限额,wu'ze'ren'cai'chan'sun'shi'pei'chang'xian'e
无责任死亡伤残赔偿限额,wu'ze'ren'si'wang'shang'can'pei'chang'xian'e
无责任医疗费用赔偿限额,wu'ze'ren'yi'liao'fei'yong'pei'chang'xian'e
系缆力,xi'lan'li
洗染服务,xi'ran'fu'wu
洗浴服务,xi'yu'fu'wu
现代财产,xian'dai'cai'chan
现代财产保险有限公司,xian'dai'cai'chan'bao'xian'you'xian'gong'si
现代财险,xian'dai'cai'xian
限额赔偿方式,xian'e'pei'chang'fang'shi
现金价值,xian'jin'jia'zhi
现金赔款,xian'jin'pei'kuan
险种类别,xian'zhong'lei'bie
险种名称,xian'zhong'ming'cheng
香港民安保险有限公司,xiang'gang'min'an'bao'xian'you'xian'gong'si
相互给付,xiang'hu'gei'fu
消防水泵,xiao'fang'shui'beng
消防水源,xiao'fang'shui'yuan
小型汽车号牌,xiao'xing'qi'che'hao'pai
校园方责任险,xiao'yuan'fang'ze'ren'xian
协商处理,xie'shang'chu'li
协众,xie'zhong
信诚人寿,xin'cheng'ren'shou
信诚人寿保险有限公司,xin'cheng'ren'shou'bao'xian'you'xian'gong'si
新光人寿,xin'guang'ren'shou
新华人寿保险股份有限公司,xin'hua'ren'shou'bao'xian'gu'fen'you'xian'gong'si
信诺人寿,xin'nuo'ren'shou
芯片测试,xin'pian'ce'shi
芯片封装,xin'pian'feng'zhuang
芯片加工,xin'pian'jia'gong
芯片清洁,xin'pian'qing'jie
新闻出版业,xin'wen'chu'ban'ye
信息传输计算机服务和软件业,xin'xi'chuan'shu'ji'suan'ji'fu'wu'he'ruan'jian'ye
信用保险,xin'yong'bao'xian
信用人寿保险,xin'yong'ren'shou'bao'xian
行车证,xing'che'zheng
幸福人寿,xing'fu'ren'shou
幸福人寿保险股份有限公司,xing'fu'ren'shou'bao'xian'gu'fen'you'xian'gong'si
星级旅馆,xing'ji'lv'guan
行驶证,xing'shi'zheng
修复,xiu'fu
休闲健身活动,xiu'xian'jian'shen'huo'dong
学前初等中等教育,xue'qian'chu'deng'zhong'deng'jiao'yu
研究与试验发展,yan'jiu'yu'shi'yan'fa'zhan
阳光财产保险股份有限公司,yang'guang'cai'chan'bao'xian'gu'fen'you'xian'gong'si
阳光财险,yang'guang'cai'xian
阳光农险,yang'guang'nong'xian
阳光农业相互保险公司,yang'guang'nong'ye'xiang'hu'bao'xian'gong'si
养老金保险,yang'lao'jin'bao'xian
养殖业保险,yang'zhi'ye'bao'xian
液晶显示器,ye'jing'xian'shi'qi
业务报表,ye'wu'bao'biao
业务结清,ye'wu'jie'qing
业务员,ye'wu'yuan
一般旅馆,yi'ban'lv'guan
一般批改,yi'ban'pi'gai
一次定损概不追加,yi'ci'ding'sun'gai'bu'zhui'jia
一次灾害,yi'ci'zai'hai
溢额再保险,yi'e'zai'bao'xian
已决案均赔款,yi'jue'an'jun'pei'kuan
已决笔数,yi'jue'bi'shu
已决金额,yi'jue'jin'e
已决赔款,yi'jue'pei'kuan
医疗费用赔偿限额,yi'liao'fei'yong'pei'chang'xian'e
医疗责任保险,yi'liao'ze'ren'bao'xian
已满期保费,yi'man'qi'bao'fei
一切险,yi'qie'xian
艺术表演场馆,yi'shu'biao'yan'chang'guan
意外伤害保险,yi'wai'shang'hai'bao'xian
意外险,yi'wai'xian
医院卫生院,yi'yuan'wei'sheng'yuan
银行业,yin'hang'ye
饮料及冷饮服务,yin'liao'ji'leng'yin'fu'wu
英大泰和人寿保险股份有限公司,ying'da'tai'he'ren'shou'bao'xian'gu'fen'you'xian'gong'si
应收,ying'shou
应收保费,ying'shou'bao'fei
营销服务部,ying'xiao'fu'wu'bu
营业部,ying'ye'bu
营业费用率,ying'ye'fei'yong'lv
营业货车,ying'ye'huo'che
营业机动车险版,ying'ye'ji'dong'che'xian'ban
营业客车,ying'ye'ke'che
营业统计报表,ying'ye'tong'ji'bao'biao
营运期,ying'yun'qi
永安保险,yong'an'bao'xian
永安财产,yong'an'cai'chan
永安财产保险股份有限公司,yong'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
永诚,yong'cheng
永诚财产保险股份有限公司,yong'cheng'cai'chan'bao'xian'gu'fen'you'xian'gong'si
友邦保险,you'bang'bao'xian
右防擦板,you'fang'ca'ban
有否死亡,you'fou'si'wang
右后轮眉,you'hou'lun'mei
右后轮眉外罩,you'hou'lun'mei'wai'zhao
右后下槛,you'hou'xia'kan
有机化工原料,you'ji'hua'gong'yuan'liao
右拉门,you'la'men
游乐园,you'le'yuan
右内尾灯,you'nei'wei'deng
右前保,you'qian'bao
右前轮眉,you'qian'lun'mei
右前轮眉外罩,you'qian'lun'mei'wai'zhao
右前下槛,you'qian'xia'kan
右前照灯,you'qian'zhao'deng
右前转向灯,you'qian'zhuan'xiang'deng
右踏杠,you'ta'gang
右外尾灯,you'wai'wei'deng
有限责任公司,you'xian'ze'ren'gong'si
右叶子板灯,you'ye'zi'ban'deng
有责,you'ze
邮政业,you'zheng'ye
雨感,yu'gan
预约分保,yu'yue'fen'bao
预约再保险,yu'yue'zai'bao'xian
原料芯片,yuan'liao'xin'pian
运费保险,yun'fei'bao'xian
运输服务业,yun'shu'fu'wu'ye
运输险,yun'shu'xian
再保险,zai'bao'xian
再保险保障,zai'bao'xian'bao'zhang
再保险集团,zai'bao'xian'ji'tuan
再保险业务管理规定,zai'bao'xian'ye'wu'guan'li'gui'ding
暂保单,zan'bao'dan
责任保险,ze'ren'bao'xian
责任免除,ze'ren'mian'chu
责任险,ze'ren'xian
责任限额,ze'ren'xian'e
责任准备金,ze'ren'zhun'bei'jin
增值条款,zeng'zhi'tiao'kuan
栈桥式,zhan'qiao'shi
展业费,zhan'ye'fei
招商信诺人寿保险有限公司,zhao'shang'xin'nuo'ren'shou'bao'xian'you'xian'gong'si
折扣系数,zhe'kou'xi'shu
折前保费,zhe'qian'bao'fei
正餐服务,zheng'can'fu'wu
正德人寿保险股份有限公司,zheng'de'ren'shou'bao'xian'gu'fen'you'xian'gong'si
证券业,zheng'quan'ye
争议处理,zheng'yi'chu'li
政治风险保险,zheng'zhi'feng'xian'bao'xian
致诚,zhi'cheng
支公司,zhi'gong'si
支架,zhi'jia
直接业务,zhi'jie'ye'wu
知识产权服务,zhi'shi'chan'quan'fu'wu
质押,zhi'ya
职业责任保险,zhi'ye'ze'ren'bao'xian
职业责任险,zhi'ye'ze'ren'xian
职业中介服务,zhi'ye'zhong'jie'fu'wu
中安财险,zhong'an'cai'xian
中保康联人寿保险有限公司,zhong'bao'kang'lian'ren'shou'bao'xian'you'xian'gong'si
终保时间,zhong'bao'shi'jian
中标项目,zhong'biao'xiang'mu
钟表珠宝维修,zhong'biao'zhu'bao'wei'xiu
忠诚保证保险,zhong'cheng'bao'zheng'bao'xian
中德安联人寿,zhong'de'an'lian'ren'shou
中德安联人寿保险有限公司,zhong'de'an'lian'ren'shou'bao'xian'you'xian'gong'si
重度,zhong'du
中度,zhong'du
中国保监会,zhong'guo'bao'jian'hui
中国保险行业协会,zhong'guo'bao'xian'hang'ye'xie'hui
中国保险监督管理委员会,zhong'guo'bao'xian'jian'du'guan'li'wei'yuan'hui
中国保险监督管理委员会现行有效规章,zhong'guo'bao'xian'jian'du'guan'li'wei'yuan'hui'xian'xing'you'xiao'gui'zhang
中国保险控股有限公司,zhong'guo'bao'xian'kong'gu'you'xian'gong'si
中国保险学会,zhong'guo'bao'xian'xue'hui
中国财产再保险股份有限公司,zhong'guo'cai'chan'zai'bao'xian'gu'fen'you'xian'gong'si
中国出口信用保险公司,zhong'guo'chu'kou'xin'yong'bao'xian'gong'si
中国大地财产保险股份有限公司,zhong'guo'da'di'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国共产党机关,zhong'guo'gong'chan'dang'ji'guan
中国平安,zhong'guo'ping'an
中国平安保险集团股份有限公司,zhong'guo'ping'an'bao'xian'ji'tuan'gu'fen'you'xian'gong'si
中国平安财产保险股份有限公司,zhong'guo'ping'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国平安人寿保险股份有限公司,zhong'guo'ping'an'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人保,zhong'guo'ren'bao
中国人保控股公司,zhong'guo'ren'bao'kong'gu'gong'si
中国人保资产管理有限公司,zhong'guo'ren'bao'zi'chan'guan'li'you'xian'gong'si
中国人民保险公司,zhong'guo'ren'min'bao'xian'gong'si
中国人民财产保险股份有限公司,zhong'guo'ren'min'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国人民健康保险股份有限公司,zhong'guo'ren'min'jian'kang'bao'xian'gu'fen'you'xian'gong'si
中国人民人寿保险股份有限公司,zhong'guo'ren'min'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人寿,zhong'guo'ren'shou
中国人寿保险股份有限公司,zhong'guo'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人寿保险集团公司,zhong'guo'ren'shou'bao'xian'ji'tuan'gong'si
中国人寿财产保险公司,zhong'guo'ren'shou'cai'chan'bao'xian'gong'si
中国人寿财产保险股份有限公司,zhong'guo'ren'shou'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国人寿养老保险股份有限公司,zhong'guo'ren'shou'yang'lao'bao'xian'gu'fen'you'xian'gong'si
中国人寿再保险股份有限公司,zhong'guo'ren'shou'zai'bao'xian'gu'fen'you'xian'gong'si
中国人寿资产管理公司,zhong'guo'ren'shou'zi'chan'guan'li'gong'si
中国太平洋,zhong'guo'tai'ping'yang
中国太平洋保险集团有限公司,zhong'guo'tai'ping'yang'bao'xian'ji'tuan'you'xian'gong'si
中国太平洋财产保险股份有限公司,zhong'guo'tai'ping'yang'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国太平洋人寿保险股份有限公司,zhong'guo'tai'ping'yang'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国再保险,zhong'guo'zai'bao'xian
中国再保险集团公司,zhong'guo'zai'bao'xian'ji'tuan'gong'si
中航三星人寿保险有限公司,zhong'hang'san'xing'ren'shou'bao'xian'you'xian'gong'si
中宏人寿保险有限公司,zhong'hong'ren'shou'bao'xian'you'xian'gong'si
中华联合,zhong'hua'lian'he
中华联合保险,zhong'hua'lian'he'bao'xian
中华联合财产保险公司,zhong'hua'lian'he'cai'chan'bao'xian'gong'si
中华人民共和国保险法,zhong'hua'ren'min'gong'he'guo'bao'xian'fa
中华人民共和国道路交通安全法,zhong'hua'ren'min'gong'he'guo'dao'lu'jiao'tong'an'quan'fa
中金财险,zhong'jin'cai'xian
中美大都会保险,zhong'mei'da'du'hui'bao'xian
中美大都会人寿保险有限公司,zhong'mei'da'du'hui'ren'shou'bao'xian'you'xian'gong'si
终身寿险,zhong'shen'shou'xian
中外合资保险公司,zhong'wai'he'zi'bao'xian'gong'si
中小学团体平安保险,zhong'xiao'xue'tuan'ti'ping'an'bao'xian
中心支公司,zhong'xin'zhi'gong'si
中意保险,zhong'yi'bao'xian
中意财产,zhong'yi'cai'chan
中意财产保险有限公司,zhong'yi'cai'chan'bao'xian'you'xian'gong'si
中意人寿保险有限公司,zhong'yi'ren'shou'bao'xian'you'xian'gong'si
中银保险,zhong'yin'bao'xian
中银保险有限公司,zhong'yin'bao'xian'you'xian'gong'si
中英保险,zhong'ying'bao'xian
中英人寿保险有限公司,zhong'ying'ren'shou'bao'xian'you'xian'gong'si
中再资产管理股份有限公司,zhong'zai'zi'chan'guan'li'gu'fen'you'xian'gong'si
种植业保险,zhong'zhi'ye'bao'xian
注册会计师责任险,zhu'ce'kuai'ji'shi'ze'ren'xian
主车全责,zhu'che'quan'ze
住宿和餐饮服务业,zhu'su'he'can'yin'fu'wu'ye
住宿和餐饮业,zhu'su'he'can'yin'ye
住宿业,zhu'su'ye
转分保,zhuan'fen'bao
转让,zhuan'rang
专业代理,zhuan'ye'dai'li
专业代理业务,zhuan'ye'dai'li'ye'wu
专业技术服务,zhuan'ye'ji'shu'fu'wu
装潢家具维修,zhuang'huang'jia'ju'wei'xiu
撞击力,zhuang'ji'li
追偿,zhui'chang
追尾,zhui'wei
资本金,zi'ben'jin
资本密集,zi'ben'mi'ji
自动垫交保险费贷款,zi'dong'dian'jiao'bao'xian'fei'dai'kuan
自动水喷淋系统,zi'dong'shui'pen'lin'xi'tong
自留比例,zi'liu'bi'li
自留额,zi'liu'e
自留风险,zi'liu'feng'xian
姊妹船条款,zi'mei'chuan'tiao'kuan
子女教育保险,zi'nv'jiao'yu'bao'xian
自然保护,zi'ran'bao'hu
自然纯保费,zi'ran'chun'bao'fei
自杀条款,zi'sha'tiao'kuan
咨询与调查,zi'xun'yu'diao'cha
自愿保险,zi'yuan'bao'xian
总保费,zong'bao'fei
总成,zong'cheng
综合费用率,zong'he'fei'yong'lv
综合赔付率,zong'he'pei'fu'lv
宗教组织,zong'jiao'zu'zhi
租赁商务服务业,zu'lin'shang'wu'fu'wu'ye
租赁业,zu'lin'ye
组织机构代码证,zu'zhi'ji'gou'dai'ma'zheng
最大诚信,zui'da'cheng'xin
最大诚信原则,zui'da'cheng'xin'yuan'ze
左防擦板,zuo'fang'ca'ban
左后轮眉,zuo'hou'lun'mei
左后轮眉外罩,zuo'hou'lun'mei'wai'zhao
左后下槛,zuo'hou'xia'kan
左拉门,zuo'la'men
左内尾灯,zuo'nei'wei'deng
左前保,zuo'qian'bao
左前轮眉,zuo'qian'lun'mei
左前轮眉外罩,zuo'qian'lun'mei'wai'zhao
左前下槛,zuo'qian'xia'kan
左前照灯,zuo'qian'zhao'deng
左前转向灯,zuo'qian'zhuan'xiang'deng
左踏杠,zuo'ta'gang
左外尾灯,zuo'wai'wei'deng
左叶子板灯,zuo'ye'zi'ban'deng
