埃殆为病,ai'dai'wei'bing
夫名利之大者,fu'ming'li'zhi'da'zhe
复命摇作而以天为师,fu'ming'yao'zuo'er'yi'tian'wei'shi
夫明之不胜神也久矣,fu'ming'zhi'bu'sheng'shen'ye'jiu'yi
副墨之子,fu'mo'zhi'zi
父母岂欲吾贫哉,fu'mu'qi'yu'wu'pin'zai
父母于子,fu'mu'yu'zi
夫南行者至于郢,fu'nan'xing'zhe'zhi'yu'ying
夫内诚不解,fu'nei'cheng'bu'jie
夫千金之珠,fu'qian'jin'zhi'zhu
夫千里之远,fu'qian'li'zhi'yuan
夫巧知神圣之人,fu'qiao'zhi'shen'sheng'zhi'ren
夫且不止,fu'qie'bu'zhi
夫且梨橘柚果瓜之属,fu'qie'li'ju'you'guo'gua'zhi'shu
福轻乎羽,fu'qing'hu'yu
负青天,fu'qing'tian
夫丘不与化为人,fu'qiu'bu'yu'hua'wei'ren
夫全其形生之人,fu'quan'qi'xing'sheng'zhi'ren
覆却万方陈乎前而不得入其舍,fu'que'wan'fang'chen'hu'qian'er'bu'de'ru'qi'she
妇人见之,fu'ren'jian'zhi
夫人以已为有以异于人,fu'ren'yi'yi'wei'you'yi'yi'yu'ren
夫仁义瓒然,fu'ren'yi'zan'ran
夫仁义之行,fu'ren'yi'zhi'xing
夫人之难说也,fu'ren'zhi'nan'shuo'ye
夫若然者,fu'ruo'ran'zhe
夫若是者,fu'ruo'shi'zhe
夫三旌之位,fu'san'jing'zhi'wei
夫三王五帝之治天下不同,fu'san'wang'wu'di'zhi'zhi'tian'xia'bu'tong
夫三子者,fu'san'zi'zhe
夫杀人之士民,fu'sha'ren'zhi'shi'min
夫上悖日月知明,fu'shang'bei'ri'yue'zhi'ming
夫神者,fu'shen'zhe
夫神者不自许也,fu'shen'zhe'bu'zi'xu'ye
夫圣人鹑居而彀食,fu'sheng'ren'chun'ju'er'gou'shi
夫圣人未始有天,fu'sheng'ren'wei'shi'you'tian
夫圣人之知也治外乎,fu'sheng'ren'zhi'zhi'ye'zhi'wai'hu
夫生者岂特随侯之重哉,fu'sheng'zhe'qi'te'sui'hou'zhi'zhong'zai
夫事其君者,fu'shi'qi'jun'zhe
夫适人之适,fu'shi'ren'zhi'shi
伏尸数万,fu'shi'shu'wan
夫师天而不得师天,fu'shi'tian'er'bu'de'shi'tian
负石自投于河,fu'shi'zi'tou'yu'he
夫受才乎大本,fu'shou'cai'hu'da'ben
夫孰能不波,fu'shu'neng'bu'bo
夫孰足以患心,fu'shu'zu'yi'huan'xin
夫水行不避蛟龙者,fu'shui'xing'bu'bi'jiao'long'zhe
夫水行莫如用舟,fu'shui'xing'mo'ru'yong'zhou
赴水则接腋持颐,fu'shui'ze'jie'ye'chi'yi
夫水之于勺也,fu'shui'zhi'yu'shao'ye
傅说得之,fu'shuo'de'zhi
夫随其成心而师之,fu'sui'qi'cheng'xin'er'shi'zhi
夫逃虚空者,fu'tao'xu'kong'zhe
夫体道者,fu'ti'dao'zhe
夫恬淡寂漠,fu'tian'dan'ji'mo
夫天地者,fu'tian'di'zhe
夫天地至神,fu'tian'di'zhi'shen
夫天机之所动,fu'tian'ji'zhi'suo'dong
夫天无不覆,fu'tian'wu'bu'fu
夫天下也者,fu'tian'xia'ye'zhe
夫天下之所尊者,fu'tian'xia'zhi'suo'zun'zhe
夫天下至重者也,fu'tian'xia'zhi'zhong'zhe'ye
复通为一,fu'tong'wei'yi
夫外攉者不可繁而捉,fu'wai'huo'zhe'bu'ke'fan'er'zhuo
夫王德之人,fu'wang'de'zhi'ren
复往邀之,fu'wang'yao'zhi
夫妄意室中之藏,fu'wang'yi'shi'zhong'zhi'cang
夫为大不足以为大,fu'wei'da'bu'zu'yi'wei'da
夫为剑者,fu'wei'jian'zhe
夫为人父者,fu'wei'ren'fu'zhe
夫为天下亦若此而已,fu'wei'tian'xia'yi'ruo'ci'er'yi
夫为天下者,fu'wei'tian'xia'zhe
夫畏涂者,fu'wei'tu'zhe
夫唯外乎贤者知之矣,fu'wei'wai'hu'xian'zhe'zhi'zhi'yi
夫魏真为我累耳,fu'wei'zhen'wei'wo'lei'er
夫文王尽之也,fu'wen'wang'jin'zhi'ye
复闻之怠,fu'wen'zhi'dai
夫物,fu'wu
夫务免乎人之所不免者,fu'wu'mian'hu'ren'zhi'suo'bu'mian'zhe
夫无所县者,fu'wu'suo'xian'zhe
夫无趾,fu'wu'zhi
夫无知之物,fu'wu'zhi'zhi'wu
夫无庄之失其美,fu'wu'zhuang'zhi'shi'qi'mei
伏戏黄帝不得友,fu'xi'huang'di'bu'de'you
伏羲几遽之所行终,fu'xi'ji'ju'zhi'suo'xing'zhong
伏羲氏,fu'xi'shi
伏羲氏得之,fu'xi'shi'de'zhi
夫希世而行,fu'xi'shi'er'xing
夫奚足以至乎先,fu'xi'zu'yi'zhi'hu'xian
夫先而妇从,fu'xian'er'fu'cong
父先而子从,fu'xian'er'zi'cong
夫相收之与相弃亦远矣,fu'xiang'shou'zhi'yu'xiang'qi'yi'yuan'yi
夫小惑易方,fu'xiao'huo'yi'fang
夫孝悌仁义,fu'xiao'ti'ren'yi
父邪母邪,fu'xie'mu'xie
夫形全精复,fu'xing'quan'jing'fu
夫形色名声,fu'xing'se'ming'sheng
夫虚静恬淡寂漠无为者,fu'xu'jing'tian'dan'ji'mo'wu'wei'zhe
夫寻常之沟,fu'xun'chang'zhi'gou
夫徇耳目内通,fu'xun'er'mu'nei'tong
夫言非吹也,fu'yan'fei'chui'ye
夫言者风波也,fu'yan'zhe'feng'bo'ye
夫尧畜畜然仁,fu'yao'chu'chu'ran'ren
夫尧既以黥汝以仁义,fu'yao'ji'yi'qing'ru'yi'ren'yi
夫尧知贤人之利天下也,fu'yao'zhi'xian'ren'zhi'li'tian'xia'ye
福亦不来,fu'yi'bu'lai
夫以出于众为心者,fu'yi'chu'yu'zhong'wei'xin'zhe
夫夷节已不能,fu'yi'jie'yi'bu'neng
夫夷节之为人也,fu'yi'jie'zhi'wei'ren'ye
夫以利合者,fu'yi'li'he'zhe
夫以鸟养养鸟者,fu'yi'niao'yang'yang'niao'zhe
夫以阳为充,fu'yi'yang'wei'chong
夫已有所简矣,fu'yi'you'suo'jian'yi
服膺而不舍,fu'ying'er'bu'she
浮游不知所求,fu'you'bu'zhi'suo'qiu
夫有干越之剑者,fu'you'gan'yue'zhi'jian'zhe
腹犹果然,fu'you'guo'ran
浮游乎万物之祖,fu'you'hu'wan'wu'zhi'zu
富有天下,fu'you'tian'xia
夫有土者,fu'you'tu'zhe
复于不惑,fu'yu'bu'huo
夫遇长不敬,fu'yu'chang'bu'jing
夫欲恶避就,fu'yu'e'bi'jiu
鲋鱼忿然作色曰,fu'yu'fen'ran'zuo'se'yue
夫与国君同食,fu'yu'guo'jun'tong'shi
鲋鱼来,fu'yu'lai
夫欲免为形者,fu'yu'mian'wei'xing'zhe
伏于岩穴,fu'yu'yan'xue
夫鸳雏发于南海而飞于北海,fu'yuan'chu'fa'yu'nan'hai'er'fei'yu'bei'hai
斧钺之威弗能禁,fu'yue'zhi'wei'fu'neng'jin
覆载天地雕刻众形而不为巧,fu'zai'tian'di'diao'ke'zhong'xing'er'bu'wei'qiao
覆载天地刻雕众形而不为巧,fu'zai'tian'di'ke'diao'zhong'xing'er'bu'wei'qiao
覆载万物者也,fu'zai'wan'wu'zhe'ye
夫造化者必以为不祥之人,fu'zao'hua'zhe'bi'yi'wei'bu'xiang'zhi'ren
夫造物者将以予为此拘拘也,fu'zao'wu'zhe'jiang'yi'yu'wei'ci'ju'ju'ye
夫造物者又将以予为此拘拘也,fu'zao'wu'zhe'you'jiang'yi'yu'wei'ci'ju'ju'ye
夫造物者之报人也,fu'zao'wu'zhe'zhi'bao'ren'ye
父则不祥,fu'ze'bu'xiang
富则多事,fu'ze'duo'shi
夫昭昭生于冥冥,fu'zhao'zhao'sheng'yu'ming'ming
夫至德之世,fu'zhi'de'zhi'shi
浮之江湖,fu'zhi'jiang'hu
夫至乐者,fu'zhi'le'zhe
夫支离其形者,fu'zhi'li'qi'xing'zhe
夫埴木之性,fu'zhi'mu'zhi'xing
弗知乃知乎,fu'zhi'nai'zhi'hu
弗知内矣,fu'zhi'nei'yi
夫至仁尚矣,fu'zhi'ren'shang'yi
夫至人有世,fu'zhi'ren'you'shi
夫至人者,fu'zhi'ren'zhe
夫知亦有之,fu'zhi'yi'you'zhi
夫知有所待而后当,fu'zhi'you'suo'dai'er'hou'dang
夫知遇而不知所不遇,fu'zhi'yu'er'bu'zhi'suo'bu'yu
夫知者不言,fu'zhi'zhe'bu'yan
覆坠而不反,fu'zhui'er'bu'fan
附赘悬疣,fu'zhui'xuan'you
夫子,fu'zi
夫子奔逸绝尘,fu'zi'ben'yi'jue'chen
夫子辩,fu'zi'bian
夫子步,fu'zi'bu
夫子不言而信,fu'zi'bu'yan'er'xin
夫子不欲乎,fu'zi'bu'yu'hu
夫子驰,fu'zi'chi
夫子出于山,fu'zi'chu'yu'shan
夫子德配天地,fu'zi'de'pei'tian'di
夫子弗受,fu'zi'fu'shou
夫子固拙于用大矣,fu'zi'gu'zhuo'yu'yong'da'yi
夫子何不谭我于王,fu'zi'he'bu'tan'wo'yu'wang
夫子何故见之变容失色,fu'zi'he'gu'jian'zhi'bian'rong'shi'se
夫子何为顷间甚不庭乎,fu'zi'he'wei'qing'jian'shen'bu'ting'hu
夫子盍行邪,fu'zi'he'xing'xie
夫子胡不入乎,fu'zi'hu'bu'ru'hu
夫子见老聃,fu'zi'jian'lao'dan
夫子立而天下治,fu'zi'li'er'tian'xia'zhi
夫子乱人之性也,fu'zi'luan'ren'zhi'xing'ye
夫子其行可矣,fu'zi'qi'xing'ke'yi
夫子趋,fu'zi'qu
夫子若欲使天下无失其牧乎,fu'zi'ruo'yu'shi'tian'xia'wu'shi'qi'mu'hu
夫子时也,fu'zi'shi'ye
夫子顺也,fu'zi'shun'ye
夫子所御杖,fu'zi'suo'yu'zhang
夫子贪生失理而为此乎,fu'zi'tan'sheng'shi'li'er'wei'ci'hu
夫子问于老聃曰,fu'zi'wen'yu'lao'dan'yue
夫子无所发予之狂言而死矣夫,fu'zi'wu'suo'fa'yu'zhi'kuang'yan'er'si'yi'fu
夫子无意横目之民乎,fu'zi'wu'yi'heng'mu'zhi'min'hu
夫子奚不时来入观乎,fu'zi'xi'bu'shi'lai'ru'guan'hu
夫自细视大者不尽,fu'zi'xi'shi'da'zhe'bu'jin
夫子相亲,fu'zi'xiang'qin
夫子行不闲,fu'zi'xing'bu'xian
夫子休,fu'zi'xiu
夫子言,fu'zi'yan
夫子言道,fu'zi'yan'dao
夫子亦放德而行,fu'zi'yi'fang'de'er'xing
夫子亦听矣,fu'zi'yi'ting'yi
夫子以为孟浪之言,fu'zi'yi'wei'meng'lang'zhi'yan
夫子有乎,fu'zi'you'hu
夫子犹有倨傲之容,fu'zi'you'you'ju'ao'zhi'rong
夫子有忧色,fu'zi'you'you'se
父子欲藏书,fu'zi'yu'cang'shu
夫子曰,fu'zi'yue
夫子再逐于鲁,fu'zi'zai'zhu'yu'lu
夫子之问也,fu'zi'zhi'wen'ye
夫子之宜,fu'zi'zhi'yi
夫醉者之坠车,fu'zui'zhe'zhi'zhui'che
夫尊卑先后,fu'zun'bei'xian'hou
夫尊古而卑今,fu'zun'gu'er'bei'jin
赅而存焉,gai'er'cun'yan
概乎皆尝有闻者也,gai'hu'jie'chang'you'wen'zhe'ye
盖将甚敬而不急,gai'jiang'shen'jing'er'bu'ji
盖师是而无非,gai'shi'shi'er'wu'fei
盖有道之士也,gai'you'dao'zhi'shi'ye
敢不虚心,gan'bu'xu'xin
肝胆楚越也,gan'dan'chu'yue'ye
感而后应,gan'er'hou'ying
甘井先竭,gan'jing'xian'jie
甘其食,gan'qi'shi
敢问公之所读者,gan'wen'gong'zhi'suo'du'zhe
敢问何故,gan'wen'he'gu
敢问何谓也,gan'wen'he'wei'ye
敢问畸人,gan'wen'ji'ren
敢问临尸而歌,gan'wen'lin'shi'er'ge
敢问明王之治,gan'wen'ming'wang'zhi'zhi
敢问其方,gan'wen'qi'fang
敢问其故何也,gan'wen'qi'gu'he'ye
敢问舍所在也,gan'wen'she'suo'zai'ye
敢问天籁,gan'wen'tian'lai
敢问无受天损易,gan'wen'wu'shou'tian'sun'yi
敢问心斋,gan'wen'xin'zhai
敢问至道,gan'wen'zhi'dao
敢问至道之精,gan'wen'zhi'dao'zhi'jing
敢问治身奈何而可以长久,gan'wen'zhi'shen'nai'he'er'ke'yi'chang'jiu
感周之颡,gan'zhou'zhi'sang
膏火自煎也,gao'huo'zi'jian'ye
高节戾行,gao'jie'li'xing
高论怨诽,gao'lun'yuan'fei
高门县薄,gao'men'xian'bo
藁目而忧世之患,gao'mu'er'you'shi'zhi'huan
皋壤与,gao'rang'yu
告圣人之才,gao'sheng'ren'zhi'cai
杲天不宜,gao'tian'bu'yi
告我君人者以己出经式,gao'wo'jun'ren'zhe'yi'ji'chu'jing'shi
槁项黄首者,gao'xiang'huang'shou'zhe
稿者,gao'zhe
告之海曰,gao'zhi'hai'yue
告之以危而观其节,gao'zhi'yi'wei'er'guan'qi'jie
各得其序,ge'de'qi'xu
各复其根,ge'fu'qi'gen
各复其根而不知,ge'fu'qi'gen'er'bu'zhi
割牲而盟以为信,ge'sheng'er'meng'yi'wei'xin
割也,ge'ye
各有仪则,ge'you'yi'ze
给数以敏,gei'shu'yi'min
绠短者不可以汲深,geng'duan'zhe'bu'ke'yi'ji'shen
哽而不止则畛,geng'er'bu'zhi'ze'zhen
耕而卤莽之,geng'er'lu'mang'zhi
耕而食,geng'er'shi
庚桑楚第二十三,geng'sang'chu'di'er'shi'san
庚桑子闻之,geng'sang'zi'wen'zhi
庚桑子曰,geng'sang'zi'yue
庚桑子之始来,geng'sang'zi'zhi'shi'lai
更生则几矣,geng'sheng'ze'ji'yi
功成者堕,gong'cheng'zhe'duo
功成之美,gong'cheng'zhi'mei
工陲旋而盖规矩,gong'chui'xuan'er'gai'gui'ju
公而不当,gong'er'bu'dang
公反,gong'fan
公抚管仲之手曰,gong'fu'guan'zhong'zhi'shou'yue
功盖天下而似不自已,gong'gai'tian'xia'er'si'bu'zi'yi
共给之之谓安,gong'gei'zhi'zhi'wei'an
公固以为不然,gong'gu'yi'wei'bu'ran
工技不巧,gong'ji'bu'qiao
共祭先祖,gong'ji'xian'zu
公即召而问以国事,gong'ji'zhao'er'wen'yi'guo'shi
恭俭推让,gong'jian'tui'rang
工匠之罪也,gong'jiang'zhi'zui'ye
功利机巧必忘夫人之心,gong'li'ji'qiao'bi'wang'fu'ren'zhi'xin
共利之之谓悦,gong'li'zhi'zhi'wei'yue
功美不有,gong'mei'bu'you
公密而不应,gong'mi'er'bu'ying
共其德也,gong'qi'de'ye
公器也,gong'qi'ye
功求成,gong'qiu'cheng
躬身求之,gong'shen'qiu'zhi
公使人视之,gong'shi'ren'shi'zhi
公谁欲与,gong'shui'yu'yu
公孙龙口祛而不合,gong'sun'long'kou'qu'er'bu'he
公孙龙问于魏牟曰,gong'sun'long'wen'yu'wei'mou'yue
工为商,gong'wei'shang
公文轩见右师而惊曰,gong'wen'xuan'jian'you'shi'er'jing'yue
公曰,gong'yue
公阅休奚为者邪,gong'yue'xiu'xi'wei'zhe'xie
公则自伤,gong'ze'zi'shang
贡职不美,gong'zhi'bu'mei
公子高将使于齐,gong'zi'gao'jiang'shi'yu'qi
公子牟隐几太息,gong'zi'mou'yin'ji'tai'xi
公族也,gong'zu'ye
狗不以善吠为良,gou'bu'yi'shan'fei'wei'liang
苟得于道,gou'de'yu'dao
钩饵网罟罾句之知多,gou'er'wang'gu'zeng'ju'zhi'zhi'duo
狗非犬,gou'fei'quan
苟简,gou'jian
苟可得已,gou'ke'de'yi
苟可以免,gou'ke'yi'mian
苟免于咎,gou'mian'yu'jiu
苟为不知其然也,gou'wei'bu'zhi'qi'ran'ye
苟有其实,gou'you'qi'shi
固不爱己,gu'bu'ai'ji
固不待师,gu'bu'dai'shi
固不待物,gu'bu'dai'wu
故不敢当其赏,gu'bu'gan'dang'qi'shang
故不敢伏其诛,gu'bu'gan'fu'qi'zhu
固不及质,gu'bu'ji'zhi
故不为性命肆志,gu'bu'wei'xing'ming'si'zhi
固不知子矣,gu'bu'zhi'zi'yi
故不终其天年而中道夭,gu'bu'zhong'qi'tian'nian'er'zhong'dao'yao
故不足,gu'bu'zu
故不足以滑和,gu'bu'zu'yi'hua'he
故长伤身,gu'chang'shang'shen
故尝试论之,gu'chang'shi'lun'zhi
故出而不反,gu'chu'er'bu'fan
故纯朴不残,gu'chun'pu'bu'can
故辞,gu'ci
故辞而不受也,gu'ci'er'bu'shou'ye
故此皆骈旁枝之道,gu'ci'jie'pian'pang'zhi'zhi'dao
故此数子者,gu'ci'shu'zi'zhe
故怠,gu'dai
故道之所在,gu'dao'zhi'suo'zai
故盗跖之徒,gu'dao'zhi'zhi'tu
故德备,gu'de'bei
故得而不喜,gu'de'er'bu'xi
故德有所长而形有所忘,gu'de'you'suo'chang'er'xing'you'suo'wang
故德总乎道之所一,gu'de'zong'hu'dao'zhi'suo'yi
故帝王圣人休焉,gu'di'wang'sheng'ren'xiu'yan
固颠冥乎富贵之地,gu'dian'ming'hu'fu'gui'zhi'di
故动以百姓,gu'dong'yi'bai'xing
故多兵,gu'duo'bing
故伐树于宋,gu'fa'shu'yu'song
故法言曰,gu'fa'yan'yue
故伐之,gu'fa'zhi
故饭牛而牛肥,gu'fan'niu'er'niu'fei
故忿设无由,gu'fen'she'wu'you
故分也者,gu'fen'ye'zhe
故风化,gu'feng'hua
鼓腹而游,gu'fu'er'you
故服其殃离其患也,gu'fu'qi'yang'li'qi'huan'ye
故夫三皇五帝之礼义法度,gu'fu'san'huang'wu'di'zhi'li'yi'fa'du
故俯仰而不得罪于人,gu'fu'yang'er'bu'de'zui'yu'ren
故夫知效一官,gu'fu'zhi'xiao'yi'guan
故夫子胥争之,gu'fu'zi'xu'zheng'zhi
鼓歌以舞之,gu'ge'yi'wu'zhi
故割之,gu'ge'zhi
鼓宫宫动,gu'gong'gong'dong
故古今不二,gu'gu'jin'bu'er
骨骨然用力甚多,gu'gu'ran'yong'li'shen'duo
故古之人贵夫无为也,gu'gu'zhi'ren'gui'fu'wu'wei'ye
故古之王天下者,gu'gu'zhi'wang'tian'xia'zhe
故观之名,gu'guan'zhi'ming
故观之名则不见,gu'guan'zhi'ming'ze'bu'jian
故贵以身于为天下,gu'gui'yi'shen'yu'wei'tian'xia
故国治,gu'guo'zhi
故海不辞东流,gu'hai'bu'ci'dong'liu
故海内服,gu'hai'nei'fu
故合者不为骈,gu'he'zhe'bu'wei'pian
故或不言而饮人以和,gu'huo'bu'yan'er'yin'ren'yi'he
鼓荚播精,gu'jia'bo'jing
顾见孔子,gu'jian'kong'zi
鼓角角动,gu'jiao'jiao'dong
骨节与人同而犯害与人异,gu'jie'yu'ren'tong'er'fan'hai'yu'ren'yi
故解之以牛之白颡者,gu'jie'zhi'yi'niu'zhi'bai'sang'zhe
古今不代,gu'jin'bu'dai
古今非水陆与,gu'jin'fei'shui'lu'yu
故金石有声,gu'jin'shi'you'sheng
故静也,gu'jing'ye
故敬之而不喜,gu'jing'zhi'er'bu'xi
固扃谲,gu'jiong'jue
故九窍者胎生,gu'jiu'qiao'zhe'tai'sheng
故九万里,gu'jiu'wan'li
故举天下以赏其善者不足,gu'ju'tian'xia'yi'shang'qi'shan'zhe'bu'zu
孤驹未尝有母,gu'ju'wei'chang'you'mu
故绝圣弃知,gu'jue'sheng'qi'zhi
故君子不得已而临位天下,gu'jun'zi'bu'de'yi'er'lin'wei'tian'xia
故君子苟能无解其五藏,gu'jun'zi'gou'neng'wu'jie'qi'wu'cang
故君子远使之而观其忠,gu'jun'zi'yuan'shi'zhi'er'guan'qi'zhong
故劳之,gu'lao'zhi
故乐通物,gu'le'tong'wu
故离此患也,gu'li'ci'huan'ye
故礼义法度者,gu'li'yi'fa'du'zhe
故两无为相合,gu'liang'wu'wei'xiang'he
故龙逢诛,gu'long'feng'zhu
故卤莽其性者,gu'lu'mang'qi'xing'zhe
故马之知而态至盗者,gu'ma'zhi'zhi'er'tai'zhi'dao'zhe
故满若堵耳而不知避,gu'man'ruo'du'er'er'bu'zhi'bi
故命之曰有巢氏之民,gu'ming'zhi'yue'you'chao'shi'zhi'min
故命之曰知生之民,gu'ming'zhi'yue'zhi'sheng'zhi'min
故莫若释之而不推,gu'mo'ruo'shi'zhi'er'bu'tui
故莫之能伤也,gu'mo'zhi'neng'shang'ye
故目之于明也殆,gu'mu'zhi'yu'ming'ye'dai
故乃肯见于寡人,gu'nai'ken'jian'yu'gua'ren
故内省而不穷于道,gu'nei'xing'er'bu'qiong'yu'dao
故能若是之寿,gu'neng'ruo'shi'zhi'shou
故能胜物而不伤,gu'neng'sheng'wu'er'bu'shang
故鸟兽不厌高,gu'niao'shou'bu'yan'gao
故譬三皇五帝之礼义法度,gu'pi'san'huang'wu'di'zhi'li'yi'fa'du
故其德广,gu'qi'de'guang
故其德全而神不亏,gu'qi'de'quan'er'shen'bu'kui
故其好之也一,gu'qi'hao'zhi'ye'yi
故其就义若渴者,gu'qi'jiu'yi'ruo'ke'zhe
故其君因其修以挤之,gu'qi'jun'yin'qi'xiu'yi'ji'zhi
故其灵台一而不桎,gu'qi'ling'tai'yi'er'bu'zhi
故其杀者,gu'qi'sha'zhe
故弃予而死,gu'qi'yu'er'si
故其与万物接也,gu'qi'yu'wan'wu'jie'ye
故强哭者,gu'qiang'ku'zhe
鼓琴曰,gu'qin'yue
鼓琴足以自娱,gu'qin'zu'yi'zi'yu
故群于人,gu'qun'yu'ren
故人喜,gu'ren'xi
古人有之,gu'ren'you'zhi
古人之大体,gu'ren'zhi'da'ti
固人之所不免也,gu'ren'zhi'suo'bu'mian'ye
古人之糟魄已夫,gu'ren'zhi'zao'po'yi'fu
古人之糟魄已矣,gu'ren'zhi'zao'po'yi'yi
骨肉不葬,gu'rou'bu'zang
故若混逐丛生,gu'ruo'hun'zhu'cong'sheng
固若是芒乎,gu'ruo'shi'mang'hu
故若颜阖者,gu'ruo'yan'he'zhe
故三徙成都,gu'san'xi'cheng'dou
故善吾生者,gu'shan'wu'sheng'zhe
故深之又深,gu'shen'zhi'you'shen
故生而不悦,gu'sheng'er'bu'yue
故圣人法天贵真,gu'sheng'ren'fa'tian'gui'zhen
故圣人观于天而不助,gu'sheng'ren'guan'yu'tian'er'bu'zhu
故圣人其穷也,gu'sheng'ren'qi'qiong'ye
故圣人取象焉,gu'sheng'ren'qu'xiang'yan
故圣人行不言之教,gu'sheng'ren'xing'bu'yan'zhi'jiao
故圣人有所游,gu'sheng'ren'you'suo'you
故圣人之用兵也,gu'sheng'ren'zhi'yong'bing'ye
故视而可见者,gu'shi'er'ke'jian'zhe
故是非不得于身,gu'shi'fei'bu'de'yu'shen
故势为天子,gu'shi'wei'tian'zi
故书曰,gu'shu'yue
故水之守土也审,gu'shui'zhi'shou'tu'ye'shen
故四子之贤,gu'si'zi'zhi'xian
故素也者,gu'su'ye'zhe
故岁成,gu'sui'cheng
故逃也,gu'tao'ye
故田成子有乎盗贼之名,gu'tian'cheng'zi'you'hu'dao'zei'zhi'ming
故田荒室露,gu'tian'huang'shi'lu
故天下大器也,gu'tian'xia'da'qi'ye
故天下归,gu'tian'xia'gui
故天下皆知求其所不知,gu'tian'xia'jie'zhi'qiu'qi'suo'bu'zhi
故天下每每大乱,gu'tian'xia'mei'mei'da'luan
故天下诱然,gu'tian'xia'you'ran
故天下之大,gu'tian'xia'zhi'da
故通于天地者,gu'tong'yu'tian'di'zhe
故推正不忘邪,gu'tui'zheng'bu'wang'xie
故外天地,gu'wai'tian'di
故万物备,gu'wan'wu'bei
故万物成,gu'wan'wu'cheng
故万物一也,gu'wan'wu'yi'ye
故往贷粟于监河侯,gu'wang'dai'su'yu'jian'he'hou
故往见之,gu'wang'jian'zhi
顾谓从者曰,gu'wei'cong'zhe'yue
故未免乎累,gu'wei'mian'hu'lei
故为是举莛与楹,gu'wei'shi'ju'ting'yu'ying
故围之,gu'wei'zhi
故未终其天年,gu'wei'zhong'qi'tian'nian
故我修身千二百岁矣,gu'wo'xiu'shen'qian'er'bai'sui'yi
故无兵,gu'wu'bing
故无攻战之乱,gu'wu'gong'zhan'zhi'luan
故无名,gu'wu'ming
故无所甚亲,gu'wu'suo'shen'qin
故无天灾,gu'wu'tian'zai
故无忧而已矣,gu'wu'you'er'yi'yi
故伍员流于江,gu'wu'yuan'liu'yu'jiang
故无择称之,gu'wu'ze'cheng'zhi
故西施病心而颦其里,gu'xi'shi'bing'xin'er'pin'qi'li
故昔者尧问于舜曰,gu'xi'zhe'yao'wen'yu'shun'yue
故先圣不一其能,gu'xian'sheng'bu'yi'qi'neng
故贤者伏处大山湛岩之下,gu'xian'zhe'fu'chu'da'shan'zhan'yan'zhi'xia
故小而不寡,gu'xiao'er'bu'gua
故孝己忧而曾参悲,gu'xiao'ji'you'er'zeng'shen'bei
故心不忧乐,gu'xin'bu'you'le
故行不知所往,gu'xing'bu'zhi'suo'wang
故性长非所断,gu'xing'chang'fei'suo'duan
故形非道不生,gu'xing'fei'dao'bu'sheng
故行有求,gu'xing'you'qiu
故许由娱语颍阳,gu'xu'you'yu'yu'ying'yang
故养志者忘形,gu'yang'zhi'zhe'wang'xing
故遥而不闷,gu'yao'er'bu'men
故尧非有人,gu'yao'fei'you'ren
故也,gu'ye
故异便,gu'yi'bian
故以坚白之昧终,gu'yi'jian'bai'zhi'mei'zhong
故以剑见王,gu'yi'jian'jian'wang
故意仁义之非人情乎,gu'yi'ren'yi'zhi'fei'ren'qing'hu
故以是非相齑也,gu'yi'shi'fei'xiang'ji'ye
故一形有失其形者,gu'yi'xing'you'shi'qi'xing'zhe
故异也,gu'yi'ye
故以众小不胜为大胜也,gu'yi'zhong'xiao'bu'sheng'wei'da'sheng'ye
固有不言之教,gu'you'bu'yan'zhi'jiao
古犹今也,gu'you'jin'ye
故有貌愿而益,gu'you'mao'yuan'er'yi
故有人者累,gu'you'ren'zhe'lei
故有儒墨之是非,gu'you'ru'mo'zhi'shi'fei
固有所不得已,gu'you'suo'bu'de'yi
故有亡国戮民无已,gu'you'wang'guo'lu'min'wu'yi
固有无其实而得其名者乎,gu'you'wu'qi'shi'er'de'qi'ming'zhe'hu
故有炎氏为之颂曰,gu'you'yan'shi'wei'zhi'song'yue
固有执政焉如此哉,gu'you'zhi'zheng'yan'ru'ci'zai
故余将去汝,gu'yu'jiang'qu'ru
故曰,gu'yue
故曰败,gu'yue'bai
故曰不同,gu'yue'bu'tong
故曰无言,gu'yue'wu'yan
故曰玄,gu'yue'xuan
固哉,gu'zai
故载之末年,gu'zai'zhi'mo'nian
故昭氏之不鼓琴也,gu'zhao'shi'zhi'bu'gu'qin'ye
故昭氏之鼓琴也,gu'zhao'shi'zhi'gu'qin'ye
故朝夕赋敛而毫毛不挫,gu'zhao'xi'fu'lian'er'hao'mao'bu'cuo
古者民不知衣服,gu'zhe'min'bu'zhi'yi'fu
古者禽兽多而人少,gu'zhe'qin'shou'duo'er'ren'shao
古者谓是采真之游,gu'zhe'wei'shi'cai'zhen'zhi'you
古者谓是帝之悬解,gu'zhe'wei'shi'di'zhi'xuan'jie
古者谓之遁天之刑,gu'zhe'wei'zhi'dun'tian'zhi'xing
瞽者无以与乎青黄黼黻之观,gu'zhe'wu'yi'yu'hu'qing'huang'fu'fu'zhi'guan
瞽者无以与乎文章之观,gu'zhe'wu'yi'yu'hu'wen'zhang'zhi'guan
鼓之,gu'zhi
古之博大真人哉,gu'zhi'bo'da'zhen'ren'zai
古之畜天下者,gu'zhi'chu'tian'xia'zhe
