爱恶相攻而吉凶生,ai'e'xiang'gong'er'ji'xiong'sheng
而坎下也,er'kan'xia'ye
而况人於人乎,er'kuang'ren'yu'ren'hu
而揆其方,er'kui'qi'fang
而雷雨作,er'lei'yu'zuo
而理於义,er'li'yu'yi
二林居集,er'lin'ju'ji
而民从之,er'min'cong'zhi
而能久成,er'neng'jiu'cheng
而能久照,er'neng'jiu'zhao
而拟诸其形容,er'ni'zhu'qi'xing'rong
二女同居,er'nv'tong'ju
二篇之策,er'pian'zhi'ce
二气,er'qi
二七为火,er'qi'wei'huo
二人同心,er'ren'tong'xin
而顺乎刚,er'shun'hu'gang
二四为肩,er'si'wei'jian
而天地万物之情可见矣,er'tian'di'wan'wu'zhi'qing'ke'jian'yi
而天下无邦也,er'tian'xia'wu'bang'ye
而玩其辞,er'wan'qi'ci
而玩其占,er'wan'qi'zhan
而万物不通也,er'wan'wu'bu'tong'ye
而万物覩,er'wan'wu'du
而行有恒,er'xing'you'heng
而巽伏也,er'xun'fu'ye
二爻,er'yao
而应乎乾,er'ying'hu'qian
而应乎人,er'ying'hu'ren
而應君子正也,er'ying'jun'zi'zheng'ye
而豫怠也,er'yu'dai'ye
二与四位,er'yu'si'wei
法华玄义,fa'hua'xuan'yi
发蒙,fa'meng
發蒙利用刑人,fa'meng'li'yong'xing'ren
法言,fa'yan
发用,fa'yong
发於事业,fa'yu'shi'ye
法苑珠林,fa'yuan'zhu'lin
反背,fan'bei
反对本本主义,fan'dui'ben'ben'zhu'yi
反复道也,fan'fu'dao'ye
反复其道,fan'fu'qi'dao
反復其道,fan'fu'qi'dao
反覆其道,fan'fu'qi'dao
反归以娣,fan'gui'yi'di
藩决不羸,fan'jue'bu'lei
藩決不羸,fan'jue'bu'lei
反君道也,fan'jun'dao'ye
凡三百有六十,fan'san'bai'you'liu'shi
反身脩德,fan'shen'xiu'de
泛水桃花,fan'shui'tao'hua
凡益之道,fan'yi'zhi'dao
凡易之情,fan'yi'zhi'qing
反吟,fan'yin
反吟蛇刑,fan'yin'she'xing
方成池沼,fang'cheng'chi'zhao
方成栋梁,fang'cheng'dong'liang
方成器皿,fang'cheng'qi'min
方成相济,fang'cheng'xiang'ji
仿此,fang'ci
方挫其锋,fang'cuo'qi'feng
放达为非道论,fang'da'wei'fei'dao'lun
方化其顽,fang'hua'qi'wan
方能疏通,fang'neng'shu'tong
方其义也,fang'qi'yi'ye
方泄其势,fang'xie'qi'shi
方以类聚,fang'yi'lei'ju
方雨亏悔,fang'yu'kui'hui
方制其害,fang'zhi'qi'hai
方止其焰,fang'zhi'qi'yan
飞财,fei'cai
肥遁,fei'dun
肥遯,fei'dun
匪孚,fei'fu
非攻,fei'gong
匪躬之故,fei'gong'zhi'gu
飞化,fei'hua
匪咎,fei'jiu
匪寇婚媾,fei'kou'hun'gou
匪寇婚媾終无尤也,fei'kou'hun'gou'zhong'wu'you'ye
非禮弗履,fei'li'fu'lv
非离群也,fei'li'qun'ye
蜚廉,fei'lian
飛龍在天,fei'long'zai'tian
飞龙在天,fei'long'zai'tian
飛龍在天大人造也,fei'long'zai'tian'da'ren'zao'ye
飛龍在天利見大人,fei'long'zai'tian'li'xian'da'ren
非命,fei'ming
飞鸟归巢,fei'niao'gui'chao
飞鸟离之,fei'niao'li'zhi
飞鸟以凶,fei'niao'yi'xiong
飞刃,fei'ren
非儒,fei'ru
飞神,fei'shen
非十二子,fei'shi'er'zi
非所据而据焉,fei'suo'ju'er'ju'yan
非所困而困焉,fei'suo'kun'er'kun'yan
飞天禄马,fei'tian'lu'ma
非天下之致变,fei'tian'xia'zhi'zhi'bian
非天下之至精,fei'tian'xia'zhi'zhi'jing
非天下之致神,fei'tian'xia'zhi'zhi'shen
非唯,fei'wei
非为邪也,fei'wei'xie'ye
匪夷所思,fei'yi'suo'si
分刚上而文柔,fen'gang'shang'er'wen'rou
分剛上而文柔,fen'gang'shang'er'wen'rou
分类占断,fen'lei'zhan'duan
焚如,fen'ru
焚如死如弃如,fen'ru'si'ru'qi'ru
焚如死如棄如,fen'ru'si'ru'qi'ru
纷若之吉,fen'ruo'zhi'ji
豮豕之牙,fen'shi'zhi'ya
焚书,fen'shu
分阴分阳,fen'yin'fen'yang
逢冲,feng'chong
风遁,feng'dun
凤阁,feng'ge
丰卦,feng'gua
风卦,feng'gua
风火家人,feng'huo'jia'ren
逢空,feng'kong
风雷,feng'lei
风流彩杖,feng'liu'cai'zhang
风水,feng'shui
风天小畜,feng'tian'xiao'chu
风行地上,feng'xing'di'shang
风行水上,feng'xing'shui'shang
风行天上,feng'xing'tian'shang
风以散之,feng'yi'san'zhi
冯友兰思想的批判,feng'you'lan'si'xiang'de'pi'pan
风泽中孚,feng'ze'zhong'fu
丰者大也,feng'zhe'da'ye
逢值逢冲,feng'zhi'feng'chong
逢值逢合,feng'zhi'feng'he
风自火出,feng'zi'huo'chu
風自火出家人,feng'zi'huo'chu'jia'ren
佛典泛论,fo'dian'fan'lun
佛家名相通释,fo'jia'ming'xiang'tong'shi
佛经,fo'jing
佛祖统纪,fo'zu'tong'ji
否卦,fou'gua
否之匪人,fou'zhi'fei'ren
否终则倾,fou'zhong'ze'qing
否終則傾何可長也,fou'zhong'ze'qing'he'ke'chang'ye
辅弼,fu'bi
傅鹑觚集,fu'chun'gu'ji
夫大人者,fu'da'ren'zhe
夫大人者與天地合其德,fu'da'ren'zhe'yu'tian'di'he'qi'de
福德,fu'de
福点,fu'dian
孚兑,fu'dui
孚兑之吉,fu'dui'zhi'ji
夫夫,fu'fu
妇妇,fu'fu
父父,fu'fu
夫夫婦婦而家道正,fu'fu'fu'fu'er'jia'dao'zheng
夫妇之道,fu'fu'zhi'dao
父父子子兄兄弟弟,fu'fu'zi'zi'xiong'xiong'di'di
弗敢成也,fu'gan'cheng'ye
复卦,fu'gua
夫官,fu'guan
弗过防之,fu'guo'fang'zhi
弗过遇之,fu'guo'yu'zhi
孚号,fu'hao
孚号有厉,fu'hao'you'li
复亨,fu'heng
復亨,fu'heng
父疾,fu'ji
复既命渝,fu'ji'ming'yu
富家,fu'jia
富家大吉,fu'jia'da'ji
富家大吉順在位也,fu'jia'da'ji'shun'zai'wei'ye
复见腾蛇,fu'jian'teng'she
弗兼与也,fu'jian'yu'ye
拂经,fu'jing
弗卡努斯,fu'ka'nu'si
夫坤,fu'kun
福力,fu'li
伏马,fu'ma
夫茅之为物薄,fu'mao'zhi'wei'wu'bo
父母,fu'mu
父母辰土,fu'mu'chen'tu
父母辰土持世,fu'mu'chen'tu'chi'shi
父母持世,fu'mu'chi'shi
父母丑土,fu'mu'chou'tu
父母丑土持世,fu'mu'chou'tu'chi'shi
父母亥水,fu'mu'hai'shui
父母亥水持世,fu'mu'hai'shui'chi'shi
父母卯木,fu'mu'mao'mu
父母卯木持世,fu'mu'mao'mu'chi'shi
父母申金,fu'mu'shen'jin
父母申金持世,fu'mu'shen'jin'chi'shi
父母巳火,fu'mu'si'huo
父母巳火持世,fu'mu'si'huo'chi'shi
父母未土,fu'mu'wei'tu
父母未土持世,fu'mu'wei'tu'chi'shi
父母午火,fu'mu'wu'huo
父母午火持世,fu'mu'wu'huo'chi'shi
父母戌土,fu'mu'xu'tu
父母戌土持世,fu'mu'xu'tu'chi'shi
父母寅木,fu'mu'yin'mu
父母寅木持世,fu'mu'yin'mu'chi'shi
父母酉金,fu'mu'you'jin
父母酉金持世,fu'mu'you'jin'chi'shi
父母子水,fu'mu'zi'shui
父母子水持世,fu'mu'zi'shui'chi'shi
服牛乘马,fu'niu'cheng'ma
夫妻,fu'qi
夫妻反目,fu'qi'fan'mu
复其见天地之心乎,fu'qi'jian'tian'di'zhi'xin'hu
復其見天地之心乎,fu'qi'xian'tian'di'zhi'xin'hu
夫乾,fu'qian
婦人吉夫子凶,fu'ren'ji'fu'zi'xiong
妇人贞吉,fu'ren'zhen'ji
伏戎于莽,fu'rong'yu'mang
伏戎于莽升其高陵,fu'rong'yu'mang'sheng'qi'gao'ling
妇丧其髴,fu'sang'qi'fei
妇丧其茀,fu'sang'qi'fu
浮山文集前编,fu'shan'wen'ji'qian'bian
复社记略,fu'she'ji'lue
伏神,fu'shen
弗损益之,fu'sun'yi'zhi
伏象,fu'xiang
夫象,fu'xiang
辅相天地之宜,fu'xiang'tian'di'zhi'yi
复性书院讲录,fu'xing'shu'yuan'jiang'lu
夫玄黄者,fu'xuan'huang'zhe
伏爻,fu'yao
辅也,fu'ye
夫易,fu'yi
拂颐,fu'yi
俯以察於地理,fu'yi'cha'yu'di'li
夫易何为者也,fu'yi'he'wei'zhe'ye
夫易开物成务,fu'yi'kai'wu'cheng'wu
富以其邻,fu'yi'qi'lin
拂頤貞凶,fu'yi'zhen'xiong
伏吟,fu'yin
伏吟返吟,fu'yin'fan'yin
伏吟天庭,fu'yin'tian'ting
富有之谓大业,fu'you'zhi'wei'da'ye
弗遇过之,fu'yu'guo'zhi
孚于嘉吉,fu'yu'jia'ji
孚于嘉吉位正中也,fu'yu'jia'ji'wei'zheng'zhong'ye
妇孕不育,fu'yun'bu'yu
俯则观法于地,fu'ze'guan'fa'yu'di
俯则观法於地,fu'ze'guan'fa'yu'di
夫征不复,fu'zheng'bu'fu
傅子,fu'zi
妇子嘻嘻,fu'zi'xi'xi
婦子嘻嘻失家節也,fu'zi'xi'xi'shi'jia'jie'ye
婦子嘻嘻終吝,fu'zi'xi'xi'zhong'lin
夫子制义,fu'zi'zhi'yi
夫子制義從婦凶也,fu'zi'zhi'yi'zong'fu'xiong'ye
改命,gai'ming
改命之吉,gai'ming'zhi'ji
盖取诸涣,gai'qu'zhu'huan
盖取诸夬,gai'qu'zhu'jue
盖取诸睽,gai'qu'zhu'kui
盖取诸离,gai'qu'zhu'li
盖取诸随,gai'qu'zhu'sui
盖取诸益,gai'qu'zhu'yi
盖取诸豫,gai'qu'zhu'yu
盖言谨也,gai'yan'jin'ye
盖言顺也,gai'yan'shun'ye
干辰一字,gan'chen'yi'zi
感而遂通天下之故,gan'er'sui'tong'tian'xia'zhi'gu
幹父用譽承以德也,gan'fu'yong'yu'cheng'yi'de'ye
干父之蛊,gan'fu'zhi'gu
干父之蛊小有悔无大咎,gan'fu'zhi'gu'xiao'you'hui'wu'da'jiu
幹父之蠱小有悔无大咎,gan'fu'zhi'gu'xiao'you'hui'wu'da'jiu
幹父之蠱意承考也,gan'fu'zhi'gu'yi'cheng'kao'ye
干父之蛊用誉,gan'fu'zhi'gu'yong'yu
幹父之蠱用譽,gan'fu'zhi'gu'yong'yu
干父之蛊有子考厉,gan'fu'zhi'gu'you'zi'kao'li
幹父之蠱終无咎也,gan'fu'zhi'gu'zhong'wu'jiu'ye
干合悖师,gan'he'bei'shi
干合蛇刑,gan'he'she'xing
甘节,gan'jie
甘节之吉,gan'jie'zhi'ji
甘临,gan'lin
甘臨位不當也,gan'lin'wei'bu'dang'ye
甘臨无攸利既憂之无咎,gan'lin'wu'you'li'ji'you'zhi'wu'jiu
赶禄拦马,gan'lu'lan'ma
干母之蛊,gan'mu'zhi'gu
幹母之蠱得中道也,gan'mu'zhi'gu'de'zhong'dao'ye
干清支浊,gan'qing'zhi'zhuo
干神二字相连,gan'shen'er'zi'xiang'lian
干神二字相遇,gan'shen'er'zi'xiang'yu
干神连珠,gan'shen'lian'zhu
干神相克,gan'shen'xiang'ke
干神一字,gan'shen'yi'zi
甘石星经,gan'shi'xing'jing
干头相类,gan'tou'xiang'lei
感也,gan'ye
干支,gan'zhi
干支合禄,gan'zhi'he'lu
刚反,gang'fan
刚过而中,gang'guo'er'zhong
剛過而中,gang'guo'er'zhong
刚健笃实辉光,gang'jian'du'shi'hui'guang
剛健篤實輝光,gang'jian'du'shi'hui'guang
刚健中正,gang'jian'zhong'zheng
剛健中正純粹精也,gang'jian'zhong'zheng'chun'cui'jing'ye
刚浸而长,gang'jin'er'chang
刚决柔也,gang'jue'rou'ye
刚来而得中也,gang'lai'er'de'zhong'ye
剛來而得中也,gang'lai'er'de'zhong'ye
刚卤,gang'lu
刚柔断矣,gang'rou'duan'yi
剛柔分動而明,gang'rou'fen'dong'er'ming
刚柔际也,gang'rou'ji'ye
刚柔接也,gang'rou'jie'ye
刚柔节也,gang'rou'jie'ye
刚柔皆应,gang'rou'jie'ying
刚柔相推,gang'rou'xiang'tui
刚柔相推而生变化,gang'rou'xiang'tui'er'sheng'bian'hua
刚柔相易,gang'rou'xiang'yi
刚柔应也,gang'rou'ying'ye
刚柔杂居,gang'rou'za'ju
刚柔之际,gang'rou'zhi'ji
刚失位而不中,gang'shi'wei'er'bu'zhong
刚巽乎中正而志行,gang'xun'hu'zhong'zheng'er'zhi'xing
刚遇中正,gang'yu'zhong'zheng
刚中而应,gang'zhong'er'ying
剛中而應,gang'zhong'er'ying
刚自外来,gang'zi'wai'lai
高而无民,gao'er'wu'min
告公用圭,gao'gong'yong'gui
高尚其事,gao'shang'qi'shi
告子,gao'zi
隔八生子,ge'ba'sheng'zi
各得其所,ge'de'qi'suo
革而信也,ge'er'xin'ye
革卦,ge'gua
格局,ge'ju
革命哲学,ge'ming'zhe'xue
革去故也,ge'qu'gu'ye
革物者莫若鼎,ge'wu'zhe'mo'ruo'ding
革言三就,ge'yan'san'jiu
各正性命,ge'zheng'xing'ming
艮东北之卦也,gen'dong'bei'zhi'gua'ye
艮宫,gen'gong
艮宫八卦,gen'gong'ba'gua
艮卦,gen'gua
艮七,gen'qi
艮三索而得男,gen'san'suo'er'de'nan
艮上,gen'shang
艮上兑下,gen'shang'dui'xia
艮上艮下,gen'shang'gen'xia
艮上坎下,gen'shang'kan'xia
艮上坤下,gen'shang'kun'xia
艮上离下,gen'shang'li'xia
艮上乾下,gen'shang'qian'xia
艮上巽下,gen'shang'xun'xia
艮上震下,gen'shang'zhen'xia
艮下,gen'xia
艮下兑上,gen'xia'dui'shang
艮下艮上,gen'xia'gen'shang
艮下坎上,gen'xia'kan'shang
艮下坤上,gen'xia'kun'shang
艮下离上,gen'xia'li'shang
艮下乾上,gen'xia'qian'shang
艮下巽上,gen'xia'xun'shang
艮下震上,gen'xia'zhen'shang
艮以止之,gen'yi'zhi'zhi
艮者止也,gen'zhe'zhi'ye
庚病在亥,geng'bing'zai'hai
庚辰,geng'chen
更法,geng'fa
庚金,geng'jin
庚绝在寅,geng'jue'zai'yin
庚禄在申,geng'lu'zai'shen
庚墓在丑,geng'mu'zai'chou
庚年,geng'nian
庚人,geng'ren
庚刃在酉,geng'ren'zai'you
庚申,geng'shen
庚衰在戌,geng'shuai'zai'xu
庚死在子,geng'si'zai'zi
庚胎在卯,geng'tai'zai'mao
庚午,geng'wu
庚辛,geng'xin
庚戌,geng'xu
庚阳,geng'yang
庚养在辰,geng'yang'zai'chen
庚寅,geng'yin
庚子,geng'zi
拱局,gong'ju
拱禄拱贵,gong'lu'gong'gui
公孟,gong'meng
公孙龙子,gong'sun'long'zi
公孙龙子刑名发微,gong'sun'long'zi'xing'ming'fa'wei
宫头,gong'tou
宫位,gong'wei
公言,gong'yan
公羊春秋,gong'yang'chun'qiu
公弋取彼在穴,gong'yi'qu'bi'zai'xue
公用亨于天子,gong'yong'heng'yu'tian'zi
公用亨于天子小人弗克,gong'yong'heng'yu'tian'zi'xiao'ren'fu'ke
公用亨于天子小人害也,gong'yong'heng'yu'tian'zi'xiao'ren'hai'ye
巩用黄牛,gong'yong'huang'niu
巩用黄牛之革,gong'yong'huang'niu'zhi'ge
公用射隼,gong'yong'she'sun
宫垣,gong'yuan
勾陈,gou'chen
勾陈得位,gou'chen'de'wei
苟非其人,gou'fei'qi'ren
姤卦,gou'gua
钩深致远,gou'shen'zhi'yuan
姤者遇也,gou'zhe'yu'ye
孤辰,gu'chen
孤辰寡宿,gu'chen'gua'su
故称龙焉,gu'cheng'long'yan
故称血焉,gu'cheng'xue'yan
故丰,gu'feng
蠱剛上而柔下,gu'gang'shang'er'rou'xia
蛊卦,gu'gua
孤官无辅,gu'guan'wu'fu
故亨,gu'heng
古今图书集成,gu'jin'tu'shu'ji'cheng
穀梁春秋,gu'liang'chun'qiu
故六,gu'liu
故能弥纶天地之道,gu'neng'mi'lun'tian'di'zhi'dao
故乾乾因其時而惕,gu'qian'qian'yin'qi'shi'er'ti
谷神,gu'shen
谷神白羊,gu'shen'bai'yang
谷神处女,gu'shen'chu'nv
谷神金牛,gu'shen'jin'niu
谷神巨蟹,gu'shen'ju'xie
谷神摩羯,gu'shen'mo'jie
谷神射手,gu'shen'she'shou
谷神狮子,gu'shen'shi'zi
谷神双鱼,gu'shen'shuang'yu
谷神双子,gu'shen'shuang'zi
谷神水瓶,gu'shen'shui'ping
谷神天枰,gu'shen'tian'ping
谷神天蝎,gu'shen'tian'xie
故神无方而易无体,gu'shen'wu'fang'er'yi'wu'ti
古筮,gu'shi
股市操盘,gu'shi'cao'pan
故受之以大畜,gu'shou'zhi'yi'da'chu
故受之以大过,gu'shou'zhi'yi'da'guo
故受之以大有,gu'shou'zhi'yi'da'you
故受之以大壮,gu'shou'zhi'yi'da'zhuang
故受之以归妹,gu'shou'zhi'yi'gui'mei
故受之以家人,gu'shou'zhi'yi'jia'ren
故受之以明夷,gu'shou'zhi'yi'ming'yi
故受之以噬嗑,gu'shou'zhi'yi'shi'ke
故受之以同人,gu'shou'zhi'yi'tong'ren
故受之以未济终焉,gu'shou'zhi'yi'wei'ji'zhong'yan
故受之以无妄,gu'shou'zhi'yi'wu'wang
故受之以小畜,gu'shou'zhi'yi'xiao'chu
故受之以小过,gu'shou'zhi'yi'xiao'guo
故受之以中孚,gu'shou'zhi'yi'zhong'fu
鼓天下之动者,gu'tian'xia'zhi'dong'zhe
顾亭林诗文集,gu'ting'lin'shi'wen'ji
鼓万物而不与圣人同忧,gu'wan'wu'er'bu'yu'sheng'ren'tong'you
古微堂集,gu'wei'tang'ji
古文尚书,gu'wen'shang'shu
姑洗,gu'xi
故小利有攸往,gu'xiao'li'you'you'wang
瞽言,gu'yan
固有之也,gu'you'zhi'ye
蠱元亨而天下治也,gu'yuan'heng'er'tian'xia'zhi'ye
故曰,gu'yue
故曰成言乎艮,gu'yue'cheng'yan'hu'gen
故曰致役乎坤,gu'yue'zhi'yi'hu'kun
故再撝而后挂,gu'zai'hui'er'hou'gua
蛊则饬也,gu'ze'chi'ye
古者包羲氏之王天下也,gu'zhe'bao'xi'shi'zhi'wang'tian'xia'ye
蛊者事也,gu'zhe'shi'ye
故知死生之说,gu'zhi'si'sheng'zhi'shuo
古之葬者,gu'zhi'zang'zhe
故壮,gu'zhuang
卦理,gua'li
卦码,gua'ma
卦身,gua'shen
寡宿,gua'su
卦象,gua'xiang
卦意,gua'yi
卦有小大,gua'you'xiao'da
乖必有难,guai'bi'you'nan
怪物大仙,guai'wu'da'xian
官变为鬼,guan'bian'wei'gui
冠带,guan'dai
盥而不荐,guan'er'bu'jian
观卦,guan'gua
官贵,guan'gui
官鬼,guan'gui
官鬼辰土,guan'gui'chen'tu
官鬼辰土持世,guan'gui'chen'tu'chi'shi
官鬼持世,guan'gui'chi'shi
官鬼丑土,guan'gui'chou'tu
官鬼丑土持世,guan'gui'chou'tu'chi'shi
官鬼亥水,guan'gui'hai'shui
官鬼亥水持世,guan'gui'hai'shui'chi'shi
官鬼卯木,guan'gui'mao'mu
官鬼卯木持世,guan'gui'mao'mu'chi'shi
官鬼申金,guan'gui'shen'jin
官鬼申金持世,guan'gui'shen'jin'chi'shi
官鬼巳火,guan'gui'si'huo
官鬼巳火持世,guan'gui'si'huo'chi'shi
官鬼未土,guan'gui'wei'tu
官鬼未土持世,guan'gui'wei'tu'chi'shi
官鬼午火,guan'gui'wu'huo
官鬼午火持世,guan'gui'wu'huo'chi'shi
官鬼戌土,guan'gui'xu'tu
官鬼戌土持世,guan'gui'xu'tu'chi'shi
官鬼寅木,guan'gui'yin'mu
官鬼寅木持世,guan'gui'yin'mu'chi'shi
官鬼酉金,guan'gui'you'jin
官鬼酉金持世,guan'gui'you'jin'chi'shi
官鬼子水,guan'gui'zi'shui
官鬼子水持世,guan'gui'zi'shui'chi'shi
观国之光,guan'guo'zhi'guang
观乎人文,guan'hu'ren'wen
观乎天文,guan'hu'tian'wen
觀乎天文以察時變,guan'hu'tian'wen'yi'cha'shi'bian
官禄,guan'lu
管辂,guan'lu
观民设教,guan'min'she'jiao
观念论不可吸收吗,guan'nian'lun'bu'ke'xi'shou'ma
觀其所感,guan'qi'suo'gan
观其所感,guan'qi'suo'gan
觀其所恆,guan'qi'suo'heng
观其所恒,guan'qi'suo'heng
观其所聚,guan'qi'suo'ju
官杀混杂,guan'sha'hun'za
觀我朵頤,guan'wo'duo'yi
观我朵颐,guan'wo'duo'yi
觀我生觀民也,guan'wo'sheng'guan'min'ye
观物内篇,guan'wu'nei'pian
官星,guan'xing
官星暗伤,guan'xing'an'shang
官星带刃,guan'xing'dai'ren
官星逢合,guan'xing'feng'he
官星入墓,guan'xing'ru'mu
官星桃花,guan'xing'tao'hua
官星卫财,guan'xing'wei'cai
官星遇劫,guan'xing'yu'jie
观颐,guan'yi
官有渝貞吉出門交有功,guan'you'yu'zhen'ji'chu'men'jiao'you'gong
贯鱼,guan'yu
贯鱼以宫人宠,guan'yu'yi'gong'ren'chong
官运,guan'yun
管子,guan'zi
官坐刃头,guan'zuo'ren'tou
广大悉备,guang'da'xi'bei
光亨,guang'heng
广弘明集,guang'hong'ming'ji
广近思录,guang'jin'si'lu
广禄,guang'lu
广阳杂记,guang'yang'za'ji
广矣大矣,guang'yi'da'yi
癸病在酉,gui'bing'zai'you
归藏,gui'cang
癸丑,gui'chou
归而逋也,gui'er'bu'ye
贵而无位,gui'er'wu'wei
貴而无位高而无民,gui'er'wu'wei'gao'er'wu'min
鬼符,gui'fu
鬼谷命书,gui'gu'ming'shu
鬼谷要诀,gui'gu'yao'jue
鬼谷遗文,gui'gu'yi'wen
癸亥,gui'hai
归魂,gui'hun
贵贱位矣,gui'jian'wei'yi
癸绝在午,gui'jue'zai'wu
贵窠,gui'ke
癸禄在子,gui'lu'zai'zi
癸卯,gui'mao
归妹,gui'mei
归妹卦终,gui'mei'gua'zhong
归妹女之终也,gui'mei'nv'zhi'zhong'ye
归妹愆期,gui'mei'qian'qi
归妹以娣,gui'mei'yi'di
归妹以须,gui'mei'yi'xu
癸墓在未,gui'mu'zai'wei
癸年,gui'nian
癸人,gui'ren
贵人,gui'ren
贵人入狱,gui'ren'ru'yu
贵人升殿,gui'ren'sheng'dian
癸刃在亥,gui'ren'zai'hai
贵神,gui'shen
贵生,gui'sheng
癸衰在戌,gui'shuai'zai'xu
癸水,gui'shui
癸巳,gui'si
癸死在申,gui'si'zai'shen
癸胎在巳,gui'tai'zai'si
癸未,gui'wei
癸养在辰,gui'yang'zai'chen
贵义,gui'yi
癸阴,gui'yin
癸酉,gui'you
滚浪桃花,gun'lang'tao'hua
国策,guo'ce
国朝学案小识,guo'chao'xue'an'xiao'shi
过此以往,guo'ci'yi'wang
国粹学报,guo'cui'xue'bao
国故论衡,guo'gu'lun'heng
国家主义释疑,guo'jia'zhu'yi'shi'yi
国民革命与中国国民党,guo'min'ge'ming'yu'zhong'guo'guo'min'dang
郭璞,guo'pu
过涉灭顶,guo'she'mie'ding
过涉之凶,guo'she'zhi'xiong
過涉之凶不可咎也,guo'she'zhi'xiong'bu'ke'jiu'ye
国史大纲,guo'shi'da'gang
过旬灾也,guo'xun'zai'ye
过以利贞,guo'yi'li'zhen
国印,guo'yin
国语,guo'yu
亥藏人甲,hai'cang'ren'jia
亥丑,hai'chou
海国图志,hai'guo'tu'zhi
亥卯,hai'mao
亥卯未合化木,hai'mao'wei'he'hua'mu
亥卯未见甲为月德,hai'mao'wei'jian'jia'wei'yue'de
亥卯未见卯为将星,hai'mao'wei'jian'mao'wei'jiang'xing
亥卯未见申为劫煞,hai'mao'wei'jian'shen'wei'jie'sha
亥卯未见巳为驿马,hai'mao'wei'jian'si'wei'yi'ma
亥卯未见未为华盖,hai'mao'wei'jian'wei'wei'hua'gai
亥卯未见寅为亡神,hai'mao'wei'jian'yin'wei'wang'shen
亥卯未见酉为灾煞,hai'mao'wei'jian'you'wei'zai'sha
亥卯未见子为桃花,hai'mao'wei'jian'zi'wei'tao'hua
亥卯未马在巳,hai'mao'wei'ma'zai'si
亥日,hai'ri
亥时,hai'shi
亥水,hai'shui
亥水父母,hai'shui'fu'mu
亥水父母持世,hai'shui'fu'mu'chi'shi
亥水官鬼,hai'shui'guan'gui
亥水官鬼持世,hai'shui'guan'gui'chi'shi
亥水妻财,hai'shui'qi'cai
亥水妻财持世,hai'shui'qi'cai'chi'shi
亥水兄弟,hai'shui'xiong'di
亥水兄弟持世,hai'shui'xiong'di'chi'shi
亥水子孙,hai'shui'zi'sun
亥水子孙持世,hai'shui'zi'sun'chi'shi
海王白羊,hai'wang'bai'yang
海王处女,hai'wang'chu'nv
海王金牛,hai'wang'jin'niu
海王巨蟹,hai'wang'ju'xie
海王摩羯,hai'wang'mo'jie
海王射手,hai'wang'she'shou
海王狮子,hai'wang'shi'zi
海王双鱼,hai'wang'shuang'yu
海王双子,hai'wang'shuang'zi
海王水瓶,hai'wang'shui'ping
海王天枰,hai'wang'tian'ping
海王天蝎,hai'wang'tian'xie
亥未,hai'wei
亥阴,hai'yin
亥月,hai'yue
亥子,hai'zi
亥子丑人见寅为孤见戌为寡,hai'zi'chou'ren'jian'yin'wei'gu'jian'xu'wei'gua
韩昌黎集,han'chang'li'ji
含弘光大,han'hong'guang'da
寒泉之食,han'quan'zhi'shi
汉儒通义,han'ru'tong'yi
汉上易传,han'shang'yi'zhuan
韩诗外传,han'shi'wai'zhuan
寒暑相推而岁成焉,han'shu'xiang'tui'er'sui'cheng'yan
汉唐佛教思想论集,han'tang'fo'jiao'si'xiang'lun'ji
含万物而化光,han'wan'wu'er'hua'guang
汉魏西晋南北朝佛教史,han'wei'xi'jin'nan'bei'chao'fo'jiao'shi
汉学商兑,han'xue'shang'dui
含章,han'zhang
含章可贞,han'zhang'ke'zhen
含之,han'zhi
汉志,han'zhi
好遁,hao'dun
好遯君子吉小人否,hao'dun'jun'zi'ji'xiao'ren'fou
蒿矢,hao'shi
耗泄,hao'xie
合拌,he'ban
合绊,he'ban
何伯斋集,he'bo'zhai'ji
合财,he'cai
和兑,he'dui
和兑之吉,he'dui'zhi'ji
合官,he'guan
合贵,he'gui
合化,he'hua
何咎,he'jiu
何咎之有,he'jiu'zhi'you
何可长也,he'ke'chang'ye
何可久也,he'ke'jiu'ye
河魁,he'kui
合禄,he'lu
合马,he'ma
河南程氏遗书,he'nan'cheng'shi'yi'shu
合起,he'qi
合刃,he'ren
合煞,he'sha
合杀留官,he'sha'liu'guan
鹤山全集,he'shan'quan'ji
合伤,he'shang
合食,he'shi
何天之衢,he'tian'zhi'qu
何天之衢道大行也,he'tian'zhi'qu'dao'da'xing'ye
河图,he'tu
何校灭耳,he'xiao'mie'er
何校滅耳聰不明也,he'xiao'mie'er'cong'bu'ming'ye
何心隐集,he'xin'yin'ji
何以聚人曰财,he'yi'ju'ren'yue'cai
何以守位曰仁,he'yi'shou'wei'yue'ren
黑格尔理则学简述,hei'ge'er'li'ze'xue'jian'shu
恒卦,heng'gua
恆亨无咎,heng'heng'wu'jiu
恒亨无咎,heng'heng'wu'jiu
恆亨无咎利貞,heng'heng'wu'jiu'li'zhen
恒久而不已也,heng'jiu'er'bu'yi'ye
横浦文集,heng'pu'wen'ji
横浦心传,heng'pu'xin'chuan
恆其德貞,heng'qi'de'zhen
衡书,heng'shu
亨者,heng'zhe
亨者嘉之會也,heng'zhe'jia'zhi'kuai'ye
恒者久也,heng'zhe'jiu'ye
洪范,hong'fan
洪范皇极,hong'fan'huang'ji
鸿渐于干,hong'jian'yu'gan
