艾慈灸,ai'ci'jiu
客观表现,ke'guan'biao'xian
咳黄色痰,ke'huang'se'tan
可见出血灶,ke'jian'chu'xie'zao
科教办,ke'jiao'ban
咳少许白痰,ke'shao'xu'bai'tan
咳少许黄痰,ke'shao'xu'huang'tan
咳嗽,ke'sou
咳痰,ke'tan
可下床行走,ke'xia'chuang'xing'zou
可行走,ke'xing'zou
咳血,ke'xue
可有,ke'you
可有头晕,ke'you'tou'yun
可自行缓解,ke'zi'xing'huan'jie
空腹,kong'fu
恐惧,kong'ju
空气不足,kong'qi'bu'zu
空气栓塞,kong'qi'shuan'se
控制入液速度,kong'zhi'ru'ye'su'du
控制心率,kong'zhi'xin'lv
控制血糖,kong'zhi'xue'tang
控制血压,kong'zhi'xue'ya
控制炎症扩散,kong'zhi'yan'zheng'kuo'san
口唇红润,kou'chun'hong'run
口唇无发绀,kou'chun'wu'fa'gan
口服,kou'fu
叩鼓音,kou'gu'yin
叩击,kou'ji
口角明显向右歪斜,kou'jue'ming'xian'xiang'you'wai'xie
口角明显向左歪斜,kou'jue'ming'xian'xiang'zuo'wai'xie
口角歪斜,kou'jue'wai'xie
口角无歪斜,kou'jue'wu'wai'xie
口角右歪,kou'jue'you'wai
口角左歪,kou'jue'zuo'wai
口腔护理,kou'qiang'hu'li
口腔科,kou'qiang'ke
快速动眼期,kuai'su'dong'yan'qi
溃烂,kui'lan
昆虫隔离,kun'chong'ge'li
扩管,kuo'guan
来我院就诊,lai'wo'yuan'jiu'zhen
劳力性呼吸困难,lao'li'xing'hu'xi'kun'nan
老年男性,lao'nian'nan'xing
老年女性,lao'nian'nv'xing
落枕,lao'zhen
乐果,le'guo
类风湿因子,lei'feng'shi'yin'zi
肋下未触及,lei'xia'wei'chu'ji
冷疗,leng'liao
冷霜,leng'shuang
痢疾,li'ji
立即,li'ji
里急后重,li'ji'hou'zhong
理疗,li'liao
利尿,li'niao
利尿效果,li'niao'xiao'guo
利尿作用,li'niao'zuo'yong
立位时,li'wei'shi
粒细胞集落刺激因子,li'xi'bao'ji'luo'ci'ji'yin'zi
离院时,li'yuan'shi
联用,lian'yong
两肺叩诊清音,liang'fei'kou'zhen'qing'yin
了解胰腺内分泌功能,liao'jie'yi'xian'nei'fen'mi'gong'neng
淋巴结,lin'ba'jie
林格,lin'ge
磷化锌,lin'hua'xin
淋球菌,lin'qiu'jun
临时医嘱,lin'shi'yi'zhu
淋浴,lin'yu
临终,lin'zhong
临终关怀,lin'zhong'guan'huai
流鼻涕,liu'bi'ti
流产,liu'chan
流感,liu'gan
流泪,liu'lei
流脓涕,liu'nong'ti
流涕,liu'ti
流行性感冒,liu'xing'xing'gan'mao
留置导尿,liu'zhi'dao'niao
留置尿管,liu'zhi'niao'guan
露齿,lu'chi
颅高压表现,lu'gao'ya'biao'xian
颅骨牵引,lu'gu'qian'yin
颅内压,lu'nei'ya
颅内占位病变,lu'nei'zhan'wei'bing'bian
颅神经无异常,lu'shen'jing'wu'yi'chang
轮替试验,lun'ti'shi'yan
绿色痰,lv'se'tan
麻痹,ma'bi
麻疹,ma'zhen
麻醉前给药,ma'zui'qian'gei'yao
脉搏,mai'bo
脉搏短绌,mai'bo'duan'chu
脉搏暂停,mai'bo'zan'ting
脉律,mai'lv
慢性病程,man'xing'bing'cheng
慢性丙型肝炎,man'xing'bing'xing'gan'yan
慢性肾衰竭,man'xing'shen'shuai'jie
慢性胃炎,man'xing'wei'yan
慢性心力衰竭,man'xing'xin'li'shuai'jie
慢性炎症,man'xing'yan'zheng
满意,man'yi
盲点,mang'dian
毛发分布正常,mao'fa'fen'bu'zheng'chang
每次持续,mei'ci'chi'xu
每次发作,mei'ci'fa'zuo
梅毒螺旋体,mei'du'luo'xuan'ti
梅尼埃病,mei'ni'ai'bing
每日次,mei'ri'ci
每晚,mei'wan
每小时次,mei'xiao'shi'ci
门诊拟,men'zhen'ni
门诊以,men'zhen'yi
梦遗,meng'yi
梦游,meng'you
梦游症,meng'you'zheng
糜烂,mi'lan
弥漫性,mi'man'xing
弥漫性红斑,mi'man'xing'hong'ban
泌尿外科,mi'niao'wai'ke
泌尿系,mi'niao'xi
面部,mian'bu
面部疼痛,mian'bu'teng'tong
棉签,mian'qian
面容正常,mian'rong'zheng'chang
面色苍白,mian'se'cang'bai
面色稍苍白,mian'se'shao'cang'bai
面色正常,mian'se'zheng'chang
面神经麻痹,mian'shen'jing'ma'bi
面神经炎,mian'shen'jing'yan
面瘫,mian'tan
免疫球蛋白,mian'yi'qiu'dan'bai
免疫五项,mian'yi'wu'xiang
灭菌,mie'jun
灭鼠药,mie'shu'yao
明确病因,ming'que'bing'yin
明确诊断,ming'que'zhen'duan
明显不适,ming'xian'bu'shi
明显加重,ming'xian'jia'zhong
明显异常,ming'xian'yi'chang
漠不关心,mo'bu'guan'xin
末次月经时间,mo'ci'yue'jing'shi'jian
莫非氏征,mo'fei'shi'zheng
末梢神经病,mo'shao'shen'jing'bing
纳差,na'cha
脑出血,nao'chu'xue
脑动脉硬化,nao'dong'mai'ying'hua
脑脊液常规,nao'ji'ye'chang'gui
脑脊液生化糖,nao'ji'ye'sheng'hua'tang
脑脊液细胞学检查,nao'ji'ye'xi'bao'xue'jian'cha
脑水肿,nao'shui'zhong
脑死亡,nao'si'wang
脑血管病,nao'xue'guan'bing
脑中风,nao'zhong'feng
内分泌科,nei'fen'mi'ke
内服,nei'fu
内科,nei'ke
内科学,nei'ke'xue
内向,nei'xiang
内一科会诊,nei'yi'ke'hui'zhen
能耐受,neng'nai'shou
能自主运动,neng'zi'zhu'yun'dong
拟查,ni'cha
拟今日行,ni'jin'ri'xing
拟明日,ni'ming'ri
泥样便,ni'yang'bian
年老体弱,nian'lao'ti'ruo
粘液便,nian'ye'bian
粘液脓血便,nian'ye'nong'xue'bian
粘液样便,nian'ye'yang'bian
尿崩,niao'beng
尿闭,niao'bi
尿常规,niao'chang'gui
尿道,niao'dao
尿急,niao'ji
尿皮质醇,niao'pi'zhi'chun
尿频,niao'pin
尿渗透压,niao'shen'tou'ya
尿失禁,niao'shi'jin
尿素氮,niao'su'dan
尿酸,niao'suan
尿痛,niao'tong
尿微量白蛋白,niao'wei'liang'bai'dan'bai
尿血,niao'xie
尿液,niao'ye
尿意,niao'yi
尿潴留,niao'zhu'liu
镊子,nie'zi
凝血功能,ning'xue'gong'neng
凝血因子,ning'xue'yin'zi
扭伤,niu'shang
脓泡,nong'pao
浓痰,nong'tan
脓性痰,nong'xing'tan
疟疾,nue'ji
女病人,nv'bing'ren
呕吐,ou'tu
呕吐隔夜宿食,ou'tu'ge'ye'su'shi
呕吐数次,ou'tu'shu'ci
呕吐胃内容物,ou'tu'wei'nei'rong'wu
呕吐胃内容物数次,ou'tu'wei'nei'rong'wu'shu'ci
呕吐物,ou'tu'wu
呕吐物为,ou'tu'wu'wei
呕吐物为胃内容物,ou'tu'wu'wei'wei'nei'rong'wu
呕血,ou'xue
偶有,ou'you
怕光,pa'guang
排便失禁,pai'bian'shi'jin
排除相关疾病,pai'chu'xiang'guan'ji'bing
排尿,pai'niao
排尿困难,pai'niao'kun'nan
排尿异常,pai'niao'yi'chang
排气,pai'qi
排小便困难,pai'xiao'bian'kun'nan
排泄物,pai'xie'wu
排泄异常,pai'xie'yi'chang
蹒跚,pan'shan
膀胱,pang'guang
膀胱癌,pang'guang'ai
膀胱刺激征,pang'guang'ci'ji'zheng
膀胱区,pang'guang'qu
泡沫状痰,pao'mo'zhuang'tan
配成,pei'cheng
配合,pei'he
配偶及子女,pei'ou'ji'zi'nv
喷雾剂,pen'wu'ji
皮肤,pi'fu
皮肤科,pi'fu'ke
皮肤溃疡,pi'fu'kui'yang
皮肤粘膜,pi'fu'nian'mo
脾功能亢进,pi'gong'neng'kang'jin
疲劳,pi'lao
皮内注射,pi'nei'zhu'she
皮试,pi'shi
皮下注射,pi'xia'zhu'she
脾约,pi'yue
脾脏肋下未触及,pi'zang'lei'xia'wei'chu'ji
皮疹,pi'zhen
片剂,pian'ji
偏瘫程度较重,pian'tan'cheng'du'jiao'zhong
偏头痛,pian'tou'tong
贫血貌,pin'xue'mao
平喘,ping'chuan
平均,ping'jun
平卧,ping'wo
普工,pu'gong
葡萄糖盐水,pu'tao'tang'yan'shui
普通外科,pu'tong'wai'ke
普外,pu'wai
起病以来,qi'bing'yi'lai
气喘,qi'chuan
起床时出现,qi'chuang'shi'chu'xian
脐带脱垂,qi'dai'tuo'chui
气功,qi'gong
气管居中,qi'guan'ju'zhong
其后,qi'hou
奇脉,qi'mai
其他治疗不变,qi'ta'zhi'liao'bu'bian
脐周,qi'zhou
前额部,qian'e'bu
前额部疼痛,qian'e'bu'teng'tong
浅昏迷,qian'hun'mi
千克,qian'ke
牵连痛,qian'lian'tong
前列地尔,qian'lie'di'er
前庭神经元炎,qian'ting'shen'jing'yuan'yan
前头部痛,qian'tou'bu'tong
牵引,qian'yin
抢救,qiang'jiu
强烈收缩,qiang'lie'shou'suo
强心,qiang'xin
强制戒毒,qiang'zhi'jie'du
侵权行为,qin'quan'xing'wei
侵入人体,qin'ru'ren'ti
清除,qing'chu
轻度咳嗽,qing'du'ke'sou
轻度损害,qing'du'sun'hai
青光眼,qing'guang'yan
氰化物,qing'hua'wu
清理呼吸道,qing'li'hu'xi'dao
青年男性,qing'nian'nan'xing
青年女性,qing'nian'nv'xing
清水样鼻涕,qing'shui'yang'bi'ti
轻松,qing'song
情绪不稳定,qing'xu'bu'wen'ding
情绪佳,qing'xu'jia
轻压痛,qing'ya'tong
丘疹,qiu'zhen
屈膝仰卧位,qu'xi'yang'wo'wei
取药,qu'yao
去枕平卧,qu'zhen'ping'wo
全腹柔软,quan'fu'rou'ruan
权利,quan'li
全麻未醒,quan'ma'wei'xing
全面,quan'mian
全身出汗,quan'shen'chu'han
全身皮肤及巩膜,quan'shen'pi'fu'ji'gong'mo
全身皮肤及巩膜无黄染,quan'shen'pi'fu'ji'gong'mo'wu'huang'ran
全身浅表淋巴结,quan'shen'qian'biao'lin'ba'jie
全身浅表淋巴结无肿大,quan'shen'qian'biao'lin'ba'jie'wu'zhong'da
全身酸痛,quan'shen'suan'tong
全血黏度,quan'xue'nian'du
雀斑,que'ban
缺损,que'sun
缺血性卒中,que'xue'xing'cu'zhong
缺氧,que'yang
缺药,que'yao
桡骨膜反射,rao'gu'mo'fan'she
热敷贴,re'fu'tie
热疗,re'liao
热水袋,re'shui'dai
热水瓶,re'shui'ping
热型,re'xing
热型不规则,re'xing'bu'gui'ze
人工呼吸,ren'gong'hu'xi
人工流产,ren'gong'liu'chan
妊娠,ren'shen
妊娠剧吐,ren'shen'ju'tu
仍感,reng'gan
仍有,reng'you
仍有发热,reng'you'fa're
溶血,rong'xue
溶液,rong'ye
溶液剂,rong'ye'ji
肉芽组织,rou'ya'zu'zhi
如出现,ru'chu'xian
乳剂,ru'ji
入睡,ru'shui
乳酸,ru'suan
乳酸脱氢酶,ru'suan'tuo'qing'mei
入液,ru'ye
入院,ru'yuan
入院查体,ru'yuan'cha'ti
入院程序,ru'yuan'cheng'xu
入院后,ru'yuan'hou
入院后完善相关检查,ru'yuan'hou'wan'shan'xiang'guan'jian'cha
入院后予,ru'yuan'hou'yu
软便,ruan'bian
软膏剂,ruan'gao'ji
软组织,ruan'zu'zhi
软组织损伤,ruan'zu'zhi'sun'shang
三餐前血糖,san'can'qian'xue'tang
三查七对,san'cha'qi'dui
散剂,san'ji
三级护理,san'ji'hu'li
三联律,san'lian'lv
散在,san'zai
瘙痒,sao'yang
杀灭芽胞,sha'mie'ya'bao
砂眼,sha'yan
上腹,shang'fu
上腹不适,shang'fu'bu'shi
上腹部疼痛,shang'fu'bu'teng'tong
上腹痛,shang'fu'tong
伤寒,shang'han
尚好,shang'hao
上呼吸道感染,shang'hu'xi'dao'gan'ran
上级医院,shang'ji'yi'yuan
上皮细胞,shang'pi'xi'bao
伤食,shang'shi
上述症状,shang'shu'zheng'zhuang
上述症状加重,shang'shu'zheng'zhuang'jia'zhong
尚未明确,shang'wei'ming'que
上午,shang'wu
上下楼梯时,shang'xia'lou'ti'shi
上组用法,shang'zu'yong'fa
少白细胞红细胞,shao'bai'xi'bao'hong'xi'bao
稍感恶心,shao'gan'e'xin
稍感麻木,shao'gan'ma'mu
稍感头晕,shao'gan'tou'yun
稍减轻,shao'jian'qing
稍扩大,shao'kuo'da
少尿,shao'niao
烧伤,shao'shang
稍有,shao'you
社会,she'hui
射精,she'jing
社区卫生服务站,she'qu'wei'sheng'fu'wu'zhan
社区卫生服务中心,she'qu'wei'sheng'fu'wu'zhong'xin
渗出,shen'chu
深度,shen'du
深感觉正常,shen'gan'jue'zheng'chang
肾功能,shen'gong'neng
深呼吸,shen'hu'xi
深昏迷,shen'hun'mi
神经传导速度,shen'jing'chuan'dao'su'du
神经根性痛,shen'jing'gen'xing'tong
深静脉,shen'jing'mai
神经末梢,shen'jing'mo'shao
神经内科,shen'jing'nei'ke
神经衰弱,shen'jing'shuai'ruo
神经痛,shen'jing'tong
神经系统,shen'jing'xi'tong
神经系统无异常体征,shen'jing'xi'tong'wu'yi'chang'ti'zheng
神经质,shen'jing'zhi
伸舌居中,shen'she'ju'zhong
伸舌右偏,shen'she'you'pian
伸舌左偏,shen'she'zuo'pian
渗透性,shen'tou'xing
慎用,shen'yong
神志,shen'zhi
神志不清,shen'zhi'bu'qing
神志错乱,shen'zhi'cuo'luan
神志模糊,shen'zhi'mo'hu
神志清楚,shen'zhi'qing'chu
神志清醒,shen'zhi'qing'xing
升白细胞,sheng'bai'xi'bao
生理,sheng'li
生命体征,sheng'ming'ti'zheng
生命体征平稳,sheng'ming'ti'zheng'ping'wen
生命体征正常,sheng'ming'ti'zheng'zheng'chang
生命征正常,sheng'ming'zheng'zheng'chang
升血压,sheng'xue'ya
生长激素,sheng'zhang'ji'su
尸斑,shi'ban
时伴,shi'ban
示齿时,shi'chi'shi
适当限制补液量,shi'dang'xian'zhi'bu'ye'liang
适当限制液体量,shi'dang'xian'zhi'ye'ti'liang
十二指肠引流,shi'er'zhi'chang'yin'liu
石膏,shi'gao
湿化,shi'hua
尸僵,shi'jiang
尸冷,shi'leng
视力减退,shi'li'jian'tui
视力丧失,shi'li'sang'shi
适量,shi'liang
食疗,shi'liao
湿啰音,shi'luo'yin
失眠,shi'mian
失眠症,shi'mian'zheng
失明,shi'ming
食入即吐,shi'ru'ji'tu
嗜睡,shi'shui
食物常滞留于,shi'wu'chang'zhi'liu'yu
视物模糊,shi'wu'mo'hu
视物旋转,shi'wu'xuan'zhuan
湿性啰音,shi'xing'luo'yin
室性心律失常,shi'xing'xin'lv'shi'chang
时许,shi'xu
实音,shi'yin
时有,shi'you
食欲不振,shi'yu'bu'zhen
食欲减退,shi'yu'jian'tui
食欲亢进,shi'yu'kang'jin
食欲旺盛,shi'yu'wang'sheng
湿疹,shi'zhen
收入我科进一步治疗,shou'ru'wo'ke'jin'yi'bu'zhi'liao
收入院,shou'ru'yuan
瘦弱,shou'ruo
手术,shou'shu
手术记录,shou'shu'ji'lu
手术室,shou'shu'shi
受体阻断剂,shou'ti'zu'duan'ji
收住我科,shou'zhu'wo'ke
收住院,shou'zhu'yuan
术后,shu'hou
术后用药,shu'hou'yong'yao
疏忽大意,shu'hu'da'yi
数目,shu'mu
舒适,shu'shi
舒适性,shu'shi'xing
数天,shu'tian
数小时,shu'xiao'shi
输血,shu'xue
输血传染病,shu'xue'chuan'ran'bing
输血反应,shu'xue'fan'ying
输血治疗,shu'xue'zhi'liao
输液反应,shu'ye'fan'ying
栓剂,shuan'ji
双扁桃体,shuang'bian'tao'ti
双侧扁桃体无肿大,shuang'ce'bian'tao'ti'wu'zhong'da
双侧扁桃体肿大,shuang'ce'bian'tao'ti'zhong'da
双侧颞部,shuang'ce'nie'bu
双侧瞳孔等大等圆,shuang'ce'tong'kong'deng'da'deng'yuan
双侧枕部,shuang'ce'zhen'bu
双侧指鼻试验正常,shuang'ce'zhi'bi'shi'yan'zheng'chang
双耳听力粗测正常,shuang'er'ting'li'cu'ce'zheng'chang
双肺,shuang'fei
双肺呼吸音清,shuang'fei'hu'xi'yin'qing
双肺可闻及,shuang'fei'ke'wen'ji
双颈总动脉粥样硬化,shuang'jing'zong'dong'mai'zhou'yang'ying'hua
双颞部,shuang'nie'bu
双上肢,shuang'shang'zhi
双上肢肌力,shuang'shang'zhi'ji'li
双肾区,shuang'shen'qu
双肾区无叩击痛,shuang'shen'qu'wu'kou'ji'tong
双手,shuang'shou
双手搐搦,shuang'shou'chu'nuo
双下肢,shuang'xia'zhi
双下肢乏力,shuang'xia'zhi'fa'li
双下肢肌力,shuang'xia'zhi'ji'li
双下肢较明显,shuang'xia'zhi'jiao'ming'xian
双下肢酸痛,shuang'xia'zhi'suan'tong
双下肢无水肿,shuang'xia'zhi'wu'shui'zhong
双眼,shuang'yan
水电解质紊乱,shui'dian'jie'zhi'wen'luan
水痘,shui'dou
水分,shui'fen
睡眠,shui'mian
睡眠不足,shui'mian'bu'zu
睡眠呼吸暂停,shui'mian'hu'xi'zan'ting
睡眠较好,shui'mian'jiao'hao
水泡,shui'pao
睡前,shui'qian
睡醒,shui'xing
水样便,shui'yang'bian
水肿,shui'zhong
水中毒,shui'zhong'du
说话不清,shuo'hua'bu'qing
撕裂样痛,si'lie'yang'tong
思维欠清,si'wei'qian'qing
思维欠清晰,si'wei'qian'qing'xi
思维清晰,si'wei'qing'xi
四肢乏力,si'zhi'fa'li
四肢肌力,si'zhi'ji'li
四肢肌张力,si'zhi'ji'zhang'li
四肢肌张力正常,si'zhi'ji'zhang'li'zheng'chang
四肢轮扎,si'zhi'lun'zha
四肢麻木,si'zhi'ma'mu
四肢末梢,si'zhi'mo'shao
四肢无畸形,si'zhi'wu'ji'xing
四肢无力,si'zhi'wu'li
松弛,song'chi
宋主任,song'zhu'ren
速度,su'du
随后,sui'hou
随后出现,sui'hou'chu'xian
遂来我院就诊,sui'lai'wo'yuan'jiu'zhen
遂收入院治疗,sui'shou'ru'yuan'zhi'liao
遂于今日来我院就诊,sui'yu'jin'ri'lai'wo'yuan'jiu'zhen
随诊,sui'zhen
所致,suo'zhi
太极拳,tai'ji'quan
胎膜早破,tai'mo'zao'po
胎位不正,tai'wei'bu'zheng
探查,tan'cha
瘫痪,tan'huan
叹息,tan'xi
糖浆剂,tang'jiang'ji
糖耐量实验,tang'nai'liang'shi'yan
糖尿病,tang'niao'bing
糖尿病肾病,tang'niao'bing'shen'bing
糖尿病周围神经病变,tang'niao'bing'zhou'wei'shen'jing'bing'bian
烫伤,tang'shang
糖水,tang'shui
特别,te'bie
特发性面神经麻痹,te'fa'xing'mian'shen'jing'ma'bi
特级护理,te'ji'hu'li
特殊嗜好,te'shu'shi'hao
特性,te'xing
疼痛,teng'tong
体弱女性,ti'ruo'nv'xing
体位改变时,ti'wei'gai'bian'shi
体位改变时明显加重,ti'wei'gai'bian'shi'ming'xian'jia'zhong
体位引流,ti'wei'yin'liu
体温,ti'wen
体温不升,ti'wen'bu'sheng
体温达,ti'wen'da
体温过低,ti'wen'guo'di
体温过高,ti'wen'guo'gao
体液,ti'ye
体液隔离,ti'ye'ge'li
体质虚弱,ti'zhi'xu'ruo
体重减少,ti'zhong'jian'shao
体重明显下降,ti'zhong'ming'xian'xia'jiang
体重为,ti'zhong'wei
体重增加,ti'zhong'zeng'jia
调减,tiao'jian
调节机体酸碱度,tiao'jie'ji'ti'suan'jian'du
调节免疫,tiao'jie'mian'yi
调脂,tiao'zhi
铁锈色痰,tie'xiu'se'tan
停测,ting'ce
停经,ting'jing
听觉过敏,ting'jue'guo'min
听觉稍增强,ting'jue'shao'zeng'qiang
听力减退,ting'li'jian'tui
听力下降,ting'li'xia'jiang
停药,ting'yao
停用,ting'yong
听诊器,ting'zhen'qi
通便,tong'bian
痛风,tong'feng
同工酶,tong'gong'mei
痛经,tong'jing
痛觉减退,tong'jue'jian'tui
瞳孔,tong'kong
瞳孔直径,tong'kong'zhi'jing
铜绿假单胞菌,tong'lv'jia'dan'bao'jun
同意上述诊治,tong'yi'shang'shu'zhen'zhi
头低足高位,tou'di'zu'gao'wei
头发护理,tou'fa'hu'li
头高足低位,tou'gao'zu'di'wei
头颅无畸形,tou'lu'wu'ji'xing
头皮屑,tou'pi'xie
头痛,tou'tong
头晕,tou'yun
头晕程度重,tou'yun'cheng'du'zhong
吐词,tu'ci
吐词不清,tu'ci'bu'qing
吐词含糊,tu'ci'han'hu
吐词欠清,tu'ci'qian'qing
吐词欠清晰,tu'ci'qian'qing'xi
吐词清晰,tu'ci'qing'xi
图书馆,tu'shu'guan
秃头,tu'tou
团委,tuan'wei
推拿,tui'na
退热,tui're
臀部,tun'bu
吞咽,tun'yan
吞咽困难,tun'yan'kun'nan
脱肛,tuo'gang
脱臼,tuo'jiu
脱落细胞,tuo'luo'xi'bao
脱毛,tuo'mao
外耳道无分泌物,wai'er'dao'wu'fen'mi'wu
外科,wai'ke
外科学,wai'ke'xue
外向,wai'xiang
外用,wai'yong
外周血管收缩,wai'zhou'xue'guan'shou'suo
外周阻力,wai'zhou'zu'li
丸剂,wan'ji
晚间护理,wan'jian'hu'li
胃癌,wei'ai
未测体温,wei'ce'ti'wen
胃肠道疾病,wei'chang'dao'ji'bing
胃肠道痉挛,wei'chang'dao'jing'luan
胃肠外科,wei'chang'wai'ke
胃肠造影,wei'chang'zao'ying
胃肠胀气,wei'chang'zhang'qi
畏光,wei'guang
未规范治疗,wei'gui'fan'zhi'liao
畏寒,wei'han
胃镜,wei'jing
味觉障碍,wei'jue'zhang'ai
微克,wei'ke
胃纳,wei'na
胃内容物,wei'nei'rong'wu
微生物,wei'sheng'wu
未诉,wei'su
未探及,wei'tan'ji
未闻及,wei'wen'ji
未闻及病理性杂音,wei'wen'ji'bing'li'xing'za'yin
未闻及干湿性啰音,wei'wen'ji'gan'shi'xing'luo'yin
危险期,wei'xian'qi
危险三角区,wei'xian'san'jiao'qu
未引出,wei'yin'chu
未予诊治,wei'yu'zhen'zhi
未予重视,wei'yu'zhong'shi
未予重视及处理,wei'yu'zhong'shi'ji'chu'li
胃胀,wei'zhang
未诊治,wei'zhen'zhi
为主,wei'zhu
温度,wen'du
温水擦浴,wen'shui'ca'yu
卧位时,wo'wei'shi
我院,wo'yuan
无鼻塞,wu'bi'se
无大小便失禁,wu'da'xiao'bian'shi'jin
戊二醛,wu'er'quan
无发热,wu'fa're
无腹痛,wu'fu'tong
无共济失调,wu'gong'ji'shi'tiao
五官科,wu'guan'ke
无好转,wu'hao'zhuan
雾化,wu'hua
雾化吸入,wu'hua'xi'ru
无黄染,wu'huang'ran
无进展,wu'jin'zhan
无菌,wu'jun
无菌操作,wu'jun'cao'zuo
无菌技术,wu'jun'ji'shu
无菌区域,wu'jun'qu'yu
无菌物品,wu'jun'wu'pin
无菌原则,wu'jun'yuan'ze
无咖啡样物,wu'ka'fei'yang'wu
无咳嗽,wu'ke'sou
无力,wu'li
无力及抽搐,wu'li'ji'chou'chu
无里急后重,wu'li'ji'hou'zhong
无明显,wu'ming'xian
无明显不适,wu'ming'xian'bu'shi
无明显发作诱因,wu'ming'xian'fa'zuo'you'yin
无明显粘液及血液,wu'ming'xian'nian'ye'ji'xue'ye
无明显先兆,wu'ming'xian'xian'zhao
无明显异常,wu'ming'xian'yi'chang
无明显诱因,wu'ming'xian'you'yin
无明显诱因出现,wu'ming'xian'you'yin'chu'xian
无粘液及血液,wu'nian'ye'ji'xue'ye
无尿,wu'niao
无呕吐,wu'ou'tu
无其它不适,wu'qi'ta'bu'shi
污染,wu'ran
无神经系统定位体征,wu'shen'jing'xi'tong'ding'wei'ti'zheng
无视物模糊,wu'shi'wu'mo'hu
无食欲,wu'shi'yu
无头部压迫感,wu'tou'bu'ya'po'gan
无头晕,wu'tou'yun
无畏寒发热,wu'wei'han'fa're
无心慌,wu'xin'huang
无胸闷,wu'xiong'men
无血管杂音,wu'xue'guan'za'yin
无血液,wu'xue'ye
无压痛,wu'ya'tong
无眼震,wu'yan'zhen
无意识障碍,wu'yi'shi'zhang'ai
无月经,wu'yue'jing
无肢体抽搐,wu'zhi'ti'chou'chu
无肢体麻木,wu'zhi'ti'ma'mu
无肢体麻木无力,wu'zhi'ti'ma'mu'wu'li
无肢体无力,wu'zhi'ti'wu'li
无肿大,wu'zhong'da
西地兰,xi'di'lan
吸毒史,xi'du'shi
膝反射,xi'fan'she
洗剂,xi'ji
细菌培养,xi'jun'pei'yang
细菌污染,xi'jun'wu'ran
细菌性痢疾,xi'jun'xing'li'ji
细菌芽胞,xi'jun'ya'bao
吸入,xi'ru
稀释,xi'shi
稀水样大便,xi'shui'yang'da'bian
吸痰器,xi'tan'qi
系统,xi'tong
洗胃,xi'wei
膝胸卧位,xi'xiong'wo'wei
洗眼剂,xi'yan'ji
吸氧,xi'yang
吸氧导管,xi'yang'dao'guan
下腹部疼痛,xia'fu'bu'teng'tong
夏季热,xia'ji're
下腔静脉,xia'qiang'jing'mai
下午,xia'wu
下肢酸痛,xia'zhi'suan'tong
现病史,xian'bing'shi
腺苷脱氨酸,xian'gan'tuo'an'suan
现患者,xian'huan'zhe
现在,xian'zai
限制补液量,xian'zhi'bu'ye'liang
限制入液速度,xian'zhi'ru'ye'su'du
限制液体量,xian'zhi'ye'ti'liang
相关疾病,xiang'guan'ji'bing
向家属告知病情,xiang'jia'shu'gao'zhi'bing'qing
小便困难,xiao'bian'kun'nan
小便失禁,xiao'bian'shi'jin
小便正常,xiao'bian'zheng'chang
消除,xiao'chu
消毒,xiao'du
消毒隔离制度,xiao'du'ge'li'zhi'du
消化,xiao'hua
消化不良,xiao'hua'bu'liang
小剂量,xiao'ji'liang
消渴,xiao'ke
哮鸣音,xiao'ming'yin
斜视,xie'shi
歇斯底里,xie'si'di'li
心包积液,xin'bao'ji'ye
心电监护显示,xin'dian'jian'hu'xian'shi
心电图,xin'dian'tu
心动过缓,xin'dong'guo'huan
心动过速,xin'dong'guo'su
心房,xin'fang
心房颤抖,xin'fang'chan'dou
心肺复苏,xin'fei'fu'su
心肺腹未见异常,xin'fei'fu'wei'jian'yi'chang
心肺听诊,xin'fei'ting'zhen
心肝肾功能,xin'gan'shen'gong'neng
心功能,xin'gong'neng
心慌,xin'huang
心悸,xin'ji
心肌收缩,xin'ji'shou'suo
心尖搏动正常,xin'jian'bo'dong'zheng'chang
心绞痛,xin'jiao'tong
心理,xin'li
心率,xin'lv
心律规整,xin'lv'gui'zheng
心律齐,xin'lv'qi
心律失常,xin'lv'shi'chang
心前区,xin'qian'qu
心前区疼痛,xin'qian'qu'teng'tong
心前区无隆起,xin'qian'qu'wu'long'qi
心室,xin'shi
心衰,xin'shuai
心痛,xin'tong
心血管内科,xin'xue'guan'nei'ke
心音正常,xin'yin'zheng'chang
心源性脑栓塞,xin'yuan'xing'nao'shuan'sai
心源性休克,xin'yuan'xing'xiu'ke
心脏瓣膜病,xin'zang'ban'mo'bing
心脏各瓣膜听诊区,xin'zang'ge'ban'mo'ting'zhen'qu
心灼热,xin'zhuo're
心浊音界正常,xin'zhuo'yin'jie'zheng'chang
擤鼻涕,xing'bi'ti
性病,xing'bing
行走不稳,xing'zou'bu'wen
行走困难,xing'zou'kun'nan
胸腹盆腔,xiong'fu'pen'qiang
胸骨后疼痛,xiong'gu'hou'teng'tong
胸闷,xiong'men
胸膜炎,xiong'mo'yan
胸腔穿刺,xiong'qiang'chuan'ci
胸水,xiong'shui
胸痛,xiong'tong
胸外按压,xiong'wai'an'ya
休克,xiu'ke
休息,xiu'xi
需查,xu'cha
虚脱,xu'tuo
需要时,xu'yao'shi
眩晕,xuan'yun
血氨,xue'an
血白细胞升高,xue'bai'xi'bao'sheng'gao
血常规,xue'chang'gui
