阿尔贝德拉帕朗地质学院,a'er'bei'de'la'pa'lang'di'zhi'xue'yuan
南锡国立高等电工与机械学校,nan'xi'guo'li'gao'deng'dian'gong'yu'ji'xie'xue'xiao
南锡国立高等矿业学校,nan'xi'guo'li'gao'deng'kuang'ye'xue'xiao
南锡建筑学校,nan'xi'jian'zhu'xue'xiao
南锡经济管理学校,nan'xi'jing'ji'guan'li'xue'xiao
南锡一大,nan'xi'yi'da
尼古拉萨科齐,ni'gu'la'sa'ke'qi
尼斯,ni'si
尼斯大学,ni'si'da'xue
牛头人,niu'tou'ren
诺曼底,nuo'man'di
诺曼底高等商校集团,nuo'man'di'gao'deng'shang'xiao'ji'tuan
女子理工学校,nv'zi'li'gong'xue'xiao
欧洲材料工程工程师学校,ou'zhou'cai'liao'gong'cheng'gong'cheng'shi'xue'xiao
欧洲管理学校,ou'zhou'guan'li'xue'xiao
佩皮尼昂大学,pei'pi'ni'ang'da'xue
蓬皮杜,peng'pi'du
蓬皮杜艺术中心,peng'pi'du'yi'shu'zhong'xin
皮尔卡丹,pi'er'ka'dan
皮卡尔迪,pi'ka'er'di
骗局,pian'ju
普尔潘高等农业学校,pu'er'pan'gao'deng'nong'ye'xue'xiao
普洛旺斯,pu'luo'wang'si
普罗旺斯,pu'luo'wang'si
普瓦提埃,pu'wa'ti'ai
普瓦提埃大学,pu'wa'ti'ai'da'xue
普瓦提埃高等工程师学校,pu'wa'ti'ai'gao'deng'gong'cheng'shi'xue'xiao
企业创建者与领导者学校,qi'ye'chuang'jian'zhe'yu'ling'dao'zhe'xue'xiao
企业信息学院,qi'ye'xin'xi'xue'yuan
企业职业创新行动高等学校,qi'ye'zhi'ye'chuang'xin'xing'dong'gao'deng'xue'xiao
潜水钟与蝴蝶,qian'shui'zhong'yu'hu'die
乔治桑,qiao'zhi'sang
情战弗兰德,qing'zhan'fu'lan'de
全法学联,quan'fa'xue'lian
热带地区农业技术工程师学校,re'dai'di'qu'nong'ye'ji'shu'gong'cheng'shi'xue'xiao
人道报,ren'dao'bao
人细鬼坏,ren'xi'gui'huai
茹依桑若萨商业进修中心,ru'yi'sang'ruo'sa'shang'ye'jin'xiu'zhong'xin
萨科齐,sa'ke'qi
萨特,sa'te
萨瓦大学,sa'wa'da'xue
塞吉蓬图瓦兹大学,sai'ji'peng'tu'wa'zi'da'xue
塞纳河,sai'na'he
散步大道,san'bu'da'dao
塞尚,se'shang
上阿尔萨斯大学,shang'a'er'sa'si'da'xue
尚贝里,shang'bei'li
尚贝里高等商业学校,shang'bei'li'gao'deng'shang'ye'xue'xiao
上诺曼底,shang'nuo'man'di
商业研究与商业行为学院,shang'ye'yan'jiu'yu'shang'ye'xing'wei'xue'yuan
圣路易斯岛,sheng'lu'yi'si'dao
圣玛丽教堂,sheng'ma'li'jiao'tang
圣米歇尔山,sheng'mi'xie'er'shan
圣塞尔南教堂,sheng'sai'er'nan'jiao'tang
圣太田大学,sheng'tai'tian'da'xue
圣太田高等商业学校,sheng'tai'tian'gao'deng'shang'ye'xue'xiao
圣太田国立工程师学校,sheng'tai'tian'guo'li'gong'cheng'shi'xue'xiao
圣太田矿业学校,sheng'tai'tian'kuang'ye'xue'xiao
圣西尔军事学校,sheng'xi'er'jun'shi'xue'xiao
圣心大教堂,sheng'xin'da'jiao'tang
圣贞德大教堂,sheng'zhen'de'da'jiao'tang
斯汤达,si'tang'da
斯特拉斯堡,si'te'la'si'bao
斯特拉斯堡二大,si'te'la'si'bao'er'da
斯特拉斯堡国立高等工艺学校,si'te'la'si'bao'guo'li'gao'deng'gong'yi'xue'xiao
斯特拉斯堡国立水与环境工程学校,si'te'la'si'bao'guo'li'shui'yu'huan'jing'gong'cheng'xue'xiao
斯特拉斯堡国立应用科学学院,si'te'la'si'bao'guo'li'ying'yong'ke'xue'xue'yuan
斯特拉斯堡欧洲高等商业院,si'te'la'si'bao'ou'zhou'gao'deng'shang'ye'yuan
斯特拉斯堡三大,si'te'la'si'bao'san'da
斯特拉斯堡一大,si'te'la'si'bao'yi'da
索邦大学,suo'bang'da'xue
索非亚昂蒂波利斯实用经济管理教研中心,suo'fei'ya'ang'di'bo'li'si'shi'yong'jing'ji'guan'li'jiao'yan'zhong'xin
塔布国立工程师学校,ta'bu'guo'li'gong'cheng'shi'xue'xiao
特鲁瓦高等商业学校,te'lu'wa'gao'deng'shang'ye'xue'xiao
特鲁瓦技术大学,te'lu'wa'ji'shu'da'xue
天主教工艺学院,tian'zhu'jiao'gong'yi'xue'yuan
条件式,tiao'jian'shi
条件式过去时,tiao'jian'shi'guo'qu'shi
条件式现在时,tiao'jian'shi'xian'zai'shi
图尔大学,tu'er'da'xue
图尔普瓦提埃高等商业与经济管理学校集团,tu'er'pu'wa'ti'ai'gao'deng'shang'ye'yu'jing'ji'guan'li'xue'xiao'ji'tuan
图卢兹,tu'lu'zi
图卢兹二大,tu'lu'zi'er'da
图卢兹高等商业学校,tu'lu'zi'gao'deng'shang'ye'xue'xiao
图卢兹国立高等农艺学校,tu'lu'zi'guo'li'gao'deng'nong'yi'xue'xiao
图卢兹国立兽医学校,tu'lu'zi'guo'li'shou'yi'xue'xiao
图卢兹国立应用科学学院,tu'lu'zi'guo'li'ying'yong'ke'xue'xue'yuan
图卢兹国立综合理工学院,tu'lu'zi'guo'li'zong'he'li'gong'xue'yuan
图卢兹三大,tu'lu'zi'san'da
图鲁兹商业管理与信息学学校,tu'lu'zi'shang'ye'guan'li'yu'xin'xi'xue'xue'xiao
图卢兹一大,tu'lu'zi'yi'da
图卢兹政治学院,tu'lu'zi'zheng'zhi'xue'yuan
土伦大学,tu'lun'da'xue
旺代商业管理学校,wang'dai'shang'ye'guan'li'xue'xiao
无价的女人,wu'jia'de'nv'ren
西布列塔尼大学,xi'bu'lie'ta'ni'da'xue
西岱岛,xi'dai'dao
希拉克,xi'la'ke
希露,xi'lu
西南商业进修中心,xi'nan'shang'ye'jin'xiu'zhong'xin
霞慕尼山谷,xia'mu'ni'shan'gu
下诺曼底,xia'nuo'man'di
下诺曼底商业管理学校,xia'nuo'man'di'shang'ye'guan'li'xue'xiao
先过去时,xian'guo'qu'shi
先将来时,xian'jiang'lai'shi
先贤祠,xian'xian'ci
香槟阿登,xiang'bin'a'deng
香奈尔,xiang'nai'er
香颂,xiang'song
香榭丽舍,xiang'xie'li'she
小仲马,xiao'zhong'ma
新古典主义,xin'gu'dian'zhu'yi
新喀里多尼亚大学,xin'ka'li'duo'ni'ya'da'xue
新凯旋门,xin'kai'xuan'men
新桥,xin'qiao
新闻记者培训中心,xin'wen'ji'zhe'pei'xun'zhong'xin
新闻实践学院,xin'wen'shi'jian'xue'yuan
新印象主义,xin'yin'xiang'zhu'yi
行政与管理预备学院,xing'zheng'yu'guan'li'yu'bei'xue'yuan
虚拟式,xu'ni'shi
轩尼诗,xuan'ni'shi
雪铁龙,xue'tie'long
亚历山大三世桥,ya'li'shan'da'san'shi'qiao
亚眠,ya'mian
亚眠大学,ya'mian'da'xue
亚眠皮卡底高等商学校,ya'mian'pi'ka'di'gao'deng'shang'xue'xiao
亚瑟与迷你国,ya'se'yu'mi'ni'guo
阳光法国,yang'guang'fa'guo
野兽主义,ye'shou'zhu'yi
印象主义,yin'xiang'zhu'yi
雨果,yu'guo
愈过去时,yu'guo'qu'shi
缘缘法语,yuan'yuan'fa'yu
云上的日子,yun'shang'de'ri'zi
战斗在法国,zhan'dou'zai'fa'guo
这个杀手不太冷,zhe'ge'sha'shou'bu'tai'leng
直陈式,zhi'chen'shi
直陈式过去将来时,zhi'chen'shi'guo'qu'jiang'lai'shi
直陈式未完成过去时,zhi'chen'shi'wei'wan'cheng'guo'qu'shi
直陈式现在时,zhi'chen'shi'xian'zai'shi
中央大区,zhong'yang'da'qu
中央高原,zhong'yang'gao'yuan
种子与骡子,zhong'zi'yu'luo'zi
左岸,zuo'an
