八音能谐,ba'yin'neng'xie
以与炎帝战於阪泉之野,yi'yu'yan'di'zhan'yu'ban'quan'zhi'ye
异哉,yi'zai
以章明德,yi'zhang'ming'de
以征不享,yi'zheng'bu'xiang
以正中冬,yi'zheng'zhong'dong
以正中秋,yi'zheng'zhong'qiu
以正中夏,yi'zheng'zhong'xia
以至舜七世矣,yi'zhi'shun'qi'shi'yi
益主虞,yi'zhu'yu
禋于六宗,yin'yu'liu'zong
迎日推筴,ying'ri'tui'ce
用特牛礼,yong'te'niu'li
幼而徇齐,you'er'xun'qi
有矜在民间,you'jin'zai'min'jian
幽明之占,you'ming'zhi'zhan
有能典朕三礼,you'neng'dian'zhen'san'li
有能奋庸美尧之事者,you'neng'fen'yong'mei'yao'zhi'shi'zhe
有能使治者,you'neng'shi'zhi'zhe
有土德之瑞,you'tu'de'zhi'rui
禹拜稽首,yu'bai'qi'shou
余并论次,yu'bing'lun'ci
余尝西至空桐,yu'chang'xi'zhi'kong'tong
与蚩尤战於涿鹿之野,yu'chi'you'zhan'yu'zhuo'lu'zhi'ye
予观春秋国语,yu'guan'chun'qiu'guo'yu
予击石拊石,yu'ji'shi'fu'shi
渔雷泽,yu'lei'ze
予牛羊,yu'niu'yang
与琴,yu'qin
欲杀,yu'sha
於是帝尧老,yu'shi'di'yao'lao
於是黄帝乃徵师诸侯,yu'shi'huang'di'nai'zheng'shi'zhu'hou
於是乃权授舜,yu'shi'nai'quan'shou'shun
於是舜归而言於帝,yu'shi'shun'gui'er'yan'yu'di
於是舜乃至於文祖,yu'shi'shun'nai'zhi'yu'wen'zu
於是四门辟,yu'shi'si'men'pi
於是轩辕乃习用干戈,yu'shi'xuan'yuan'nai'xi'yong'gan'ge
於是尧乃试舜五典百官,yu'shi'yao'nai'shi'shun'wu'dian'bai'guan
於是尧乃以二女妻舜以观其内,yu'shi'yao'nai'yi'er'nv'qi'shun'yi'guan'qi'nei
於是尧妻之二女,yu'shi'yao'qi'zhi'er'nv
於是以垂为共工,yu'shi'yi'chui'wei'gong'gong
於是以益为朕虞,yu'shi'yi'yi'wei'zhen'yu
於是禹乃兴九招之乐,yu'shi'yu'nai'xing'jiu'zhao'zhi'le
於是曰,yu'shi'yue
虞舜者,yu'shun'zhe
狱讼者不之丹硃而之舜,yu'song'zhe'bu'zhi'dan'zhu'er'zhi'shun
郁夷东作,yu'yi'dong'zuo
禹亦乃让舜子,yu'yi'nai'rang'shun'zi
爰洎帝喾,yuan'ji'di'ku
远近众功咸兴,yuan'jin'zhong'gong'xian'xing
远佞人,yuan'ning'ren
远人至,yuan'ren'zhi
曰昌仆,yue'chang'pu
岳彊请试之,yue'jiang'qing'shi'zhi
曰可,yue'ke
曰昧谷,yue'mei'gu
曰旸谷,yue'yang'gu
岳应曰,yue'ying'yue
曰幽都,yue'you'dou
曰虞舜,yue'yu'shun
岳曰,yue'yue
在宽,zai'kuan
载时以象天,zai'shi'yi'xiang'tian
载天子旗,zai'tian'zi'qi
葬桥山,zang'qiao'shan
葬於江南九疑,zang'yu'jiang'nan'jiu'yi
择吉月日,ze'ji'yue'ri
则蛮夷率服,ze'man'yi'lv'fu
择其言尤雅者,ze'qi'yan'you'ya'zhe
则受罪,ze'shou'zui
则天下病而丹硃得其利,ze'tian'xia'bing'er'dan'zhu'de'qi'li
则天下得其利而丹硃病,ze'tian'xia'de'qi'li'er'dan'zhu'bing
肇十有二州,zhao'shi'you'er'zhou
召舜曰,zhao'shun'yue
振惊朕众,zhen'jing'zhen'zhong
朕畏忌谗说殄伪,zhen'wei'ji'chan'shuo'tian'wei
朕闻之,zhen'wen'zhi
朕在位七十载,zhen'zai'wei'qi'shi'zai
正月上日,zheng'yue'shang'ri
烝烝治,zheng'zheng'zhi
直而温,zhi'er'wen
至高辛即帝位,zhi'gao'xin'ji'di'wei
知民之急,zhi'min'zhi'ji
治气以教化,zhi'qi'yi'jiao'hua
治五气,zhi'wu'qi
致异物,zhi'yi'wu
至於岱宗,zhi'yu'dai'zong
至于荒服,zhi'yu'huang'fu
至于尧,zhi'yu'yao
至於尧,zhi'yu'yao
至于祖祢庙,zhi'yu'zu'mi'miao
直哉维静絜,zhi'zai'wei'jing'xie
至长老皆各往往称黄帝尧舜之处,zhi'zhang'lao'jie'ge'wang'wang'cheng'huang'di'yao'shun'zhi'chu
置左右大监,zhi'zuo'you'da'jian
众功皆兴,zhong'gong'jie'xing
重华父曰瞽叟,zhong'hua'fu'yue'gu'sou
众皆言於尧曰,zhong'jie'yan'yu'yao'yue
诸侯朝觐者不之丹硃而之舜,zhu'hou'chao'jin'zhe'bu'zhi'dan'zhu'er'zhi'shun
诸侯归之,zhu'hou'gui'zhi
诸侯咸归轩辕,zhu'hou'xian'gui'xuan'yuan
诸侯咸来宾从,zhu'hou'xian'lai'bin'cong
诸侯相侵伐,zhu'hou'xiang'qin'fa
诸侯远方宾客皆敬,zhu'hou'yuan'fang'bin'ke'jie'jing
颛顼崩,zhuan'xu'beng
颛顼父曰昌意,zhuan'xu'fu'yue'chang'yi
颛顼氏有不才子,zhuan'xu'shi'you'bu'cai'zi
自从穷蝉以至帝舜,zi'cong'qiong'chan'yi'zhi'di'shun
自黄帝至舜禹,zi'huang'di'zhi'shun'yu
子孝,zi'xiao
自玄嚣与蟜极皆不得在位,zi'xuan'xiao'yu'jiao'ji'jie'bu'de'zai'wei
自言其名,zi'yan'qi'ming
总之不离古文者近是,zong'zhi'bu'li'gu'wen'zhe'jin'shi
卒乃复,zu'nai'fu
作什器於寿丘,zuo'shi'qi'yu'shou'qiu
