阿兵哥,a'bing'ge
要啦要啦,yao'la'yao'la
要来了吗,yao'lai'le'ma
要来了没,yao'lai'le'mei
要来去,yao'lai'qu
要了啦,yao'le'la
要哪里,yao'na'li
要去了吗,yao'qu'le'ma
要去哪里,yao'qu'na'li
要去哪里玩,yao'qu'na'li'wan
要去哪玩,yao'qu'na'wan
要去厦门,yao'qu'xia'men
要去漳州,yao'qu'zhang'zhou
要上去,yao'shang'qu
夭寿,yao'shou
要睡了啦,yao'shui'le'la
要下去,yao'xia'qu
要下去了,yao'xia'qu'le
夭秀,yao'xiu
要载,yao'zai
夜巴黎,ye'ba'li
椰风寨,ye'feng'zhai
也来去,ye'lai'qu
也是啦,ye'shi'la
也有来,ye'you'lai
也有去,ye'you'qu
野猪林,ye'zhu'lin
艺彬,yi'bin
艺超,yi'chao
艺聪,yi'cong
毅达,yi'da
艺丹,yi'dan
一地板,yi'di'ban
艺端,yi'duan
艺芳,yi'fang
艺芬,yi'fen
艺凤,yi'feng
一个多少,yi'ge'duo'shao
艺红,yi'hong
艺华,yi'hua
艺辉,yi'hui
艺杰,yi'jie
艺娟,yi'juan
艺君,yi'jun
一麻一辣,yi'ma'yi'la
艺萍,yi'ping
一起来去,yi'qi'lai'qu
一七五,yi'qi'wu
艺强,yi'qiang
艺珊,yi'shan
艺伟,yi'wei
一直骂,yi'zhi'ma
一职校,yi'zhi'xiao
勇斌,yong'bin
用打字,yong'da'zi
勇辉,yong'hui
勇杰,yong'jie
用看看,yong'kan'kan
勇强,yong'qiang
用说的,yong'shuo'de
有差吗,you'cha'ma
有吃了,you'chi'le
有吃吗,you'chi'ma
有出来,you'chu'lai
有出去,you'chu'qu
有点名,you'dian'ming
有读,you'du
有读书,you'du'shu
有放假,you'fang'jia
有放假吗,you'fang'jia'ma
有给你,you'gei'ni
有给我,you'gei'wo
有跟你说,you'gen'ni'shuo
有跟他,you'gen'ta
有跟我说,you'gen'wo'shuo
有过去,you'guo'qu
又还没,you'hai'mei
有喝酒,you'he'jiu
有回家,you'hui'jia
有回家吗,you'hui'jia'ma
有回来,you'hui'lai
有回来吗,you'hui'lai'ma
有回去,you'hui'qu
有交,you'jiao
有经过,you'jing'guo
有开,you'kai
有看到你,you'kan'dao'ni
有看到我,you'kan'dao'wo
有看了,you'kan'le
有来嘛,you'lai'ma
又没差,you'mei'cha
有没有回来,you'mei'you'hui'lai
有名堂,you'ming'tang
有钱哈,you'qian'ha
有去,you'qu
有去看,you'qu'kan
有去吗,you'qu'ma
有上班,you'shang'ban
有上班吗,you'shang'ban'ma
有上课,you'shang'ke
有上来,you'shang'lai
有上去,you'shang'qu
有说了,you'shuo'le
有问了,you'wen'le
有下来,you'xia'lai
有下去,you'xia'qu
有下雨,you'xia'yu
有下雨吗,you'xia'yu'ma
有在想,you'zai'xiang
雨很大,yu'hen'da
裕佳,yu'jia
雨那么大,yu'na'me'da
雨这么大,yu'zhe'me'da
鱼旨,yu'zhi
元光,yuan'guang
元光南路,yuan'guang'nan'lu
院前,yuan'qian
圆山,yuan'shan
悦港,yue'gang
悦华,yue'hua
悦华园,yue'hua'yuan
跃辉,yue'hui
云洞,yun'dong
云洞岩,yun'dong'yan
运辉,yun'hui
云陵镇,yun'ling'zhen
云水谣,yun'shui'yao
晕死掉,yun'si'diao
云霄,yun'xiao
云霄的,yun'xiao'de
云霄了,yun'xiao'le
云霄人,yun'xiao'ren
云霄县,yun'xiao'xian
杂母,za'mu
载到,zai'dao
载的,zai'de
在东山,zai'dong'shan
在干嘛哈,zai'gan'ma'ha
在干鸟,zai'gan'niao
在华安,zai'hua'an
在江滨,zai'jiang'bin
在角美,zai'jiao'mei
载客,zai'ke
再来去,zai'lai'qu
在龙岩,zai'long'yan
在哪间,zai'na'jian
在南靖,zai'nan'jing
载你去,zai'ni'qu
在泡茶,zai'pao'cha
在平和,zai'ping'he
载去,zai'qu
在石码,zai'shi'ma
载我们,zai'wo'men
载我去,zai'wo'qu
在厦门,zai'xia'men
在小溪,zai'xiao'xi
在一会,zai'yi'hui
在云霄,zai'yun'xiao
在漳浦,zai'zhang'pu
在漳州,zai'zhang'zhou
早点去睡,zao'dian'qu'shui
泽斌,ze'bin
泽辉,ze'hui
泽平,ze'ping
泽群,ze'qun
怎么那样,zen'me'na'yang
扎母,zha'mu
战备大桥,zhan'bei'da'qiao
漳大,zhang'da
漳华,zhang'hua
漳华路,zhang'hua'lu
漳江,zhang'jiang
漳平,zhang'ping
漳浦,zhang'pu
漳浦的,zhang'pu'de
漳浦了,zhang'pu'le
漳浦人,zhang'pu'ren
漳浦县,zhang'pu'xian
漳师,zhang'shi
漳校,zhang'xiao
漳州,zhang'zhou
漳州啊,zhang'zhou'a
漳州吧,zhang'zhou'ba
漳州宾馆,zhang'zhou'bin'guan
漳州到,zhang'zhou'dao
漳州的,zhang'zhou'de
漳州东,zhang'zhou'dong
漳州港,zhang'zhou'gang
漳州开发区,zhang'zhou'kai'fa'qu
漳州啦,zhang'zhou'la
漳州了,zhang'zhou'le
漳州了吗,zhang'zhou'le'ma
漳州吗,zhang'zhou'ma
漳州那,zhang'zhou'na
漳州哪里,zhang'zhou'na'li
漳州呢,zhang'zhou'ne
漳州人,zhang'zhou'ren
漳州市,zhang'zhou'shi
漳州师范,zhang'zhou'shi'fan
漳州师范学院,zhang'zhou'shi'fan'xue'yuan
漳州市区,zhang'zhou'shi'qu
漳州师院,zhang'zhou'shi'yuan
漳州天气,zhang'zhou'tian'qi
漳州玩,zhang'zhou'wan
漳州万达,zhang'zhou'wan'da
漳州校区,zhang'zhou'xiao'qu
漳州呀,zhang'zhou'ya
漳州一中,zhang'zhou'yi'zhong
漳州站,zhang'zhou'zhan
诏安,zhao'an
诏安的,zhao'an'de
诏安县,zhao'an'xian
赵家堡,zhao'jia'bao
找看看,zhao'kan'kan
这阶段,zhe'jie'duan
真不爱,zhen'bu'ai
真好命,zhen'hao'ming
圳头,zhen'tou
真粥道,zhen'zhou'dao
志斌,zhi'bin
志聪,zhi'cong
只放假,zhi'fang'jia
志福,zhi'fu
志鸿,zhi'hong
志煌,zhi'huang
志辉,zhi'hui
志杰,zhi'jie
志坤,zhi'kun
志平,zhi'ping
智强,zhi'qiang
志清,zhi'qing
志荣,zhi'rong
芝山,zhi'shan
芝山公园,zhi'shan'gong'yuan
志松,zhi'song
智伟,zhi'wei
志武,zhi'wu
志贤,zhi'xian
志鑫,zhi'xin
志雄,zhi'xiong
志毅,zhi'yi
志忠,zhi'zhong
钟爱一生,zhong'ai'yi'sheng
钟法路,zhong'fa'lu
中快,zhong'kuai
中闽百汇,zhong'min'bai'hui
中山接,zhong'shan'jie
中山桥,zhong'shan'qiao
煮点心,zhu'dian'xin
竹港,zhu'gang
猪高,zhu'gao
猪哥亮,zhu'ge'liang
猪母,zhu'mu
竹围,zhu'wei
抓车,zhua'che
赚吃,zhuan'chi
转转乐,zhuan'zhuan'le
自律会,zi'lv'hui
紫泥镇,zi'ni'zhen
紫山,zi'shan
紫云岩,zi'yun'yan
做看看,zuo'kan'kan
