阿贝他,a'bei'ta
妇康宝合剂,fu'kang'bao'he'ji
妇康宝煎膏,fu'kang'bao'jian'gao
妇康宝口服液,fu'kang'bao'kou'fu'ye
妇康宁片糖衣,fu'kang'ning'pian'tang'yi
妇康片,fu'kang'pian
妇康栓,fu'kang'shuan
妇康丸水蜜丸,fu'kang'wan'shui'mi'wan
氟康唑滴眼液,fu'kang'zuo'di'yan'ye
氟康唑分散片,fu'kang'zuo'fen'san'pian
氟康唑胶囊,fu'kang'zuo'jiao'nang
氟康唑氯化钠注射液,fu'kang'zuo'lv'hua'na'zhu'she'ye
氟康唑片,fu'kang'zuo'pian
氟康唑片薄膜衣,fu'kang'zuo'pian'bo'mo'yi
氟康唑葡萄糖注射液,fu'kang'zuo'pu'tao'tang'zhu'she'ye
氟康唑气雾剂,fu'kang'zuo'qi'wu'ji
氟康唑注射液,fu'kang'zuo'zhu'she'ye
妇科白带膏,fu'ke'bai'dai'gao
妇科分清丸水丸,fu'ke'fen'qing'wan'shui'wan
妇科千金胶囊,fu'ke'qian'jin'jiao'nang
妇科十味胶囊,fu'ke'shi'wei'jiao'nang
妇科调经胶囊,fu'ke'tiao'jing'jiao'nang
妇科调经片糖衣,fu'ke'tiao'jing'pian'tang'yi
福可星,fu'ke'xing
妇科养坤丸水蜜丸,fu'ke'yang'kun'wan'shui'mi'wan
妇科养荣胶囊,fu'ke'yang'rong'jiao'nang
妇科再造胶囊,fu'ke'zai'zao'jiao'nang
妇科止带胶囊,fu'ke'zhi'dai'jiao'nang
妇科止带片,fu'ke'zhi'dai'pian
妇科止带片薄膜衣,fu'ke'zhi'dai'pian'bo'mo'yi
妇科止血灵片薄膜衣,fu'ke'zhi'xue'ling'pian'bo'mo'yi
妇科止血灵片糖衣,fu'ke'zhi'xue'ling'pian'tang'yi
妇科止痒胶囊,fu'ke'zhi'yang'jiao'nang
孚来迪,fu'lai'di
妇乐胶囊,fu'le'jiao'nang
妇乐颗粒,fu'le'ke'li
伏乐新,fu'le'xin
福里衡,fu'li'heng
伏立康唑片薄膜衣,fu'li'kang'zuo'pian'bo'mo'yi
富利他之,fu'li'ta'zhi
伏立特,fu'li'te
妇良胶囊,fu'liang'jiao'nang
妇良片糖衣,fu'liang'pian'tang'yi
孚列,fu'lie
福林,fu'lin
福瓴,fu'ling
弗隆,fu'long
富露施,fu'lu'shi
芙璐威,fu'lu'wei
福路新,fu'lu'xin
芙璐星,fu'lu'xing
芙露饮,fu'lu'yin
福罗,fu'luo
富络克,fu'luo'ke
伏络清,fu'luo'qing
氟罗沙星分散片,fu'luo'sha'xing'fen'san'pian
氟罗沙星胶囊,fu'luo'sha'xing'jiao'nang
氟罗沙星片薄膜衣,fu'luo'sha'xing'pian'bo'mo'yi
氟罗沙星葡萄糖注射液,fu'luo'sha'xing'pu'tao'tang'zhu'she'ye
氟罗沙星注射液,fu'luo'sha'xing'zhu'she'ye
福罗欣,fu'luo'xin
氟氯西林钠阿莫西林胶囊,fu'lv'xi'lin'na'a'mo'xi'lin'jiao'nang
氟氯西林钠胶囊,fu'lv'xi'lin'na'jiao'nang
氟吗宁,fu'ma'ning
富马酸比索洛尔胶囊,fu'ma'suan'bi'suo'luo'er'jiao'nang
富马酸比索洛尔片,fu'ma'suan'bi'suo'luo'er'pian
富马酸比索洛尔片薄膜衣,fu'ma'suan'bi'suo'luo'er'pian'bo'mo'yi
富马酸福莫特罗粉吸入剂,fu'ma'suan'fu'mo'te'luo'fen'xi'ru'ji
富马酸福莫特罗片,fu'ma'suan'fu'mo'te'luo'pian
富马酸喹硫平片,fu'ma'suan'kui'liu'ping'pian
富马酸喹硫平片薄膜衣,fu'ma'suan'kui'liu'ping'pian'bo'mo'yi
富马酸氯马斯汀片,fu'ma'suan'lv'ma'si'ting'pian
富马酸酮替芬鼻吸入气雾剂,fu'ma'suan'tong'ti'fen'bi'xi'ru'qi'wu'ji
富马酸酮替芬胶囊,fu'ma'suan'tong'ti'fen'jiao'nang
富马酸酮替芬片,fu'ma'suan'tong'ti'fen'pian
富马酸亚铁混悬液,fu'ma'suan'ya'tie'hun'xuan'ye
富马酸亚铁胶囊,fu'ma'suan'ya'tie'jiao'nang
富马酸亚铁咀嚼片,fu'ma'suan'ya'tie'ju'jue'pian
富马酸亚铁颗粒,fu'ma'suan'ya'tie'ke'li
富马酸异丙吡仑片,fu'ma'suan'yi'bing'bi'lun'pian
富马酸伊布利特注射液,fu'ma'suan'yi'bu'li'te'zhu'she'ye
富马酸依美斯汀滴眼液,fu'ma'suan'yi'mei'si'ting'di'yan'ye
氟马西尼注射液,fu'ma'xi'ni'zhu'she'ye
孚麦欣,fu'mai'xin
孚美,fu'mei
芙美松,fu'mei'song
氟美童,fu'mei'tong
氟米龙滴眼液,fu'mi'long'di'yan'ye
富米汀,fu'mi'ting
复明胶囊,fu'ming'jiao'nang
复明片糖衣,fu'ming'pian'tang'yi
腹膜透析液乳酸盐,fu'mo'tou'xi'ye'ru'suan'yan
呋喃硫胺片,fu'nan'liu'an'pian
呋喃妥因肠溶片,fu'nan'tuo'yin'chang'rong'pian
呋喃唑酮片,fu'nan'zuo'tong'pian
福能,fu'neng
辅能,fu'neng
氟尿嘧啶氯化钠注射液,fu'niao'mi'ding'lv'hua'na'zhu'she'ye
氟尿嘧啶葡萄糖注射液,fu'niao'mi'ding'pu'tao'tang'zhu'she'ye
氟尿嘧啶注射液,fu'niao'mi'ding'zhu'she'ye
妇宁胶囊,fu'ning'jiao'nang
妇宁颗粒,fu'ning'ke'li
妇宁栓,fu'ning'shuan
孚宁阴道片,fu'ning'yin'dao'pian
氟诺安,fu'nuo'an
氟哌啶醇片,fu'pai'ding'chun'pian
氟哌啶醇片糖衣,fu'pai'ding'chun'pian'tang'yi
氟哌啶醇注射液,fu'pai'ding'chun'zhu'she'ye
氟哌利多注射液,fu'pai'li'duo'zhu'she'ye
氟哌噻吨美利曲辛片糖衣,fu'pai'sai'dun'mei'li'qu'xin'pian'tang'yi
妇平胶囊,fu'ping'jiao'nang
茯蒲洗液,fu'pu'xi'ye
福奇,fu'qi
肤芩洗剂,fu'qin'xi'ji
芙晴,fu'qing
扶祛醒,fu'qu'xing
辅仁药业集团开封豫港制药有限公司,fu'ren'yao'ye'ji'tuan'kai'feng'yu'gang'zhi'yao'you'xian'gong'si
辅仁药业集团信阳有限公司,fu'ren'yao'ye'ji'tuan'xin'yang'you'xian'gong'si
辅仁药业集团有限公司,fu'ren'yao'ye'ji'tuan'you'xian'gong'si
芙瑞,fu'rui
福瑞斯,fu'rui'si
呋塞米片,fu'sai'mi'pian
呋塞米注射液,fu'sai'mi'zhu'she'ye
富山化学工业株式会社广州南新制药分装,fu'shan'hua'xue'gong'ye'zhu'shi'hui'she'guang'zhou'nan'xin'zhi'yao'fen'zhuang
富山龙,fu'shan'long
福善美,fu'shan'mei
复肾宁片糖衣,fu'shen'ning'pian'tang'yi
扶适灵,fu'shi'ling
富诗坦,fu'shi'tan
福寿堂制药有限公司,fu'shou'tang'zhi'yao'you'xian'gong'si
孚舒达,fu'shu'da
辅舒良,fu'shu'liang
辅舒酮,fu'shu'tong
肤舒止痒膏,fu'shu'zhi'yang'gao
抚顺汇龙达药业有限公司,fu'shun'hui'long'da'yao'ye'you'xian'gong'si
抚顺诠生堂制药有限公司,fu'shun'quan'sheng'tang'zhi'yao'you'xian'gong'si
福司卡,fu'si'ka
夫司名,fu'si'ming
服松,fu'song
福松,fu'song
抚松县中药有限责任公司,fu'song'xian'zhong'yao'you'xian'ze'ren'gong'si
弗素克,fu'su'ke
氟他胺胶囊,fu'ta'an'jiao'nang
氟他胺片,fu'ta'an'pian
扶他捷,fu'ta'jie
福他乐,fu'ta'le
扶他林,fu'ta'lin
福他宁,fu'ta'ning
孚泰,fu'tai
夫坦,fu'tan
福坦,fu'tan
福天乐,fu'tian'le
孚卫,fu'wei
弗威,fu'wei
扶威,fu'wei
复胃散胶囊,fu'wei'san'jiao'nang
复胃散片薄膜衣,fu'wei'san'pian'bo'mo'yi
夫西地酸滴眼液,fu'xi'di'suan'di'yan'ye
夫西地酸干混悬液,fu'xi'di'suan'gan'hun'xuan'ye
夫西地酸乳膏,fu'xi'di'suan'ru'gao
富希康,fu'xi'kang
复仙安,fu'xian'an
复欣,fu'xin
扶信,fu'xin
芙欣,fu'xin
扶欣抗,fu'xin'kang
福欣康林,fu'xin'kang'lin
阜新蒙药有限责任公司,fu'xin'meng'yao'you'xian'ze'ren'gong'si
复心片,fu'xin'pian
复心片薄膜衣,fu'xin'pian'bo'mo'yi
福辛普利钠片,fu'xin'pu'li'na'pian
阜新市仙鹤制药有限责任公司,fu'xin'shi'xian'he'zhi'yao'you'xian'ze'ren'gong'si
富欣恬,fu'xin'tian
富血口服液,fu'xue'kou'fu'ye
妇炎康复胶囊,fu'yan'kang'fu'jiao'nang
妇炎康复片薄膜衣,fu'yan'kang'fu'pian'bo'mo'yi
妇炎康复片糖衣,fu'yan'kang'fu'pian'tang'yi
妇炎康片糖衣,fu'yan'kang'pian'tang'yi
妇炎康软胶囊,fu'yan'kang'ruan'jiao'nang
妇炎灵胶囊,fu'yan'ling'jiao'nang
扶严宁,fu'yan'ning
妇炎清洗剂,fu'yan'qing'xi'ji
妇炎舒胶囊,fu'yan'shu'jiao'nang
妇炎泰颗粒,fu'yan'tai'ke'li
妇炎消泡腾片,fu'yan'xiao'pao'teng'pian
肤痒颗粒,fu'yang'ke'li
肤痒颗粒无糖型,fu'yang'ke'li'wu'tang'xing
孚悦,fu'yue
妇月康胶囊,fu'yue'kang'jiao'nang
呋咱甲氢龙片,fu'zan'jia'qing'long'pian
扶正女贞素,fu'zheng'nv'zhen'su
福至尔,fu'zhi'er
伏旨平,fu'zhi'ping
肤痔清软膏,fu'zhi'qing'ruan'gao
福州海王福药制药有限公司,fu'zhou'hai'wang'fu'yao'zhi'yao'you'xian'gong'si
福州海王金象中药制药有限公司,fu'zhou'hai'wang'jin'xiang'zhong'yao'zhi'yao'you'xian'gong'si
福州闽海药业有限公司,fu'zhou'min'hai'yao'ye'you'xian'gong'si
福州屏山制药有限公司,fu'zhou'ping'shan'zhi'yao'you'xian'gong'si
附子理中丸大蜜丸,fu'zi'li'zhong'wan'da'mi'wan
附子理中丸浓缩丸,fu'zi'li'zhong'wan'nong'suo'wan
钆贝葡胺注射液,ga'bei'pu'an'zhu'she'ye
钆喷酸葡胺注射液,ga'pen'suan'pu'an'zhu'she'ye
嘎日迪五味丸水丸,ga'ri'di'wu'wei'wan'shui'wan
钆双胺注射液,ga'shuang'an'zhu'she'ye
钆特酸葡胺注射液,ga'te'suan'pu'an'zhu'she'ye
盖笛欣,gai'di'xin
盖尔青,gai'er'qing
盖菲,gai'fei
盖扶,gai'fu
盖格恩,gai'ge'en
盖衡,gai'heng
盖克,gai'ke
盖雷,gai'lei
钙立得片,gai'li'de'pian
盖柠,gai'ning
盖诺,gai'nuo
盖诺真,gai'nuo'zhen
盖瑞宁,gai'rui'ning
盖三淳,gai'san'chun
盖森,gai'sen
盖爽,gai'shuang
盖天力,gai'tian'li
盖胃平片,gai'wei'ping'pian
甘氨酸茶碱钠片,gan'an'suan'cha'jian'na'pian
甘奥敏,gan'ao'min
肝必复软胶囊,gan'bi'fu'ruan'jiao'nang
甘草酸铋散,gan'cao'suan'bi'san
甘草酸单钾盐片糖衣,gan'cao'suan'dan'jia'yan'pian'tang'yi
甘草酸二铵肠溶胶囊,gan'cao'suan'er'an'chang'rong'jiao'nang
甘草酸二铵胶囊,gan'cao'suan'er'an'jiao'nang
甘草酸二铵氯化钠注射液,gan'cao'suan'er'an'lv'hua'na'zhu'she'ye
甘草酸二铵注射液,gan'cao'suan'er'an'zhu'she'ye
甘草酸二钠,gan'cao'suan'er'na
甘草甜素片薄膜衣,gan'cao'tian'su'pian'bo'mo'yi
甘草锌胶囊,gan'cao'xin'jiao'nang
甘草锌颗粒,gan'cao'xin'ke'li
肝达胶囊,gan'da'jiao'nang
肝达康胶囊,gan'da'kang'jiao'nang
肝达康颗粒,gan'da'kang'ke'li
肝得乐胶囊,gan'de'le'jiao'nang
肝得治胶囊,gan'de'zhi'jiao'nang
肝得治片薄膜衣,gan'de'zhi'pian'bo'mo'yi
苷迪,gan'di
甘度欣,gan'du'xin
甘非林,gan'fei'lin
干芬,gan'fen
甘风,gan'feng
肝复乐胶囊,gan'fu'le'jiao'nang
肝复乐片薄膜衣,gan'fu'le'pian'bo'mo'yi
甘海胃康胶囊,gan'hai'wei'kang'jiao'nang
干混悬剂,gan'hun'xuan'ji
肝加欣片薄膜衣,gan'jia'xin'pian'bo'mo'yi
肝精补血素口服液,gan'jing'bu'xue'su'kou'fu'ye
甘精胰岛素注射液,gan'jing'yi'dao'su'zhu'she'ye
甘桔冰梅片糖衣,gan'ju'bing'mei'pian'tang'yi
肝康颗粒,gan'kang'ke'li
肝康宁片薄膜衣,gan'kang'ning'pian'bo'mo'yi
甘可,gan'ke
感咳双清胶囊,gan'ke'shuang'qing'jiao'nang
甘乐力,gan'le'li
感力克,gan'li'ke
甘利欣,gan'li'xin
甘李药业有限公司,gan'li'yao'ye'you'xian'gong'si
甘霖洗剂,gan'lin'xi'ji
肝龙胶囊,gan'long'jiao'nang
甘露醇烟酸酯片,gan'lu'chun'yan'suan'zhi'pian
甘露醇注射液,gan'lu'chun'zhu'she'ye
甘露解热口服液,gan'lu'jie're'kou'fu'ye
甘露聚糖肽胶囊,gan'lu'ju'tang'tai'jiao'nang
甘露聚糖肽口服溶液,gan'lu'ju'tang'tai'kou'fu'rong'ye
甘露聚糖肽片,gan'lu'ju'tang'tai'pian
甘露聚糖肽注射液,gan'lu'ju'tang'tai'zhu'she'ye
甘露消渴胶囊,gan'lu'xiao'ke'jiao'nang
甘络,gan'luo
感冒胶囊,gan'mao'jiao'nang
感冒解毒灵颗粒,gan'mao'jie'du'ling'ke'li
感冒康胶囊,gan'mao'kang'jiao'nang
感冒灵颗粒,gan'mao'ling'ke'li
感冒灵片薄膜衣,gan'mao'ling'pian'bo'mo'yi
感冒清胶囊,gan'mao'qing'jiao'nang
感冒清片薄膜衣,gan'mao'qing'pian'bo'mo'yi
感冒清热胶囊,gan'mao'qing're'jiao'nang
感冒清热颗粒,gan'mao'qing're'ke'li
感冒清热颗粒无糖型,gan'mao'qing're'ke'li'wu'tang'xing
感冒清热软胶囊,gan'mao'qing're'ruan'jiao'nang
感冒软胶囊,gan'mao'ruan'jiao'nang
感冒退热颗粒,gan'mao'tui're'ke'li
感冒炎咳灵片,gan'mao'yan'ke'ling'pian
感冒止咳颗粒,gan'mao'zhi'ke'ke'li
苷美,gan'mei
甘美多兰,gan'mei'duo'lan
甘木舒,gan'mu'shu
甘南佛阁藏药有限公司,gan'nan'fo'ge'zang'yao'you'xian'gong'si
甘南藏药制药有限公司,gan'nan'zang'yao'zhi'yao'you'xian'gong'si
感诺,gan'nuo
敢诺新,gan'nuo'xin
甘奇康,gan'qi'kang
甘羟铝片,gan'qiang'lv'pian
甘若纳,gan'ruo'na
肝舒乐颗粒,gan'shu'le'ke'li
肝舒片,gan'shu'pian
肝爽颗粒,gan'shuang'ke'li
肝水解肽注射液,gan'shui'jie'tai'zhu'she'ye
感苏,gan'su
甘肃独一味生物制药股份有限公司,gan'su'du'yi'wei'sheng'wu'zhi'yao'gu'fen'you'xian'gong'si
甘肃独一味生物制药有限责任公司,gan'su'du'yi'wei'sheng'wu'zhi'yao'you'xian'ze'ren'gong'si
甘肃扶正药业科技股份有限公司,gan'su'fu'zheng'yao'ye'ke'ji'gu'fen'you'xian'gong'si
肝素钙注射液,gan'su'gai'zhu'she'ye
甘肃河西制药有限责任公司,gan'su'he'xi'zhi'yao'you'xian'ze'ren'gong'si
肝苏胶囊,gan'su'jiao'nang
甘肃金维沙药业有限公司,gan'su'jin'wei'sha'yao'ye'you'xian'gong'si
感速康胶囊,gan'su'kang'jiao'nang
肝速康胶囊,gan'su'kang'jiao'nang
肝苏颗粒,gan'su'ke'li
肝苏颗粒无糖型,gan'su'ke'li'wu'tang'xing
甘肃兰药药业集团有限责任公司,gan'su'lan'yao'yao'ye'ji'tuan'you'xian'ze'ren'gong'si
甘肃利威尔皇甫谧制药有限公司,gan'su'li'wei'er'huang'fu'mi'zhi'yao'you'xian'gong'si
甘肃陇神戎发制药有限公司,gan'su'long'shen'rong'fa'zhi'yao'you'xian'gong'si
甘肃岷海制药有限责任公司,gan'su'min'hai'zhi'yao'you'xian'ze'ren'gong'si
肝素钠乳膏,gan'su'na'ru'gao
肝素钠注射液,gan'su'na'zhu'she'ye
肝苏片薄膜衣,gan'su'pian'bo'mo'yi
甘肃普安制药有限公司,gan'su'pu'an'zhi'yao'you'xian'gong'si
甘肃天水岐黄药业有限责任公司,gan'su'tian'shui'qi'huang'yao'ye'you'xian'ze'ren'gong'si
肝苏丸,gan'su'wan
甘肃新兰药药业有限公司,gan'su'xin'lan'yao'yao'ye'you'xian'gong'si
甘肃益尔药业股份有限公司,gan'su'yi'er'yao'ye'gu'fen'you'xian'gong'si
甘肃医药集团西峰制药厂,gan'su'yi'yao'ji'tuan'xi'feng'zhi'yao'chang
甘泰,gan'tai
肝泰颗粒,gan'tai'ke'li
肝泰舒胶囊,gan'tai'shu'jiao'nang
甘糖酯片薄膜衣,gan'tang'zhi'pian'bo'mo'yi
甘糖酯片糖衣,gan'tang'zhi'pian'tang'yi
感特灵胶囊,gan'te'ling'jiao'nang
肝维康片糖衣,gan'wei'kang'pian'tang'yi
甘维诺,gan'wei'nuo
肝喜乐胶囊,gan'xi'le'jiao'nang
肝喜乐片糖衣,gan'xi'le'pian'tang'yi
肝欣泰注射液,gan'xin'tai'zhu'she'ye
肝炎灵注射液,gan'yan'ling'zhu'she'ye
甘易,gan'yi
甘油灌肠剂,gan'you'guan'chang'ji
甘油果糖注射液,gan'you'guo'tang'zhu'she'ye
甘油磷酸钠注射液,gan'you'lin'suan'na'zhu'she'ye
甘油氯化钠注射液,gan'you'lv'hua'na'zhu'she'ye
甘缘,gan'yuan
甘悦喜,gan'yue'xi
肛泰,gang'tai
肛泰软膏,gang'tai'ruan'gao
肛泰栓,gang'tai'shuan
港通,gang'tong
高德,gao'de
高渗氯化钠羟乙基淀粉注射液,gao'shen'lv'hua'na'qiang'yi'ji'dian'fen'zhu'she'ye
高顺松,gao'shun'song
高特灵,gao'te'ling
膏药剂,gao'yao'ji
高尤,gao'you
葛畅,ge'chang
戈达利,ge'da'li
格丹,ge'dan
格得,ge'de
葛根素氯化钠注射液,ge'gen'su'lv'hua'na'zhu'she'ye
葛根素葡萄糖注射液,ge'gen'su'pu'tao'tang'zhu'she'ye
葛根素注射液,ge'gen'su'zhu'she'ye
葛根汤颗粒,ge'gen'tang'ke'li
格华止,ge'hua'zhi
葛兰素史克天津有限公司,ge'lan'su'shi'ke'tian'jin'you'xian'gong'si
葛兰素史克制药苏州有限公司,ge'lan'su'shi'ke'zhi'yao'su'zhou'you'xian'gong'si
格兰泰制药中国有限公司,ge'lan'tai'zhi'yao'zhong'guo'you'xian'gong'si
葛兰心宁软胶囊,ge'lan'xin'ning'ruan'jiao'nang
格利福斯,ge'li'fu'si
格列本脲片,ge'lie'ben'niao'pian
格列吡嗪分散片,ge'lie'bi'qin'fen'san'pian
格列吡嗪缓释胶囊,ge'lie'bi'qin'huan'shi'jiao'nang
格列吡嗪缓释片,ge'lie'bi'qin'huan'shi'pian
格列吡嗪胶囊,ge'lie'bi'qin'jiao'nang
格列吡嗪控释片,ge'lie'bi'qin'kong'shi'pian
格列吡嗪片,ge'lie'bi'qin'pian
格列喹酮胶囊,ge'lie'kui'tong'jiao'nang
格列喹酮片,ge'lie'kui'tong'pian
格列美脲滴丸,ge'lie'mei'niao'di'wan
格列美脲片,ge'lie'mei'niao'pian
格列齐特分散片,ge'lie'qi'te'fen'san'pian
格列齐特缓释片,ge'lie'qi'te'huan'shi'pian
格列齐特片,ge'lie'qi'te'pian
格奈雅,ge'nai'ya
格欧舒,ge'ou'shu
格平,ge'ping
戈荣,ge'rong
格瑞佳,ge'rui'jia
格瑞同,ge'rui'tong
格瑞西,ge'rui'xi
哥台,ge'tai
葛酮通络胶囊,ge'tong'tong'luo'jiao'nang
根痛平胶囊,gen'tong'ping'jiao'nang
根痛平颗粒,gen'tong'ping'ke'li
根痛平颗粒无糖型,gen'tong'ping'ke'li'wu'tang'xing
根痛平片薄膜衣,gen'tong'ping'pian'bo'mo'yi
更宝芬,geng'bao'fen
更年安胶囊,geng'nian'an'jiao'nang
更年安片薄膜衣,geng'nian'an'pian'bo'mo'yi
更年安片糖衣,geng'nian'an'pian'tang'yi
更年乐片薄膜衣,geng'nian'le'pian'bo'mo'yi
更昔洛韦滴眼液,geng'xi'luo'wei'di'yan'ye
更昔洛韦胶囊,geng'xi'luo'wei'jiao'nang
更昔洛韦氯化钠注射液,geng'xi'luo'wei'lv'hua'na'zhu'she'ye
更昔洛韦钠注射液,geng'xi'luo'wei'na'zhu'she'ye
更昔洛韦葡萄糖注射液,geng'xi'luo'wei'pu'tao'tang'zhu'she'ye
更昔洛韦眼用凝胶,geng'xi'luo'wei'yan'yong'ning'jiao
更昔洛韦注射液,geng'xi'luo'wei'zhu'she'ye
宫福伊康,gong'fu'yi'kang
宫环养血颗粒,gong'huan'yang'xue'ke'li
宫颈炎康栓,gong'jing'yan'kang'shuan
功劳去火胶囊,gong'lao'qu'huo'jiao'nang
功劳去火片糖衣,gong'lao'qu'huo'pian'tang'yi
功亮,gong'liang
宫瘤宁胶囊,gong'liu'ning'jiao'nang
宫瘤清胶囊,gong'liu'qing'jiao'nang
宫瘤消胶囊,gong'liu'xiao'jiao'nang
宫宁颗粒,gong'ning'ke'li
宫术安栓,gong'shu'an'shuan
宫血宁胶囊,gong'xue'ning'jiao'nang
宫血停颗粒,gong'xue'ting'ke'li
宫血停颗粒无糖型,gong'xue'ting'ke'li'wu'tang'xing
宫炎康胶囊,gong'yan'kang'jiao'nang
宫炎康颗粒,gong'yan'kang'ke'li
宫炎平分散片,gong'yan'ping'fen'san'pian
宫炎平胶囊,gong'yan'ping'jiao'nang
狗皮膏改进型,gou'pi'gao'gai'jin'xing
谷安枢,gu'an'shu
谷氨酸诺氟沙星注射液,gu'an'suan'nuo'fu'sha'xing'zhu'she'ye
谷氨酰胺呱仑酸钠颗粒,gu'an'xian'an'gua'lun'suan'na'ke'li
谷氨酰胺胶囊,gu'an'xian'an'jiao'nang
谷氨酰胺颗粒,gu'an'xian'an'ke'li
谷奥,gu'ao
固邦,gu'bang
固本强身胶囊,gu'ben'qiang'shen'jiao'nang
固本丸,gu'ben'wan
固本丸浓缩丸,gu'ben'wan'nong'suo'wan
固本益肠片,gu'ben'yi'chang'pian
谷丙甘氨酸胶囊,gu'bing'gan'an'suan'jiao'nang
谷丙甘氨酸片,gu'bing'gan'an'suan'pian
骨刺胶囊,gu'ci'jiao'nang
骨刺宁片薄膜衣,gu'ci'ning'pian'bo'mo'yi
骨刺消痛胶囊,gu'ci'xiao'tong'jiao'nang
古迪,gu'di
谷二安,gu'er'an
固尔苏,gu'er'su
骨瓜提取物注射液,gu'gua'ti'qu'wu'zhu'she'ye
谷红注射液,gu'hong'zhu'she'ye
骨化三醇胶丸,gu'hua'san'chun'jiao'wan
骨化三醇软胶囊,gu'hua'san'chun'ruan'jiao'nang
骨健灵膏,gu'jian'ling'gao
古杰,gu'jie
骨筋丸胶囊,gu'jin'wan'jiao'nang
骨筋丸片糖衣,gu'jin'wan'pian'tang'yi
骨康胶囊,gu'kang'jiao'nang
古拉定,gu'la'ding
古立西,gu'li'xi
固令,gu'ling
谷强,gu'qiang
固肾安胎丸小蜜丸,gu'shen'an'tai'wan'xiao'mi'wan
固肾定喘丸水蜜丸,gu'shen'ding'chuan'wan'shui'mi'wan
骨疏康胶囊,gu'shu'kang'jiao'nang
骨疏康颗粒无糖型,gu'shu'kang'ke'li'wu'tang'xing
骨泰酊,gu'tai'ding
骨肽氯化钠注射液,gu'tai'lv'hua'na'zhu'she'ye
固泰宁,gu'tai'ning
骨肽片薄膜衣,gu'tai'pian'bo'mo'yi
骨肽注射液,gu'tai'zhu'she'ye
固特,gu'te
骨痛灵酊,gu'tong'ling'ding
骨通贴膏,gu'tong'tie'gao
骨痛药酒,gu'tong'yao'jiu
谷维素片,gu'wei'su'pian
骨炎灵片薄膜衣,gu'yan'ling'pian'bo'mo'yi
骨友灵擦剂,gu'you'ling'ca'ji
骨友灵搽剂,gu'you'ling'cha'ji
古愈,gu'yu
骨愈灵胶囊,gu'yu'ling'jiao'nang
固元胶囊,gu'yuan'jiao'nang
固元片薄膜衣,gu'yuan'pian'bo'mo'yi
古悦,gu'yue
谷悦,gu'yue
骨折挫伤胶囊,gu'zhe'cuo'shang'jiao'nang
谷正,gu'zheng
骨质宁搽剂,gu'zhi'ning'cha'ji
瓜蒌皮注射液,gua'lou'pi'zhu'she'ye
瓜霜退热灵胶囊,gua'shuang'tui're'ling'jiao'nang
呱西替柳胶囊,gua'xi'ti'liu'jiao'nang
灌肠剂,guan'chang'ji
贯黄感冒胶囊,guan'huang'gan'mao'jiao'nang
关节镇痛巴布膏,guan'jie'zhen'tong'ba'bu'gao
冠脉康胶囊,guan'mai'kang'jiao'nang
冠脉康片,guan'mai'kang'pian
冠脉宁胶囊,guan'mai'ning'jiao'nang
冠脉宁片,guan'mai'ning'pian
冠脉宁片薄膜衣,guan'mai'ning'pian'bo'mo'yi
冠脉宁片糖衣,guan'mai'ning'pian'tang'yi
冠沙,guan'sha
管通,guan'tong
关通舒胶囊,guan'tong'shu'jiao'nang
关通舒口服液,guan'tong'shu'kou'fu'ye
关维,guan'wei
冠心安口服液,guan'xin'an'kou'fu'ye
冠心丹芍片薄膜衣,guan'xin'dan'shao'pian'bo'mo'yi
冠心丹参滴丸,guan'xin'dan'shen'di'wan
冠心丹参胶囊,guan'xin'dan'shen'jiao'nang
冠心丹参颗粒,guan'xin'dan'shen'ke'li
冠心丹参片,guan'xin'dan'shen'pian
冠心丹参片糖衣,guan'xin'dan'shen'pian'tang'yi
冠心静胶囊,guan'xin'jing'jiao'nang
冠心静片,guan'xin'jing'pian
贯新克,guan'xin'ke
冠心宁注射液,guan'xin'ning'zhu'she'ye
冠心舒通胶囊,guan'xin'shu'tong'jiao'nang
冠心苏合胶囊,guan'xin'su'he'jiao'nang
冠心苏合咀嚼片,guan'xin'su'he'ju'jue'pian
冠心苏合丸,guan'xin'su'he'wan
冠心苏合丸大蜜丸,guan'xin'su'he'wan'da'mi'wan
冠心泰丸浓缩丸,guan'xin'tai'wan'nong'suo'wan
冠心通片,guan'xin'tong'pian
冠心通片薄膜衣,guan'xin'tong'pian'bo'mo'yi
冠心丸糖衣水丸,guan'xin'wan'tang'yi'shui'wan
冠之柠,guan'zhi'ning
广迪,guang'di
广东百澳药业有限公司,guang'dong'bai'ao'yao'ye'you'xian'gong'si
广东邦民制药厂有限公司,guang'dong'bang'min'zhi'yao'chang'you'xian'gong'si
广东宝丹制药有限公司,guang'dong'bao'dan'zhi'yao'you'xian'gong'si
广东彼迪药业有限公司,guang'dong'bi'di'yao'ye'you'xian'gong'si
广东博洲药业有限公司,guang'dong'bo'zhou'yao'ye'you'xian'gong'si
广东大冢制药有限公司,guang'dong'da'zhong'zhi'yao'you'xian'gong'si
广东东方神草药业有限公司,guang'dong'dong'fang'shen'cao'yao'ye'you'xian'gong'si
广东和平药业有限公司,guang'dong'he'ping'yao'ye'you'xian'gong'si
广东恒诚制药有限公司,guang'dong'heng'cheng'zhi'yao'you'xian'gong'si
广东宏兴集团股份有限公司宏兴制药厂,guang'dong'hong'xing'ji'tuan'gu'fen'you'xian'gong'si'hong'xing'zhi'yao'chang
