阿大多为,a'da'duo'wei
抽样检验,chou'yang'jian'yan
臭氧龟裂,chou'yang'jun'lie
抽样试验,chou'yang'shi'yan
初安源,chu'an'yuan
储备,chu'bei
触变凝胶,chu'bian'ning'jiao
初步,chu'bu
初步认定,chu'bu'ren'ding
初步设计,chu'bu'she'ji
储藏间,chu'cang'jian
出差,chu'chai
出差费,chu'chai'fei
出差人,chu'chai'ren
出厂,chu'chang
出场,chu'chang
出厂编号,chu'chang'bian'hao
出厂长度,chu'chang'chang'du
出厂检验,chu'chang'jian'yan
出厂试验,chu'chang'shi'yan
出厂调试,chu'chang'tiao'shi
出厂调试南京,chu'chang'tiao'shi'nan'jing
出厂线盘,chu'chang'xian'pan
出厂验收,chu'chang'yan'shou
出厂装置验收,chu'chang'zhuang'zhi'yan'shou
触触点开关,chu'chu'dian'kai'guan
除刺机,chu'ci'ji
除刺装置,chu'ci'zhuang'zhi
出错,chu'cuo
储带器,chu'dai'qi
触点,chu'dian
触电,chu'dian
出发,chu'fa
处罚,chu'fa
触发器,chu'fa'qi
触发时延,chu'fa'shi'yan
除非绝对必要,chu'fei'jue'dui'bi'yao
出风区,chu'feng'qu
出杆,chu'gan
出杆管,chu'gan'guan
初岗,chu'gang
初稿,chu'gao
出国,chu'guo
出过程层,chu'guo'cheng'ceng
触及,chu'ji
初级工,chu'ji'gong
初级回路,chu'ji'hui'lu
出具,chu'ju
出局发送链路,chu'ju'fa'song'lian'lu
触控产品,chu'kong'chan'pin
出口,chu'kou
出口电缆,chu'kou'dian'lan
出口端,chu'kou'duan
出口端电压,chu'kou'duan'dian'ya
出口汇总,chu'kou'hui'zong
出口矩阵,chu'kou'ju'zhen
出口喇叭,chu'kou'la'ba
出口连接头,chu'kou'lian'jie'tou
出口密封装置,chu'kou'mi'feng'zhuang'zhi
出口时,chu'kou'shi
出口跳闸,chu'kou'tiao'zha
出口压板,chu'kou'ya'ban
出口闸板,chu'kou'zha'ban
初拉线材,chu'la'xian'cai
出来,chu'lai
储缆器,chu'lan'qi
除了,chu'le
除了几十个,chu'le'ji'shi'ge
处理,chu'li
处理措施,chu'li'cuo'shi
处理机,chu'li'ji
处理间隔,chu'li'jian'ge
出力试验,chu'li'shi'yan
处理选中,chu'li'xuan'zhong
处理意见,chu'li'yi'jian
处理一下,chu'li'yi'xia
出料区,chu'liao'qu
出料温度,chu'liao'wen'du
触媒剂,chu'mei'ji
触媒室,chu'mei'shi
触摸屏,chu'mo'ping
储能,chu'neng
储能灯,chu'neng'deng
触排布线,chu'pai'bu'xian
储器,chu'qi
初期,chu'qi
除气,chu'qi
除气剂,chu'qi'ji
除气率,chu'qi'lv
储气瓶存放站,chu'qi'ping'cun'fang'zhan
除气器,chu'qi'qi
除气装置,chu'qi'zhuang'zhi
出去,chu'qu
出去区,chu'qu'qu
处缺,chu'que
出入,chu'ru
出入口,chu'ru'kou
出入口及检修通道,chu'ru'kou'ji'jian'xiu'tong'dao
出色,chu'se
初设,chu'she
出射入射角,chu'she'ru'she'jiao
出身,chu'shen
出深圳,chu'shen'zhen
初始,chu'shi
初始接口速率,chu'shi'jie'kou'su'lv
初始性能试验,chu'shi'xing'neng'shi'yan
初速电流状态,chu'su'dian'liu'zhuang'tai
初探,chu'tan
触头,chu'tou
除污塔,chu'wu'ta
出现,chu'xian
出线,chu'xian
出线板,chu'xian'ban
出线侧,chu'xian'ce
出线尺寸,chu'xian'chi'cun
出线储线器,chu'xian'chu'xian'qi
出线导轮,chu'xian'dao'lun
出线导向辊,chu'xian'dao'xiang'gun
出线端,chu'xian'duan
出线分线板,chu'xian'fen'xian'ban
出线梗,chu'xian'geng
出线鼓轮,chu'xian'gu'lun
出线间,chu'xian'jian
出线角,chu'xian'jiao
出线截面,chu'xian'jie'mian
出线喇叭口,chu'xian'la'ba'kou
出线轮,chu'xian'lun
出线履带式牵引装置,chu'xian'lv'dai'shi'qian'yin'zhuang'zhi
出线模,chu'xian'mo
储线盘,chu'xian'pan
储线器,chu'xian'qi
储线器的储线容量,chu'xian'qi'de'chu'xian'rong'liang
储线器容量,chu'xian'qi'rong'liang
出线牵引轮,chu'xian'qian'yin'lun
出线区,chu'xian'qu
出线区高度,chu'xian'qu'gao'du
出线速度,chu'xian'su'du
出线头,chu'xian'tou
出现异常,chu'xian'yi'chang
出线罩,chu'xian'zhao
出线直径,chu'xian'zhi'jing
出线装置,chu'xian'zhuang'zhi
储蓄器,chu'xu'qi
处悬挂,chu'xuan'gua
初轧孔型,chu'ya'kong'xing
初轧轧辊,chu'ya'zha'gun
初验,chu'yan
初验保护专业,chu'yan'bao'hu'zhuan'ye
初样,chu'yang
除油槽,chu'you'cao
除油清洗及干燥离心机,chu'you'qing'xi'ji'gan'zao'li'xin'ji
处于,chu'yu
处于安全,chu'yu'an'quan
处于运行,chu'yu'yun'xing
处在,chu'zai
初扎,chu'zha
初轧机,chu'zha'ji
初轧机机座,chu'zha'ji'ji'zuo
处遮盖,chu'zhe'gai
触针转动装置,chu'zhen'zhuan'dong'zhuang'zhi
滁州,chu'zhou
处周围,chu'zhou'wei
出租车,chu'zu'che
传帮带,chuan'bang'dai
传播常数,chuan'bo'chang'shu
传播速度,chuan'bo'su'du
传播系数,chuan'bo'xi'shu
传播延迟,chuan'bo'yan'chi
串补,chuan'bu
穿刺绝缘连接,chuan'ci'jue'yuan'lian'jie
穿刺绝缘连接器,chuan'ci'jue'yuan'lian'jie'qi
穿戴,chuan'dai
传导性,chuan'dao'xing
传递层,chuan'di'ceng
传递函数,chuan'di'han'shu
传递率,chuan'di'lv
传递式连续混炼机,chuan'di'shi'lian'xu'hun'lian'ji
传递网,chuan'di'wang
传动,chuan'dong
传动比,chuan'dong'bi
传动机架,chuan'dong'ji'jia
传动螺杆,chuan'dong'luo'gan
传动器驱动器,chuan'dong'qi'qu'dong'qi
传动轴,chuan'dong'zhou
传感导轮,chuan'gan'dao'lun
传感技术,chuan'gan'ji'shu
传感器,chuan'gan'qi
传感头,chuan'gan'tou
穿管导线,chuan'guan'dao'xian
串行数据传输,chuan'hang'shu'ju'chuan'shu
串行通过方式,chuan'hang'tong'guo'fang'shi
串行维护接口,chuan'hang'wei'hu'jie'kou
串话补偿,chuan'hua'bu'chang
串话干扰,chuan'hua'gan'rao
串话平衡架,chuan'hua'ping'heng'jia
串话音量,chuan'hua'yin'liang
串话噪声,chuan'hua'zao'sheng
串激,chuan'ji
串接,chuan'jie
串接因数,chuan'jie'yin'shu
传劫装置,chuan'jie'zhuang'zhi
穿孔带,chuan'kong'dai
穿孔卡片,chuan'kong'ka'pian
串连,chuan'lian
串联导体,chuan'lian'dao'ti
串联电路串联,chuan'lian'dian'lu'chuan'lian
串联电容,chuan'lian'dian'rong
串联电阻,chuan'lian'dian'zu
串联干扰电压,chuan'lian'gan'rao'dian'ya
串联连接,chuan'lian'lian'jie
串联谐振试验变压器,chuan'lian'xie'zhen'shi'yan'bian'ya'qi
串列式成缆机,chuan'lie'shi'cheng'lan'ji
串列式成缆及挤塑生产线,chuan'lie'shi'cheng'lan'ji'ji'su'sheng'chan'xian
串列式大拉机,chuan'lie'shi'da'la'ji
串列式电话线生产线,chuan'lie'shi'dian'hua'xian'sheng'chan'xian
串列式放线装置,chuan'lie'shi'fang'xian'zhuang'zhi
串列式挤出机,chuan'lie'shi'ji'chu'ji
串列式拉线绝缘生产线,chuan'lie'shi'la'xian'jue'yuan'sheng'chan'xian
串列式拉线漆包机组,chuan'lie'shi'la'xian'qi'bao'ji'zu
串列式三机架线材压扁机,chuan'lie'shi'san'ji'jia'xian'cai'ya'bian'ji
串列式三机架线材压扁整边机,chuan'lie'shi'san'ji'jia'xian'cai'ya'bian'zheng'bian'ji
串列式色带放送装置,chuan'lie'shi'se'dai'fang'song'zhuang'zhi
串列式双绞机,chuan'lie'shi'shuang'jiao'ji
串列式退火装置,chuan'lie'shi'tui'huo'zhuang'zhi
串列式线材轧机,chuan'lie'shi'xian'cai'zha'ji
串列式轧机,chuan'lie'shi'zha'ji
串列式装置,chuan'lie'shi'zhuang'zhi
穿楼,chuan'lou
穿模,chuan'mo
穿模机,chuan'mo'ji
穿模夹头,chuan'mo'jia'tou
穿模轧头机,chuan'mo'ya'tou'ji
穿墙,chuan'qiang
穿墙导管,chuan'qiang'dao'guan
穿墙管,chuan'qiang'guan
穿墙套管,chuan'qiang'tao'guan
串绕磁场,chuan'rao'ci'chang
传热理论,chuan're'li'lun
串入,chuan'ru
传输,chuan'shu
传输不平衡度,chuan'shu'bu'ping'heng'du
传输参数,chuan'shu'can'shu
传输带宽,chuan'shu'dai'kuan
传输电缆,chuan'shu'dian'lan
传输功率,chuan'shu'gong'lv
传输会集,chuan'shu'hui'ji
传输介质,chuan'shu'jie'zhi
传输距离,chuan'shu'ju'li
传输路径,chuan'shu'lu'jing
传输频带,chuan'shu'pin'dai
传输容量,chuan'shu'rong'liang
传输设备,chuan'shu'she'bei
传输衰减,chuan'shu'shuai'jian
传输损耗,chuan'shu'sun'hao
传输特性,chuan'shu'te'xing
传输通路,chuan'shu'tong'lu
传输线,chuan'shu'xian
传输线固定器,chuan'shu'xian'gu'ding'qi
传输质量,chuan'shu'zhi'liang
传送,chuan'song
传送车,chuan'song'che
传送器,chuan'song'qi
传送系统用电缆,chuan'song'xi'tong'yong'dian'lan
传送装置,chuan'song'zhuang'zhi
传统,chuan'tong
传统设计的放线架,chuan'tong'she'ji'de'fang'xian'jia
船尾放缆槽,chuan'wei'fang'lan'cao
船尾放缆滑轮,chuan'wei'fang'lan'hua'lun
穿线,chuan'xian
穿线操作,chuan'xian'cao'zuo
穿线环,chuan'xian'huan
穿线机,chuan'xian'ji
穿线夹头,chuan'xian'jia'tou
穿线孔,chuan'xian'kong
传像光纤,chuan'xiang'guang'xian
穿心螺杆,chuan'xin'luo'gan
串行端口传输,chuan'xing'duan'kou'chuan'shu
串行接口,chuan'xing'jie'kou
船型开关,chuan'xing'kai'guan
串行通信,chuan'xing'tong'xin
串音,chuan'yin
串音测量法,chuan'yin'ce'liang'fa
串音测试器,chuan'yin'ce'shi'qi
串音测试仪,chuan'yin'ce'shi'yi
串音传输当量,chuan'yin'chuan'shu'dang'liang
串音单位,chuan'yin'dan'wei
传音电缆,chuan'yin'dian'lan
串音电流,chuan'yin'dian'liu
串音电路,chuan'yin'dian'lu
串音电路串音耦合,chuan'yin'dian'lu'chuan'yin'ou'he
串音电平,chuan'yin'dian'ping
串音防卫度,chuan'yin'fang'wei'du
串音理论,chuan'yin'li'lun
串音路径,chuan'yin'lu'jing
串音耦合,chuan'yin'ou'he
串音耦合损耗,chuan'yin'ou'he'sun'hao
串音频率特性,chuan'yin'pin'lv'te'xing
串音平衡,chuan'yin'ping'heng
串音衰减,chuan'yin'shuai'jian
串音衰减当量,chuan'yin'shuai'jian'dang'liang
串音损耗,chuan'yin'sun'hao
串音特性,chuan'yin'te'xing
串音信号,chuan'yin'xin'hao
串音因数,chuan'yin'yin'shu
串音原理,chuan'yin'yuan'li
船用布线电缆,chuan'yong'bu'xian'dian'lan
船用电缆,chuan'yong'dian'lan
船用电力电缆,chuan'yong'dian'li'dian'lan
船用密封电缆,chuan'yong'mi'feng'dian'lan
船用软同轴电缆,chuan'yong'ruan'tong'zhou'dian'lan
传玉,chuan'yu
传玉贰,chuan'yu'er
穿越性,chuan'yue'xing
穿越性故障电流,chuan'yue'xing'gu'zhang'dian'liu
传真,chuan'zhen
传真机,chuan'zhen'ji
传真通信,chuan'zhen'tong'xin
串珠绝缘,chuan'zhu'jue'yuan
创建,chuang'jian
创维,chuang'wei
创新,chuang'xin
创新的,chuang'xin'de
创新建设,chuang'xin'jian'she
创新意识,chuang'xin'yi'shi
创业线,chuang'ye'xian
创造,chuang'zao
吹除,chui'chu
垂度,chui'du
垂度感受元件,chui'du'gan'shou'yuan'jian
垂度控制,chui'du'kong'zhi
垂度控制环,chui'du'kong'zhi'huan
吹干器,chui'gan'qi
吹气膨胀法泡沫聚乙烯,chui'qi'peng'zhang'fa'pao'mo'ju'yi'xi
垂直安装,chui'zhi'an'zhuang
垂直定位线盘,chui'zhi'ding'wei'xian'pan
垂直度,chui'zhi'du
垂直断面,chui'zhi'duan'mian
垂直敷设,chui'zhi'fu'she
垂直浇铸,chui'zhi'jiao'zhu
垂直距离,chui'zhi'ju'li
垂直偏振,chui'zhi'pian'zhen
垂直偏振电磁波,chui'zhi'pian'zhen'dian'ci'bo
垂直燃烧试验,chui'zhi'ran'shao'shi'yan
垂直升降式缆盘架,chui'zhi'sheng'jiang'shi'lan'pan'jia
垂直升降式收放线装置,chui'zhi'sheng'jiang'shi'shou'fang'xian'zhuang'zhi
垂直托架燃烧试验,chui'zhi'tuo'jia'ran'shao'shi'yan
垂直位置,chui'zhi'wei'zhi
垂直悬挂试验,chui'zhi'xuan'gua'shi'yan
春季,chun'ji
春检,chun'jian
春节,chun'jie
纯酒精,chun'jiu'jing
纯铝,chun'lv
纯铝基质超导体,chun'lv'ji'zhi'chao'dao'ti
纯铅,chun'qian
纯石英光纤,chun'shi'ying'guang'xian
纯石英芯光纤,chun'shi'ying'xin'guang'xian
纯铜,chun'tong
磁板压板,ci'ban'ya'ban
此报告,ci'bao'gao
此报告一,ci'bao'gao'yi
磁参量测量法,ci'can'liang'ce'liang'fa
磁场变化,ci'chang'bian'hua
磁场漏磁通量,ci'chang'lou'ci'tong'liang
瓷城,ci'cheng
此处,ci'chu
此次,ci'ci
此次的,ci'ci'de
此次技术,ci'ci'ji'shu
此次事故,ci'ci'shi'gu
磁带损失,ci'dai'sun'shi
磁导体,ci'dao'ti
次导线,ci'dao'xian
疵点探测设备,ci'dian'tan'ce'she'bei
磁轭法,ci'e'fa
磁粉焊剂,ci'fen'han'ji
磁粉探伤设备,ci'fen'tan'shang'she'bei
磁感应,ci'gan'ying
此工程,ci'gong'cheng
此工作,ci'gong'zuo
磁光效应,ci'guang'xiao'ying
磁化安匝,ci'hua'an'za
磁化率,ci'hua'lv
磁极冲片,ci'ji'chong'pian
次基带装置,ci'ji'dai'zhuang'zhi
磁极铁心,ci'ji'tie'xin
此类,ci'lei
磁力,ci'li
磁力分离器,ci'li'fen'li'qi
磁盘操作系统,ci'pan'cao'zuo'xi'tong
磁盘控制器,ci'pan'kong'zhi'qi
瓷漆,ci'qi
此时,ci'shi
此时应加,ci'shi'ying'jia
次数,ci'shu
瓷套,ci'tao
瓷套封闭终端,ci'tao'feng'bi'zhong'duan
瓷套管,ci'tao'guan
磁通单位,ci'tong'dan'wei
此问题,ci'wen'ti
此项,ci'xiang
磁性材料,ci'xing'cai'liao
磁性钢板,ci'xing'gang'ban
磁性开关,ci'xing'kai'guan
瓷压盖,ci'ya'gai
此隐患,ci'yin'huan
磁滞,ci'zhi
瓷质户外终端套管,ci'zhi'hu'wai'zhong'duan'tao'guan
磁致伸缩的旋转镍管,ci'zhi'shen'suo'de'xuan'zhuan'nie'guan
此种,ci'zhong
瓷珠瓷管布线,ci'zhu'ci'guan'bu'xian
词组,ci'zu
从动放线系统,cong'dong'fang'xian'xi'tong
从动轮,cong'dong'lun
从而,cong'er
从而造成,cong'er'zao'cheng
从滚筒上切下橡条,cong'gun'tong'shang'qie'xia'xiang'tiao
从来,cong'lai
从事,cong'shi
从头,cong'tou
从严,cong'yan
丛源,cong'yuan
从这,cong'zhe
从中,cong'zhong
粗度,cu'du
粗光纤,cu'guang'xian
粗加工,cu'jia'gong
粗节花线,cu'jie'hua'xian
促进,cu'jin
促进剂,cu'jin'ji
粗拉,cu'la
粗缆网,cu'lan'wang
粗缆以太网,cu'lan'yi'tai'wang
粗略估计,cu'lue'gu'ji
粗算,cu'suan
醋酸,cu'suan
醋酸胶布,cu'suan'jiao'bu
粗铜,cu'tong
粗细线拉线机中拉机,cu'xi'xian'la'xian'ji'zhong'la'ji
粗线,cu'xian
粗线电缆,cu'xian'dian'lan
粗线杆,cu'xian'gan
粗芯光纤,cu'xin'guang'xian
粗轧,cu'zha
粗轧辊,cu'zha'gun
粗轧机,cu'zha'ji
粗轧机列,cu'zha'ji'lie
粗轧机座,cu'zha'ji'zuo
粗轧机座上轧制,cu'zha'ji'zuo'shang'zha'zhi
粗轧孔型,cu'zha'kong'xing
崔斌,cui'bin
啛啛喳喳,cui'cui'cha'cha
催化的废气净化,cui'hua'de'fei'qi'jing'hua
脆化点,cui'hua'dian
催化点火,cui'hua'dian'huo
催化剂成型,cui'hua'ji'cheng'xing
催化剂母料,cui'hua'ji'mu'liao
催化剂浓缩物,cui'hua'ji'nong'suo'wu
催化剂载体,cui'hua'ji'zai'ti
催化剂直接注入,cui'hua'ji'zhi'jie'zhu'ru
催化炉,cui'hua'lu
催化母料,cui'hua'mu'liao
催化器,cui'hua'qi
催化气体,cui'hua'qi'ti
催化燃烧,cui'hua'ran'shao
催化燃烧炉,cui'hua'ran'shao'lu
催化燃烧漆包机,cui'hua'ran'shao'qi'bao'ji
催化装置,cui'hua'zhuang'zhi
催化作用,cui'hua'zuo'yong
淬火,cui'huo
淬火钢,cui'huo'gang
淬火和回火工序,cui'huo'he'hui'huo'gong'xu
淬火架,cui'huo'jia
淬火炉,cui'huo'lu
淬火时效,cui'huo'shi'xiao
脆性,cui'xing
脆性温度,cui'xing'wen'du
淬硬,cui'ying
存储,cun'chu
存档,cun'dang
存档后,cun'dang'hou
存档结票,cun'dang'jie'piao
存档吕传玉,cun'dang'lv'chuan'yu
存档太久的,cun'dang'tai'jiu'de
存放,cun'fang
存放及搬运,cun'fang'ji'ban'yun
存货库存量,cun'huo'ku'cun'liang
存量,cun'liang
存取控制域,cun'qu'kong'zhi'yu
存在,cun'zai
存在故障,cun'zai'gu'zhang
搓捻,cuo'nian
措施,cuo'shi
措施票,cuo'shi'piao
错误,cuo'wu
错误接线,cuo'wu'jie'xian
错误图纸,cuo'wu'tu'zhi
错误整定,cuo'wu'zheng'ding
锉屑,cuo'xie
错帧时间,cuo'zhen'shi'jian
大半,da'ban
搭板对接,da'ban'dui'jie
大部分,da'bu'fen
打槽楔,da'cao'xie
大差,da'cha
大长度,da'chang'du
大长度光纤,da'chang'du'guang'xian
打车,da'che
大城市区域网,da'cheng'shi'qu'yu'wang
大胆,da'dan
大胆进行,da'dan'jin'xing
大单位,da'dan'wei
大道,da'dao
达到,da'dao
达到动作值,da'dao'dong'zuo'zhi
达到整定值,da'dao'zheng'ding'zhi
大的,da'de
大电流,da'dian'liu
大电流发生器,da'dian'liu'fa'sheng'qi
大电流退火装置,da'dian'liu'tui'huo'zhuang'zhi
大电流直流输电电缆,da'dian'liu'zhi'liu'shu'dian'dian'lan
大多,da'duo
打分,da'fen
打分竞赛,da'fen'jing'sai
大幅,da'fu
大幅度,da'fu'du
大幅度的,da'fu'du'de
大功率伺服马达,da'gong'lv'ci'fu'ma'da
大功率电缆,da'gong'lv'dian'lan
大关山,da'guan'shan
大光盘,da'guang'pan
大光山,da'guang'shan
大光栅,da'guang'shan
大光山变,da'guang'shan'bian
大光山站,da'guang'shan'zhan
大光山直流图,da'guang'shan'zhi'liu'tu
大规模长期验证试验,da'gui'mo'chang'qi'yan'zheng'shi'yan
大规模放热试验,da'gui'mo'fang're'shi'yan
大规模集成,da'gui'mo'ji'cheng
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
大规模生产,da'gui'mo'sheng'chan
搭焊,da'han
大好,da'hao
打好,da'hao
搭好,da'hao
打号管,da'hao'guan
大号光纤,da'hao'guang'xian
打号机,da'hao'ji
大号线,da'hao'xian
大号线粗线,da'hao'xian'cu'xian
打环试验,da'huan'shi'yan
大集控,da'ji'kong
大集控改造,da'ji'kong'gai'zao
大集控切改,da'ji'kong'qie'gai
大家,da'jia
大家的,da'jia'de
大家庭,da'jia'ting
大家心里,da'jia'xin'li
搭建,da'jian
大检查,da'jian'cha
大检查方案,da'jian'cha'fang'an
打检修,da'jian'xiu
搭建指南,da'jian'zhi'nan
打浆机,da'jiang'ji
大街,da'jie
搭接,da'jie
大接地,da'jie'di
大接地电流系统,da'jie'di'dian'liu'xi'tong
搭接缝,da'jie'feng
搭接钢带铠装,da'jie'gang'dai'kai'zhuang
搭接焊,da'jie'han
搭接接头,da'jie'jie'tou
大截面电缆,da'jie'mian'dian'lan
大截面型线轧机,da'jie'mian'xing'xian'zha'ji
搭接模,da'jie'mo
搭接屏蔽,da'jie'ping'bi
搭接绕包,da'jie'rao'bao
搭接绕包带,da'jie'rao'bao'dai
搭接绕包屏蔽,da'jie'rao'bao'ping'bi
大金工,da'jin'gong
大径区段,da'jing'qu'duan
大局,da'ju
打开,da'kai
打孔,da'kong
打孔机,da'kong'ji
大孔径光纤锥,da'kong'jing'guang'xian'zhui
大跨度架空电缆,da'kua'du'jia'kong'dian'lan
大跨距线路,da'kua'ju'xian'lu
大宽度立式线盘,da'kuan'du'li'shi'xian'pan
大拉,da'la
大拉机,da'la'ji
大类,da'lei
大力,da'li
大力开展,da'li'kai'zhan
大力神光纤,da'li'shen'guang'xian
大力提高,da'li'ti'gao
大力推进,da'li'tui'jin
大练兵,da'lian'bing
大练兵个人,da'lian'bing'ge'ren
大练兵试题,da'lian'bing'shi'ti
大练兵题目,da'lian'bing'ti'mu
大量,da'liang
大楼,da'lou
大楼保安,da'lou'bao'an
大楼保洁,da'lou'bao'jie
大楼备自投,da'lou'bei'zi'tou
大楼电梯,da'lou'dian'ti
大楼监控,da'lou'jian'kong
大楼内分支电缆,da'lou'nei'fen'zhi'dian'lan
大楼内通信光缆,da'lou'nei'tong'xin'guang'lan
大楼通信系统,da'lou'tong'xin'xi'tong
大陆架电缆,da'lu'jia'dian'lan
大螺帽,da'luo'mao
大门,da'men
大面积,da'mian'ji
打磨,da'mo
大排查,da'pai'cha
大七,da'qi
大气控制炉,da'qi'kong'zhi'lu
大气污染,da'qi'wu'ran
大容量,da'rong'liang
大容量电缆,da'rong'liang'dian'lan
大容量电缆系统,da'rong'liang'dian'lan'xi'tong
大容量电容,da'rong'liang'dian'rong
大容量发电机组,da'rong'liang'fa'dian'ji'zu
大容量输电线路,da'rong'liang'shu'dian'xian'lu
大容量线盘,da'rong'liang'xian'pan
打扫,da'sao
打扫打扫打扫打扫,da'sao'da'sao'da'sao'da'sao
搭设,da'she
大生产,da'sheng'chan
大事,da'shi
大势所趋,da'shi'suo'qu
大受鼓舞,da'shou'gu'wu
大树,da'shu
大叔大叔的,da'shu'da'shu'de
大衰减电缆,da'shuai'jian'dian'lan
大苏打,da'su'da
打算打算,da'suan'da'suan
答题,da'ti
答题完毕,da'ti'wan'bi
大同轴电缆,da'tong'zhou'dian'lan
大系统理论,da'xi'tong'li'lun
大西洋,da'xi'yang
大线信号,da'xian'xin'hao
大小,da'xiao
大写,da'xie
大写字体,da'xie'zi'ti
大芯径大数值孔径光纤,da'xin'jing'da'shu'zhi'kong'jing'guang'xian
大芯径光纤,da'xin'jing'guang'xian
大芯数光缆,da'xin'shu'guang'lan
大型,da'xing
大型电缆,da'xing'dian'lan
大型收线装置,da'xing'shou'xian'zhuang'zhi
大型数据库,da'xing'shu'ju'ku
大型橡皮带绕包机,da'xing'xiang'pi'dai'rao'bao'ji
大修,da'xiu
大修物资采购,da'xiu'wu'zi'cai'gou
大学,da'xue
大学本科,da'xue'ben'ke
大学英语,da'xue'ying'yu
大学英语六级,da'xue'ying'yu'liu'ji
打压,da'ya
打压电源,da'ya'dian'yuan
大一,da'yi
大一矿,da'yi'kuang
打印,da'yin
打印标志机,da'yin'biao'zhi'ji
打印机,da'yin'ji
打印区,da'yin'qu
打印输出,da'yin'shu'chu
打印装置,da'yin'zhuang'zhi
大英,da'ying
大有裨益,da'you'bi'yi
大于,da'yu
大园,da'yuan
大园线,da'yuan'xian
打在,da'zai
大早,da'zao
打仗,da'zhang
打至,da'zhi
大直径电缆,da'zhi'jing'dian'lan
大直径泡沫绝缘皱纹同轴电缆,da'zhi'jing'pao'mo'jue'yuan'zhou'wen'tong'zhou'dian'lan
大直径线盘收线机,da'zhi'jing'xian'pan'shou'xian'ji
大中小直径,da'zhong'xiao'zhi'jing
大洲,da'zhou
大洲线,da'zhou'xian
大轴线,da'zhou'xian
大专,da'zhuan
代办,dai'ban
待办,dai'ban
带包绝缘导体,dai'bao'jue'yuan'dao'ti
带包式电容锥,dai'bao'shi'dian'rong'zhui
带包头,dai'bao'tou
代表样品,dai'biao'yang'pin
待补充,dai'bu'chong
带材清洗装置,dai'cai'qing'xi'zhuang'zhi
带材酸洗设备,dai'cai'suan'xi'she'bei
带材轧制,dai'cai'zha'zhi
带槽的塑料杆,dai'cao'de'su'liao'gan
带槽的无芯成圈机头,dai'cao'de'wu'xin'cheng'quan'ji'tou
带槽牵引轮,dai'cao'qian'yin'lun
带槽线,dai'cao'xian
带挡水层的电话电缆,dai'dang'shui'ceng'de'dian'hua'dian'lan
带灯按钮,dai'deng'an'niu
带地线架空电缆,dai'di'xian'jia'kong'dian'lan
带点,dai'dian
带电,dai'dian
带电电缆,dai'dian'dian'lan
带电颗粒,dai'dian'ke'li
带电偶合装,dai'dian'ou'he'zhuang
带电设备,dai'dian'she'bei
带点水,dai'dian'shui
带电体,dai'dian'ti
带电作业用钢锯,dai'dian'zuo'ye'yong'gang'ju
带断裂监控器,dai'duan'lie'jian'kong'qi
带队,dai'dui
代尔他石棉绕包机,dai'er'ta'shi'mian'rao'bao'ji
带负荷,dai'fu'he
带负荷测试,dai'fu'he'ce'shi
带负荷插拔连接器,dai'fu'he'cha'ba'lian'jie'qi
带干燥器的加料斗,dai'gan'zao'qi'de'jia'liao'dou
带钢,dai'gang
带给,dai'gei
代购,dai'gou
带钩导线,dai'gou'dao'xian
带管式储线器的绞合装置,dai'guan'shi'chu'xian'qi'de'jiao'he'zhuang'zhi
待过一段时间,dai'guo'yi'duan'shi'jian
带好,dai'hao
带基,dai'ji
带挤出,dai'ji'chu
带极堆焊,dai'ji'dui'han
带计米头的挤出机,dai'ji'mi'tou'de'ji'chu'ji
戴家埔,dai'jia'pu
戴家浦,dai'jia'pu
戴家铺,dai'jia'pu
带浆式搅拌器的熬料罐,dai'jiang'shi'jiao'ban'qi'de'ao'liao'guan
带角度的推线环,dai'jiao'du'de'tui'xian'huan
带绝缘,dai'jue'yuan
带绝缘电缆,dai'jue'yuan'dian'lan
带控制臂的电动转盘放线装置,dai'kong'zhi'bi'de'dian'dong'zhuan'pan'fang'xian'zhuang'zhi
带宽累加法则,dai'kuan'lei'jia'fa'ze
带来,dai'lai
带来了,dai'lai'le
呆了,dai'le
带立式放线盘的在线拉线机,dai'li'shi'fang'xian'pan'de'zai'xian'la'xian'ji
带离子侧基的聚乙烯,dai'li'zi'ce'ji'de'ju'yi'xi
带连接器的电缆,dai'lian'jie'qi'de'dian'lan
带裂槽的扁电缆,dai'lie'cao'de'bian'dian'lan
代码标志线,dai'ma'biao'zhi'xian
代码窗口,dai'ma'chuang'kou
代码模板,dai'ma'mu'ban
代码折叠,dai'ma'zhe'die
待命,dai'ming
带扭管式储线器的绞制机,dai'niu'guan'shi'chu'xian'qi'de'jiao'zhi'ji
带盘放完报警装置,dai'pan'fang'wan'bao'jing'zhuang'zhi
带盘装运车,dai'pan'zhuang'yun'che
带切刀的光辊,dai'qie'dao'de'guang'gun
带绕包包带,dai'rao'bao'bao'dai
带绕式牵引轮,dai'rao'shi'qian'yin'lun
待删除,dai'shan'chu
带上,dai'shang
带式标志,dai'shi'biao'zhi
带式标志器,dai'shi'biao'zhi'qi
带式光缆绞制机,dai'shi'guang'lan'jiao'zhi'ji
带式浇铸机,dai'shi'jiao'zhu'ji
带式履带牵引装置,dai'shi'lv'dai'qian'yin'zhuang'zhi
带式牵引轮,dai'shi'qian'yin'lun
带式印字机,dai'shi'yin'zi'ji
