哀而不伤,ai'er'bu'shang
君子道者三,jun'zi'dao'zhe'san
君子笃於亲,jun'zi'du'yu'qin
君子多乎哉,jun'zi'duo'hu'zai
君子而不仁者有矣夫,jun'zi'er'bu'ren'zhe'you'yi'fu
君子和而不同,jun'zi'he'er'bu'tong
君子何患乎无,jun'zi'he'huan'hu'wu
君子怀德,jun'zi'huai'de
君子怀刑,jun'zi'huai'xing
君子敬而无失,jun'zi'jing'er'wu'shi
君子居之,jun'zi'ju'zhi
君子可逝也,jun'zi'ke'shi'ye
君子去仁,jun'zi'qu'ren
君子人与君子人也,jun'zi'ren'yu'jun'zi'ren'ye
君子上达,jun'zi'shang'da
君子食无求饱,jun'zi'shi'wu'qiu'bao
君子思不出其位,jun'zi'si'bu'chu'qi'wei
君子所贵乎道者三,jun'zi'suo'gui'hu'dao'zhe'san
君子泰而不骄,jun'zi'tai'er'bu'jiao
君子坦荡荡,jun'zi'tan'dang'dang
君子务本,jun'zi'wu'ben
君子无所争,jun'zi'wu'suo'zheng
君子无终食之间违仁,jun'zi'wu'zhong'shi'zhi'jian'wei'ren
君子也,jun'zi'ye
君子亦党乎,jun'zi'yi'dang'hu
君子易事而难说也,jun'zi'yi'shi'er'nan'shuo'ye
君子以文会友,jun'zi'yi'wen'hui'you
君子亦有穷乎,jun'zi'yi'you'qiong'hu
君子於,jun'zi'yu
君子欲讷於言而敏於行,jun'zi'yu'ne'yu'yan'er'min'yu'xing
君子於其所不知,jun'zi'yu'qi'suo'bu'zhi
君子喻於义,jun'zi'yu'yu'yi
君子哉若人,jun'zi'zai'ruo'ren
君子者乎,jun'zi'zhe'hu
君子质而已矣,jun'zi'zhi'er'yi'yi
君子之於天下也,jun'zi'zhi'yu'tian'xia'ye
君子之至於斯也,jun'zi'zhi'zhi'yu'si'ye
君子周而不比,jun'zi'zhou'er'bu'bi
君子周急不继富,jun'zi'zhou'ji'bu'ji'fu
侃侃如也,kan'kan'ru'ye
康子馈药,kang'zi'kui'yao
康子曰,kang'zi'yue
克,ke
可得而闻也,ke'de'er'wen'ye
克己复礼,ke'ji'fu'li
可及也,ke'ji'ye
可妻也,ke'qi'ye
可欺也,ke'qi'ye
可使为之宰也,ke'shi'wei'zhi'zai'ye
可使杏,ke'shi'xing
可使与宾客言也,ke'shi'yu'bin'ke'yan'ye
可使治其赋也,ke'shi'zhi'qi'fu'ye
可使足民,ke'shi'zu'min
可谓,ke'wei
可谓大臣与,ke'wei'da'chen'yu
可谓好学也已,ke'wei'hao'xue'ye'yi
可谓具臣矣,ke'wei'ju'chen'yi
可谓明也已矣,ke'wei'ming'ye'yi'yi
可谓仁乎,ke'wei'ren'hu
可谓仁矣,ke'wei'ren'yi
可谓仁之方也已,ke'wei'ren'zhi'fang'ye'yi
可谓士矣,ke'wei'shi'yi
可谓孝矣,ke'wei'xiao'yi
可谓远也已矣,ke'wei'yuan'ye'yi'yi
可谓知矣,ke'wei'zhi'yi
可也,ke'ye
可也简,ke'ye'jian
可以寄百里之命,ke'yi'ji'bai'li'zhi'ming
可以托六尺之孤,ke'yi'tuo'liu'chi'zhi'gu
可以为,ke'yi'wei
可以为难矣,ke'yi'wei'nan'yi
可以为师矣,ke'yi'wei'shi'yi
可以无大过矣,ke'yi'wu'da'guo'yi
可以语上也,ke'yi'yu'shang'ye
可与共学,ke'yu'gong'xue
可与立,ke'yu'li
可与适道,ke'yu'shi'dao
可知也,ke'zhi'ye
铿尔,keng'er
空空如也,kong'kong'ru'ye
孔文子何以谓之,kong'wen'zi'he'yi'wei'zhi
孔子对曰,kong'zi'dui'yue
孔子沐浴而朝,kong'zi'mu'yu'er'chao
孔子退,kong'zi'tui
孔子谓季氏,kong'zi'wei'ji'shi
孔子以其兄之子妻之,kong'zi'yi'qi'xiong'zhi'zi'qi'zhi
孔子於乡党,kong'zi'yu'xiang'dang
孔子与之坐,kong'zi'yu'zhi'zuo
孔子曰,kong'zi'yue
脍不厌细,kuai'bu'yan'xi
狂而不直,kuang'er'bu'zhi
匡人其如予何,kuang'ren'qi'ru'yu'he
狂者进取,kuang'zhe'jin'qu
老而不死,lao'er'bu'si
劳而不怨,lao'er'bu'yuan
牢曰,lao'yue
老者安之,lao'zhe'an'zhi
劳之,lao'zhi
乐而不淫,le'er'bu'yin
乐其可知也,le'qi'ke'zhi'ye
乐然後笑,le'ran'hou'xiao
乐以忘忧,le'yi'wang'you
乐亦在其中矣,le'yi'zai'qi'zhong'yi
诔曰,lei'yue
利,li
力,li
李,li
礼,li
立不中门,li'bu'zhong'men
力不足也,li'bu'zu'ye
力不足者,li'bu'zu'zhe
礼后乎,li'hou'hu
李康游收犊鬃釉弧谩溉缟蔽薜溃跃陀械溃稳纾俊箍鬃佣栽弧谩缸游,li'kang'you'shou'du'zong'you'hu'man'gai'gao'bi'bi'kui'yue'tuo'xie'kui'wen'shu'jun'gu'zong'yong'zai'hu'man'gang'you
李康子患盗,li'kang'zi'huan'dao
李康子问,li'kang'zi'wen
李康子问政於孔子,li'kang'zi'wen'zheng'yu'kong'zi
李路问事鬼神,li'lu'wen'shi'gui'shen
犁牛之子马辛且角,li'niu'zhi'zi'ma'xin'qie'jiao
里仁第四,li'ren'di'si
里仁为美,li'ren'wei'mei
李氏富於周公,li'shi'fu'yu'zhou'gong
礼也,li'ye
鲤也死,li'ye'si
立於礼,li'yu'li
礼乐不兴,li'yue'bu'xing
礼之用,li'zhi'yong
李子然问,li'zi'ran'wen
良,liang
临大节,lin'da'jie
林放问礼之本,lin'fang'wen'li'zhi'ben
临丧不哀,lin'sang'bu'ai
临之以庄,lin'zhi'yi'zhuang
令色,ling'se
令尹子文三仕为令尹,ling'yin'zi'wen'san'shi'wei'ling'yin
六,liu
六十,liu'shi
陋,lou
路,lu
鲁,lu
鲁人为长府,lu'ren'wei'chang'fu
鲁无君子者,lu'wu'jun'zi'zhe
鲁一变,lu'yi'bian
禄在其中矣,lu'zai'qi'zhong'yi
乱,luan
乱邦不居,luan'bang'bu'ju
乱也,luan'ye
论笃是与,lun'du'shi'yu
论语,lun'yu
屡空,lv'kong
虑以下人,lv'yi'xia'ren
屡憎於人,lv'zeng'yu'ren
马不进也,ma'bu'jin'ye
麻冕,ma'mian
漫,man
没阶趋进,mei'jie'qu'jin
美目盼兮,mei'mu'pan'xi
每事问,mei'shi'wen
门人不敬子路,men'ren'bu'jing'zi'lu
门人厚葬之,men'ren'hou'zang'zhi
门人惑,men'ren'huo
门人问曰,men'ren'wen'yue
门人欲厚葬之,men'ren'yu'hou'zang'zhi
孟公绰,meng'gong'chuo
孟敬子问之,meng'jing'zi'wen'zhi
孟孙问孝於我,meng'sun'wen'xiao'yu'wo
孟武伯问孝,meng'wu'bo'wen'xiao
孟武伯问子路仁乎,meng'wu'bo'wen'zi'lu'ren'hu
孟懿子问孝,meng'yi'zi'wen'xiao
孟之反不伐,meng'zhi'fan'bu'fa
冕衣裳者,mian'yi'shang'zhe
免於刑戮,mian'yu'xing'lu
苗而不秀者,miao'er'bu'xiu'zhe
民到于今受其赐,min'dao'yu'jin'shou'qi'ci
民德归厚矣,min'de'gui'hou'yi
敏而好学,min'er'hao'xue
民可使由之,min'ke'shi'you'zhi
民免而无耻,min'mian'er'wu'chi
民无得而称焉,min'wu'de'er'cheng'yan
民无能名焉,min'wu'neng'ming'yan
民无信不立,min'wu'xin'bu'li
民鲜久矣,min'xian'jiu'yi
民信之矣,min'xin'zhi'yi
敏以求之者也,min'yi'qiu'zhi'zhe'ye
敏於事而慎於言,min'yu'shi'er'shen'yu'yan
闵子骞,min'zi'qian
闵子骞曰,min'zi'qian'yue
闵子侍侧,min'zi'shi'ce
明,ming
名不正,ming'bu'zheng
明日遂行,ming'ri'sui'xing
命也,ming'ye
命矣夫,ming'yi'fu
没齿,mo'chi
莫春者,mo'chun'zhe
默而识之,mo'er'shi'zhi
莫己知也,mo'ji'zhi'ye
莫能兴,mo'neng'xing
莫我知也夫,mo'wo'zhi'ye'fu
莫吾犹人也,mo'wu'you'ren'ye
末由也已,mo'you'ye'yi
末之难矣,mo'zhi'nan'yi
木讷,mu'ne
难,nan
南宫适出,nan'gong'shi'chu
南宫适问於孔子曰,nan'gong'shi'wen'yu'kong'zi'yue
难乎免於今之世矣,nan'hu'mian'yu'jin'zhi'shi'yi
难乎有恒矣,nan'hu'you'heng'yi
南人有言曰,nan'ren'you'yan'yue
南容三复白圭,nan'rong'san'fu'bai'gui
内省不疚,nei'xing'bu'jiu
能恶人,neng'e'ren
能竭其力,neng'jie'qi'li
能近取,neng'jin'qu
能使枉者直,neng'shi'wang'zhe'zhi
能无从乎,neng'wu'cong'hu
能勿诲乎,neng'wu'hui'hu
能勿劳乎,neng'wu'lao'hu
能无说乎,neng'wu'shuo'hu
能以礼让为国乎,neng'yi'li'rang'wei'guo'hu
能之,neng'zhi
能致其身,neng'zhi'qi'shen
匿怨而友其人,ni'yuan'er'you'qi'ren
年饥,nian'ji
鸟之将死,niao'zhi'jiang'si
宁固,ning'gu
宁俭,ning'jian
宁媚於龟,ning'mei'yu'gui
宁戚,ning'qi
诺,nuo
女,nv
女得人焉耳乎,nv'de'ren'yan'er'hu
女弗能救与,nv'fu'neng'jiu'yu
女为君子儒,nv'wei'jun'zi'ru
女奚不曰,nv'xi'bu'yue
女以予为多学而识之者与,nv'yi'yu'wei'duo'xue'er'shi'zhi'zhe'yu
女与回也孰愈,nv'yu'hui'ye'shu'yu
朋友数,peng'you'shu
朋友死,peng'you'si
朋友信之,peng'you'xin'zhi
朋友之馈,peng'you'zhi'kui
匹夫不可夺志也,pi'fu'bu'ke'duo'zhi'ye
譬如平地,pi'ru'ping'di
譬如为山,pi'ru'wei'shan
偏其反而,pian'qi'fan'er
片言可以折狱者,pian'yan'ke'yi'zhe'yu'zhe
贫而无谄,pin'er'wu'chan
贫而无怨,pin'er'wu'yuan
贫且贱焉,pin'qie'jian'yan
贫与贱,pin'yu'jian
其,qi
齐,qi
岂不尔思,qi'bu'er'si
其不善者恶之,qi'bu'shan'zhe'e'zhi
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
杞不足征也,qi'bu'zu'zheng'ye
其次辟地,qi'ci'pi'di
其次辟色,qi'ci'pi'se
其次辟言,qi'ci'pi'yan
其从之也,qi'cong'zhi'ye
弃而违之,qi'er'wei'zhi
其父攘羊而子证之,qi'fu'rang'yang'er'zi'zheng'zhi
其何以行之哉,qi'he'yi'xing'zhi'zai
齐桓公正而不谲,qi'huan'gong'zheng'er'bu'jue
其回也与,qi'hui'ye'yu
其或继周者,qi'huo'ji'zhou'zhe
齐景公问政於孔子,qi'jing'gong'wen'zheng'yu'kong'zi
其可谓至德也已矣,qi'ke'wei'zhi'de'ye'yi'yi
其鸣也哀,qi'ming'ye'ai
岂其然乎,qi'qi'ran'hu
其然,qi'ran
其如示诸,qi'ru'shi'zhu
岂若匹夫匹妇之为谅也,qi'ruo'pi'fu'pi'fu'zhi'wei'liang'ye
其身不正,qi'shen'bu'zheng
其身正,qi'shen'zheng
七十而从心所欲,qi'shi'er'cong'xin'suo'yu
其使民也义,qi'shi'min'ye'yi
其事上也敬,qi'shi'shang'ye'jing
其事也,qi'shi'ye
其斯之谓与,qi'si'zhi'wei'yu
其天乎,qi'tian'hu
欺天乎,qi'tian'hu
其为,qi'wei
其为人也,qi'wei'ren'ye
其为人也孝弟,qi'wei'ren'ye'xiao'di
其为仁之本与,qi'wei'ren'zhi'ben'yu
其心三月不违仁,qi'xin'san'yue'bu'wei'ren
其行己也恭,qi'xing'ji'ye'gong
其言,qi'yan
其言不让,qi'yan'bu'rang
其言似不足者,qi'yan'si'bu'zu'zhe
其言也善,qi'yan'ye'shan
其言之不怍,qi'yan'zhi'bu'zuo
其养民也惠,qi'yang'min'ye'hui
器也,qi'ye
齐一变,qi'yi'bian
其有成功也,qi'you'cheng'gong'ye
其有文章,qi'you'wen'zhang
其由也与,qi'you'ye'yu
其由与,qi'you'yu
其余,qi'yu
其愚不,qi'yu'bu
其馀不足观也已,qi'yu'bu'zu'guan'ye'yi
启予手,qi'yu'shou
其余则日月至焉而已矣,qi'yu'ze'ri'yue'zhi'yan'er'yi'yi
起予者商也,qi'yu'zhe'shang'ye
启予足,qi'yu'zu
其在宗庙朝廷,qi'zai'zong'miao'chao'ting
其争也君子,qi'zheng'ye'jun'zi
器之,qi'zhi
妻之,qi'zhi
其知可及也,qi'zhi'ke'ji'ye
齐之以礼,qi'zhi'yi'li
齐之以刑,qi'zhi'yi'xing
乞诸邻而与之,qi'zhu'lin'er'yu'zhi
其诸异乎人之求之与,qi'zhu'yi'hu'ren'zhi'qiu'zhi'yu
千乘之,qian'sheng'zhi
千乘之国,qian'sheng'zhi'guo
千室之邑,qian'shi'zhi'yi
浅则揭,qian'ze'jie
襁负其子而至矣,qiang'fu'qi'zi'er'zhi'yi
巧笑倩兮,qiao'xiao'qian'xi
巧言,qiao'yan
巧言令色,qiao'yan'ling'se
且格,qie'ge
切切,qie'qie
且予与其死於臣之手也,qie'yu'yu'qi'si'yu'chen'zhi'shou'ye
且予纵不得大葬,qie'yu'zong'bu'de'da'zang
且知方也,qie'zhi'fang'ye
寝不尸,qin'bu'shi
寝不言,qin'bu'yan
清,qing
请事斯语矣,qing'shi'si'yu'yi
请讨之,qing'tao'zhi
请问其目,qing'wen'qi'mu
请学为圃,qing'xue'wei'pu
请益,qing'yi
求,qiu
求备焉,qiu'bei'yan
丘何为是栖栖者与,qiu'he'wei'shi'xi'xi'zhe'yu
求仁而得仁,qiu'ren'er'de'ren
求善贾而沽诸,qiu'shan'jia'er'gu'zhu
丘未达,qiu'wei'da
求为可知也,qiu'wei'ke'zhi'ye
丘也,qiu'ye
求也,qiu'ye
求也何如,qiu'ye'he'ru
求也可使从政也与,qiu'ye'ke'shi'cong'zheng'ye'yu
求也退,qiu'ye'tui
求也问,qiu'ye'wen
丘也幸,qiu'ye'xing
求也艺,qiu'ye'yi
丘亦耻之,qiu'yi'chi'zhi
求於鲁,qiu'yu'lu
丘之祷久矣,qiu'zhi'dao'jiu'yi
求之艺,qiu'zhi'yi
求之与,qiu'zhi'yu
去,qu
去兵,qu'bing
蘧伯玉使人於孔子,qu'bo'yu'shi'ren'yu'kong'zi
曲肱而枕之,qu'gong'er'zhen'zhi
趋进,qu'jin
去食,qu'shi
权,quan
阙党童子将命,que'dang'tong'zi'jiang'ming
冉,ran
然,ran
冉伯牛,ran'bo'niu
然後君子,ran'hou'jun'zi
然後取,ran'hou'qu
然後为学,ran'hou'wei'xue
然後乐正,ran'hou'yue'zheng
然後知松柏雕也,ran'hou'zhi'song'bai'diao'ye
冉求,ran'qiu
冉求曰,ran'qiu'yue
冉有,ran'you
冉有仆,ran'you'pu
冉有曰,ran'you'yue
然则,ran'ze
然则从之者与,ran'ze'cong'zhi'zhe'yu
然则管仲知礼乎,ran'ze'guan'zhong'zhi'li'hu
冉子退朝,ran'zi'tui'chao
冉子为其母请栗,ran'zi'wei'qi'mu'qing'li
冉子与之栗五秉,ran'zi'yu'zhi'li'wu'bing
让以得之,rang'yi'de'zhi
人,ren
仁,ren
人必知之,ren'bi'zhi'zhi
人不间於其父母皆弟之言,ren'bu'jian'yu'qi'fu'mu'jie'di'zhi'yan
人不堪其忧,ren'bu'kan'qi'you
人不厌其取,ren'bu'yan'qi'qu
人不厌其笑,ren'bu'yan'qi'xiao
人不厌其言,ren'bu'yan'qi'yan
人不知而不,ren'bu'zhi'er'bu
人而不仁,ren'er'bu'ren
人而无恒,ren'er'wu'heng
人而无信,ren'er'wu'xin
人洁己以进,ren'jie'ji'yi'jin
人皆有兄弟,ren'jie'you'xiong'di
人其舍诸,ren'qi'she'zhu
人焉叟哉,ren'yan'sou'zai
人也,ren'ye
仁也,ren'ye
人矣,ren'yi
仁矣,ren'yi
仁矣乎,ren'yi'hu
人以为谄也,ren'yi'wei'chan'ye
仁以为己任,ren'yi'wei'ji'ren
仁远乎哉,ren'yuan'hu'zai
仁则吾不知也,ren'ze'wu'bu'zhi'ye
仁者,ren'zhe
仁者安仁,ren'zhe'an'ren
仁者不忧,ren'zhe'bu'you
仁者静,ren'zhe'jing
仁者乐山,ren'zhe'le'shan
仁者寿,ren'zhe'shou
仁者先难而后获,ren'zhe'xian'nan'er'hou'huo
人之恶也,ren'zhi'e'ye
人之过也,ren'zhi'guo'ye
人之将死,ren'zhi'jiang'si
人之生也直,ren'zhi'sheng'ye'zhi
人之言曰,ren'zhi'yan'yue
任重而道远,ren'zhong'er'dao'yuan
仍旧贯,reng'jiu'guan
肉虽多,rou'sui'duo
入,ru
如,ru
如不祭,ru'bu'ji
如不可求,ru'bu'ke'qiu
如不容,ru'bu'rong
如不善而莫之违也,ru'bu'shan'er'mo'zhi'wei'ye
如不胜,ru'bu'sheng
入大庙,ru'da'miao
入公门,ru'gong'men
如好色者也,ru'hao'se'zhe'ye
如会同,ru'hui'tong
如或知尔,ru'huo'zhi'er
如乐何,ru'le'he
如礼何,ru'li'he
如临深,ru'lin'shen
如履薄冰,ru'lv'bo'bing
如其礼乐,ru'qi'li'yue
如其仁,ru'qi'ren
如其善而莫之违也,ru'qi'shan'er'mo'zhi'wei'ye
如切如磋,ru'qie'ru'cuo
如斯而已乎,ru'si'er'yi'hu
入太庙,ru'tai'miao
如五六十,ru'wu'liu'shi
如也,ru'ye
如用之,ru'yong'zhi
如有,ru'you
如有博施於民而能济众,ru'you'bo'shi'yu'min'er'neng'ji'zhong
如有复我者,ru'you'fu'wo'zhe
如有所立,ru'you'suo'li
如有王者,ru'you'wang'zhe
如有周公之才之美,ru'you'zhou'gong'zhi'cai'zhi'mei
如愚,ru'yu
入则事父兄,ru'ze'shi'fu'xiong
入则孝,ru'ze'xiao
如正人何,ru'zheng'ren'he
如之何,ru'zhi'he
如之何其彻也,ru'zhi'he'qi'che'ye
如之何其闻斯行之,ru'zhi'he'qi'wen'si'xing'zhi
如知为君之难也,ru'zhi'wei'jun'zhi'nan'ye
如琢如磨,ru'zhuo'ru'mo
若圣与仁,ruo'sheng'yu'ren
若由也,ruo'you'ye
若臧武仲之知,ruo'zang'wu'zhong'zhi'zhi
三分天下有其二,san'fen'tian'xia'you'qi'er
三家者以雍彻,san'jia'zhe'yi'yong'che
三军可夺师也,san'jun'ke'duo'shi'ye
三年,san'nian
三年无改於父之道,san'nian'wu'gai'yu'fu'zhi'dao
三年学,san'nian'xue
三年有成,san'nian'you'cheng
三人行,san'ren'xing
三十而立,san'shi'er'li
三嗅而,san'xiu'er
三以天下让,san'yi'tian'xia'rang
三已之,san'yi'zhi
三月不知肉味,san'yue'bu'zhi'rou'wei
三子者出,san'zi'zhe'chu
丧,sang
丧事不敢不勉,sang'shi'bu'gan'bu'mian
丧无所不佩,sang'wu'suo'bu'pei
瑟,se
色勃如也,se'bo'ru'ye
色恶不食,se'e'bu'shi
色难,se'nan
色取仁而行违,se'qu'ren'er'xing'wei
色斯举矣,se'si'ju'yi
色庄者乎,se'zhuang'zhe'hu
山川其舍诸,shan'chuan'qi'she'zhu
善夫,shan'fu
山节藻木兑,shan'jie'zao'mu'dui
山梁雌雉,shan'liang'ci'zhi
善人,shan'ren
善人教民七年,shan'ren'jiao'min'qi'nian
善人为邦百年,shan'ren'wei'bang'bai'nian
善为我辞焉,shan'wei'wo'ci'yan
善哉,shan'zai
善哉问,shan'zai'wen
尚德哉若人,shang'de'zai'ruo'ren
上好礼,shang'hao'li
上好信,shang'hao'xin
上好义,shang'hao'yi
伤人乎,shang'ren'hu
上如揖,shang'ru'yi
商闻之矣,shang'wen'zhi'yi
商也不及,shang'ye'bu'ji
上矣,shang'yi
捎蒙保孔佑疲裆埔樱又路纾恍酥虏荩徊萆现绫刭取,shao'meng'bao'kong'you'pi'dang'pu'ying'you'lu'shu'huang'su'lu'jin'huai'bi'xian'ling'jing'qu
少有,shao'you
少者怀之,shao'zhe'huai'zhi
射不主皮,she'bu'zhu'pi
摄齐升堂,she'qi'sheng'tang
舍瑟而作,she'se'er'zuo
赦小过,she'xiao'guo
奢则不孙,she'ze'bu'sun
舍之则藏,she'zhi'ze'cang
甚,shen
神,shen
申枨,shen'cheng
慎而无礼则葸,shen'er'wu'li'ze'xi
申申如也,shen'shen'ru'ye
慎行,shen'xing
慎言其余,shen'yan'qi'yu
甚矣吾哀也,shen'yi'wu'ai'ye
深则厉,shen'ze'li
甚至矣乎,shen'zhi'yi'hu
慎终,shen'zhong
圣,sheng
生,sheng
升车,sheng'che
圣人,sheng'ren
十,shi
士,shi
师,shi
是,shi
誓,shi
诗,shi
食,shi
事不成,shi'bu'cheng
食不厌精,shi'bu'yan'jing
食不语,shi'bu'yu
是道也,shi'dao'ye
十而耳顺,shi'er'er'shun
士而怀居,shi'er'huai'ju
食而鱼馁而肉败,shi'er'yu'nei'er'rou'bai
式负版者,shi'fu'ban'zhe
事父母,shi'fu'mu
事父母几谏,shi'fu'mu'ji'jian
弑父与君,shi'fu'yu'jun
是故恶夫佞者,shi'gu'e'fu'ning'zhe
是故哂之,shi'gu'shen'zhi
事后素,shi'hou'su
使乎,shi'hu
是惑也,shi'huo'ye
使骄且吝,shi'jiao'qie'lin
事君,shi'jun
事君尽礼,shi'jun'jin'li
事君数,shi'jun'shu
是可忍也,shi'ke'ren'ye
始可与言诗矣,shi'ke'yu'yan'shi'yi
始可与言诗已矣,shi'ke'yu'yan'shi'yi'yi
是礼也,shi'li'ye
使民敬,shi'min'jing
使民如承大祭,shi'min'ru'cheng'da'ji
使民以时,shi'min'yi'shi
使民战栗,shi'min'zhan'li
市脯,shi'pu
视其所以,shi'qi'suo'yi
失饪不食,shi'ren'bu'shi
是人之所欲也,shi'ren'zhi'suo'yu'ye
誓如北辰居其所而众星共之,shi'ru'bei'chen'ju'qi'suo'er'zhong'xing'gong'zhi
实若处,shi'ruo'chu
诗三百,shi'san'bai
十世可知也,shi'shi'ke'zhi'ye
侍食於,shi'shi'yu
室是远而,shi'shi'yuan'er
十室之邑,shi'shi'zhi'yi
世叔讨论之,shi'shu'tao'lun'zhi
是谓能养,shi'wei'neng'yang
是谓弃之,shi'wei'qi'zhi
是为贼,shi'wei'zei
是谓之,shi'wei'zhi
是闻也,shi'wen'ye
使无讼乎,shi'wu'song'hu
是吾忧也,shi'wu'you'ye
始吾於人也,shi'wu'yu'ren'ye
是贤乎,shi'xian'hu
师也过,shi'ye'guo
师也辟,shi'ye'pi
是亦为政,shi'yi'wei'zheng
始有,shi'you
师与商也孰贤,shi'yu'shang'ye'shu'xian
使於四方,shi'yu'si'fang
视予犹父也,shi'yu'you'fu'ye
施於有政,shi'yu'you'zheng
诗云,shi'yun
时哉时哉,shi'zai'shi'zai
使者出,shi'zhe'chu
逝者如斯夫,shi'zhe'ru'si'fu
是知其,shi'zhi'qi
是知也,shi'zhi'ye
事之以礼,shi'zhi'yi'li
士志於道,shi'zhi'yu'dao
师挚之始,shi'zhi'zhi'shi
始作,shi'zuo
受命,shou'ming
守死善道,shou'si'shan'dao
授之以政,shou'zhi'yi'zheng
书,shu
孰不可忍也,shu'bu'ke'ren'ye
孰不知礼,shu'bu'zhi'li
束带立於朝,shu'dai'li'yu'chao
述而不作,shu'er'bu'zuo
述而第七,shu'er'di'qi
孰敢不正,shu'gan'bu'zheng
孰能为之大,shu'neng'wei'zhi'da
叔齐不念旧恶,shu'qi'bu'nian'jiu'e
叔齐何人也,shu'qi'he'ren'ye
孰谓微生高直,shu'wei'wei'sheng'gao'zhi
孰谓鄹人之子知礼乎,shu'wei'zou'ren'zhi'zi'zhi'li'hu
庶矣哉,shu'yi'zai
书云,shu'yun
谁能出不由户,shui'neng'chu'bu'you'hu
谁执鞭之士,shui'zhi'bian'zhi'shi
舜,shun
舜有臣五人,shun'you'chen'wu'ren
舜禹之有天下也,shun'yu'zhi'you'tian'xia'ye
说而不绎,shuo'er'bu'yi
说也,shuo'ye
说之不以道,shuo'zhi'bu'yi'dao
说之虽不以道,shuo'zhi'sui'bu'yi'dao
死,si
驷不及舌,si'bu'ji'she
似不能言者,si'bu'neng'yan'zhe
斯出矣,si'chu'yi
私觌,si'di
死而不悔者,si'er'bu'hui'zhe
思而不学则殆,si'er'bu'xue'ze'dai
死而後已,si'er'hou'yi
斯害也己,si'hai'ye'ji
四海之内,si'hai'zhi'nei
斯乎,si'hu
斯近信笑,si'jin'xin'xiao
斯可矣,si'ke'yi
司马牛问,si'ma'niu'wen
司马牛忧曰,si'ma'niu'you'yue
斯人也有斯疾,si'ren'ye'you'si'ji
斯人也有斯疾也,si'ren'ye'you'si'ji'ye
斯仁至矣,si'ren'zhi'yi
斯辱矣,si'ru'yi
死生有命,si'sheng'you'ming
四十而不惑,si'shi'er'bu'huo
四十五十而无闻焉,si'shi'wu'shi'er'wu'wen'yan
四书五经,si'shu'wu'jing
斯疏矣,si'shu'yi
斯为美,si'wei'mei
斯谓之君,si'wei'zhi'jun
思无邪,si'wu'xie
斯焉取斯,si'yan'qu'si
斯亦不足畏也已,si'yi'bu'zu'wei'ye'yi
斯已而已矣,si'yi'er'yi'yi
斯远暴慢矣,si'yuan'bao'man'yi
斯远鄙倍矣,si'yuan'bi'bei'yi
斯知仁矣,si'zhi'ren'yi
宋不足征也,song'bu'zu'zheng'ye
诵诗三百,song'shi'san'bai
宋元人注,song'yuan'ren'zhu
宿肉,su'rou
素衣裘,su'yi'qiu
素以为绚兮,su'yi'wei'xuan'xi
虽百世,sui'bai'shi
虽不吾以,sui'bu'wu'yi
虽车马,sui'che'ma
虽多,sui'duo
虽覆一篑,sui'fu'yi'kui
虽告之曰,sui'gao'zhi'yue
岁寒,sui'han
虽令不从,sui'ling'bu'cong
虽赏之不窃,sui'shang'zhi'bu'qie
遂事不谏,sui'shi'bu'jian
虽疏食,sui'shu'shi
虽狎必变,sui'xia'bi'bian
虽亵必以貌,sui'xie'bi'yi'mao
虽有粟,sui'you'su
虽欲从之,sui'yu'cong'zhi
虽欲勿用,sui'yu'wu'yong
虽远众,sui'yuan'zhong
虽曰不要,sui'yue'bu'yao
虽曰未学,sui'yue'wei'xue
虽之夷狄,sui'zhi'yi'di
所损益,suo'sun'yi
所谓大臣者,suo'wei'da'chen'zhe
泰,tai
台北,tai'bei
泰伯第八,tai'bo'di'ba
太伯其可谓至德也已矣,tai'bo'qi'ke'wei'zhi'de'ye'yi'yi
唐棣之华,tang'di'zhi'hua
汤有天下,tang'you'tian'xia
唐虞之际,tang'yu'zhi'ji
陶,tao
慝,te
慝与,te'yu
天将以夫子为木铎,tian'jiang'yi'fu'zi'wei'mu'duo
天丧予,tian'sang'yu
天生德於予,tian'sheng'de'yu'yu
天下归仁焉,tian'xia'gui'ren'yan
天下有道则见,tian'xia'you'dao'ze'jian
天下之无道也久矣,tian'xia'zhi'wu'dao'ye'jiu'yi
天厌之,tian'yan'zhi
天尤人,tian'you'ren
天之未丧斯文也,tian'zhi'wei'sang'si'wen'ye
天之章丧斯文也,tian'zhi'zhang'sang'si'wen'ye
天子穆穆,tian'zi'mu'mu
听其言而观其行,ting'qi'yan'er'guan'qi'xing
听其言而信其行,ting'qi'yan'er'xin'qi'xing
听讼,ting'song
童子见,tong'zi'jian
童子六七人,tong'zi'liu'qi'ren
徒义崇德也,tu'yi'chong'de'ye
退儿省其私,tui'er'sheng'qi'si
亡而为有,wang'er'wei'you
忘其身以及其亲,wang'qi'shen'yi'ji'qi'qin
王孙贾问曰,wang'sun'jia'wen'yue
王孙贾治军旅,wang'sun'jia'zhi'jun'lv
亡之,wang'zhi
罔之生也幸而免,wang'zhi'sheng'ye'xing'er'mian
为,wei
唯,wei
未,wei
危邦不人,wei'bang'bu'ren
未尝饱也,wei'chang'bao'ye
未尝至於偃之室也,wei'chang'zhi'yu'yan'zhi'shi'ye
