阿巴赖,a'ba'lai
哈萨克族的爱情长诗,ha'sa'ke'zu'de'ai'qing'chang'shi
哈萨克族的动物故事,ha'sa'ke'zu'de'dong'wu'gu'shi
哈萨克族的方向观,ha'sa'ke'zu'de'fang'xiang'guan
哈萨克族的纪年和纪月法,ha'sa'ke'zu'de'ji'nian'he'ji'yue'fa
哈萨克族的口号,ha'sa'ke'zu'de'kou'hao
哈萨克族的历法,ha'sa'ke'zu'de'li'fa
哈萨克族的民间文学,ha'sa'ke'zu'de'min'jian'wen'xue
哈萨克族的农业和农民,ha'sa'ke'zu'de'nong'ye'he'nong'min
哈萨克族的商品交易,ha'sa'ke'zu'de'shang'pin'jiao'yi
哈萨克族的手工业,ha'sa'ke'zu'de'shou'gong'ye
哈萨克族的狩猎,ha'sa'ke'zu'de'shou'lie
哈萨克族的系谱,ha'sa'ke'zu'de'xi'pu
哈萨克族的印记,ha'sa'ke'zu'de'yin'ji
哈萨克族的月名,ha'sa'ke'zu'de'yue'ming
哈萨克族的赞马曲,ha'sa'ke'zu'de'zan'ma'qu
哈萨克族的毡房,ha'sa'ke'zu'de'zhan'fang
哈萨克族家庭及遗产继承法,ha'sa'ke'zu'jia'ting'ji'yi'chan'ji'cheng'fa
哈萨克族名的含义,ha'sa'ke'zu'ming'de'han'yi
哈萨克族牧民的冬季住房,ha'sa'ke'zu'mu'min'de'dong'ji'zhu'fang
哈萨克族牧民所负担的各级官员薪俸,ha'sa'ke'zu'mu'min'suo'fu'dan'de'ge'ji'guan'yuan'xin'feng
哈萨克族年代演出的歌剧,ha'sa'ke'zu'nian'dai'yan'chu'de'ge'ju
哈萨克族萨满教,ha'sa'ke'zu'sa'man'jiao
哈萨克族舞蹈,ha'sa'ke'zu'wu'dao
哈萨克族岩画,ha'sa'ke'zu'yan'hua
哈萨克族招待客人的礼节,ha'sa'ke'zu'zhao'dai'ke'ren'de'li'jie
哈什伯克,ha'shen'bo'ke
哈斯木汗,ha'si'mu'han
哈斯木汗法典,ha'si'mu'han'fa'dian
哈吐浑索吉,ha'tu'hun'suo'ji
哈孜伯克,ha'zi'bo'ke
海比甫玉尼奇,hai'bi'fu'yu'ni'qi
海都,hai'dou
海尔堪,hai'er'kan
海尔克特,hai'er'ke'te
海兰格格,hai'lan'ge'ge
海推布,hai'tui'bu
海衣达尔沙依然尼,hai'yi'da'er'sha'yi'ran'ni
汗,han
汉敦煌太守裴岑纪功碑,han'dun'huang'tai'shou'pei'cen'ji'gong'bei
汉归义羌长印,han'gui'yi'qiang'chang'yin
罕尼卡,han'ni'ka
汉族,han'zu
汉族文化促进会,han'zu'wen'hua'cu'jin'hui
浩罕汗国,hao'han'han'guo
号帽,hao'mao
郝斯力汗,hao'si'li'han
和布克赛尔蒙古自治县,he'bu'ke'sai'er'meng'gu'zi'zhi'xian
合刺普华,he'ci'pu'hua
诃咥,he'die
和鄂尔勒克,he'e'er'le'ke
何伏帝延,he'fu'di'yan
饸饹,he'ge
何国,he'guo
和加尼牙孜,he'jia'ni'ya'zi
何戡,he'kan
和罗哩,he'luo'li
何满子,he'man'zi
河南县,he'nan'xian
曷萨,he'sa
和赏,he'shang
和什克,he'shen'ke
和硕特,he'shuo'te
曷思麦里,he'si'mai'li
和屯,he'tun
何妥,he'tuo
河州工回民小学,he'zhou'gong'hui'min'xiao'xue
和州回鹘,he'zhou'hui'hu
和卓,he'zhuo
和卓夏迪,he'zhuo'xia'di
黑骨头,hei'gu'tou
黑山派,hei'shan'pai
黑石,hei'shi
黑推布,hei'tui'bu
黑姓突骑施,hei'xing'tu'qi'shi
狠贼尔,hen'zei'er
弘吉剌惕,hong'ji'la'ti
侯倍,hou'bei
后晋,hou'jin
侯君集,hou'jun'ji
候坤,hou'kun
侯娄匐勒,hou'lou'fu'le
候门投币,hou'men'tou'bi
后世,hou'shi
后唐,hou'tang
忽必烈,hu'bi'lie
呼得,hu'de
忽都合别乞,hu'dou'he'bie'qi
虎非耶,hu'fei'ye
呼揭,hu'jie
呼揭单于,hu'jie'chan'yu
呼揭人的语言,hu'jie'ren'de'yu'yan
呼揭王,hu'jie'wang
呼剌散,hu'la'san
胡卢碛,hu'lu'qi
胡禄屋,hu'lu'wu
忽倪,hu'ni
胡赛音,hu'sai'yin
胡什齐,hu'shen'qi
护输,hu'shu
忽思慧,hu'si'hui
虎思斡耳朵,hu'si'wo'er'duo
胡天,hu'tian
呼图白,hu'tu'bai
呼图壁回族小学校,hu'tu'bi'hui'zu'xiao'xue'xiao
忽辛,hu'xin
斛薛,hu'xue
壶衍鞮单于,hu'yan'di'chan'yu
呼衍王,hu'yan'wang
花儿,hua'er
花儿会,hua'er'hui
花儿式舞姿,hua'er'shi'wu'zi
滑国,hua'guo
花寺门宦,hua'si'men'huan
华寺门宦,hua'si'men'huan
华严经,hua'yan'jing
怀信可汗,huai'xin'ke'han
黄焖羊肉,huang'men'yang'rou
黄牛羌,huang'niu'qiang
黄文弼,huang'wen'bi
黄姓突骑施,huang'xing'tu'qi'shi
回兵,hui'bing
回部,hui'bu
回部善后章程,hui'bu'shan'hou'zhang'cheng
恢复盟旗制度,hui'fu'meng'qi'zhi'du
回纥,hui'he
辉和尔,hui'he'er
回纥二客部,hui'he'er'ke'bu
回纥改名为回鹘,hui'he'gai'ming'wei'hui'hu
回纥内九姓,hui'he'nei'jiu'xing
回纥婆闰助唐收北庭,hui'he'po'run'zhu'tang'shou'bei'ting
回纥外九部,hui'he'wai'jiu'bu
回纥英武威远毗伽可汗碑,hui'he'ying'wu'wei'yuan'pi'ga'ke'han'bei
回鹘,hui'hu
回鹘道,hui'hu'dao
回鹘汗国灭亡后各部逃散情况,hui'hu'han'guo'mie'wang'hou'ge'bu'tao'san'qing'kuang
回鹘南迁,hui'hu'nan'qian
回鹘文,hui'hu'wen
回鹘文木刻活字,hui'hu'wen'mu'ke'huo'zi
回鹘文木柱文,hui'hu'wen'mu'zhu'wen
回鹘文钱币,hui'hu'wen'qian'bi
回鹘西迁,hui'hu'xi'qian
回鹘营,hui'hu'ying
回回,hui'hui
回辉登,hui'hui'deng
回回哈的司,hui'hui'ha'de'si
回回胡,hui'hui'hu
回回教,hui'hui'jiao
回回炮,hui'hui'pao
回回丧葬法,hui'hui'sang'zang'fa
回回堂,hui'hui'tang
回回药方,hui'hui'yao'fang
回回原来,hui'hui'yuan'lai
回回字,hui'hui'zi
回疆,hui'jiang
回疆则例,hui'jiang'ze'li
会礼,hui'li
回民出卡贸易章程,hui'min'chu'ka'mao'yi'zhang'cheng
惠宁城满营,hui'ning'cheng'man'ying
烩牛羊肉,hui'niu'yang'rou
慧嵩,hui'song
辉特,hui'te
回屯,hui'tun
回王陵,hui'wang'ling
惠远城满营,hui'yuan'cheng'man'ying
回子,hui'zi
回族,hui'zu
回族服饰,hui'zu'fu'shi
回族婚俗,hui'zu'hun'su
回族民居,hui'zu'min'ju
回族丧葬,hui'zu'sang'zang
回族饮食禁忌,hui'zu'yin'shi'jin'ji
浑,hun
昏礼,hun'li
珲台吉,hun'tai'ji
火赤哈尔的斤,huo'chi'ha'er'de'jin
霍集斯,huo'ji'si
霍集占,huo'ji'zhan
火焰报,huo'yan'bao
霍依尔恰克汗,huo'yi'er'qia'ke'han
火狱,huo'yu
火者,huo'zhe
火州交钞库,huo'zhou'jiao'chao'ku
火州交钞提举司,huo'zhou'jiao'chao'ti'ju'si
吉别克姑娘,ji'bie'ke'gu'niang
鸡蛋饼,ji'dan'bing
基督教,ji'du'jiao
吉尔加克人,ji'er'jia'ke'ren
吉利吉思,ji'li'ji'si
吉利洋行,ji'li'yang'hang
羁縻都督府,ji'mi'du'du'fu
羁縻州,ji'mi'zhou
集赛,ji'sai
吉祥涌洋行,ji'xiang'yong'yang'hang
迦鲁纳答思,jia'lu'na'da'si
加曼,jia'man
加尼别克,jia'ni'bie'ke
加尼别克汗,jia'ni'bie'ke'han
贾尼木汗,jia'ni'mu'han
迦腻色迦,jia'ni'se'jia
加帕尔萨迪克麻扎,jia'pa'er'sa'di'ke'ma'zha
袈裟肉,jia'sha'rou
家族,jia'zu
篯吉,jian'ji
坚昆,jian'kun
江格尔,jiang'ge'er
姜赖之墟,jiang'lai'zhi'xu
姜女书信,jiang'nv'shu'xin
姜行本,jiang'xing'ben
姜行本纪功碑,jiang'xing'ben'ji'gong'bei
交杯仪式,jiao'bei'yi'shi
教坊,jiao'fang
交河大佛寺,jiao'he'da'fo'si
教会,jiao'hui
教门,jiao'men
教义学大纲,jiao'yi'xue'da'gang
戒法,jie'fa
解放前甘肃青海的哈萨克族返回新疆,jie'fang'qian'gan'su'qing'hai'de'ha'sa'ke'zu'fan'hui'xin'jiang
结骨,jie'gu
揭面纱歌,jie'mian'sha'ge
结社率,jie'she'lv
结夏,jie'xia
解忧公主,jie'you'gong'zhu
金伯沙,jin'bo'sha
金大车,jin'da'che
金顶寺银顶寺,jin'ding'si'yin'ding'si
金刚经,jin'gang'jing
金光明经,jin'guang'ming'jing
金花寺,jin'hua'si
金瓶掣签,jin'ping'che'qian
金树仁,jin'shu'ren
金相印,jin'xiang'yin
净火处理,jing'huo'chu'li
景教,jing'jiao
敬客曲,jing'ke'qu
净礼,jing'li
经名,jing'ming
景琼,jing'qiong
精思汗,jing'si'han
经堂教育,jing'tang'jiao'yu
经堂语,jing'tang'yu
经学系传谱,jing'xue'xi'chuan'pu
敬烟,jing'yan
靖远寺,jing'yuan'si
韭菜合子,jiu'cai'he'zi
鸠摩罗什,jiu'mo'luo'shen
九姓回鹘可汗碑,jiu'xing'hui'hu'ke'han'bei
九姓铁勒,jiu'xing'tie'le
九姓乌古斯,jiu'xing'wu'gu'si
菊尔汗,ju'er'han
聚礼,ju'li
居苏甫别克夏依柯斯拉木,ju'su'fu'bie'ke'xia'yi'ke'si'la'mu
捐毒国,juan'du'guo
军臣单于,jun'chen'chan'yu
君登里逻汨没蜜施合毗伽可汗,jun'deng'li'luo'mi'mei'mi'shi'he'pi'ga'ke'han
军须靡,jun'xu'mi
喀尔莽阿,ka'er'mang'a
卡尔梅克,ka'er'mei'ke
卡尔梅克诸汗简史,ka'er'mei'ke'zhu'han'jian'shi
卡尔帕克,ka'er'pa'ke
卡尔万夏,ka'er'wan'xia
喀喇汗的含义,ka'la'han'de'han'yi
喀喇汗王朝的铜币,ka'la'han'wang'chao'de'tong'bi
喀喇汗王朝钱币,ka'la'han'wang'chao'qian'bi
喀喇汗王朝西回鹘国,ka'la'han'wang'chao'xi'hui'hu'guo
喀喇汗王朝西回鹘国的分裂,ka'la'han'wang'chao'xi'hui'hu'guo'de'fen'lie
喀喇汗王朝与辽朝的关系,ka'la'han'wang'chao'yu'liao'chao'de'guan'xi
喀喇汗王朝于阗国与宋朝的官方贸易,ka'la'han'wang'chao'yu'tian'guo'yu'song'chao'de'guan'fang'mao'yi
喀喇汗王朝与于阗国,ka'la'han'wang'chao'yu'yu'tian'guo
喀喇契丹,ka'la'qi'dan
卡龙,ka'long
卡伦伯克,ka'lun'bo'ke
喀申和卓,ka'shen'he'zhuo
喀什艾提卡尔清真寺,ka'shi'ai'ti'ka'er'qing'zhen'si
喀什噶尔史,ka'shi'ga'er'shi
喀什噶尔之歌,ka'shi'ga'er'zhi'ge
卡塔游戏,ka'ta'you'xi
卡特万大战,ka'te'wan'da'zhan
卡依恰库达,ka'yi'qia'ku'da
卡孜,ka'zi
开经,kai'jing
凯兰代尔,kai'lan'dai'er
开斋,kai'zhai
开斋节,kai'zhai'jie
开斋捐,kai'zhai'juan
堪布,kan'bu
坎儿井,kan'er'jing
勘马刺丁,kan'ma'ci'ding
砍土镘,kan'tu'man
康阿义屈达干,kang'a'yi'qu'da'gan
康待宾,kang'dai'bin
康符真,kang'fu'zhen
康国,kang'guo
康里,kang'li
康鞘利,kang'qiao'li
康艳典,kang'yan'dian
烤包子,kao'bao'zi
考姆孜,kao'mu'zi
烤全羊,kao'quan'yang
烤羊肉,kao'yang'rou
刻本佛说天地八阳神咒经,ke'ben'fo'shuo'tian'di'ba'yang'shen'zhou'jing
可敦,ke'dun
柯尔奥古孜,ke'er'ao'gu'zi
克尔白,ke'er'bai
柯尔盖孜,ke'er'gai'zi
柯尔克居孜,ke'er'ke'ju'zi
柯尔克孜历法,ke'er'ke'zi'li'fa
柯尔克孜文,ke'er'ke'zi'wen
柯尔克孜语,ke'er'ke'zi'yu
柯尔克孜族,ke'er'ke'zi'zu
柯尔克孜族婚俗,ke'er'ke'zi'zu'hun'su
柯尔克孜族家庭,ke'er'ke'zi'zu'jia'ting
柯尔克孜族礼俗,ke'er'ke'zi'zu'li'su
柯尔克孜族马鞍,ke'er'ke'zi'zu'ma'an
柯尔克孜族马上杂技,ke'er'ke'zi'zu'ma'shang'za'ji
柯尔克孜族名,ke'er'ke'zi'zu'ming
柯尔克孜族人口,ke'er'ke'zi'zu'ren'kou
柯尔克孜族摔跤,ke'er'ke'zi'zu'shuai'jiao
柯尔克孜族体质类型,ke'er'ke'zi'zu'ti'zhi'lei'xing
柯尔克孜族舞蹈,ke'er'ke'zi'zu'wu'dao
柯尔克孜族摇篮,ke'er'ke'zi'zu'yao'lan
柯尔克孜族葬俗,ke'er'ke'zi'zu'zang'su
克尔木齐墓葬,ke'er'mu'qi'mu'zang
柯尔乌古孜,ke'er'wu'gu'zi
可汗,ke'han
克赫马里木麻扎,ke'he'ma'li'mu'ma'zha
克呼克雅克伯克,ke'hu'ke'ya'ke'bo'ke
克烈,ke'lie
克列克里克,ke'lie'ke'li'ke
克烈依汗,ke'lie'yi'han
克米孜木润杜克节,ke'mi'zi'mu'run'du'ke'jie
可萨突厥国,ke'sa'tu'jue'guo
克真普尔,ke'zhen'pu'er
克孜尔石窟,ke'zi'er'shi'ku
科孜库尔帕什与巴彦苏露,ke'zi'ku'er'pa'shen'yu'ba'yan'su'lu
克孜勒苏柯尔克孜自治州,ke'zi'le'su'ke'er'ke'zi'zi'zhi'zhou
孔额尔,kong'e'er
孔雀河下游古基地人种,kong'que'he'xia'you'gu'ji'di'ren'zhong
口唤,kou'huan
口弦,kou'xian
库不林耶,ku'bu'lin'ye
库布孜,ku'bu'zi
库车加曼清真寺,ku'che'jia'man'qing'zhen'si
苦尔,ku'er
库尔班海里迪,ku'er'ban'hai'li'di
库尔班库达依,ku'er'ban'ku'da'yi
库尔达克,ku'er'da'ke
哭嫁歌,ku'jia'ge
库库岱,ku'ku'dai
库勒恰克,ku'le'qia'ke
库木吐拉石窟,ku'mu'tu'la'shi'ku
库涅,ku'nie
狯胡,kuai'hu
葵达斯坦,kui'da'si'tan
魁纳克,kui'na'ke
昆,kun
昆都仑乌巴什,kun'dou'lun'wu'ba'shen
困锅子,kun'guo'zi
昆莫,kun'mo
阔缺饭,kuo'que'fan
拉布古孜放歌集,la'bu'gu'zi'fang'ge'ji
拉藏汗,la'cang'han
拉夫德汗,la'fu'de'han
喇嘛,la'ma
喇嘛达尔扎,la'ma'da'er'zha
拉失德史,la'shi'de'shi
拉西贤图,la'xi'xian'tu
赖和木图拉,lai'he'mu'tu'la
栏盖力,lan'gai'li
老派,lao'pai
老人屋,lao'ren'wu
老上单于,lao'shang'chan'yu
李柏,li'bai
礼拜,li'bai
李柏书稿,li'bai'shu'gao
李崇,li'chong
李存勖,li'cun'xu
李广利,li'guang'li
李克用,li'ke'yong
李嗣业,li'si'ye
李嗣源,li'si'yuan
黎特夫拉穆塔里甫,li'te'fu'la'mu'ta'li'fu
李暹,li'xian
李元忠,li'yuan'zhong
莲花精进,lian'hua'jing'jin
廉希宪,lian'xi'xian
梁慬,liang'jin
猎骄靡,lie'jiao'mi
列斯肯,lie'si'ken
林基路,lin'ji'lu
林则徐,lin'ze'xu
六保馆子,liu'bao'guan'zi
六大使者,liu'da'shi'zhe
六大信仰,liu'da'xin'yang
六道轮四,liu'dao'lun'si
六工拱北,liu'gong'gong'bei
六和,liu'he
刘锦棠,liu'jin'tang
刘平国治关亭诵,liu'ping'guo'zhi'guan'ting'song
流沙坠简,liu'sha'zhui'jian
龙兴寺,long'xing'si
楼兰,lou'lan
楼兰遗址东郊墓地人种,lou'lan'yi'zhi'dong'jiao'mu'di'ren'zhong
鹿角山沙陀,lu'jiao'shan'sha'tuo
禄胜,lu'sheng
鲁提斐,lu'ti'fei
露乌,lu'wu
骆宾王,luo'bin'wang
罗布藏丹津,luo'bu'cang'dan'jin
罗布藏丹增,luo'bu'cang'dan'zeng
罗刹,luo'cha
落后民族,luo'hou'min'zu
洛普山普拉墓地人种,luo'pu'shan'pu'la'mu'di'ren'zhong
罗斯,luo'si
罗尊汗,luo'zun'han
吕光,lv'guang
马呈祥,ma'cheng'xiang
马福禄,ma'fu'lu
马福兴,ma'fu'xing
马哈木,ma'ha'mu
玛哈图木阿杂木,ma'ha'tu'mu'a'za'mu
玛罕木特,ma'han'mu'te
玛合图木阿杂木,ma'he'tu'mu'a'za'mu
马黑麻汗,ma'hei'ma'han
马九皋,ma'jiu'gao
马九霄,ma'jiu'xiao
玛卡姆,ma'ka'mu
玛克塔勒舞春,ma'ke'ta'le'wu'chun
马良骏,ma'liang'jun
马良柱,ma'liang'zhu
马鬣山之战,ma'lie'shan'zhi'zhan
玛米,ma'mi
马明,ma'ming
马木剌的斤,ma'mu'la'de'jin
麻木提,ma'mu'ti
玛纳斯,ma'na'si
马启西,ma'qi'xi
马上拔河,ma'shang'ba'he
马上角力,ma'shang'jue'li
麻射寺,ma'she'si
马寿荣,ma'shou'rong
马万信,ma'wan'xin
马文海,ma'wen'hai
马五哥和尕豆妹,ma'wu'ge'he'ga'dou'mei
麻扎,ma'zha
麻扎朝拜,ma'zha'chao'bai
麻扎寺,ma'zha'si
马仲英,ma'zhong'ying
马宗富,ma'zong'fu
迈哈默特,mai'ha'mo'te
麦加,mai'jia
买闾,mai'lv
迈买的明,mai'mai'de'ming
买买提夏和加,mai'mai'ti'xia'he'jia
迈买铁里,mai'mai'tie'li
麦斯武德,mai'si'wu'de
麦西热甫,mai'xi're'fu
迈孜木杂特,mai'zi'mu'za'te
满楚克扎布,man'chu'ke'zha'bu
曼吉尔,man'ji'er
满文,man'wen
满语,man'yu
满洲,man'zhou
满族,man'zu
满族的祭天仪礼,man'zu'de'ji'tian'yi'li
满族的居住风俗,man'zu'de'ju'zhu'feng'su
满族的丧葬仪礼,man'zu'de'sang'zang'yi'li
满族萨满教,man'zu'sa'man'jiao
莽噶里克,mang'ga'li'ke
芒吉特王朝,mang'ji'te'wang'chao
忙你教下部赞,mang'ni'jiao'xia'bu'zan
毛拉比拉尔,mao'la'bi'la'er
毛拉额什丁和卓,mao'la'e'shen'ding'he'zhuo
毛拉额什丁麻扎,mao'la'e'shen'ding'ma'zha
毛拉木沙,mao'la'mu'sha
毛拉翟一丁,mao'la'zhai'yi'ding
毛球游戏,mao'qiu'you'xi
茂萨,mao'sa
茂升洋行,mao'sheng'yang'hang
贸易圈,mao'yi'quan
贸易亭,mao'yi'ting
毛泽民,mao'ze'min
梅录,mei'lu
门宦,men'huan
蒙额勒多尔,meng'e'le'duo'er
蒙哥,meng'ge
猛哥帖木儿,meng'ge'tie'mu'er
蒙古回回,meng'gu'hui'hui
蒙古爵秩,meng'gu'jue'zhi
蒙古畏兀字,meng'gu'wei'wu'zi
蒙古族,meng'gu'zu
蒙古族萨满教,meng'gu'zu'sa'man'jiao
蒙哈柯代表大会,meng'ha'ke'dai'biao'da'hui
蒙昧民族,meng'mei'min'zu
盟旗制度,meng'qi'zhi'du
孟速思,meng'su'si
弥俄突,mi'e'tu
米尔马黑麻,mi'er'ma'hei'ma
米尔咱马黑麻海答儿,mi'er'zan'ma'hei'ma'hai'da'er
米国,mi'guo
米怀玉,mi'huai'yu
密拉布伯克,mi'la'bu'bo'ke
米剌印丁国栋起义,mi'la'yin'ding'guo'dong'qi'yi
米兰古堡的吐蕃文物,mi'lan'gu'bao'de'tu'bo'wen'wu
弥勒会见记,mi'le'hui'jian'ji
弥勒三弥底经,mi'le'san'mi'di'jing
弥撒,mi'sa
密什克栋固鲁布,mi'shen'ke'dong'gu'lu'bu
米顺,mi'shun
密斯伯克,mi'si'bo'ke
妙法莲华经,miao'fa'lian'hua'jing
篾尔乞惕,mie'er'qi'ti
乜贴,mie'tie
民国时期阿勒泰地区哈萨克的统治机构,min'guo'shi'qi'a'le'tai'di'qu'ha'sa'ke'de'tong'zhi'ji'gou
民国时期塔城地区哈萨克的统治机构,min'guo'shi'qi'ta'cheng'di'qu'ha'sa'ke'de'tong'zhi'ji'gou
民主改革,min'zhu'gai'ge
民族,min'zu
民族差别,min'zu'cha'bie
民族分裂主义,min'zu'fen'lie'zhu'yi
民族教育,min'zu'jiao'yu
民族解放运动,min'zu'jie'fang'yun'dong
民族经济工作,min'zu'jing'ji'gong'zuo
民族聚居区,min'zu'ju'ju'qu
民族利己主义,min'zu'li'ji'zhu'yi
民族矛盾,min'zu'mao'dun
民族平等,min'zu'ping'deng
民族区域自治,min'zu'qu'yu'zi'zhi
民族融合,min'zu'rong'he
民族沙文主义,min'zu'sha'wen'zhu'yi
民族识别,min'zu'shi'bie
民族同化,min'zu'tong'hua
民族团结,min'zu'tuan'jie
民族团结教育月,min'zu'tuan'jie'jiao'yu'yue
民族团结进步先进集体先进个人表彰活动,min'zu'tuan'jie'jin'bu'xian'jin'ji'ti'xian'jin'ge'ren'biao'zhang'huo'dong
民族卫生,min'zu'wei'sheng
民族文化,min'zu'wen'hua
民族问题,min'zu'wen'ti
民族乡,min'zu'xiang
民族学,min'zu'xue
民族语言,min'zu'yu'yan
民族杂居区,min'zu'za'ju'qu
民族知识竞赛活动,min'zu'zhi'shi'jing'sai'huo'dong
民族自决权,min'zu'zi'jue'quan
民族自治地方,min'zu'zi'zhi'di'fang
明伯克,ming'bo'ke
默啜可汗,mo'chuo'ke'han
冒顿单于,mo'du'chan'yu
莫古特洛夫,mo'gu'te'luo'fu
莫贺达干,mo'he'da'gan
莫贺咄屈利俟毗可汗,mo'he'duo'qu'li'si'pi'ke'han
莫克,mo'ke
莫昆萨满,mo'kun'sa'man
莫昆宗谱,mo'kun'zong'pu
摩尼,mo'ni
摩尼光佛教法仪略,mo'ni'guang'fo'jiao'fa'yi'lue
摩尼教,mo'ni'jiao
摩尼教的七戒三封,mo'ni'jiao'de'qi'jie'san'feng
摩尼教的十戒,mo'ni'jiao'de'shi'jie
摩尼教的渊源,mo'ni'jiao'de'yuan'yuan
摩尼教进入回鹘汗国的经过,mo'ni'jiao'jin'ru'hui'hu'han'guo'de'jing'guo
摩尼教旗幡,mo'ni'jiao'qi'fan
摩尼教寺院文书,mo'ni'jiao'si'yuan'wen'shu
摩尼像,mo'ni'xiang
摩提色布伯克,mo'ti'se'bu'bo'ke
摩醯逻矩罗,mo'xi'luo'ju'luo
默奚斯德,mo'xi'si'de
穆安津,mu'an'jin
慕阇,mu'du
穆夫提,mu'fu'ti
穆夫提门宦,mu'fu'ti'men'huan
木杆可汗,mu'gan'ke'han
慕格山的粟特语文献和钱币,mu'ge'shan'de'su'te'yu'wen'xian'he'qian'bi
牧工,mu'gong
牧工牧主两利政策,mu'gong'mu'zhu'liang'li'zheng'ce
木骨闾,mu'gu'lv
穆国,mu'guo
木汗买沙以提,mu'han'mai'sha'yi'ti
穆罕默德,mu'han'mo'de
穆罕默德喀什噶里,mu'han'mo'de'ka'shi'ga'li
穆罕默德喀什噶里墓,mu'han'mo'de'ka'shi'ga'li'mu
穆罕默德萨迪克喀什噶里,mu'han'mo'de'sa'di'ke'ka'shi'ga'li
穆罕默德谢里甫,mu'han'mo'de'xie'li'fu
穆罕默德谢里甫麻扎,mu'han'mo'de'xie'li'fu'ma'zha
穆罕默德伊敏,mu'han'mo'de'yi'min
穆罕默德伊斯哈克,mu'han'mo'de'yi'si'ha'ke
穆罕默德玉素甫,mu'han'mo'de'yu'su'fu
木拉提热木孜,mu'la'ti're'mu'zi
木垒哈萨克自治县,mu'lei'ha'sa'ke'zi'zhi'xian
慕利延,mu'li'yan
穆伦德克汗,mu'lun'de'ke'han
木球,mu'qiu
牧师,mu'shi
穆斯林,mu'si'lin
木特斡里伯克,mu'te'wo'li'bo'ke
穆天子传,mu'tian'zi'chuan
穆兴发,mu'xing'fa
穆依登,mu'yi'deng
沐仲易,mu'zhong'yi
牧主,mu'zhu
那盖,na'gai
纳格拉,na'ge'la
纳克布伯克,na'ke'bu'bo'ke
那仁,na'ren
纳吾热孜节,na'wu're'zi'jie
奶茶,nai'cha
乃蛮,nai'man
迺贤,nai'xian
耐依,nai'yi
乃滋尔,nai'zi'er
难兜靡,nan'dou'mi
南瓜饺子,nan'gua'jiao'zi
南吉尔吉斯,nan'ji'er'ji'si
南山部族,nan'shan'bu'zu
馕,nang
闹公婆,nao'gong'po
呢牙斯,ne'ya'si
内蒙古莫力达瓦达斡尔族自治旗,nei'meng'gu'mo'li'da'wa'da'wo'er'zu'zi'zhi'qi
泥撅处罗可汗,ni'jue'chu'luo'ke'han
尼卡罕,ni'ka'han
泥利可汗,ni'li'ke'han
泥靡,ni'mi
念功,nian'gong
年民族工作会议,nian'min'zu'gong'zuo'hui'yi
年全国边防工作会议,nian'quan'guo'bian'fang'gong'zuo'hui'yi
年全国民委主任会议,nian'quan'guo'min'wei'zhu'ren'hui'yi
年全国民委主任扩大会议,nian'quan'guo'min'wei'zhu'ren'kuo'da'hui'yi
年全国民族工作会议,nian'quan'guo'min'zu'gong'zuo'hui'yi
年全国民族团结进步先进集体先进人物表彰大会,nian'quan'guo'min'zu'tuan'jie'jin'bu'xian'jin'ji'ti'xian'jin'ren'wu'biao'zhang'da'hui
年全国牧区工作会议,nian'quan'guo'mu'qu'gong'zuo'hui'yi
年全国少数民族地区扶贫工作会议,nian'quan'guo'shao'shu'min'zu'di'qu'fu'pin'gong'zuo'hui'yi
年全国少数民族语言文字工作会议,nian'quan'guo'shao'shu'min'zu'yu'yan'wen'zi'gong'zuo'hui'yi
年人大民委主任会议,nian'ren'da'min'wei'zhu'ren'hui'yi
年乌孜别克族部分人户返回苏联,nian'wu'zi'bie'ke'zu'bu'fen'ren'hu'fan'hui'su'lian
年由青海迁回新疆的哈萨克族,nian'you'qing'hai'qian'hui'xin'jiang'de'ha'sa'ke'zu
年中央民族工作会议,nian'zhong'yang'min'zu'gong'zuo'hui'yi
酿皮子,niang'pi'zi
涅槃,nie'pan
宁国公主,ning'guo'gong'zhu
宁玛派,ning'ma'pai
宁西县,ning'xi'xian
纽林的斤,niu'lin'de'jin
牛录规章,niu'lu'gui'zhang
牛髓油茶面,niu'sui'you'cha'mian
牛头山,niu'tou'shan
牛羊杂碎,niu'yang'za'sui
农桑撮要,nong'sang'cuo'yao
农业民族,nong'ye'min'zu
耨沙喭,nou'sha'yan
奴婢,nu'bi
努拉里汗,nu'la'li'han
奴拉赛铜矿遗址,nu'la'sai'tong'kuang'yi'zhi
奴素甫汗昆拜,nu'su'fu'han'kun'bai
努图克,nu'tu'ke
暖炕,nuan'kang
诺比德,nuo'bi'de
诺劳孜节,nuo'lao'zi'jie
女国,nv'guo
帕勒塔,pa'le'ta
帕里诺夫,pa'li'nuo'fu
帕斯喀节,pa'si'ka'jie
帕提沙布伯克,pa'ti'sha'bu'bo'ke
庞特勤,pang'te'qin
裴岑纪功碑,pei'cen'ji'gong'bei
裴行俭,pei'xing'jian
朋楚克,peng'chu'ke
毗伽可汗,pi'ga'ke'han
毗伽可汗碑,pi'ga'ke'han'bei
毗伽阙卡迪尔汗,pi'ga'que'ka'di'er'han
仳理伽普华,pi'li'ga'pu'hua
皮里克,pi'li'ke
品级,pin'ji
平定陕甘新疆回匪方略,ping'ding'shan'gan'xin'jiang'hui'fei'fang'lue
蒲多达,pu'duo'da
普尔,pu'er
仆固俊,pu'gu'jun
