暗区,an'qu
右后叶,you'hou'ye
有假包膜,you'jia'bao'mo
有假包膜回声,you'jia'bao'mo'hui'sheng
右脐旁,you'qi'pang
右前斜径,you'qian'xie'jing
右前叶,you'qian'ye
有球体感,you'qiu'ti'gan
右肾动脉,you'shen'dong'mai
右肾集合系统分离,you'shen'ji'he'xi'tong'fen'li
右肾静脉,you'shen'jing'mai
右肾切面,you'shen'qie'mian
右肾切面内径,you'shen'qie'mian'nei'jing
右肾肾静脉增宽,you'shen'shen'jing'mai'zeng'kuan
右肾实质回声增强,you'shen'shi'zhi'hui'sheng'zeng'qiang
右肾未见异常回声,you'shen'wei'jian'yi'chang'hui'sheng
右室流出道,you'shi'liu'chu'dao
右室增大,you'shi'zeng'da
右输尿管上段内径,you'shu'niao'guan'shang'duan'nei'jing
右下腹腔,you'xia'fu'qiang
有纤维包膜内部回声均匀,you'xian'wei'bao'mo'nei'bu'hui'sheng'jun'yun
右向左分流信号,you'xiang'zuo'fen'liu'xin'hao
右心房,you'xin'fang
右心室,you'xin'shi
右叶甲状腺,you'ye'jia'zhuang'xian
右支,you'zhi
淤泥,yu'ni
远场回声轻度衰减,yuan'chang'hui'sheng'qing'du'shuai'jian
远场衰减,yuan'chang'shuai'jian
远端静脉,yuan'duan'jing'mai
原发胆囊癌,yuan'fa'dan'nang'ai
圆胖,yuan'pang
原始心管搏动,yuan'shi'xin'guan'bo'dong
圆形,yuan'xing
孕囊,yun'nang
孕囊回声,yun'nang'hui'sheng
杂乱回声,za'luan'hui'sheng
早孕,zao'yun
增大,zeng'da
增厚,zeng'hou
增强增厚,zeng'qiang'zeng'hou
枕窗,zhen'chuang
正常,zheng'chang
正常大小,zheng'chang'da'xiao
直肠窝,zhi'chang'wo
脂肪层,zhi'fang'ceng
脂肪肝,zhi'fang'gan
肢深静脉未见异常,zhi'shen'jing'mai'wei'jian'yi'chang
脂液分层征,zhi'ye'fen'ceng'zheng
中部,zhong'bu
中等回声,zhong'deng'hui'sheng
中等回声肿块,zhong'deng'hui'sheng'zhong'kuai
中度返流,zhong'du'fan'liu
重度返流,zhong'du'fan'liu
中度狭窄,zhong'du'xia'zhai
重度狭窄,zhong'du'xia'zhai
中度增大,zhong'du'zeng'da
重度增大,zhong'du'zeng'da
中腹部,zhong'fu'bu
中肝静脉,zhong'gan'jing'mai
肿块,zhong'kuai
肿块边缘不规则,zhong'kuai'bian'yuan'bu'gui'ze
肿瘤可能,zhong'liu'ke'neng
肿瘤可能大,zhong'liu'ke'neng'da
中下段未显示,zhong'xia'duan'wei'xian'shi
中孕,zhong'yun
中重度返流,zhong'zhong'du'fan'liu
中重度狭窄,zhong'zhong'du'xia'zhai
皱缩,zhou'suo
主动脉,zhu'dong'mai
主动脉瓣,zhu'dong'mai'ban
主动脉瓣返流,zhu'dong'mai'ban'fan'liu
主动脉瓣少量返流,zhu'dong'mai'ban'shao'liang'fan'liu
主动脉瓣形态,zhu'dong'mai'ban'xing'tai
主动脉不宽,zhu'dong'mai'bu'kuan
主动脉弓,zhu'dong'mai'gong
主动脉增宽,zhu'dong'mai'zeng'kuan
主干,zhu'gan
主漏,zhu'lou
主胰管未见扩张,zhu'yi'guan'wei'jian'kuo'zhang
椎动脉,zhui'dong'mai
椎基底动脉,zhui'ji'di'dong'mai
子宫边界规整,zi'gong'bian'jie'gui'zheng
子宫附件未见异常,zi'gong'fu'jian'wei'jian'yi'chang
子宮后位,zi'gong'hou'wei
子宫肌层,zi'gong'ji'ceng
子宫肌瘤,zi'gong'ji'liu
子宫颈内口,zi'gong'jing'nei'kou
子宫内膜,zi'gong'nei'mo
子宫内膜清,zi'gong'nei'mo'qing
子宫前壁,zi'gong'qian'bi
子宫前位,zi'gong'qian'wei
子宫腔,zi'gong'qiang
子宫外形正常,zi'gong'wai'xing'zheng'chang
子宫腺肌瘤,zi'gong'xian'ji'liu
子宫直肠窝,zi'gong'zhi'chang'wo
纵隔子宫,zong'ge'zi'gong
走行,zou'xing
走行正常,zou'xing'zheng'chang
足背动脉,zu'bei'dong'mai
足背静脉,zu'bei'jing'mai
阻力指数,zu'li'zhi'shu
最大羊水暗区,zui'da'yang'shui'an'qu
左侧,zuo'ce
左侧卵巢,zuo'ce'luan'chao
左肝管,zuo'gan'guan
左肝静脉,zuo'gan'jing'mai
左甲状腺,zuo'jia'zhuang'xian
左内叶,zuo'nei'ye
左上腹,zuo'shang'fu
左肾动脉,zuo'shen'dong'mai
左肾静脉,zuo'shen'jing'mai
左肾切面,zuo'shen'qie'mian
左肾切面内径,zuo'shen'qie'mian'nei'jing
左室后壁,zuo'shi'hou'bi
左室缩短率,zuo'shi'suo'duan'lv
左外叶,zuo'wai'ye
坐位背部探查,zuo'wei'bei'bu'tan'cha
左下腹,zuo'xia'fu
左下腹腔,zuo'xia'fu'qiang
左向右分流,zuo'xiang'you'fen'liu
左心房,zuo'xin'fang
左心功能,zuo'xin'gong'neng
左心室,zuo'xin'shi
左右径,zuo'you'jing
左支,zuo'zhi
