阿拉伯联盟经济理事会,a'la'bo'lian'meng'jing'ji'li'shi'hui
点火剂,dian'huo'ji
点火脉冲传感器电源,dian'huo'mai'chong'chuan'gan'qi'dian'yuan
点火器,dian'huo'qi
点火时间间隔,dian'huo'shi'jian'jian'ge
点火顺序,dian'huo'shun'xu
点火系统,dian'huo'xi'tong
点火者,dian'huo'zhe
电极,dian'ji
电极暗电流,dian'ji'an'dian'liu
电击穿,dian'ji'chuan
电极的导纳,dian'ji'de'dao'na
电极电位,dian'ji'dian'wei
电极电压,dian'ji'dian'ya
电极电阻,dian'ji'dian'zu
电激发极化法,dian'ji'fa'ji'hua'fa
电积分,dian'ji'fen
电机工程,dian'ji'gong'cheng
电机工程师,dian'ji'gong'cheng'shi
电极化电位,dian'ji'hua'dian'wei
电极化率,dian'ji'hua'lv
电极极板,dian'ji'ji'ban
电极几何形状,dian'ji'ji'he'xing'zhuang
电极极化,dian'ji'ji'hua
电极间距,dian'ji'jian'ju
电极焦,dian'ji'jiao
电极距,dian'ji'ju
电极聚结面积,dian'ji'ju'jie'mian'ji
电极均衡势,dian'ji'jun'heng'shi
电激励,dian'ji'li
电记录器,dian'ji'lu'qi
电记录术,dian'ji'lu'shu
电极排列,dian'ji'pai'lie
电极偏压,dian'ji'pian'ya
电极特性,dian'ji'te'xing
电极调整器,dian'ji'tiao'zheng'qi
电极系,dian'ji'xi
奠基者,dian'ji'zhe
电极阻抗,dian'ji'zu'kang
电价,dian'jia
电加工,dian'jia'gong
电价键,dian'jia'jian
电加热,dian'jia're
电加热钻井,dian'jia're'zuan'jing
电解,dian'jie
电解槽,dian'jie'cao
电解测井,dian'jie'ce'jing
电解沉淀,dian'jie'chen'dian
电解沉积,dian'jie'chen'ji
电解淬火,dian'jie'cui'huo
电解导电,dian'jie'dao'dian
电解的,dian'jie'de
电解电池,dian'jie'dian'chi
电解电容器,dian'jie'dian'rong'qi
电解断续器,dian'jie'duan'xu'qi
电解法,dian'jie'fa
电解反应,dian'jie'fan'ying
电解放电加工,dian'jie'fang'dian'jia'gong
电解放电器,dian'jie'fang'dian'qi
电解腐蚀,dian'jie'fu'shi
电解腐蚀试验,dian'jie'fu'shi'shi'yan
电解光电池,dian'jie'guang'dian'chi
电解合成,dian'jie'he'cheng
电解还原,dian'jie'huan'yuan
电解剂,dian'jie'ji
电解极化,dian'jie'ji'hua
电解加工,dian'jie'jia'gong
电解聚合,dian'jie'ju'he
电解模型,dian'jie'mo'xing
电解磨削,dian'jie'mo'xue
电解偶联二聚物,dian'jie'ou'lian'er'ju'wu
电解抛光,dian'jie'pao'guang
电解溶解,dian'jie'rong'jie
电解酸蚀,dian'jie'suan'shi
电解提纯,dian'jie'ti'chun
电解提取,dian'jie'ti'qu
电接头,dian'jie'tou
电解效应,dian'jie'xiao'ying
电解氧化,dian'jie'yang'hua
电解阳极,dian'jie'yang'ji
电解液,dian'jie'ye
电解液电导率,dian'jie'ye'dian'dao'lv
电解载荷,dian'jie'zai'he
电解质,dian'jie'zhi
电解质导体,dian'jie'zhi'dao'ti
电解质的,dian'jie'zhi'de
电解质电容器,dian'jie'zhi'dian'rong'qi
电解质浓度,dian'jie'zhi'nong'du
电解质溶液,dian'jie'zhi'rong'ye
电解质渗透,dian'jie'zhi'shen'tou
电解作用,dian'jie'zuo'yong
电精制,dian'jing'zhi
电灸,dian'jiu
电矩,dian'ju
电锯,dian'ju
电聚结区,dian'ju'jie'qu
电绝缘,dian'jue'yuan
电刻,dian'ke
电可编程序只读存储器,dian'ke'bian'cheng'xu'zhi'du'cun'chu'qi
电可擦只读存储器,dian'ke'ca'zhi'du'cun'chu'qi
电控盘,dian'kong'pan
电缆,dian'lan
电缆电容,dian'lan'dian'rong
电缆端不固定,dian'lan'duan'bu'gu'ding
电缆端固定,dian'lan'duan'gu'ding
电缆立管,dian'lan'li'guan
电缆坐放,dian'lan'zuo'fang
电缆坐封封隔器,dian'lan'zuo'feng'feng'ge'qi
电烙器,dian'lao'qi
电烙铁,dian'lao'tie
电雷管,dian'lei'guan
电力,dian'li
电离,dian'li
电力爆破,dian'li'bao'po
电力布线,dian'li'bu'xian
电离层,dian'li'ceng
电力供应,dian'li'gong'ying
电离合成过程,dian'li'he'cheng'guo'cheng
电力绞车,dian'li'jiao'che
电离解作用,dian'li'jie'zuo'yong
电力气动阀,dian'li'qi'dong'fa
电力网,dian'li'wang
电力系统,dian'li'xi'tong
电力线,dian'li'xian
电力振动器,dian'li'zhen'dong'qi
电力钻机,dian'li'zuan'ji
电量,dian'liang
电量计,dian'liang'ji
电量热计,dian'liang're'ji
电铃,dian'ling
电零点,dian'ling'dian
电流,dian'liu
电流畅通点,dian'liu'chang'tong'dian
电流的故障,dian'liu'de'gu'zhang
电炉,dian'lu
电路,dian'lu
电炉熔炼,dian'lu'rong'lian
电滤作用,dian'lv'zuo'yong
电马力,dian'ma'li
电毛细效应,dian'mao'xi'xiao'ying
电敏雷管,dian'min'lei'guan
电模拟,dian'mo'ni
电模拟计算机,dian'mo'ni'ji'suan'ji
电模型,dian'mo'xing
电木,dian'mu
电内渗,dian'nei'shen
电能,dian'neng
电粘滞性,dian'nian'zhi'xing
电耦合,dian'ou'he
电偶极矩,dian'ou'ji'ju
电偶极子,dian'ou'ji'zi
电排流,dian'pai'liu
电排字机,dian'pai'zi'ji
垫片,dian'pian
电屏蔽,dian'ping'bi
电瓶车,dian'ping'che
电平衡,dian'ping'heng
电剖面法,dian'pou'mian'fa
电剖面法填图,dian'pou'mian'fa'tian'tu
电气安装,dian'qi'an'zhuang
电气保护,dian'qi'bao'hu
电器插口,dian'qi'cha'kou
电气除尘室,dian'qi'chu'chen'shi
电启动器,dian'qi'dong'qi
电气工程师,dian'qi'gong'cheng'shi
电气化,dian'qi'hua
电气连接,dian'qi'lian'jie
电气设备,dian'qi'she'bei
电气特性,dian'qi'te'xing
电器外罩,dian'qi'wai'zhao
电气修理,dian'qi'xiu'li
电气转换器,dian'qi'zhuan'huan'qi
电亲和势,dian'qin'he'shi
电倾析,dian'qing'xi
电去电离作用,dian'qu'dian'li'zuo'yong
电驱动,dian'qu'dong
电取心,dian'qu'xin
点燃,dian'ran
电热板,dian're'ban
电热打印机,dian're'da'yin'ji
电热发光,dian're'fa'guang
电热记录,dian're'ji'lu
电热清蜡车,dian're'qing'la'che
电热调节器,dian're'tiao'jie'qi
电热学,dian're'xue
电热仪表,dian're'yi'biao
电容,dian'rong
电溶胶,dian'rong'jiao
电熔丝,dian'rong'si
佃入,dian'ru
电色层分离法,dian'se'ceng'fen'li'fa
电色层分析法,dian'se'ceng'fen'xi'fa
电色谱,dian'se'pu
电栅极,dian'shan'ji
电渗,dian'shen
电渗析,dian'shen'xi
电声,dian'sheng
电声换能器,dian'sheng'huan'neng'qi
电声类比,dian'sheng'lei'bi
电声效率,dian'sheng'xiao'lv
电声学,dian'sheng'xue
电声延迟线,dian'sheng'yan'chi'xian
电声指数,dian'sheng'zhi'shu
电视,dian'shi
电势差,dian'shi'cha
电势滴定,dian'shi'di'ding
电视电影,dian'shi'dian'ying
电湿度计,dian'shi'du'ji
电视广播,dian'shi'guang'bo
电瞬变法,dian'shun'bian'fa
电损耗,dian'sun'hao
垫套式支脚,dian'tao'shi'zhi'jiao
电通,dian'tong
电图,dian'tu
电脱水,dian'tuo'shui
电脱水器,dian'tuo'shui'qi
电脱盐法,dian'tuo'yan'fa
电脱盐脱水,dian'tuo'yan'tuo'shui
电网络模型,dian'wang'luo'mo'xing
电位,dian'wei
电微分,dian'wei'fen
电位降,dian'wei'jiang
电位降法,dian'wei'jiang'fa
电位梯度,dian'wei'ti'du
电位序,dian'wei'xu
电位移密度,dian'wei'yi'mi'du
电温度计,dian'wen'du'ji
电物理学,dian'wu'li'xue
电吸附,dian'xi'fu
电吸引,dian'xi'yin
电线,dian'xian
电象,dian'xiang
电效率,dian'xiao'lv
电谐振,dian'xie'zhen
点心,dian'xin
电信,dian'xin
电信号,dian'xin'hao
电性能,dian'xing'neng
电学,dian'xue
电压,dian'ya
电压正常,dian'ya'zheng'chang
电眼,dian'yan
电延迟线,dian'yan'chi'xian
电氧化,dian'yang'hua
电遥测计,dian'yao'ce'ji
电冶金学,dian'ye'jin'xue
电异常,dian'yi'chang
电应变仪,dian'ying'bian'yi
电影布景,dian'ying'bu'jing
电影放映机,dian'ying'fang'ying'ji
电泳,dian'yong
电泳的,dian'yong'de
电泳淀积,dian'yong'dian'ji
电泳分析,dian'yong'fen'xi
电泳迁移率,dian'yong'qian'yi'lv
电源,dian'yuan
电噪声,dian'zao'sheng
电渣堆焊,dian'zha'dui'han
电渣焊,dian'zha'han
电粘效应,dian'zhan'xiao'ying
电震,dian'zhen
电振荡,dian'zhen'dang
电震动效应,dian'zhen'dong'xiao'ying
电致变色显示,dian'zhi'bian'se'xian'shi
电制动,dian'zhi'dong
电致发光,dian'zhi'fa'guang
电致伸缩,dian'zhi'shen'suo
电致伸缩的,dian'zhi'shen'suo'de
电致伸缩效应,dian'zhi'shen'suo'xiao'ying
电铸,dian'zhu
电灼式打印机,dian'zhuo'shi'da'yin'ji
电子,dian'zi
电子倍增光电管,dian'zi'bei'zeng'guang'dian'guan
电子倍增器,dian'zi'bei'zeng'qi
电子笔,dian'zi'bi
电子编辑机,dian'zi'bian'ji'ji
电子辨音器,dian'zi'bian'yin'qi
电子变阻器,dian'zi'bian'zu'qi
电子表面光度仪,dian'zi'biao'mian'guang'du'yi
电子波管,dian'zi'bo'guan
电子捕集器,dian'zi'bu'ji'qi
电子测绘系统,dian'zi'ce'hui'xi'tong
电子测距仪,dian'zi'ce'ju'yi
电子测量传感器,dian'zi'ce'liang'chuan'gan'qi
电子测偏航设备,dian'zi'ce'pian'hang'she'bei
电子测试仪器,dian'zi'ce'shi'yi'qi
电子秤,dian'zi'cheng
电子乘法器,dian'zi'cheng'fa'qi
电子成象装置,dian'zi'cheng'xiang'zhuang'zhi
电子程序装置,dian'zi'cheng'xu'zhuang'zhi
电子除法器,dian'zi'chu'fa'qi
电子处理,dian'zi'chu'li
电子传导,dian'zi'chuan'dao
电子穿孔机,dian'zi'chuan'kong'ji
电子磁性测斜仪,dian'zi'ci'xing'ce'xie'yi
电子存储记录器,dian'zi'cun'chu'ji'lu'qi
电子存储设备,dian'zi'cun'chu'she'bei
电子导航,dian'zi'dao'hang
电子导纳,dian'zi'dao'na
电子导体,dian'zi'dao'ti
电子的,dian'zi'de
电子等离子体,dian'zi'deng'li'zi'ti
电子电导率,dian'zi'dian'dao'lv
电子电荷,dian'zi'dian'he
电子电路,dian'zi'dian'lu
电子电路图,dian'zi'dian'lu'tu
电子定位系统,dian'zi'ding'wei'xi'tong
电子读出方式,dian'zi'du'chu'fang'shi
电子读卡仪,dian'zi'du'ka'yi
电子读数器,dian'zi'du'shu'qi
电子渡越电抗,dian'zi'du'yue'dian'kang
电子渡越时间,dian'zi'du'yue'shi'jian
电子对,dian'zi'dui
电子多点测斜,dian'zi'duo'dian'ce'xie
电子多点测斜仪,dian'zi'duo'dian'ce'xie'yi
电子阀,dian'zi'fa
电子发射,dian'zi'fa'she
电子发射器,dian'zi'fa'she'qi
电子发射器定位系统,dian'zi'fa'she'qi'ding'wei'xi'tong
电子反干扰设备,dian'zi'fan'gan'rao'she'bei
电子反馈回路,dian'zi'fan'kui'hui'lu
电子翻译器,dian'zi'fan'yi'qi
电子放射,dian'zi'fang'she
电子分析和模拟设备,dian'zi'fen'xi'he'mo'ni'she'bei
电子俘获,dian'zi'fu'huo
电子俘获气相色谱,dian'zi'fu'huo'qi'xiang'se'pu
电子俘获气液色谱,dian'zi'fu'huo'qi'ye'se'pu
电子俘获探测器,dian'zi'fu'huo'tan'ce'qi
电子辐射,dian'zi'fu'she
电子伏特,dian'zi'fu'te
电子干扰措施,dian'zi'gan'rao'cuo'shi
电子功能块,dian'zi'gong'neng'kuai
电子工业协会,dian'zi'gong'ye'xie'hui
电子工作者,dian'zi'gong'zuo'zhe
电子管,dian'zi'guan
电子管伏特计,dian'zi'guan'fu'te'ji
电子惯性,dian'zi'guan'xing
电子光学,dian'zi'guang'xue
电子光学象差,dian'zi'guang'xue'xiang'cha
电子光学仪器,dian'zi'guang'xue'yi'qi
电子轨道,dian'zi'gui'dao
电子轨迹,dian'zi'gui'ji
电子函数发生器,dian'zi'han'shu'fa'sheng'qi
电子毫秒计,dian'zi'hao'miao'ji
电子盒,dian'zi'he
电子核磁双共振,dian'zi'he'ci'shuang'gong'zhen
电子核磁双共振谱学,dian'zi'he'ci'shuang'gong'zhen'pu'xue
电子轰击,dian'zi'hong'ji
电子换流器,dian'zi'huan'liu'qi
电子换能器,dian'zi'huan'neng'qi
电子绘图仪,dian'zi'hui'tu'yi
电子继电器,dian'zi'ji'dian'qi
电子极化,dian'zi'ji'hua
电子记录管,dian'zi'ji'lu'guan
电子技术,dian'zi'ji'shu
电子计数管,dian'zi'ji'shu'guan
电子计数器,dian'zi'ji'shu'qi
电子集束器,dian'zi'ji'shu'qi
电子计算机,dian'zi'ji'suan'ji
电子记帐机,dian'zi'ji'zhang'ji
电子加速器,dian'zi'jia'su'qi
电子间谍,dian'zi'jian'die
电子键控,dian'zi'jian'kong
电子监控装置,dian'zi'jian'kong'zhuang'zhi
电子检漏仪,dian'zi'jian'lou'yi
电子交换色谱,dian'zi'jiao'huan'se'pu
电子交换树脂,dian'zi'jiao'huan'shu'zhi
电子聚焦,dian'zi'ju'jiao
电子距离测量,dian'zi'ju'li'ce'liang
电子开关,dian'zi'kai'guan
电子刻图,dian'zi'ke'tu
电子刻图仪,dian'zi'ke'tu'yi
电子空气净化器,dian'zi'kong'qi'jing'hua'qi
电子空穴,dian'zi'kong'xue
电子控制的,dian'zi'kong'zhi'de
电子控制中心,dian'zi'kong'zhi'zhong'xin
电子扩音器,dian'zi'kuo'yin'qi
电子累积器,dian'zi'lei'ji'qi
电子离散变量自动计算机,dian'zi'li'san'bian'liang'zi'dong'ji'suan'ji
电子流放大器,dian'zi'liu'fang'da'qi
电子流量计,dian'zi'liu'liang'ji
电子录象器,dian'zi'lu'xiang'qi
电子脉冲计数器,dian'zi'mai'chong'ji'shu'qi
电子脉冲振幅分析器,dian'zi'mai'chong'zhen'fu'fen'xi'qi
电子密度,dian'zi'mi'du
电子密度指数,dian'zi'mi'du'zhi'shu
电子模拟乘法器,dian'zi'mo'ni'cheng'fa'qi
电子模拟计算机,dian'zi'mo'ni'ji'suan'ji
电子模型,dian'zi'mo'xing
电子能级,dian'zi'neng'ji
电子能谱,dian'zi'neng'pu
电子能谱法,dian'zi'neng'pu'fa
电子耦合的,dian'zi'ou'he'de
电子耦合器,dian'zi'ou'he'qi
电子耦合调整,dian'zi'ou'he'tiao'zheng
电子耦合振荡器,dian'zi'ou'he'zhen'dang'qi
电子频率计,dian'zi'pin'lv'ji
电子器件,dian'zi'qi'jian
电子器件包,dian'zi'qi'jian'bao
电子枪,dian'zi'qiang
电子亲和能,dian'zi'qin'he'neng
电子情报,dian'zi'qing'bao
电子绕射,dian'zi'rao'she
电子扫描雷达,dian'zi'sao'miao'lei'da
电子扫描器,dian'zi'sao'miao'qi
电子扫描微波辐射计,dian'zi'sao'miao'wei'bo'fu'she'ji
电子扫描系统,dian'zi'sao'miao'xi'tong
电子扫描显微照片,dian'zi'sao'miao'xian'wei'zhao'pian
电子扫描仪,dian'zi'sao'miao'yi
电子闪光部件,dian'zi'shan'guang'bu'jian
电子摄象机,dian'zi'she'xiang'ji
电子式分解器,dian'zi'shi'fen'jie'qi
电子式计时器,dian'zi'shi'ji'shi'qi
电子式谐音系统,dian'zi'shi'xie'yin'xi'tong
电子受体,dian'zi'shou'ti
电子授体,dian'zi'shou'ti
电子束,dian'zi'shu
电子束磁力仪,dian'zi'shu'ci'li'yi
电子束存储器,dian'zi'shu'cun'chu'qi
电子束发生器,dian'zi'shu'fa'sheng'qi
电子束管,dian'zi'shu'guan
电子束焊,dian'zi'shu'han
电子束焊机,dian'zi'shu'han'ji
电子束焊接,dian'zi'shu'han'jie
电子束记录,dian'zi'shu'ji'lu
电子束加工,dian'zi'shu'jia'gong
电子数据处理,dian'zi'shu'ju'chu'li
电子数据处理机,dian'zi'shu'ju'chu'li'ji
电子数据处理设备,dian'zi'shu'ju'chu'li'she'bei
电子数据处理系统,dian'zi'shu'ju'chu'li'xi'tong
电子数据处理中心,dian'zi'shu'ju'chu'li'zhong'xin
电子数据传输通信中心,dian'zi'shu'ju'chuan'shu'tong'xin'zhong'xin
电子数据收集设备,dian'zi'shu'ju'shou'ji'she'bei
电子数据转接中心,dian'zi'shu'ju'zhuan'jie'zhong'xin
电子束扫描器,dian'zi'shu'sao'miao'qi
电子束探针,dian'zi'shu'tan'zhen
电子束效率,dian'zi'shu'xiao'lv
电子束效应,dian'zi'shu'xiao'ying
电子数字计算机,dian'zi'shu'zi'ji'suan'ji
电子束钻井,dian'zi'shu'zuan'jing
电子双共振,dian'zi'shuang'gong'zhen
电子顺磁共振,dian'zi'shun'ci'gong'zhen
电子随动系统,dian'zi'sui'dong'xi'tong
电子探针,dian'zi'tan'zhen
电子探针微量分析,dian'zi'tan'zhen'wei'liang'fen'xi
电子探针微量分析器,dian'zi'tan'zhen'wei'liang'fen'xi'qi
电子天平,dian'zi'tian'ping
电子调节,dian'zi'tiao'jie
电子调谐,dian'zi'tiao'xie
电子调谐滞后,dian'zi'tiao'xie'zhi'hou
电子同质异能性,dian'zi'tong'zhi'yi'neng'xing
电子透镜,dian'zi'tou'jing
电子图象,dian'zi'tu'xiang
电子图象增强,dian'zi'tu'xiang'zeng'qiang
电子望远镜,dian'zi'wang'yuan'jing
电子温度控制器,dian'zi'wen'du'kong'zhi'qi
电子稳压器,dian'zi'wen'ya'qi
电子物理学,dian'zi'wu'li'xue
电子显示,dian'zi'xian'shi
电子显微放射自显影法,dian'zi'xian'wei'fang'she'zi'xian'ying'fa
电子显微检测法,dian'zi'xian'wei'jian'ce'fa
电子显微镜,dian'zi'xian'wei'jing
电子显微镜分析,dian'zi'xian'wei'jing'fen'xi
电子显微镜微量分析器,dian'zi'xian'wei'jing'wei'liang'fen'xi'qi
电子显微摄影,dian'zi'xian'wei'she'ying
电子显微术,dian'zi'xian'wei'shu
电子显微探针,dian'zi'xian'wei'tan'zhen
电子显微衍射,dian'zi'xian'wei'yan'she
电子显微照片,dian'zi'xian'wei'zhao'pian
电子显象,dian'zi'xian'xiang
电子显象术,dian'zi'xian'xiang'shu
电子相关器,dian'zi'xiang'guan'qi
电子效率,dian'zi'xiao'lv
电子信箱,dian'zi'xin'xiang
电子旋转扫描系统,dian'zi'xuan'zhuan'sao'miao'xi'tong
电子学,dian'zi'xue
电子穴对,dian'zi'xue'dui
电子压力计,dian'zi'ya'li'ji
电子衍射分析,dian'zi'yan'she'fen'xi
电子衍射摄象机,dian'zi'yan'she'she'xiang'ji
电子异构体,dian'zi'yi'gou'ti
电子仪器,dian'zi'yi'qi
电子仪器化,dian'zi'yi'qi'hua
电子印刷机,dian'zi'yin'shua'ji
电子印刷阅读机,dian'zi'yin'shua'yue'du'ji
电子影象相关器,dian'zi'ying'xiang'xiang'guan'qi
电子元件,dian'zi'yuan'jian
电子原理图,dian'zi'yuan'li'tu
电子跃迁,dian'zi'yue'qian
电子云,dian'zi'yun
电子增强装置,dian'zi'zeng'qiang'zhuang'zhi
电子照相术,dian'zi'zhao'xiang'shu
电子振荡,dian'zi'zhen'dang
电子整流,dian'zi'zheng'liu
电子整流器,dian'zi'zheng'liu'qi
电子整流作用,dian'zi'zheng'liu'zuo'yong
电子注入,dian'zi'zhu'ru
电子转换反应,dian'zi'zhuan'huan'fan'ying
电子撞击,dian'zi'zhuang'ji
电子自动开关,dian'zi'zi'dong'kai'guan
电子资金汇兑系统,dian'zi'zi'jin'hui'dui'xi'tong
电子自旋,dian'zi'zi'xuan
电子自旋共振,dian'zi'zi'xuan'gong'zhen
电子组件,dian'zi'zu'jian
电子组态,dian'zi'zu'tai
电子作图,dian'zi'zuo'tu
电阻,dian'zu
电阻高温计,dian'zu'gao'wen'ji
电阻焊,dian'zu'han
电阻加热器,dian'zu'jia're'qi
电阻量热器,dian'zu'liang're'qi
电阻率微扫描成象仪器,dian'zu'lv'wei'sao'miao'cheng'xiang'yi'qi
电阻温度计,dian'zu'wen'du'ji
电阻应变仪,dian'zu'ying'bian'yi
电钻,dian'zuan
调查,diao'cha
调查数据,diao'cha'shu'ju
吊车,diao'che
吊车司机,diao'che'si'ji
吊带,diao'dai
吊耳,diao'er
吊环,diao'huan
吊卡,diao'ka
吊卡凹座,diao'ka'ao'zuo
吊卡槽,diao'ka'cao
吊卡卡盘,diao'ka'ka'pan
吊卡闩,diao'ka'shuan
吊卡提环,diao'ka'ti'huan
雕刻,diao'ke
吊蓝,diao'lan
吊钳钳臂,diao'qian'qian'bi
吊钳钳头,diao'qian'qian'tou
掉水眼,diao'shui'yan
吊鱼钩,diao'yu'gou
吊装工具,diao'zhuang'gong'ju
谍报,die'bao
迭前深度全偏移,die'qian'shen'du'quan'pian'yi
蝶形螺母,die'xing'luo'mu
定长记录,ding'chang'ji'lu
定长记录系统,ding'chang'ji'lu'xi'tong
定长字,ding'chang'zi
定点,ding'dian
定点表示法,ding'dian'biao'shi'fa
定点部分,ding'dian'bu'fen
定点格式,ding'dian'ge'shi
定点计算,ding'dian'ji'suan
定点计算机,ding'dian'ji'suan'ji
定点数,ding'dian'shu
定点算法,ding'dian'suan'fa
定点系统,ding'dian'xi'tong
定点运算,ding'dian'yun'suan
定额,ding'e
定额到期债券,ding'e'dao'qi'zhai'quan
顶峰需求,ding'feng'xu'qiu
定和数据,ding'he'shu'ju
定滑轮,ding'hua'lun
定基指数,ding'ji'zhi'shu
顶架,ding'jia
定金,ding'jin
定量泵,ding'liang'beng
定量气,ding'liang'qi
定率价值递减法,ding'lv'jia'zhi'di'jian'fa
定泡点,ding'pao'dian
顶驱,ding'qu
定时继电器,ding'shi'ji'dian'qi
定碳比,ding'tan'bi
定头盘,ding'tou'pan
定位,ding'wei
定位几何学,ding'wei'ji'he'xue
定位螺钉,ding'wei'luo'ding
定线误差,ding'xian'wu'cha
定向井,ding'xiang'jing
定向时滑扭,ding'xiang'shi'hua'niu
定向斜井,ding'xiang'xie'jing
定向压裂法,ding'xiang'ya'lie'fa
定义域,ding'yi'yu
定影,ding'ying
定影槽,ding'ying'cao
定影液,ding'ying'ye
定源补偿系统,ding'yuan'bu'chang'xi'tong
定源场,ding'yuan'chang
定源法,ding'yuan'fa
定值,ding'zhi
定子,ding'zi
钉子,ding'zi
定字长计算机,ding'zi'chang'ji'suan'ji
顶座,ding'zuo
东半球,dong'ban'qiu
东北东,dong'bei'dong
动荡,dong'dang
动电的,dong'dian'de
动电电位,dong'dian'dian'wei
动电计,dong'dian'ji
动电势,dong'dian'shi
动电势分量,dong'dian'shi'fen'liang
动电学,dong'dian'xue
东方的,dong'fang'de
东方似渔乡叶肢介属,dong'fang'si'yu'xiang'ye'zhi'jie'shu
东方叶肢介属,dong'fang'ye'zhi'jie'shu
东非地堑,dong'fei'di'qian
东非裂谷,dong'fei'lie'gu
冻痕,dong'hen
东横坐标,dong'heng'zuo'biao
冻坏,dong'huai
动火批准证,dong'huo'pi'zhun'zheng
冻结,dong'jie
冻结层,dong'jie'ceng
冻结传力杆,dong'jie'chuan'li'gan
冻结的,dong'jie'de
冻结的液体,dong'jie'de'ye'ti
冻结温度,dong'jie'wen'du
冻结信用,dong'jie'xin'yong
冻结应变,dong'jie'ying'bian
冻结应力,dong'jie'ying'li
冻结资产,dong'jie'zi'chan
东经,dong'jing
动力扳手,dong'li'ban'shou
冻裂,dong'lie
动脉,dong'mai
东贸易风,dong'mao'yi'feng
动摩擦,dong'mo'ca
东南东,dong'nan'dong
动能,dong'neng
动能学,dong'neng'xue
冻凝纺丝,dong'ning'fang'si
东偏北,dong'pian'bei
东偏南,dong'pian'nan
冻伤,dong'shang
动态模型,dong'tai'mo'xing
东太平洋板块,dong'tai'ping'yang'ban'kuai
冻土,dong'tu
冻土储存,dong'tu'chu'cun
动物分异,dong'wu'fen'yi
动物化石群缺失,dong'wu'hua'shi'qun'que'shi
动物群,dong'wu'qun
动物群带,dong'wu'qun'dai
动物群的,dong'wu'qun'de
动物群阶,dong'wu'qun'jie
动物群时,dong'wu'qun'shi
动物群序列,dong'wu'qun'xu'lie
东向分量,dong'xiang'fen'liang
东移假定值,dong'yi'jia'ding'zhi
豆角,dou'jiao
陡坡,dou'po
兜绳,dou'sheng
豆石,dou'shi
渡船,du'chuan
渡船码头,du'chuan'ma'tou
独家代理,du'jia'dai'li
独家供货,du'jia'gong'huo
独家经销,du'jia'jing'xiao
独居石,du'ju'shi
杜鹃粉属,du'juan'fen'shu
渡口,du'kou
独立环,du'li'huan
堵漏剂,du'lou'ji
读数误差,du'shu'wu'cha
堵水,du'shui
堵水眼,du'shui'yan
端板,duan'ban
端壁,duan'bi
端部垫圈,duan'bu'dian'quan
端部加强筋,duan'bu'jia'qiang'jin
端部校正,duan'bu'jiao'zheng
端部磨损,duan'bu'mo'sun
端部套筒,duan'bu'tao'tong
端部弯曲,duan'bu'wan'qu
断槽海底谷,duan'cao'hai'di'gu
断层,duan'ceng
断层鞍状构造,duan'ceng'an'zhuang'gou'zao
断层坳陷,duan'ceng'ao'xian
断层壁,duan'ceng'bi
断层边界,duan'ceng'bian'jie
断层变位闭合,duan'ceng'bian'wei'bi'he
断层变形的,duan'ceng'bian'xing'de
断层并置砂岩,duan'ceng'bing'zhi'sha'yan
断层擦痕,duan'ceng'ca'hen
断层槽,duan'ceng'cao
断层沉陷,duan'ceng'chen'xian
断层冲积扇,duan'ceng'chong'ji'shan
断层带,duan'ceng'dai
断层堤,duan'ceng'di
断层地垒,duan'ceng'di'lei
断层定位,duan'ceng'ding'wei
断层方向,duan'ceng'fang'xiang
断层分叉,duan'ceng'fen'cha
断层封闭背斜,duan'ceng'feng'bi'bei'xie
断层复活,duan'ceng'fu'huo
断层沟,duan'ceng'gou
断层构造,duan'ceng'gou'zao
断层构造湖,duan'ceng'gou'zao'hu
断层海岸,duan'ceng'hai'an
断层滑距,duan'ceng'hua'ju
断层汇集带,duan'ceng'hui'ji'dai
断层活动性,duan'ceng'huo'dong'xing
断层脊,duan'ceng'ji
断层迹,duan'ceng'ji
断层机制,duan'ceng'ji'zhi
断层间隔,duan'ceng'jian'ge
断层交叉,duan'ceng'jiao'cha
断层角砾岩,duan'ceng'jiao'li'yan
断层阶地,duan'ceng'jie'di
断层刻槽,duan'ceng'ke'cao
断层坑,duan'ceng'keng
断层控制地裂带,duan'ceng'kong'zhi'di'lie'dai
断层裂缝,duan'ceng'lie'feng
断层裂隙,duan'ceng'lie'xi
断层露头,duan'ceng'lu'tou
断层脉,duan'ceng'mai
断层面,duan'ceng'mian
断层磨光面,duan'ceng'mo'guang'mian
断层幕,duan'ceng'mu
断层挠曲,duan'ceng'nao'qu
断层内围层,duan'ceng'nei'wei'ceng
断层泥,duan'ceng'ni
断层盆地,duan'ceng'pen'di
断层平错,duan'ceng'ping'cuo
断层破碎的,duan'ceng'po'sui'de
断层翘曲,duan'ceng'qiao'qu
断层倾斜,duan'ceng'qing'xie
断层泉,duan'ceng'quan
断层圈闭,duan'ceng'quan'bi
断层群,duan'ceng'qun
断层绕射,duan'ceng'rao'she
断层蠕动,duan'ceng'ru'dong
断层山,duan'ceng'shan
断层束,duan'ceng'shu
断层系,duan'ceng'xi
断层峡谷,duan'ceng'xia'gu
断层下盘,duan'ceng'xia'pan
断层线,duan'ceng'xian
断层限定盆地,duan'ceng'xian'ding'pen'di
断层线谷,duan'ceng'xian'gu
断层线崖,duan'ceng'xian'ya
