爱恶相攻而吉凶生,ai'e'xiang'gong'er'ji'xiong'sheng
夫易,fu'yi
拂颐,fu'yi
俯以察於地理,fu'yi'cha'yu'di'li
夫易何为者也,fu'yi'he'wei'zhe'ye
夫易开物成务,fu'yi'kai'wu'cheng'wu
富以其邻,fu'yi'qi'lin
富有之谓大业,fu'you'zhi'wei'da'ye
孚于剥,fu'yu'bo
弗遇过之,fu'yu'guo'zhi
孚于嘉,fu'yu'jia
妇孕不育,fu'yun'bu'yu
复则不妄矣,fu'ze'bu'wang'yi
俯则观法於地,fu'ze'guan'fa'yu'di
妇贞厉,fu'zhen'li
夫征不复,fu'zheng'bu'fu
复自道,fu'zi'dao
复自命,fu'zi'ming
妇子嘻嘻,fu'zi'xi'xi
夫子凶,fu'zi'xiong
夫子制义,fu'zi'zhi'yi
改命之吉,gai'ming'zhi'ji
盖取诸此也,gai'qu'zhu'ci'ye
盖取诸大过,gai'qu'zhu'da'guo
盖取诸大壮,gai'qu'zhu'da'zhuang
盖取诸涣,gai'qu'zhu'huan
盖取诸夬,gai'qu'zhu'jue
盖取诸睽,gai'qu'zhu'kui
盖取诸离,gai'qu'zhu'li
盖取诸乾坤,gai'qu'zhu'qian'kun
盖取诸噬嗑,gai'qu'zhu'shi'ke
盖取诸随,gai'qu'zhu'sui
盖取诸小过,gai'qu'zhu'xiao'guo
盖取诸益,gai'qu'zhu'yi
盖取诸豫,gai'qu'zhu'yu
盖言谨也,gai'yan'jin'ye
盖言顺也,gai'yan'shun'ye
改邑不改井,gai'yi'bu'gai'jing
感而遂通天下之故,gan'er'sui'tong'tian'xia'zhi'gu
干父小有晦,gan'fu'xiao'you'hui
干父之蛊,gan'fu'zhi'gu
甘节,gan'jie
甘节之吉,gan'jie'zhi'ji
甘临,gan'lin
干母之蛊,gan'mu'zhi'gu
感也,gan'ye
刚长乃终也,gang'chang'nai'zhong'ye
刚长也,gang'chang'ye
刚当位而应,gang'dang'wei'er'ying
刚反,gang'fan
刚过而中,gang'guo'er'zhong
刚健笃实辉光,gang'jian'du'shi'hui'guang
刚健而不陷,gang'jian'er'bu'xian
刚健中正,gang'jian'zhong'zheng
刚浸而长,gang'jin'er'chang
刚决柔也,gang'jue'rou'ye
刚来而不穷,gang'lai'er'bu'qiong
刚来而得中也,gang'lai'er'de'zhong'ye
刚来而下柔,gang'lai'er'xia'rou
刚卤,gang'lu
刚柔断矣,gang'rou'duan'yi
刚柔分,gang'rou'fen
刚柔际也,gang'rou'ji'ye
刚柔接也,gang'rou'jie'ye
刚柔节也,gang'rou'jie'ye
刚柔皆应,gang'rou'jie'ying
刚柔始交而难生,gang'rou'shi'jiao'er'nan'sheng
刚柔相推,gang'rou'xiang'tui
刚柔相推而生变化,gang'rou'xiang'tui'er'sheng'bian'hua
刚柔相易,gang'rou'xiang'yi
刚柔应也,gang'rou'ying'ye
刚柔杂居,gang'rou'za'ju
刚柔者,gang'rou'zhe
刚柔正而位当也,gang'rou'zheng'er'wei'dang'ye
刚柔之际,gang'rou'zhi'ji
刚上而柔下,gang'shang'er'rou'xia
刚上而尚贤,gang'shang'er'shang'xian
刚失位而不中,gang'shi'wei'er'bu'zhong
刚巽乎中正而志行,gang'xun'hu'zhong'zheng'er'zhi'xing
刚掩也,gang'yan'ye
刚以动,gang'yi'dong
刚应而志行,gang'ying'er'zhi'xing
刚遇中正,gang'yu'zhong'zheng
刚中而柔外,gang'zhong'er'rou'wai
刚中而应,gang'zhong'er'ying
刚中而志行,gang'zhong'er'zhi'xing
刚中正,gang'zhong'zheng
刚自外来,gang'zi'wai'lai
高而无民,gao'er'wu'min
告公从,gao'gong'cong
告公用圭,gao'gong'yong'gui
高尚其事,gao'shang'qi'shi
告自邑,gao'zi'yi
高宗伐鬼方,gao'zong'fa'gui'fang
各得其所,ge'de'qi'suo
革而当,ge'er'dang
革而信也,ge'er'xin'ye
革卦终,ge'gua'zhong
革去故也,ge'qu'gu'ye
革物者莫若鼎,ge'wu'zhe'mo'ruo'ding
革言三就,ge'yan'san'jiu
各正性命,ge'zheng'xing'ming
革之时义大矣哉,ge'zhi'shi'yi'da'yi'zai
艮东北之卦也,gen'dong'bei'zhi'gua'ye
艮卦终,gen'gua'zhong
艮其背,gen'qi'bei
艮其腓,gen'qi'fei
艮其辅,gen'qi'fu
艮其身,gen'qi'shen
艮其限,gen'qi'xian
艮其止,gen'qi'zhi
艮其趾,gen'qi'zhi
艮三索而得男,gen'san'suo'er'de'nan
艮上兑下,gen'shang'dui'xia
艮上艮下,gen'shang'gen'xia
艮上坎下,gen'shang'kan'xia
艮上坤下,gen'shang'kun'xia
艮上离下,gen'shang'li'xia
艮上乾下,gen'shang'qian'xia
艮上巽下,gen'shang'xun'xia
艮上震下,gen'shang'zhen'xia
艮为狗,gen'wei'gou
艮为山,gen'wei'shan
艮为手,gen'wei'shou
艮以止之,gen'yi'zhi'zhi
艮者止也,gen'zhe'zhi'ye
艮止也,gen'zhi'ye
弓矢者器也,gong'shi'zhe'qi'ye
功业见乎变,gong'ye'jian'hu'bian
公弋取彼在穴,gong'yi'qu'bi'zai'xue
公用亨于天子,gong'yong'heng'yu'tian'zi
巩用黄牛,gong'yong'huang'niu
巩用黄牛之革,gong'yong'huang'niu'zhi'ge
公用射隼,gong'yong'she'sun
苟错诸地而可矣,gou'cuo'zhu'di'er'ke'yi
苟非其人,gou'fei'qi'ren
姤卦终,gou'gua'zhong
姤其角,gou'qi'jiao
钩深致远,gou'shen'zhi'yuan
姤遇也,gou'yu'ye
姤者遇也,gou'zhe'yu'ye
姤之时义大矣哉,gou'zhi'shi'yi'da'yi'zai
故不过,gu'bu'guo
故不疾而速,gu'bu'ji'er'su
故不违,gu'bu'wei
故不忧,gu'bu'you
故称父,gu'cheng'fu
故称龙焉,gu'cheng'long'yan
故称母,gu'cheng'mu
故称血焉,gu'cheng'xue'yan
故恶积而不可掩,gu'e'ji'er'bu'ke'yan
故丰,gu'feng
蛊卦终,gu'gua'zhong
故亨,gu'heng
故或之,gu'huo'zhi
故吉凶生焉,gu'ji'xiong'sheng'yan
故聚也,gu'ju'ye
故君子之道鲜矣,gu'jun'zi'zhi'dao'xian'yi
故六,gu'liu
故能爱,gu'neng'ai
故能成天下之务,gu'neng'cheng'tian'xia'zhi'wu
故能弥纶天地之道,gu'neng'mi'lun'tian'di'zhi'dao
故能通天下之志,gu'neng'tong'tian'xia'zhi'zhi
故乾乾,gu'qian'qian
故全也,gu'quan'ye
故日月不过,gu'ri'yue'bu'guo
故神无方而易无体,gu'shen'wu'fang'er'yi'wu'ti
故受之既济,gu'shou'zhi'ji'ji
故受之以贲,gu'shou'zhi'yi'ben
故受之以比,gu'shou'zhi'yi'bi
故受之以剥,gu'shou'zhi'yi'bo
故受之以萃,gu'shou'zhi'yi'cui
故受之以大畜,gu'shou'zhi'yi'da'chu
故受之以大过,gu'shou'zhi'yi'da'guo
故受之以大有,gu'shou'zhi'yi'da'you
故受之以大壮,gu'shou'zhi'yi'da'zhuang
故受之以鼎,gu'shou'zhi'yi'ding
故受之以兑,gu'shou'zhi'yi'dui
故受之以遯,gu'shou'zhi'yi'dun
故受之以丰,gu'shou'zhi'yi'feng
故受之以否,gu'shou'zhi'yi'fou
故受之以复,gu'shou'zhi'yi'fu
故受之以革,gu'shou'zhi'yi'ge
故受之以艮,gu'shou'zhi'yi'gen
故受之以姤,gu'shou'zhi'yi'gou
故受之以蛊,gu'shou'zhi'yi'gu
故受之以观,gu'shou'zhi'yi'guan
故受之以归妹,gu'shou'zhi'yi'gui'mei
故受之以恒,gu'shou'zhi'yi'heng
故受之以涣,gu'shou'zhi'yi'huan
故受之以家人,gu'shou'zhi'yi'jia'ren
故受之以渐,gu'shou'zhi'yi'jian
故受之以蹇,gu'shou'zhi'yi'jian
故受之以节,gu'shou'zhi'yi'jie
故受之以解,gu'shou'zhi'yi'jie
故受之以晋,gu'shou'zhi'yi'jin
故受之以井,gu'shou'zhi'yi'jing
故受之以夬,gu'shou'zhi'yi'jue
故受之以坎,gu'shou'zhi'yi'kan
故受之以睽,gu'shou'zhi'yi'kui
故受之以困,gu'shou'zhi'yi'kun
故受之以离,gu'shou'zhi'yi'li
故受之以临,gu'shou'zhi'yi'lin
故受之以履,gu'shou'zhi'yi'lv
故受之以旅,gu'shou'zhi'yi'lv
故受之以蒙,gu'shou'zhi'yi'meng
故受之以明夷,gu'shou'zhi'yi'ming'yi
故受之以谦,gu'shou'zhi'yi'qian
故受之以升,gu'shou'zhi'yi'sheng
故受之以师,gu'shou'zhi'yi'shi
故受之以噬嗑,gu'shou'zhi'yi'shi'ke
故受之以讼,gu'shou'zhi'yi'song
故受之以随,gu'shou'zhi'yi'sui
故受之以损,gu'shou'zhi'yi'sun
故受之以泰,gu'shou'zhi'yi'tai
故受之以同人,gu'shou'zhi'yi'tong'ren
故受之以屯,gu'shou'zhi'yi'tun
故受之以未济终焉,gu'shou'zhi'yi'wei'ji'zhong'yan
故受之以无妄,gu'shou'zhi'yi'wu'wang
故受之以小畜,gu'shou'zhi'yi'xiao'chu
故受之以小过,gu'shou'zhi'yi'xiao'guo
故受之以需,gu'shou'zhi'yi'xu
故受之以巽,gu'shou'zhi'yi'xun
故受之以益,gu'shou'zhi'yi'yi
故受之以颐,gu'shou'zhi'yi'yi
故受之以豫,gu'shou'zhi'yi'yu
故受之以震,gu'shou'zhi'yi'zhen
故受之以中孚,gu'shou'zhi'yi'zhong'fu
故水火相逮,gu'shui'huo'xiang'dai
故天地如之,gu'tian'di'ru'zhi
鼓天下之动者,gu'tian'xia'zhi'dong'zhe
鼓万物而不与圣人同忧,gu'wan'wu'er'bu'yu'sheng'ren'tong'you
故谓之少男,gu'wei'zhi'shao'nan
故谓之少女,gu'wei'zhi'shao'nv
故谓之长男,gu'wei'zhi'zhang'nan
故谓之长女,gu'wei'zhi'zhang'nv
故谓之中男,gu'wei'zhi'zhong'nan
故谓之中女,gu'wei'zhi'zhong'nv
故无咎,gu'wu'jiu
故小利有攸往,gu'xiao'li'you'you'wang
故易六画而成卦,gu'yi'liu'hua'er'cheng'gua
故易六位而成章,gu'yi'liu'wei'er'cheng'zhang
固有之也,gu'you'zhi'ye
故曰,gu'yue
故曰成言乎艮,gu'yue'cheng'yan'hu'gen
故曰劳乎坎,gu'yue'lao'hu'kan
故曰说,gu'yue'shuo
故曰文,gu'yue'wen
故曰物,gu'yue'wu
故曰爻,gu'yue'yao
故曰致役乎坤,gu'yue'zhi'yi'hu'kun
故再撝而后挂,gu'zai'hui'er'hou'gua
蛊则饬也,gu'ze'chi'ye
古者包羲氏之王天下也,gu'zhe'bao'xi'shi'zhi'wang'tian'xia'ye
蛊者事也,gu'zhe'shi'ye
古之聪明睿知神武而不杀者夫,gu'zhi'cong'ming'rui'zhi'shen'wu'er'bu'sha'zhe'fu
故知死生之说,gu'zhi'si'sheng'zhi'shuo
鼓之舞之以尽神,gu'zhi'wu'zhi'yi'jin'shen
固志也,gu'zhi'ye
鼓之以雷霆,gu'zhi'yi'lei'ting
古之葬者,gu'zhi'zang'zhe
故壮,gu'zhuang
挂一以象三,gua'yi'yi'xiang'san
卦有小大,gua'you'xiao'da
卦之德,gua'zhi'de
乖必有难,guai'bi'you'nan
观变於阴阳,guan'bian'yu'yin'yang
盥而不荐,guan'er'bu'jian
观卦终,guan'gua'zhong
观国之光,guan'guo'zhi'guang
观乎人文,guan'hu'ren'wen
观乎天文,guan'hu'tian'wen
观民设教,guan'min'she'jiao
观民也,guan'min'ye
观鸟兽之文,guan'niao'shou'zhi'wen
观其生,guan'qi'sheng
观其所感,guan'qi'suo'gan
观其所恒,guan'qi'suo'heng
观其所聚,guan'qi'suo'ju
观其所养也,guan'qi'suo'yang'ye
观其自养也,guan'qi'zi'yang'ye
观天之神道,guan'tian'zhi'shen'dao
观我朵颐,guan'wo'duo'yi
观我生,guan'wo'sheng
观象也,guan'xiang'ye
观颐,guan'yi
官有渝,guan'you'yu
贯鱼,guan'yu
观之义,guan'zhi'yi
广大悉备,guang'da'xi'bei
光大也,guang'da'ye
光亨,guang'heng
光明也,guang'ming'ye
广矣大矣,guang'yi'da'yi
归而逋,gui'er'bu
归而逋也,gui'er'bu'ye
贵而无位,gui'er'wu'wei
贵贱位矣,gui'jian'wei'yi
贵贱之等也,gui'jian'zhi'deng'ye
归妹,gui'mei
归妹卦终,gui'mei'gua'zhong
归妹女之终也,gui'mei'nv'zhi'zhong'ye
归妹愆期,gui'mei'qian'qi
归妹人之终始也,gui'mei'ren'zhi'zhong'shi'ye
归妹以娣,gui'mei'yi'di
归妹以须,gui'mei'yi'xu
归奇於撝以象闰,gui'qi'yu'hui'yi'xiang'run
鬼神害盈而福谦,gui'shen'hai'ying'er'fu'qian
过此以往,guo'ci'yi'wang
过其祖,guo'qi'zu
过涉灭顶,guo'she'mie'ding
过涉之凶,guo'she'zhi'xiong
过旬灾也,guo'xun'zai'ye
过以利贞,guo'yi'li'zhen
过以相与也,guo'yi'xiang'yu'ye
含弘光大,han'hong'guang'da
寒泉食,han'quan'shi
寒泉之食,han'quan'zhi'shi
寒暑相推而岁成焉,han'shu'xiang'tui'er'sui'cheng'yan
含万物而化光,han'wan'wu'er'hua'guang
寒往则暑来,han'wang'ze'shu'lai
翰音登于天,han'yin'deng'yu'tian
含章,han'zhang
含章可贞,han'zhang'ke'zhen
含之,han'zhi
好遯君子吉,hao'dun'jun'zi'ji
何不利之有,he'bu'li'zhi'you
河出图,he'chu'tu
和兑,he'dui
和兑之吉,he'dui'zhi'ji
和而至,he'er'zhi
阖户谓之坤,he'hu'wei'zhi'kun
何咎,he'jiu
何咎之有,he'jiu'zhi'you
何可长也,he'ke'chang'ye
何可久也,he'ke'jiu'ye
何其咎,he'qi'jiu
和顺於道德,he'shun'yu'dao'de
何天之衢,he'tian'zhi'qu
何谓也,he'wei'ye
何校灭耳,he'xiao'mie'er
何以聚人曰财,he'yi'ju'ren'yue'cai
何以守位曰仁,he'yi'shou'wei'yue'ren
何之矣,he'zhi'yi
曷之用,he'zhi'yong
恒不死,heng'bu'si
恒卦终,heng'gua'zhong
恒亨无咎,heng'heng'wu'jiu
恒久而不已也,heng'jiu'er'bu'yi'ye
恒久也,heng'jiu'ye
恒其德,heng'qi'de
亨饪也,heng'ren'ye
亨者,heng'zhe
恒者久也,heng'zhe'jiu'ye
鸿渐于干,hong'jian'yu'gan
鸿渐于逵,hong'jian'yu'kui
鸿渐于陵,hong'jian'yu'ling
鸿渐于陆,hong'jian'yu'lu
鸿渐于木,hong'jian'yu'mu
鸿渐于磐,hong'jian'yu'pan
后不省方,hou'bu'sheng'fang
后得主而有常,hou'de'zhu'er'you'chang
后夫凶,hou'fu'xiong
后庚三日,hou'geng'san'ri
后甲三日,hou'jia'san'ri
后入于地,hou'ru'yu'di
后世圣人易之以宫室,hou'shi'sheng'ren'yi'zhi'yi'gong'shi
后世圣人易之以棺椁,hou'shi'sheng'ren'yi'zhi'yi'guan'guo
后世圣人易之以书契,hou'shi'sheng'ren'yi'zhi'yi'shu'qi
后顺得常,hou'shun'de'chang
后说之弧,hou'shuo'zhi'hu
后天而奉天时,hou'tian'er'feng'tian'shi
后笑言哑哑,hou'xiao'yan'ya'ya
后以财裁成天地之道,hou'yi'cai'cai'cheng'tian'di'zhi'dao
后以施命诰四方,hou'yi'shi'ming'gao'si'fang
厚衣之以薪,hou'yi'zhi'yi'xin
后有则也,hou'you'ze'ye
厚之至也,hou'zhi'zhi'ye
虎视眈眈,hu'shi'dan'dan
弧矢之利,hu'shi'zhi'li
化而裁之,hua'er'cai'zhi
化而裁之谓之变,hua'er'cai'zhi'wei'zhi'bian
怀其资,huai'qi'zi
怀万邦也,huai'wan'bang'ye
涣奔其机,huan'ben'qi'ji
缓必有所失,huan'bi'you'suo'shi
涣卦终,huan'gua'zhong
涣汗其大号,huan'han'qi'da'hao
涣离也,huan'li'ye
涣其躬,huan'qi'gong
涣其群,huan'qi'qun
涣其血,huan'qi'xue
涣王居,huan'wang'ju
涣有丘,huan'you'qiu
涣者离也,huan'zhe'li'ye
患至掇也,huan'zhi'duo'ye
黄帝,huang'di
黄离,huang'li
黄离元吉,huang'li'yuan'ji
黄裳,huang'shang
黄裳元吉,huang'shang'yuan'ji
悔厉吉,hui'li'ji
悔吝者,hui'lin'zhe
晦其明也,hui'qi'ming'ye
撝谦,hui'qian
悔且吝,hui'qie'lin
悔亡,hui'wang
惠我德,hui'wo'de
婚媾有言,hun'gou'you'yan
或承之羞,huo'cheng'zhi'xiu
或出或处,huo'chu'huo'chu
或从王事,huo'cong'wang'shi
或得其桷,huo'dei'qi'jue
火地晋,huo'di'jin
火动而上,huo'dong'er'shang
火风鼎,huo'feng'ding
或鼓或罢,huo'gu'huo'ba
或害之,huo'hai'zhi
或击之,huo'ji'zhi
火就燥,huo'jiu'zao
火雷噬嗑,huo'lei'shi'ke
获明夷之心,huo'ming'yi'zhi'xin
或默或语,huo'mo'huo'yu
获其匪丑,huo'qi'fei'chou
或泣或歌,huo'qi'huo'ge
火山旅,huo'shan'lv
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
或系之牛,huo'xi'zhi'niu
或锡之鞶带,huo'xi'zhi'pan'dai
获心意也,huo'xin'yi'ye
或益之,huo'yi'zhi
或与或求,huo'yu'huo'qiu
或跃在渊,huo'yue'zai'yuan
火在水上,huo'zai'shui'shang
火在天上,huo'zai'tian'shang
火泽睽,huo'ze'kui
获之,huo'zhi
获之无不利,huo'zhi'wu'bu'li
或之者,huo'zhi'zhe
积不善之家,ji'bu'shan'zhi'jia
既成万物也,ji'cheng'wan'wu'ye
吉大来也,ji'da'lai'ye
吉亨,ji'heng
既济,ji'ji
既济定也,ji'ji'ding'ye
既济卦终,ji'ji'gua'zhong
既鹿无虞,ji'lu'wu'yu
击蒙,ji'meng
极其数,ji'qi'shu
寂然不动,ji'ran'bu'dong
吉人之辞寡,ji'ren'zhi'ci'gua
己日革之,ji'ri'ge'zhi
己日乃孚,ji'ri'nai'fu
己日乃革之,ji'ri'nai'ge'zhi
既辱且危,ji'ru'qie'wei
积善之家,ji'shan'zhi'jia
几事不密,ji'shi'bu'mi
吉事有祥,ji'shi'you'xiang
极数知来之谓占,ji'shu'zhi'lai'zhi'wei'zhan
极天下之赜者,ji'tian'xia'zhi'ze'zhe
吉无不利,ji'wu'bu'li
吉无不利也,ji'wu'bu'li'ye
吉无咎,ji'wu'jiu
积小以高大,ji'xiao'yi'gao'da
吉凶见乎外,ji'xiong'jian'hu'wai
吉凶生,ji'xiong'sheng
吉凶生大业,ji'xiong'sheng'da'ye
吉凶生矣,ji'xiong'sheng'yi
吉凶以情迁,ji'xiong'yi'qing'qian
吉凶与民同患,ji'xiong'yu'min'tong'huan
吉凶者,ji'xiong'zhe
吉也,ji'ye
藉用白茅,ji'yong'bai'mao
吉又何咎矣,ji'you'he'jiu'yi
既有曲常,ji'you'qu'chang
既忧之,ji'you'zhi
系于包桑,ji'yu'bao'sang
系于苞桑,ji'yu'bao'sang
既雨既处,ji'yu'ji'chu
系于金柅,ji'yu'jin'ni
跻于九陵,ji'yu'jiu'ling
继之者善也,ji'zhi'zhe'shan'ye
积中不败也,ji'zhong'bu'bai'ye
齎咨涕洟,ji'zi'ti'ti
箕子以之,ji'zi'yi'zhi
箕子之明夷,ji'zi'zhi'ming'yi
箕子之贞,ji'zi'zhi'zhen
家道穷必乖,jia'dao'qiong'bi'guai
嘉遯,jia'dun
嘉遯贞吉,jia'dun'zhen'ji
加乎民,jia'hu'min
嘉会,jia'hui
家人,jia'ren
家人卦终,jia'ren'gua'zhong
家人嗃嗃,jia'ren'hu'hu
家人内也,jia'ren'nei'ye
家人有严君焉,jia'ren'you'yan'jun'yan
嘉之会也,jia'zhi'hui'ye
坚冰至,jian'bing'zhi
见恶人,jian'e'ren
见恶人无咎,jian'e'ren'wu'jiu
健而说,jian'er'shuo
健而巽,jian'er'xun
渐卦终,jian'gua'zhong
蹇卦终,jian'gua'zhong
见吉凶,jian'ji'xiong
见金夫,jian'jin'fu
洊雷,jian'lei
蹇利西南,jian'li'xi'nan
见龙再田,jian'long'zai'tian
见龙在田,jian'long'zai'tian
见乃谓之象,jian'nai'wei'zhi'xiang
蹇难也,jian'nan'ye
渐女归,jian'nv'gui
见群龙无首,jian'qun'long'wu'shou
兼三才而两之,jian'san'cai'er'liang'zhi
兼山,jian'shan
见豕负涂,jian'shi'fu'tu
见险而能止,jian'xian'er'neng'zhi
见凶,jian'xiong
健也,jian'ye
见舆曳,jian'yu'ye
艰则吉,jian'ze'ji
艰则无咎,jian'ze'wu'jiu
简则易从,jian'ze'yi'cong
渐者进也,jian'zhe'jin'ye
蹇者难也,jian'zhe'nan'ye
艰贞无咎,jian'zhen'wu'jiu
渐之进也,jian'zhi'jin'ye
蹇之时用大矣哉,jian'zhi'shi'yong'da'yi'zai
将叛者,jiang'pan'zhe
将以顺性命之理,jiang'yi'shun'xing'ming'zhi'li
将以有行也,jiang'yi'you'xing'ye
交孚,jiao'fu
交孚无咎,jiao'fu'wu'jiu
交相爱也,jiao'xiang'ai'ye
交易而退,jiao'yi'er'tui
戒不虞,jie'bu'yu
解而拇,jie'er'mu
节而信之,jie'er'xin'zhi
节卦终,jie'gua'zhong
解卦终,jie'gua'zhong
解缓也,jie'huan'ye
介疾有喜,jie'ji'you'xi
解利西南,jie'li'xi'nan
嗟如,jie'ru
皆失实也,jie'shi'shi'ye
节以制度,jie'yi'zhi'du
节饮食,jie'yin'shi
介于石,jie'yu'shi
解者缓也,jie'zhe'huan'ye
解之时义大矣哉,jie'zhi'shi'yi'da'yi'zai
节止也,jie'zhi'ye
进必有所归,jin'bi'you'suo'gui
进必有所伤,jin'bi'you'suo'shang
进得位,jin'de'wei
近而不相得则凶,jin'er'bu'xiang'de'ze'xiong
浸而长也,jin'er'chang'ye
晋卦终,jin'gua'zhong
禁民为非曰义,jin'min'wei'fei'yue'yi
晋其角,jin'qi'jiao
近取诸身,jin'qu'zhu'shen
晋如,jin'ru
晋如硕鼠,jin'ru'shuo'shu
进退,jin'tui
进退无恒,jin'tui'wu'heng
进退之象也,jin'tui'zhi'xiang'ye
进无咎也,jin'wu'jiu'ye
近也,jin'ye
进也,jin'ye
进以正,jin'yi'zheng
晋者进也,jin'zhe'jin'ye
晋昼也,jin'zhou'ye
井道不可不革,jing'dao'bu'ke'bu'ge
井谷射鲋,jing'gu'she'fu
井卦终,jing'gua'zhong
井冽,jing'lie
井泥不食,jing'ni'bu'shi
精气为物,jing'qi'wei'wu
敬慎不败也,jing'shen'bu'bai'ye
井收勿幕,jing'shou'wu'mu
井通,jing'tong
井渫不食,jing'xie'bu'shi
井养而不穷也,jing'yang'er'bu'qiong'ye
敬义立,jing'yi'li
精义入神,jing'yi'ru'shen
惊远而惧迩也,jing'yuan'er'ju'er'ye
敬之无咎,jing'zhi'wu'jiu
敬之终吉,jing'zhi'zhong'ji
井甃,jing'zhou
井甃无咎,jing'zhou'wu'jiu
咎不长也,jiu'bu'chang'ye
臼杵之利,jiu'chu'zhi'li
九二,jiu'er
九二悔亡,jiu'er'hui'wang
九二利贞,jiu'er'li'zhen
九二曰,jiu'er'yue
九二贞吉,jiu'er'zhen'ji
九二之孚,jiu'er'zhi'fu
久非其位,jiu'fei'qi'wei
旧井无禽,jiu'jing'wu'qin
九三,jiu'san
九三曰,jiu'san'yue
酒食贞吉,jiu'shi'zhen'ji
九四,jiu'si
九四之喜,jiu'si'zhi'xi
九五,jiu'wu
九五含章,jiu'wu'han'zhang
九五曰,jiu'wu'yue
九五之吉,jiu'wu'zhi'ji
久也,jiu'ye
咎也,jiu'ye
久於其道也,jiu'yu'qi'dao'ye
居德则忌,ju'de'ze'ji
举而错之天下之民,ju'er'cuo'zhi'tian'xia'zhi'min
聚而上者,ju'er'shang'zhe
居吉,ju'ji
居其所而迁,ju'qi'suo'er'qian
居上位而不骄,ju'shang'wei'er'bu'jiao
居位中也,ju'wei'zhong'ye
拘系之,ju'xi'zhi
聚也,ju'ye
惧以语,ju'yi'yu
聚以正也,ju'yi'zheng'ye
惧以终始,ju'yi'zhong'shi
据于蒺藜,ju'yu'ji'li
居贞吉,ju'zhen'ji
居贞之吉,ju'zhen'zhi'ji
决必有所遇,jue'bi'you'suo'yu
掘地为臼,jue'di'wei'jiu
决而和,jue'er'he
厥孚交如,jue'fu'jiao'ru
夬卦终,jue'gua'zhong
夬决也,jue'jue'ye
绝类上也,jue'lei'shang'ye
夬履,jue'lv
夬履贞厉,jue'lv'zhen'li
决也,jue'ye
夬者决也,jue'zhe'jue'ye
厥宗噬肤,jue'zong'shi'fu
君不密,jun'bu'mi
君德也,jun'de'ye
浚恒,jun'heng
浚恒之凶,jun'heng'zhi'xiong
君子安而不忘危,jun'zi'an'er'bu'wang'wei
君子安其身而后动,jun'zi'an'qi'shen'er'hou'dong
君子豹变,jun'zi'bao'bian
君子藏器於身,jun'zi'cang'qi'yu'shen
君子道消也,jun'zi'dao'xiao'ye
君子道长,jun'zi'dao'zhang
君子得舆,jun'zi'de'yu
君子好遯,jun'zi'hao'dun
君子黄中通理,jun'zi'huang'zhong'tong'li
君子几不如舍,jun'zi'ji'bu'ru'she
君子进德修业,jun'zi'jin'de'xiu'ye
君子敬以直内,jun'zi'jing'yi'zhi'nei
君子居其室,jun'zi'ju'qi'shi
君子居则观其象,jun'zi'ju'ze'guan'qi'xiang
君子夬夬,jun'zi'jue'jue
君子吝,jun'zi'lin
君子尚消息盈虚,jun'zi'shang'xiao'xi'ying'xu
君子舍之,jun'zi'she'zhi
君子所居而安者,jun'zi'suo'ju'er'an'zhe
君子体仁,jun'zi'ti'ren
君子罔也,jun'zi'wang'ye
君子维有解,jun'zi'wei'you'jie
君子无咎,jun'zi'wu'jiu
君子行此四者,jun'zi'xing'ci'si'zhe
君子修此三者,jun'zi'xiu'ci'san'zhe
君子学以聚之,jun'zi'xue'yi'ju'zhi
君子以辨上下,jun'zi'yi'bian'shang'xia
君子以常德行,jun'zi'yi'chang'de'xing
君子以成德为行,jun'zi'yi'cheng'de'wei'xing
君子以惩忿窒欲,jun'zi'yi'cheng'fen'zhi'yu
君子以除戎器,jun'zi'yi'chu'rong'qi
君子以独立不惧,jun'zi'yi'du'li'bu'ju
君子以多识前言往行,jun'zi'yi'duo'shi'qian'yan'wang'xing
君子以反身修德,jun'zi'yi'fan'shen'xiu'de
君子以非礼勿履,jun'zi'yi'fei'li'wu'lv
君子以果行育德,jun'zi'yi'guo'xing'yu'de
君子以行过乎恭,jun'zi'yi'hang'guo'hu'gong
君子以厚德载物,jun'zi'yi'hou'de'zai'wu
君子以晦入宴息,jun'zi'yi'hui'ru'yan'xi
君子以俭德辟难,jun'zi'yi'jian'de'pi'nan
君子以见善则迁,jun'zi'yi'jian'shan'ze'qian
君子以教思无穷,jun'zi'yi'jiao'si'wu'qiong
君子以竭恶扬善,jun'zi'yi'jie'e'yang'shan
君子以经纶,jun'zi'yi'jing'lun
君子以居贤德,jun'zi'yi'ju'xian'de
君子以恐惧修身,jun'zi'yi'kong'ju'xiu'shen
君子以劳民劝相,jun'zi'yi'lao'min'quan'xiang
君子以类族辨物,jun'zi'yi'lei'zu'bian'wu
君子以立不易方,jun'zi'yi'li'bu'yi'fang
君子以莅众,jun'zi'yi'li'zhong
君子以明慎用刑,jun'zi'yi'ming'shen'yong'xing
君子以明庶政,jun'zi'yi'ming'shu'zheng
君子以朋友讲习,jun'zi'yi'peng'you'jiang'xi
君子以裒多益寡,jun'zi'yi'pou'duo'yi'gua
君子以容民畜众,jun'zi'yi'rong'min'chu'zhong
君子以赦过宥罪,jun'zi'yi'she'guo'you'zui
君子以慎辨物居方,jun'zi'yi'shen'bian'wu'ju'fang
