阿鼻,a'bi
法处所摄色,fa'chu'suo'she'se
法船,fa'chuan
乏道,fa'dao
法灯,fa'deng
法典,fa'dian
法恩,fa'en
法尔,fa'er
法佛,fa'fo
法服,fa'fu
法缚,fa'fu
法鼓,fa'gu
发光地,fa'guang'de
法化,fa'hua
法华,fa'hua
法华八年,fa'hua'ba'nian
法华忏法,fa'hua'chan'fa
法华二妙,fa'hua'er'miao
法华会,fa'hua'hui
法华涅槃时,fa'hua'nie'pan'shi
法华三部,fa'hua'san'bu
法华三昧,fa'hua'san'mei
法华一实,fa'hua'yi'shi
法华宗,fa'hua'zong
法会,fa'hui
法见,fa'jian
法界,fa'jie
法界佛,fa'jie'fo
法界观,fa'jie'guan
法界三观,fa'jie'san'guan
法界三昧,fa'jie'san'mei
法界身,fa'jie'shen
法界实相,fa'jie'shi'xiang
法界无碍智,fa'jie'wu'ai'zhi
法界性,fa'jie'xing
法界缘起,fa'jie'yuan'qi
法界圆融,fa'jie'yuan'rong
法空,fa'kong
法空观,fa'kong'guan
法空智,fa'kong'zhi
法腊,fa'la
法力,fa'li
法流,fa'liu
发露,fa'lu
法轮,fa'lun
法螺,fa'luo
法侣,fa'lv
法门,fa'men
法门身,fa'men'shen
法灭,fa'mie
法名,fa'ming
法命,fa'ming
发菩提心,fa'pu'ti'xin
法器,fa'qi
法忍,fa'ren
法乳,fa'ru
法入,fa'ru
法身,fa'shen
法身本有,fa'shen'ben'you
法身大士,fa'shen'da'shi
法身佛,fa'shen'fo
法身观,fa'shen'guan
法身流转,fa'shen'liu'zhuan
法身菩萨,fa'shen'pu'sa
法身如来,fa'shen'ru'lai
法身舍利,fa'shen'she'li
法身塔,fa'shen'ta
法身无相,fa'shen'wu'xiang
法身有相,fa'shen'you'xiang
法师,fa'shi
法施,fa'shi
法食,fa'shi
法食时,fa'shi'shi
法数,fa'shu
法树,fa'shu
法嗣,fa'si
法堂,fa'tang
法体,fa'ti
发通,fa'tong
法王子,fa'wang'zi
法王子住,fa'wang'zi'zhu
法位,fa'wei
法味,fa'wei
法我,fa'wo
法我见,fa'wo'jian
法无碍解,fa'wu'ai'jie
法无碍智,fa'wu'ai'zhi
法无我,fa'wu'wo
法喜,fa'xi
法喜食,fa'xi'shi
法夏,fa'xia
法显,fa'xian
法想,fa'xiang
法相,fa'xiang
法相宗,fa'xiang'zong
发心,fa'xin
发心住,fa'xin'zhu
法性,fa'xing
法性常乐,fa'xing'chang'le
法性法身,fa'xing'fa'shen
法性海,fa'xing'hai
法性空,fa'xing'kong
法性身,fa'xing'shen
法性生身,fa'xing'sheng'shen
法性生身菩萨,fa'xing'sheng'shen'pu'sa
法性随缘,fa'xing'sui'yuan
法性土,fa'xing'tu
法性真如,fa'xing'zhen'ru
法眼,fa'yan
法药,fa'yao
法要,fa'yao
法衣,fa'yi
法印,fa'yin
法音,fa'yin
发愿,fa'yuan
法缘,fa'yuan
法缘慈悲,fa'yuan'ci'bei
法乐,fa'yue
法悦,fa'yue
法云,fa'yun
法蕴,fa'yun
法云等觉,fa'yun'deng'jue
法云地,fa'yun'di
法藏,fa'zang
法藏比丘,fa'zang'bi'qiu
法幛,fa'zhang
法执,fa'zhi
法智,fa'zhi
法舟,fa'zhou
法住,fa'zhu
法座,fa'zuo
梵典,fan'dian
凡夫,fan'fu
梵服,fan'fu
梵福,fan'fu
梵富楼,fan'fu'lou
梵辅天,fan'fu'tian
梵迦夷,fan'jia'yi
梵界,fan'jie
犯戒,fan'jie
犯戒五过,fan'jie'wu'guo
犯戒五衰,fan'jie'wu'shuai
梵轮,fan'lun
梵魔,fan'mo
烦恼,fan'nao
烦恼即菩提,fan'nao'ji'pu'ti
烦恼魔,fan'nao'mo
烦恼习,fan'nao'xi
烦恼业苦,fan'nao'ye'ku
烦恼障,fan'nao'zhang
烦恼浊,fan'nao'zhuo
反忍,fan'ren
凡圣同居土,fan'sheng'tong'ju'tu
凡圣一如,fan'sheng'yi'ru
梵释,fan'shi
梵世界,fan'shi'jie
梵释四天,fan'shi'si'tian
梵天,fan'tian
梵天王,fan'tian'wang
梵王,fan'wang
梵王宫,fan'wang'gong
梵网戒,fan'wang'jie
凡小,fan'xiao
凡小八倒,fan'xiao'ba'dao
梵心,fan'xin
梵行,fan'xing
繁兴永处那伽定,fan'xing'yong'chu'na'jia'ding
梵音,fan'yin
梵音相,fan'yin'xiang
凡愚,fan'yu
梵宇,fan'yu
梵语,fan'yu
梵志,fan'zhi
梵众,fan'zhong
梵众天,fan'zhong'tian
方便,fang'bian
方便般若,fang'bian'bo're
方便法身,fang'bian'fa'shen
方便化身,fang'bian'hua'shen
方便菩提,fang'bian'pu'ti
方便土,fang'bian'tu
方便心,fang'bian'xin
方便有余土,fang'bian'you'yu'tu
方便智,fang'bian'zhi
方等,fang'deng
方等经,fang'deng'jing
方等时,fang'deng'shi
放光,fang'guang
方广,fang'guang
放光动地,fang'guang'dong'di
放生,fang'sheng
方外,fang'wai
放逸,fang'yi
方丈,fang'zhang
诽谤正法,fei'bang'zheng'fa
非梵行,fei'fan'xing
非非想处,fei'fei'xiang'chu
非非想天,fei'fei'xiang'tian
飞花落叶,fei'hua'luo'ye
吠卢遮那,fei'lu'zhe'na
非器,fei'qi
非情,fei'qing
非人,fei'ren
非色,fei'se
非色非心,fei'se'fei'xin
吠舍,fei'she
非时,fei'shi
非时食,fei'shi'shi
非天,fei'tian
非想非非想处定,fei'xiang'fei'fei'xiang'chu'ding
非想非非想天,fei'xiang'fei'fei'xiang'tian
飞行皇帝,fei'xing'huang'di
非有非空,fei'you'fei'kong
非有非空门,fei'you'fei'kong'men
非有想非无想处,fei'you'xiang'fei'wu'xiang'chu
非有想非无想定,fei'you'xiang'fei'wu'xiang'ding
非有想非无想天,fei'you'xiang'fei'wu'xiang'tian
非择灭无为,fei'ze'mie'wu'wei
分别,fen'bie
分别起,fen'bie'qi
分别识,fen'bie'shi
分别智,fen'bie'zhi
分段变易,fen'duan'bian'yi
分段三道,fen'duan'san'dao
分段生死,fen'duan'sheng'si
分教,fen'jiao
忿结,fen'jie
忿怒,fen'nu
粪扫衣,fen'sao'yi
分位,fen'wei
分证,fen'zheng
分证佛,fen'zheng'fo
风大,feng'da
风刀,feng'dao
风轮,feng'lun
风色,feng'se
风灾,feng'zai
佛宝,fo'bao
佛乘,fo'cheng
佛成道日,fo'cheng'dao'ri
佛道,fo'dao
佛地,fo'di
佛法,fo'fa
佛法藏,fo'fa'cang
佛法寿命,fo'fa'shou'ming
佛果,fo'guo
佛海,fo'hai
佛号,fo'hao
佛后普贤,fo'hou'pu'xian
佛化,fo'hua
佛欢喜日,fo'huan'xi'ri
佛会,fo'hui
佛慧,fo'hui
佛记,fo'ji
佛教,fo'jiao
佛戒,fo'jie
佛界,fo'jie
佛境,fo'jing
佛经,fo'jing
佛具,fo'ju
佛具十身,fo'ju'shi'shen
佛腊日,fo'la'ri
佛立三昧,fo'li'san'mei
佛灭,fo'mie
佛灭度,fo'mie'du
佛母,fo'mu
佛七,fo'qi
佛前佛后难,fo'qian'fo'hou'nan
佛日,fo'ri
佛身,fo'shen
佛生日,fo'sheng'ri
佛事,fo'shi
佛说,fo'shuo
佛四无畏,fo'si'wu'wei
佛土,fo'tu
佛陀,fo'tuo
佛位,fo'wei
佛性,fo'xing
佛性常住,fo'xing'chang'zhu
佛性真如,fo'xing'zhen'ru
佛眼,fo'yan
佛言量,fo'yan'liang
佛印,fo'yin
佛因,fo'yin
佛智,fo'zhi
佛知见,fo'zhi'jian
佛种,fo'zhong
佛种性,fo'zhong'xing
佛祖,fo'zu
佛足顶礼,fo'zu'ding'li
浮尘根,fu'chen'gen
福德,fu'de
福德庄严,fu'de'zhuang'yan
福地,fu'di
缚定印,fu'ding'yin
伏断,fu'duan
福分,fu'fen
福慧,fu'hui
扶惑润生,fu'huo'run'sheng
敷具,fu'ju
富楼那,fu'lou'na
伏忍,fu'ren
福田,fu'tian
福田衣,fu'tian'yi
扶习润生,fu'xi'run'sheng
福行,fu'xing
福业,fu'ye
福因,fu'yin
福智,fu'zhi
福足,fu'zu
盖,gai
盖缠,gai'chan
感果,gan'guo
甘露法,gan'lu'fa
甘露界,gan'lu'jie
甘露门,gan'lu'men
甘露灭,gan'lu'mie
甘露水,gan'lu'shui
甘露王,gan'lu'wang
感应,gan'ying
感应道交,gan'ying'dao'jiao
给孤独园,gei'gu'du'yuan
给孤独长者,gei'gu'du'zhang'zhe
根本法轮,gen'ben'fa'lun
根本烦恼,gen'ben'fan'nao
根本惑,gen'ben'huo
根本识,gen'ben'shi
根本无明,gen'ben'wu'ming
根本印,gen'ben'yin
根本智,gen'ben'zhi
根尘,gen'chen
根境识,gen'jing'shi
根力,gen'li
根力觉道,gen'li'jue'dao
根力觉分,gen'li'jue'fen
根门,gen'men
根身,gen'shen
根身器界,gen'shen'qi'jie
根性,gen'xing
公案,gong'an
共报,gong'bao
共般若,gong'bo're
共不共,gong'bu'gong
功德,gong'de
功德田,gong'de'tian
功德香,gong'de'xiang
共法,gong'fa
贡高,gong'gao
贡高我慢,gong'gao'wo'man
恭敬修,gong'jing'xiu
供具,gong'ju
工巧明,gong'qiao'ming
共十地,gong'shi'di
共相,gong'xiang
供养,gong'yang
供养法,gong'yang'fa
共业,gong'ye
垢结,gou'jie
垢识,gou'shi
古德,gu'de
孤独地狱,gu'du'di'yu
孤独园,gu'du'yuan
古佛,gu'fo
孤起偈,gu'qi'ji
骨塔,gu'ta
挂褡,gua'da
挂单,gua'dan
挂锡,gua'xi
观察法忍,guan'cha'fa'ren
观察门,guan'cha'men
观察正行,guan'cha'zheng'hang
灌顶,guan'ding
灌顶住,guan'ding'zhu
观法,guan'fa
灌佛,guan'fo
灌佛会,guan'fo'hui
观佛三昧,guan'fo'san'mei
观慧,guan'hui
观解,guan'jie
观空,guan'kong
观门,guan'men
观念念佛,guan'nian'nian'fo
观世音,guan'shi'yin
观世自在,guan'shi'zi'zai
观想,guan'xiang
观像念佛,guan'xiang'nian'fo
观想念佛,guan'xiang'nian'fo
观心,guan'xin
观行,guan'xing
观音,guan'yin
观音本地,guan'yin'ben'di
观音忏法,guan'yin'chan'fa
观音观,guan'yin'guan
观照,guan'zhao
观照般若,guan'zhao'bo're
观智,guan'zhi
观自在,guan'zi'zai
广博身如来,guang'bo'shen'ru'lai
广长轮相,guang'chang'lun'xiang
广长舌,guang'chang'she
广果天,guang'guo'tian
光毫,guang'hao
光明土,guang'ming'tu
广目天,guang'mu'tian
广狭自在无碍门,guang'xia'zi'zai'wu'ai'men
光音三天,guang'yin'san'tian
光音天,guang'yin'tian
轨持,gui'chi
鬼道,gui'dao
归戒,gui'jie
鬼界,gui'jie
归命,gui'ming
鬼趣,gui'qu
鬼神,gui'shen
鬼神食时,gui'shen'shi'shi
归依,gui'yi
皈依,gui'yi
归依法,gui'yi'fa
归依佛,gui'yi'fo
归依僧,gui'yi'seng
归元,gui'yuan
果报,guo'bao
果报土,guo'bao'tu
果德,guo'de
果地,guo'di
果断,guo'duan
果分,guo'fen
果缚,guo'fu
果缚断,guo'fu'duan
果果,guo'guo
果号,guo'hao
果极法身,guo'ji'fa'shen
果满,guo'man
果能变,guo'neng'bian
过去,guo'qu
过去七佛,guo'qu'qi'fo
过去庄严劫,guo'qu'zhuang'yan'jie
果人,guo'ren
国土,guo'tu
国土身,guo'tu'shen
国土世间,guo'tu'shi'jian
国王恩,guo'wang'en
果位,guo'wei
过未,guo'wei
果位人,guo'wei'ren
海潮音,hai'chao'yin
海会,hai'hui
害觉,hai'jue
还灭,hai'mie
还灭门,hai'mie'men
害想,hai'xiang
还相,hai'xiang
还源,hai'yuan
海众,hai'zhong
寒冰地狱,han'bing'di'yu
含类,han'lei
含灵,han'ling
寒山,han'shan
含生,han'sheng
含中教,han'zhong'jiao
行树,hang'shu
行业,hang'ye
呵佛骂祖,he'fo'ma'zu
和光接物,he'guang'jie'wu
和合二圣,he'he'er'sheng
和合海,he'he'hai
和合僧,he'he'seng
和合性,he'he'xing
和合众,he'he'zhong
和敬,he'jing
合莲华,he'lian'hua
呵罗罗,he'luo'luo
和南,he'nan
和僧,he'seng
和尚,he'shang
合十,he'shi
和香丸,he'xiang'wan
合掌,he'zhang
和众,he'zhong
黑沙地狱,hei'sha'di'yu
黑绳地狱,hei'sheng'di'yu
横出,heng'chu
恒河,heng'he
恒河沙,heng'he'sha
横截,heng'jie
横起,heng'qi
恒沙,heng'sha
恒沙定,heng'sha'ding
红莲大红莲,hong'lian'da'hong'lian
红莲地狱,hong'lian'di'yu
红莲花,hong'lian'hua
弘忍,hong'ren
弘誓,hong'shi
弘愿,hong'yuan
后报,hou'bao
后得智,hou'de'zhi
后佛,hou'fo
后念,hou'nian
后五百岁,hou'wu'bai'sui
后有,hou'you
护法,hu'fa
护法阿罗汉,hu'fa'a'luo'han
护法神,hu'fa'shen
护国四王,hu'guo'si'wang
护戒神,hu'jie'shen
护念,hu'nian
护世四天王,hu'shi'si'tian'wang
护世者,hu'shi'zhe
化道,hua'dao
化法,hua'fa
化法四教,hua'fa'si'jiao
化佛,hua'fo
化迹,hua'ji
化境,hua'jing
化乐天,hua'le'tian
化理,hua'li
化身,hua'shen
化身八相,hua'shen'ba'xiang
化生,hua'sheng
华台,hua'tai
化土,hua'tu
化现,hua'xian
化相三宝,hua'xiang'san'bao
华严,hua'yan
华严三圣,hua'yan'san'sheng
华严时,hua'yan'shi
华严宗,hua'yan'zong
华严宗三观,hua'yan'zong'san'guan
化仪,hua'yi
化仪四教,hua'yi'si'jiao
化缘,hua'yuan
华藏界,hua'zang'jie
华藏世界,hua'zang'shi'jie
化主,hua'zhu
化转,hua'zhuan
坏道沙门,huai'dao'sha'men
怀海,huai'hai
坏劫,huai'jie
坏苦,huai'ku
怀灵,huai'ling
坏色,huai'se
坏色衣,huai'se'yi
坏相,huai'xiang
幻垢,huan'gou
幻身,huan'shen
还俗,huan'su
欢喜,huan'xi
欢喜地,huan'xi'de
欢喜会,huan'xi'hui
欢喜日,huan'xi'ri
欢喜园,huan'xi'yuan
幻相,huan'xiang
桓因,huan'yin
幻有,huan'you
黄檗,huang'bo
黄面老子,huang'mian'lao'zi
会二归一,hui'er'gui'yi
慧根,hui'gen
回光返照,hui'guang'fan'zhao
悔过,hui'guo
灰河地狱,hui'he'di'yu
慧剑,hui'jian
恚结,hui'jie
慧炬,hui'ju
慧炬三昧,hui'ju'san'mei
慧可,hui'ke
慧力,hui'li
慧门,hui'men
慧命,hui'ming
慧目,hui'mu
惠能,hui'neng
慧能,hui'neng
恚怒,hui'nu
慧日,hui'ri
会三归一,hui'san'gui'yi
秽刹,hui'sha
秽身,hui'shen
灰身灭智,hui'shen'mie'zhi
回头是岸,hui'tou'shi'an
秽土,hui'tu
慧无减,hui'wu'jian
回向,hui'xiang
回向门,hui'xiang'men
回小向大,hui'xiao'xiang'da
回心戒,hui'xin'jie
回心向大,hui'xin'xiang'da
慧学,hui'xue
慧印,hui'yin
慧印三昧,hui'yin'san'mei
慧远,hui'yuan
慧足,hui'zu
惛沉,hun'chen
魂魄,hun'po
魂神,hun'shen
荤辛,hun'xin
火大,huo'da
火焚地狱,huo'fen'di'yu
火净,huo'jing
惑染,huo'ran
火涂道,huo'tu'dao
惑业苦,huo'ye'ku
火灾,huo'zai
火宅,huo'zhai
惑障,huo'zhang
记别,ji'bie
寂常,ji'chang
济度,ji'du
计度,ji'du
饥饿地狱,ji'e'di'yu
机根,ji'gen
极果,ji'guo
即假,ji'jia
机教,ji'jiao
饥馑灾,ji'jin'zai
寂静,ji'jing
极觉,ji'jue
即空,ji'kong
即空即假即中,ji'kong'ji'jia'ji'zhong
妓乐,ji'le
技乐,ji'le
极乐世界,ji'le'shi'jie
即离,ji'li
寂灭,ji'mie
寂灭道场,ji'mie'dao'chang
寂灭为乐,ji'mie'wei'le
寂灭无二,ji'mie'wu'er
寂灭相,ji'mie'xiang
极难胜地,ji'nan'sheng'di
寂念,ji'nian
寂然,ji'ran
寂然界,ji'ran'jie
极热地狱,ji're'di'yu
忌日,ji'ri
即身成佛,ji'shen'cheng'fo
己身弥陀唯心净土,ji'shen'mi'tuo'wei'xin'jing'tu
济世,ji'shi
即事而真,ji'shi'er'zhen
偈他,ji'ta
讥嫌,ji'xian
讥嫌戒,ji'xian'jie
吉祥忏法,ji'xiang'chan'fa
吉祥天,ji'xiang'tian
吉祥坐,ji'xiang'zuo
即心即佛,ji'xin'ji'fo
即心念佛,ji'xin'nian'fo
即心是佛,ji'xin'shi'fo
机性,ji'xing
即有即空,ji'you'ji'kong
机缘,ji'yuan
伎乐,ji'yue
忌月,ji'yue
己证,ji'zheng
即中,ji'zhong
寂种,ji'zhong
加被,jia'bei
加持,jia'chi
加持身,jia'chi'shen
假谛,jia'di
假法,jia'fa
跏趺,jia'fu
假观,jia'guan
加行,jia'hang
加行果,jia'hang'guo
加行位,jia'hang'wei
假合,jia'he
假和合,jia'he'he
假合之身,jia'he'zhi'shen
迦迦,jia'jia
加力,jia'li
迦陵,jia'ling
迦陵频迦,jia'ling'pin'jia
迦楼罗,jia'lou'luo
假名,jia'ming
假名世间,jia'ming'shi'jian
假名有,jia'ming'you
迦腻色加王,jia'ni'se'jia'wang
迦毗罗卫,jia'pi'luo'wei
假色,jia'se
袈裟,jia'sha
袈裟十二名,jia'sha'shi'er'ming
袈裟十利,jia'sha'shi'li
袈裟五德,jia'sha'wu'de
假我,jia'wo
嘉祥,jia'xiang
加行道,jia'xing'dao
加行善,jia'xing'shan
迦叶,jia'ye
迦叶佛,jia'ye'fo
伽耶山,jia'ye'shan
迦叶尊者,jia'ye'zun'zhe
假有,jia'you
迦旃延,jia'zhan'yan
跏坐,jia'zuo
见爱,jian'ai
渐次观,jian'ci'guan
见道,jian'dao
见道位,jian'dao'wei
见地,jian'di
见谛,jian'di
犍度,jian'du
渐断,jian'duan
渐顿教,jian'dun'jiao
见缚,jian'fu
见惑,jian'huo
见犍度,jian'jian'du
渐教,jian'jiao
减劫,jian'jie
见结,jian'jie
兼利,jian'li
见流,jian'liu
见论,jian'lun
见取,jian'qu
见取见,jian'qu'jian
见取使,jian'qu'shi
间色,jian'se
间色服,jian'se'fu
剑山,jian'shan
剑树地狱,jian'shu'di'yu
见思,jian'si
见所断,jian'suo'duan
见网,jian'wang
渐悟,jian'wu
见性,jian'xing
见行,jian'xing
见性成佛,jian'xing'cheng'fo
见障,jian'zhang
见浊,jian'zhuo
降诞,jiang'dan
教禅,jiao'chan
憍陈如,jiao'chen'ru
教典,jiao'dian
教法,jiao'fa
教观,jiao'guan
教观二门,jiao'guan'er'men
教化,jiao'hua
叫唤,jiao'huan
叫唤地狱,jiao'huan'di'yu
教诫轮,jiao'jie'lun
教理,jiao'li
教理行果,jiao'li'xing'guo
教令轮,jiao'ling'lun
憍慢,jiao'man
教内,jiao'nei
教判,jiao'pan
教授阿阇梨,jiao'shou'a'she'li
教授善知识,jiao'shou'shan'zhi'shi
教授师,jiao'shou'shi
教体,jiao'ti
教徒,jiao'tu
教外,jiao'wai
教外别传,jiao'wai'bie'chuan
教相,jiao'xiang
教相判释,jiao'xiang'pan'shi
教行,jiao'xing
教行证,jiao'xing'zheng
教一,jiao'yi
教主,jiao'zhu
劫,jie
解,jie
劫簸,jie'bo
戒波罗蜜,jie'bo'luo'mi
戒场,jie'chang
劫初,jie'chu
戒单,jie'dan
戒刀,jie'dao
界地,jie'di
戒牒,jie'die
戒定,jie'ding
戒定慧,jie'ding'hui
戒定慧解脱解脱知见,jie'ding'hui'jie'tuo'jie'tuo'zhi'jian
戒法,jie'fa
界分,jie'fen
结缚,jie'fu
劫海,jie'hai
劫火,jie'huo
解惑,jie'huo
结集,jie'ji
结跏趺坐,jie'jia'fu'zuo
结解,jie'jie
戒禁取见,jie'jin'qu'jian
戒经,jie'jing
解境十佛,jie'jing'shi'fo
解空,jie'kong
戒腊,jie'la
戒蜡,jie'la
戒力,jie'li
结漏,jie'lou
戒律,jie'lv
戒律藏,jie'lv'cang
解满成佛,jie'man'cheng'fo
戒名,jie'ming
羯磨,jie'mo
羯磨阿阇梨,jie'mo'a'she'li
羯磨戒师,jie'mo'jie'shi
羯磨僧,jie'mo'seng
界内,jie'nei
界内感,jie'nei'gan
界内教,jie'nei'jiao
界内理教,jie'nei'li'jiao
界内事教,jie'nei'shi'jiao
戒品,jie'pin
戒器,jie'qi
戒擖,jie'qia
戒取,jie'qu
界趣,jie'qu
戒取见,jie'qu'jian
界如,jie'ru
戒善,jie'shan
接善戒,jie'shan'jie
劫烧,jie'shao
戒师,jie'shi
结使,jie'shi
劫水,jie'shui
戒坛,jie'tan
戒体,jie'ti
解脱,jie'tuo
解脱道,jie'tuo'dao
解脱服,jie'tuo'fu
解脱坚固,jie'tuo'jian'gu
解脱门,jie'tuo'men
解脱身,jie'tuo'shen
解脱深坑,jie'tuo'shen'keng
解脱味,jie'tuo'wei
解脱相,jie'tuo'xiang
解脱衣,jie'tuo'yi
解脱知见,jie'tuo'zhi'jian
解脱幢相衣,jie'tuo'zhuang'xiang'yi
界外,jie'wai
界外教,jie'wai'jiao
界外理教,jie'wai'li'jiao
界外事教,jie'wai'shi'jiao
结夏,jie'xia
戒相,jie'xiang
戒香,jie'xiang
戒行,jie'xing
解行,jie'xing
解行地,jie'xing'di
解行相应,jie'xing'xiang'ying
戒学,jie'xue
结业,jie'ye
结印,jie'yin
结缘,jie'yuan
劫灾,jie'zai
结贼,jie'zei
洁斋,jie'zhai
解执,jie'zhi
戒珠,jie'zhu
劫浊,jie'zhuo
接足作礼,jie'zu'zuo'li
金刚,jin'gang
金刚乘,jin'gang'cheng
金刚杵,jin'gang'chu
金刚定,jin'gang'ding
金刚顶,jin'gang'ding
金刚后心,jin'gang'hou'xin
金刚慧,jin'gang'hui
金刚界,jin'gang'jie
金刚界五部,jin'gang'jie'wu'bu
金刚轮,jin'gang'lun
金刚灭定,jin'gang'mie'ding
金刚萨埵,jin'gang'sa'duo
金刚三昧,jin'gang'san'mei
金刚刹,jin'gang'sha
金刚山,jin'gang'shan
金刚神,jin'gang'shen
金刚身,jin'gang'shen
金刚手,jin'gang'shou
金刚体,jin'gang'ti
金刚心,jin'gang'xin
金刚心菩萨,jin'gang'xin'pu'sa
金刚语言,jin'gang'yu'yan
金刚智,jin'gang'zhi
金刚众,jin'gang'zhong
金刚座,jin'gang'zuo
金骨,jin'gu
金光明忏法,jin'guang'ming'chan'fa
金华,jin'hua
禁戒,jin'jie
金界,jin'jie
进具,jin'ju
金口,jin'kou
金莲,jin'lian
金流,jin'liu
进如意足,jin'ru'yi'zu
金色头陀,jin'se'tou'tuo
金山,jin'shan
近事,jin'shi
近事律仪,jin'shi'lv'yi
近事男,jin'shi'nan
近事女,jin'shi'nv
金胎,jin'tai
尽未来际,jin'wei'lai'ji
尽形寿,jin'xing'shou
尽虚空界,jin'xu'kong'jie
近圆,jin'yuan
近缘,jin'yuan
近住,jin'zhu
近住律仪,jin'zhu'lv'yi
净邦,jing'bang
经部,jing'bu
经藏,jing'cang
净德,jing'de
净发,jing'fa
净法界,jing'fa'jie
净饭王,jing'fan'wang
净佛,jing'fo
经供养,jing'gong'yang
净观,jing'guan
净戒,jing'jie
境界般若,jing'jie'bo're
精进,jing'jin
精进波罗蜜,jing'jin'bo'luo'mi
精进根,jing'jin'gen
精进觉支,jing'jin'jue'zhi
精进如意足,jing'jin'ru'yi'zu
净居天,jing'ju'tian
净口业真言,jing'kou'ye'zhen'yan
敬礼,jing'li
静力,jing'li
经量部,jing'liang'bu
净琉璃净土,jing'liu'li'jing'tu
净琉璃世界,jing'liu'li'shi'jie
经论,jing'lun
静虑,jing'lv
经律论,jing'lv'lun
净妙,jing'miao
净名,jing'ming
净命,jing'ming
净名居士,jing'ming'ju'shi
净色根,jing'se'gen
净刹,jing'sha
精舍,jing'she
净施,jing'shi
经体,jing'ti
敬田,jing'tian
净土,jing'tu
净土七经,jing'tu'qi'jing
净土三部经,jing'tu'san'bu'jing
净土宗,jing'tu'zong
净心,jing'xin
经行,jing'xing
境行果,jing'xing'guo
净眼,jing'yan
净眼三昧,jing'yan'san'mei
净业,jing'ye
净业正因,jing'ye'zheng'yin
净因,jing'yin
净域,jing'yu
境智,jing'zhi
净住,jing'zhu
净宗,jing'zong
经宗,jing'zong
九辩,jiu'bian
九病,jiu'bing
九部经,jiu'bu'jing
九疮,jiu'chuang
九次第定,jiu'ci'di'ding
九道,jiu'dao
九地,jiu'di
九地九品之惑,jiu'di'jiu'pin'zhi'huo
九梵,jiu'fan
鹫峰,jiu'feng
九鬼,jiu'gui
九横,jiu'heng
九华山,jiu'hua'shan
九界,jiu'jie
九结,jiu'jie
九经,jiu'jing
九净肉,jiu'jing'rou
九居,jiu'ju
九类生,jiu'lei'sheng
九莲,jiu'lian
九漏,jiu'lou
九门,jiu'men
鸠摩,jiu'mo
鸠摩罗什,jiu'mo'luo'shen
九难,jiu'nan
九恼,jiu'nao
九品,jiu'pin
九品行业,jiu'pin'hang'ye
九品净土,jiu'pin'jing'tu
九品觉王,jiu'pin'jue'wang
九僧,jiu'seng
鹫山,jiu'shan
九山八海,jiu'shan'ba'hai
九世,jiu'shi
九识,jiu'shi
救世阐提,jiu'shi'chan'ti
九世间,jiu'shi'jian
九十六术,jiu'shi'liu'shu
救世轮,jiu'shi'lun
救世圆通,jiu'shi'yuan'tong
鹫头山,jiu'tou'shan
九无为,jiu'wu'wei
九无学,jiu'wu'xue
九显一密,jiu'xian'yi'mi
九想,jiu'xiang
九因一果,jiu'yin'yi'guo
九有,jiu'you
九有情居,jiu'you'qing'ju
九众,jiu'zhong
九种大禅,jiu'zhong'da'chan
具戒,ju'jie
具戒地,ju'jie'di
具戒方便,ju'jie'fang'bian
俱空,ju'kong
拘留孙佛,ju'liu'sun'fo
拘卢,ju'lu
俱卢洲,ju'lu'zhou
拘摩罗天,ju'mo'luo'tian
拘那含牟尼,ju'na'han'mou'ni
拘那牟尼,ju'na'mou'ni
俱起,ju'qi
俱舍,ju'she
俱舍宗,ju'she'zong
俱生,ju'sheng
俱生法,ju'sheng'fa
俱生法执,ju'sheng'fa'zhi
俱生惑,ju'sheng'huo
俱生起,ju'sheng'qi
俱生我执,ju'sheng'wo'zhi
居士,ju'shi
拘尸那,ju'shi'na
具寿,ju'shou
具知根,ju'zhi'gen
具足戒,ju'zu'jie
觉岸,jue'an
绝待,jue'dai
觉道支,jue'dao'zhi
决定信,jue'ding'xin
决定业,jue'ding'ye
决定住,jue'ding'zhu
觉分,jue'fen
觉观,jue'guan
觉海,jue'hai
觉路,jue'lu
觉满,jue'man
觉母,jue'mu
觉树,jue'shu
觉他,jue'ta
觉王,jue'wang
觉位,jue'wei
觉心,jue'xin
觉性,jue'xing
觉照,jue'zhao
觉者,jue'zhe
觉支,jue'zhi
开甘露门,kai'gan'lu'men
开光,kai'guang
开会,kai'hui
开荤,kai'hun
开经偈,kai'jing'ji
开权显实,kai'quan'xian'shi
开三显一,kai'san'xian'yi
开山祖师,kai'shan'zu'shi
开士,kai'shi
开示悟入,kai'shi'wu'ru
开悟,kai'wu
开显,kai'xian
开演,kai'yan
开眼,kai'yan
开缘说法,kai'yuan'shuo'fa
开遮,kai'zhe
堪忍,kan'ren
堪忍地,kan'ren'di
克果,ke'guo
克证,ke'zheng
空处,kong'chu
空处定,kong'chu'ding
空大,kong'da
空谛,kong'di
空定,kong'ding
空法,kong'fa
空观,kong'guan
空海,kong'hai
空华外道,kong'hua'wai'dao
空慧,kong'hui
空即是色,kong'ji'shi'se
空假中,kong'jia'zhong
空见,kong'jian
空教,kong'jiao
空劫,kong'jie
空解脱门,kong'jie'tuo'men
空经,kong'jing
空居天,kong'ju'tian
空轮,kong'lun
空门,kong'men
