阿尔丁大街,a'er'ding'da'jie
去呀哇,qu'ya'wa
全旗,quan'qi
劝业,quan'ye
让看见,rang'kan'jian
扰的,rao'de
日哄,ri'hong
萨拉齐,sa'la'qi
萨日娜,sa'ri'na
萨如拉,sa'ru'la
赛罕塔拉,sai'han'ta'la
赛音道,sai'yin'dao
三八路,san'ba'lu
三道沙河,san'dao'sha'he
散德,san'de
三妗,san'jin
三千浦,san'qian'pu
三十五中,san'shi'wu'zhong
扫站,sao'zhan
沙尔沁,sha'er'qin
沙尔沁镇,sha'er'qin'zhen
沙圪堵,sha'ge'du
啥课了,sha'ke'le
莎拉齐,sha'la'qi
莎木佳,sha'mu'jia
傻求,sha'qiu
莎日娜,sha'ri'na
啥也不,sha'ye'bu
陕坝,shan'ba
删了哇,shan'le'wa
山曲,shan'qu
上班的不,shang'ban'de'bu
上班的了,shang'ban'de'le
上班了哇,shang'ban'le'wa
商都,shang'du
商都县,shang'du'xian
上开班,shang'kai'ban
上课的了,shang'ke'de'le
上来哇,shang'lai'wa
上了哇,shang'le'wa
上呢哇,shang'ne'wa
上事业,shang'shi'ye
上园,shang'yuan
少先路,shao'xian'lu
甚的了,shen'de'le
神华,shen'hua
神华佳苑,shen'hua'jia'yuan
什了,shen'le
甚情况,shen'qing'kuang
甚时候,shen'shi'hou
甚呀,shen'ya
甚也,shen'ye
甚也不,shen'ye'bu
甚意思,shen'yi'si
盛乐,sheng'le
石宝,shi'bao
是包头,shi'bao'tou
是不都,shi'bu'dou
是不还,shi'bu'hai
是不还得,shi'bu'hai'dei
是不和,shi'bu'he
是不就,shi'bu'jiu
是不就是,shi'bu'jiu'shi
是不觉得,shi'bu'jue'de
是不困了,shi'bu'kun'le
是不你,shi'bu'ni
是不睡了,shi'bu'shui'le
是不我,shi'bu'wo
是不又,shi'bu'you
是不有病,shi'bu'you'bing
是不有点,shi'bu'you'dian
是不这个,shi'bu'zhe'ge
时代天骄,shi'dai'tian'jiao
是多会,shi'duo'hui
市府西路,shi'fu'xi'lu
石拐,shi'guai
石拐区,shi'guai'qu
是了不,shi'le'bu
是了哇,shi'le'wa
是了呀,shi'le'ya
是么呀,shi'me'ya
是呢吧,shi'ne'ba
是呢呗,shi'ne'bei
是呢哇,shi'ne'wa
是呢呀,shi'ne'ya
是啥啦,shi'sha'la
食宿班,shi'su'ban
十特,shi'te
失笑,shi'xiao
师院的,shi'yuan'de
手把肉,shou'ba'rou
收不见,shou'bu'jian
收见,shou'jian
受苦人,shou'ku'ren
收拾家,shou'shi'jia
收拾家了,shou'shi'jia'le
收拾家呢,shou'shi'jia'ne
树林召,shu'lin'zhao
耍的了,shua'de'le
睡个哇,shui'ge'wa
睡个呀,shui'ge'ya
水鼓,shui'gu
睡挂,shui'gua
睡觉得了,shui'jiao'de'le
睡觉哇,shui'jiao'wa
谁啦,shui'la
谁能知道,shui'neng'zhi'dao
谁能知道了,shui'neng'zhi'dao'le
睡去哇,shui'qu'wa
睡去呀,shui'qu'ya
睡时候,shui'shi'hou
睡哇,shui'wa
睡哇睡哇,shui'wa'shui'wa
睡下么,shui'xia'me
睡呀,shui'ya
睡呀哇,shui'ya'wa
谁在了,shui'zai'le
说的说的,shuo'de'shuo'de
说点有的,shuo'dian'you'de
说话了哇,shuo'hua'le'wa
说话了呀,shuo'hua'le'ya
说话呢哇,shuo'hua'ne'wa
说了哇,shuo'le'wa
说呢哇,shuo'ne'wa
说呢呀,shuo'ne'ya
说上的,shuo'shang'de
说甚,shuo'shen
说甚了,shuo'shen'le
说哇,shuo'wa
说真的了,shuo'zhen'de'le
斯伯润,si'bo'run
四道沙河,si'dao'sha'he
私房面,si'fang'mian
死个哇,si'ge'wa
司空殇,si'kong'shang
思幕,si'mu
死去哇,si'qu'wa
死去呀,si'qu'ya
死下了,si'xia'le
死呀,si'ya
死呀你,si'ya'ni
死崽子,si'zai'zi
四子王,si'zi'wang
四子王旗,si'zi'wang'qi
松梅街,song'mei'jie
松石名第,song'shi'ming'di
松石雅居,song'shi'ya'ju
搜见,sou'jian
苏和,su'he
苏日娜,su'ri'na
速速的,su'su'de
算羊肉,suan'yang'rou
他是不,ta'shi'bu
太平寺,tai'ping'si
抬死,tai'si
谈吃过,tan'chi'guo
烫菜,tang'cai
躺的,tang'de
躺的了,tang'de'le
躺的呢,tang'de'ne
糖货,tang'huo
讨吃,tao'chi
讨吃货,tao'chi'huo
疼不啦,teng'bu'la
疼不了,teng'bu'le
疼了哇,teng'le'wa
题谷,ti'gu
铁工校,tie'gong'xiao
挺好的哇,ting'hao'de'wa
挺好哇,ting'hao'wa
挺亲,ting'qin
挺亲的,ting'qin'de
同利,tong'li
筒袜,tong'wa
头密码,tou'mi'ma
透你,tou'ni
透你妈,tou'ni'ma
偷悄悄,tou'qiao'qiao
透死,tou'si
透他妈,tou'ta'ma
图克,tu'ke
土默特,tu'mo'te
土默特右旗,tu'mo'te'you'qi
土默特左旗,tu'mo'te'zuo'qi
图雅,tu'ya
土右,tu'you
土右旗,tu'you'qi
土左旗,tu'zuo'qi
团结大街,tuan'jie'da'jie
妥不,tuo'bu
托克托,tuo'ke'tuo
托克托县,tuo'ke'tuo'xian
哇么,wa'me
外夫,wai'fu
外母娘,wai'mu'niang
万达呢,wan'da'ne
万号,wan'hao
玩好了吧,wan'hao'le'ba
玩好了哇,wan'hao'le'wa
玩好没,wan'hao'mei
玩了哇,wan'le'wa
万青路,wan'qing'lu
玩去哇,wan'qu'wa
晚上吃啥呀,wan'shang'chi'sha'ya
万水泉,wan'shui'quan
往出,wang'chu
往过,wang'guo
往过走,wang'guo'zou
往回走得了,wang'hui'zou'de'le
旺火,wang'huo
往进,wang'jin
网客,wang'ke
网客家,wang'ke'jia
网慢的,wang'man'de
维多利,wei'duo'li
喂脑袋,wei'nao'dai
问了哇,wen'le'wa
我包头,wo'bao'tou
我包头的,wo'bao'tou'de
我不带要,wo'bu'dai'yao
我不找对象,wo'bu'zhao'dui'xiang
我吃呀,wo'chi'ya
我出去呀,wo'chu'qu'ya
我多会,wo'duo'hui
我多会儿,wo'duo'hui'er
我二爹,wo'er'die
我敢是,wo'gan'shi
我回家呀,wo'hui'jia'ya
我觉见,wo'jue'jian
我看哇,wo'kan'wa
我哭呀,wo'ku'ya
我了哇,wo'le'wa
我麻烦的,wo'ma'fan'de
我妈在了,wo'ma'zai'le
我买呀,wo'mai'ya
我忙的了,wo'mang'de'le
我内会,wo'nei'hui
我内蒙,wo'nei'meng
我能知道了,wo'neng'zhi'dao'le
我起呀,wo'qi'ya
我去呼市,wo'qu'hu'shi
我是包头,wo'shi'bao'tou
我是包头的,wo'shi'bao'tou'de
我收拾家,wo'shou'shi'jia
我睡呀,wo'shui'ya
我说么,wo'shuo'me
我躺的,wo'tang'de
我躺的了,wo'tang'de'le
我躺的呢,wo'tang'de'ne
我透,wo'tou
我透你妈,wo'tou'ni'ma
我哇不是,wo'wa'bu'shi
我下呀,wo'xia'ya
我先睡呀,wo'xian'shui'ya
我也不知道么,wo'ye'bu'zhi'dao'me
我也去呀,wo'ye'qu'ya
我也睡呀,wo'ye'shui'ya
我也说嘛,wo'ye'shuo'ma
我也说么,wo'ye'shuo'me
我也下呀,wo'ye'xia'ya
我也走呀,wo'ye'zou'ya
我咋接,wo'za'jie
我咋也,wo'za'ye
我咋也行,wo'za'ye'xing
我在包头,wo'zai'bao'tou
我在包头了,wo'zai'bao'tou'le
我在包头呢,wo'zai'bao'tou'ne
我在东河,wo'zai'dong'he
我在东胜,wo'zai'dong'sheng
我在呼市,wo'zai'hu'shi
我在昆区,wo'zai'kun'qu
我在内蒙,wo'zai'nei'meng
我在内蒙古,wo'zai'nei'meng'gu
我在青山,wo'zai'qing'shan
我找不见,wo'zhao'bu'jian
我找见,wo'zhao'jian
我走呀,wo'zou'ya
我做饭呀,wo'zuo'fan'ya
武川,wu'chuan
武川县,wu'chuan'xian
乌达,wu'da
乌达区,wu'da'qu
五当召,wu'dang'zhao
乌海,wu'hai
乌海的,wu'hai'de
乌海了,wu'hai'le
乌海呢,wu'hai'ne
乌海市,wu'hai'shi
乌海西,wu'hai'xi
乌拉山,wu'la'shan
乌拉特,wu'la'te
乌拉特前旗,wu'la'te'qian'qi
乌兰,wu'lan
乌兰察布,wu'lan'cha'bu
乌兰察布市,wu'lan'cha'bu'shi
乌兰道,wu'lan'dao
乌兰花,wu'lan'hua
乌兰计,wu'lan'ji
乌兰小区,wu'lan'xiao'qu
乌兰镇,wu'lan'zhen
乌力吉,wu'li'ji
乌梁素海,wu'liang'su'hai
乌盟人,wu'meng'ren
乌日娜,wu'ri'na
乌审旗,wu'shen'qi
乌斯太,wu'si'tai
乌素图,wu'su'tu
五一市场,wu'yi'shi'chang
五原,wu'yuan
五原县,wu'yuan'xian
西北门,xi'bei'men
戏逗,xi'dou
西斗铺,xi'dou'pu
西河楞,xi'he'leng
希拉穆仁,xi'la'mu'ren
洗脸呀,xi'lian'ya
锡林郭勒,xi'lin'guo'le
锡林郭勒盟,xi'lin'guo'le'meng
锡林浩特,xi'lin'hao'te
希铝,xi'lv
锡盟,xi'meng
西脑包,xi'nao'bao
戏你,xi'ni
戏你了,xi'ni'le
喜人,xi'ren
喜人的,xi'ren'de
稀土,xi'tu
稀土大厦,xi'tu'da'sha
稀土高新区,xi'tu'gao'xin'qu
稀土开发区,xi'tu'kai'fa'qu
稀土路,xi'tu'lu
洗哇,xi'wa
希望铝业,xi'wang'lv'ye
西五街,xi'wu'jie
洗洗睡哇,xi'xi'shui'wa
稀粥,xi'zhou
厦工,xia'gong
瞎害,xia'hai
瞎货,xia'huo
下火药,xia'huo'yao
下来哇,xia'lai'wa
瞎撇,xia'pie
瞎求,xia'qiu
瞎说哇,xia'shuo'wa
下午哇,xia'wu'wa
弦儿,xian'er
先睡呀,xian'shui'ya
想不见,xiang'bu'jian
香港花园,xiang'gang'hua'yuan
相跟上,xiang'gen'shang
想了哇,xiang'le'wa
想呢哇,xiang'ne'wa
想你的了,xiang'ni'de'le
想你了哇,xiang'ni'le'wa
响沙湾,xiang'sha'wan
乡土居,xiang'tu'ju
想咋了,xiang'za'le
小白河,xiao'bai'he
小个泡,xiao'ge'pao
小后生,xiao'hou'sheng
小丽花,xiao'li'hua
小女女,xiao'nv'nv
小泡子,xiao'pao'zi
小三门,xiao'san'men
笑甚了,xiao'shen'le
小尾羊,xiao'wei'yang
宵夜酒,xiao'ye'jiu
校园路,xiao'yuan'lu
校园南路,xiao'yuan'nan'lu
写哇,xie'wa
写完作业没,xie'wan'zuo'ye'mei
心红,xin'hong
新华广场,xin'hua'guang'chang
心麻烦,xin'ma'fan
心麻烦的,xin'ma'fan'de
新体系,xin'ti'xi
兴安盟,xing'an'meng
醒不得,xing'bu'de
行不见,xing'bu'jian
幸福南路,xing'fu'nan'lu
兴和,xing'he
兴和县,xing'he'xian
行见,xing'jian
行啦哇,xing'la'wa
行了哇,xing'le'wa
行了呀,xing'le'ya
行呢,xing'ne
行呢哇,xing'ne'wa
兴胜,xing'sheng
羞不,xiu'bu
休息哇,xiu'xi'wa
学的了,xue'de'le
薛家湾,xue'jia'wan
薛家湾镇,xue'jia'wan'zhen
学了哇,xue'le'wa
雪鹿,xue'lu
学哇,xue'wa
学习哇,xue'xi'wa
呀不,ya'bu
雅间,ya'jian
呀接了,ya'jie'le
呀开开,ya'kai'kai
呀来了,ya'lai'le
呀哇,ya'wa
呀也不,ya'ye'bu
呀也得,ya'ye'dei
呀也行,ya'ye'xing
羊架子,yang'jia'zi
羊杂碎,yang'za'sui
要不是了,yao'bu'shi'le
要了哇,yao'le'wa
咬难,yao'nan
要甚,yao'shen
爷不,ye'bu
也不带要,ye'bu'dai'yao
也不哇,ye'bu'wa
爷就,ye'jiu
夜课,ye'ke
也能了,ye'neng'le
也去呀,ye'qu'ya
野山坡,ye'shan'po
也睡呀,ye'shui'ya
也行哇,ye'xing'wa
夜自习,ye'zi'xi
夜坐,ye'zuo
一般哇,yi'ban'wa
意城晶华,yi'cheng'jing'hua
一个但,yi'ge'dan
一个哇,yi'ge'wa
一宫,yi'gong
一黑夜,yi'hei'ye
一会哇,yi'hui'wa
一机,yi'ji
一机厂,yi'ji'chang
一机二中,yi'ji'er'zhong
一机一,yi'ji'yi
一机医院,yi'ji'yi'yuan
一机一中,yi'ji'yi'zhong
伊金霍洛,yi'jin'huo'luo
伊金霍洛旗,yi'jin'huo'luo'qi
一俩天,yi'lia'tian
伊旗,yi'qi
伊泰,yi'tai
一下哇,yi'xia'wa
一样哇,yi'yang'wa
一澡,yi'zao
一直也,yi'zhi'ye
一直也是,yi'zhi'ye'shi
银河广场,yin'he'guang'chang
因为甚,yin'wei'shen
迎宾小区,ying'bin'xiao'qu
营生,ying'sheng
永盛成,yong'sheng'cheng
由不住,you'bu'zhu
邮电大厦,you'dian'da'sha
有了哇,you'le'wa
有没了,you'mei'le
莜面,you'mian
有呢哇,you'ne'wa
有甚了,you'shen'le
有谁了,you'shui'le
有谁呢,you'shui'ne
有我了哇,you'wo'le'wa
友谊大街,you'yi'da'jie
友谊广场,you'yi'guang'chang
友谊十九,you'yi'shi'jiu
渔民码头,yu'min'ma'tou
玉泉区,yu'quan'qu
圆菜,yuan'cai
圆锁,yuan'suo
月亮宫,yue'liang'gong
咋办呀,za'ban'ya
咋才能,za'cai'neng
咋的个,za'de'ge
咋滴个,za'di'ge
咋回呀,za'hui'ya
咋间,za'jian
咋接,za'jie
咋接啦,za'jie'la
咋接了,za'jie'le
咋接呀,za'jie'ya
咋啦么,za'la'me
咋来来,za'lai'lai
咋来了,za'lai'le
咋兰,za'lan
咋了是,za'le'shi
咋闹,za'nao
咋闹得,za'nao'de
咋闹呀,za'nao'ya
咋弄呀,za'nong'ya
咋说话了,za'shuo'hua'le
咋呀,za'ya
咋也,za'ye
咋也不,za'ye'bu
咋也不咋,za'ye'bu'za
咋也得,za'ye'dei
咋也是,za'ye'shi
咋也行,za'ye'xing
咋走呀,za'zou'ya
在白云,zai'bai'yun
在包百,zai'bao'bai
在包头,zai'bao'tou
在包头了,zai'bao'tou'le
在包头呢,zai'bao'tou'ne
在不了,zai'bu'liao
在达旗,zai'da'qi
在东哥,zai'dong'ge
在东河,zai'dong'he
在东胜,zai'dong'sheng
在固阳,zai'gu'yang
在呼市,zai'hu'shi
在集宁,zai'ji'ning
在看哇,zai'kan'wa
在昆区,zai'kun'qu
在了不,zai'le'bu
在了哇,zai'le'wa
在临河,zai'lin'he
在呢哇,zai'ne'wa
在内蒙,zai'nei'meng
在内蒙古,zai'nei'meng'gu
在青山,zai'qing'shan
再说哇,zai'shuo'wa
在乌海,zai'wu'hai
早的了,zao'de'le
早的呢,zao'de'ne
早点没,zao'dian'mei
早点睡哇,zao'dian'shui'wa
早说了哇,zao'shuo'le'wa
站北路,zhan'bei'lu
站的了,zhan'de'le
展活,zhan'huo
掌柜子,zhang'gui'zi
张家营,zhang'jia'ying
张家营子,zhang'jia'ying'zi
找不成,zhao'bu'cheng
找的了,zhao'de'le
找的呢,zhao'de'ne
找对象没,zhao'dui'xiang'mei
召河,zhao'he
赵家营,zhao'jia'ying
赵家营子,zhao'jia'ying'zi
找见没,zhao'jian'mei
找了哇,zhao'le'wa
找上的,zhao'shang'de
找上了,zhao'shang'le
沼潭,zhao'tan
找我哇,zhao'wo'wa
这是谁了,zhe'shi'shui'le
这谁了,zhe'shui'le
真带要,zhen'dai'yao
真寡,zhen'gua
真麻烦了,zhen'ma'fan'le
真麻求烦,zhen'ma'qiu'fan
真亲了,zhen'qin'le
真亲呢,zhen'qin'ne
真也是,zhen'ye'shi
挣不上钱,zheng'bu'shang'qian
正吃的,zheng'chi'de
正吃的了,zheng'chi'de'le
正吃的呢,zheng'chi'de'ne
正吃呀,zheng'chi'ya
正睡呀,zheng'shui'ya
正泰店,zheng'tai'dian
正走呀,zheng'zou'ya
知道就是,zhi'dao'jiu'shi
知道了哇,zhi'dao'le'wa
知道你就,zhi'dao'ni'jiu
指导使用,zhi'dao'shi'yong
知道也是,zhi'dao'ye'shi
中午吃啥呀,zhong'wu'chi'sha'ya
中心岛,zhong'xin'dao
中央大道,zhong'yang'da'dao
住的了,zhu'de'le
猪儿子,zhu'er'zi
装修家,zhuang'xiu'jia
准备睡呀,zhun'bei'shui'ya
准格尔,zhun'ge'er
准格尔旗,zhun'ge'er'qi
准旗,zhun'qi
卓资,zhuo'zi
卓资山,zhuo'zi'shan
卓资县,zhuo'zi'xian
紫金华府,zi'jin'hua'fu
紫霰雪,zi'xian'xue
自由路,zi'you'lu
走的了,zou'de'le
走的呢,zou'de'ne
走几天,zou'ji'tian
走开么,zou'kai'me
走开没,zou'kai'mei
走哪儿了,zou'na'er'le
走哪啦,zou'na'la
走思,zou'si
钻石钱柜,zuan'shi'qian'gui
坐的了,zuo'de'le
坐的呢,zuo'de'ne
左旗,zuo'qi
作甚得了,zuo'shen'de'le
作甚了,zuo'shen'le
作甚呀,zuo'shen'ya
做营生,zuo'ying'sheng
