阿比罗提,a'bi'luo'ti
性具,xing'ju
性起,xing'qi
形色,xing'se
性习二性,xing'xi'er'xing
行香,xing'xiang
行相,xing'xiang
性相,xing'xiang
性相二宗,xing'xiang'er'zong
星宿劫,xing'xiu'jie
行愿,xing'yuan
行蕴,xing'yun
修得,xiu'de
修惑,xiu'huo
虚空,xu'kong
须弥山,xu'mi'shan
虚妄分别,xu'wang'fen'bie
玄谈,xuan'tan
学人,xue'ren
寻伺,xun'ci
熏习,xun'xi
言教二谛,yan'jiao'er'di
延年转寿,yan'nian'zhuan'shou
言语道断,yan'yu'dao'duan
业,ye
业报,ye'bao
业感缘起,ye'gan'yuan'qi
业镜,ye'jing
业通,ye'tong
业障,ye'zhang
意,yi
异安心,yi'an'xin
一阐提,yi'chan'ti
一乘,yi'cheng
一乘思想,yi'cheng'si'xiang
一成一切成,yi'cheng'yi'qie'cheng
一乘真实,yi'cheng'zhen'shi
一大事因缘,yi'da'shi'yin'yuan
依地,yi'di
一断一切断,yi'duan'yi'qie'duan
一多法界,yi'duo'fa'jie
一法界,yi'fa'jie
一法句,yi'fa'ju
一法印,yi'fa'yin
一佛世界,yi'fo'shi'jie
意根,yi'gen
一即一切,yi'ji'yi'qie
一境三谛,yi'jing'san'di
一境四心,yi'jing'si'xin
一来果,yi'lai'guo
一来向,yi'lai'xiang
一门普门,yi'men'pu'men
一名无量义,yi'ming'wu'liang'yi
一念不生,yi'nian'bu'sheng
一念三千,yi'nian'san'qian
一念相应,yi'nian'xiang'ying
一念信解,yi'nian'xin'jie
一念义,yi'nian'yi
一切法,yi'qie'fa
一箧四蛇,yi'qie'si'she
一切行苦,yi'qie'xing'ku
一切智,yi'qie'zhi
一切智智,yi'qie'zhi'zhi
一切种智,yi'qie'zhong'zhi
一三权实,yi'san'quan'shi
一色一香无非中道,yi'se'yi'xiang'wu'fei'zhong'dao
一杀多生,yi'sha'duo'sheng
一生补处,yi'sheng'bu'chu
一生果遂,yi'sheng'guo'sui
意生身,yi'sheng'shen
异生性,yi'sheng'xing
一实,yi'shi
意识,yi'shi
异熟,yi'shu
依他起性,yi'ta'qi'xing
一味蕴,yi'wei'yun
一夏九旬,yi'xia'jiu'xun
一心,yi'xin
一心不乱,yi'xin'bu'luan
以心传心,yi'xin'chuan'xin
一心二门,yi'xin'er'men
一心三观,yi'xin'san'guan
一心三惑,yi'xin'san'huo
一心三智,yi'xin'san'zhi
易行道,yi'xing'dao
一性皆成,yi'xing'jie'cheng
一义无量名,yi'yi'wu'liang'ming
一印会,yi'yin'hui
一音教,yi'yin'jiao
一愿建立,yi'yuan'jian'li
依正二报,yi'zheng'er'bao
抑止,yi'zhi
一转语,yi'zhuan'yu
一字不说,yi'zi'bu'shuo
一子地,yi'zi'di
伊字三点,yi'zi'san'dian
一镞破三关,yi'zu'po'san'guan
因分,yin'fen
因果,yin'guo
因果报应,yin'guo'bao'ying
印坏文成,yin'huai'wen'cheng
因门六义,yin'men'liu'yi
因能变,yin'neng'bian
阴妄一念,yin'wang'yi'nian
引业,yin'ye
引因,yin'yin
因缘,yin'yuan
因缘变,yin'yuan'bian
因缘性,yin'yuan'xing
因缘依,yin'yuan'yi
因中无果,yin'zhong'wu'guo
因中有果,yin'zhong'you'guo
应化,ying'hua
应身,ying'shen
应土,ying'tu
有,you
有边无边论,you'bian'wu'bian'lun
有对,you'dui
有对触,you'dui'chu
有分识,you'fen'shi
有佛无佛性相常住,you'fo'wu'fo'xing'xiang'chang'zhu
有覆无记,you'fu'wu'ji
有根身,you'gen'shen
有功用,you'gong'yong
有教无人,you'jiao'wu'ren
有漏,you'lou
有漏道,you'lou'dao
有漏断,you'lou'duan
有漏净土,you'lou'jing'tu
有漏善,you'lou'shan
有漏识,you'lou'shi
有漏业,you'lou'ye
有漏智,you'lou'zhi
有情,you'qing
有情数,you'qing'shu
有随眠心,you'sui'mian'xin
有所得,you'suo'de
有所依,you'suo'yi
有贪,you'tan
有体,you'ti
有为,you'wei
有为无漏,you'wei'wu'lou
有为转变,you'wei'zhuan'bian
有想,you'xiang
有相,you'xiang
有相安乐行,you'xiang'an'le'xing
有相无相曼荼罗,you'xiang'wu'xiang'man'tu'luo
有心位,you'xin'wei
有学,you'xue
有寻有伺,you'xun'you'ci
有异熟,you'yi'shu
有余涅槃,you'yu'nie'pan
有缘,you'yuan
有执受,you'zhi'shou
有支习气,you'zhi'xi'qi
有主物,you'zhu'wu
有作无作,you'zuo'wu'zuo
欲,yu
瑜伽,yu'jia
于教二谛,yu'jiao'er'di
欲界,yu'jie
愿,yuan
圆教,yuan'jiao
缘觉,yuan'jue
缘理断九,yuan'li'duan'jiu
圆密一致,yuan'mi'yi'zhi
元品无明,yuan'pin'wu'ming
缘起,yuan'qi
缘起相由,yuan'qi'xiang'you
圆融,yuan'rong
缘生法,yuan'sheng'fa
杂染,za'ran
择灭,ze'mie
增上果,zeng'shang'guo
增上缘,zeng'shang'yuan
增语触,zeng'yu'chu
折伏摄受,zhe'fu'she'shou
遮那业,zhe'na'ye
真空妙有,zhen'kong'miao'you
真如,zhen'ru
真如门,zhen'ru'men
真妄二心,zhen'wang'er'xin
真言,zhen'yan
诤,zheng
正报,zheng'bao
正道,zheng'dao
正定业,zheng'ding'ye
正法,zheng'fa
正法眼藏,zheng'fa'yan'zang
正观,zheng'guan
正见,zheng'jian
正觉,zheng'jue
正念,zheng'nian
正使,zheng'shi
正像末,zheng'xiang'mo
正行,zheng'xing
正性离生,zheng'xing'li'sheng
正依傍依,zheng'yi'bang'yi
正杂二行,zheng'za'er'xing
正智,zheng'zhi
正助二业,zheng'zhu'er'ye
智,zhi
质多,zhi'duo
止恶修善,zhi'e'xiu'shan
支分生曼荼罗,zhi'fen'sheng'man'tu'luo
止观业,zhi'guan'ye
止行二善,zhi'xing'er'shan
智增,zhi'zeng
执着,zhi'zhuo
中般涅槃,zhong'ban'nie'pan
中道,zhong'dao
中谛,zhong'di
中台八叶院,zhong'tai'ba'ye'yuan
众同分,zhong'tong'fen
种性,zhong'xing
中有,zhong'you
种子,zhong'zi
中尊,zhong'zun
转变,zhuan'bian
转法轮,zhuan'fa'lun
转根,zhuan'gen
转女成男,zhuan'nv'cheng'nan
转识,zhuan'shi
转识得智,zhuan'shi'de'zhi
转依,zhuan'yi
庄严,zhuang'yan
字界,zi'jie
自觉,zi'jue
自利,zi'li
自力,zi'li
资粮,zi'liang
自然智,zi'ran'zhi
自誓得戒,zi'shi'de'jie
自受法乐,zi'shou'fa'yue
自我偈,zi'wo'ji
自相,zi'xiang
字相,zi'xiang
自相惑,zi'xiang'huo
自性,zi'xing
自性分别,zi'xing'fen'bie
自性清净心,zi'xing'qing'jing'xin
自性身,zi'xing'shen
自性唯心,zi'xing'wei'xin
自业自得,zi'ye'zi'de
字义,zi'yi
字缘,zi'yuan
自在,zi'zai
宗,zong
总报,zong'bao
宗教,zong'jiao
宗门,zong'men
宗通,zong'tong
宗依,zong'yi
罪,zui
最后身,zui'hou'shen
罪业,zui'ye
座,zuo
作业,zuo'ye
作意,zuo'yi
作用,zuo'yong
作者,zuo'zhe
