阿帕奇,a'pa'qi
军事技术合作,jun'shi'ji'shu'he'zuo
军事项目,jun'shi'xiang'mu
军事研究,jun'shi'yan'jiu
军事装备升级,jun'shi'zhuang'bei'sheng'ji
军用飞机,jun'yong'fei'ji
军用机种,jun'yong'ji'zhong
军用钛金属,jun'yong'tai'jin'shu
军用运输直升机,jun'yong'yun'shu'zhi'sheng'ji
均匀扩散,jun'yun'kuo'san
开幕前,kai'mu'qian
开始服役,kai'shi'fu'yi
开始试飞,kai'shi'shi'fei
开始退役,kai'shi'tui'yi
开始研制,kai'shi'yan'zhi
刊文称,kan'wen'cheng
靠改善,kao'gai'shan
可承受的,ke'cheng'shou'de
可重构的,ke'chong'gou'de
可动上调节板,ke'dong'shang'tiao'jie'ban
可挂,ke'gua
客户联络,ke'hu'lian'luo
可近距格斗,ke'jin'ju'ge'dou
可进行,ke'jin'xing
可满足,ke'man'zu
可使用,ke'shi'yong
可同时跟踪,ke'tong'shi'gen'zong
可携带,ke'xie'dai
可以保证,ke'yi'bao'zheng
可以产生,ke'yi'chan'sheng
可以承受,ke'yi'cheng'shou
可以将,ke'yi'jiang
可以实现,ke'yi'shi'xian
可以替代,ke'yi'ti'dai
可以携带,ke'yi'xie'dai
可以用来,ke'yi'yong'lai
可以在,ke'yi'zai
可引导,ke'yin'dao
可用于,ke'yong'yu
可用于夺取,ke'yong'yu'duo'qu
可在空中开启,ke'zai'kong'zhong'kai'qi
空地导弹,kong'di'dao'dan
空对地型,kong'dui'di'xing
空对空型,kong'dui'kong'xing
空军飞行员,kong'jun'fei'xing'yuan
空军型,kong'jun'xing
空军战术,kong'jun'zhan'shu
空军战术空中部队,kong'jun'zhan'shu'kong'zhong'bu'dui
空军装备序列,kong'jun'zhuang'bei'xu'lie
空空导弹,kong'kong'dao'dan
空气动力学特性,kong'qi'dong'li'xue'te'xing
空速管除外,kong'su'guan'chu'wai
空优,kong'you
空优战斗机,kong'you'zhan'dou'ji
空战模拟,kong'zhan'mo'ni
空战能力,kong'zhan'neng'li
空战系统分析仿真程序,kong'zhan'xi'tong'fen'xi'fang'zhen'cheng'xu
空战性能,kong'zhan'xing'neng
空战中,kong'zhan'zhong
控制权,kong'zhi'quan
空重,kong'zhong
空中部队,kong'zhong'bu'dui
空中飞行性能,kong'zhong'fei'xing'xing'neng
空中加油,kong'zhong'jia'you
空中加油机,kong'zhong'jia'you'ji
空中加油模式,kong'zhong'jia'you'mo'shi
空中加油系统,kong'zhong'jia'you'xi'tong
空中力量,kong'zhong'li'liang
空中目标,kong'zhong'mu'biao
空中投弹,kong'zhong'tou'dan
空中突击,kong'zhong'tu'ji
空中优势,kong'zhong'you'shi
空中远程,kong'zhong'yuan'cheng
空中远程打击力量,kong'zhong'yuan'cheng'da'ji'li'liang
空中指挥预警飞机,kong'zhong'zhi'hui'yu'jing'fei'ji
库兰德公司,ku'lan'de'gong'si
跨越到,kua'yue'dao
快速飞临,kuai'su'fei'lin
扩军,kuo'jun
拉尔夫,la'er'fu
来承担,lai'cheng'dan
来切换,lai'qie'huan
来驱动,lai'qu'dong
拦截机,lan'jie'ji
拦截机种,lan'jie'ji'zhong
兰利空军基地,lan'li'kong'jun'ji'di
老式的,lao'shi'de
老式运输机,lao'shi'yun'shu'ji
老式战斗机,lao'shi'zhan'dou'ji
雷达波,lei'da'bo
雷达波反射,lei'da'bo'fan'she
雷达波强反射源,lei'da'bo'qiang'fan'she'yuan
雷达反射的,lei'da'fan'she'de
雷达反射截面,lei'da'fan'she'jie'mian
雷达告警接收机,lei'da'gao'jing'jie'shou'ji
雷达下视能力,lei'da'xia'shi'neng'li
雷达站,lei'da'zhan
雷达站被动工作状态,lei'da'zhan'bei'dong'gong'zuo'zhuang'tai
镭射陀螺仪,lei'she'tuo'luo'yi
雷声公司,lei'sheng'gong'si
力求实现,li'qiu'shi'xian
例行检修,li'xing'jian'xiu
联合打击战斗机,lian'he'da'ji'zhan'dou'ji
联合攻击战斗机,lian'he'gong'ji'zhan'dou'ji
联合企业,lian'he'qi'ye
联合设计的,lian'he'she'ji'de
联合研制,lian'he'yan'zhi
联合直接攻击弹药,lian'he'zhi'jie'gong'ji'dan'yao
联合制造航母,lian'he'zhi'zao'hang'mu
链式反坦克炮,lian'shi'fan'tan'ke'pao
联装,lian'zhuang
两侧进气口,liang'ce'jin'qi'kou
两侧下肋进气,liang'ce'xia'lei'jin'qi
两侧翼下,liang'ce'yi'xia
量产机,liang'chan'ji
量产型,liang'chan'xing
量产型的,liang'chan'xing'de
两次大修间隔时间,liang'ci'da'xiu'jian'ge'shi'jian
良好的视界,liang'hao'de'shi'jie
两架,liang'jia
两架飞机,liang'jia'fei'ji
两架苏,liang'jia'su
两种技术,liang'zhong'ji'shu
两种型号,liang'zhong'xing'hao
零部件,ling'bu'jian
领航设备,ling'hang'she'bei
领跑者,ling'pao'zhe
领跑者态势,ling'pao'zhe'tai'shi
零三架原型机,ling'san'jia'yuan'xing'ji
零四架,ling'si'jia
另外一个,ling'wai'yi'ge
菱形截面,ling'xing'jie'mian
零一,ling'yi
留空时间,liu'kong'shi'jian
留里卡,liu'li'ka
陆地机场,lu'di'ji'chang
露在机身外,lu'zai'ji'shen'wai
罗伯特盖茨,luo'bo'te'gai'ci
罗布,luo'bu
洛克西德,luo'ke'xi'de
洛克希德,luo'ke'xi'de
洛克西德马丁公司,luo'ke'xi'de'ma'ding'gong'si
罗兰,luo'lan
洛马公司,luo'ma'gong'si
铝半成品,lv'ban'cheng'pin
铝合金,lv'he'jin
铝合金结构,lv'he'jin'jie'gou
铝制品,lv'zhi'pin
马丁公司,ma'ding'gong'si
马丁公司的,ma'ding'gong'si'de
马丁系统集成公司,ma'ding'xi'tong'ji'cheng'gong'si
马公司,ma'gong'si
马赫数,ma'he'shu
马空军,ma'kong'jun
马来西亚皇家空军,ma'lai'xi'ya'huang'jia'kong'jun
马来西亚皇家空军司令,ma'lai'xi'ya'huang'jia'kong'jun'si'ling
马来西亚空军的,ma'lai'xi'ya'kong'jun'de
麦道,mai'dao
麦道公司,mai'dao'gong'si
麦克唐纳,mai'ke'tang'na
美国波音,mei'guo'bo'yin
美国波音公司,mei'guo'bo'yin'gong'si
美国的,mei'guo'de
美国对,mei'guo'dui
美国国防部,mei'guo'guo'fang'bu
美国国防部长,mei'guo'guo'fang'bu'zhang
美国国防部长盖茨,mei'guo'guo'fang'bu'zhang'gai'ci
美国海军,mei'guo'hai'jun
美国海军的,mei'guo'hai'jun'de
美国空军,mei'guo'kong'jun
美国空军参谋长,mei'guo'kong'jun'can'mou'zhang
美国空军的,mei'guo'kong'jun'de
美国陆军,mei'guo'lu'jun
美国批评家,mei'guo'pi'ping'jia
美国战机,mei'guo'zhan'ji
美国智囊,mei'guo'zhi'nang
每架成本,mei'jia'cheng'ben
美军,mei'jun
美空军,mei'kong'jun
美日国防部长会议,mei'ri'guo'fang'bu'zhang'hui'yi
美日联合空军,mei'ri'lian'he'kong'jun
没有采用,mei'you'cai'yong
没有磁性,mei'you'ci'xing
美制战机,mei'zhi'zhan'ji
猛禽隐形战斗机,meng'qin'yin'xing'zhan'dou'ji
猛禽战斗机,meng'qin'zhan'dou'ji
密度小,mi'du'xiao
米高扬设计局,mi'gao'yang'she'ji'ju
米赫耶夫,mi'he'ye'fu
敏捷性,min'jie'xing
明显提高,ming'xian'ti'gao
命中精度,ming'zhong'jing'du
莫拉纳,mo'la'na
莫斯科航展,mo'si'ke'hang'zhan
模组,mo'zu
某个模件,mou'ge'mu'jian
目标交接能力,mu'biao'jiao'jie'neng'li
耐高低温,nai'gao'di'wen
奈克,nai'ke
耐受,nai'shou
南联盟,nan'lian'meng
难以捕捉的,nan'yi'bu'zhuo'de
内部弹舱,nei'bu'dan'cang
内部燃油载荷,nei'bu'ran'you'zai'he
内建了,nei'jian'le
内倾双垂尾,nei'qing'shuang'chui'wei
能单人,neng'dan'ren
能够在,neng'gou'zai
能力强,neng'li'qiang
能在,neng'zai
尼米兹级航母,ni'mi'zi'ji'hang'mu
年代以后,nian'dai'yi'hou
年代以前,nian'dai'yi'qian
年代中期,nian'dai'zhong'qi
年内,nian'nei
年以上,nian'yi'shang
年左右,nian'zuo'you
诺斯罗普,nuo'si'luo'pu
欧直,ou'zhi
欧洲空客公司,ou'zhou'kong'ke'gong'si
欧洲直升机公司,ou'zhou'zhi'sheng'ji'gong'si
爬升率,pa'sheng'lv
炮塔自卫,pao'ta'zi'wei
配备了,pei'bei'le
配电系统,pei'dian'xi'tong
培训飞行员,pei'xun'fei'xing'yuan
配有,pei'you
喷管横截面积,pen'guan'heng'jie'mian'ji
喷气轰炸机,pen'qi'hong'zha'ji
喷嘴,pen'zui
偏转片系统,pian'zhuan'pian'xi'tong
偏转推力向量,pian'zhuan'tui'li'xiang'liang
拼接而成,pin'jie'er'cheng
平板显示器,ping'ban'xian'shi'qi
屏蔽在,ping'bi'zai
平方米左右,ping'fang'mi'zuo'you
评估结果,ping'gu'jie'guo
普遍装有,pu'bian'zhuang'you
普京,pu'jing
普京总理,pu'jing'zong'li
普拉特,pu'la'te
气动布局,qi'dong'bu'ju
气动翼面,qi'dong'yi'mian
起飞滑跑距离,qi'fei'hua'pao'ju'li
起飞重量,qi'fei'zhong'liang
其他系统,qi'ta'xi'tong
其特点,qi'te'dian
其效果,qi'xiao'guo
前段包括,qian'duan'bao'kuo
千伏安,qian'fu'an
前机身上部,qian'ji'shen'shang'bu
千克级,qian'ke'ji
前两架,qian'liang'jia
千米以上,qian'mi'yi'shang
千米以下,qian'mi'yi'xia
千牛时,qian'niu'shi
前起落架,qian'qi'luo'jia
前三个框,qian'san'ge'kuang
签署了,qian'shu'le
前者的,qian'zhe'de
强度高,qiang'du'gao
强烈的,qiang'lie'de
切实可行,qie'shi'ke'xing
倾斜双垂尾常规气动布局,qing'xie'shuang'chui'wei'chang'gui'qi'dong'bu'ju
轻型轰炸机,qing'xing'hong'zha'ji
轻型舰载战斗机,qing'xing'jian'zai'zhan'dou'ji
轻型前线战斗机,qing'xing'qian'xian'zhan'dou'ji
轻型战斗机,qing'xing'zhan'dou'ji
取代了,qu'dai'le
取得和保持,qu'de'he'bao'chi
取得平衡,qu'de'ping'heng
全部交付,quan'bu'jiao'fu
全部武器,quan'bu'wu'qi
全副武装的,quan'fu'wu'zhuang'de
全金属半硬壳式结构,quan'jin'shu'ban'ying'qiao'shi'jie'gou
全面超越,quan'mian'chao'yue
全面定义,quan'mian'ding'yi
全面体检,quan'mian'ti'jian
全面现代化改进,quan'mian'xian'dai'hua'gai'jin
全球安全中心,quan'qiu'an'quan'zhong'xin
全球定位系统,quan'qiu'ding'wei'xi'tong
全球最大,quan'qiu'zui'da
全寿命升级,quan'shou'ming'sheng'ji
全钛合金结构,quan'tai'he'jin'jie'gou
全套出口价格,quan'tao'chu'kou'jia'ge
全天候,quan'tian'hou
全天候攻击,quan'tian'hou'gong'ji
全天候轰炸能力,quan'tian'hou'hong'zha'neng'li
全天候舰载战斗机,quan'tian'hou'jian'zai'zhan'dou'ji
全通透,quan'tong'tou
全向警戒雷达,quan'xiang'jing'jie'lei'da
全状态飞机,quan'zhuang'tai'fei'ji
全状态零四架,quan'zhuang'tai'ling'si'jia
燃烧弹,ran'shao'dan
热点地区,re'dian'di'qu
热塑,re'su
热作用,re'zuo'yong
任何速度,ren'he'su'du
人机界面,ren'ji'jie'mian
任务规划,ren'wu'gui'hua
任务类型,ren'wu'lei'xing
任务系统计算机,ren'wu'xi'tong'ji'suan'ji
任务自适应机翼,ren'wu'zi'shi'ying'ji'yi
日本防卫大臣,ri'ben'fang'wei'da'chen
日本防卫省,ri'ben'fang'wei'sheng
日本共同社,ri'ben'gong'tong'she
日本空军,ri'ben'kong'jun
日首飞,ri'shou'fei
日向号运输舰,ri'xiang'hao'yun'shu'jian
茹可夫斯基,ru'ke'fu'si'ji
若搭载,ruo'da'zai
塞拉级核潜艇,sai'la'ji'he'qian'ting
三大系统,san'da'xi'tong
三代半战斗机,san'dai'ban'zhan'dou'ji
三代半战机,san'dai'ban'zhan'ji
三代机,san'dai'ji
三个阶段,san'ge'jie'duan
三角翼,san'jiao'yi
三视图,san'shi'tu
三翼面布局,san'yi'mian'bu'ju
三种飞机,san'zhong'fei'ji
三种型号,san'zhong'xing'hao
上单翼,shang'dan'yi
商务开发,shang'wu'kai'fa
设计并交付,she'ji'bing'jiao'fu
设计单位,she'ji'dan'wei
设计的,she'ji'de
设计方案,she'ji'fang'an
设计能力,she'ji'neng'li
射击时,she'ji'shi
设计有,she'ji'you
射击员,she'ji'yuan
射频导引头,she'pin'dao'yin'tou
生产成本,sheng'chan'cheng'ben
生产的,sheng'chan'de
生产分工图,sheng'chan'fen'gong'tu
生产国,sheng'chan'guo
生产商,sheng'chan'shang
生存能力,sheng'cun'neng'li
升力,sheng'li
升力风扇系统,sheng'li'feng'shan'xi'tong
升阻比,sheng'zu'bi
试飞,shi'fei
试飞期间,shi'fei'qi'jian
试飞院,shi'fei'yuan
试飞员,shi'fei'yuan
实际采购数量,shi'ji'cai'gou'shu'liang
实际升限,shi'ji'sheng'xian
世纪之初,shi'ji'zhi'chu
世纪最后,shi'ji'zui'hou
视界,shi'jie
世界安全,shi'jie'an'quan
世界第一大,shi'jie'di'yi'da
世界纪录,shi'jie'ji'lu
是介于,shi'jie'yu
世界重型战斗机,shi'jie'zhong'xing'zhan'dou'ji
世界最强,shi'jie'zui'qiang
是平的,shi'ping'de
使其,shi'qi
是前苏联,shi'qian'su'lian
时任国防部长,shi'ren'guo'fang'bu'zhang
是属于,shi'shu'yu
试图用,shi'tu'yong
使信号,shi'xin'hao
试验和改良,shi'yan'he'gai'liang
实验机,shi'yan'ji
试验基地,shi'yan'ji'di
试验型战斗机,shi'yan'xing'zhan'dou'ji
是一种,shi'yi'zhong
使用范围,shi'yong'fan'wei
使用了,shi'yong'le
实用升限,shi'yong'sheng'xian
使用寿命,shi'yong'shou'ming
是优点,shi'you'dian
式战斗机,shi'zhan'dou'ji
首次安装,shou'ci'an'zhuang
首次参战,shou'ci'can'zhan
首次飞行,shou'ci'fei'xing
首次看到,shou'ci'kan'dao
首次试飞,shou'ci'shi'fei
首飞,shou'fei
首架,shou'jia
首架量产机,shou'jia'liang'chan'ji
首批共,shou'pi'gong
首批苏,shou'pi'su
授权生产,shou'quan'sheng'chan
首席试飞员,shou'xi'shi'fei'yuan
受油设备,shou'you'she'bei
数额最大的,shu'e'zui'da'de
数据交换能力,shu'ju'jiao'huan'neng'li
数据显示方式,shu'ju'xian'shi'fang'shi
数量级,shu'liang'ji
数量最多,shu'liang'zui'duo
熟悉情况,shu'xi'qing'kuang
双倍于,shuang'bei'yu
双边协议,shuang'bian'xie'yi
双垂尾双发单座布局,shuang'chui'wei'shuang'fa'dan'zuo'bu'ju
双发小间距布局,shuang'fa'xiao'jian'ju'bu'ju
双轮结构,shuang'lun'jie'gou
双旋翼直升机,shuang'xuan'yi'zhi'sheng'ji
双座教练型,shuang'zuo'jiao'lian'xing
双座教练战斗机,shuang'zuo'jiao'lian'zhan'dou'ji
水面目标,shui'mian'mu'biao
水泡型座舱盖,shui'pao'xing'zuo'cang'gai
水平安定面,shui'ping'an'ding'mian
瞬间低温,shun'jian'di'wen
顺利交付,shun'li'jiao'fu
四代战机,si'dai'zhan'ji
四枚,si'mei
搜索救援,sou'suo'jiu'yuan
苏德战争,su'de'zhan'zheng
苏霍伊公司,su'huo'yi'gong'si
苏霍伊设计局,su'huo'yi'she'ji'ju
苏联空军,su'lian'kong'jun
遂行任务范围,sui'xing'ren'wu'fan'wei
随意调整,sui'yi'tiao'zheng
所采购的,suo'cai'gou'de
所采用的,suo'cai'yong'de
索尔尼爱,suo'er'ni'ai
所有武器,suo'you'wu'qi
所有信息,suo'you'xin'xi
它保证,ta'bao'zheng
它采用,ta'cai'yong
钛材,tai'cai
钛产量,tai'chan'liang
台发动机,tai'fa'dong'ji
台发动机的,tai'fa'dong'ji'de
钛合金,tai'he'jin
钛合金半成品,tai'he'jin'ban'cheng'pin
钛合金出口,tai'he'jin'chu'kou
钛合金结构,tai'he'jin'jie'gou
钛金属生产企业,tai'jin'shu'sheng'chan'qi'ye
钛生产商,tai'sheng'chan'shang
态势感知防御改进,tai'shi'gan'zhi'fang'yu'gai'jin
钛铁产量,tai'tie'chan'liang
抬头显示器,tai'tou'xian'shi'qi
钛氧化矿石,tai'yang'hua'kuang'shi
台液晶显示器,tai'ye'jing'xian'shi'qi
钛制品供应托拉斯,tai'zhi'pin'gong'ying'tuo'la'si
钛铸锭,tai'zhu'ding
坦波夫州,tan'bo'fu'zhou
探测敌机,tan'ce'di'ji
探测范围,tan'ce'fan'wei
探测距离,tan'ce'ju'li
套电子战支援子系统,tao'dian'zi'zhan'zhi'yuan'zi'xi'tong
特殊材料,te'shu'cai'liao
提高了,ti'gao'le
提高尾翼效率,ti'gao'wei'yi'xiao'lv
提高隐身性能,ti'gao'yin'shen'xing'neng
梯形平面形,ti'xing'ping'mian'xing
天线罩,tian'xian'zhao
条件下,tiao'jian'xia
铁磁吸波材料,tie'ci'xi'bo'cai'liao
停止生产,ting'zhi'sheng'chan
通常用,tong'chang'yong
同归为,tong'gui'wei
同时又,tong'shi'you
通信导航设备,tong'xin'dao'hang'she'bei
通用电气公司,tong'yong'dian'qi'gong'si
通用动力公司,tong'yong'dong'li'gong'si
通用手册,tong'yong'shou'ce
通用性强,tong'yong'xing'qiang
凸出的,tu'chu'de
突出的,tu'chu'de
突出了,tu'chu'le
凸出于,tu'chu'yu
突击力强,tu'ji'li'qiang
突破音障,tu'po'yin'zhang
土星科研生产联合体,tu'xing'ke'yan'sheng'chan'lian'he'ti
涂有,tu'you
推力矢量控制技术,tui'li'shi'liang'kong'zhi'ji'shu
推力矢量喷管,tui'li'shi'liang'pen'guan
推力矢量双发涡扇发动机,tui'li'shi'liang'shuang'fa'wo'shan'fa'dong'ji
推重比,tui'zhong'bi
外部吊挂,wai'bu'diao'gua
外场可更换部件,wai'chang'ke'geng'huan'bu'jian
外场可更换模件,wai'chang'ke'geng'huan'mu'jian
外挂点,wai'gua'dian
外挂点数量,wai'gua'dian'shu'liang
外挂载荷,wai'gua'zai'he
外贸型战斗机,wai'mao'xing'zhan'dou'ji
外型和功能,wai'xing'he'gong'neng
完成轰炸任务,wan'cheng'hong'zha'ren'wu
万美元的,wan'mei'yuan'de
弯曲机身,wan'qu'ji'shen
完全自主知识产权,wan'quan'zi'zhu'zhi'shi'chan'quan
万人以上,wan'ren'yi'shang
完善的,wan'shan'de
尾部支撑桁架,wei'bu'zhi'cheng'heng'jia
尾撑,wei'cheng
为抵御,wei'di'yu
维护费用,wei'hu'fei'yong
尾桨,wei'jiang
未来的,wei'lai'de
为了提供,wei'le'ti'gong
为了在,wei'le'zai
为铝合金,wei'lv'he'jin
为使其,wei'shi'qi
为提高,wei'ti'gao
威胁探测与定位,wei'xie'tan'ce'yu'ding'wei
尾翼,wei'yi
沃茨,wo'ci
我国为,wo'guo'wei
涡流,wo'liu
涡轮轴发动机,wo'lun'zhou'fa'dong'ji
涡扇发动机,wo'shan'fa'dong'ji
涡扇引擎,wo'shan'yin'qing
沃斯堡工厂,wo'si'bao'gong'chang
无地效支援,wu'di'xiao'zhi'yuan
无法量产,wu'fa'liang'chan
芜湖基地,wu'hu'ji'di
五角大楼,wu'jiao'da'lou
无空中加油,wu'kong'zhong'jia'you
乌拉尔山区,wu'la'er'shan'qu
物理现象,wu'li'xian'xiang
武器发展项目,wu'qi'fa'zhan'xiang'mu
武器购买合同,wu'qi'gou'mai'he'tong
武器系统,wu'qi'xi'tong
武器系统测试,wu'qi'xi'tong'ce'shi
武器载荷,wu'qi'zai'he
武器装备,wu'qi'zhuang'bei
武器装载能力,wu'qi'zhuang'zai'neng'li
无人机,wu'ren'ji
物体的速度,wu'ti'de'su'du
无尾三角翼翼身融合体,wu'wei'san'jiao'yi'yi'shen'rong'he'ti
无线电电子对抗器材,wu'xian'dian'dian'zi'dui'kang'qi'cai
无线电电子对抗系统,wu'xian'dian'dian'zi'dui'kang'xi'tong
无源相控阵雷达,wu'yuan'xiang'kong'zhen'lei'da
武装直升机,wu'zhuang'zhi'sheng'ji
吸波材料涂层,xi'bo'cai'liao'tu'ceng
西方标准,xi'fang'biao'zhun
西方国家的,xi'fang'guo'jia'de
西方潜艇,xi'fang'qian'ting
席佛,xi'fo
系列战斗机,xi'lie'zhan'dou'ji
系列战机,xi'lie'zhan'ji
西蒙诺夫,xi'meng'nuo'fu
吸收雷达波,xi'shou'lei'da'bo
吸收无线电波,xi'shou'wu'xian'dian'bo
西斯,xi'si
系统工作,xi'tong'gong'zuo
系统构形,xi'tong'gou'xing
下打开,xia'da'kai
下调节板,xia'tiao'jie'ban
下一代航母,xia'yi'dai'hang'mu
下一代轰炸机,xia'yi'dai'hong'zha'ji
下一代战斗机,xia'yi'dai'zhan'dou'ji
现代轰炸机,xian'dai'hong'zha'ji
现代化的,xian'dai'hua'de
现代战争,xian'dai'zhan'zheng
先敌发现,xian'di'fa'xian
先敌探测,xian'di'tan'ce
先进阿帕奇,xian'jin'a'pa'qi
先进的,xian'jin'de
先进攻击直升机,xian'jin'gong'ji'zhi'sheng'ji
先进近距空空导弹,xian'jin'jin'ju'kong'kong'dao'dan
先进控制技术,xian'jin'kong'zhi'ji'shu
先进提炼技术,xian'jin'ti'lian'ji'shu
先进武器,xian'jin'wu'qi
先进战斗机,xian'jin'zhan'dou'ji
先进战机,xian'jin'zhan'ji
先进战机技术,xian'jin'zhan'ji'ji'shu
先进整合,xian'jin'zheng'he
先进中程空对空导弹,xian'jin'zhong'cheng'kong'dui'kong'dao'dan
先进座舱,xian'jin'zuo'cang
先配备,xian'pei'bei
现任总设计师,xian'ren'zong'she'ji'shi
显示窗口,xian'shi'chuang'kou
显示方式,xian'shi'fang'shi
显示过程,xian'shi'guo'cheng
显示模式,xian'shi'mo'shi
显示顺序,xian'shi'shun'xu
显示系统,xian'shi'xi'tong
现实性,xian'shi'xing
显示仪表,xian'shi'yi'biao
现役的,xian'yi'de
现已交机,xian'yi'jiao'ji
现役主力运输机,xian'yi'zhu'li'yun'shu'ji
现有型别,xian'you'xing'bie
现有运输机,xian'you'yun'shu'ji
现在使用,xian'zai'shi'yong
显著提升,xian'zhu'ti'sheng
现装备于,xian'zhuang'bei'yu
相当成熟,xiang'dang'cheng'shu
相当广泛,xiang'dang'guang'fan
向后延伸,xiang'hou'yan'shen
相控阵机载雷达,xiang'kong'zhen'ji'zai'lei'da
相控阵雷达,xiang'kong'zhen'lei'da
项目合同,xiang'mu'he'tong
项目执行官,xiang'mu'zhi'xing'guan
项目主管,xiang'mu'zhu'guan
向前延伸,xiang'qian'yan'shen
向外倾斜,xiang'wai'qing'xie
响尾蛇,xiang'wei'she
响尾蛇导弹,xiang'wei'she'dao'dan
相应区域,xiang'ying'qu'yu
小反射外形,xiao'fan'she'wai'xing
小辐射的,xiao'fu'she'de
小口径炸弹,xiao'kou'jing'zha'dan
枭龙飞机,xiao'long'fei'ji
枭龙式战斗机,xiao'long'shi'zhan'dou'ji
小时增加到,xiao'shi'zeng'jia'dao
销往,xiao'wang
消息人士,xiao'xi'ren'shi
小型航空母舰,xiao'xing'hang'kong'mu'jian
小型准航母,xiao'xing'zhun'hang'mu
小直径炸弹,xiao'zhi'jing'zha'dan
新发展,xin'fa'zhan
新改型,xin'gai'xing
新购的,xin'gou'de
信号塔架,xin'hao'ta'jia
信号特征,xin'hao'te'zheng
新任司令,xin'ren'si'ling
新威胁,xin'wei'xie
新型别,xin'xing'bie
新型轰炸机,xin'xing'hong'zha'ji
新兴客户,xin'xing'ke'hu
新型雷达,xin'xing'lei'da
新型战斗机,xin'xing'zhan'dou'ji
新型战机,xin'xing'zhan'ji
新型战机采购计划,xin'xing'zhan'ji'cai'gou'ji'hua
新一代轻型战斗机,xin'yi'dai'qing'xing'zhan'dou'ji
新一代远程轰炸机,xin'yi'dai'yuan'cheng'hong'zha'ji
新一代战斗机,xin'yi'dai'zhan'dou'ji
型导弹,xing'dao'dan
型飞机,xing'fei'ji
型号变为,xing'hao'bian'wei
型军用运输直升机,xing'jun'yong'yun'shu'zhi'sheng'ji
性能要求,xing'neng'yao'qiu
性能优良,xing'neng'you'liang
形通道,xing'tong'dao
形尾翼,xing'wei'yi
型炸弹,xing'zha'dan
型战斗机,xing'zhan'dou'ji
型直升机,xing'zhi'sheng'ji
雄猫战机,xiong'mao'zhan'ji
休斯直升机公司,xiu'si'zhi'sheng'ji'gong'si
修正与替换,xiu'zheng'yu'ti'huan
许多油箱,xu'duo'you'xiang
需求量,xu'qiu'liang
需要达到,xu'yao'da'dao
旋翼,xuan'yi
选择了,xuan'ze'le
旋转炮塔,xuan'zhuan'pao'ta
巡航导弹,xun'hang'dao'dan
巡航速度,xun'hang'su'du
训练中队,xun'lian'zhong'dui
压气机冷壁进气道,ya'qi'ji'leng'bi'jin'qi'dao
压气机叶片,ya'qi'ji'ye'pian
压气机叶片表面,ya'qi'ji'ye'pian'biao'mian
鸭翼,ya'yi
亚洲盟友,ya'zhou'meng'you
延长到,yan'chang'dao
研发成功,yan'fa'cheng'gong
研发风险,yan'fa'feng'xian
眼镜蛇,yan'jing'she
研究测试,yan'jiu'ce'shi
研究成果,yan'jiu'cheng'guo
研究分析报告,yan'jiu'fen'xi'bao'gao
研究人员,yan'jiu'ren'yuan
验证机,yan'zheng'ji
研制成本,yan'zhi'cheng'ben
研制出,yan'zhi'chu
研制的,yan'zhi'de
研制工作,yan'zhi'gong'zuo
研制过程,yan'zhi'guo'cheng
研制过程中,yan'zhi'guo'cheng'zhong
研制和,yan'zhi'he
研制计划,yan'zhi'ji'hua
研制经验,yan'zhi'jing'yan
研制开销,yan'zhi'kai'xiao
杨伟,yang'wei
要实现,yao'shi'xian
要延续到,yao'yan'xu'dao
液晶多功能显示器,ye'jing'duo'gong'neng'xian'shi'qi
液晶显示器,ye'jing'xian'shi'qi
也可用于,ye'ke'yong'yu
业务开发,ye'wu'kai'fa
野战自助,ye'zhan'zi'zhu
野战自助能力,ye'zhan'zi'zhu'neng'li
一般装有,yi'ban'zhuang'you
以保证,yi'bao'zheng
仪表面板,yi'biao'mian'ban
仪表盘,yi'biao'pan
一部分工作,yi'bu'fen'gong'zuo
一次空中加油,yi'ci'kong'zhong'jia'you
一旦部署,yi'dan'bu'shu
一定的,yi'ding'de
伊尔,yi'er
伊方,yi'fang
一个重大的,yi'ge'zhong'da'de
以加强,yi'jia'qiang
已交付给,yi'jiao'fu'gei
已经公布了,yi'jing'gong'bu'le
已经接近,yi'jing'jie'jin
已经批准,yi'jing'pi'zhun
已经首飞,yi'jing'shou'fei
已经展开,yi'jing'zhan'kai
已决定,yi'jue'ding
伊军,yi'jun
以满足,yi'man'zu
亿美元,yi'mei'yuan
亿美元合同,yi'mei'yuan'he'tong
一篇报道,yi'pian'bao'dao
仪器降落系统,yi'qi'jiang'luo'xi'tong
一千多架,yi'qian'duo'jia
翼前缘延伸面,yi'qian'yuan'yan'shen'mian
翼身融合体,yi'shen'rong'he'ti
已失去意义,yi'shi'qu'yi'yi
一体化航空电子系统,yi'ti'hua'hang'kong'dian'zi'xi'tong
一线主力,yi'xian'zhu'li
意向订单,yi'xiang'ding'dan
已研制,yi'yan'zhi
翼展,yi'zhan
翼展为,yi'zhan'wei
一种新的,yi'zhong'xin'de
隐蔽地,yin'bi'de
隐蔽性,yin'bi'xing
印度防务官员,yin'du'fang'wu'guan'yuan
印度航空管理局,yin'du'hang'kong'guan'li'ju
印度空军,yin'du'kong'jun
印度空军方面,yin'du'kong'jun'fang'mian
印度战略防务,yin'du'zhan'lue'fang'wu
引进并装备,yin'jin'bing'zhuang'bei
