阿德勒心理学,a'de'le'xin'li'xue
概念储存,gai'nian'chu'cun
概念发展,gai'nian'fa'zhan
概念结构,gai'nian'jie'gou
概念确认,gai'nian'que'ren
概念体系,gai'nian'ti'xi
概念习得,gai'nian'xi'de
概念形成,gai'nian'xing'cheng
概念学习,gai'nian'xue'xi
感官特殊能量说,gan'guan'te'shu'neng'liang'shuo
感觉,gan'jue
感觉剥夺,gan'jue'bo'duo
感觉剥夺实验,gan'jue'bo'duo'shi'yan
感觉道,gan'jue'dao
感觉的通则,gan'jue'de'tong'ze
感觉登记,gan'jue'deng'ji
感觉器官相互作用,gan'jue'qi'guan'xiang'hu'zuo'yong
感觉适应,gan'jue'shi'ying
感觉属性,gan'jue'shu'xing
感觉消失,gan'jue'xiao'shi
感觉阈限,gan'jue'yu'xian
感觉运动,gan'jue'yun'dong
感觉运动阶段,gan'jue'yun'dong'jie'duan
感觉主义,gan'jue'zhu'yi
感染论,gan'ran'lun
干扰理论,gan'rao'li'lun
感受性,gan'shou'xing
感受野,gan'shou'ye
肛门期,gang'men'qi
钢琴说,gang'qin'shuo
高级神经活动规律,gao'ji'shen'jing'huo'dong'gui'lv
高级心理过程,gao'ji'xin'li'guo'cheng
告警信号,gao'jing'xin'hao
睾丸素,gao'wan'su
高危人群,gao'wei'ren'qun
高温,gao'wen
高原期,gao'yuan'qi
高原现象,gao'yuan'xian'xiang
个案研究,ge'an'yan'jiu
个别测验,ge'bie'ce'yan
个别化教育计划,ge'bie'hua'jiao'yu'ji'hua
个别教学,ge'bie'jiao'xue
个别心理治疗,ge'bie'xin'li'zhi'liao
隔离,ge'li
割裂脑,ge'lie'nao
哥伦比亚学派,ge'lun'bi'ya'xue'pai
隔区,ge'qu
个人动机,ge'ren'dong'ji
个人构念理论,ge'ren'gou'nian'li'lun
个人空间,ge'ren'kong'jian
个人倾向性,ge'ren'qing'xiang'xing
个人社会自我,ge'ren'she'hui'zi'wo
格赛尔的儿童心理学理论,ge'sai'er'de'er'tong'xin'li'xue'li'lun
格塞尔发展测验,ge'sai'er'fa'zhan'ce'yan
格式塔,ge'shi'ta
格式塔场理论,ge'shi'ta'chang'li'lun
格式塔疗法,ge'shi'ta'liao'fa
格式塔心理学,ge'shi'ta'xin'li'xue
格式塔治疗,ge'shi'ta'zhi'liao
格式塔组织原则,ge'shi'ta'zu'zhi'yuan'ze
个体差异,ge'ti'cha'yi
个体发生,ge'ti'fa'sheng
个体心理分析治疗,ge'ti'xin'li'fen'xi'zhi'liao
个体心理学,ge'ti'xin'li'xue
个体心理治疗,ge'ti'xin'li'zhi'liao
个体需要,ge'ti'xu'yao
个性,ge'xing
个性心理特征,ge'xing'xin'li'te'zheng
个性心理学,ge'xing'xin'li'xue
跟随运动,gen'sui'yun'dong
更年期精神病,geng'nian'qi'jing'shen'bing
更年期抑郁症,geng'nian'qi'yi'yu'zheng
更年期综合征,geng'nian'qi'zong'he'zheng
工程人体测量学,gong'cheng'ren'ti'ce'liang'xue
工程心理学,gong'cheng'xin'li'xue
攻击,gong'ji
攻击性人格,gong'ji'xing'ren'ge
攻击行为,gong'ji'xing'wei
工具性攻击,gong'ju'xing'gong'ji
工具性条件作用,gong'ju'xing'tiao'jian'zuo'yong
工具性学习,gong'ju'xing'xue'xi
公理理论,gong'li'li'lun
功利主义,gong'li'zhu'yi
共鸣说,gong'ming'shuo
功能固着,gong'neng'gu'zhuo
功能距离,gong'neng'ju'li
功能性磁共振成象,gong'neng'xing'ci'gong'zhen'cheng'xiang
功能性解决,gong'neng'xing'jie'jue
公平理论,gong'ping'li'lun
供述动机,gong'shu'dong'ji
供述心理学,gong'shu'xin'li'xue
供述障碍,gong'shu'zhang'ai
公诉心理学,gong'su'xin'li'xue
共同要素说,gong'tong'yao'su'shuo
共同中介说,gong'tong'zhong'jie'shuo
工业工程,gong'ye'gong'cheng
工业顾问,gong'ye'gu'wen
工业社会心理学,gong'ye'she'hui'xin'li'xue
工业心理学,gong'ye'xin'li'xue
工作安全,gong'zuo'an'quan
工作安置,gong'zuo'an'zhi
工作场所设计,gong'zuo'chang'suo'she'ji
工作地位,gong'zuo'di'wei
工作分析,gong'zuo'fen'xi
工作丰富化,gong'zuo'feng'fu'hua
工作负荷,gong'zuo'fu'he
工作记忆,gong'zuo'ji'yi
工作简单化,gong'zuo'jian'dan'hua
工作扩大化,gong'zuo'kuo'da'hua
工作满意,gong'zuo'man'yi
工作满足,gong'zuo'man'zu
工作评估,gong'zuo'ping'gu
工作评价,gong'zuo'ping'jia
工作曲线,gong'zuo'qu'xian
工作热量,gong'zuo're'liang
工作生活质量,gong'zuo'sheng'huo'zhi'liang
工作效率,gong'zuo'xiao'lv
工作休息周期,gong'zuo'xiu'xi'zhou'qi
工作与游戏,gong'zuo'yu'you'xi
工作姿势,gong'zuo'zi'shi
购买动机,gou'mai'dong'ji
购买过程,gou'mai'guo'cheng
购买决策,gou'mai'jue'ce
购买行为,gou'mai'xing'wei
购买意识,gou'mai'yi'shi
购买意图,gou'mai'yi'tu
沟通模式,gou'tong'mo'shi
沟通网络,gou'tong'wang'luo
构想效度,gou'xiang'xiao'du
构造论,gou'zao'lun
构造心理学,gou'zao'xin'li'xue
构造主义,gou'zao'zhu'yi
古迪纳夫,gu'di'na'fu
古典管理学派,gu'dian'guan'li'xue'pai
固定动作模式,gu'ding'dong'zuo'mo'shi
孤独,gu'du
孤独症,gu'du'zheng
故事语法,gu'shi'yu'fa
雇用测验,gu'yong'ce'yan
雇员态度调查,gu'yuan'tai'du'diao'cha
故障树分析,gu'zhang'shu'fen'xi
观察法,guan'cha'fa
观察学习,guan'cha'xue'xi
关键词识记法,guan'jian'ci'shi'ji'fa
关键期,guan'jian'qi
关键事件法,guan'jian'shi'jian'fa
管理发展,guan'li'fa'zhan
管理方格,guan'li'fang'ge
管理幅度,guan'li'fu'du
管理过程理论,guan'li'guo'cheng'li'lun
管理决策,guan'li'jue'ce
管理开发,guan'li'kai'fa
管理科学,guan'li'ke'xue
管理理论,guan'li'li'lun
管理系统,guan'li'xi'tong
管理心理学,guan'li'xin'li'xue
管理信息系统,guan'li'xin'xi'xi'tong
管理要素,guan'li'yao'su
官僚机构,guan'liao'ji'gou
官能心理学,guan'neng'xin'li'xue
观念的联合,guan'nian'de'lian'he
观念运动,guan'nian'yun'dong
关系论,guan'xi'lun
关系妄想,guan'xi'wang'xiang
关系学说,guan'xi'xue'shuo
观众效应,guan'zhong'xiao'ying
观众心理,guan'zhong'xin'li
广场恐怖,guang'chang'kong'bu
光动反应,guang'dong'fan'ying
光感受器,guang'gan'shou'qi
广告,guang'gao
广告设计,guang'gao'she'ji
广告心理学,guang'gao'xin'li'xue
光环效应,guang'huan'xiao'ying
广阔,guang'kuo
光亮度函数,guang'liang'du'han'shu
光谱光效率曲线,guang'pu'guang'xiao'lv'qu'xian
光谱色,guang'pu'se
光源显色性,guang'yuan'xian'se'xing
归纳推理,gui'na'tui'li
归属学习,gui'shu'xue'xi
归因理论,gui'yin'li'lun
归因偏向,gui'yin'pian'xiang
规则学习,gui'ze'xue'xi
过程型激励理论,guo'cheng'xing'ji'li'li'lun
过度疲劳,guo'du'pi'lao
国际疾病分类,guo'ji'ji'bing'fen'lei
过滤器模型,guo'lv'qi'mo'xing
过滤式分析,guo'lv'shi'fen'xi
国民性,guo'min'xing
哈里斯画人测验,ha'li'si'hua'ren'ce'yan
海德归因理论,hai'de'gui'yin'li'lun
海林的光觉学说,hai'lin'de'guang'jue'xue'shuo
海马,hai'ma
海马结构,hai'ma'jie'gou
亥姆霍茨错觉,hai'mu'huo'ci'cuo'jue
亥姆霍茨视觉说,hai'mu'huo'ci'shi'jue'shuo
行波说,hang'bo'shuo
航空航天心理学,hang'kong'hang'tian'xin'li'xue
航空心理学,hang'kong'xin'li'xue
航天心理学,hang'tian'xin'li'xue
好奇心,hao'qi'xin
合成分数,he'cheng'fen'shu
赫茨伯格的双因素理论,he'ci'bo'ge'de'shuang'yin'su'li'lun
核磁共振,he'ci'gong'zhen
赫尔姆霍茨的色彩视觉说,he'er'mu'huo'ci'de'se'cai'shi'jue'shuo
合理化作用,he'li'hua'zuo'yong
合理情绪疗法,he'li'qing'xu'liao'fa
和睦关系,he'mu'guan'xi
合取概念,he'qu'gai'nian
核酸,he'suan
核糖核酸,he'tang'he'suan
核心家庭,he'xin'jia'ting
核心特质,he'xin'te'zhi
合音,he'yin
合作,he'zuo
合作与竞争,he'zuo'yu'jing'zheng
黑林错觉,hei'lin'cuo'jue
黑林视觉说,hei'lin'shi'jue'shuo
黑箱论,hei'xiang'lun
痕迹理论,hen'ji'li'lun
恒常性,heng'chang'xing
恒定刺激法,heng'ding'ci'ji'fa
恒定误差,heng'ding'wu'cha
横断设计,heng'duan'she'ji
横竖错觉,heng'shu'cuo'jue
亨廷顿舞蹈病,heng'ting'dun'wu'dao'bing
红绿色盲,hong'lv'se'mang
红色盲,hong'se'mang
红色弱,hong'se'ruo
后脑,hou'nao
后习俗道德,hou'xi'su'dao'de
后象,hou'xiang
后向掩蔽,hou'xiang'yan'bi
互补性,hu'bu'xing
互动论,hu'dong'lun
互反性,hu'fan'xing
护理心理学,hu'li'xin'li'xue
胡塞尔的现象学,hu'sai'er'de'xian'xiang'xue
互相仿效行为,hu'xiang'fang'xiao'xing'wei
护幼活动,hu'you'huo'dong
话到嘴边效应,hua'dao'zui'bian'xiao'ying
滑动模型,hua'dong'mo'xing
化学感觉,hua'xue'gan'jue
化学感受器,hua'xue'gan'shou'qi
话在嘴边现象,hua'zai'zui'bian'xian'xiang
环境测量,huan'jing'ce'liang
环境疗法,huan'jing'liao'fa
环境论,huan'jing'lun
环境心理学,huan'jing'xin'li'xue
环境压力,huan'jing'ya'li
幻觉,huan'jue
幻听,huan'ting
唤醒,huan'xing
环性人格,huan'xing'ren'ge
还原论,huan'yuan'lun
幻肢,huan'zhi
黄金分割,huang'jin'fen'ge
回避型人格,hui'bi'xing'ren'ge
回避型人格障碍,hui'bi'xing'ren'ge'zhang'ai
回避行为,hui'bi'xing'wei
回避性训练,hui'bi'xing'xun'lian
回避学习,hui'bi'xue'xi
回归心理学,hui'gui'xin'li'xue
惠特尼,hui'te'ni
回忆,hui'yi
回忆法,hui'yi'fa
灰质,hui'zhi
混合设计,hun'he'she'ji
婚前咨询,hun'qian'zi'xun
婚姻互动风格,hun'yin'hu'dong'feng'ge
婚姻顺应,hun'yin'shun'ying
婚姻治疗,hun'yin'zhi'liao
婚姻咨询,hun'yin'zi'xun
活动,huo'dong
活动过度,huo'dong'guo'du
活动理论,huo'dong'li'lun
活动疗法,huo'dong'liao'fa
活动依存性强化机制,huo'dong'yi'cun'xing'qiang'hua'ji'zhi
霍尔的心理发展理论,huo'er'de'xin'li'fa'zhan'li'lun
霍妮的理论,huo'ni'de'li'lun
霍妮疗法,huo'ni'liao'fa
霍桑效应,huo'sang'xiao'ying
霍桑研究,huo'sang'yan'jiu
基本归因误差,ji'ben'gui'yin'wu'cha
激变模型,ji'bian'mo'xing
积差相关,ji'cha'xiang'guan
极大似然法,ji'da'si'ran'fa
基底神经节,ji'di'shen'jing'jie
嫉妒妄想,ji'du'wang'xiang
继发性妄想,ji'fa'xing'wang'xiang
继父母,ji'fu'mu
继父母的孩子,ji'fu'mu'de'hai'zi
几何平均数,ji'he'ping'jun'shu
几何视错觉,ji'he'shi'cuo'jue
极化,ji'hua
计划简化法,ji'hua'jian'hua'fa
激活扩散,ji'huo'kuo'san
激活扩散模型,ji'huo'kuo'san'mo'xing
积极关注,ji'ji'guan'zhu
肌觉,ji'jue
级量电位,ji'liang'dian'wei
记录仪,ji'lu'yi
技能,ji'neng
机能系统理论,ji'neng'xi'tong'li'lun
机能心理学,ji'neng'xin'li'xue
机能性幻觉,ji'neng'xing'huan'jue
机能主义,ji'neng'zhu'yi
奇偶问题学习,ji'ou'wen'ti'xue'xi
机器人,ji'qi'ren
激情犯罪,ji'qing'fan'zui
肌肉疲劳,ji'rou'pi'lao
肌肉松弛法,ji'rou'song'chi'fa
基色,ji'se
即时联想,ji'shi'lian'xiang
即时推理,ji'shi'tui'li
继时性扫描,ji'shi'xing'sao'miao
技术美学,ji'shu'mei'xue
计算机程序设计中人的因素,ji'suan'ji'cheng'xu'she'ji'zhong'ren'de'yin'su
计算机辅助教学,ji'suan'ji'fu'zhu'jiao'xue
计算机化适应性测验,ji'suan'ji'hua'shi'ying'xing'ce'yan
计算机类比,ji'suan'ji'lei'bi
计算机模拟,ji'suan'ji'mo'ni
计算机模型,ji'suan'ji'mo'xing
集体,ji'ti
机体党,ji'ti'dang
机体觉缺失,ji'ti'jue'que'shi
集体无意识,ji'ti'wu'yi'shi
集体心理,ji'ti'xin'li
集体心理治疗,ji'ti'xin'li'zhi'liao
集体癔症,ji'ti'yi'zheng
集体咨询,ji'ti'zi'xun
极限法,ji'xian'fa
基线时间,ji'xian'shi'jian
绩效评价,ji'xiao'ping'jia
机械学习,ji'xie'xue'xi
急性精神错乱,ji'xing'jing'shen'cuo'luan
急性精神分裂症,ji'xing'jing'shen'fen'lie'zheng
急性酒精中毒,ji'xing'jiu'jing'zhong'du
急性心因性反应,ji'xing'xin'yin'xing'fan'ying
记忆,ji'yi
记忆表象,ji'yi'biao'xiang
记忆错觉,ji'yi'cuo'jue
记忆分子理论,ji'yi'fen'zi'li'lun
记忆广度,ji'yi'guang'du
记忆痕迹,ji'yi'hen'ji
记忆恢复,ji'yi'hui'fu
记忆减退,ji'yi'jian'tui
记忆类型,ji'yi'lei'xing
记忆容量有限论,ji'yi'rong'liang'you'xian'lun
记忆实验,ji'yi'shi'yan
记忆术,ji'yi'shu
记忆搜索,ji'yi'sou'suo
记忆系统,ji'yi'xi'tong
记忆增强,ji'yi'zeng'qiang
记忆组织,ji'yi'zu'zhi
基音,ji'yin
基因,ji'yin
基因突变,ji'yin'tu'bian
激越性抑郁症,ji'yue'xing'yi'yu'zheng
击中,ji'zhong
集中练习,ji'zhong'lian'xi
集中量数,ji'zhong'liang'shu
集中趋势,ji'zhong'qu'shi
集中性沉思,ji'zhong'xing'chen'si
集中学习,ji'zhong'xue'xi
记住,ji'zhu
积贮格栅技术,ji'zhu'ge'shan'ji'shu
脊柱裂,ji'zhu'lie
加工水平,jia'gong'shui'ping
家教心理学,jia'jiao'xin'li'xue
假两性畸形,jia'liang'xing'ji'xing
加涅学习模式,jia'nie'xue'xi'mo'shi
加权平均数,jia'quan'ping'jun'shu
加色混合,jia'se'hun'he
假设,jia'she
假设检验,jia'she'jian'yan
假设检验说,jia'she'jian'yan'shuo
假设群体,jia'she'qun'ti
假设相似性,jia'she'xiang'si'xing
假设演绎推理,jia'she'yan'yi'tui'li
加速度效应,jia'su'du'xiao'ying
家庭调查表,jia'ting'diao'cha'biao
家庭危机,jia'ting'wei'ji
家庭治疗,jia'ting'zhi'liao
假想的观众,jia'xiang'de'guan'zhong
假性痴呆,jia'xing'chi'dai
假性幻觉,jia'xing'huan'jue
甲型色盲,jia'xing'se'mang
加压素,jia'ya'su
价值,jia'zhi
价值观辨析,jia'zhi'guan'bian'xi
甲状腺,jia'zhuang'xian
鉴别指数,jian'bie'zhi'shu
简单反应时,jian'dan'fan'ying'shi
简单细胞,jian'dan'xi'bao
简短心理治疗,jian'duan'xin'li'zhi'liao
间接测量,jian'jie'ce'liang
间接理解,jian'jie'li'jie
间接推理,jian'jie'tui'li
渐进放松,jian'jin'fang'song
健康,jian'kang
健康人格,jian'kang'ren'ge
健康心理学,jian'kang'xin'li'xue
健康行为,jian'kang'xing'wei
缄默症,jian'mo'zheng
间脑,jian'nao
健全人格,jian'quan'ren'ge
减色混合,jian'se'hun'he
检索,jian'suo
检验,jian'yan
检验能力,jian'yan'neng'li
检验统计量,jian'yan'tong'ji'liang
监狱心理学,jian'yu'xin'li'xue
脚本,jiao'ben
交叉迁移,jiao'cha'qian'yi
交叉效度分析,jiao'cha'xiao'du'fen'xi
交感神经系统,jiao'gan'shen'jing'xi'tong
交互决定论,jiao'hu'jue'ding'lun
交互作用,jiao'hu'zuo'yong
教练员指导方式,jiao'lian'yuan'zhi'dao'fang'shi
交流分析咨询,jiao'liu'fen'xi'zi'xun
焦虑,jiao'lv
焦虑性神经症,jiao'lv'xing'shen'jing'zheng
焦虑性障碍,jiao'lv'xing'zhang'ai
角色,jiao'se
角色扮演,jiao'se'ban'yan
角色采择,jiao'se'cai'ze
角色冲突,jiao'se'chong'tu
角色规范,jiao'se'gui'fan
角色紧张,jiao'se'jin'zhang
角色理论,jiao'se'li'lun
角色偏差,jiao'se'pian'cha
角色期望,jiao'se'qi'wang
角色适合性,jiao'se'shi'he'xing
角色协调,jiao'se'xie'tiao
角色行为,jiao'se'xing'wei
角色知觉,jiao'se'zhi'jue
教师期望效应,jiao'shi'qi'wang'xiao'ying
教师效能,jiao'shi'xiao'neng
教师自编测验,jiao'shi'zi'bian'ce'yan
交替问题学习,jiao'ti'wen'ti'xue'xi
交替性人格,jiao'ti'xing'ren'ge
交通心理学,jiao'tong'xin'li'xue
矫枉过正疗法,jiao'wang'guo'zheng'liao'fa
交往技能训练,jiao'wang'ji'neng'xun'lian
交往理论,jiao'wang'li'lun
交往需要,jiao'wang'xu'yao
教学媒体,jiao'xue'mei'ti
教学心理学,jiao'xue'xin'li'xue
教养机构,jiao'yang'ji'gou
交友小组疗法,jiao'you'xiao'zu'liao'fa
教育社会心理学,jiao'yu'she'hui'xin'li'xue
教育心理学,jiao'yu'xin'li'xue
校正数,jiao'zheng'shu
矫正咨询,jiao'zheng'zi'xun
矫治心理学,jiao'zhi'xin'li'xue
阶段说,jie'duan'shuo
戒断症状,jie'duan'zheng'zhuang
戒断综合征,jie'duan'zong'he'zheng
结构效度,jie'gou'xiao'du
结构性访谈,jie'gou'xing'fang'tan
结构性失用症,jie'gou'xing'shi'yong'zheng
结构性晤谈,jie'gou'xing'wu'tan
结果性目标,jie'guo'xing'mu'biao
结果知觉,jie'guo'zhi'jue
阶级心理学,jie'ji'xin'li'xue
接近律,jie'jin'lv
接近性条件作用说,jie'jin'xing'tiao'jian'zuo'yong'shuo
接近原则,jie'jin'yuan'ze
拮抗物,jie'kang'wu
节省法,jie'sheng'fa
解释,jie'shi
接受者操作特征曲线,jie'shou'zhe'cao'zuo'te'zheng'qu'xian
阶梯法,jie'ti'fa
戒瘾,jie'yin
节约律,jie'yue'lv
节奏感,jie'zou'gan
近端刺激,jin'duan'ci'ji
进化的理论,jin'hua'de'li'lun
进化心理学,jin'hua'xin'li'xue
禁忌,jin'ji
金钱的心理学研究,jin'qian'de'xin'li'xue'yan'jiu
进行性遗忘,jin'xing'xing'yi'wang
近因律,jin'yin'lv
近因效应,jin'yin'xiao'ying
紧张理论,jin'zhang'li'lun
紧张型精神分裂症,jin'zhang'xing'jing'shen'fen'lie'zheng
紧张与人格,jin'zhang'yu'ren'ge
警察心理测验,jing'cha'xin'li'ce'yan
警察心理学,jing'cha'xin'li'xue
经典测验理论,jing'dian'ce'yan'li'lun
经典性条件作用,jing'dian'xing'tiao'jian'zuo'yong
镜画,jing'hua
经济人,jing'ji'ren
经济心理学,jing'ji'xin'li'xue
警戒,jing'jie
警觉,jing'jue
经皮层失语症,jing'pi'ceng'shi'yu'zheng
竞赛,jing'sai
竞赛心理,jing'sai'xin'li
精神病,jing'shen'bing
精神病的神话,jing'shen'bing'de'shen'hua
精神病学社会工作者,jing'shen'bing'xue'she'hui'gong'zuo'zhe
精神病学社会网络,jing'shen'bing'xue'she'hui'wang'luo
精神创伤,jing'shen'chuang'shang
精神错乱,jing'shen'cuo'luan
精神分裂样人格,jing'shen'fen'lie'yang'ren'ge
精神分裂症,jing'shen'fen'lie'zheng
精神分析,jing'shen'fen'xi
精神分析的自我发展理论,jing'shen'fen'xi'de'zi'wo'fa'zhan'li'lun
精神分析的咨询理论,jing'shen'fen'xi'de'zi'xun'li'lun
精神分析治疗,jing'shen'fen'xi'zhi'liao
精神疾病诊断与统计手册,jing'shen'ji'bing'zhen'duan'yu'tong'ji'shou'ce
精神衰退,jing'shen'shuai'tui
精神宣泄,jing'shen'xuan'xie
精神药理学,jing'shen'yao'li'xue
精神药物,jing'shen'yao'wu
精神障碍,jing'shen'zhang'ai
精神质,jing'shen'zhi
精神综合,jing'shen'zong'he
静态显示,jing'tai'xian'shi
晶态智力,jing'tai'zhi'li
静息电位,jing'xi'dian'wei
经验,jing'yan
经验论,jing'yan'lun
经验心理学,jing'yan'xin'li'xue
经验主义,jing'yan'zhu'yi
竞争,jing'zheng
静止网膜象,jing'zhi'wang'mo'xiang
镜中我,jing'zhong'wo
九点分,jiu'dian'fen
酒精成瘾,jiu'jing'cheng'yin
酒精依赖,jiu'jing'yi'lai
酒精中毒治疗,jiu'jing'zhong'du'zhi'liao
就业和职业培训,jiu'ye'he'zhi'ye'pei'xun
聚合思维,ju'he'si'wei
聚合效应论,ju'he'xiao'ying'lun
拒绝域,ju'jue'yu
聚类分析,ju'lei'fen'xi
距离恒常性,ju'li'heng'chang'xing
距离线索,ju'li'xian'suo
距离知觉,ju'li'zhi'jue
具体思维,ju'ti'si'wei
具体运思,ju'ti'yun'si
具体运思阶段,ju'ti'yun'si'jie'duan
具体运算,ju'ti'yun'suan
具体运算阶段,ju'ti'yun'suan'jie'duan
句子成分,ju'zi'cheng'fen
决策,jue'ce
决策理论,jue'ce'li'lun
决策树,jue'ce'shu
觉察时间,jue'cha'shi'jian
决定论,jue'ding'lun
决定论和非决定论,jue'ding'lun'he'fei'jue'ding'lun
决定论原则,jue'ding'lun'yuan'ze
绝对感受性,jue'dui'gan'shou'xing
绝对阈限,jue'dui'yu'xian
觉醒,jue'xing
均方,jun'fang
军事心理学,jun'shi'xin'li'xue
卡特尔的人格理论,ka'te'er'de'ren'ge'li'lun
卡特尔人格因素问卷,ka'te'er'ren'ge'yin'su'wen'juan
开窗实验,kai'chuang'shi'yan
开放性访谈,kai'fang'xing'fang'tan
开放性晤谈,kai'fang'xing'wu'tan
开放性运动技能,kai'fang'xing'yun'dong'ji'neng
开环控制,kai'huan'kong'zhi
凯利归因理论,kai'li'gui'yin'li'lun
坎贝尔兴趣调查表,kan'bei'er'xing'qu'diao'cha'biao
看话,kan'hua
坎农巴德的情绪理论,kan'nong'ba'de'de'qing'xu'li'lun
康复,kang'fu
康复心理学,kang'fu'xin'li'xue
康复咨询,kang'fu'zi'xun
抗焦虑药,kang'jiao'lv'yao
抗焦虑药物,kang'jiao'lv'yao'wu
抗精神病药,kang'jing'shen'bing'yao
抗拒,kang'ju
抗抑郁药,kang'yi'yu'yao
抗抑郁药物,kang'yi'yu'yao'wu
抗躁狂药物,kang'zao'kuang'yao'wu
考夫曼儿童评估测验,kao'fu'man'er'tong'ping'gu'ce'yan
刻板反应,ke'ban'fan'ying
可懂度,ke'dong'du
科尔伯格的道德发展理论,ke'er'bo'ge'de'dao'de'fa'zhan'li'lun
客观测验,ke'guan'ce'yan
客观题,ke'guan'ti
可加性,ke'jia'xing
可见光,ke'jian'guang
克拉克现象,ke'la'ke'xian'xiang
克劳福德效应,ke'lao'fu'de'xiao'ying
可逆图形,ke'ni'tu'xing
可逆性,ke'ni'xing
可塑性,ke'su'xing
课堂纪律,ke'tang'ji'lv
课堂气氛,ke'tang'qi'fen
课堂心理环境,ke'tang'xin'li'huan'jing
客体永久性,ke'ti'yong'jiu'xing
客体运动知觉,ke'ti'yun'dong'zhi'jue
克汀病,ke'ting'bing
可听度曲线,ke'ting'du'qu'xian
科学边缘的研究,ke'xue'bian'yuan'de'yan'jiu
科学管理原理,ke'xue'guan'li'yuan'li
科学心理学,ke'xue'xin'li'xue
科学哲学,ke'xue'zhe'xue
科伊尔斯检验,ke'yi'er'si'jian'yan
肯德尔和谐系数,ken'de'er'he'xie'xi'shu
肯德尔一致性系数,ken'de'er'yi'zhi'xing'xi'shu
肯定例证,ken'ding'li'zheng
肯定判断,ken'ding'pan'duan
恐怖性神经症,kong'bu'xing'shen'jing'zheng
恐怖症,kong'bu'zheng
空巢,kong'chao
空间概念,kong'jian'gai'nian
空间频率,kong'jian'pin'lv
空间频率柱,kong'jian'pin'lv'zhu
空间误差,kong'jian'wu'cha
空间知觉,kong'jian'zhi'jue
空间知觉研究控制器,kong'jian'zhi'jue'yan'jiu'kong'zhi'qi
空间总合作用,kong'jian'zong'he'zuo'yong
恐惧,kong'ju
空气透视,kong'qi'tou'shi
恐校症,kong'xiao'zheng
控制,kong'zhi
控制变量,kong'zhi'bian'liang
控制点,kong'zhi'dian
控制理论,kong'zhi'li'lun
控制联想,kong'zhi'lian'xiang
控制器,kong'zhi'qi
控制器编码,kong'zhi'qi'bian'ma
控制器与显示器的配合,kong'zhi'qi'yu'xian'shi'qi'de'pei'he
控制器阻力,kong'zhi'qi'zu'li
控制系统,kong'zhi'xi'tong
控制显示兼容性,kong'zhi'xian'shi'jian'rong'xing
控制源,kong'zhi'yuan
控制组,kong'zhi'zu
口吃,kou'chi
口唇期,kou'chun'qi
扣带回,kou'dai'hui
口头报告,kou'tou'bao'gao
口语记录,kou'yu'ji'lu
库德,ku'de
苦恼,ku'nao
跨通道匹配,kua'tong'dao'pi'pei
跨文化测验,kua'wen'hua'ce'yan
跨文化的社会心理学,kua'wen'hua'de'she'hui'xin'li'xue
跨文化社会心理学,kua'wen'hua'she'hui'xin'li'xue
跨文化心理失调,kua'wen'hua'xin'li'shi'tiao
跨文化心理学,kua'wen'hua'xin'li'xue
跨文化心理咨询,kua'wen'hua'xin'li'zi'xun
跨文化研究,kua'wen'hua'yan'jiu
快速眼动睡眠,kuai'su'yan'dong'shui'mian
快痛,kuai'tong
宽容型父母,kuan'rong'xing'fu'mu
旷场试验,kuang'chang'shi'yan
窥阴癖,kui'yin'pi
窥阴症,kui'yin'zheng
扩散性抑制,kuo'san'xing'yi'zhi
拉丁方设计,la'ding'fang'she'ji
拉斯友情森作业模型,la'si'you'qing'sen'zuo'ye'mo'xing
莱尔错觉,lai'er'cuo'jue
来访者,lai'fang'zhe
来访者中心疗法,lai'fang'zhe'zhong'xin'liao'fa
兰道环视标,lan'dao'huan'shi'biao
兰格的情绪机制说,lan'ge'de'qing'xu'ji'zhi'shuo
蓝黄色盲,lan'huang'se'mang
蓝色盲,lan'se'mang
朗多环视标,lang'duo'huan'shi'biao
劳动心理学,lao'dong'xin'li'xue
老化,lao'hua
老年病学心理学,lao'nian'bing'xue'xin'li'xue
老年痴呆,lao'nian'chi'dai
老年欺期,lao'nian'qi'qi
老年人咨询,lao'nian'ren'zi'xun
老年心理学,lao'nian'xin'li'xue
老年性精神病,lao'nian'xing'jing'shen'bing
老年医学,lao'nian'yi'xue
劳资关系,lao'zi'guan'xi
勒温的意向活动理论,le'wen'de'yi'xiang'huo'dong'li'lun
类比,lei'bi
类似联想,lei'si'lian'xiang
类似律,lei'si'lv
雷斯特的道德心理模型,lei'si'te'de'dao'de'xin'li'mo'xing
雷文推理测验,lei'wen'tui'li'ce'yan
类型论,lei'xing'lun
冷点,leng'dian
冷环境,leng'huan'jing
冷觉,leng'jue
里比多,li'bi'duo
力比多,li'bi'duo
离差,li'cha
离差平方和,li'cha'ping'fang'he
理查森信度,li'cha'sen'xin'du
离差智商,li'cha'zhi'shang
立法心理学,li'fa'xin'li'xue
离婚,li'hun
理解,li'jie
理解策略,li'jie'ce'lue
利克特的管理系统,li'ke'te'de'guan'li'xi'tong
利克特量表,li'ke'te'liang'biao
利里人际关系表,li'li'ren'ji'guan'xi'biao
理论,li'lun
理论心理学,li'lun'xin'li'xue
理毛行为,li'mao'xing'wei
黎朋的群众心理研究,li'peng'de'qun'zhong'xin'li'yan'jiu
历时与共时模式,li'shi'yu'gong'shi'mo'shi
利他行为,li'ta'xing'wei
