阿格里斯的日记,a'ge'li'si'de'ri'ji
元素紊乱,yuan'su'wen'luan
元素印记,yuan'su'yin'ji
月光宝盒增强版,yue'guang'bao'he'zeng'qiang'ban
月神之光,yue'shen'zhi'guang
月石项链,yue'shi'xiang'lian
月影传说,yue'ying'chuan'shuo
泽克的家书,ze'ke'de'jia'shu
憎恨之粉,zeng'hen'zhi'fen
斩魂,zhan'hun
战神圣水,zhan'shen'sheng'shui
战神妥协,zhan'shen'tuo'xie
战士攻防型,zhan'shi'gong'fang'xing
战士物防型,zhan'shi'wu'fang'xing
战士物攻型,zhan'shi'wu'gong'xing
斩首者,zhan'shou'zhe
战术论文,zhan'shu'lun'wen
战争之书,zhan'zheng'zhi'shu
长老伴侣,zhang'lao'ban'lv
长老助手,zhang'lao'zhu'shou
召唤卷轴,zhao'huan'juan'zhou
招魂,zhao'hun
折翼忏悔,zhe'yi'chan'hui
镇定手镯,zhen'ding'shou'zhuo
真理圣袍,zhen'li'sheng'pao
真理战符,zhen'li'zhan'fu
正义之刃,zheng'yi'zhi'ren
指挥官,zhi'hui'guan
指挥官伴侣,zhi'hui'guan'ban'lv
治疗术,zhi'liao'shu
炙日战符,zhi'ri'zhan'fu
执事官,zhi'shi'guan
执事官伴侣,zhi'shi'guan'ban'lv
执事官助手,zhi'shi'guan'zhu'shou
执行官,zhi'xing'guan
执政官,zhi'zheng'guan
执政官伴侣,zhi'zheng'guan'ban'lv
执政官助手,zhi'zheng'guan'zhu'shou
重剑,zhong'jian
重力束缚,zhong'li'shu'fu
中魔药,zhong'mo'yao
中血药,zhong'xue'yao
祝福卷,zhu'fu'juan
瞩目慈爱,zhu'mu'ci'ai
诸神印记,zhu'shen'yin'ji
专横战符,zhuan'heng'zhan'fu
转瞬千年,zhuan'shun'qian'nian
装备鉴定卷轴,zhuang'bei'jian'ding'juan'zhou
浊玉裂纹,zhuo'yu'lie'wen
紫电风暴,zi'dian'feng'bao
紫晶项链,zi'jing'xiang'lian
紫色占卜,zi'se'zhan'bu
资深帮众,zi'shen'bang'zhong
资深弟子,zi'shen'di'zi
资深会员,zi'shen'hui'yuan
资深团员,zi'shen'tuan'yuan
紫心刀,zi'xin'dao
自由象征,zi'you'xiang'zheng
总管伴侣,zong'guan'ban'lv
祖母教诲,zu'mu'jiao'hui
祖母魔光,zu'mu'mo'guang
诅咒之叶,zu'zhou'zhi'ye
诅咒之杖,zu'zhou'zhi'zhang
钻石项链,zuan'shi'xiang'lian
罪与恶,zui'yu'e
尊者,zun'zhe
尊者伴侣,zun'zhe'ban'lv
座骑禁锢,zuo'qi'jin'gu
