阿姨,a'yi
多好啊,duo'hao'a
多和大家,duo'he'da'jia
多花兰,duo'hua'lan
多交流,duo'jiao'liu
多看,duo'kan
多了,duo'le
多了一条路,duo'le'yi'tiao'lu
多联系,duo'lian'xi
多留言,duo'liu'yan
多年生,duo'nian'sheng
多少,duo'shao
多少分,duo'shao'fen
多少钱,duo'shao'qian
多少人,duo'shao'ren
多少套,duo'shao'tao
多少银子,duo'shao'yin'zi
多少银子吗,duo'shao'yin'zi'ma
多是,duo'shi
多为醋,duo'wei'cu
多为钱,duo'wei'qian
多谢,duo'xie
多谢了,duo'xie'le
多样,duo'yang
多样性,duo'yang'xing
多页,duo'ye
躲在,duo'zai
多在网上,duo'zai'wang'shang
多种,duo'zhong
额外,e'wai
鹅掌材,e'zhang'cai
恩爱,en'ai
恩恩爱爱,en'en'ai'ai
二八,er'ba
二次抽样,er'ci'chou'yang
二次取样,er'ci'qu'yang
而非,er'fei
二分法,er'fen'fa
而合乎,er'he'hu
耳机,er'ji
二姐叫,er'jie'jiao
而来,er'lai
二楼,er'lou
而且,er'qie
儿山,er'shan
而是,er'shi
而言,er'yan
而已,er'yi
儿子,er'zi
发表,fa'biao
发布,fa'bu
发财,fa'cai
发车,fa'che
发愁,fa'chou
发出来,fa'chu'lai
发错,fa'cuo
发错了,fa'cuo'le
发达,fa'da
发大水,fa'da'shui
伐倒,fa'dao
发到,fa'dao
发到邮箱,fa'dao'you'xiang
发的,fa'de
发的钱,fa'de'qian
发电,fa'dian
发短信,fa'duan'xin
法多,fa'duo
发多少,fa'duo'shao
发多少银,fa'duo'shao'yin
发放,fa'fang
发给,fa'gei
发给你,fa'gei'ni
发给我,fa'gei'wo
发给我吧,fa'gei'wo'ba
发过,fa'guo
法国,fa'guo
发过来,fa'guo'lai
发过来吧,fa'guo'lai'ba
发过去的文件,fa'guo'qu'de'wen'jian
法国人,fa'guo'ren
伐后,fa'hou
伐后林,fa'hou'lin
发货,fa'huo
发来,fa'lai
发来的,fa'lai'de
发来的文件,fa'lai'de'wen'jian
发了,fa'le
发了一张,fa'le'yi'zhang
法律,fa'lv
伐木,fa'mu
发票,fa'piao
发射,fa'she
发声,fa'sheng
发生,fa'sheng
发送,fa'song
发送不成功,fa'song'bu'cheng'gong
发送了,fa'song'le
发现,fa'xian
发信息,fa'xin'xi
发言人,fa'yan'ren
发一次,fa'yi'ci
发一点,fa'yi'dian
发一份,fa'yi'fen
发一篇,fa'yi'pian
发一下,fa'yi'xia
发邮件,fa'you'jian
发邮件了,fa'you'jian'le
发育,fa'yu
发展,fa'zhan
发展趋势,fa'zhan'qu'shi
发张,fa'zhang
翻白叶,fan'bai'ye
番茄酱,fan'qie'jiang
凡人,fan'ren
烦人,fan'ren
凡是,fan'shi
反偷拍,fan'tou'pai
范围,fan'wei
范围内,fan'wei'nei
反应,fan'ying
反正,fan'zheng
反正好好,fan'zheng'hao'hao
妨碍,fang'ai
方便,fang'bian
方便很多,fang'bian'hen'duo
方差分析,fang'cha'fen'xi
放大,fang'da
放到,fang'dao
放点水区,fang'dian'shui'qu
方法,fang'fa
放放水,fang'fang'shui
放个假,fang'ge'jia
防火墙,fang'huo'qiang
房间,fang'jian
访军,fang'jun
房客,fang'ke
芳龄,fang'ling
方面,fang'mian
方面的,fang'mian'de
放你那儿,fang'ni'na'er
方式,fang'shi
放肆,fang'si
放松,fang'song
方伟,fang'wei
方位,fang'wei
访问,fang'wen
放系,fang'xi
方显,fang'xian
芳香,fang'xiang
方向,fang'xiang
芳香石豆兰,fang'xiang'shi'dou'lan
放心,fang'xin
放在,fang'zai
放在野外,fang'zai'ye'wai
方正,fang'zheng
防止,fang'zhi
房子,fang'zi
非常,fei'chang
非常想念,fei'chang'xiang'nian
非常有限,fei'chang'you'xian
费城,fei'cheng
飞船,fei'chuan
非得,fei'dei
飞过去,fei'guo'qu
飞机,fei'ji
飞机票,fei'ji'piao
费劲,fei'jin
费口舌,fei'kou'she
飞艇,fei'ting
费用,fei'yong
非政府组织,fei'zheng'fu'zu'zhi
分吧,fen'ba
分别,fen'bie
分布,fen'bu
分布格局,fen'bu'ge'ju
分不清楚,fen'bu'qing'chu
分布有,fen'bu'you
分成,fen'cheng
分到,fen'dao
奋斗,fen'dou
分号,fen'hao
分化,fen'hua
分几种,fen'ji'zhong
分解,fen'jie
分阶段,fen'jie'duan
分科,fen'ke
分类,fen'lei
分了,fen'liao
分期付款,fen'qi'fu'kuan
分区,fen'qu
分手,fen'shou
分数,fen'shu
分属于,fen'shu'yu
分水岭,fen'shui'ling
分为,fen'wei
分为二,fen'wei'er
分析,fen'xi
粉也可以,fen'ye'ke'yi
纷争,fen'zheng
分钟,fen'zhong
分子,fen'zi
份作业,fen'zuo'ye
封底,feng'di
丰富,feng'fu
丰富的,feng'fu'de
丰富度,feng'fu'du
风干的,feng'gan'de
丰户营,feng'hu'ying
凤凰网,feng'huang'wang
疯了,feng'le
凤梨科,feng'li'ke
封楼,feng'lou
风水,feng'shui
丰台西,feng'tai'xi
风油精,feng'you'jing
丰腴,feng'yu
附带,fu'dai
付的款,fu'de'kuan
覆盖面积,fu'gai'mian'ji
付给你,fu'gei'ni
符合,fu'he
附件,fu'jian
附件中,fu'jian'zhong
富姐,fu'jie
附近,fu'jin
茀蕨,fu'jue
父母,fu'mu
富人,fu'ren
福山,fu'shan
附上,fu'shang
俯身,fu'shen
附生,fu'sheng
伏生,fu'sheng
复生的,fu'sheng'de
附生兰,fu'sheng'lan
伏生石豆兰,fu'sheng'shi'dou'lan
匐生石豆兰,fu'sheng'shi'dou'lan
附生苔藓,fu'sheng'tai'xian
附生维管,fu'sheng'wei'guan
附生维管植物,fu'sheng'wei'guan'zhi'wu
副生在,fu'sheng'zai
附生植物,fu'sheng'zhi'wu
附生子午,fu'sheng'zi'wu
斧头,fu'tou
服务,fu'wu
服务器,fu'wu'qi
复习,fu'xi
负心,fu'xin
辅业,fu'ye
副业,fu'ye
辅以,fu'yi
复印,fu'yin
复印封皮,fu'yin'feng'pi
复印件,fu'yin'jian
付银子,fu'yin'zi
复杂,fu'za
负责,fu'ze
复制,fu'zhi
复制下来,fu'zhi'xia'lai
复制这个文件夹,fu'zhi'zhe'ge'wen'jian'jia
腐殖质,fu'zhi'zhi
辅助,fu'zhu
附主,fu'zhu
附着,fu'zhuo
副总统,fu'zong'tong
轧空,ga'kong
改变主意,gai'bian'zhu'yi
改不了,gai'bu'liao
该吃,gai'chi
该吃法,gai'chi'fa
该吃饭了,gai'chi'fan'le
该吃就吃,gai'chi'jiu'chi
盖得章,gai'de'zhang
该地,gai'di
该地区,gai'di'qu
盖度,gai'du
改行,gai'hang
该喝,gai'he
该花就会,gai'hua'jiu'hui
该棵树,gai'ke'shu
概况,gai'kuang
改了以后,gai'le'yi'hou
盖了以后,gai'le'yi'hou
概念,gai'nian
改善,gai'shan
盖上私人专用章,gai'shang'si'ren'zhuan'yong'zhang
该树,gai'shu
概述,gai'shu
该弹出来的,gai'tan'chu'lai'de
改天,gai'tian
改天再聊,gai'tian'zai'liao
改天再料,gai'tian'zai'liao
该消息,gai'xiao'xi
改一下,gai'yi'xia
改造,gai'zao
干部,gan'bu
感到,gan'dao
甘夫人,gan'fu'ren
感哈,gan'ha
干旱,gan'han
干好自己的,gan'hao'zi'ji'de
敢恨敢爱,gan'hen'gan'ai
赶集,gan'ji
干季,gan'ji
干季和湿季,gan'ji'he'shi'ji
感觉,gan'jue
感觉不对头,gan'jue'bu'dui'tou
感觉还不错,gan'jue'hai'bu'cuo
感觉怎么样,gan'jue'zen'me'yang
赶快,gan'kuai
干流,gan'liu
干扰,gan'rao
干啥,gan'sha
干啥呢,gan'sha'ne
干什么,gan'shen'me
干什么去,gan'shen'me'qu
干什么去了,gan'shen'me'qu'le
干湿重,gan'shi'zhong
感谢,gan'xie
甘兴,gan'xing
干重,gan'zhong
杆子,gan'zi
刚才,gang'cai
刚刚,gang'gang
钢管,gang'guan
高材生,gao'cai'sheng
高达,gao'da
高档,gao'dang
高的吧,gao'de'ba
搞得不错了,gao'de'bu'cuo'le
搞得很好,gao'de'hen'hao
高等,gao'deng
高等植物,gao'deng'zhi'wu
高点,gao'dian
搞点,gao'dian
搞点东西,gao'dian'dong'xi
高度,gao'du
高多了,gao'duo'le
高多少银子,gao'duo'shao'yin'zi
高高,gao'gao
搞个,gao'ge
搞个东西,gao'ge'dong'xi
搞过的人,gao'guo'de'ren
搞好关系,gao'hao'guan'xi
搞好规划的,gao'hao'gui'hua'de
高级,gao'ji
高级森林,gao'ji'sen'lin
高级搜索,gao'ji'sou'suo
高价格,gao'jia'ge
高就,gao'jiu
搞了块地,gao'le'kuai'di
高山,gao'shan
高升,gao'sheng
告诉,gao'su
告诉你,gao'su'ni
告诉我,gao'su'wo
告诉我一下,gao'su'wo'yi'xia
镐头,gao'tou
高效,gao'xiao
高校,gao'xiao
高血压,gao'xue'ya
搞一个吧,gao'yi'ge'ba
高一级,gao'yi'ji
搞医学,gao'yi'xue
搞这个,gao'zhe'ge
高枝剪,gao'zhi'jian
高中,gao'zhong
高中吗,gao'zhong'ma
高中也普遍,gao'zhong'ye'pu'bian
告状,gao'zhuang
隔壁,ge'bi
个博士,ge'bo'shi
个电话,ge'dian'hua
哥哥,ge'ge
各个人,ge'ge'ren
格局,ge'ju
隔开,ge'kai
隔离,ge'li
个连接,ge'lian'jie
个两,ge'liang
哥们,ge'men
革命,ge'ming
个人,ge'ren
个人的,ge'ren'de
个人资料里面,ge'ren'zi'liao'li'mian
格式,ge'shi
个体,ge'ti
个体数,ge'ti'shu
各种,ge'zhong
给别人,gei'bie'ren
给出,gei'chu
给的,gei'de
给个,gei'ge
给家,gei'jia
给你,gei'ni
给她,gei'ta
给他噶,gei'ta'ga
给我,gei'wo
给邮寄,gei'you'ji
根被,gen'bei
根茎,gen'jing
根据,gen'ju
根系,gen'xi
跟着,gen'zhe
根状茎,gen'zhuang'jing
更不会,geng'bu'hui
更不想,geng'bu'xiang
更好地,geng'hao'de
更为重要,geng'wei'zhong'yao
更新,geng'xin
更新关了,geng'xin'guan'le
工厂,gong'chang
工程,gong'cheng
公费,gong'fei
公分,gong'fen
功夫小子,gong'fu'xiao'zi
供货商,gong'huo'shang
公交,gong'jiao
工具,gong'ju
功能,gong'neng
功能群,gong'neng'qun
工人,gong'ren
公式,gong'shi
公司,gong'si
共同,gong'tong
共同发生的,gong'tong'fa'sheng'de
共享,gong'xiang
共享一下,gong'xiang'yi'xia
龚询,gong'xun
工业的,gong'ye'de
公益,gong'yi
供应,gong'ying
公章,gong'zhang
公主,gong'zhu
工资,gong'zi
工作,gong'zuo
工作餐,gong'zuo'can
工作出色,gong'zuo'chu'se
工作的消息,gong'zuo'de'xiao'xi
工作了,gong'zuo'le
狗不要了,gou'bu'yao'le
够吃饭,gou'chi'fan
够改不了吃屎,gou'gai'bu'liao'chi'shi
沟谷,gou'gu
构建,gou'jian
购买,gou'mai
购买方法,gou'mai'fang'fa
购买来,gou'mai'lai
钩石斛,gou'shi'hu
沟石斛,gou'shi'hu
够她,gou'ta
沟通,gou'tong
沟通协议啊,gou'tong'xie'yi'a
沟通一下,gou'tong'yi'xia
购物,gou'wu
购物车,gou'wu'che
狗芽,gou'ya
狗牙花,gou'ya'hua
构造,gou'zao
够自己,gou'zi'ji
顾得上,gu'de'shang
古董,gu'dong
古怪,gu'guai
估计,gu'ji
估计是,gu'ji'shi
估计也,gu'ji'ye
估计也唬不住人了,gu'ji'ye'hu'bu'zhu'ren'le
故男孤女,gu'nan'gu'nv
故弄玄虚,gu'nong'xuan'xu
骨牌,gu'pai
骨牌蕨,gu'pai'jue
古热带,gu're'dai
雇人,gu'ren
孤身,gu'shen
骨碎补,gu'sui'bu
骨碎补科,gu'sui'bu'ke
雇佣了,gu'yong'le
故障,gu'zhang
挂钩,gua'gou
挂牌,gua'pai
刮下的苔藓,gua'xia'de'tai'xian
怪不得,guai'bu'de
怪了,guai'le
关闭,guan'bi
冠层,guan'ceng
观察,guan'cha
观点,guan'dian
关键,guan'jian
关键是,guan'jian'shi
管理,guan'li
管理员,guan'li'yuan
关门,guan'men
灌水,guan'shui
关系,guan'xi
关心,guan'xin
关心你,guan'xin'ni
关于,guan'yu
关羽,guan'yu
关于环境,guan'yu'huan'jing
贯众,guan'zhong
管住不管吃,guan'zhu'bu'guan'chi
广东,guang'dong
广东植物志,guang'dong'zhi'wu'zhi
广福,guang'fu
广告,guang'gao
逛逛,guang'guang
逛街,guang'jie
广路,guang'lu
光盘,guang'pan
光线,guang'xian
光叶灰,guang'ye'hui
光叶灰木,guang'ye'hui'mu
光叶山矾,guang'ye'shan'fan
光照,guang'zhao
光照好,guang'zhao'hao
广州,guang'zhou
规定,gui'ding
规划,gui'hua
归结为,gui'jie'wei
鬼金额,gui'jin'e
规律,gui'lv
归属地,gui'shu'de
贵在中庸,gui'zai'zhong'yong
规则,gui'ze
贵族,gui'zu
国宾馆,guo'bin'guan
过不了,guo'bu'liao
过程,guo'cheng
过的,guo'de
过得不错,guo'de'bu'cuo
过冬,guo'dong
过好哦,guo'hao'o
过后,guo'hou
过后再,guo'hou'zai
国际,guo'ji
过几年,guo'ji'nian
国家,guo'jia
过节,guo'jie
过节好,guo'jie'hao
过节好啊,guo'jie'hao'a
过节了,guo'jie'le
过刊,guo'kan
国科,guo'ke
过来,guo'lai
过来说,guo'lai'shuo
过来玩,guo'lai'wan
过了,guo'le
过了今天,guo'le'jin'tian
国立,guo'li
过了关就行,guo'liao'guan'jiu'xing
国内,guo'nei
过期,guo'qi
过去,guo'qu
果然,guo'ran
果实,guo'shi
过疏,guo'shu
国外,guo'wai
郭伟,guo'wei
过一点时间,guo'yi'dian'shi'jian
过一段时间,guo'yi'duan'shi'jian
过中秋节,guo'zhong'qiu'jie
过周末,guo'zhou'mo
国柱,guo'zhu
哈佛,ha'fo
哈哈,ha'ha
哈好,ha'hao
哈市,ha'shi
海岸,hai'an
海拔,hai'ba
还比较好,hai'bi'jiao'hao
海波,hai'bo
还不,hai'bu
还不粗,hai'bu'cu
还不错,hai'bu'cuo
还不错啊,hai'bu'cuo'a
还不结婚,hai'bu'jie'hun
还不清楚,hai'bu'qing'chu
还不太了解,hai'bu'tai'liao'jie
还不太习惯,hai'bu'tai'xi'guan
还不午休去,hai'bu'wu'xiu'qu
还不知道,hai'bu'zhi'dao
还出差,hai'chu'chai
还得,hai'dei
还得两年,hai'dei'liang'nian
海淀,hai'dian
海淀区,hai'dian'qu
还读硕士,hai'du'shuo'shi
海归,hai'gui
还好,hai'hao
还好吧,hai'hao'ba
还好吗,hai'hao'ma
还很多,hai'hen'duo
还很热,hai'hen're
还会,hai'hui
还会有,hai'hui'you
还记得,hai'ji'de
还几率,hai'ji'lv
海角,hai'jiao
海角七号,hai'jiao'qi'hao
还考博,hai'kao'bo
还可以,hai'ke'yi
海口,hai'kou
还联系,hai'lian'xi
海龙,hai'long
还没有,hai'mei'you
还没有到哪一步,hai'mei'you'dao'na'yi'bu
还没有定下来,hai'mei'you'ding'xia'lai
还没有开,hai'mei'you'kai
还没有开通,hai'mei'you'kai'tong
还没有签协议,hai'mei'you'qian'xie'yi
还没有签约,hai'mei'you'qian'yue
还没有去过呢,hai'mei'you'qu'guo'ne
还没有下班,hai'mei'you'xia'ban
还没有找呢,hai'mei'you'zhao'ne
还拿,hai'na
海南,hai'nan
海南霸王岭,hai'nan'ba'wang'ling
海南白椎,hai'nan'bai'zhui
海南出差,hai'nan'chu'chai
海南岛,hai'nan'dao
海南匙唇兰,hai'nan'shi'chun'lan
海南杨桐,hai'nan'yang'tong
海南樟,hai'nan'zhang
海南这边,hai'nan'zhe'bian
海南植物志,hai'nan'zhi'wu'zhi
还能,hai'neng
还能不能,hai'neng'bu'neng
还亲,hai'qin
还是,hai'shi
还是比较,hai'shi'bi'jiao
还是不行,hai'shi'bu'xing
还是出去,hai'shi'chu'qu
还是很不错哦,hai'shi'hen'bu'cuo'o
还是很快的,hai'shi'hen'kuai'de
还是没有,hai'shi'mei'you
害死,hai'si
还挺快,hai'ting'kuai
还想,hai'xiang
还小,hai'xiao
还行,hai'xing
还需要,hai'xu'yao
还要,hai'yao
还要出海,hai'yao'chu'hai
还要拍,hai'yao'pai
还以为,hai'yi'wei
嗨哟,hai'yo
还用,hai'yong
还用客套,hai'yong'ke'tao
还有,hai'you
还有点用,hai'you'dian'yong
还有个,hai'you'ge
还有了房子,hai'you'le'fang'zi
还有吗,hai'you'ma
还有没有,hai'you'mei'you
还有没有其他,hai'you'mei'you'qi'ta
还有没有说其他,hai'you'mei'you'shuo'qi'ta
还有哦,hai'you'o
还有人,hai'you'ren
还有三年,hai'you'san'nian
还有一个,hai'you'yi'ge
还有一小会,hai'you'yi'xiao'hui
还在,hai'zai
还在海南,hai'zai'hai'nan
还在和别人聊天,hai'zai'he'bie'ren'liao'tian
还在吗,hai'zai'ma
还在上学,hai'zai'shang'xue
还在线,hai'zai'xian
还真的有希望,hai'zhen'de'you'xi'wang
还真能下载,hai'zhen'neng'xia'zai
还整天,hai'zheng'tian
还重要,hai'zhong'yao
还准备考博,hai'zhun'bei'kao'bo
孩子,hai'zi
还做点,hai'zuo'dian
韩国,han'guo
含量,han'liang
函评,han'ping
含水量,han'shui'liang
汉献帝,han'xian'di
韩星国,han'xing'guo
韩雪,han'xue
含有,han'you
航空,hang'kong
行业,hang'ye
好啊,hao'a
好吧,hao'ba
好不少,hao'bu'shao
好长,hao'chang
好吃,hao'chi
好处,hao'chu
好的,hao'de
好得多,hao'de'duo
好的话,hao'de'hua
好的噢,hao'de'o
好东西,hao'dong'xi
好东西的,hao'dong'xi'de
好多,hao'duo
好多人,hao'duo'ren
好多问题,hao'duo'wen'ti
好饿,hao'e
好福气,hao'fu'qi
好管理,hao'guan'li
好过多了,hao'guo'duo'le
好哈,hao'ha
好孩子,hao'hai'zi
好好,hao'hao
好好哦啊,hao'hao'o'a
好好休息,hao'hao'xiu'xi
好好整,hao'hao'zheng
好记,hao'ji
好几个,hao'ji'ge
好几个人呢,hao'ji'ge'ren'ne
好几级,hao'ji'ji
好几年,hao'ji'nian
好几篇,hao'ji'pian
好几天,hao'ji'tian
好几天饿,hao'ji'tian'e
好几种,hao'ji'zhong
好久,hao'jiu
好久不见,hao'jiu'bu'jian
好了,hao'le
号码,hao'ma
好吗,hao'ma
好慢,hao'man
好人,hao'ren
毫升,hao'sheng
好事,hao'shi
好说,hao'shuo
好玩,hao'wan
好像,hao'xiang
好笑,hao'xiao
郝小将,hao'xiao'jiang
好些,hao'xie
好学,hao'xue
好一点,hao'yi'dian
好用,hao'yong
好友,hao'you
好晕,hao'yun
号召,hao'zhao
好找,hao'zhao
耗着,hao'zhe
河北,he'bei
河北人,he'bei'ren
河边,he'bian
合并,he'bing
合成,he'cheng
何处,he'chu
喝点,he'dian
和好,he'hao
呵呵,he'he
合计,he'ji
合集,he'ji
河流,he'liu
荷木,he'mu
和你,he'ni
和你们,he'ni'men
和商丘,he'shang'qiu
喝生水,he'sheng'shui
合适,he'shi
核实,he'shi
和谁,he'shui
喝水,he'shui
核桃苗,he'tao'miao
合同,he'tong
和谐,he'xie
核心,he'xin
核心区,he'xin'qu
核型,he'xing
禾叶兰,he'ye'lan
何音,he'yin
合影,he'ying
合影了,he'ying'le
菏泽,he'ze
合作,he'zuo
黑岭,hei'ling
黑毛,hei'mao
黑毛石斛,hei'mao'shi'hu
黑屏,hei'ping
很不错,hen'bu'cuo
很不错吧,hen'bu'cuo'ba
很不错哦,hen'bu'cuo'o
很不方便,hen'bu'fang'bian
很不好受啊,hen'bu'hao'shou'a
很差,hen'cha
很长,hen'chang
很大,hen'da
很大啊,hen'da'a
很地道,hen'di'dao
很多,hen'duo
很多啊,hen'duo'a
很多笔记,hen'duo'bi'ji
很烦人,hen'fan'ren
很方便,hen'fang'bian
很复杂,hen'fu'za
很高,hen'gao
很高的,hen'gao'de
很哈,hen'ha
很好,hen'hao
很好啊,hen'hao'a
很好看,hen'hao'kan
很好哦,hen'hao'o
很好写,hen'hao'xie
很好找,hen'hao'zhao
很会,hen'hui
很积极,hen'ji'ji
很机灵,hen'ji'ling
很近,hen'jin
很近不见,hen'jin'bu'jian
很久,hen'jiu
很久不,hen'jiu'bu
很久不见,hen'jiu'bu'jian
很久不见了,hen'jiu'bu'jian'le
很久不见面,hen'jiu'bu'jian'mian
很久不来,hen'jiu'bu'lai
很开,hen'kai
很可能,hen'ke'neng
很快,hen'kuai
很累,hen'lei
很慢,hen'man
很忙,hen'mang
很美,hen'mei
很难,hen'nan
很牛皮,hen'niu'pi
很气人,hen'qi'ren
很强,hen'qiang
很清楚,hen'qing'chu
很热,hen're
很适合,hen'shi'he
很实在,hen'shi'zai
很帅,hen'shuai
很爽,hen'shuang
很现实,hen'xian'shi
很小,hen'xiao
很辛苦,hen'xin'ku
很迅速,hen'xun'su
很有,hen'you
很优厚必要,hen'you'hou'bi'yao
很优秀,hen'you'xiu
很有用,hen'you'yong
很郁闷,hen'yu'men
很重要,hen'zhong'yao
恒定,heng'ding
衡量,heng'liang
恒重,heng'zhong
红包,hong'bao
红豆,hong'dou
洪国,hong'guo
红河州,hong'he'zhou
洪家,hong'jia
红鳞蒲桃,hong'lin'pu'tao
红楼梦,hong'lou'meng
红脉,hong'mai
红毛,hong'mao
红绳,hong'sheng
红头,hong'tou
烘箱,hong'xiang
厚边木犀,hou'bian'mu'xi
厚边樨,hou'bian'xi
厚唇,hou'chun
厚唇兰,hou'chun'lan
厚度,hou'du
猴儿,hou'er
后悔,hou'hui
厚壳桂,hou'ke'gui
后来,hou'lai
后面,hou'mian
后年,hou'nian
厚皮,hou'pi
厚皮香,hou'pi'xiang
后皮箱八角,hou'pi'xiang'ba'jiao
后山,hou'shan
侯氏,hou'shi
侯氏新木姜,hou'shi'xin'mu'jiang
侯勇,hou'yong
侯振宏,hou'zhen'hong
湖北,hu'bei
蝴蝶兰,hu'die'lan
虎耳草,hu'er'cao
护肤品,hu'fu'pin
胡刚,hu'gang
胡红,hu'hong
胡椒科,hu'jiao'ke
槲蕨,hu'jue
槲蕨科,hu'jue'ke
胡军,hu'jun
户口,hu'kou
户口扩,hu'kou'kuo
互联网,hu'lian'wang
湖南,hu'nan
护士,hu'shi
护手的,hu'shou'de
护手霜,hu'shou'shuang
胡思乱想,hu'si'luan'xiang
呼吸,hu'xi
互相,hu'xiang
忽悠,hu'you
户主,hu'zhu
花车,hua'che
划船,hua'chuan
画得差不多了,hua'de'cha'bu'duo'le
花多少银子,hua'duo'shao'yin'zi
话费,hua'fei
划分,hua'fen
华峰,hua'feng
花岗岩,hua'gang'yan
花冠,hua'guan
花光了,hua'guang'le
花花绿绿,hua'hua'lv'lv
花卉,hua'hui
花梨,hua'li
华南,hua'nan
华南省藤,hua'nan'sheng'teng
华南植物园,hua'nan'zhi'wu'yuan
花盘,hua'pan
画皮,hua'pi
花钱,hua'qian
花哨,hua'shao
华石,hua'shi
华石斛,hua'shi'hu
话说,hua'shuo
华硕,hua'shuo
划算,hua'suan
划算了,hua'suan'le
话筒,hua'tong
华佗,hua'tuo
化学,hua'xue
化学的,hua'xue'de
化学分析,hua'xue'fen'xi
花芽,hua'ya
花一样,hua'yi'yang
划账过去,hua'zhang'guo'qu
化妆,hua'zhuang
化妆品,hua'zhuang'pin
坏人,huai'ren
环保局,huan'bao'ju
换成,huan'cheng
缓冲区,huan'chong'qu
幻灯片,huan'deng'pian
换个地方,huan'ge'di'fang
还给其他,huan'gei'qi'ta
换工作,huan'gong'zuo
换号码,huan'hao'ma
环境,huan'jing
环境那个,huan'jing'na'ge
环境学院,huan'jing'xue'yuan
换了,huan'le
换了没有,huan'le'mei'you
换牛奶木,huan'niu'nai'mu
环绕,huan'rao
欢迎,huan'ying
环游世界,huan'you'shi'jie
黄盖,huang'gai
黄花,huang'hua
黄己,huang'ji
黄金,huang'jin
黄牛奶,huang'niu'nai
黄桤,huang'qi
黄色,huang'se
黄网,huang'wang
回报,hui'bao
汇报,hui'bao
会不会,hui'bu'hui
回到,hui'dao
会放到,hui'fang'dao
恢复,hui'fu
回归,hui'gui
回过家,hui'guo'jia
会好一点,hui'hao'yi'dian
回家,hui'jia
回家啊,hui'jia'a
汇款,hui'kuan
回昆明,hui'kun'ming
回来,hui'lai
回来的,hui'lai'de
灰木,hui'mu
汇钱,hui'qian
回去,hui'qu
回去了,hui'qu'le
回事,hui'shi
回头,hui'tou
回头再看,hui'tou'zai'kan
回头再俩,hui'tou'zai'liang
回头再聊,hui'tou'zai'liao
回头再料,hui'tou'zai'liao
回头再聊吧,hui'tou'zai'liao'ba
绘图,hui'tu
会写,hui'xie
会养,hui'yang
会议,hui'yi
会有,hui'you
会有什么,hui'you'shen'me
会员,hui'yuan
绘制,hui'zhi
汇总,hui'zong
回走,hui'zou
混得不错,hun'de'bu'cuo
混合,hun'he
婚纱,hun'sha
婚纱照,hun'sha'zhao
婚姻,hun'yin
火车票的,huo'che'piao'de
火车站,huo'che'zhan
活的,huo'de
活动吗,huo'dong'ma
或多或少,huo'duo'huo'shao
火锅,huo'guo
火灰木,huo'hui'mu
火炬树,huo'ju'shu
获取,huo'qu
火烧,huo'shao
货物,huo'wu
火焰兰,huo'yan'lan
或者,huo'zhe
或者当时,huo'zhe'dang'shi
几百元,ji'bai'yuan
基本,ji'ben
基本不可能,ji'ben'bu'ke'neng
基本的,ji'ben'de
基本就,ji'ben'jiu
基本上,ji'ben'shang
级别,ji'bie
基部,ji'bu
基础,ji'chu
记错,ji'cuo
鸡蛋,ji'dan
记得,ji'de
记得吃,ji'de'chi
基地,ji'di
几房间,ji'fang'jian
几个,ji'ge
几个班,ji'ge'ban
鸡冠,ji'guan
鸡冠花,ji'guan'hua
寄过来,ji'guo'lai
几号答辩,ji'hao'da'bian
集合,ji'he
几乎,ji'hu
计划,ji'hua
机会,ji'hui
机会多,ji'hui'duo
机会好友,ji'hui'hao'you
积极,ji'ji
计较的,ji'jiao'de
几句,ji'ju
急了也没有用,ji'le'ye'mei'you'yong
计量,ji'liang
吉林,ji'lin
记录,ji'lu
几路,ji'lu
记录仪,ji'lu'yi
几率,ji'lv
寂寞,ji'mo
济南,ji'nan
几年,ji'nian
几年级,ji'nian'ji
济宁,ji'ning
济宁市,ji'ning'shi
几篇,ji'pian
机票,ji'piao
及其,ji'qi
极其,ji'qi
技巧,ji'qiao
激情,ji'qing
激情有的时候,ji'qing'you'de'shi'hou
既然,ji'ran
集生,ji'sheng
寄生,ji'sheng
寄生藤,ji'sheng'teng
及时,ji'shi
几十年,ji'shi'nian
计数,ji'shu
技术,ji'shu
集束牛角兰,ji'shu'niu'jiao'lan
技术员,ji'shu'yuan
集水,ji'shui
计算,ji'suan
计算机,ji'suan'ji
集体,ji'ti
几天,ji'tian
即为,ji'wei
记下了,ji'xia'le
迹象,ji'xiang
机型,ji'xing
畸形,ji'xing
继续,ji'xu
记一下,ji'yi'xia
基因,ji'yin
季雨林,ji'yu'lin
鸡占,ji'zhan
几张,ji'zhang
鸡掌蕨,ji'zhang'jue
基质,ji'zhi
机制,ji'zhi
寄主,ji'zhu
记住了,ji'zhu'le
记作一个,ji'zuo'yi'ge
嘉赐,jia'ci
嘉道理,jia'dao'li
假的,jia'de
加的,jia'de
假茀蕨,jia'fu'jue
加盖,jia'gai
价格,jia'ge
夹攻,jia'gong
加过,jia'guo
假果实,jia'guo'shi
嫁汉嫁汉,jia'han'jia'han
贾宏伟,jia'hong'wei
嘉惠,jia'hui
家伙,jia'huo
嫁给,jia'ji
嘉君,jia'jun
家里,jia'li
家里都是,jia'li'dou'shi
家里还有,jia'li'hai'you
家里吗,jia'li'ma
家里热吗,jia'li're'ma
家里人,jia'li'ren
