爱国主义,ai'guo'zhu'yi
行政管理,xing'zheng'guan'li
行政管理体制,xing'zheng'guan'li'ti'zhi
兄弟部队,xiong'di'bu'dui
许多哲学家,xu'duo'zhe'xue'jia
学榜样,xue'bang'yang
学习交流,xue'xi'jiao'liu
学习实践活动成果,xue'xi'shi'jian'huo'dong'cheng'guo
荀卿,xun'qing
勋章,xun'zhang
荀子,xun'zi
压案不查,ya'an'bu'cha
研究决定,yan'jiu'jue'ding
严峻的国际形势,yan'jun'de'guo'ji'xing'shi
业务精通,ye'wu'jing'tong
以背离人民为耻,yi'bei'li'ren'min'wei'chi
以诚实信用为荣,yi'cheng'shi'xin'yong'wei'rong
以崇尚科学为荣,yi'chong'shang'ke'xue'wei'rong
一等功,yi'deng'gong
一二九师,yi'er'jiu'shi
一二零师,yi'er'ling'shi
一二师,yi'er'shi
以罚代刑,yi'fa'dai'xing
依法治国,yi'fa'zhi'guo
以法治民,yi'fa'zhi'min
依法执政,yi'fa'zhi'zheng
一方面军,yi'fang'mian'jun
以服务人民为荣,yi'fu'wu'ren'min'wei'rong
一个中心,yi'ge'zhong'xin
一国可使齐,yi'guo'ke'shi'qi
以好逸恶劳为耻,yi'hao'yi'wu'lao'wei'chi
以艰苦奋斗为荣,yi'jian'ku'fen'dou'wei'rong
以见利忘义为耻,yi'jian'li'wang'yi'wei'chi
以骄奢淫逸为耻,yi'jiao'she'yin'yi'wei'chi
以经济建设为中心,yi'jing'ji'jian'she'wei'zhong'xin
依靠的,yi'kao'de
依靠群众,yi'kao'qun'zhong
一派以,yi'pai'yi
一派以商鞅为首,yi'pai'yi'shang'yang'wei'shou
一派以申不害为首,yi'pai'yi'shen'bu'hai'wei'shou
一切缴获要归公,yi'qie'jiao'huo'yao'gui'gong
一切行动听指挥,yi'qie'xing'dong'ting'zhi'hui
以权谋私办案,yi'quan'mou'si'ban'an
以热爱祖国为荣,yi're'ai'zu'guo'wei'rong
以人为本,yi'ren'wei'ben
以损人利己为耻,yi'sun'ren'li'ji'wei'chi
以团结互助为荣,yi'tuan'jie'hu'zhu'wei'rong
亿万人民心中,yi'wan'ren'min'xin'zhong
以违法乱纪为耻,yi'wei'fa'luan'ji'wei'chi
以危害祖国为耻,yi'wei'hai'zu'guo'wei'chi
一先两优,yi'xian'liang'you
以辛勤劳动为荣,yi'xin'qin'lao'dong'wei'rong
依循过去经验的,yi'xun'guo'qu'jing'yan'de
一一五师,yi'yi'wu'shi
以愚昧无知为耻,yi'yu'mei'wu'zhi'wei'chi
一种共同点,yi'zhong'gong'tong'dian
以遵纪守法为荣,yi'zun'ji'shou'fa'wei'rong
因此只能,yin'ci'zhi'neng
殷切希望,yin'qie'xi'wang
因为之备,yin'wei'zhi'bei
因循以督责臣下,yin'xun'yi'du'ze'chen'xia
影响未来,ying'xiang'wei'lai
英雄模范奖章,ying'xiong'mo'fan'jiang'zhang
应着眼于,ying'zhuo'yan'yu
拥军优属,yong'jun'you'shu
用人不得为非,yong'ren'bu'de'wei'fei
拥有权势,yong'you'quan'shi
勇于开拓,yong'yu'kai'tuo
拥政爱民,yong'zheng'ai'min
拥政爱民月,yong'zheng'ai'min'yue
有案不办,you'an'bu'ban
有案不立,you'an'bu'li
优化公共资源配置,you'hua'gong'gong'zi'yuan'pei'zhi
优化检察职能配置,you'hua'jian'cha'zhi'neng'pei'zhi
优化结构,you'hua'jie'gou
忧患意识,you'huan'yi'shi
有较大的影响,you'jiao'da'de'ying'xiang
友军,you'jun
有什么经验,you'shen'me'jing'yan
有一些人,you'yi'xie'ren
有一种对,you'yi'zhong'dui
有罪不究,you'zui'bu'jiu
有罪判无罪,you'zui'pan'wu'zui
遇到新事,yu'dao'xin'shi
预防为主,yu'fang'wei'zhu
舆论氛围,yu'lun'fen'wei
与普通百姓,yu'pu'tong'bai'xing
与威势,yu'wei'shi
院党组,yuan'dang'zu
援引比周文王周公更古老的夏禹,yuan'yin'bi'zhou'wen'wang'zhou'gong'geng'gu'lao'de'xia'yu
援引古代,yuan'yin'gu'dai
原有的僵硬界限,yuan'you'de'jiang'ying'jie'xian
在我省考察工作,zai'wo'sheng'kao'cha'gong'zuo
在西周,zai'xi'zhou
责任意识,ze'ren'yi'shi
则是一些,ze'shi'yi'xie
怎样谋求,zen'yang'mou'qiu
增加社会物质财富,zeng'jia'she'hui'wu'zhi'cai'fu
战场鼓动,zhan'chang'gu'dong
战场纪律,zhan'chang'ji'lv
战场快报,zhan'chang'kuai'bao
战地群众工作,zhan'di'qun'zhong'gong'zuo
战斗动员,zhan'dou'dong'yuan
战斗队,zhan'dou'dui
战斗英雄,zhan'dou'ying'xiong
战斗作风,zhan'dou'zuo'feng
战国末年,zhan'guo'mo'nian
战国七雄之中,zhan'guo'qi'xiong'zhi'zhong
战国时,zhan'guo'shi
战略思维,zhan'lue'si'wei
战评,zhan'ping
战时政治工作,zhan'shi'zheng'zhi'gong'zuo
张耕,zhang'geng
找差距,zhao'cha'ju
赵忠,zhao'zhong
这对后世,zhe'dui'hou'shi
这就构成了,zhe'jiu'gou'cheng'le
这就是三家的,zhe'jiu'shi'san'jia'de
这是徒劳的,zhe'shi'tu'lao'de
哲学流派,zhe'xue'liu'pai
哲学流派中,zhe'xue'liu'pai'zhong
这在春秋五霸,zhe'zai'chun'qiu'wu'ba
针对贵族,zhen'dui'gui'zu
针对普通百姓,zhen'dui'pu'tong'bai'xing
政法队伍,zheng'fa'dui'wu
政法干部队伍,zheng'fa'gan'bu'dui'wu
政法工作,zheng'fa'gong'zuo
政法机关,zheng'fa'ji'guan
政法战线,zheng'fa'zhan'xian
政论家,zheng'lun'jia
政论文,zheng'lun'wen
政权意识,zheng'quan'yi'shi
正确道路,zheng'que'dao'lu
正确方向,zheng'que'fang'xiang
政协监督,zheng'xie'jian'du
政治处,zheng'zhi'chu
政治动员,zheng'zhi'dong'yuan
政治动员令,zheng'zhi'dong'yuan'ling
政治攻势,zheng'zhi'gong'shi
政治工作方法,zheng'zhi'gong'zuo'fang'fa
政治工作方针,zheng'zhi'gong'zuo'fang'zhen
整治工作理论,zheng'zhi'gong'zuo'li'lun
整治工作三大原则,zheng'zhi'gong'zuo'san'da'yuan'ze
政治工作条例,zheng'zhi'gong'zuo'tiao'li
政治工作原则,zheng'zhi'gong'zuo'yuan'ze
政治工作作风,zheng'zhi'gong'zuo'zuo'feng
政治基石,zheng'zhi'ji'shi
政治坚定,zheng'zhi'jian'ding
政治坚强,zheng'zhi'jian'qiang
政治建设,zheng'zhi'jian'she
政治教育,zheng'zhi'jiao'yu
政治教育准备会,zheng'zhi'jiao'yu'zhun'bei'hui
政治觉悟,zheng'zhi'jue'wu
政治可靠,zheng'zhi'ke'kao
政治民主,zheng'zhi'min'zhu
政治权术,zheng'zhi'quan'shu
政治认同,zheng'zhi'ren'tong
政治上强,zheng'zhi'shang'qiang
政治思想,zheng'zhi'si'xiang
政治体制,zheng'zhi'ti'zhi
政治委员制度,zheng'zhi'wei'yuan'zhi'du
政治问题,zheng'zhi'wen'ti
政治协商,zheng'zhi'xie'shang
政治意识,zheng'zhi'yi'shi
政治与,zheng'zhi'yu
政治主张,zheng'zhi'zhu'zhang
治当世之民,zhi'dang'shi'zhi'min
制定法律,zhi'ding'fa'lv
制度化,zhi'du'hua
执法办案流程,zhi'fa'ban'an'liu'cheng
执法不严,zhi'fa'bu'yan
执法公正,zhi'fa'gong'zheng
执法实践,zhi'fa'shi'jian
执法思想,zhi'fa'si'xiang
执法为民,zhi'fa'wei'min
执法作风,zhi'fa'zuo'feng
治国方术之中,zhi'guo'fang'shu'zhi'zhong
智慧和力量,zhi'hui'he'li'liang
之间的交往称为,zhi'jian'de'jiao'wang'cheng'wei
知难而进,zhi'nan'er'jin
知情权,zhi'qing'quan
只是当时,zhi'shi'dang'shi
直属党委,zhi'shu'dang'wei
执行困难,zhi'xing'kun'nan
执行顺畅,zhi'xing'shun'chang
只需凭借,zhi'xu'ping'jie
只需掌握,zhi'xu'zhang'wo
执政为民,zhi'zheng'wei'min
重大战略思想,zhong'da'zhan'lue'si'xiang
中共中央总书记胡锦涛,zhong'gong'zhong'yang'zong'shu'ji'hu'jin'tao
中国共产党中央军事委员会,zhong'guo'gong'chan'dang'zhong'yang'jun'shi'wei'yuan'hui
中国工农红军,zhong'guo'gong'nong'hong'jun
中国古代,zhong'guo'gu'dai
中国人大多,zhong'guo'ren'da'duo
中国人民解放军干部服役条列,zhong'guo'ren'min'jie'fang'jun'gan'bu'fu'yi'tiao'lie
中国人民解放战争,zhong'guo'ren'min'jie'fang'zhan'zheng
中国特色,zhong'guo'te'se
中国特色社会主义,zhong'guo'te'se'she'hui'zhu'yi
中国特色社会主义事业,zhong'guo'te'se'she'hui'zhu'yi'shi'ye
重品行,zhong'pin'xing
中心组,zhong'xin'zu
中央纪委三次全会,zhong'yang'ji'wei'san'ci'quan'hui
中央军委,zhong'yang'jun'wei
中央学习实践活动,zhong'yang'xue'xi'shi'jian'huo'dong
中央指导检查组,zhong'yang'zhi'dao'jian'cha'zu
重要讲话,zhong'yao'jiang'hua
重要领域,zhong'yao'ling'yu
重要意义,zhong'yao'yi'yi
重要指导方针,zhong'yao'zhi'dao'fang'zhen
重要作用,zhong'yao'zuo'yong
忠于党,zhong'yu'dang
忠于法律,zhong'yu'fa'lv
忠于国家,zhong'yu'guo'jia
忠于人民,zhong'yu'ren'min
周赧王,zhou'nan'wang
周永康,zhou'yong'kang
主持会议并讲话,zhu'chi'hui'yi'bing'jiang'hua
主动性,zhu'dong'xing
诸侯都,zhu'hou'dou
诸侯国,zhu'hou'guo
逐渐被打破,zhu'jian'bei'da'po
著名的,zhu'ming'de
主要依靠,zhu'yao'yi'kao
主张法学,zhu'zhang'fa'xue
主张在,zhu'zhang'zai
注重实际效果,zhu'zhong'shi'ji'xiao'guo
专群结合,zhuan'qun'jie'he
追记功,zhui'ji'gong
准备充分,zhun'bei'chong'fen
着力解决,zhuo'li'jie'jue
着力于执法,zhuo'li'yu'zhi'fa
自古代的,zi'gu'dai'de
自觉守法,zi'jue'shou'fa
自觉性,zi'jue'xing
自觉学法,zi'jue'xue'fa
自觉用法,zi'jue'yong'fa
自身建设,zi'shen'jian'she
自我服务,zi'wo'fu'wu
自我管理,zi'wo'guan'li
自我监督,zi'wo'jian'du
自我教育,zi'wo'jiao'yu
自由平等,zi'you'ping'deng
子又有五子,zi'you'you'wu'zi
走转改,zou'zhuan'gai
卒于,zu'yu
组织建设,zu'zhi'jian'she
组织领导,zu'zhi'ling'dao
最彻底的人民性,zui'che'di'de'ren'min'xing
最高人民检察院,zui'gao'ren'min'jian'cha'yuan
最关心,zui'guan'xin
最广大人民,zui'guang'da'ren'min
最广大人民的根本利益,zui'guang'da'ren'min'de'gen'ben'li'yi
最后出现,zui'hou'chu'xian
最普遍的公平性,zui'pu'bian'de'gong'ping'xing
最为重要,zui'wei'zhong'yao
最现实,zui'xian'shi
最有效的协调性,zui'you'xiao'de'xie'tiao'xing
最直接,zui'zhi'jie
尊干爱兵,zun'gan'ai'bing
尊王道,zun'wang'dao
遵义会议,zun'yi'hui'yi
尊重人民主体地位,zun'zhong'ren'min'zhu'ti'di'wei
做表率,zuo'biao'shuai
作风教育,zuo'feng'jiao'yu
作风优良,zuo'feng'you'liang
做好事,zuo'hao'shi
做了评价,zuo'le'ping'jia
