艾滋病,ai'zi'bing
毛发结构异常,mao'fa'jie'gou'yi'chang
毛发稀少症,mao'fa'xi'shao'zheng
毛囊炎,mao'nang'yan
毛细血管脆性增加,mao'xi'xue'guan'cui'xing'zeng'jia
毛细血管扩张,mao'xi'xue'guan'kuo'zhang
梅毒试验假阳性,mei'du'shi'yan'jia'yang'xing
酶活性异常,mei'huo'xing'yi'chang
霉菌性皮炎,mei'jun'xing'pi'yan
门静脉高压,men'jing'mai'gao'ya
梦行,meng'xing
弥漫性血管内凝血,mi'man'xing'xue'guan'nei'ning'xue
泌尿道疾病,mi'niao'dao'ji'bing
泌尿生殖器畸形,mi'niao'sheng'zhi'qi'ji'xing
面部畸形,mian'bu'ji'xing
面部水肿,mian'bu'shui'zhong
免疫球蛋白减少,mian'yi'qiu'dan'bai'jian'shao
免疫球蛋白增加,mian'yi'qiu'dan'bai'zeng'jia
免疫系统疾病,mian'yi'xi'tong'ji'bing
免疫阳性,mian'yi'yang'xing
末梢神经病,mo'shao'shen'jing'bing
末梢水肿,mo'shao'shui'zhong
磨牙,mo'ya
木僵,mu'jiang
耐受性降低,nai'shou'xing'jiang'di
耐受性增加,nai'shou'xing'zeng'jia
耐药,nai'yao
男性不育,nan'xing'bu'yu
男性会阴痛,nan'xing'hui'yin'tong
男性泌乳,nan'xing'mi'ru
男性女性化,nan'xing'nv'xing'hua
男性乳房恶性瘤,nan'xing'ru'fang'e'xing'liu
男性乳房瘤,nan'xing'ru'fang'liu
男性乳房痛,nan'xing'ru'fang'tong
男性乳腺炎,nan'xing'ru'xian'yan
男性生育力降低,nan'xing'sheng'yu'li'jiang'di
男性生殖器皮疹,nan'xing'sheng'zhi'qi'pi'zhen
男性生殖器骚痒,nan'xing'sheng'zhi'qi'sao'yang
男性诱变效应,nan'xing'you'bian'xiao'ying
男子女性型乳房,nan'zi'nv'xing'xing'ru'fang
囊下内障,nang'xia'nei'zhang
囊性纤维化,nang'xing'xian'wei'hua
囊样斑点水肿,nang'yang'ban'dian'shui'zhong
脑病,nao'bing
脑出血,nao'chu'xue
脑电图异常,nao'dian'tu'yi'chang
脑动脉血栓形成,nao'dong'mai'xue'shuan'xing'cheng
脑干病,nao'gan'bing
脑梗死,nao'geng'si
脑积水,nao'ji'shui
脑脊髓炎,nao'ji'sui'yan
脑脊髓液细胞增多,nao'ji'sui'ye'xi'bao'zeng'duo
脑脊液异常,nao'ji'ye'yi'chang
脑静脉血栓性静脉炎,nao'jing'mai'xue'shuan'xing'jing'mai'yan
脑磷脂絮状试验异常,nao'lin'zhi'xu'zhuang'shi'yan'yi'chang
脑膜脑炎,nao'mo'nao'yan
脑膜炎,nao'mo'yan
脑膨出,nao'peng'chu
脑缺氧,nao'que'yang
脑栓塞,nao'shuan'sai
脑水肿,nao'shui'zhong
脑萎缩,nao'wei'suo
脑血管病,nao'xue'guan'bing
脑血栓形成,nao'xue'shuan'xing'cheng
脑肿瘤,nao'zhong'liu
粘膜白斑病,nian'mo'bai'ban'bing
粘膜疹,nian'mo'zhen
粘液性水肿,nian'ye'xing'shui'zhong
念珠菌病,nian'zhu'jun'bing
尿崩,niao'beng
尿道病,niao'dao'bing
尿道感染,niao'dao'gan'ran
尿道畸形,niao'dao'ji'xing
尿道下裂,niao'dao'xia'lie
尿毒症,niao'du'zheng
尿毒症昏迷,niao'du'zheng'hun'mi
尿频,niao'pin
尿失禁,niao'shi'jin
尿素减少,niao'su'jian'shao
尿异常,niao'yi'chang
尿潴留,niao'zhu'liu
凝血酶原减少,ning'xue'mei'yuan'jian'shao
凝血酶原增加,ning'xue'mei'yuan'zeng'jia
凝血时间缩短,ning'xue'shi'jian'suo'duan
凝血时间延长,ning'xue'shi'jian'yan'chang
凝血因子减少,ning'xue'yin'zi'jian'shao
凝血因子增加,ning'xue'yin'zi'zeng'jia
凝血障碍,ning'xue'zhang'ai
牛痘反应加重,niu'dou'fan'ying'jia'zhong
脓毒病,nong'du'bing
脓尿,nong'niao
脓疱性疹,nong'pao'xing'zhen
脓肿,nong'zhong
暖气,nuan'qi
女性不育,nv'xing'bu'yu
女性会阴痛,nv'xing'hui'yin'tong
女性男性化,nv'xing'nan'xing'hua
女性乳房恶性瘤,nv'xing'ru'fang'e'xing'liu
女性乳房良性瘤,nv'xing'ru'fang'liang'xing'liu
女性乳房瘤,nv'xing'ru'fang'liu
女性乳房痛,nv'xing'ru'fang'tong
女性生育力降低,nv'xing'sheng'yu'li'jiang'di
女性生殖器病,nv'xing'sheng'zhi'qi'bing
女性性快感缺失,nv'xing'xing'kuai'gan'que'shi
女性诱变效应,nv'xing'you'bian'xiao'ying
呕吐,ou'tu
呕血,ou'xue
帕金森症加重,pa'jin'sen'zheng'jia'zhong
排尿困难,pai'niao'kun'nan
排尿障碍,pai'niao'zhang'ai
膀胱癌,pang'guang'ai
膀胱畸形,pang'guang'ji'xing
膀胱结石,pang'guang'jie'shi
膀胱乳头瘤,pang'guang'ru'tou'liu
膀胱脱垂,pang'guang'tuo'chui
膀胱炎,pang'guang'yan
盆腔炎,pen'qiang'yan
脾病,pi'bing
皮肤变色,pi'fu'bian'se
皮肤病,pi'fu'bing
皮肤肥厚,pi'fu'fei'hou
皮肤干燥,pi'fu'gan'zao
皮肤划纹症,pi'fu'hua'wen'zheng
皮肤坏死,pi'fu'huai'si
皮肤畸形,pi'fu'ji'xing
皮肤结节,pi'fu'jie'jie
皮肤溃疡,pi'fu'kui'yang
皮肤粘膜淋巴结节,pi'fu'nian'mo'lin'ba'jie'jie
皮肤气味异常,pi'fu'qi'wei'yi'chang
皮肤色素减退,pi'fu'se'su'jian'tui
皮肤湿冷,pi'fu'shi'leng
皮肤脱落,pi'fu'tuo'luo
皮肤萎缩,pi'fu'wei'suo
皮肤纹理异常,pi'fu'wen'li'yi'chang
皮肤营养不良,pi'fu'ying'yang'bu'liang
皮肤再生不良,pi'fu'zai'sheng'bu'liang
疲劳,pi'lao
皮炎,pi'yan
皮样囊肿,pi'yang'nang'zhong
皮疹,pi'zhen
皮质醇降低,pi'zhi'chun'jiang'di
皮质醇增加,pi'zhi'chun'zeng'jia
皮质盲,pi'zhi'mang
皮脂溢,pi'zhi'yi
脾肿大,pi'zhong'da
偏侧肥大,pian'ce'fei'da
偏盲,pian'mang
偏瘫,pian'tan
偏头痛,pian'tou'tong
偏头痛加重,pian'tou'tong'jia'zhong
偏执狂反应,pian'zhi'kuang'fan'ying
贫血,pin'xue
剖腹生产术,pou'fu'sheng'chan'shu
葡萄膜炎,pu'tao'mo'yan
葡萄球菌感染,pu'tao'qiu'jun'gan'ran
葡萄胎,pu'tao'tai
脐带异常,qi'dai'yi'chang
脐畸形,qi'ji'xing
脐疝,qi'shan
憩室,qi'shi
憩室病,qi'shi'bing
期外收缩,qi'wai'shou'suo
气胸,qi'xiong
浅表血栓性静脉炎,qian'biao'xue'shuan'xing'jing'mai'yan
前房出血,qian'fang'chu'xie
嵌甲,qian'jia
浅静脉炎,qian'jing'mai'yan
前列腺病加重,qian'lie'xian'bing'jia'zhong
前列腺增生,qian'lie'xian'zeng'sheng
荨麻疹,qian'ma'zhen
前庭病,qian'ting'bing
腔静脉血栓性静脉炎,qiang'jing'mai'xue'shuan'xing'jing'mai'yan
切断术,qie'duan'shu
青春期早熟,qing'chun'qi'zao'shu
轻度偏瘫,qing'du'pian'tan
青光眼,qing'guang'yan
轻瘫,qing'tan
情绪不稳定,qing'xu'bu'wen'ding
球蛋白增加,qiu'dan'bai'zeng'jia
球红细胞性贫血,qiu'hong'xi'bao'xing'pin'xue
球后视神经炎,qiu'hou'shi'shen'jing'yan
丘斯综合征,qiu'si'zong'he'zheng
龋齿,qu'chi
龋齿加重,qu'chi'jia'zhong
醛固酮增加,quan'gu'tong'zeng'jia
全身性水肿,quan'shen'xing'shui'zhong
全血细胞减少,quan'xue'xi'bao'jian'shao
缺血性坏死,que'xue'xing'huai'si
缺氧,que'yang
染色体损害,ran'se'ti'sun'hai
热潮红,re'chao'hong
热惊厥,re'jing'jue
人格解体,ren'ge'jie'ti
人格障碍,ren'ge'zhang'ai
人免疫缺陷病毒试验阳性,ren'mian'yi'que'xian'bing'du'shi'yan'yang'xing
妊娠出血,ren'shen'chu'xie
妊娠疱疹,ren'shen'pao'zhen
妊娠试验假阳性,ren'shen'shi'yan'jia'yang'xing
认识病,ren'shi'bing
绒膜羊膜炎,rong'mo'yang'mo'yan
溶血,rong'xue
溶血性黄疸,rong'xue'xing'huang'dan
溶血性贫血,rong'xue'xing'pin'xue
肉瘤,rou'liu
肉瘤样病,rou'liu'yang'bing
肉芽肿损害,rou'ya'zhong'sun'hai
褥疮溃疡,ru'chuang'kui'yang
乳房充血,ru'fang'chong'xue
乳房畸形,ru'fang'ji'xing
乳房痛,ru'fang'tong
乳房萎缩,ru'fang'wei'suo
乳房增生,ru'fang'zeng'sheng
乳房胀大,ru'fang'zhang'da
乳酸脱氢酶增加,ru'suan'tuo'qing'mei'zeng'jia
乳酸性酸中毒,ru'suan'xing'suan'zhong'du
乳头溃疡,ru'tou'kui'yang
乳腺炎,ru'xian'yan
乳溢,ru'yi
软骨营养不良,ruan'gu'ying'yang'bu'liang
三叉神经痛,san'cha'shen'jing'tong
骚痒,sao'yang
色盲,se'mang
色视症,se'shi'zheng
闪光幻觉,shan'guang'huan'jue
上呼吸道感染,shang'hu'xi'dao'gan'ran
上睑下垂,shang'jian'xia'chui
伤口感染,shang'kou'gan'ran
上运动神经原损害,shang'yun'dong'shen'jing'yuan'sun'hai
少尿症,shao'niao'zheng
舌变色,she'bian'se
舌病,she'bing
射精不能,she'jing'bu'neng
射精障碍,she'jing'zhang'ai
舌溃疡,she'kui'yang
舌麻痹,she'ma'bi
舌水肿,she'shui'zhong
麝香草酚浊度试验异常,she'xiang'cao'fen'zhuo'du'shi'yan'yi'chang
舌炎,she'yan
肾癌,shen'ai
肾病,shen'bing
渗出性红斑,shen'chu'xing'hong'ban
肾动脉硬化,shen'dong'mai'ying'hua
肾发育不全,shen'fa'yu'bu'quan
肾功能异常,shen'gong'neng'yi'chang
肾积水,shen'ji'shui
肾间质纤维化,shen'jian'zhi'xian'wei'hua
肾结石,shen'jie'shi
神经病,shen'jing'bing
神经根损害,shen'jing'gen'sun'hai
神经官能症,shen'jing'guan'neng'zheng
神经过敏,shen'jing'guo'min
神经瘤,shen'jing'liu
深静脉炎,shen'jing'mai'yan
神经痛,shen'jing'tong
神经细胞瘤,shen'jing'xi'bao'liu
神经纤维瘤加重,shen'jing'xian'wei'liu'jia'zhong
神经性耳聋,shen'jing'xing'er'long
神经性贪食,shen'jing'xing'tan'shi
神经性厌食,shen'jing'xing'yan'shi
神经炎,shen'jing'yan
神经抑制药恶性综合征,shen'jing'yi'zhi'yao'e'xing'zong'he'zheng
肾挛缩,shen'luan'suo
肾囊肿,shen'nang'zhong
肾脓肿,shen'nong'zhong
肾皮质坏死,shen'pi'zhi'huai'si
肾乳头坏死,shen'ru'tou'huai'si
肾上腺出血,shen'shang'xian'chu'xie
肾上腺功能减退,shen'shang'xian'gong'neng'jian'tui
肾上腺皮质功能亢进,shen'shang'xian'pi'zhi'gong'neng'kang'jin
肾痛,shen'tong
肾小管病,shen'xiao'guan'bing
肾小管坏死,shen'xiao'guan'huai'si
肾小球功能异常,shen'xiao'qiu'gong'neng'yi'chang
肾小球肾炎,shen'xiao'qiu'shen'yan
肾性尿崩症,shen'xing'niao'beng'zheng
深血栓性静脉炎,shen'xue'shuan'xing'jing'mai'yan
肾炎,shen'yan
肾移植,shen'yi'zhi
肾硬化,shen'ying'hua
肾盂肾炎,shen'yu'shen'yan
肾胀大,shen'zhang'da
声带麻痹,sheng'dai'ma'bi
生长迟缓,sheng'zhang'chi'huan
生长加速,sheng'zhang'jia'su
生殖器畸形,sheng'zhi'qi'ji'xing
生殖器溃疡,sheng'zhi'qi'kui'yang
生殖器念珠菌病,sheng'zhi'qi'nian'zhu'jun'bing
生殖器骚痒,sheng'zhi'qi'sao'yang
生殖器水肿,sheng'zhi'qi'shui'zhong
室颤,shi'chan
食道病,shi'dao'bing
十二指肠闭锁,shi'er'zhi'chang'bi'suo
十二指肠溃疡,shi'er'zhi'chang'kui'yang
十二指肠溃疡出血,shi'er'zhi'chang'kui'yang'chu'xie
十二指肠溃疡穿孔,shi'er'zhi'chang'kui'yang'chuan'kong
十二指肠溃疡复发,shi'er'zhi'chang'kui'yang'fu'fa
十二指肠炎,shi'er'zhi'chang'yan
嗜铬细胞瘤,shi'ge'xi'bao'liu
食管癌,shi'guan'ai
食管闭锁,shi'guan'bi'suo
食管穿孔,shi'guan'chuan'kong
食管痉挛,shi'guan'jing'luan
食管静脉曲张,shi'guan'jing'mai'qu'zhang
食管溃疡,shi'guan'kui'yang
食管溃疡出血,shi'guan'kui'yang'chu'xie
食管狭窄,shi'guan'xia'zhai
食管炎,shi'guan'yan
室间隔缺损,shi'jian'ge'que'sun
嗜碱细胞增多,shi'jian'xi'bao'zeng'duo
视觉异常,shi'jue'yi'chang
失眠,shi'mian
失明,shi'ming
室上性期外收缩,shi'shang'xing'qi'wai'shou'suo
室上性心动过速,shi'shang'xing'xin'dong'guo'su
失神,shi'shen
视神经乳头水肿,shi'shen'jing'ru'tou'shui'zhong
视神经萎缩,shi'shen'jing'wei'suo
视神经炎,shi'shen'jing'yan
嗜睡,shi'shui
嗜酸性肉芽肿,shi'suan'xing'rou'ya'zhong
嗜酸性细胞肺炎,shi'suan'xing'xi'bao'fei'yan
嗜酸性细胞增多症,shi'suan'xing'xi'bao'zeng'duo'zheng
视网膜病,shi'wang'mo'bing
视网膜沉淀,shi'wang'mo'chen'dian
视网膜出血,shi'wang'mo'chu'xie
视网膜动脉血栓形成,shi'wang'mo'dong'mai'xue'shuan'xing'cheng
视网膜分离,shi'wang'mo'fen'li
视网膜静脉血栓形成,shi'wang'mo'jing'mai'xue'shuan'xing'cheng
视网膜水肿,shi'wang'mo'shui'zhong
视网膜炎,shi'wang'mo'yan
室性心动过速,shi'xing'xin'dong'guo'su
室性心律失常,shi'xing'xin'lv'shi'chang
视野缺损,shi'ye'que'sun
食欲亢进,shi'yu'kang'jin
失语症,shi'yu'zheng
湿疹,shi'zhen
手指畸形,shou'zhi'ji'xing
输卵管炎,shu'luan'guan'yan
舒缩间期过长,shu'suo'jian'qi'guo'chang
束支传导阻滞,shu'zhi'chuan'dao'zu'zhi
睡眠障碍,shui'mian'zhang'ai
水疱疹,shui'pao'zhen
水肿,shui'zhong
死产,si'chan
撕裂,si'lie
死胎,si'tai
死亡,si'wang
思维异常,si'wei'yi'chang
四肢麻痹,si'zhi'ma'bi
酸性磷酸酶升高,suan'xing'lin'suan'mei'sheng'gao
酸中毒,suan'zhong'du
梭状芽孢杆菌感染,suo'zhuang'ya'bao'gan'jun'gan'ran
胎儿发育不良,tai'er'fa'yu'bu'liang
胎儿过大,tai'er'guo'da
胎儿过小,tai'er'guo'xiao
胎儿窘迫,tai'er'jiong'po
胎儿女性男性化,tai'er'nv'xing'nan'xing'hua
胎儿全脑垂体功能不足,tai'er'quan'nao'chui'ti'gong'neng'bu'zu
胎儿水肿,tai'er'shui'zhong
胎儿心搏徐缓,tai'er'xin'bo'xu'huan
胎儿心律失常,tai'er'xin'lv'shi'chang
胎粪增加,tai'fen'zeng'jia
胎盘病,tai'pan'bing
苔癣样皮炎,tai'xuan'yang'pi'yan
痰病,tan'bing
痰量增多,tan'liang'zeng'duo
糖耐量异常,tang'nai'liang'yi'chang
糖尿,tang'niao
糖尿病,tang'niao'bing
糖尿病复发,tang'niao'bing'fu'fa
糖尿病昏迷,tang'niao'bing'hun'mi
糖尿病加重,tang'niao'bing'jia'zhong
糖尿病性溃疡,tang'niao'bing'xing'kui'yang
糖皮质激素增加,tang'pi'zhi'ji'su'zeng'jia
特异性心电图异常,te'yi'xing'xin'dian'tu'yi'chang
疼痛,teng'tong
体臭,ti'chou
体位性低血压,ti'wei'xing'di'xue'ya
体位异常,ti'wei'yi'chang
体温过低,ti'wen'guo'di
体重减少,ti'zhong'jian'shao
体重增加,ti'zhong'zeng'jia
天疱疮样反应,tian'pao'chuang'yang'fan'ying
调节异常,tiao'jie'yi'chang
铁代谢障碍,tie'dai'xie'zhang'ai
铁粒幼红细胞性贫血,tie'li'you'hong'xi'bao'xing'pin'xue
铁质沉着出血,tie'zhi'chen'zhuo'chu'xie
听觉过敏,ting'jue'guo'min
听力降低,ting'li'jiang'di
听力损伤,ting'li'sun'shang
酮病,tong'bing
痛风,tong'feng
痛经,tong'jing
瞳孔不等,tong'kong'bu'deng
瞳孔反射削弱,tong'kong'fan'she'xue'ruo
瞳孔散大,tong'kong'san'da
瞳孔缩小,tong'kong'suo'xiao
痛性肥胖症,tong'xing'fei'pang'zheng
痛性尿沥,tong'xing'niao'li
头发稀疏,tou'fa'xi'shu
头颅畸形,tou'lu'ji'xing
头痛,tou'tong
头晕,tou'yun
腿动脉血栓形成,tui'dong'mai'xue'shuan'xing'cheng
退膜性子宫内膜炎,tui'mo'xing'zi'gong'nei'mo'yan
腿浅血栓性静脉炎,tui'qian'xue'shuan'xing'jing'mai'yan
腿深血栓性静脉炎,tui'shen'xue'shuan'xing'jing'mai'yan
腿血栓性静脉炎,tui'xue'shuan'xing'jing'mai'yan
脱发,tuo'fa
脱水,tuo'shui
唾液管梗阻,tuo'ye'guan'geng'zu
唾液腺痛,tuo'ye'xian'tong
唾液腺胀大,tuo'ye'xian'zhang'da
唾液异常,tuo'ye'yi'chang
唾液增加,tuo'ye'zeng'jia
外耳炎,wai'er'yan
外生殖器不明,wai'sheng'zhi'qi'bu'ming
外阴干燥,wai'yin'gan'zao
外周坏疽,wai'zhou'huai'ju
外周局部性缺血,wai'zhou'ju'bu'xing'que'xie
腕管综合征,wan'guan'zong'he'zheng
完全性房室传导阻滞,wan'quan'xing'fang'shi'chuan'dao'zu'zhi
妄想,wang'xiang
网状青斑,wang'zhuang'qing'ban
网状细胞增多,wang'zhuang'xi'bao'zeng'duo
胃癌,wei'ai
胃肠道出血,wei'chang'dao'chu'xie
胃肠道恶性肿瘤,wei'chang'dao'e'xing'zhong'liu
胃肠道畸形,wei'chang'dao'ji'xing
胃肠道粘膜变色,wei'chang'dao'nian'mo'bian'se
胃肠道粘膜广泛性坏死,wei'chang'dao'nian'mo'guang'fan'xing'huai'si
胃肠道念珠菌病,wei'chang'dao'nian'zhu'jun'bing
胃肠炎,wei'chang'yan
胃肠胀气,wei'chang'zhang'qi
胃穿孔,wei'chuan'kong
胃功能紊乱,wei'gong'neng'wen'luan
畏光,wei'guang
味觉倒错,wei'jue'dao'cuo
味觉丧失,wei'jue'sang'shi
胃溃疡,wei'kui'yang
胃溃疡出血,wei'kui'yang'chu'xie
胃溃疡穿孔,wei'kui'yang'chuan'kong
胃扩张,wei'kuo'zhang
伪膜性结肠炎,wei'mo'xing'jie'chang'yan
维生素缺少,wei'sheng'su'que'shao
胃食管返流,wei'shi'guan'fan'liu
胃酸过少症,wei'suan'guo'shao'zheng
萎缩性阴道炎,wei'suo'xing'yin'dao'yan
胃炎,wei'yan
舞蹈手足徐动症,wu'dao'shou'zu'xu'dong'zheng
无力,wu'li
无脑畸形,wu'nao'ji'xing
无尿症,wu'niao'zheng
细胞介导免疫反应,xi'bao'jie'dao'mian'yi'fan'ying
细菌感染,xi'jun'gan'ran
吸收不良,xi'shou'bu'liang
下肢痉挛,xia'zhi'jing'luan
下肢痛,xia'zhi'tong
腺病毒感染,xian'bing'du'gan'ran
腺瘤,xian'liu
腺体肥大,xian'ti'fei'da
先天性白内障,xian'tian'xing'bai'nei'zhang
先天性驰缓性麻痹,xian'tian'xing'chi'huan'xing'ma'bi
先天性多毛症,xian'tian'xing'duo'mao'zheng
先天性耳聋,xian'tian'xing'er'long
先天性二肢缺肢畸形,xian'tian'xing'er'zhi'que'zhi'ji'xing
先天性肺动脉瓣狭窄,xian'tian'xing'fei'dong'mai'ban'xia'zhai
先天性黑变病,xian'tian'xing'hei'bian'bing
先天性甲病,xian'tian'xing'jia'bing
先天性甲状腺功能减退,xian'tian'xing'jia'zhuang'xian'gong'neng'jian'tui
先天性甲状腺肿,xian'tian'xing'jia'zhuang'xian'zhong
先天性痉挛性麻痹,xian'tian'xing'jing'luan'xing'ma'bi
先天性巨结肠,xian'tian'xing'ju'jie'chang
先天性脑损害,xian'tian'xing'nao'sun'hai
先天性缺肢畸形,xian'tian'xing'que'zhi'ji'xing
先天性三肢缺肢畸形,xian'tian'xing'san'zhi'que'zhi'ji'xing
先天性疝,xian'tian'xing'shan
先天性肾上腺生殖综合征,xian'tian'xing'shen'shang'xian'sheng'zhi'zong'he'zheng
先天性失明,xian'tian'xing'shi'ming
先天性四肢缺肢畸形,xian'tian'xing'si'zhi'que'zhi'ji'xing
先天性听力障碍,xian'tian'xing'ting'li'zhang'ai
先天性眼球震颤,xian'tian'xing'yan'qiu'zhen'chan
先天性一肢缺肢畸形,xian'tian'xing'yi'zhi'que'zhi'ji'xing
先天性子宫异常,xian'tian'xing'zi'gong'yi'chang
先天愚型,xian'tian'yu'xing
纤维蛋白溶解增加,xian'wei'dan'bai'rong'jie'zeng'jia
纤维囊性乳腺炎,xian'wei'nang'xing'ru'xian'yan
纤维性肺泡炎,xian'wei'xing'fei'pao'yan
纤维性海绵体炎,xian'wei'xing'hai'mian'ti'yan
涎腺炎,xian'xian'yan
先兆,xian'zhao
先兆子痫,xian'zhao'zi'xian
小肠坏疽,xiao'chang'huai'ju
小肠结膜炎,xiao'chang'jie'mo'yan
小肠局部缺血,xiao'chang'ju'bu'que'xie
哮喘,xiao'chuan
小红细胞性贫血,xiao'hong'xi'bao'xing'pin'xue
消化不良,xiao'hua'bu'liang
消化性溃疡,xiao'hua'xing'kui'yang
消化性溃疡出血,xiao'hua'xing'kui'yang'chu'xie
消化性溃疡穿孔,xiao'hua'xing'kui'yang'chuan'kong
消化性溃疡复发,xiao'hua'xing'kui'yang'fu'fa
消化性溃疡加重,xiao'hua'xing'kui'yang'jia'zhong
小脑综合征,xiao'nao'zong'he'zheng
小头,xiao'tou
斜颈,xie'jing
血块回缩滞后,xie'kuai'hui'suo'zhi'hou
血块栓塞,xie'kuai'shuan'sai
斜视,xie'shi
协调异常,xie'tiao'yi'chang
心瓣膜病,xin'ban'mo'bing
心瓣膜置换术,xin'ban'mo'zhi'huan'shu
心包积血,xin'bao'ji'xue
心包积液,xin'bao'ji'ye
心包炎,xin'bao'yan
心电图异常,xin'dian'tu'yi'chang
心动过速,xin'dong'guo'su
心动徐缓,xin'dong'xu'huan
心悸,xin'ji
心肌病,xin'ji'bing
心肌梗死,xin'ji'geng'si
心肌缺血,xin'ji'que'xie
心肌纤维化,xin'ji'xian'wei'hua
心肌炎,xin'ji'yan
心绞痛,xin'jiao'tong
心绞痛加重,xin'jiao'tong'jia'zhong
欣快感,xin'kuai'gan
心理缺陷,xin'li'que'xian
心力衰竭,xin'li'shuai'jie
心律失常,xin'lv'shi'chang
心酶增加,xin'mei'zeng'jia
心内膜纤维化,xin'nei'mo'xian'wei'hua
心内膜炎,xin'nei'mo'yan
心前区痛,xin'qian'qu'tong
锌缺乏,xin'que'fa
新生儿白细胞减少,xin'sheng'er'bai'xi'bao'jian'shao
新生儿白血病,xin'sheng'er'bai'xue'bing
新生儿病,xin'sheng'er'bing
新生儿撤药性综合征,xin'sheng'er'che'yao'xing'zong'he'zheng
新生儿低血糖,xin'sheng'er'di'xue'tang
新生儿发热,xin'sheng'er'fa're
新生儿肺膨胀不全,xin'sheng'er'fei'peng'zhang'bu'quan
新生儿非特异性出血,xin'sheng'er'fei'te'yi'xing'chu'xie
新生儿腹泻,xin'sheng'er'fu'xie
新生儿肝脾大,xin'sheng'er'gan'pi'da
新生儿肝细胞损害,xin'sheng'er'gan'xi'bao'sun'hai
新生儿肝炎,xin'sheng'er'gan'yan
新生儿呼吸道出血,xin'sheng'er'hu'xi'dao'chu'xie
新生儿呼吸窘迫综合征,xin'sheng'er'hu'xi'jiong'po'zong'he'zheng
新生儿呼吸系统疾病,xin'sheng'er'hu'xi'xi'tong'ji'bing
新生儿呼吸抑制,xin'sheng'er'hu'xi'yi'zhi
新生儿坏疽,xin'sheng'er'huai'ju
新生儿黄疸,xin'sheng'er'huang'dan
新生儿肌张力减退,xin'sheng'er'ji'zhang'li'jian'tui
新生儿焦虑不安,xin'sheng'er'jiao'lv'bu'an
新生儿进食病,xin'sheng'er'jin'shi'bing
新生儿惊厥,xin'sheng'er'jing'jue
新生儿麻痹性肠梗阻,xin'sheng'er'ma'bi'xing'chang'geng'zu
新生儿脑病,xin'sheng'er'nao'bing
新生儿脑出血,xin'sheng'er'nao'chu'xue
新生儿尿道感染,xin'sheng'er'niao'dao'gan'ran
新生儿凝血障碍,xin'sheng'er'ning'xue'zhang'ai
新生儿脓毒病,xin'sheng'er'nong'du'bing
新生儿呕吐,xin'sheng'er'ou'tu
新生儿贫血,xin'sheng'er'pin'xue
新生儿视觉异常,xin'sheng'er'shi'jue'yi'chang
新生儿嗜睡,xin'sheng'er'shi'shui
新生儿死亡,xin'sheng'er'si'wang
新生儿体重减少,xin'sheng'er'ti'zhong'jian'shao
新生儿心律不齐,xin'sheng'er'xin'lv'bu'qi
新生儿心脏停搏,xin'sheng'er'xin'zang'ting'bo
新生儿血栓性静脉炎,xin'sheng'er'xue'shuan'xing'jing'mai'yan
新生儿血小板减少,xin'sheng'er'xue'xiao'ban'jian'shao
新生儿循环衰竭,xin'sheng'er'xun'huan'shuai'jie
新生儿厌食,xin'sheng'er'yan'shi
新生儿运动过度,xin'sheng'er'yun'dong'guo'du
新生儿运动减少,xin'sheng'er'yun'dong'jian'shao
新生儿运动障碍,xin'sheng'er'yun'dong'zhang'ai
新生儿疹,xin'sheng'er'zhen
新生儿震颤,xin'sheng'er'zhen'chan
新生儿窒息,xin'sheng'er'zhi'xi
新生儿紫癜,xin'sheng'er'zi'dian
新生儿紫绀,xin'sheng'er'zi'gan
心脏病,xin'zang'bing
心脏传导阻滞,xin'zang'chuan'dao'zu'zhi
心脏肥大,xin'zang'fei'da
心脏畸形,xin'zang'ji'xing
心脏起搏器,xin'zang'qi'bo'qi
心脏停搏,xin'zang'ting'bo
心脏纤颤,xin'zang'xian'chan
性染色体病,xing'ran'se'ti'bing
性欲高潮异常,xing'yu'gao'chao'yi'chang
性欲减退,xing'yu'jian'tui
性欲增加,xing'yu'zeng'jia
胸骨下痛,xiong'gu'xia'tong
胸淋巴结病,xiong'lin'ba'jie'bing
胸膜间皮瘤,xiong'mo'jian'pi'liu
胸膜痛,xiong'mo'tong
胸膜纤维化,xiong'mo'xian'wei'hua
胸膜炎,xiong'mo'yan
胸腔积液,xiong'qiang'ji'ye
胸痛,xiong'tong
胸透异常,xiong'tou'yi'chang
胸腺肥大,xiong'xian'fei'da
雄性激素缺乏,xiong'xing'ji'su'que'fa
嗅觉倒错,xiu'jue'dao'cuo
溴疹,xiu'zhen
溴中毒,xiu'zhong'du
血沉加快,xue'chen'jia'kuai
血管病,xue'guan'bing
血管成形术,xue'guan'cheng'xing'shu
血管痉挛,xue'guan'jing'luan
血管扩张,xue'guan'kuo'zhang
血管神经性水肿,xue'guan'shen'jing'xing'shui'zhong
血管舒张,xue'guan'shu'zhang
血管异常,xue'guan'yi'chang
血红蛋白过多,xue'hong'dan'bai'guo'duo
血浆渗透压升高,xue'jiang'shen'tou'ya'sheng'gao
血浆酮蓝蛋白增加,xue'jiang'tong'lan'dan'bai'zeng'jia
血浆纤维蛋白原减少,xue'jiang'xian'wei'dan'bai'yuan'jian'shao
血浆纤维蛋白原增加,xue'jiang'xian'wei'dan'bai'yuan'zeng'jia
血尿,xue'niao
血尿素氮增加,xue'niao'su'dan'zeng'jia
