阿弗他溃疡,a'fu'ta'kui'yang
眶下裂后方注射法,kuang'xia'lie'hou'fang'zhu'she'fa
溃疡性口炎,kui'yang'xing'kou'yan
扩弓螺旋器,kuo'gong'luo'xuan'qi
蜡刀,la'dao
蜡勺,la'shao
蜡型制作,la'xing'zhi'zuo
老年口腔医学,lao'nian'kou'qiang'yi'xue
类牙骨质,lei'ya'gu'zhi
蕾状期,lei'zhuang'qi
蕾状牙,lei'zhuang'ya
里加病,li'jia'bing
理想弓,li'xiang'gong
离心铸造机,li'xin'zhu'zao'ji
联合卡环,lian'he'ka'huan
联合印模,lian'he'yin'mo
联合支持,lian'he'zhi'chi
联合支持式,lian'he'zhi'chi'shi
连接体,lian'jie'ti
镰形洁治器,lian'xing'jie'zhi'qi
连续杆固位体,lian'xu'gan'gu'wei'ti
连续卡环,lian'xu'ka'huan
连续小环结扎术,lian'xu'xiao'huan'jie'za'shu
良性成牙骨质细胞瘤,liang'xing'cheng'ya'gu'zhi'xi'bao'liu
良性淋巴上皮病变,liang'xing'lin'ba'shang'pi'bing'bian
裂纹,lie'wen
裂纹舌,lie'wen'she
裂隙,lie'xi
裂钻,lie'zuan
淋巴瘤性乳头状囊腺瘤,lin'ba'liu'xing'ru'tou'zhuang'nang'xian'liu
临床冠,lin'chuang'guan
邻接面,lin'jie'mian
邻面接触,lin'mian'jie'chu
邻面轴沟,lin'mian'zhou'gou
磷酸硅粘固剂,lin'suan'gui'zhan'gu'ji
磷酸锌粘固剂,lin'suan'xin'zhan'gu'ji
鳞状细胞乳头状瘤,lin'zhuang'xi'bao'ru'tou'zhuang'liu
流电病变,liu'dian'bing'bian
流电刺激,liu'dian'ci'ji
流涎,liu'xian
笼状种植体,long'zhuang'zhong'zhi'ti
颅底点,lu'di'dian
露髓,lu'sui
卵圆孔注射法,luan'yuan'kong'zhu'she'fa
螺旋种植体,luo'xuan'zhong'zhi'ti
氯仿牙胶,lv'fang'ya'jiao
滤泡型成釉细胞瘤,lv'pao'xing'cheng'you'xi'bao'liu
马里兰固定桥,ma'li'lan'gu'ding'qiao
埋伏牙,mai'fu'ya
麦考尔龈缘突,mai'kao'er'yin'yuan'tu
慢性闭锁性牙髓炎,man'xing'bi'suo'xing'ya'sui'yan
慢性溃疡性牙髓炎,man'xing'kui'yang'xing'ya'sui'yan
慢性增生性牙髓炎,man'xing'zeng'sheng'xing'ya'sui'yan
盲法线锯髁突截开术,mang'fa'xian'ju'ke'tu'jie'kai'shu
毛状白斑,mao'zhuang'bai'ban
锚状骨内种植体,mao'zhuang'gu'nei'zhong'zhi'ti
帽状期,mao'zhuang'qi
萌出期囊肿,meng'chu'qi'nang'zhong
萌牙困难,meng'ya'kun'nan
米库利奇病,mi'ku'li'qi'bing
糜烂性白斑,mi'lan'xing'bai'ban
面部侧貌,mian'bu'ce'mao
面弓,mian'gong
面弓记录,mian'gong'ji'lu
面横裂,mian'heng'lie
棉卷口炎,mian'juan'kou'yan
面裂囊肿,mian'lie'nang'zhong
面斜裂,mian'xie'lie
描记装置,miao'ji'zhuang'zhi
末端铰链位,mo'duan'jiao'lian'wei
末端切断钳,mo'duan'qie'duan'qian
末端种植体,mo'duan'zhong'zhi'ti
莫尔斯洁治器,mo'er'si'jie'zhi'qi
磨光面,mo'guang'mian
磨光器,mo'guang'qi
磨光条,mo'guang'tiao
磨光用橡皮杯,mo'guang'yong'xiang'pi'bei
磨光钻,mo'guang'zuan
磨耗小平面,mo'hao'xiao'ping'mian
磨损症,mo'sun'zheng
模型材料,mo'xing'cai'liao
模型外科,mo'xing'wai'ke
模型修整机,mo'xing'xiu'zheng'ji
模型振荡器,mo'xing'zhen'dang'qi
磨牙,mo'ya
磨牙半切术,mo'ya'ban'qie'shu
磨牙后三角,mo'ya'hou'san'jiao
磨牙后腺,mo'ya'hou'xian
磨牙旁额外牙,mo'ya'pang'e'wai'ya
磨牙癖,mo'ya'pi
模板研究,mu'ban'yan'jiu
耐高温包埋材料,nai'gao'wen'bao'mai'cai'liao
耐高温模型,nai'gao'wen'mo'xing
耐酸水解性纤维,nai'suan'shui'jie'xing'xian'wei
南斯剩余间隙,nan'si'sheng'yu'jian'xi
囊性成釉细胞瘤,nang'xing'cheng'you'xi'bao'liu
内翻性导管乳头状瘤,nei'fan'xing'dao'guan'ru'tou'zhuang'liu
内斜嵴,nei'xie'ji
内釉上皮,nei'you'shang'pi
逆行性牙髓炎,ni'xing'xing'ya'sui'yan
粘骨膜分离器,nian'gu'mo'fen'li'qi
粘结固定桥,nian'jie'gu'ding'qiao
粘膜瓣,nian'mo'ban
粘膜骨膜,nian'mo'gu'mo
粘膜良性淋巴组织增生病,nian'mo'liang'xing'lin'ba'zu'zhi'zeng'sheng'bing
粘膜内种植术,nian'mo'nei'zhong'zhi'shu
粘膜下浸润麻醉,nian'mo'xia'jin'run'ma'zui
粘膜下前庭成形术,nian'mo'xia'qian'ting'cheng'xing'shu
粘膜下种植体,nian'mo'xia'zhong'zhi'ti
粘膜牙龈界,nian'mo'ya'yin'jie
粘膜支持,nian'mo'zhi'chi
粘液表皮样癌,nian'ye'biao'pi'yang'ai
粘液囊腺瘤,nian'ye'nang'xian'liu
粘液囊肿,nian'ye'nang'zhong
粘液腺癌,nian'ye'xian'ai
颞间隙,nie'jian'xi
颞下颌关节侧位体层片,nie'xia'he'guan'jie'ce'wei'ti'ceng'pian
颞下颌关节功能紊乱综合征,nie'xia'he'guan'jie'gong'neng'wen'luan'zong'he'zheng
颞下颌关节紧张综合征,nie'xia'he'guan'jie'jin'zhang'zong'he'zheng
颞下颌关节前脱位,nie'xia'he'guan'jie'qian'tuo'wei
颞下颌关节造影术,nie'xia'he'guan'jie'zao'ying'shu
颞下间隙,nie'xia'jian'xi
颞下窝综合征,nie'xia'wo'zong'he'zheng
牛角形拔牙钳,niu'jiao'xing'ba'ya'qian
扭转错位,niu'zhuan'cuo'wei
帕萨旺垫,pa'sa'wang'dian
排牙,pai'ya
抛光轮,pao'guang'lun
疱疹性龈口炎,pao'zhen'xing'yin'kou'yan
疱疹样阿弗他口炎,pao'zhen'yang'e'fu'ta'kou'yan
喷砂机,pen'sha'ji
劈刀,pi'dao
皮索根管钻,pi'suo'gen'guan'zuan
皮脂腺淋巴腺瘤,pi'zhi'xian'lin'ba'xian'liu
偏侧凸颌,pian'ce'tu'he
平衡侧,ping'heng'ce
平滑面龋,ping'hua'mian'qu
平面导板,ping'mian'dao'ban
破冠器,po'guan'qi
破牙骨质细胞,po'ya'gu'zhi'xi'bao
破牙细胞,po'ya'xi'bao
气枪,qi'qiang
气涡轮机,qi'wo'lun'ji
前导,qian'dao
铅毒性口炎,qian'du'xing'kou'yan
前弓,qian'gong
前弓区,qian'gong'qu
前磨牙,qian'mo'ya
前期白斑,qian'qi'bai'ban
前期牙本质,qian'qi'ya'ben'zhi
前伸关系,qian'shen'guan'xi
前伸髁导斜度,qian'shen'ke'dao'xie'du
前伸平衡,qian'shen'ping'heng
前伸运动,qian'shen'yun'dong
嵌体,qian'ti
嵌体固位体,qian'ti'gu'wei'ti
嵌体蜡,qian'ti'la
前庭成形术,qian'ting'cheng'xing'shu
前庭盾,qian'ting'dun
前庭沟扩展术,qian'ting'gou'kuo'zhan'shu
潜行性龋,qian'xing'xing'qu
前牙,qian'ya
牵引钩,qian'yin'gou
腔口周围浆细胞增多综合征,qiang'kou'zhou'wei'jiang'xi'bao'zeng'duo'zong'he'zheng
桥固位体,qiao'gu'wei'ti
桥基,qiao'ji
桥基牙,qiao'ji'ya
切除性牙周膜新附着术,qie'chu'xing'ya'zhou'mo'xin'fu'zhuo'shu
切道,qie'dao
切导,qie'dao
切导盘,qie'dao'pan
切道斜度,qie'dao'xie'du
切导斜度,qie'dao'xie'du
切导针,qie'dao'zhen
切端沟,qie'duan'gou
切端支托,qie'duan'zhi'tuo
切角,qie'jiao
切牙,qie'ya
切缘,qie'yuan
切缘结节,qie'yuan'jie'jie
青春期龈炎,qing'chun'qi'yin'yan
青春前期牙周炎,qing'chun'qian'qi'ya'zhou'yan
青少年型牙周炎,qing'shao'nian'xing'ya'zhou'yan
氢氧化钙垫底剂,qing'yang'hua'gai'dian'di'ji
琼脂印模材料,qiong'zhi'yin'mu'cai'liao
球形牙,qiu'xing'ya
球状上颌囊肿,qiu'zhuang'shang'he'nang'zhong
球钻,qiu'zuan
龋,qu
龋病学,qu'bing'xue
去冠器,qu'guan'qi
龋失补,qu'shi'bu
龋失补牙,qu'shi'bu'ya
龋失补牙面,qu'shi'bu'ya'mian
颧弓位投照术,quan'gong'wei'tou'zhao'shu
全冠,quan'guan
全颌种植体,quan'he'zhong'zhi'ti
全厚瓣,quan'hou'ban
全口义齿,quan'kou'yi'chi
全口义齿修复学,quan'kou'yi'chi'xiu'fu'xue
圈形卡环,quan'xing'ka'huan
缺隙保持器,que'xi'bao'chi'qi
缺牙间隙,que'ya'jian'xi
韧带位,ren'dai'wei
人工牙,ren'gong'ya
人工牙列,ren'gong'ya'lie
妊娠性龈炎,ren'shen'xing'yin'yan
人造冠,ren'zao'guan
日光性唇炎,ri'guang'xing'chun'yan
融合牙,rong'he'ya
肉芽性骨炎,rou'ya'xing'gu'yan
肉芽肿性唇炎,rou'ya'zhong'xing'chun'yan
肉芽肿性牙龈瘤,rou'ya'zhong'xing'ya'yin'liu
乳头状囊腺癌,ru'tou'zhuang'nang'xian'ai
乳头状囊腺瘤,ru'tou'zhuang'nang'xian'liu
乳头状涎腺瘤,ru'tou'zhuang'xian'xian'liu
乳头状增生,ru'tou'zhuang'zeng'sheng
乳牙,ru'ya
乳牙残余,ru'ya'can'yu
乳牙列,ru'ya'lie
乳牙早失,ru'ya'zao'shi
乳牙滞留,ru'ya'zhi'liu
软垢指数,ruan'gou'zhi'shu
软化牙本质,ruan'hua'ya'ben'zhi
鳃弓综合征,sai'gong'zong'he'zheng
鳃裂囊肿,sai'lie'nang'zhong
腮腺导管瘘,sai'xian'dao'guan'lou
腮腺切除术,sai'xian'qie'chu'shu
腮腺腺体瘘,sai'xian'xian'ti'lou
腮腺炎,sai'xian'yan
三壁骨下袋,san'bi'gu'xia'dai
三臂卡环,san'bi'ka'huan
三根分叉部,san'gen'fen'cha'bu
三角嵴,san'jiao'ji
三脚架种植体,san'jiao'jia'zhong'zhi'ti
三头钳,san'tou'qian
三用喷枪,san'yong'pen'qiang
砂纸片,sha'zhi'pian
砂纸条,sha'zhi'tiao
筛状板,shai'zhuang'ban
上唇线,shang'chun'xian
上颌侧位体层片,shang'he'ce'wei'ti'ceng'pian
上颌后前体层片,shang'he'hou'qian'ti'ceng'pian
上颌后缩,shang'he'hou'suo
上颌结节成形术,shang'he'jie'jie'cheng'xing'shu
上颌结节注射法,shang'he'jie'jie'zhu'she'fa
上颌前部截骨术,shang'he'qian'bu'jie'gu'shu
上颌前突,shang'he'qian'tu
上颌体,shang'he'ti
上颌牙,shang'he'ya
上颌牙槽座点,shang'he'ya'cao'zuo'dian
上颌中切牙牙槽嵴顶点,shang'he'zhong'qie'ya'ya'cao'ji'ding'dian
上皮附着,shang'pi'fu'zhuo
上皮根鞘,shang'pi'gen'qiao
上皮珠,shang'pi'zhu
韶状磨牙,shao'zhuang'mo'ya
舌侧翼缘,she'ce'yi'yuan
舌侧支托,she'ce'zhi'tuo
舌刺,she'ci
舌杆,she'gan
舍格伦综合征,she'ge'lun'zong'he'zheng
舌弓,she'gong
舌骨上颈清扫术,she'gu'shang'jing'qing'sao'shu
舌系带切除术,she'ji'dai'qie'chu'shu
舌裂,she'lie
舌面,she'mian
舌面隆凸,she'mian'long'tu
舌面窝,she'mian'wo
社区口腔医学,she'qu'kou'qiang'yi'xue
社区牙周治疗需要指数,she'qu'ya'zhou'zhi'liao'xu'yao'zhi'shu
舌乳头炎,she'ru'tou'yan
舌苔,she'tai
舌痛,she'tong
舌系带,she'xi'dai
舌系带过短,she'xi'dai'guo'duan
舌下间隙,she'xia'jian'xi
舌下静脉曲张,she'xia'jing'mai'qu'zhang
舌下腺囊肿,she'xia'xian'nang'zhong
舌向错位,she'xiang'cuo'wei
舌向阻生,she'xiang'zu'sheng
舌炎,she'yan
舌缘,she'yuan
砷毒性口炎,shen'du'xing'kou'yan
生物陶瓷,sheng'wu'tao'ci
生物陶瓷学,sheng'wu'tao'ci'xue
试戴,shi'dai
失活牙,shi'huo'ya
始基囊肿,shi'ji'nang'zhong
施雷格线,shi'lei'ge'xian
石棉带,shi'mian'dai
施佩曲线,shi'pei'qu'xian
嗜酸性腺癌,shi'suan'xing'xian'ai
嗜酸性腺瘤,shi'suan'xing'xian'liu
食物残渣,shi'wu'can'zha
食物嵌塞,shi'wu'qian'se
食物溢出道,shi'wu'yi'chu'dao
实验口腔医学,shi'yan'kou'qiang'yi'xue
矢状截骨术,shi'zhuang'jie'gu'shu
矢状劈开截骨术,shi'zhuang'pi'kai'jie'gu'shu
矢状轴,shi'zhuang'zhou
手斧,shou'fu
手机,shou'ji
手用器械,shou'yong'qi'xie
手指支持,shou'zhi'zhi'chi
术前模型,shu'qian'mo'xing
束状骨,shu'zhuang'gu
双臂卡环,shuang'bi'ka'huan
双侧平衡,shuang'ce'ping'heng
双重牙列,shuang'chong'ya'lie
双唇症,shuang'chun'zheng
双端固定桥,shuang'duan'gu'ding'qiao
双颌截骨术,shuang'he'jie'gu'shu
双颌前突,shuang'he'qian'tu
双颌式功能矫正器,shuang'he'shi'gong'neng'jiao'zheng'qi
双乳头瓣,shuang'ru'tou'ban
双生牙,shuang'sheng'ya
双丝弓矫治器,shuang'si'gong'jiao'zhi'qi
双叶状种植体,shuang'ye'zhuang'zhong'zhi'ti
水胶体印模材料,shui'jiao'ti'yin'mu'cai'liao
水流冷却器,shui'liu'leng'que'qi
水平复位瓣,shui'ping'fu'wei'ban
水平截骨术,shui'ping'jie'gu'shu
水平阻生,shui'ping'zu'sheng
顺序拔牙,shun'xu'ba'ya
斯蒂尔桥体,si'di'er'qiao'ti
斯蒂尔牙面,si'di'er'ya'mian
四分之三冠,si'fen'zhi'san'guan
四环素牙,si'huan'su'ya
死区,si'qu
四手操作,si'shou'cao'zuo
松动牙固定术,song'dong'ya'gu'ding'shu
酸蚀处理,suan'shi'chu'li
髓角,sui'jiao
髓室,sui'shi
髓石,sui'shi
髓室底,sui'shi'di
髓室顶,sui'shi'ding
髓周牙本质,sui'zhou'ya'ben'zhi
锁钉,suo'ding
钛镍丝,tai'nie'si
胎生牙,tai'sheng'ya
碳化钨钻,tan'hua'wu'zuan
弹簧固定桥,tan'huang'gu'ding'qiao
碳种植体,tan'zhong'zhi'ti
陶瓷修复,tao'ci'xiu'fu
特纳牙,te'na'ya
特殊分化粘膜,te'shu'fen'hua'nian'mo
特威德三角,te'wei'de'san'jiao
梯形钳,ti'xing'qian
填塞,tian'se
贴面,tie'mian
铜汞合金,tong'gong'he'jin
铜圈,tong'quan
通用刮治器,tong'yong'gua'zhi'qi
铜粘固剂,tong'zhan'gu'ji
同种牙移植术,tong'zhong'ya'yi'zhi'shu
头颅定位器,tou'lu'ding'wei'qi
头帽,tou'mao
透明牙本质,tou'ming'ya'ben'zhi
头影测量学,tou'ying'ce'liang'xue
头影描绘图,tou'ying'miao'hui'tu
涂层,tu'ceng
凸颌畸形,tu'he'ji'xing
吐舌习惯,tu'she'xi'guan
涂碳种植体,tu'tan'zhong'zhi'ti
吞涎症,tun'xian'zheng
托槽,tuo'cao
托槽粘着定位器,tuo'cao'nian'zhuo'ding'wei'qi
托姆斯颗粒层,tuo'mu'si'ke'li'ceng
脱套式手术,tuo'tao'shi'shou'shu
唾液薄膜,tuo'ye'bao'mo
唾液学,tuo'ye'xue
唾液诊断学,tuo'ye'zhen'duan'xue
挖治器,wa'zhi'qi
外科口腔正畸学,wai'ke'kou'qiang'zheng'ji'xue
外形,wai'xing
外形高点,wai'xing'gao'dian
外釉上皮,wai'you'shang'pi
弯曲牙,wan'qu'ya
弯手机,wan'shou'ji
味觉性出汗综合征,wei'jue'xing'chu'han'zong'he'zheng
威利斯垂直距离测量尺,wei'li'si'chui'zhi'ju'li'ce'liang'chi
围模蜡,wei'mo'la
卫生桥,wei'sheng'qiao
卫生桥体,wei'sheng'qiao'ti
萎缩性舌炎,wei'suo'xing'she'yan
稳定臂,wen'ding'bi
握笔法,wo'bi'fa
窝洞,wo'dong
窝洞涂剂,wo'dong'tu'ji
窝洞预备,wo'dong'yu'bei
窝沟封闭剂,wo'gou'feng'bi'ji
窝沟龋,wo'gou'qu
无缝冠压模机,wu'feng'guan'ya'mo'ji
无缝壳冠,wu'feng'ke'guan
无颌畸形,wu'he'ji'xing
无尖牙,wu'jian'ya
无舌畸形,wu'she'ji'xing
无髓牙,wu'sui'ya
无细胞层,wu'xi'bao'ceng
无细胞牙骨质,wu'xi'bao'ya'gu'zhi
无牙颌,wu'ya'he
无牙颌印模托盘,wu'ya'he'yin'mu'tuo'pan
无牙患者治疗学,wu'ya'huan'zhe'zhi'liao'xue
无牙区带蒂移植瓣,wu'ya'qu'dai'di'yi'zhi'ban
无牙症,wu'ya'zheng
无原纤维牙骨质,wu'yuan'xian'wei'ya'gu'zhi
细胞牙骨质,xi'bao'ya'gu'zhi
细丝弓矫治器,xi'si'gong'jiao'zhi'qi
细丝钳,xi'si'qian
吸涎器,xi'xian'qi
吸烟性黑斑症,xi'yan'xing'hei'ban'zheng
息止位垂直关系,xi'zhi'wei'chui'zhi'guan'xi
下唇线,xia'chun'xian
下颌骨侧位投照术,xia'he'gu'ce'wei'tou'zhao'shu
下颌骨后前位投照术,xia'he'gu'hou'qian'wei'tou'zhao'shu
下颌骨颜面发育不全,xia'he'gu'yan'mian'fa'yu'bu'quan
下颌后缩,xia'he'hou'suo
下颌角点,xia'he'jiao'dian
下颌髁突切除术,xia'he'ke'tu'qie'chu'shu
下颌隆凸,xia'he'long'tu
下颌前突,xia'he'qian'tu
下颌切迹,xia'he'qie'ji
下颌神经阻滞麻醉,xia'he'shen'jing'zu'zhi'ma'zui
下颌升支侧位体层片,xia'he'sheng'zhi'ce'wei'ti'ceng'pian
下颌升支内侧隆突阻滞麻醉,xia'he'sheng'zhi'nei'ce'long'tu'zu'zhi'ma'zui
下颌升支切线位投照术,xia'he'sheng'zhi'qie'xian'wei'tou'zhao'shu
下颌体,xia'he'ti
下颌位,xia'he'wei
下颌息止位,xia'he'xi'zhi'wei
下颌下间隙,xia'he'xia'jian'xi
下颌牙,xia'he'ya
下颌牙槽座点,xia'he'ya'cao'zuo'dian
下颌运动,xia'he'yun'dong
下颌运动复制器,xia'he'yun'dong'fu'zhi'qi
下颌运动描记仪,xia'he'yun'dong'miao'ji'yi
下颌正中囊肿,xia'he'zheng'zhong'nang'zhong
下颌支截骨术,xia'he'zhi'jie'gu'shu
下颌支支架种植体,xia'he'zhi'zhi'jia'zhong'zhi'ti
下颌中切牙切缘点,xia'he'zhong'qie'ya'qie'yuan'dian
下颌中切牙牙槽嵴顶点,xia'he'zhong'qie'ya'ya'cao'ji'ding'dian
涎管,xian'guan
涎管成形术,xian'guan'cheng'xing'shu
涎管狭窄,xian'guan'xia'zhai
涎管炎,xian'guan'yan
线角,xian'jiao
腺泡细胞癌,xian'pao'xi'bao'ai
涎石,xian'shi
涎石病,xian'shi'bing
涎石摘除术,xian'shi'zhai'chu'shu
先天性口角小窝,xian'tian'xing'kou'jiao'xiao'wo
先天性涎腺缺失,xian'tian'xing'xian'xian'que'shi
先天性牙龈瘤,xian'tian'xing'ya'yin'liu
纤维性颞下颌关节强直,xian'wei'xing'nie'xia'he'guan'jie'qiang'zhi
纤维性牙龈瘤,xian'wei'xing'ya'yin'liu
涎腺导管癌,xian'xian'dao'guan'ai
涎腺导管闭锁,xian'xian'dao'guan'bi'suo
涎腺导管扩张,xian'xian'dao'guan'kuo'zhang
涎腺分泌抑制,xian'xian'fen'mi'yi'zhi
涎腺化生,xian'xian'hua'sheng
涎腺瘘,xian'xian'lou
涎腺囊肿,xian'xian'nang'zhong
涎腺切除术,xian'xian'qie'chu'shu
涎腺切开引流术,xian'xian'qie'kai'yin'liu'shu
涎腺融合,xian'xian'rong'he
涎腺下颌骨舌侧陷入,xian'xian'xia'he'gu'she'ce'xian'ru
涎腺炎,xian'xian'yan
涎腺造影术,xian'xian'zao'ying'shu
涎腺增生,xian'xian'zeng'sheng
涎腺肿大症,xian'xian'zhong'da'zheng
腺性唇炎,xian'xing'chun'yan
腺样囊性癌,xian'yang'nang'xing'ai
橡皮障,xiang'pi'zhang
橡皮障打孔器,xiang'pi'zhang'da'kong'qi
橡皮障夹,xiang'pi'zhang'jia
橡皮障架,xiang'pi'zhang'jia
橡皮障夹钳,xiang'pi'zhang'jia'qian
小管间牙本质,xiao'guan'jian'ya'ben'zhi
小管周牙本质,xiao'guan'zhou'ya'ben'zhi
小颌症,xiao'he'zheng
小环结扎术,xiao'huan'jie'za'shu
小连接体,xiao'lian'jie'ti
小球间牙本质,xiao'qiu'jian'ya'ben'zhi
小牙症,xiao'ya'zheng
斜嵴,xie'ji
斜面导板,xie'mian'dao'ban
斜纤维,xie'xian'wei
斜行截骨术,xie'xing'jie'gu'shu
斜轴牙,xie'zhou'ya
楔状缺损,xie'zhuang'que'sun
楔状隙,xie'zhuang'xi
新生线,xin'sheng'xian
修复前外科学,xiu'fu'qian'wai'ke'xue
修复性牙本质,xiu'fu'xing'ya'ben'zhi
许勒位,xu'le'wei
选磨,xuan'mo
悬锁卡环,xuan'suo'ka'huan
悬突,xuan'tu
选牙色,xuan'ya'se
选牙色板,xuan'ya'se'ban
悬雍垂裂,xuan'yong'chui'lie
寻开口,xun'kai'kou
牙板,ya'ban
牙被动萌出,ya'bei'dong'meng'chu
牙本质,ya'ben'zhi
牙本质发生,ya'ben'zhi'fa'sheng
牙本质发生不全,ya'ben'zhi'fa'sheng'bu'quan
牙本质钙化不全症,ya'ben'zhi'gai'hua'bu'quan'zheng
牙本质过敏症,ya'ben'zhi'guo'min'zheng
牙本质瘤,ya'ben'zhi'liu
牙本质生长线,ya'ben'zhi'sheng'zhang'xian
牙本质小管,ya'ben'zhi'xiao'guan
牙本质牙骨质界,ya'ben'zhi'ya'gu'zhi'jie
牙本质釉质膜,ya'ben'zhi'you'zhi'mo
牙槽骨切除术,ya'cao'gu'qie'chu'shu
牙槽骨修整术,ya'cao'gu'xiu'zheng'shu
牙槽嵴顶,ya'cao'ji'ding
牙槽基骨,ya'cao'ji'gu
牙槽嵴纤维,ya'cao'ji'xian'wei
牙槽嵴延展术,ya'cao'ji'yan'zhan'shu
牙槽嵴增高术,ya'cao'ji'zeng'gao'shu
牙槽粘膜,ya'cao'nian'mo
牙槽脓肿,ya'cao'nong'zhong
牙槽龈纤维,ya'cao'yin'xian'wei
牙槽正中囊肿,ya'cao'zheng'zhong'nang'zhong
牙长轴,ya'chang'zhou
牙成釉细胞瘤,ya'cheng'you'xi'bao'liu
牙齿松动度,ya'chi'song'dong'du
牙齿形态学,ya'chi'xing'tai'xue
牙齿拥挤,ya'chi'yong'ji
牙发生,ya'fa'sheng
牙发育,ya'fa'yu
牙根,ya'gen
牙根拔除术,ya'gen'ba'chu'shu
牙根管,ya'gen'guan
牙根尖孔,ya'gen'jian'kong
牙根融合,ya'gen'rong'he
牙根挺,ya'gen'ting
牙弓,ya'gong
牙垢,ya'gou
牙骨膜纤维,ya'gu'mo'xian'wei
牙骨质,ya'gu'zhi
牙骨质层板,ya'gu'zhi'ceng'ban
牙骨质发生,ya'gu'zhi'fa'sheng
牙骨质发育不全症,ya'gu'zhi'fa'yu'bu'quan'zheng
牙骨质化纤维瘤,ya'gu'zhi'hua'xian'wei'liu
牙骨质棘,ya'gu'zhi'ji
牙骨质瘤,ya'gu'zhi'liu
牙骨质撕裂,ya'gu'zhi'si'lie
牙骨质细胞,ya'gu'zhi'xi'bao
牙骨质陷窝,ya'gu'zhi'xian'wo
牙骨质小皮,ya'gu'zhi'xiao'pi
牙骨质小体,ya'gu'zhi'xiao'ti
牙骨质增生,ya'gu'zhi'zeng'sheng
牙冠,ya'guan
牙关紧闭,ya'guan'jin'bi
牙痕舌,ya'hen'she
牙及牙槽外科学,ya'ji'ya'cao'wai'ke'xue
牙尖,ya'jian
牙间按摩器,ya'jian'an'mo'qi
牙尖高度,ya'jian'gao'du
牙间交错,ya'jian'jiao'cuo
牙尖交错位,ya'jian'jiao'cuo'wei
牙间隙,ya'jian'xi
牙间隙牙刷,ya'jian'xi'ya'shua
牙尖斜度,ya'jian'xie'du
牙胶尖,ya'jiao'jian
牙胶锥,ya'jiao'zhui
牙颈部,ya'jing'bu
牙颈部龋,ya'jing'bu'qu
牙颈线,ya'jing'xian
牙颈釉质嵴,ya'jing'you'zhi'ji
牙菌斑,ya'jun'ban
牙科包埋材料,ya'ke'bao'mai'cai'liao
牙科模型观测器,ya'ke'mo'xing'guan'ce'qi
牙科人造石,ya'ke'ren'zao'shi
牙科探针,ya'ke'tan'zhen
牙科调拌刀,ya'ke'tiao'ban'dao
牙科凿子,ya'ke'zao'zi
牙科助手椅旁凳,ya'ke'zhu'shou'yi'pang'deng
牙科综合治疗台,ya'ke'zong'he'zhi'liao'tai
牙蕾,ya'lei
牙瘤,ya'liu
牙滤泡,ya'lv'pao
牙萌出,ya'meng'chu
牙面,ya'mian
牙模型,ya'mo'xing
牙囊,ya'nang
牙内钉,ya'nei'ding
牙内吸收,ya'nei'xi'shou
牙内陷,ya'nei'xian
牙排列,ya'pai'lie
牙旁囊肿,ya'pang'nang'zhong
牙胚,ya'pei
牙片,ya'pian
牙侵蚀症,ya'qin'shi'zheng
牙乳头,ya'ru'tou
亚砷酸牙髓失活剂,ya'shen'suan'ya'sui'shi'huo'ji
牙式,ya'shi
牙石,ya'shi
牙始基,ya'shi'ji
牙石指数,ya'shi'zhi'shu
牙髓,ya'sui
牙髓变性,ya'sui'bian'xing
牙髓病学,ya'sui'bing'xue
牙髓充血,ya'sui'chong'xue
牙髓钙化,ya'sui'gai'hua
牙髓化生,ya'sui'hua'sheng
牙髓坏疽,ya'sui'huai'ju
牙髓坏死,ya'sui'huai'si
牙髓活力测验器,ya'sui'huo'li'ce'yan'qi
牙髓活力电测验器,ya'sui'huo'li'dian'ce'yan'qi
牙髓渐进性坏死,ya'sui'jian'jin'xing'huai'si
牙髓脓肿,ya'sui'nong'zhong
牙髓切断术,ya'sui'qie'duan'shu
牙髓失活,ya'sui'shi'huo
牙髓失活剂,ya'sui'shi'huo'ji
牙髓塑化剂,ya'sui'su'hua'ji
牙髓塑化治疗,ya'sui'su'hua'zhi'liao
牙髓探针,ya'sui'tan'zhen
牙髓网状萎缩,ya'sui'wang'zhuang'wei'suo
牙髓息肉,ya'sui'xi'rou
牙髓纤维性变,ya'sui'xian'wei'xing'bian
牙髓牙本质复合体,ya'sui'ya'ben'zhi'fu'he'ti
牙髓牙周联合病变,ya'sui'ya'zhou'lian'he'bing'bian
牙髓炎,ya'sui'yan
牙髓摘除术,ya'sui'zhai'chu'shu
牙体发育异常症,ya'ti'fa'yu'yi'chang'zheng
牙体解剖学,ya'ti'jie'pou'xue
牙体外科学,ya'ti'wai'ke'xue
牙挺,ya'ting
牙痛,ya'tong
牙下沉,ya'xia'chen
牙线,ya'xian
牙线夹,ya'xian'jia
牙小皮,ya'xiao'pi
牙龈,ya'yin
牙龈按摩,ya'yin'an'mo
牙龈刀,ya'yin'dao
牙龈点彩,ya'yin'dian'cai
牙隐裂,ya'yin'lie
牙龈裂,ya'yin'lie
牙龈瘤,ya'yin'liu
牙龈囊肿,ya'yin'nang'zhong
牙龈上皮,ya'yin'shang'pi
牙龈退缩,ya'yin'tui'suo
牙龈纤维瘤病,ya'yin'xian'wei'liu'bing
牙龈增生,ya'yin'zeng'sheng
