爱伦坡,ai'lun'po
温泉路路口,wen'quan'lu'lu'kou
文体商场,wen'ti'shang'chang
文体市场,wen'ti'shi'chang
温州鞋帽服装城,wen'zhou'xie'mao'fu'zhuang'cheng
沃尔沃路,wo'er'wo'lu
吴白庄,wu'bai'zhuang
武德,wu'de
五金城,wu'jin'cheng
五里堡,wu'li'bao
五里铺,wu'li'pu
乌南庄,wu'nan'zhuang
吴屯,wu'tun
西城新贵,xi'cheng'xin'gui
西墩,xi'dun
西冷庄,xi'leng'zhuang
西岭村,xi'ling'cun
西南坊,xi'nan'fang
西南旺,xi'nan'wang
西曲沂社区,xi'qu'yi'she'qu
西山东村,xi'shan'dong'cun
西重沟,xi'zhong'gou
香港路,xiang'gang'lu
相公,xiang'gong
相公党委,xiang'gong'dang'wei
香江美食园,xiang'jiang'mei'shi'yuan
香江汽车用品城,xiang'jiang'qi'che'yong'pin'cheng
香江时代华庭,xiang'jiang'shi'dai'hua'ting
香江五金机电市场,xiang'jiang'wu'jin'ji'dian'shi'chang
翔龙集团,xiang'long'ji'tuan
香榭丽舍,xiang'xie'li'she
香榭丽舍西门,xiang'xie'li'she'xi'men
翔宇医疗物流,xiang'yu'yi'liao'wu'liu
翔宇制药,xiang'yu'zhi'yao
相庄,xiang'zhuang
小埠东,xiao'bu'dong
小埠东橡胶坝,xiao'bu'dong'xiang'jiao'ba
小范庄,xiao'fan'zhuang
小葛庄,xiao'ge'zhuang
小葛庄河西,xiao'ge'zhuang'he'xi
小官庄,xiao'guan'zhuang
小李庄,xiao'li'zhuang
小林庄,xiao'lin'zhuang
小岭,xiao'ling
小南庄,xiao'nan'zhuang
小寺,xiao'si
小芝房,xiao'zhi'fang
小芝房南,xiao'zhi'fang'nan
小朱保居委,xiao'zhu'bao'ju'wei
小朱保西,xiao'zhu'bao'xi
小朱夏村,xiao'zhu'xia'cun
协和医院,xie'he'yi'yuan
谢家宅,xie'jia'zhai
谢家庄,xie'jia'zhuang
新城村,xin'cheng'cun
欣得利小区,xin'de'li'xiao'qu
欣德利小区,xin'de'li'xiao'qu
新港龙庭,xin'gang'long'ting
新河村,xin'he'cun
新华一路,xin'hua'yi'lu
新集子,xin'ji'zi
新天地小区,xin'tian'di'xiao'qu
新闻大厦,xin'wen'da'sha
幸福花城,xing'fu'hua'cheng
杏花村,xing'hua'cun
行政中心,xing'zheng'zhong'xin
胸科医院,xiong'ke'yi'yuan
徐林,xu'lin
徐屯,xu'tun
徐庄,xu'zhuang
延安路,yan'an'lu
烟农物流,yan'nong'wu'liu
砚台岭,yan'tai'ling
闫屯,yan'tun
盐务局,yan'wu'ju
阳光汽贸,yang'guang'qi'mao
阳光沙滩,yang'guang'sha'tan
杨岭,yang'ling
杨庄小区,yang'zhuang'xiao'qu
沂城花园,yi'cheng'hua'yuan
一尺街海鲜饺子楼,yi'chi'jie'hai'xian'jiao'zi'lou
移动大厦,yi'dong'da'sha
沂河宾馆,yi'he'bin'guan
沂河花园,yi'he'hua'yuan
义和岭,yi'he'ling
沂洪庄东,yi'hong'zhuang'dong
沂洪庄南,yi'hong'zhuang'nan
沂景华庭,yi'jing'hua'ting
怡景丽家,yi'jing'li'jia
怡景丽家国际家居广场,yi'jing'li'jia'guo'ji'jia'ju'guang'chang
怡景丽家国际家居直销中心,yi'jing'li'jia'guo'ji'jia'ju'zhi'xiao'zhong'xin
怡景丽家全球家具直销中心,yi'jing'li'jia'quan'qiu'jia'ju'zhi'xiao'zhong'xin
亿利达集团,yi'li'da'ji'tuan
沂龙湾大桥,yi'long'wan'da'qiao
沂蒙大楼,yi'meng'da'lou
沂蒙广场,yi'meng'guang'chang
怡朦酒店,yi'meng'jiu'dian
沂蒙路,yi'meng'lu
沂蒙学院,yi'meng'xue'yuan
义堂党委,yi'tang'dang'wei
义堂高速出入口,yi'tang'gao'su'chu'ru'kou
义堂公寓,yi'tang'gong'yu
义堂计生委,yi'tang'ji'sheng'wei
义堂木业市场,yi'tang'mu'ye'shi'chang
义堂中队,yi'tang'zhong'dui
义堂中学,yi'tang'zhong'xue
易通汽贸,yi'tong'qi'mao
依维柯维修站,yi'wei'ke'wei'xiu'zhan
医药中专,yi'yao'zhong'zhuan
颐正园,yi'zheng'yuan
沂州宾馆,yi'zhou'bin'guan
沂州路,yi'zhou'lu
沂洲水泥,yi'zhou'shui'ni
沂州水泥厂,yi'zhou'shui'ni'chang
银宝机械市场,yin'bao'ji'xie'shi'chang
银凤花园,yin'feng'hua'yuan
银丰佳园社区,yin'feng'jia'yuan'she'qu
银河中央公园,yin'he'zhong'yang'gong'yuan
银桥金居社区,yin'qiao'jin'ju'she'qu
银雀山公园,yin'que'shan'gong'yuan
银雀山水岸花园,yin'que'shan'shui'an'hua'yuan
银雀山税务局,yin'que'shan'shui'wu'ju
银座超市罗庄店,yin'zuo'chao'shi'luo'zhuang'dian
银座佳驿酒店,yin'zuo'jia'yi'jiu'dian
银座中心,yin'zuo'zhong'xin
永安保险,yong'an'bao'xian
永昌集团,yong'chang'ji'tuan
甬达印刷科技,yong'da'yin'shua'ke'ji
永固钢结构,yong'gu'gang'jie'gou
永和商务酒店,yong'he'shang'wu'jiu'dian
永盛门,yong'sheng'men
永兴玩具,yong'xing'wan'ju
永兴玩具城,yong'xing'wan'ju'cheng
尤村,you'cun
尤斜坊,you'xie'fang
尤斜坊北,you'xie'fang'bei
尤斜坊南,you'xie'fang'nan
友谊医院,you'yi'yi'yuan
尤庄子,you'zhuang'zi
裕城大厦,yu'cheng'da'sha
育界学校,yu'jie'xue'xiao
禹王城,yu'wang'cheng
禹屋,yu'wu
远通汽车集团,yuan'tong'qi'che'ji'tuan
云雀集团,yun'que'ji'tuan
枣沟头,zao'gou'tou
翟店子,zhai'dian'zi
寨外,zhai'wai
战前商场,zhan'qian'shang'chang
站前商场,zhan'qian'shang'chang
张家行,zhang'jia'xing
张庄,zhang'zhuang
张庄车站,zhang'zhuang'che'zhan
赵家庄,zhao'jia'zhuang
朝阳街道卫生院,zhao'yang'jie'dao'wei'sheng'yuan
朝阳社区,zhao'yang'she'qu
浙景国际,zhe'jing'guo'ji
浙景国际玫瑰园,zhe'jing'guo'ji'mei'gui'yuan
针织厂,zhen'zhi'chang
郑旺,zheng'wang
芝房桥东,zhi'fang'qiao'dong
志合医药,zhi'he'yi'yao
纸箱厂,zhi'xiang'chang
重沟邮政局,zhong'gou'you'zheng'ju
中国人民银行,zhong'guo'ren'min'yin'hang
中国人寿,zhong'guo'ren'shou
中化化肥,zhong'hua'hua'fei
中环新能源,zhong'huan'xin'neng'yuan
钟家埠,zhong'jia'bu
钟家村,zhong'jia'cun
中瑞医药,zhong'rui'yi'yao
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中学路口,zhong'xue'lu'kou
中远国际汽车城,zhong'yuan'guo'ji'qi'che'cheng
钟庄村,zhong'zhuang'cun
周官庄,zhou'guan'zhuang
周记骨头王,zhou'ji'gu'tou'wang
周井铺,zhou'jing'pu
周庄,zhou'zhuang
朱保,zhu'bao
朱保客运站,zhu'bao'ke'yun'zhan
朱保粮管所,zhu'bao'liang'guan'suo
朱保临商银行,zhu'bao'lin'shang'yin'hang
朱保中学,zhu'bao'zhong'xue
朱家斜坊,zhu'jia'xie'fang
朱老大饺子村,zhu'lao'da'jiao'zi'cun
朱里,zhu'li
竹林桥,zhu'lin'qiao
竹林桥小区,zhu'lin'qiao'xiao'qu
朱楼子,zhu'lou'zi
庄店子,zhuang'dian'zi
紫荆城,zi'jing'cheng
钻石钱柜,zuan'shi'qian'gui
