啊啊多少,a'a'duo'shao
个好点啦,ge'hao'dian'la
个好瞧,ge'hao'qiao
个好意思,ge'hao'yi'si
个好用,ge'hao'yong
格会,ge'hui
个回来啦,ge'hui'lai'la
个会有,ge'hui'you
个记得,ge'ji'de
个见过,ge'jian'guo
个旧,ge'jiu
个旧的,ge'jiu'de
个旧话,ge'jiu'hua
个旧了,ge'jiu'le
个旧人,ge'jiu'ren
个旧市,ge'jiu'shi
格局美,ge'ju'mei
个看见,ge'kan'jian
个看见啦,ge'kan'jian'la
个看了,ge'kan'le
咯可以,ge'ke'yi
葛可以,ge'ke'yi
个来得及,ge'lai'de'ji
个厉害,ge'li'hai
格林斯通,ge'lin'si'tong
格鲁吉亚语,ge'lu'ji'ya'yu
咯忙,ge'mang
葛忙,ge'mang
个梦儿,ge'meng'er
格姆,ge'mu
个那样,ge'na'yang
个喃,ge'nan
格难听,ge'nan'ting
个起啦,ge'qi'la
个起了,ge'qi'le
个确定,ge'que'ding
葛认得,ge'ren'de
个人借支,ge'ren'jie'zhi
格桑林卡,ge'sang'lin'ka
葛师,ge'shi
个是噶,ge'shi'ga
个是该,ge'shi'gai
个是啦,ge'shi'la
个是么,ge'shi'me
个收到了,ge'shou'dao'le
个收着,ge'shou'zhe
个睡得啦,ge'shui'de'la
个睡啦,ge'shui'la
个睡了,ge'shui'le
个提醒,ge'ti'xing
个听见,ge'ting'jian
个听见啦,ge'ting'jian'la
个听见了,ge'ting'jian'le
歌听听,ge'ting'ting
个完啦,ge'wan'la
个我抢,ge'wo'qiang
格物楼,ge'wu'lou
个下班,ge'xia'ban
个下班了,ge'xia'ban'le
个下课,ge'xia'ke
个羡慕,ge'xian'mu
各县配件,ge'xian'pei'jian
各项培训,ge'xiang'pei'xun
各项培训的进行,ge'xiang'pei'xun'de'jin'xing
各项培训的开展,ge'xiang'pei'xun'de'kai'zhan
各项培训开展,ge'xiang'pei'xun'kai'zhan
个肖,ge'xiao
个性古怪,ge'xing'gu'guai
个严重,ge'yan'zhong
葛要,ge'yao
哥要出三相,ge'yao'chu'san'xiang
个要得,ge'yao'de
个要的呀,ge'yao'de'ya
个要么,ge'yao'me
个要呢,ge'yao'ne
个要睡了,ge'yao'shui'le
个要我,ge'yao'wo
格宜镇,ge'yi'zhen
个有必要,ge'you'bi'yao
咯有人,ge'you'ren
葛有人,ge'you'ren
各有时间,ge'you'shi'jian
个有用,ge'you'yong
各雨量站,ge'yu'liang'zhan
个愿么,ge'yuan'me
个月就,ge'yue'jiu
个找着,ge'zhao'zhao
格致楼,ge'zhi'lou
个至于,ge'zhi'yu
各种媒体,ge'zhong'mei'ti
各种呢,ge'zhong'ne
各州市,ge'zhou'shi
个拽,ge'zhuai
格子廊,ge'zi'lang
个做啦,ge'zuo'la
个做了,ge'zuo'le
个做完,ge'zuo'wan
个做完了,ge'zuo'wan'le
给悲剧,gei'bei'ju
给参加,gei'can'jia
给差不多啦,gei'cha'bu'duo'la
给差不多了,gei'cha'bu'duo'le
给成功,gei'cheng'gong
给吃饱,gei'chi'bao
给吃饱啦,gei'chi'bao'la
给迟到,gei'chi'dao
给吃得,gei'chi'de
给吃的成,gei'chi'de'cheng
给吃的饭,gei'chi'de'fan
给吃的饭了,gei'chi'de'fan'le
给吃的啦,gei'chi'de'la
给吃的了,gei'chi'de'le
给吃点,gei'chi'dian
给吃掉,gei'chi'diao
给吃掉了,gei'chi'diao'le
给吃饭咯,gei'chi'fan'ge
给吃饭了,gei'chi'fan'le
给吃饭呢,gei'chi'fan'ne
给吃过,gei'chi'guo
给吃好啦,gei'chi'hao'la
给吃完饭,gei'chi'wan'fan
给吃完啦,gei'chi'wan'la
给吃药啦,gei'chi'yao'la
给吃药了,gei'chi'yao'le
给吃早点,gei'chi'zao'dian
给吃早点啦,gei'chi'zao'dian'la
给吃着,gei'chi'zhe
给出发了,gei'chu'fa'le
给出克,gei'chu'ke
给出来,gei'chu'lai
给出门,gei'chu'men
给出门啦,gei'chu'men'la
给聪明,gei'cong'ming
给打呢,gei'da'ne
给打球,gei'da'qiu
给打完,gei'da'wan
给打完了,gei'da'wan'le
给答应,gei'da'ying
给打针,gei'da'zhen
给带过兵,gei'dai'guo'bing
给的啦,gei'de'la
给得行,gei'de'xing
给等我,gei'deng'wo
给点名,gei'dian'ming
给堵,gei'du
给堵车,gei'du'che
给对啦,gei'dui'la
给对吗,gei'dui'ma
给多穿,gei'duo'chuan
给方便,gei'fang'bian
给放假了,gei'fang'jia'le
给放学,gei'fang'xue
给敢,gei'gan
给干净,gei'gan'jing
给敢来,gei'gan'lai
给敢么,gei'gan'me
给赶上,gei'gan'shang
给高,gei'gao
给跟,gei'gen
给跟我们,gei'gen'wo'men
给够,gei'gou
给乖,gei'guai
给贵,gei'gui
给过来啦,gei'guo'lai'la
给过来呢,gei'guo'lai'ne
给还敢,gei'hai'gan
给还克,gei'hai'ke
给还可以,gei'hai'ke'yi
给还去,gei'hai'qu
给还要,gei'hai'yao
给还有,gei'hai'you
给还有呢,gei'hai'you'ne
给还在,gei'hai'zai
给还在么,gei'hai'zai'me
给好啊,gei'hao'a
给好穿,gei'hao'chuan
给好打,gei'hao'da
给好过,gei'hao'guo
给好好,gei'hao'hao
给好好的,gei'hao'hao'de
给好好呢,gei'hao'hao'ne
给好喝,gei'hao'he
给好考,gei'hao'kao
给好嘛,gei'hao'ma
给好卖,gei'hao'mai
给好呢,gei'hao'ne
给好瞧,gei'hao'qiao
给好上,gei'hao'shang
给好睡,gei'hao'shui
给好些了,gei'hao'xie'le
给好意思,gei'hao'yi'si
给好在,gei'hao'zai
给好做,gei'hao'zuo
给合,gei'he
给和你,gei'he'ni
给和我,gei'he'wo
给欢迎,gei'huan'ying
给会被,gei'hui'bei
给回到家了,gei'hui'dao'jia'le
给会好点,gei'hui'hao'dian
给回啦,gei'hui'la
给会来,gei'hui'lai
给回来吃饭,gei'hui'lai'chi'fan
给回来的,gei'hui'lai'de
给会聊天,gei'hui'liao'tian
给会是,gei'hui'shi
给会说,gei'hui'shuo
给会说话,gei'hui'shuo'hua
给会死,gei'hui'si
给会有点,gei'hui'you'dian
给会在,gei'hui'zai
给会做,gei'hui'zuo
给活着,gei'huo'zhe
给急的,gei'ji'de
给记得呢,gei'ji'de'ne
给寂寞,gei'ji'mo
给见,gei'jian
给教新舞了,gei'jiao'xin'wu'le
给结束,gei'jie'shu
给结束了,gei'jie'shu'le
给紧张,gei'jin'zhang
给纠结,gei'jiu'jie
给决定,gei'jue'ding
给开完了,gei'kai'wan'le
给开学,gei'kai'xue
给看得,gei'kan'de
给看得懂,gei'kan'de'dong
给看得见,gei'kan'de'jian
给看得清,gei'kan'de'qing
给看电影,gei'kan'dian'ying
给看过了,gei'kan'guo'le
给看好,gei'kan'hao
给看好了,gei'kan'hao'le
给看剪卡,gei'kan'jian'ka
给看见我,gei'kan'jian'wo
给看完啦,gei'kan'wan'la
给考完了,gei'kao'wan'le
给科学,gei'ke'xue
给可以吃,gei'ke'yi'chi
给可以啦,gei'ke'yi'la
给可以么,gei'ke'yi'me
给可以呢,gei'ke'yi'ne
给可以用,gei'ke'yi'yong
给恐怖,gei'kong'bu
给困啦,gei'kun'la
给困了,gei'kun'le
给拉肚子,gei'la'du'zi
给来吃饭呢,gei'lai'chi'fan'ne
给来得及,gei'lai'de'ji
给来接我,gei'lai'jie'wo
给来看,gei'lai'kan
给来啦,gei'lai'la
给来嘛,gei'lai'ma
给来玩,gei'lai'wan
给来我家,gei'lai'wo'jia
给老火,gei'lao'huo
给累啦,gei'lei'la
给龙潭,gei'long'tan
给撸,gei'lu
给买啦,gei'mai'la
给买着,gei'mai'zhe
给忙呢,gei'mang'ne
给美丽,gei'mei'li
给明白,gei'ming'bai
给拿到,gei'na'dao
给耐得住,gei'nai'de'zhu
给难过,gei'nan'guo
给难考,gei'nan'kao
给难受,gei'nan'shou
给难听,gei'nan'ting
给呢嘛,gei'ne'ma
给能帮我,gei'neng'bang'wo
给能不学医,gei'neng'bu'xue'yi
给能不要,gei'neng'bu'yao
给能吃,gei'neng'chi
给能出来,gei'neng'chu'lai
给能到线,gei'neng'dao'xian
给能来,gei'neng'lai
给能去,gei'neng'qu
给能说,gei'neng'shuo
给能用,gei'neng'yong
给你测试下,gei'ni'ce'shi'xia
给你留满,gei'ni'liu'man
给你没半个,gei'ni'mei'ban'ge
给你要我,gei'ni'yao'wo
给牛逼,gei'niu'bi
给陪我,gei'pei'wo
给期待,gei'qi'dai
给起得来,gei'qi'de'lai
给奇怪,gei'qi'guai
给钱哈,gei'qian'ha
给请我,gei'qing'wo
给去的,gei'qu'de
给雀,gei'que
给人得,gei'ren'de
给认得啦,gei'ren'de'la
给认得了,gei'ren'de'le
给认得我,gei'ren'de'wo
给上班啦,gei'shang'ban'la
给上班了,gei'shang'ban'le
给上班呢,gei'shang'ban'ne
给上车,gei'shang'che
给上车了,gei'shang'che'le
给上啦,gei'shang'la
给是不理,gei'shi'bu'li
给是个,gei'shi'ge
给是叫,gei'shi'jiao
给是觉得,gei'shi'jue'de
给是你呢,gei'shi'ni'ne
给是呀,gei'shi'ya
给实验,gei'shi'yan
给是因为,gei'shi'yin'wei
给适应,gei'shi'ying
给实在,gei'shi'zai
给是这个,gei'shi'zhe'ge
给是真的,gei'shi'zhen'de
给收的,gei'shou'de
给收的到,gei'shou'de'dao
给收的着,gei'shou'de'zhe
给收着啦,gei'shou'zhe'la
给属于,gei'shu'yu
给睡得,gei'shui'de
给睡的啦,gei'shui'de'la
给睡掉,gei'shui'diao
给睡掉了,gei'shui'diao'le
给睡觉啦,gei'shui'jiao'la
给睡觉了,gei'shui'jiao'le
给睡咯,gei'shui'lo
给睡呢,gei'shui'ne
给睡醒,gei'shui'xing
给睡醒了,gei'shui'xing'le
给顺利,gei'shun'li
给说你,gei'shuo'ni
给算,gei'suan
给疼么,gei'teng'me
给听的,gei'ting'de
给听说,gei'ting'shuo
给玩过,gei'wan'guo
给完啦,gei'wan'la
给玩呢,gei'wan'ne
给我噶,gei'wo'ga
给我克,gei'wo'ke
给我太晚,gei'wo'tai'wan
给我整了,gei'wo'zheng'le
给无聊,gei'wu'liao
给无奈,gei'wu'nai
给习惯,gei'xi'guan
给洗好,gei'xi'hao
给洗好啦,gei'xi'hao'la
给喜欢我,gei'xi'huan'wo
给系哦啊天给你,gei'xi'o'a'tian'gei'ni
给下班啦,gei'xia'ban'la
给下班了,gei'xia'ban'le
给下拉,gei'xia'la
给下雪,gei'xia'xue
给下雨啦,gei'xia'yu'la
给像,gei'xiang
给想出来,gei'xiang'chu'lai
给想过,gei'xiang'guo
给想好啦,gei'xiang'hao'la
给想好了,gei'xiang'hao'le
给想看看,gei'xiang'kan'kan
给想克,gei'xiang'ke
给想来,gei'xiang'lai
给想去,gei'xiang'qu
给想睡了,gei'xiang'shui'le
给想听,gei'xiang'ting
给想我啦,gei'xiang'wo'la
给想我了,gei'xiang'wo'le
给肖,gei'xiao
给消等你,gei'xiao'deng'ni
给心疼,gei'xin'teng
给性,gei'xing
给行啊,gei'xing'a
给性感,gei'xing'gan
给行啦,gei'xing'la
给休息了,gei'xiu'xi'le
给严重,gei'yan'zhong
给洋气,gei'yang'qi
给要,gei'yao
给要吃饭了,gei'yao'chi'fan'le
给要带,gei'yao'dai
给要得,gei'yao'de
给要得成,gei'yao'de'cheng
给要回来啦,gei'yao'hui'lai'la
给要结婚,gei'yao'jie'hun
给要结婚了,gei'yao'jie'hun'le
给要脸,gei'yao'lian
给要呢,gei'yao'ne
给要求,gei'yao'qiu
给要睡,gei'yao'shui
给要睡啦,gei'yao'shui'la
给要睡了,gei'yao'shui'le
给要我帮你,gei'yao'wo'bang'ni
给要我来,gei'yao'wo'lai
给要我去,gei'yao'wo'qu
给要下班了,gei'yao'xia'ban'le
给要一起,gei'yao'yi'qi
给要这种,gei'yao'zhe'zhong
给一起吃饭,gei'yi'qi'chi'fan
给一样,gei'yi'yang
给赢,gei'ying
给应该,gei'ying'gai
给赢钱,gei'ying'qian
给有办法,gei'you'ban'fa
给有病,gei'you'bing
给有才,gei'you'cai
给有吃,gei'you'chi
给有吃了,gei'you'chi'le
给有电话,gei'you'dian'hua
给有发,gei'you'fa
给有感觉,gei'you'gan'jue
给有过,gei'you'guo
给有合适,gei'you'he'shi
给有货,gei'you'huo
给有活动,gei'you'huo'dong
给有见,gei'you'jian
给有可能,gei'you'ke'neng
给有卖,gei'you'mai
给有哪个,gei'you'na'ge
给有呢,gei'you'ne
给有其他,gei'you'qi'ta
给有人来,gei'you'ren'lai
给有人呢,gei'you'ren'ne
给有认识,gei'you'ren'shi
给有人要,gei'you'ren'yao
给有事情,gei'you'shi'qing
给有收到,gei'you'shou'dao
给有帅哥,gei'you'shuai'ge
给有谁,gei'you'shui
给有睡了,gei'you'shui'le
给又说,gei'you'shuo
给有图,gei'you'tu
给有问题,gei'you'wen'ti
给有消息,gei'you'xiao'xi
给有兴趣,gei'you'xing'qu
给有意见,gei'you'yi'jian
给游泳,gei'you'yong
给有这个,gei'you'zhe'ge
给有种,gei'you'zhong
给远,gei'yuan
给愿么,gei'yuan'me
给在啊,gei'zai'a
给在给在,gei'zai'gei'zai
给在昆明,gei'zai'kun'ming
给在上课,gei'zai'shang'ke
给在宿舍,gei'zai'su'she
给在学校,gei'zai'xue'xiao
给造孽,gei'zao'nie
给找到,gei'zhao'dao
给找得到,gei'zhao'de'dao
给找的着,gei'zhao'de'zhe
给招人,gei'zhao'ren
给找着了,gei'zhao'zhao'le
给真,gei'zhen
给真啊,gei'zhen'a
给真呢,gei'zhen'ne
给真实,gei'zhen'shi
给真心,gei'zhen'xin
给整好,gei'zheng'hao
给整好了,gei'zheng'hao'le
给整完了,gei'zheng'wan'le
给值,gei'zhi
给治愈,gei'zhi'yu
给拽,gei'zhuai
给准,gei'zhun
给子啊,gei'zi'a
给走啦,gei'zou'la
给走了,gei'zou'le
给做啦,gei'zuo'la
给坐上,gei'zuo'shang
给坐上车,gei'zuo'shang'che
根本认不得,gen'ben'ren'bu'de
跟冲,gen'chong
根大学时没两样,gen'da'xue'shi'mei'liang'yang
跟的他,gen'de'ta
根骨丹,gen'gu'dan
跟好么,gen'hao'me
根据以上方案,gen'ju'yi'shang'fang'an
跟昆明,gen'kun'ming
跟你克,gen'ni'ke
跟你款,gen'ni'kuan
跟你们一家,gen'ni'men'yi'jia
跟你学呢,gen'ni'xue'ne
跟她男朋友,gen'ta'nan'peng'you
跟特们,gen'te'men
跟我改一下邮费,gen'wo'gai'yi'xia'you'fei
跟我讲呢,gen'wo'jiang'ne
跟我也没有关系,gen'wo'ye'mei'you'guan'xi
更换刹车片,geng'huan'sha'che'pian
更换制动液,geng'huan'zhi'dong'ye
更戛,geng'jia
耿家营,geng'jia'ying
更老奶聊天,geng'lao'nai'liao'tian
耿马,geng'ma
耿马县,geng'ma'xian
耿马镇,geng'ma'zhen
更毛说,geng'mao'shuo
耿师,geng'shi
公安小区,gong'an'xiao'qu
龚保柱,gong'bao'zhu
工布江达,gong'bu'jiang'da
工厂制作,gong'chang'zhi'zuo
共成交,gong'cheng'jiao
供电所,gong'dian'suo
供电有限,gong'dian'you'xian
工队长,gong'dui'zhang
功果桥,gong'guo'qiao
公家村,gong'jia'cun
公交车场,gong'jiao'che'chang
公交枢纽站,gong'jiao'shu'niu'zhan
工口君,gong'kou'jun
工人新村,gong'ren'xin'cun
贡润祥,gong'run'xiang
贡桑,gong'sang
功山,gong'shan
贡山县,gong'shan'xian
功山镇,gong'shan'zhen
公司借支,gong'si'jie'zhi
公司派代流程,gong'si'pai'dai'liu'cheng
公司特开展,gong'si'te'kai'zhan
宫腾达,gong'teng'da
宫廷普洱茶,gong'ting'pu'er'cha
弓腰驼背,gong'yao'tuo'bei
公益收藏价格,gong'yi'shou'cang'jia'ge
宫莹,gong'ying
龚兆申,gong'zhao'shen
狗逼滚,gou'bi'gun
狗逼啦,gou'bi'la
狗街镇,gou'jie'zhen
狗日些,gou'ri'xie
狗肉米线,gou'rou'mi'xian
古茶树,gu'cha'shu
古城,gu'cheng
古城口,gu'cheng'kou
古城了,gu'cheng'le
古城楼,gu'cheng'lou
古城南门,gu'cheng'nan'men
古城区,gu'cheng'qu
古滇,gu'dian
固东,gu'dong
古敢,gu'gan
古管局,gu'guan'ju
古管委,gu'guan'wei
姑海,gu'hai
顾宏平,gu'hong'ping
骨灰级没给,gu'hui'ji'mei'gei
古几,gu'ji
估计不好瞧,gu'ji'bu'hao'qiao
估计是呢,gu'ji'shi'ne
顾客的不满意,gu'ke'de'bu'man'yi
古龙门下,gu'long'men'xia
鼓楼路,gu'lou'lu
古明地恋,gu'ming'di'lian
顾师,gu'shi
故事村,gu'shi'cun
古维,gu'wei
故意呢,gu'yi'ne
寡扯,gua'che
瓜尖,gua'jian
瓜头,gua'tou
挂一天几,gua'yi'tian'ji
怪不得没人去,guai'bu'de'mei'ren'qu
乖嘎,guai'ga
乖狗,guai'gou
乖了乖,guai'le'guai
怪里古董,guai'li'gu'dong
乖呢嘛,guai'ne'ma
乖呢那,guai'ne'na
怪你不会欣赏,guai'ni'bu'hui'xin'shang
怪事啦,guai'shi'la
管不下来,guan'bu'xia'lai
管不要打,guan'bu'yao'da
管春艳,guan'chun'yan
官渡粑粑,guan'du'ba'ba
官渡大酒店,guan'du'da'jiu'dian
官渡分局,guan'du'fen'ju
官渡古镇,guan'du'gu'zhen
官渡古筝,guan'du'gu'zheng
官渡广场,guan'du'guang'chang
官渡区,guan'du'qu
官渡支行,guan'du'zhi'hang
官二,guan'er
官二中,guan'er'zhong
官房,guan'fang
官房广场,guan'fang'guang'chang
管府城,guan'fu'cheng
灌溉制度,guan'gai'zhi'du
罐罐米线,guan'guan'mi'xian
管火,guan'huo
官家山,guan'jia'shan
关键十刻,guan'jian'shi'ke
冠江,guan'jiang
观景路,guan'jing'lu
观景台,guan'jing'tai
管经院,guan'jing'yuan
管理员好,guan'li'yuan'hao
观楼,guan'lou
关门口,guan'men'kou
官南,guan'nan
官南城,guan'nan'cheng
关南大道,guan'nan'da'dao
官南店,guan'nan'dian
官南路,guan'nan'lu
关平路,guan'ping'lu
官坡寺,guan'po'si
关上,guan'shang
关圣,guan'sheng
管师,guan'shi
灌水率,guan'shui'lv
管他了么,guan'ta'le'me
管他呢啦,guan'ta'ne'la
管网渗漏,guan'wang'shen'lou
官五中,guan'wu'zhong
关心路,guan'xin'lu
关兴路,guan'xing'lu
官一,guan'yi
官一中,guan'yi'zhong
观音街,guan'yin'jie
观音峡,guan'yin'xia
观音岩,guan'yin'yan
关雨路,guan'yu'lu
官寨,guan'zhai
光碧院,guang'bi'yuan
广电苑,guang'dian'yuan
广发药材,guang'fa'yao'cai
广福城,guang'fu'cheng
广福郡,guang'fu'jun
广福路,guang'fu'lu
广福路口,guang'fu'lu'kou
广福小区,guang'fu'xiao'qu
逛古城,guang'gu'cheng
光辉城市,guang'hui'cheng'shi
广基,guang'ji
广宽,guang'kuan
广南,guang'nan
广南县,guang'nan'xian
光欧普,guang'ou'pu
光谱学来,guang'pu'xue'lai
光义街,guang'yi'jie
广智院,guang'zhi'yuan
规范并形成,gui'fan'bing'xing'cheng
鬼喊辣叫,gui'han'la'jiao
鬼火得很,gui'huo'de'hen
鬼鸡,gui'ji
贵昆路,gui'kun'lu
鬼老二,gui'lao'er
鬼了鬼,gui'le'gui
龟龙湖,gui'long'hu
桂美轩,gui'mei'xuan
诡秘日眼,gui'mi'ri'yan
贵呢嘛,gui'ne'ma
圭山,gui'shan
桂山路,gui'shan'lu
贵太郎,gui'tai'lang
桂鑫园,gui'xin'yuan
贵研铂业,gui'yan'bo'ye
贵研自然界,gui'yan'zi'ran'jie
滚锅牛肉,gun'guo'niu'rou
滚水坝,gun'shui'ba
国仇未报,guo'chou'wei'bao
国仇未报人行老,guo'chou'wei'bao'ren'xing'lao
过得成,guo'de'cheng
过得掉,guo'de'diao
过得克,guo'de'ke
过的啦,guo'de'la
锅弟,guo'di
国付通,guo'fu'tong
国福现代城,guo'fu'xian'dai'cheng
过火把节,guo'huo'ba'jie
国际工商,guo'ji'gong'shang
国际工商学院,guo'ji'gong'shang'xue'yuan
国际花园,guo'ji'hua'yuan
国际会展中心,guo'ji'hui'zhan'zhong'xin
国际区号,guo'ji'qu'hao
国际商厦,guo'ji'shang'sha
国际事务中,guo'ji'shi'wu'zhong
国际银座,guo'ji'yin'zuo
国际友联,guo'ji'you'lian
郭家凹,guo'jia'ao
国家哪条法律,guo'jia'na'tiao'fa'lv
裹搅,guo'jiao
过昆明,guo'kun'ming
过来噶,guo'lai'ga
过来认识,guo'lai'ren'shi
过两久,guo'liang'jiu
过林卡,guo'lin'ka
果林溪谷,guo'lin'xi'gu
果绿漆,guo'lv'qi
国贸路,guo'mao'lu
国贸中心,guo'mao'zhong'xin
过呢好,guo'ne'hao
国内新闻网,guo'nei'xin'wen'wang
国内正常账单,guo'nei'zheng'chang'zhang'dan
郭琼双,guo'qiong'shuang
国殇墓园,guo'shang'mu'yuan
郭天顺,guo'tian'shun
果味奶,guo'wei'nai
过小哈,guo'xiao'ha
郭衍志,guo'yan'zhi
过意不克,guo'yi'bu'ke
过意不起,guo'yi'bu'qi
过依旧,guo'yi'jiu
国语了,guo'yu'le
郭志远,guo'zhi'yuan
锅子楼,guo'zi'lou
国资院,guo'zi'yuan
哈哈哈你好牛,ha'ha'ha'ni'hao'niu
哈哈是啦,ha'ha'shi'la
哈尼梯田,ha'ni'ti'tian
哈斯典型,ha'si'dian'xing
哈鲜族,ha'xian'zu
海拔都,hai'ba'dou
海伯利昂,hai'bo'li'ang
还不连呢,hai'bu'lian'ne
还不睡该,hai'bu'shui'gai
还不睡给,hai'bu'shui'gei
还不咋个,hai'bu'za'ge
海潮汇,hai'chao'hui
海岱,hai'dai
还带得上,hai'dai'dei'shang
还得聊,hai'dei'liao
海底怪物,hai'di'guai'wu
海丰社区,hai'feng'she'qu
海埂,hai'geng
海埂大坝,hai'geng'da'ba
海埂公园,hai'geng'gong'yuan
海埂会堂,hai'geng'hui'tang
海埂路,hai'geng'lu
还好呵呵,hai'hao'he'he
还好呢嘛,hai'hao'ne'ma
还好我不执着,hai'hao'wo'bu'zhi'zhuo
海浒,hai'hu
还换队服么,hai'huan'dui'fu'me
海口那边,hai'kou'na'bian
海口镇,hai'kou'zhen
还快呢嘛,hai'kuai'ne'ma
海丽宾雅,hai'li'bin'ya
海楼路,hai'lou'lu
海伦国际,hai'lun'guo'ji
还没得就没得,hai'mei'de'jiu'mei'de
还没追啊,hai'mei'zhui'a
海明路,hai'ming'lu
还某吃,hai'mou'chi
还某吃饭,hai'mou'chi'fan
还某吃呢,hai'mou'chi'ne
还某吃完,hai'mou'chi'wan
还某到家,hai'mou'dao'jia
还某发,hai'mou'fa
还某好,hai'mou'hao
还某回家,hai'mou'hui'jia
还某回来,hai'mou'hui'lai
还某开始,hai'mou'kai'shi
还某看,hai'mou'kan
还某克,hai'mou'ke
还某起,hai'mou'qi
还某说,hai'mou'shuo
还某完,hai'mou'wan
还某下,hai'mou'xia
还某下班,hai'mou'xia'ban
还某醒,hai'mou'xing
还某走,hai'mou'zou
还某做,hai'mou'zuo
还那么要求,hai'na'me'yao'qiu
嗨呢嘛,hai'ne'ma
还偶是,hai'ou'shi
害怕鬼,hai'pa'gui
还喷不过,hai'pen'bu'guo
害求怕,hai'qiu'pa
还让我加他,hai'rang'wo'jia'ta
害人啦,hai'ren'la
海稍鱼,hai'shao'yu
还是不错呢,hai'shi'bu'cuo'ne
还是大呢,hai'shi'da'ne
还是多的,hai'shi'duo'de
还是多么,hai'shi'duo'me
还是好吃的,hai'shi'hao'chi'de
还是好吃呢,hai'shi'hao'chi'ne
还是好卡,hai'shi'hao'ka
还是好看的,hai'shi'hao'kan'de
还是好看么,hai'shi'hao'kan'me
还是好么,hai'shi'hao'me
还是好玩的,hai'shi'hao'wan'de
还是合适呢,hai'shi'he'shi'ne
还是可以么,hai'shi'ke'yi'me
还是快的,hai'shi'kuai'de
还是快呢,hai'shi'kuai'ne
还是昆明,hai'shi'kun'ming
还是要点文艺,hai'shi'yao'dian'wen'yi
还是有点呢,hai'shi'you'dian'ne
还是有呢,hai'shi'you'ne
还是远呢,hai'shi'yuan'ne
还是咋个说,hai'shi'za'ge'shuo
还是咋说,hai'shi'za'shuo
还说关心我,hai'shuo'guan'xin'wo
还说来找你,hai'shuo'lai'zhao'ni
还说约你,hai'shuo'yue'ni
海棠饭店,hai'tang'fan'dian
还挺逗啊,hai'ting'dou'a
海屯路,hai'tun'lu
还要爆照,hai'yao'bao'zhao
还要讲究,hai'yao'jiang'jiu
还要忙什么,hai'yao'mang'shen'me
还有非洲,hai'you'fei'zhou
还有噶,hai'you'ga
还有人要去,hai'you'ren'yao'qu
海源北路,hai'yuan'bei'lu
海源路,hai'yuan'lu
海源寺,hai'yuan'si
海源中路,hai'yuan'zhong'lu
还咋个,hai'za'ge
还在拉萨,hai'zai'la'sa
还在丽江,hai'zai'li'jiang
还在是,hai'zai'shi
还在睡得,hai'zai'shui'de
还在睡着,hai'zai'shui'zhao
还在写一个制度,hai'zai'xie'yi'ge'zhi'du
还在早,hai'zai'zao
还早呢那,hai'zao'ne'na
孩子不好管啊,hai'zi'bu'hao'guan'a
海子村,hai'zi'cun
海子山,hai'zi'shan
憨宝宝,han'bao'bao
憨宝贝,han'bao'bei
憨不得,han'bu'de
憨不死,han'bu'si
憨不死呢,han'bu'si'ne
喊出克,han'chu'ke
憨的啦,han'de'la
憨的了,han'de'le
憨狗日,han'gou'ri
憨姑娘,han'gu'niang
憨憨呢,han'han'ne
韩江仙,han'jiang'xian
焊接机组,han'jie'ji'zu
憨烂屎,han'lan'shi
憨老公,han'lao'gong
憨了憨,han'le'han
憨了你会,han'le'ni'hui
憨猫,han'mao
喊喃,han'nan
憨男人,han'nan'ren
喊你克,han'ni'ke
憨女人,han'nv'ren
憨胖子,han'pang'zi
寒山风霜,han'shan'feng'shuang
含手续费,han'shou'xu'fei
喊我噶,han'wo'ga
喊我睡了,han'wo'shui'le
憨媳妇,han'xi'fu
寒雨轩,han'yu'xuan
韩云芳,han'yun'fang
喊杂种,han'za'zhong
憨猪,han'zhu
憨猪猪,han'zhu'zhu
汉庄,han'zhuang
汉庄镇,han'zhuang'zhen
旱作物,han'zuo'wu
航空小区,hang'kong'xiao'qu
航路,hang'lu
行业版,hang'ye'ban
航站区,hang'zhan'qu
好熬点,hao'ao'dian
昊邦,hao'bang
好比意思,hao'bi'yi'si
毫不科学,hao'bu'ke'xue
好不容易可以,hao'bu'rong'yi'ke'yi
好吃坊,hao'chi'fang
好吃了嘛,hao'chi'le'ma
好吃呢嘛,hao'chi'ne'ma
好歹么,hao'dai'me
好歹呢,hao'dai'ne
好带头人,hao'dai'tou'ren
好的成,hao'de'cheng
好灯多,hao'deng'duo
好掉了,hao'diao'le
好多的啦,hao'duo'de'la
毫发杂,hao'fa'za
好感动哟,hao'gan'dong'yo
好好哩,hao'hao'li
好好么说,hao'hao'me'shuo
好好呢讲,hao'hao'ne'jiang
好好呢考,hao'hao'ne'kao
好好呢说,hao'hao'ne'shuo
好好呢玩,hao'hao'ne'wan
好好尼,hao'hao'ni
好恒,hao'heng
浩宏,hao'hong
好几哈,hao'ji'ha
好久某,hao'jiu'mou
浩爵,hao'jue
好看噶,hao'kan'ga
好看呢嘛,hao'kan'ne'ma
好了该,hao'le'gai
号码么,hao'ma'me
好嘛呢,hao'ma'ne
好麦迪,hao'mai'di
好蛮么,hao'man'me
好么嘛,hao'me'ma
好呢噶,hao'ne'ga
好呢哈,hao'ne'ha
好呢好,hao'ne'hao
好呢快,hao'ne'kuai
好呢人,hao'ne'ren
好呢塞,hao'ne'sai
