阿母白媒人,a'mu'bai'mei'ren
夫达也者,fu'da'ye'zhe
夫道不欲杂,fu'dao'bu'yu'za
复道行空,fu'dao'heng'kong
夫道未始有封,fu'dao'wei'shi'you'feng
夫道一而已矣,fu'dao'yi'er'yi'yi
夫道有情有信,fu'dao'you'qing'you'xin
复得返自然,fu'de'fan'zi'ran
赋得古原草送别,fu'de'gu'yuan'cao'song'bie
赋得暮雨送李胄,fu'de'mu'yu'song'li'zhou
夫德遗尧,fu'de'yi'yao
夫得者困,fu'de'zhe'kun
夫得是而穷之者,fu'dei'shi'er'qiong'zhi'zhe
夫得是至美至乐也,fu'dei'shi'zhi'mei'zhi'le'ye
夫地非不广且大也,fu'di'fei'bu'guang'qie'da'ye
夫帝王之德,fu'di'wang'zhi'de
拂堤杨柳醉春烟,fu'di'yang'liu'zui'chun'yan
夫冻者假衣于春,fu'dong'zhe'jia'yi'yu'chun
俯而不对,fu'er'bu'dui
富而好礼者也,fu'er'hao'li'zhe'ye
富而可求也,fu'er'ke'qiu'ye
夫二三子也,fu'er'san'zi'ye
俯而视其大根,fu'er'shi'qi'da'gen
富而使人分之,fu'er'shi'ren'fen'zhi
富而无骄,fu'er'wu'jiao
富而无骄易,fu'er'wu'jiao'yi
夫二子之勇,fu'er'zi'zhi'yong
夫发于南海而飞于北海,fu'fa'yu'nan'hai'er'fei'yu'bei'hai
夫凡之亡不足以丧吾存,fu'fan'zhi'wang'bu'zu'yi'sang'wu'cun
夫风波易以动,fu'feng'bo'yi'yi'dong
夫丰狐文豹,fu'feng'hu'wen'bao
夫抚剑疾视曰,fu'fu'jian'ji'shi'yue
夫妇有别,fu'fu'you'bie
夫工乎天而,fu'gong'hu'tian'er
夫公明高以孝子之心为不若是恝,fu'gong'ming'gao'yi'xiao'zi'zhi'xin'wei'bu'ruo'shi'jia
夫弓弩毕弋机变之知多,fu'gong'nu'bi'yi'ji'bian'zhi'zhi'duo
夫苟其挫而不退矣,fu'gou'qi'cuo'er'bu'tui'yi
夫固将自化,fu'gu'jiang'zi'hua
夫故使人得而相汝,fu'gu'shi'ren'de'er'xiang'ru
富贵不能淫,fu'gui'bu'neng'yin
富贵而骄,fu'gui'er'jiao
复归其明,fu'gui'qi'ming
富贵是危机,fu'gui'shi'wei'ji
富贵寿善也,fu'gui'shou'shan'ye
复归于亳,fu'gui'yu'bo
复归于朴,fu'gui'yu'pu
富贵于我如浮云,fu'gui'yu'wo'ru'fu'yun
复归于物,fu'gui'yu'wu
复归于无极,fu'gui'yu'wu'ji
复归于婴儿,fu'gui'yu'ying'er
富贵在天,fu'gui'zai'tian
富贵之也,fu'gui'zhi'ye
夫国君好仁,fu'guo'jun'hao'ren
夫函车之兽,fu'han'che'zhi'shou
符号代之,fu'hao'dai'zhi
夫好知之乱天下也,fu'hao'zhi'zhi'luan'tian'xia'ye
夫何使我至於此极也,fu'he'shi'wo'zhi'yu'ci'ji'ye
夫何为哉,fu'he'wei'zai
夫何修焉,fu'he'xiu'yan
夫赫胥氏之时,fu'he'xu'shi'zhi'shi
夫何忧何惧,fu'he'you'he'ju
夫何远之有,fu'he'yuan'zhi'you
夫何足以配天乎,fu'he'zu'yi'pei'tian'hu
夫鹄不日浴而白,fu'hu'bu'ri'yu'er'bai
夫胡可以及化,fu'hu'ke'yi'ji'hua
夫胡为于大方,fu'hu'wei'yu'da'fang
夫环而攻之,fu'huan'er'gong'zhi
夫或改调一弦,fu'huo'gai'diao'yi'xian
弗获於上矣,fu'huo'yu'shang'yi
夫既或治之,fu'ji'huo'zhi'zhi
夫加之以衡扼,fu'jia'zhi'yi'heng'e
福建道中,fu'jian'dao'zhong
复见老子,fu'jian'lao'zi
复见孟子,fu'jian'meng'zi
夫将不欲,fu'jiang'bu'yu
复校无疑,fu'jiao'wu'yi
夫揭竿累,fu'jie'gan'lei
斧斤以时入山林,fu'jin'yi'shi'ru'shan'lin
夫今之歌者其谁乎,fu'jin'zhi'ge'zhe'qi'shui'hu
夫精粗者,fu'jing'cu'zhe
府君得闻之,fu'jun'de'wen'zhi
夫君子之居丧,fu'jun'zi'zhi'ju'sang
弗可以加矣,fu'ke'yi'jia'yi
父老犹记宣和事,fu'lao'you'ji'xuan'he'shi
父老争言雨水匀,fu'lao'zheng'yan'yu'shui'yun
夫乐杀人者,fu'le'sha'ren'zhe
拂了一身还满,fu'le'yi'shen'hai'man
负耒耜而自宋之滕,fu'lei'si'er'zi'song'zhi'teng
附离不以胶漆,fu'li'bu'yi'jiao'qi
夫力不足则伪,fu'li'bu'zu'ze'wei
府吏长跪告,fu'li'chang'gui'gao
府吏得闻之,fu'li'de'wen'zhi
府吏还家去,fu'li'hai'jia'qu
府吏见丁宁,fu'li'jian'ding'ning
府吏马在前,fu'li'ma'zai'qian
府吏默无声,fu'li'mo'wu'sheng
府吏谓新新妇,fu'li'wei'xin'xin'fu
府吏闻此变,fu'li'wen'ci'bian
府吏闻此事,fu'li'wen'ci'shi
府吏再拜还,fu'li'zai'bai'hai
夫两不相伤,fu'liang'bu'xiang'shang
夫两喜必多溢美之言,fu'liang'xi'bi'duo'yi'mei'zhi'yan
夫两者各,fu'liang'zhe'ge
夫列子御风而行,fu'lie'zi'yu'feng'er'xing
夫灵公也,fu'ling'gong'ye
夫灵公有妻三人,fu'ling'gong'you'qi'san'ren
夫灵公之为灵也久矣,fu'ling'gong'zhi'wei'ling'ye'jiu'yi
复令识者久叹嗟,fu'ling'shi'zhe'jiu'tan'jie
复灵以生,fu'ling'yi'sheng
夫流遁之志,fu'liu'dun'zhi'zhi
夫马陆居则食草饮水,fu'ma'lu'ju'ze'shi'cao'yin'shui
夫盲者无以与乎眉目颜色之好,fu'mang'zhe'wu'yi'yu'hu'mei'mu'yan'se'zhi'hao
夫孟孙氏尽之矣,fu'meng'sun'shi'jin'zhi'yi
夫民不难聚也,fu'min'bu'nan'ju'ye
夫民今而後得反之也,fu'min'jin'er'hou'de'fan'zhi'ye
夫民死已脱矣,fu'min'si'yi'tuo'yi
夫明白入素,fu'ming'bai'ru'su
夫明白于天地之德者,fu'ming'bai'yu'tian'di'zhi'de'zhe
夫明堂者,fu'ming'tang'zhe
复命摇作而以天为师,fu'ming'yao'zuo'er'yi'tian'wei'shi
复命曰常,fu'ming'yue'chang
福莫长于无祸,fu'mo'chang'yu'wu'huo
夫莫之命而常自然,fu'mo'zhi'ming'er'chang'zi'ran
副墨之子闻诸洛诵之孙,fu'mo'zhi'zi'wen'zhu'luo'song'zhi'sun
父母爱之,fu'mu'ai'zhi
父母冻饿,fu'mu'dong'e
父母恶之,fu'mu'e'zhi
父母岂欲吾贫哉,fu'mu'qi'yu'wu'pin'zai
父母使舜完廪,fu'mu'shi'shun'wan'lin
父母于子,fu'mu'yu'zi
父母之不我爱,fu'mu'zhi'bu'wo'ai
父母之年,fu'mu'zhi'nian
父母之心,fu'mu'zhi'xin
夫南行者至于郢,fu'nan'xing'zhe'zhi'yu'ying
抚念益慈柔,fu'nian'yi'ci'rou
妇女无所幸,fu'nv'wu'suo'xing
浮萍一道开,fu'ping'yi'dao'kai
夫岂不义而曾子言之,fu'qi'bu'yi'er'zeng'zi'yan'zhi
夫千里之远,fu'qian'li'zhi'yuan
抚乔木年华将晚,fu'qiao'mu'nian'hua'jiang'wan
夫巧知神圣之人,fu'qiao'zhi'shen'sheng'zhi'ren
夫且不止,fu'qie'bu'zhi
富且贵焉,fu'qie'gui'yan
夫秦王有虎狼之心,fu'qin'wang'you'hu'lang'zhi'xin
福轻乎羽,fu'qing'hu'yu
夫轻诺必寡信,fu'qing'nuo'bi'gua'xin
夫丘不与化为人,fu'qiu'bu'yu'hua'wei'ren
夫全其形生之人,fu'quan'qi'xing'sheng'zhi'ren
覆却万方陈乎前而不得入其舍,fu'que'wan'fang'chen'hu'qian'er'bu'de'ru'qi'she
夫然后行,fu'ran'hou'xing
夫人必自侮,fu'ren'bi'zi'wu
夫人不言,fu'ren'bu'yan
夫人蚕缫以为衣服,fu'ren'can'sao'yi'wei'yi'fu
妇人见之,fu'ren'jian'zhi
夫人情莫不贪生恶死,fu'ren'qing'mo'bu'tan'sheng'e'si
夫仁义惨然,fu'ren'yi'can'ran
夫仁义之行,fu'ren'yi'zhi'xing
夫人幼而学之,fu'ren'you'er'xue'zhi
夫仁者己欲立而立人,fu'ren'zhe'ji'yu'li'er'li'ren
夫仁政必自经界始,fu'ren'zheng'bi'zi'jing'jie'shi
夫人之难说也,fu'ren'zhi'nan'shuo'ye
夫人自称曰,fu'ren'zi'cheng'yue
芙蓉旌旗烟雾落,fu'rong'jing'qi'yan'wu'luo
芙蓉楼送辛渐,fu'rong'lou'song'xin'jian
芙蓉落尽天涵水,fu'rong'luo'jin'tian'han'shui
芙蓉泣露香兰笑,fu'rong'qi'lu'xiang'lan'xiao
芙蓉如面柳如眉,fu'rong'ru'mian'liu'ru'mei
芙蓉塘外有轻雷,fu'rong'tang'wai'you'qing'lei
芙蓉帐暖度春宵,fu'rong'zhang'nuan'du'chun'xiao
肤如凝脂,fu'ru'ning'zhi
夫若然者,fu'ruo'ran'zhe
夫若是者,fu'ruo'shi'zhe
夫三皇五帝之治天下不同,fu'san'huang'wu'di'zhi'zhi'tian'xia'bu'tong
夫三年之丧,fu'san'nian'zhi'sang
夫三子者,fu'san'zi'zhe
夫三子者之言何如,fu'san'zi'zhe'zhi'yan'he'ru
夫杀人之士民,fu'sha'ren'zhi'shi'min
夫谁与王敌,fu'shei'yu'wang'di
夫神者不自许也,fu'shen'zhe'bu'zi'xu'ye
浮生长恨欢娱少,fu'sheng'chang'hen'huan'yu'shao
浮生常恨飘蓬,fu'sheng'chang'hen'piao'peng
夫圣人未始有天,fu'sheng'ren'wei'shi'you'tian
夫圣人之治也,fu'sheng'ren'zhi'zhi'ye
浮生只合尊前老,fu'sheng'zhi'he'zun'qian'lao
伏尸百万,fu'shi'bai'wan
辅世长民莫如德,fu'shi'chang'min'mo'ru'de
夫施及三王而天下大骇矣,fu'shi'ji'san'wang'er'tian'xia'da'hai'yi
抚事慷慨,fu'shi'kang'kai
夫事其君者,fu'shi'qi'jun'zhe
夫适人之适而不自适其适,fu'shi'ren'zhi'shi'er'bu'zi'shi'qi'shi
伏尸数万,fu'shi'shu'wan
夫师天而不得师天,fu'shi'tian'er'bu'de'shi'tian
夫时子恶知其不可也,fu'shi'zi'e'zhi'qi'bu'ke'ye
夫受才乎大本,fu'shou'cai'hu'da'ben
俯首甘为孺子牛,fu'shou'gan'wei'ru'zi'niu
复守其母,fu'shou'qi'mu
俛首系颈,fu'shou'xi'jing
肤受之诉,fu'shou'zhi'su
夫孰能不波,fu'shu'neng'bu'bo
夫孰足以患心,fu'shu'zu'yi'huan'xin
拂水飘绵送行色,fu'shui'piao'mian'song'xing'se
夫水行不避蛟龙者,fu'shui'xing'bu'bi'jiao'long'zhe
夫水行莫如用舟,fu'shui'xing'mo'ru'yong'zhou
赴水则接腋持颐,fu'shui'ze'jie'ye'chi'yi
夫水之于,fu'shui'zhi'yu
傅说得之,fu'shuo'de'zhi
妇素未工诗,fu'su'wei'gong'shi
夫随其成心而师之,fu'sui'qi'cheng'xin'er'shi'zhi
夫逃虚空者,fu'tao'xu'kong'zhe
夫体道者,fu'ti'dao'zhe
浮天沧海远,fu'tian'cang'hai'yuan
夫恬淡寂漠,fu'tian'dan'ji'mo
夫天地者,fu'tian'di'zhe
夫天地至神矣,fu'tian'di'zhi'shen'yi
夫天机之所动,fu'tian'ji'zhi'suo'dong
浮天水送无穷树,fu'tian'shui'song'wu'qiong'shu
夫天未欲平治天下也,fu'tian'wei'yu'ping'zhi'tian'xia'ye
夫天无不覆,fu'tian'wu'bu'fu
夫天下莫大于秋豪之末,fu'tian'xia'mo'da'yu'qiu'hao'zhi'mo
夫天下也者,fu'tian'xia'ye'zhe
夫天下之所尊者,fu'tian'xia'zhi'suo'zun'zhe
俯听闻惊风,fu'ting'wen'jing'feng
复通为一,fu'tong'wei'yi
扶头酒醒,fu'tou'jiu'xing
夫王德之人,fu'wang'de'zhi'ren
复往邀之,fu'wang'yao'zhi
夫妄意室中之藏,fu'wang'yi'shi'zhong'zhi'cang
夫唯不可识,fu'wei'bu'ke'shi
夫唯不盈,fu'wei'bu'ying
夫唯不争,fu'wei'bu'zheng
夫为大不足以为大,fu'wei'da'bu'zu'yi'wei'da
夫谓非其有而取之者,fu'wei'fei'qi'you'er'qu'zhi'zhe
夫唯弗居,fu'wei'fu'ju
夫唯捷径以窘,fu'wei'jie'jing'yi'jiong
夫卫灵公饮酒湛乐,fu'wei'ling'gong'yin'jiu'zhan'le
夫唯灵修之故也,fu'wei'ling'xiu'zhi'gu'ye
伏惟启阿母,fu'wei'qi'a'mu
伏惟圣朝,fu'wei'sheng'chao
夫为天下亦若此而已,fu'wei'tian'xia'yi'ruo'ci'er'yi
夫为天下者,fu'wei'tian'xia'zhe
夫畏涂者,fu'wei'tu'zhe
夫唯外乎贤者知之矣,fu'wei'wai'hu'xian'zhe'zhi'zhi'yi
夫魏真为我累耳,fu'wei'zhen'wei'wo'lei'er
父为子隐,fu'wei'zi'yin
夫文王尽之也,fu'wen'wang'jin'zhi'ye
夫闻也者,fu'wen'ye'zhe
复闻之怠,fu'wen'zhi'dai
夫我乃行之,fu'wo'nai'xing'zhi
夫我则不暇,fu'wo'ze'bu'xia
夫物或行或随,fu'wu'huo'xing'huo'sui
复无极也,fu'wu'ji'ye
夫务免乎人之所不免者,fu'wu'mian'hu'ren'zhi'suo'bu'mian'zhe
夫无所县者,fu'wu'suo'xian'zhe
夫物芸芸,fu'wu'yun'yun
夫物之不齐,fu'wu'zhi'bu'qi
夫无庄之失其美,fu'wu'zhuang'zhi'shi'qi'mei
福兮祸所伏,fu'xi'huo'suo'fu
福兮祸之所伏,fu'xi'huo'zhi'suo'fu
伏戏氏得之,fu'xi'shi'de'zhi
伏羲始为天下,fu'xi'shi'wei'tian'xia
夫奚足以至乎先,fu'xi'zu'yi'zhi'hu'xian
夫先而妇从,fu'xian'er'fu'cong
父先而子从,fu'xian'er'zi'cong
夫相收之与相弃亦远矣,fu'xiang'shou'zhi'yu'xiang'qi'yi'yuan'yi
夫小惑易方,fu'xiao'huo'yi'fang
夫孝悌仁义,fu'xiao'ti'ren'yi
弗信於友矣,fu'xin'yu'you'yi
夫形全精复,fu'xing'quan'jing'fu
夫形色名声,fu'xing'se'ming'sheng
父兄百官皆不欲,fu'xiong'bai'guan'jie'bu'yu
夫虚静恬淡寂漠无为者,fu'xu'jing'tian'dan'ji'mo'wu'wei'zhe
夫婿轻薄儿,fu'xu'qing'bo'er
夫寻常之沟,fu'xun'chang'zhi'gou
夫徇耳目内通而外于心知,fu'xun'er'mu'nei'tong'er'wai'yu'xin'zhi
覆压三百余里,fu'ya'san'bai'yu'li
浮雁沉鱼,fu'yan'chen'yu
夫言非吹也,fu'yan'fei'chui'ye
凫雁满回塘,fu'yan'man'hui'tang
富阳僧舍作别语赠妓琼芳,fu'yang'seng'she'zuo'bie'yu'zeng'ji'qiong'fang
夫尧畜畜然仁,fu'yao'chu'chu'ran'ren
夫尧既已黥汝以仁义,fu'yao'ji'yi'qing'ru'yi'ren'yi
扶摇直上九万里,fu'yao'zhi'shang'jiu'wan'li
夫尧知贤人之利天下也,fu'yao'zhi'xian'ren'zhi'li'tian'xia'ye
夫以百亩之不易为己忧者,fu'yi'bai'mu'zhi'bu'yi'wei'ji'you'zhe
福亦不来,fu'yi'bu'lai
夫以出乎众为心者,fu'yi'chu'hu'zhong'wei'xin'zhe
赋以寄之,fu'yi'ji'zhi
夫亦将知止,fu'yi'jiang'zhi'zhi
夫夷节已不能,fu'yi'jie'yi'bu'neng
夫夷节之为人也,fu'yi'jie'zhi'wei'ren'ye
夫以利合者,fu'yi'li'he'zhe
负以灵鳌蟠以螭,fu'yi'ling'ao'pan'yi'chi
夫以鸟养养鸟者,fu'yi'niao'yang'yang'niao'zhe
夫以阳为充孔扬,fu'yi'yang'wei'chong'kong'yang
夫夷以近,fu'yi'yi'jin
夫已有所简矣,fu'yi'you'suo'jian'yi
夫夷子信以为人之亲其兄之子,fu'yi'zi'xin'yi'wei'ren'zhi'qin'qi'xiong'zhi'zi
福因才折,fu'yin'cai'zhe
夫尹公之他,fu'yin'gong'zhi'ta
夫尹士恶知予哉,fu'yin'shi'e'zhi'yu'zai
俯饮一杯酒,fu'yin'yi'bei'jiu
夫庸知其年之后生于吾乎,fu'yong'zhi'qi'nian'zhi'hou'sheng'yu'wu'hu
浮游不知所求,fu'you'bu'zhi'suo'qiu
夫有干越之剑者,fu'you'gan'yue'zhi'jian'zhe
腹犹果然,fu'you'guo'ran
浮游乎万物之祖,fu'you'hu'wan'wu'zhi'zu
富有天下,fu'you'tian'xia
夫有土者,fu'you'tu'zhe
复于不惑,fu'yu'bu'huo
鲋鱼忿然作色曰,fu'yu'fen'ran'zuo'se'yue
付与高阳俦侣,fu'yu'gao'yang'chou'lv
弗与共天位也,fu'yu'gong'tian'wei'ye
夫与国君同食,fu'yu'guo'jun'tong'shi
付与金尊,fu'yu'jin'zun
夫欲免为形者,fu'yu'mian'wei'xing'zhe
付与时人冷眼看,fu'yu'shi'ren'leng'yan'kan
弗与食天禄也,fu'yu'shi'tian'lu'ye
伏于岩穴,fu'yu'yan'xue
弗与治天职也,fu'yu'zhi'tian'zhi'ye
附於诸侯曰附庸,fu'yu'zhu'hou'yue'fu'yong
复欲追路至鹭鹚林,fu'yu'zhui'lu'zhi'lu'ci'lin
副元师勋塞天地,fu'yuan'shi'xun'sai'tian'di
副元帅固负若属耶,fu'yuan'shuai'gu'fu'ruo'shu'ye
斧钺之威弗能禁,fu'yue'zhi'wei'fu'neng'jin
浮云出处元无定,fu'yun'chu'chu'yuan'wu'ding
浮云一别后,fu'yun'yi'bie'hou
浮云游子意,fu'yun'you'zi'yi
浮云终日行,fu'yun'zhong'ri'xing
覆载天地,fu'zai'tian'di
覆载万物者也,fu'zai'wan'wu'zhe'ye
富哉言乎,fu'zai'yan'hu
夫造化者必以为不祥之人,fu'zao'hua'zhe'bi'yi'wei'bu'xiang'zhi'ren
夫造物者将以予为此拘拘也,fu'zao'wu'zhe'jiang'yi'yu'wei'ci'ju'ju'ye
夫造物者又将以予为此拘拘也,fu'zao'wu'zhe'you'jiang'yi'yu'wei'ci'ju'ju'ye
父则不祥,fu'ze'bu'xiang
富则多事,fu'ze'duo'shi
夫楂梨橘柚果,fu'zha'li'ju'you'guo
复照青苔上,fu'zhao'qing'tai'shang
夫召我者岂徒哉,fu'zhao'wo'zhe'qi'tu'zai
父召无诺,fu'zhao'wu'nuo
夫昭昭生于冥冥,fu'zhao'zhao'sheng'yu'ming'ming
夫折大木,fu'zhe'da'mu
夫至德之世,fu'zhi'de'zhi'shi
浮之江湖,fu'zhi'jiang'hu
复值接舆醉,fu'zhi'jie'yu'zui
夫至乐者,fu'zhi'le'zhe
夫支离者其形者,fu'zhi'li'zhe'qi'xing'zhe
夫埴木之性,fu'zhi'mu'zhi'xing
弗知乃知乎,fu'zhi'nai'zhi'hu
弗知内矣,fu'zhi'nei'yi
夫至仁尚矣,fu'zhi'ren'shang'yi
夫至人有世,fu'zhi'ren'you'shi
夫至人者,fu'zhi'ren'zhe
夫知亦有之,fu'zhi'yi'you'zhi
辅之翼之,fu'zhi'yi'zhi
夫知有所待而后当,fu'zhi'you'suo'dai'er'hou'dang
夫知遇而不知所不遇,fu'zhi'yu'er'bu'zhi'suo'bu'yu
夫执舆者为谁,fu'zhi'yu'zhe'wei'shui
夫知者不言,fu'zhi'zhe'bu'yan
罘之知多,fu'zhi'zhi'duo
夫志至焉,fu'zhi'zhi'yan
腹中贮书一万卷,fu'zhong'zhu'shu'yi'wan'juan
服周之冕,fu'zhou'zhi'mian
覆坠而不反,fu'zhui'er'bu'fan
附赘县疣出乎形哉,fu'zhui'xian'you'chu'hu'xing'zai
夫子奔逸绝尘,fu'zi'ben'yi'jue'chen
夫子必居一於此矣,fu'zi'bi'ju'yi'yu'ci'yi
夫子辩亦辩也,fu'zi'bian'yi'bian'ye
夫子不答,fu'zi'bu'da
夫子不为也,fu'zi'bu'wei'ye
父子不相见,fu'zi'bu'xiang'jian
夫子不言而信,fu'zi'bu'yan'er'xin
夫子步亦步,fu'zi'bu'yi'bu
夫子步亦步也,fu'zi'bu'yi'bu'ye
夫子不欲乎,fu'zi'bu'yu'hu
夫子驰亦驰,fu'zi'chi'yi'chi
夫子驰亦驰也,fu'zi'chi'yi'chi'ye
夫子出于山,fu'zi'chu'yu'shan
夫子当路於齐,fu'zi'dang'lu'yu'qi
夫子德配天地,fu'zi'de'pei'tian'di
夫子固有惑志于公伯寮,fu'zi'gu'you'huo'zhi'yu'gong'bo'liao
夫子固拙于用大矣,fu'zi'gu'zhuo'yu'yong'da'yi
夫子何不谭我于王,fu'zi'he'bu'tan'wo'yu'wang
夫子何故见之变容失色,fu'zi'he'gu'jian'zhi'bian'rong'shi'se
夫子何哂由也,fu'zi'he'shen'you'ye
夫子何为,fu'zi'he'wei
夫子何为不执弓,fu'zi'he'wei'bu'zhi'gong
夫子何为顷间甚不庭乎,fu'zi'he'wei'qing'jian'shen'bu'ting'hu
夫子何为者,fu'zi'he'wei'zhe
夫子阖行邪,fu'zi'he'xing'xie
夫子胡不入乎,fu'zi'hu'bu'ru'hu
夫子既圣矣,fu'zi'ji'sheng'yi
夫子加齐之卿相,fu'zi'jia'qi'zhi'qing'xiang
夫子见老聃,fu'zi'jian'lao'dan
夫子教我以正,fu'zi'jiao'wo'yi'zheng
夫子喟然叹曰,fu'zi'kui'ran'tan'yue
夫子立而天下治,fu'zi'li'er'tian'xia'zhi
夫子乱人之性也,fu'zi'luan'ren'zhi'xing'ye
夫子其行可矣,fu'zi'qi'xing'ke'yi
父子青善,fu'zi'qing'shan
夫子求之也,fu'zi'qiu'zhi'ye
夫子趋亦趋,fu'zi'qu'yi'qu
夫子趋亦趋也,fu'zi'qu'yi'qu'ye
夫子若有不豫色然,fu'zi'ruo'you'bu'yu'se'ran
夫子若欲使天下无失其牧乎,fu'zi'ruo'yu'shi'tian'xia'wu'shi'qi'mu'hu
夫子哂之,fu'zi'shen'zhi
夫子圣矣乎,fu'zi'sheng'yi'hu
夫子圣者与,fu'zi'sheng'zhe'yu
夫子时然后言,fu'zi'shi'ran'hou'yan
夫子时也,fu'zi'shi'ye
夫子矢之曰,fu'zi'shi'zhi'yue
夫子顺也,fu'zi'shun'ye
夫子贪生失理而为此乎,fu'zi'tan'sheng'shi'li'er'wei'ci'hu
夫子莞尔而笑曰,fu'zi'wan'er'er'xiao'yue
夫子未出於正也,fu'zi'wei'chu'yu'zheng'ye
夫子为卫君乎,fu'zi'wei'wei'jun'hu
夫子温良恭俭让以得之,fu'zi'wen'liang'gong'jian'rang'yi'de'zhi
夫子问于老聃曰,fu'zi'wen'yu'lao'dan'yue
夫子卧而不听,fu'zi'wo'er'bu'ting
夫子怃然曰,fu'zi'wu'ran'yue
夫子无所发予之狂言而死矣夫,fu'zi'wu'suo'fa'yu'zhi'kuang'yan'er'si'yi'fu
夫子无意于横目之民乎,fu'zi'wu'yi'yu'heng'mu'zhi'min'hu
夫子奚不时来入观乎,fu'zi'xi'bu'shi'lai'ru'guan'hu
夫自细视大者不尽,fu'zi'xi'shi'da'zhe'bu'jin
父子相亲,fu'zi'xiang'qin
父子相夷,fu'zi'xiang'yi
夫子循循然善诱人,fu'zi'xun'xun'ran'shan'you'ren
夫子焉不学,fu'zi'yan'bu'xue
夫子言道,fu'zi'yan'dao
夫子言亦言也,fu'zi'yan'yi'yan'ye
夫子言之,fu'zi'yan'zhi
夫子亦放德而行,fu'zi'yi'fang'de'er'xing
夫子亦听矣,fu'zi'yi'ting'yi
夫子以为孟浪之言,fu'zi'yi'wei'meng'lang'zhi'yan
夫子有乎,fu'zi'you'hu
父子有亲,fu'zi'you'qin
夫子有忧色,fu'zi'you'you'se
夫子欲藏书,fu'zi'yu'cang'shu
夫子欲寡其过而未能也,fu'zi'yu'gua'qi'guo'er'wei'neng'ye
夫子欲之,fu'zi'yu'zhi
夫子与之游,fu'zi'yu'zhi'you
夫子之不可及也,fu'zi'zhi'bu'ke'ji'ye
夫子之不援,fu'zi'zhi'bu'yuan
夫子之道,fu'zi'zhi'dao
夫子之得邦家者,fu'zi'zhi'de'bang'jia'zhe
父子之间不青善,fu'zi'zhi'jian'bu'qing'shan
夫子之墙数仞,fu'zi'zhi'qiang'shu'ren
夫子之说君子也,fu'zi'zhi'shuo'jun'zi'ye
夫子之谓也,fu'zi'zhi'wei'ye
夫子之问也,fu'zi'zhi'wen'ye
夫子之文章,fu'zi'zhi'wen'zhang
夫子之言性与天道,fu'zi'zhi'yan'xing'yu'tian'dao
父子之宜,fu'zi'zhi'yi
夫子至于是邦也,fu'zi'zhi'yu'shi'bang'ye
夫子之云,fu'zi'zhi'yun
父子主恩,fu'zi'zhu'en
夫子自道也,fu'zi'zi'dao'ye
俯足以畜妻子,fu'zu'yi'chu'qi'zi
夫醉者之坠车,fu'zui'zhe'zhi'zhui'che
夫尊卑先后,fu'zun'bei'xian'hou
夫尊古而卑今,fu'zun'gu'er'bei'jin
盖不敢不饱也,gai'bu'gan'bu'bao'ye
盖不能以寸管形容之,gai'bu'neng'yi'cun'guan'xing'rong'zhi
赅而存焉,gai'er'cun'yan
盖将甚敬而不急,gai'jiang'shen'jing'er'bu'ji
盖将自其变者而观之,gai'jiang'zi'qi'bian'zhe'er'guan'zhi
盖均无贫,gai'jun'wu'pin
盖禄万锺,gai'lu'wan'zhong
盖蒙其伤怜而已,gai'meng'qi'shang'lian'er'yi
盖其又深,gai'qi'you'shen
盖阙如也,gai'que'ru'ye
盖人生历程,gai'ren'sheng'li'cheng
盖上世尝有不葬其亲者,gai'shang'shi'chang'you'bu'zang'qi'qin'zhe
盖师是而无非,gai'shi'shi'er'wu'fei
盖十世希不失矣,gai'shi'shi'xi'bu'shi'yi
盖微招角招是也,gai'wei'zhao'jiao'zhao'shi'ye
盖闻善摄生者,gai'wen'shan'she'sheng'zhe
盖西伯拘而演周易,gai'xi'bo'ju'er'yan'zhou'yi
盖亦反其本矣,gai'yi'fan'qi'ben'yi
盖音谬也,gai'yin'miu'ye
盖有不知而作之者,gai'you'bu'zhi'er'zuo'zhi'zhe
盖有之矣,gai'you'zhi'yi
盖余所至,gai'yu'suo'zhi
盖在殷忧必竭诚以待下,gai'zai'yin'you'bi'jie'cheng'yi'dai'xia
改之为贵,gai'zhi'wei'gui
盖自是台无也,gai'zi'shi'tai'wu'ye
感此怀故人,gan'ci'huai'gu'ren
感此伤妾心,gan'ci'shang'qie'xin
肝胆楚越也,gan'dan'chu'yue'ye
肝胆皆冰雪,gan'dan'jie'bing'xue
感而后应,gan'er'hou'ying
感而缀诗,gan'er'zhui'shi
敢告云山从此始,gan'gao'yun'shan'cong'ci'shi
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
干戈戚扬,gan'ge'qi'yang
敢哗者死,gan'hua'zhe'si
感激东风,gan'ji'dong'feng
感寂漠而伤神,gan'ji'mo'er'shang'shen
敢将十指夸针巧,gan'jiang'shi'zhi'kua'zhen'qiao
甘井先竭,gan'jing'xian'jie
感君缠绵意,gan'jun'chan'mian'yi
感君区区怀,gan'jun'qu'qu'huai
感时抚事增惋伤,gan'shi'fu'shi'zeng'wan'shang
感时花溅泪,gan'shi'hua'jian'lei
感斯人言,gan'si'ren'yan
干惟画肉不画骨,gan'wei'hua'rou'bu'hua'gu
敢问不见诸侯,gan'wen'bu'jian'zhu'hou
敢问崇德修慝辨惑,gan'wen'chong'de'xiu'te'bian'huo
敢问夫子恶乎长,gan'wen'fu'zi'e'hu'chang
