鞍底,an'di
牙源性囊肿,ya'yuan'xing'nang'zhong
压脂,ya'zhi
延迟,yan'chi
延迟期,yan'chi'qi
岩骨,yan'gu
咽后间隙,yan'hou'jian'xi
眼眶,yan'kuang
咽旁间隔,yan'pang'jian'ge
咽旁间隙,yan'pang'jian'xi
延髓,yan'sui
炎性,yan'xing
炎性病变,yan'xing'bing'bian
咽隐窝,yan'yin'wo
炎症,yan'zheng
眼周,yan'zhou
腰骶,yao'di
腰骶段,yao'di'duan
咬肌,yao'ji
腰椎,yao'zhui
腰椎骨质增生,yao'zhui'gu'zhi'zeng'sheng
腰椎退行性变,yao'zhui'tui'xing'xing'bian
叶间裂膨隆征,ye'jian'lie'peng'long'zheng
液性,ye'xing
液性密度影,ye'xing'mi'du'ying
液性信号影,ye'xing'xin'hao'ying
异常,yi'chang
异常密度影,yi'chang'mi'du'ying
异常信号影,yi'chang'xin'hao'ying
遗传,yi'chuan
胰管,yi'guan
以及,yi'ji
亦见,yi'jian
亦未见,yi'wei'jian
胰腺,yi'xian
胰腺假性囊肿,yi'xian'jia'xing'nang'zhong
乙状窦,yi'zhuang'dou
阴道,yin'dao
隐睾,yin'gao
引流管影,yin'liu'guan'ying
阴影,yin'ying
硬膜囊,ying'mo'nang
硬膜囊明显受压,ying'mo'nang'ming'xian'shou'ya
硬膜囊受压,ying'mo'nang'shou'ya
硬膜外,ying'mo'wai
硬膜下,ying'mo'xia
营养不良,ying'yang'bu'liang
营养不良性钙化,ying'yang'bu'liang'xing'gai'hua
鹰嘴,ying'zui
鹰嘴突,ying'zui'tu
鹰嘴窝,ying'zui'wo
右侧,you'ce
右侧放射冠,you'ce'fang'she'guan
右侧份,you'ce'fen
右侧附件区,you'ce'fu'jian'qu
右侧基底节区,you'ce'ji'di'jie'qu
右侧丘脑,you'ce'qiu'nao
右侧上颌窦,you'ce'shang'he'dou
右侧神经根,you'ce'shen'jing'gen
右侧神经根出口变窄,you'ce'shen'jing'gen'chu'kou'bian'zhai
右侧神经根受压,you'ce'shen'jing'gen'shou'ya
右侧输尿管,you'ce'shu'niao'guan
右侧外耳道,you'ce'wai'er'dao
右侧外耳道软组织密度影,you'ce'wai'er'dao'ruan'zu'zhi'mi'du'ying
右肺,you'fei
右肺上叶,you'fei'shang'ye
右肺上叶后段,you'fei'shang'ye'hou'duan
右肺上叶尖段,you'fei'shang'ye'jian'duan
右肺上叶前段,you'fei'shang'ye'qian'duan
右肺下叶,you'fei'xia'ye
右肺下叶背段,you'fei'xia'ye'bei'duan
右肺下叶后基底段,you'fei'xia'ye'hou'ji'di'duan
右肺下叶内基底段,you'fei'xia'ye'nei'ji'di'duan
右肺下叶前基底段,you'fei'xia'ye'qian'ji'di'duan
右肺下叶外基底段,you'fei'xia'ye'wai'ji'di'duan
右肺中叶,you'fei'zhong'ye
右肺中叶内侧段,you'fei'zhong'ye'nei'ce'duan
右肺中叶外侧段,you'fei'zhong'ye'wai'ce'duan
右后方突出,you'hou'fang'tu'chu
右后突,you'hou'tu
右肾,you'shen
右肾积水,you'shen'ji'shui
右肾结石,you'shen'jie'shi
有所,you'suo
右膝,you'xi
右膝关节,you'xi'guan'jie
右下鼻甲肥厚,you'xia'bi'jia'fei'hou
右叶,you'ye
右移,you'yi
右支,you'zhi
右肘,you'zhou
盂唇,yu'chun
余肺,yu'fei
余肺未见异常密度影,yu'fei'wei'jian'yi'chang'mi'du'ying
余肝实质未见异常密度影,yu'gan'shi'zhi'wei'jian'yi'chang'mi'du'ying
余肝实质未见异常信号影,yu'gan'shi'zhi'wei'jian'yi'chang'xin'hao'ying
余脑质密度未见异常,yu'nao'zhi'mi'du'wei'jian'yi'chang
余脑质未见异常密度影,yu'nao'zhi'wei'jian'yi'chang'mi'du'ying
余脑质未见异常信号影,yu'nao'zhi'wei'jian'yi'chang'xin'hao'ying
余脑质信号未见异常,yu'nao'zhi'xin'hao'wei'jian'yi'chang
与前变化不大,yu'qian'bian'hua'bu'da
与前片对比,yu'qian'pian'dui'bi
与前片无明显改变,yu'qian'pian'wu'ming'xian'gai'bian
与前无明显改变,yu'qian'wu'ming'xian'gai'bian
迂曲,yu'qu
余未见异常,yu'wei'jian'yi'chang
余椎间盘未见明显膨出及突出,yu'zhui'jian'pan'wei'jian'ming'xian'peng'chu'ji'tu'chu
远端,yuan'duan
圆锥,yuan'zhui
月骨,yue'gu
云雾状,yun'wu'zhuang
在侧基底节区,zai'ce'ji'di'jie'qu
造影剂,zao'ying'ji
增粗,zeng'cu
增高,zeng'gao
增厚,zeng'hou
增强后,zeng'qiang'hou
增深,zeng'shen
增生,zeng'sheng
占位影,zhan'wei'ying
真空征,zhen'kong'zheng
枕叶,zhen'ye
正常,zheng'chang
征象,zheng'xiang
直肠,zhi'chang
直窦,zhi'dou
趾短伸肌,zhi'duan'shen'ji
趾短伸肌肌腱,zhi'duan'shen'ji'ji'jian
脂肪,zhi'fang
脂肪间隔,zhi'fang'jian'ge
脂肪间隙,zhi'fang'jian'xi
趾骨,zhi'gu
跖骨,zhi'gu
蹠骨,zhi'gu
之间,zhi'jian
直径,zhi'jing
支气管肺炎,zhi'qi'guan'fei'yan
支气管囊肿,zhi'qi'guan'nang'zhong
值约,zhi'yue
脂质子图,zhi'zhi'zi'tu
肿大淋巴结,zhong'da'lin'ba'jie
肿大淋巴结影,zhong'da'lin'ba'jie'ying
中耳乳突炎,zhong'er'ru'tu'yan
中间楔骨,zhong'jian'xie'gu
中颅窝,zhong'lu'wo
中下鼻甲无肥厚,zhong'xia'bi'jia'wu'fei'hou
中线结构无移位,zhong'xian'jie'gou'wu'yi'wei
中线结构右移,zhong'xian'jie'gou'you'yi
中线结构左移,zhong'xian'jie'gou'zuo'yi
中央,zhong'yang
中央帆腔,zhong'yang'fan'qiang
中央型,zhong'yang'xing
中叶,zhong'ye
周边,zhou'bian
舟骨,zhou'gu
周围软组织,zhou'wei'ruan'zu'zhi
周围软组织形态及信号正常,zhou'wei'ruan'zu'zhi'xing'tai'ji'xin'hao'zheng'chang
主动脉弓,zhu'dong'mai'gong
逐渐,zhu'jian
诸脑室,zhu'nao'shi
蛛网膜下腔出血,zhu'wang'mo'xia'qiang'chu'xie
主支气管通畅,zhu'zhi'qi'guan'tong'chang
转移瘤,zhuan'yi'liu
转子间,zhuan'zi'jian
椎弓板,zhui'gong'ban
椎弓根,zhui'gong'gen
椎管,zhui'guan
椎管狭窄,zhui'guan'xia'zhai
椎间孔,zhui'jian'kong
椎间孔外型,zhui'jian'kong'wai'xing
椎间孔型,zhui'jian'kong'xing
椎间盘局限性向后方突出,zhui'jian'pan'ju'xian'xing'xiang'hou'fang'tu'chu
椎间盘未见明显膨出及突出征象,zhui'jian'pan'wei'jian'ming'xian'peng'chu'ji'tu'chu'zheng'xiang
椎间盘向周围膨出,zhui'jian'pan'xiang'zhou'wei'peng'chu
椎间隙,zhui'jian'xi
椎体后部,zhui'ti'hou'bu
椎体内突出,zhui'ti'nei'tu'chu
椎体前部,zhui'ti'qian'bu
椎体上部,zhui'ti'shang'bu
椎体上缘,zhui'ti'shang'yuan
椎体下部,zhui'ti'xia'bu
椎体下缘,zhui'ti'xia'yuan
椎体终板,zhui'ti'zhong'ban
椎体终板炎,zhui'ti'zhong'ban'yan
椎小关节,zhui'xiao'guan'jie
子宫,zi'gong
子宫肌壁,zi'gong'ji'bi
子宫肌壁间肌瘤,zi'gong'ji'bi'jian'ji'liu
子宫内膜,zi'gong'nei'mo
子宫腺肌症,zi'gong'xian'ji'zheng
子宫直肠窝,zi'gong'zhi'chang'wo
籽骨,zi'gu
纵隔,zong'ge
纵隔淋巴结增大,zong'ge'lin'ba'jie'zeng'da
综合征,zong'he'zheng
纵裂池,zong'lie'chi
组成,zu'cheng
组成诸骨,zu'cheng'zhu'gu
阻塞,zu'se
阻塞性,zu'se'xing
阻塞性炎症,zu'se'xing'yan'zheng
最厚约,zui'hou'yue
最宽约,zui'kuan'yue
左侧,zuo'ce
左侧额窦明显膨大,zuo'ce'e'dou'ming'xian'peng'da
左侧放射冠,zuo'ce'fang'she'guan
左侧份,zuo'ce'fen
左侧附件区,zuo'ce'fu'jian'qu
左侧丘脑,zuo'ce'qiu'nao
左侧神经根,zuo'ce'shen'jing'gen
左侧神经根出口变窄,zuo'ce'shen'jing'gen'chu'kou'bian'zhai
左侧神经根受压,zuo'ce'shen'jing'gen'shou'ya
左侧输尿管,zuo'ce'shu'niao'guan
左侧外耳道,zuo'ce'wai'er'dao
左侧外耳道软组织密度影,zuo'ce'wai'er'dao'ruan'zu'zhi'mi'du'ying
左肺,zuo'fei
左肺上舌段,zuo'fei'shang'she'duan
左肺上叶,zuo'fei'shang'ye
左肺上叶尖后段,zuo'fei'shang'ye'jian'hou'duan
左肺上叶前段,zuo'fei'shang'ye'qian'duan
左肺舌段,zuo'fei'she'duan
左肺下舌段,zuo'fei'xia'she'duan
左肺下叶,zuo'fei'xia'ye
左肺下叶背段,zuo'fei'xia'ye'bei'duan
左肺下叶后基底段,zuo'fei'xia'ye'hou'ji'di'duan
左肺下叶前内基底段,zuo'fei'xia'ye'qian'nei'ji'di'duan
左肺下叶外基底段,zuo'fei'xia'ye'wai'ji'di'duan
坐股韧带,zuo'gu'ren'dai
左后方突出,zuo'hou'fang'tu'chu
左后突,zuo'hou'tu
左肩,zuo'jian
左肾,zuo'shen
左肾积水,zuo'shen'ji'shui
左肾结石,zuo'shen'jie'shi
左膝关节,zuo'xi'guan'jie
左下鼻甲肥厚,zuo'xia'bi'jia'fei'hou
左叶,zuo'ye
左移,zuo'yi
左右,zuo'you
