按比例缩小,an'bi'li'suo'xiao
零点移位法,ling'dian'yi'wei'fa
零交叉检测器,ling'jiao'cha'jian'ce'qi
灵敏度,ling'min'du
零任偶,ling'ren'ou
零子,ling'zi
笼形天线,long'xing'tian'xian
漏波天线,lou'bo'tian'xian
漏极电导,lou'ji'dian'dao
漏失,lou'shi
漏泄同轴电缆,lou'xie'tong'zhou'dian'lan
卢瑟福背散射谱学,lu'se'fu'bei'san'she'pu'xue
逻辑摆幅,luo'ji'bai'fu
逻辑电路,luo'ji'dian'lu
逻辑模拟,luo'ji'mo'ni
螺旋相位天线,luo'xuan'xiang'wei'tian'xian
滤波器,lv'bo'qi
埋层,mai'ceng
脉冲,mai'chong
脉冲发射机,mai'chong'fa'she'ji
脉冲放大器,mai'chong'fang'da'qi
脉冲幅度,mai'chong'fu'du
脉冲功率,mai'chong'gong'lv
脉冲后沿,mai'chong'hou'yan
脉冲检波,mai'chong'jian'bo
脉冲宽度,mai'chong'kuan'du
脉冲前沿,mai'chong'qian'yan
脉冲调制,mai'chong'tiao'zhi
脉冲引导电路,mai'chong'yin'dao'dian'lu
脉幅调制,mai'fu'tiao'zhi
脉宽调制,mai'kuan'tiao'zhi
脉码调制,mai'ma'tiao'zhi
脉时调制,mai'shi'tiao'zhi
脉位调制,mai'wei'tiao'zhi
脉泽,mai'ze
毛细成形技术,mao'xi'cheng'xing'ji'shu
媒质,mei'zhi
门传输延迟,men'chuan'shu'yan'chi
门海,men'hai
门阵列,men'zhen'lie
门阵列法,men'zhen'lie'fa
密度递减阵天线,mi'du'di'jian'zhen'tian'xian
米尔斯交叉天线,mi'er'si'jiao'cha'tian'xian
米勒积分电路,mi'le'ji'fen'dian'lu
面接触二极管,mian'jie'chu'er'ji'guan
面天线,mian'tian'xian
磨边,mo'bian
膜过滤,mo'guo'lv
膜环滤波器,mo'huan'lv'bo'qi
磨角染色法,mo'jiao'ran'se'fa
模拟乘法器,mo'ni'cheng'fa'qi
模拟集成电路,mo'ni'ji'cheng'dian'lu
模拟能力,mo'ni'neng'li
磨球面,mo'qiu'mian
模式,mo'shi
模式变换器,mo'shi'bian'huan'qi
模式滤波器,mo'shi'lv'bo'qi
模数转换器,mo'shu'zhuan'huan'qi
模型参数提取,mo'xing'can'shu'ti'qu
磨圆,mo'yuan
母版,mu'ban
母片,mu'pian
钼栅工艺,mu'shan'gong'yi
难熔金属硅化物,nan'rong'jin'shu'gui'hua'wu
内反射谱学,nei'fan'she'pu'xue
内建势,nei'jian'shi
内建诊断电路,nei'jian'zhen'duan'dian'lu
内量子效率,nei'liang'zi'xiao'lv
内引线焊接,nei'yin'xian'han'jie
逆变器,ni'bian'qi
逆程率,ni'cheng'lv
捏练,nie'lian
扭折,niu'zhe
浓度剖面分布,nong'du'pou'mian'fen'bu
耦合度,ou'he'du
耦合环,ou'he'huan
耦合孔,ou'he'kong
耦合探针,ou'he'tan'zhen
偶极子,ou'ji'zi
偶极子天线,ou'ji'zi'tian'xian
拍频振荡器,pai'pin'zhen'dang'qi
排气,pai'qi
盘锥天线,pan'zhui'tian'xian
旁瓣,pang'ban
庞加莱球,pang'jia'lai'qiu
抛光,pao'guang
抛物环面天线,pao'wu'huan'mian'tian'xian
抛物面反射器,pao'wu'mian'fan'she'qi
抛物面天线,pao'wu'mian'tian'xian
喷雾干燥,pen'wu'gan'zao
硼磷硅玻璃,peng'lin'gui'bo'li
劈,pi
匹配,pi'pei
匹配段,pi'pei'duan
匹配滤波器,pi'pei'lv'bo'qi
匹配终端,pi'pei'zhong'duan
劈形终端,pi'xing'zhong'duan
漂移区,piao'yi'qu
频率,pin'lv
频率抖动,pin'lv'dou'dong
频率阶跃,pin'lv'jie'yue
频率牵引,pin'lv'qian'yin
频率特性,pin'lv'te'xing
频率稳定度,pin'lv'wen'ding'du
频偏,pin'pian
频谱,pin'pu
频移键控,pin'yi'jian'kong
品质因数,pin'zhi'yin'shu
平板法兰盘,ping'ban'fa'lan'pan
平顶降落,ping'ding'jiang'luo
平顶天线,ping'ding'tian'xian
平方律检波,ping'fang'lv'jian'bo
平方余割天线,ping'fang'yu'ge'tian'xian
平衡混频器,ping'heng'hun'pin'qi
平衡检波器,ping'heng'jian'bo'qi
平接关节,ping'jie'guan'jie
平均功率,ping'jun'gong'lv
平流层传播,ping'liu'ceng'chuan'bo
平面波,ping'mian'bo
平面二极管,ping'mian'er'ji'guan
平面工艺,ping'mian'gong'yi
平面极化,ping'mian'ji'hua
平面晶体管,ping'mian'jing'ti'guan
平面网络,ping'mian'wang'luo
平面阵,ping'mian'zhen
平嵌天线,ping'qian'tian'xian
平行极化,ping'xing'ji'hua
奇点,qi'dian
启发式布线,qi'fa'shi'bu'xian
齐纳二极管,qi'na'er'ji'guan
气态源扩散,qi'tai'yuan'kuo'san
鳍线,qi'xian
气相质量转移系数,qi'xiang'zhi'liang'zhuan'yi'xi'shu
浅结工艺,qian'jie'gong'yi
潜望镜天线,qian'wang'jing'tian'xian
箝位,qian'wei
箝位二极管,qian'wei'er'ji'guan
箝位器,qian'wei'qi
前置放大器,qian'zhi'fang'da'qi
强迫振荡,qiang'po'zhen'dang
切比雪夫滤波器,qie'bi'xue'fu'lv'bo'qi
切片,qie'pian
轻掺杂漏极技术,qing'chan'za'lou'ji'ji'shu
清洗,qing'xi
球焊,qiu'han
球面波,qiu'mian'bo
球面阵,qiu'mian'zhen
趋肤效应,qu'fu'xiao'ying
去胶,qu'jiao
去蜡,qu'la
去离子水,qu'li'zi'shui
去耦滤波器,qu'ou'lv'bo'qi
曲折滤波器,qu'zhe'lv'bo'qi
全通网络,quan'tong'wang'luo
全向天线,quan'xiang'tian'xian
群时延,qun'shi'yan
群速,qun'su
绕杆式天线,rao'gan'shi'tian'xian
热壁反应器,re'bi'fan'ying'qi
热超声焊,re'chao'sheng'han
热电器件,re'dian'qi'jian
热电子晶体管,re'dian'zi'jing'ti'guan
热击穿,re'ji'chuan
热挤压,re'ji'ya
热解吸质谱术,re'jie'xi'zhi'pu'shu
热压,re'ya
热压焊,re'ya'han
热压铸,re'ya'zhu
热氧化,re'yang'hua
热载流子二极管,re'zai'liu'zi'er'ji'guan
任意单元法,ren'yi'dan'yuan'fa
任意子,ren'yi'zi
容错,rong'cuo
容抗,rong'kang
冗余技术,rong'yu'ji'shu
乳胶版,ru'jiao'ban
软波导,ruan'bo'dao
软失效率,ruan'shi'xiao'lv
三端网络,san'duan'wang'luo
散射,san'she
散射系数,san'she'xi'shu
三态缓冲器,san'tai'huan'chong'qi
三态逻辑,san'tai'luo'ji
三维集成电路,san'wei'ji'cheng'dian'lu
伞形反射天线,san'xing'fan'she'tian'xian
伞形天线,san'xing'tian'xian
扫描,sao'miao
扫描电子显微镜学,sao'miao'dian'zi'xian'wei'jing'xue
扫描俄歇电子能谱学,sao'miao'e'xie'dian'zi'neng'pu'xue
扫描发生器,sao'miao'fa'sheng'qi
扫描角,sao'miao'jiao
扫描扇形,sao'miao'shan'xing
扫描时间,sao'miao'shi'jian
扫频振荡器,sao'pin'zhen'dang'qi
扫时间,sao'shi'jian
筛分析法,shai'fen'xi'fa
栅瓣,shan'ban
扇出,shan'chu
扇入,shan'ru
扇形波束天线,shan'xing'bo'shu'tian'xian
上边带,shang'bian'dai
上变频,shang'bian'pin
上冲,shang'chong
上升时间,shang'sheng'shi'jian
上釉,shang'you
烧结,shao'jie
射程分布,she'cheng'fen'bu
射极输出器,she'ji'shu'chu'qi
射频放大器,she'pin'fang'da'qi
射频溅射,she'pin'jian'she
射频离子镀,she'pin'li'zi'du
射频质谱仪,she'pin'zhi'pu'yi
深度分布,shen'du'fen'bu
神经网络,shen'jing'wang'luo
深能级瞬态谱学,shen'neng'ji'shun'tai'pu'xue
深紫外光刻,shen'zi'wai'guang'ke
升压高电平时钟发生器,sheng'ya'gao'dian'ping'shi'zhong'fa'sheng'qi
生长率,sheng'zhang'lv
时基电路,shi'ji'dian'lu
时间常数,shi'jian'chang'shu
势垒高度,shi'lei'gao'du
史密斯圆图,shi'mi'si'yuan'tu
施密特触发器,shi'mi'te'chu'fa'qi
石墨承热器,shi'mo'cheng're'qi
失配,shi'pei
失配终端,shi'pei'zhong'duan
视频处理器,shi'pin'chu'li'qi
视频放大器,shi'pin'fang'da'qi
视频信号处理电路,shi'pin'xin'hao'chu'li'dian'lu
失锁,shi'suo
失调电压,shi'tiao'dian'ya
失谐,shi'xie
时序波瓣控制,shi'xu'bo'ban'kong'zhi
时序模拟,shi'xu'mo'ni
时延常数,shi'yan'chang'shu
湿氧氧化,shi'yang'yang'hua
石英反应室,shi'ying'fan'ying'shi
石英谐振器,shi'ying'xie'zhen'qi
势越二极管,shi'yue'er'ji'guan
时钟发生器,shi'zhong'fa'sheng'qi
时钟脉冲,shi'zhong'mai'chong
视轴,shi'zhou
梳齿滤波器,shu'chi'lv'bo'qi
输出电阻,shu'chu'dian'zu
输出阻抗,shu'chu'zu'kang
疏化阵天线,shu'hua'zhen'tian'xian
数模转换器,shu'mo'zhuan'huan'qi
输入电阻,shu'ru'dian'zu
输入阻抗,shu'ru'zu'kang
数字电路,shu'zi'dian'lu
数字集成电路,shu'zi'ji'cheng'dian'lu
数字滤波器,shu'zi'lv'bo'qi
数字用户线滤波器,shu'zi'yong'hu'xian'lv'bo'qi
刷洗,shua'xi
刷新周期,shua'xin'zhou'qi
衰减,shuai'jian
衰减常数,shuai'jian'chang'shu
衰减器,shuai'jian'qi
甩胶,shuai'jiao
闩锁效应,shuan'suo'xiao'ying
双边带调制,shuang'bian'dai'tiao'zhi
双工器,shuang'gong'qi
双极存储器,shuang'ji'cun'chu'qi
双极晶体管,shuang'ji'jing'ti'guan
双极型集成电路,shuang'ji'xing'ji'cheng'dian'lu
双聚焦质谱仪,shuang'ju'jiao'zhi'pu'yi
双扩散,shuang'kuo'san
双列直插式封装,shuang'lie'zhi'cha'shi'feng'zhuang
双面研磨,shuang'mian'yan'mo
双栅场效晶体管,shuang'shan'chang'xiao'jing'ti'guan
双稳触发电路,shuang'wen'chu'fa'dian'lu
双向二极管,shuang'xiang'er'ji'guan
双向晶闸管,shuang'xiang'jing'zha'guan
双向性,shuang'xiang'xing
双折射,shuang'zhe'she
双锥天线,shuang'zhui'tian'xian
水负载,shui'fu'zai
水平极化,shui'ping'ji'hua
水汽氧化,shui'qi'yang'hua
瞬时功率,shun'shi'gong'lv
瞬态,shun'tai
四端网络,si'duan'wang'luo
四分之一波长变换器,si'fen'zhi'yi'bo'chang'bian'huan'qi
伺服放大器,si'fu'fang'da'qi
四极质谱仪,si'ji'zhi'pu'yi
塑封,su'feng
塑封晶体管,su'feng'jing'ti'guan
算术逻辑部件,suan'shu'luo'ji'bu'jian
隧道二极管,sui'dao'er'ji'guan
随机存取存储器,sui'ji'cun'qu'cun'chu'qi
损伤感生缺陷,sun'shang'gan'sheng'que'xian
损伤吸杂工艺,sun'shang'xi'za'gong'yi
锁定,suo'ding
锁相,suo'xiang
锁相环路,suo'xiang'huan'lu
锁相鉴频器,suo'xiang'jian'pin'qi
锁相振荡器,suo'xiang'zhen'dang'qi
他激振荡器,ta'ji'zhen'dang'qi
台阶覆盖,tai'jie'fu'gai
台面晶体管,tai'mian'jing'ti'guan
陶瓷封装,tao'ci'feng'zhuang
套筒短柱天线,tao'tong'duan'zhu'tian'xian
套筒偶极子天线,tao'tong'ou'ji'zi'tian'xian
特性阻抗,te'xing'zu'kang
特征参数,te'zheng'can'shu
特征频率,te'zheng'pin'lv
替位扩散,ti'wei'kuo'san
梯形波,ti'xing'bo
梯型网络,ti'xing'wang'luo
天波,tian'bo
天线,tian'xian
天线方向图,tian'xian'fang'xiang'tu
天线基准轴,tian'xian'ji'zhun'zhou
天线罩,tian'xian'zhao
天线阵,tian'xian'zhen
调幅,tiao'fu
调幅发射机,tiao'fu'fa'she'ji
调幅器,tiao'fu'qi
调频,tiao'pin
调频发射机,tiao'pin'fa'she'ji
调相,tiao'xiang
调相发射机,tiao'xiang'fa'she'ji
调谐,tiao'xie
调谐放大器,tiao'xie'fang'da'qi
调谐振荡器,tiao'xie'zhen'dang'qi
调制,tiao'zhi
调制掺杂场效晶体管,tiao'zhi'chan'za'chang'xiao'jing'ti'guan
调制器,tiao'zhi'qi
调制指数,tiao'zhi'zhi'shu
跳周,tiao'zhou
铁电场效晶体管,tie'dian'chang'xiao'jing'ti'guan
同步,tong'bu
同步带,tong'bu'dai
同步检波器,tong'bu'jian'bo'qi
同步器,tong'bu'qi
通带,tong'dai
通断键控,tong'duan'jian'kong
同轴电缆,tong'zhou'dian'lan
同轴天线,tong'zhou'tian'xian
同轴线,tong'zhou'xian
透镜天线,tou'jing'tian'xian
透明版,tou'ming'ban
透射高能电子衍射,tou'she'gao'neng'dian'zi'yan'she
投影光刻机,tou'ying'guang'ke'ji
投影射程,tou'ying'she'cheng
涂胶,tu'jiao
图象抑制混频器,tu'xiang'yi'zhi'hun'pin'qi
图形发生器,tu'xing'fa'sheng'qi
图形畸变,tu'xing'ji'bian
退火,tui'huo
退极化,tui'ji'hua
推挽功率放大器,tui'wan'gong'lv'fang'da'qi
椭偏仪法,tuo'pian'yi'fa
椭圆波导,tuo'yuan'bo'dao
椭圆极化,tuo'yuan'ji'hua
外差接收机,wai'cha'jie'shou'ji
外差振荡器,wai'cha'zhen'dang'qi
外反射谱学,wai'fan'she'pu'xue
外扩散,wai'kuo'san
外量子效率,wai'liang'zi'xiao'lv
外延隔离,wai'yan'ge'li
外引线焊接,wai'yin'xian'han'jie
网络函数,wang'luo'han'shu
网络综合,wang'luo'zong'he
微波,wei'bo
微波单片集成电路,wei'bo'dan'pian'ji'cheng'dian'lu
微波混合集成电路,wei'bo'hun'he'ji'cheng'dian'lu
微波集成电路,wei'bo'ji'cheng'dian'lu
微波网络,wei'bo'wang'luo
微处理器,wei'chu'li'qi
微带,wei'dai
微带偶极子,wei'dai'ou'ji'zi
微带天线,wei'dai'tian'xian
微带阵,wei'dai'zhen
微分电路,wei'fen'dian'lu
微封装,wei'feng'zhuang
微功耗集成电路,wei'gong'hao'ji'cheng'dian'lu
位线,wei'xian
位移电流,wei'yi'dian'liu
温差电致冷器,wen'cha'dian'zhi'leng'qi
稳压二极管,wen'ya'er'ji'guan
涡流,wo'liu
无惯性扫描,wu'guan'xing'sao'miao
无耗网络,wu'hao'wang'luo
无机光刻胶,wu'ji'guang'ke'jiao
乌兰韦伯天线,wu'lan'wei'bo'tian'xian
戊类放大器,wu'lei'fang'da'qi
无险触发器,wu'xian'chu'fa'qi
无源单元,wu'yuan'dan'yuan
无源网络,wu'yuan'wang'luo
无源元件,wu'yuan'yuan'jian
吸杂,xi'za
下边带,xia'bian'dai
下变频,xia'bian'pin
匣钵,xia'bo
下冲,xia'chong
下降时间,xia'jiang'shi'jian
限幅,xian'fu
限幅放大器,xian'fu'fang'da'qi
限幅器,xian'fu'qi
线极化,xian'ji'hua
线宽,xian'kuan
限累模式,xian'lei'mo'shi
线栅透镜天线,xian'shan'tou'jing'tian'xian
线天线,xian'tian'xian
线性集成电路,xian'xing'ji'cheng'dian'lu
线性检波,xian'xing'jian'bo
线性失真,xian'xing'shi'zhen
线性泰勒分布,xian'xing'tai'le'fen'bu
线性调制,xian'xing'tiao'zhi
线性网络,xian'xing'wang'luo
线性相位滤波器,xian'xing'xiang'wei'lv'bo'qi
显影,xian'ying
线源,xian'yuan
箱法扩散,xiang'fa'kuo'san
相干检波器,xiang'gan'jian'bo'qi
相关检测器,xiang'guan'jian'ce'qi
相控阵,xiang'kong'zhen
相敏放大器,xiang'min'fang'da'qi
相频特性,xiang'pin'te'xing
相时延,xiang'shi'yan
相速,xiang'su
相位,xiang'wei
相位比较器,xiang'wei'bi'jiao'qi
相位抖动,xiang'wei'dou'dong
相位阶跃,xiang'wei'jie'yue
相移,xiang'yi
相移常数,xiang'yi'chang'shu
相移键控,xiang'yi'jian'kong
相移鉴频器,xiang'yi'jian'pin'qi
相移网络,xiang'yi'wang'luo
响应函数,xiang'ying'han'shu
小规模集成电路,xiao'gui'mo'ji'cheng'dian'lu
效率,xiao'lv
肖特基集成注入逻辑,xiao'te'ji'ji'cheng'zhu'ru'luo'ji
肖特基势垒二极管,xiao'te'ji'shi'lei'er'ji'guan
消旋天线,xiao'xuan'tian'xian
谐波,xie'bo
谐波分析,xie'bo'fen'xi
楔焊,xie'han
斜率鉴频器,xie'lv'jian'pin'qi
斜视,xie'shi
谐振,xie'zhen
谐振腔,xie'zhen'qiang
信号流图,xin'hao'liu'tu
芯片尺寸,xin'pian'chi'cun
修整,xiu'zheng
虚设单元,xu'she'dan'yuan
旋磁媒质,xuan'ci'mei'zhi
旋磁器件,xuan'ci'qi'jian
旋电媒质,xuan'dian'mei'zhi
选粒,xuan'li
选频放大器,xuan'pin'fang'da'qi
选择掺杂,xuan'ze'chan'za
选择扩散,xuan'ze'kuo'san
选择性,xuan'ze'xing
选择氧化,xuan'ze'yang'hua
旋转关节,xuan'zhuan'guan'jie
削波,xue'bo
削波器,xue'bo'qi
亚毫米波,ya'hao'mi'bo
压控振荡器,ya'kong'zhen'dang'qi
压滤,ya'lv
轧膜,ya'mo
掩蔽扩散,yan'bi'kuo'san
延迟线,yan'chi'xian
掩模,yan'mo
掩模对准,yan'mo'dui'zhun
延伸线,yan'shen'xian
氧化层陷阱电荷,yang'hua'ceng'xian'jing'dian'he
氧化感生堆垛层错,yang'hua'gan'sheng'dui'duo'ceng'cuo
氧化感生缺陷,yang'hua'gan'sheng'que'xian
氧化去胶,yang'hua'qu'jiao
氧化掩模,yang'hua'yan'mo
氧化增强扩散,yang'hua'zeng'qiang'kuo'san
阳极氧化法,yang'ji'yang'hua'fa
页分段模式,ye'fen'duan'mo'shi
页模式,ye'mo'shi
液态源扩散,ye'tai'yuan'kuo'san
乙类放大器,yi'lei'fang'da'qi
移位寄存器,yi'wei'ji'cun'qi
移相器,yi'xiang'qi
移相振荡器,yi'xiang'zhen'dang'qi
异质结晶体管,yi'zhi'jie'jing'ti'guan
异质结双极晶体管,yi'zhi'jie'shuang'ji'jing'ti'guan
阴极输出器,yin'ji'shu'chu'qi
音频放大器,yin'pin'fang'da'qi
音频振荡器,yin'pin'zhen'dang'qi
隐失模式,yin'shi'mo'shi
引线键合,yin'xian'jian'he
引线框式键合,yin'xian'kuang'shi'jian'he
引向器单元,yin'xiang'qi'dan'yuan
印压,yin'ya
应力感生缺陷,ying'li'gan'sheng'que'xian
影象参数,ying'xiang'can'shu
用户专线接口滤波路,yong'hu'zhuan'xian'jie'kou'lv'bo'lu
有效值,you'xiao'zhi
有源网络,you'yuan'wang'luo
有源元件,you'yuan'yuan'jian
有源阵,you'yuan'zhen
余摆线聚焦质谱仪,yu'bai'xian'ju'jiao'zhi'pu'yi
预充电周期,yu'chong'dian'zhou'qi
与非门,yu'fei'men
鱼骨天线,yu'gu'tian'xian
与或堆栈寄存器,yu'huo'dui'zhan'ji'cun'qi
与或门,yu'huo'men
预加重网络,yu'jia'zhong'wang'luo
预扩散,yu'kuo'san
阈逻辑电路,yu'luo'ji'dian'lu
与门,yu'men
预烧,yu'shao
余误差函数分布,yu'wu'cha'han'shu'fen'bu
预压,yu'ya
语音网络,yu'yin'wang'luo
阈值电流,yu'zhi'dian'liu
阈值电压,yu'zhi'dian'ya
远场区,yuan'chang'qu
圆顶相控阵天线,yuan'ding'xiang'kong'zhen'tian'xian
圆极化,yuan'ji'hua
圆扫描,yuan'sao'miao
元素靶,yuan'su'ba
圆形波导,yuan'xing'bo'dao
原型滤波器,yuan'xing'lv'bo'qi
圆锥阵,yuan'zhui'zhen
原子频标,yuan'zi'pin'biao
约瑟夫森隧道逻辑,yue'se'fu'sen'sui'dao'luo'ji
运流电流,yun'liu'dian'liu
运算放大器,yun'suan'fang'da'qi
杂质扩散,za'zhi'kuo'san
杂质浓度,za'zhi'nong'du
载波,zai'bo
再生接收机,zai'sheng'jie'shou'ji
噪声容限,zao'sheng'rong'xian
噪声温度,zao'sheng'wen'du
噪声系数,zao'sheng'xi'shu
择优取向,ze'you'qu'xiang
增量调制,zeng'liang'tiao'zhi
增密工艺,zeng'mi'gong'yi
增强型场效晶体管,zeng'qiang'xing'chang'xiao'jing'ti'guan
增益,zeng'yi
窄带放大器,zhai'dai'fang'da'qi
窄带滤波器,zhai'dai'lv'bo'qi
窄沟效应,zhai'gou'xiao'ying
斩波器,zhan'bo'qi
占空比,zhan'kong'bi
张弛振荡器,zhang'chi'zhen'dang'qi
折合振子,zhe'he'zhen'zi
折射,zhe'she
阵单元,zhen'dan'yuan
振荡,zhen'dang
振动磨,zhen'dong'mo
振幅,zhen'fu
枕盒天线,zhen'he'tian'xian
针孔,zhen'kong
真空蒸发,zhen'kong'zheng'fa
阵天线,zhen'tian'xian
阵因子,zhen'yin'zi
真值表,zhen'zhi'biao
正常关断器件,zheng'chang'guan'duan'qi'jian
正常开启器件,zheng'chang'kai'qi'qi'jian
正反馈,zheng'fan'kui
正硅酸乙酯,zheng'gui'suan'yi'zhi
正交极化,zheng'jiao'ji'hua
正交调制,zheng'jiao'tiao'zhi
整流二极管,zheng'liu'er'ji'guan
正切灵敏度,zheng'qie'ling'min'du
整形电路,zheng'xing'dian'lu
正性光刻胶,zheng'xing'guang'ke'jiao
制版工艺,zhi'ban'gong'yi
只读存储器,zhi'du'cun'chu'qi
滞后,zhi'hou
直接检波式接收机,zhi'jie'jian'bo'shi'jie'shou'ji
直接耦合放大器,zhi'jie'ou'he'fang'da'qi
直接耦合晶体管逻辑,zhi'jie'ou'he'jing'ti'guan'luo'ji
直径研磨,zhi'jing'yan'mo
直流,zhi'liu
直流放大器,zhi'liu'fang'da'qi
直流溅射,zhi'liu'jian'she
指数线,zhi'shu'xian
直线阵,zhi'xian'zhen
终点监测,zhong'dian'jian'ce
中规模集成电路,zhong'gui'mo'ji'cheng'dian'lu
中能电子衍射,zhong'neng'dian'zi'yan'she
中频放大器,zhong'pin'fang'da'qi
中频抑制比,zhong'pin'yi'zhi'bi
中剖定理,zhong'pou'ding'li
中央处理器,zhong'yang'chu'li'qi
中子活化分析,zhong'zi'huo'hua'fen'xi
中子嬗变掺杂,zhong'zi'shan'bian'chan'za
周期,zhou'qi
周期时间,zhou'qi'shi'jian
帚状喇叭天线,zhou'zhuang'la'ba'tian'xian
主瓣,zhu'ban
驻波,zhu'bo
驻波比,zhu'bo'bi
驻波天线,zhu'bo'tian'xian
主从触发器,zhu'cong'chu'fa'qi
主反射器,zhu'fan'she'qi
注浆,zhu'jiang
柱面波,zhu'mian'bo
柱面阵,zhu'mian'zhen
主模式,zhu'mo'shi
主平面,zhu'ping'mian
转换率,zhuan'huan'lv
转移电子器件,zhuan'yi'dian'zi'qi'jian
专用集成电路,zhuan'yong'ji'cheng'dian'lu
装架工艺,zhuang'jia'gong'yi
状态变量,zhuang'tai'bian'liang
准稳态,zhun'wen'tai
自差接收机,zi'cha'jie'shou'ji
自掺杂,zi'chan'za
自动布局布线,zi'dong'bu'ju'bu'xian
自动布图设计系统,zi'dong'bu'tu'she'ji'xi'tong
自动定相阵,zi'dong'ding'xiang'zhen
自动频率控制,zi'dong'pin'lv'kong'zhi
自动音量控制,zi'dong'yin'liang'kong'zhi
自动增益控制,zi'dong'zeng'yi'kong'zhi
自对准隔离工艺,zi'dui'zhun'ge'li'gong'yi
自感应,zi'gan'ying
自隔离,zi'ge'li
自恢复自举驱动电路,zi'hui'fu'zi'ju'qu'dong'dian'lu
自激振荡,zi'ji'zhen'dang
自举电容器,zi'ju'dian'rong'qi
自扩散,zi'kuo'san
自适应差分脉码调制,zi'shi'ying'cha'fen'mai'ma'tiao'zhi
自适应增量调制,zi'shi'ying'zeng'liang'tiao'zhi
紫外光电子能谱学,zi'wai'guang'dian'zi'neng'pu'xue
字线,zi'xian
自由空间损耗,zi'you'kong'jian'sun'hao
自由振荡,zi'you'zhen'dang
纵波,zong'bo
纵横杆式变换器,zong'heng'gan'shi'bian'huan'qi
阻带,zu'dai
阻抗,zu'kang
阻抗圆图,zu'kang'yuan'tu
阻尼振荡,zu'ni'zhen'dang
阻容耦合放大器,zu'rong'ou'he'fang'da'qi
阻止本领,zu'zhi'ben'ling
阻止距离,zu'zhi'ju'li
钻蚀,zuan'shi
最大功率传输定理,zui'da'gong'lv'chuan'shu'ding'li
最平幅度逼近,zui'ping'fu'du'bi'jin
最平时延逼近,zui'ping'shi'yan'bi'jin
最小二乘方逼近,zui'xiao'er'cheng'fang'bi'jin
