阿比可糖,a'bi'ke'tang
后生鞭毛类,hou'sheng'bian'mao'lei
后生变态,hou'sheng'bian'tai
后生动物,hou'sheng'dong'wu
后生木质部,hou'sheng'mu'zhi'bu
后生皮层,hou'sheng'pi'ceng
后生期,hou'sheng'qi
后生韧皮部,hou'sheng'ren'pi'bu
后生说,hou'sheng'shuo
后生型,hou'sheng'xing
后生异粉性,hou'sheng'yi'fen'xing
后生植物,hou'sheng'zhi'wu
后兽亚纲,hou'shou'ya'gang
鲎属,hou'shu
后熟,hou'shu
后送分类,hou'song'fen'lei
后随链,hou'sui'lian
后髓片,hou'sui'pian
后髓细胞,hou'sui'xi'bao
后弹性层突出,hou'tan'xing'ceng'tu'chu
后弹性层炎,hou'tan'xing'ceng'yan
后天畸形,hou'tian'ji'xing
后天免疫性,hou'tian'mian'yi'xing
后天特性学,hou'tian'te'xing'xue
后天性并趾,hou'tian'xing'bing'zhi
后天性并指,hou'tian'xing'bing'zhi
后头盖,hou'tou'gai
后头孔,hou'tou'kong
喉头水肿,hou'tou'shui'zhong
喉凸,hou'tu
后退接触位,hou'tui'jie'chu'wei
后推术,hou'tui'shu
后退演化,hou'tui'yan'hua
后外侧开胸术,hou'wai'ce'kai'xiong'shu
后网期,hou'wang'qi
后无节幼体,hou'wu'jie'you'ti
后下唇,hou'xia'chun
后像或网膜留像,hou'xiang'huo'wang'mo'liu'xiang
后小尖,hou'xiao'jian
后胸背板,hou'xiong'bei'ban
后胸侧板,hou'xiong'ce'ban
后胸叉突,hou'xiong'cha'tu
后胸腹板,hou'xiong'fu'ban
后胸骨,hou'xiong'gu
后胸后侧片,hou'xiong'hou'ce'pian
后胸气门,hou'xiong'qi'men
后胸前侧片,hou'xiong'qian'ce'pian
后悬骨,hou'xuan'gu
候选基因策略,hou'xuan'ji'yin'ce'lue
后牙言语空隙,hou'ya'yan'yu'kong'xi
后咽,hou'yan
喉炎患者,hou'yan'huan'zhe
后叶,hou'ye
后叶催产素,hou'ye'cui'chan'su
后叶激素,hou'ye'ji'su
后叶激素运载蛋白,hou'ye'ji'su'yun'zai'dan'bai
后叶加压素,hou'ye'jia'ya'su
后异化分裂,hou'yi'hua'fen'lie
后移肌,hou'yi'ji
后遗畸形,hou'yi'ji'xing
后一名词不确切,hou'yi'ming'ci'bu'que'qie
厚垣,hou'yuan
后缘,hou'yuan
厚垣孢子,hou'yuan'bao'zi
后原肠胚,hou'yuan'chang'pei
厚垣担子,hou'yuan'dan'zi
喉罩,hou'zhao
后植核酸,hou'zhi'he'suan
后中沟,hou'zhong'gou
后中脉,hou'zhong'mai
后主静脉,hou'zhu'jing'mai
后转板,hou'zhuan'ban
虎斑溶解,hu'ban'rong'jie
虎斑物质,hu'ban'wu'zhi
虎斑小体,hu'ban'xiao'ti
护被,hu'bei
湖边沙滩,hu'bian'sha'tan
互变性,hu'bian'xing
互变异构,hu'bian'yi'gou
互变异构体,hu'bian'yi'gou'ti
互变异构移位,hu'bian'yi'gou'yi'wei
互补测验,hu'bu'ce'yan
互补单位,hu'bu'dan'wei
互补分析,hu'bu'fen'xi
互补基因,hu'bu'ji'yin
互补碱基,hu'bu'jian'ji
互补碱基序列,hu'bu'jian'ji'xu'lie
互补交叉,hu'bu'jiao'cha
互补决定区,hu'bu'jue'ding'qu
互补链,hu'bu'lian
互补群,hu'bu'qun
互补试验,hu'bu'shi'yan
互补位,hu'bu'wei
互补性决定区域,hu'bu'xing'jue'ding'qu'yu
互补序列,hu'bu'xu'lie
互补因子,hu'bu'yin'zi
互补转录,hu'bu'zhuan'lu
互补作用,hu'bu'zuo'yong
呼肠孤病毒,hu'chang'gu'bing'du
互斥相,hu'chi'xiang
互斥效应,hu'chi'xiao'ying
湖底近岸带,hu'di'jin'an'dai
湖底静水层,hu'di'jing'shui'ceng
互定向,hu'ding'xiang
槲斗酸,hu'dou'suan
虎耳草科,hu'er'cao'ke
糊粉层,hu'fen'ceng
糊粉粒,hu'fen'li
壶腹,hu'fu
壶腹嵴,hu'fu'ji
弧骨,hu'gu
槲果,hu'guo
瓠果,hu'guo
互惠共生,hu'hui'gong'sheng
互惠群聚,hu'hui'qun'ju
槲寄生素,hu'ji'sheng'su
互简并密码子,hu'jian'bing'mi'ma'zi
胡椒碱,hu'jiao'jian
胡椒嗪,hu'jiao'qin
胡椒酸,hu'jiao'suan
胡椒新碱,hu'jiao'xin'jian
糊精麦芽糖,hu'jing'mai'ya'tang
糊精酶,hu'jing'mei
弧菌,hu'jun
弧菌素,hu'jun'su
壶菌游动孢子的侧泡,hu'jun'you'dong'bao'zi'de'ce'pao
胡拉毒素,hu'la'du'su
互利共栖,hu'li'gong'qi
互利共生现象,hu'li'gong'sheng'xian'xiang
护理美学,hu'li'mei'xue
互利群聚,hu'li'qun'ju
胡卢巴碱,hu'lu'ba'jian
葫芦巴碱,hu'lu'ba'jian
葫芦科的果实,hu'lu'ke'de'guo'shi
葫芦素,hu'lu'su
葫芦素类,hu'lu'su'lei
胡萝卜醇,hu'luo'bo'chun
胡萝卜素蛋白,hu'luo'bo'su'dan'bai
胡萝卜素加氧酶,hu'luo'bo'su'jia'yang'mei
胡萝卜素酶,hu'luo'bo'su'mei
胡萝卜素双加氧酶,hu'luo'bo'su'shuang'jia'yang'mei
胡萝卜素性黄皮病,hu'luo'bo'su'xing'huang'pi'bing
胡萝卜素血,hu'luo'bo'su'xue
胡萝卜素血症,hu'luo'bo'su'xue'zheng
胡萝卜酮,hu'luo'bo'tong
湖面动荡层,hu'mian'dong'dang'ceng
互免疫,hu'mian'yi
胡敏素,hu'min'su
槲皮素,hu'pi'su
琥珀醇,hu'po'chun
琥珀胆碱,hu'po'dan'jian
琥珀基,hu'po'ji
琥珀基半胱氨酸,hu'po'ji'ban'guang'an'suan
琥珀基代氨基甲酰,hu'po'ji'dai'an'ji'jia'xian
琥珀基代氨基甲酰咪唑核苷酸,hu'po'ji'dai'an'ji'jia'xian'mi'zuo'he'gan'suan
琥珀校正基因,hu'po'jiao'zheng'ji'yin
琥珀密码子,hu'po'mi'ma'zi
琥珀三联体,hu'po'san'lian'ti
琥珀酸,hu'po'suan
琥珀酸半醛,hu'po'suan'ban'quan
琥珀酸硫激酶,hu'po'suan'liu'ji'mei
琥珀酸脱氢酶,hu'po'suan'tuo'qing'mei
琥珀酸盐,hu'po'suan'yan
琥珀酸氧化酶,hu'po'suan'yang'hua'mei
琥珀突变,hu'po'tu'bian
琥珀突变体,hu'po'tu'bian'ti
琥珀突变型,hu'po'tu'bian'xing
琥珀酰,hu'po'xian
琥珀酰胆碱,hu'po'xian'dan'jian
琥珀酰辅酶,hu'po'xian'fu'mei
琥珀酰脂肪酰酶,hu'po'xian'zhi'fang'xian'mei
琥珀型三联体,hu'po'xing'san'lian'ti
琥珀型突变,hu'po'xing'tu'bian
琥珀抑制,hu'po'yi'zhi
琥珀抑制基因,hu'po'yi'zhi'ji'yin
琥珀脂,hu'po'zhi
呼气活瓣,hu'qi'huo'ban
呼气描记器,hu'qi'miao'ji'qi
呼气末正压,hu'qi'mo'zheng'ya
呼气延缓,hu'qi'yan'huan
胡赛氏动物,hu'sai'shi'dong'wu
湖上层,hu'shang'ceng
虎蛇毒素,hu'she'du'su
互生叶,hu'sheng'ye
互生羽状,hu'sheng'yu'zhuang
互适应,hu'shi'ying
湖水浅到可以长植物,hu'shui'qian'dao'ke'yi'chang'zhi'wu
胡桃醌,hu'tao'kun
胡颓子碱,hu'tui'zi'jian
呼吸保护,hu'xi'bao'hu
呼吸测定计,hu'xi'ce'ding'ji
呼吸测量法,hu'xi'ce'liang'fa
呼吸肠,hu'xi'chang
呼吸道肠道病毒,hu'xi'dao'chang'dao'bing'du
呼吸道出血,hu'xi'dao'chu'xie
呼吸道烧伤,hu'xi'dao'shao'shang
呼吸高峰,hu'xi'gao'feng
呼吸根,hu'xi'gen
呼吸过度,hu'xi'guo'du
呼吸计,hu'xi'ji
呼吸角,hu'xi'jiao
呼吸窘迫综合征,hu'xi'jiong'po'zong'he'zheng
呼吸控制,hu'xi'kong'zhi
呼吸控制指数,hu'xi'kong'zhi'zhi'shu
呼吸力,hu'xi'li
呼吸链,hu'xi'lian
呼吸酶,hu'xi'mei
呼吸描记器,hu'xi'miao'ji'qi
呼吸描记图,hu'xi'miao'ji'tu
呼吸气量测定器,hu'xi'qi'liang'ce'ding'qi
呼吸热量计,hu'xi're'liang'ji
呼吸色素,hu'xi'se'su
呼吸商,hu'xi'shang
呼吸速率,hu'xi'su'lv
呼吸调整中枢,hu'xi'tiao'zheng'zhong'shu
呼吸停止,hu'xi'ting'zhi
呼吸性碱中毒,hu'xi'xing'jian'zhong'du
呼吸性酸中毒,hu'xi'xing'suan'zhong'du
呼吸学,hu'xi'xue
呼吸音,hu'xi'yin
呼吸音图,hu'xi'yin'tu
呼吸跃变,hu'xi'yue'bian
呼吸运动,hu'xi'yun'dong
呼吸运动描记器,hu'xi'yun'dong'miao'ji'qi
呼吸暂停,hu'xi'zan'ting
呼吸增强,hu'xi'zeng'qiang
呼吸罩,hu'xi'zhao
呼吸中枢,hu'xi'zhong'shu
呼吸作用,hu'xi'zuo'yong
湖下层,hu'xia'ceng
斛形,hu'xing
弧形带,hu'xing'dai
弧形切口,hu'xing'qie'kou
胡须学,hu'xu'xue
互养共栖,hu'yang'gong'qi
互引相,hu'yin'xiang
弧影,hu'ying
湖沼浮游生物,hu'zhao'fu'you'sheng'wu
湖沼群落,hu'zhao'qun'luo
壶状房,hu'zhuang'fang
花瓣变色性,hua'ban'bian'se'xing
花斑位置效应,hua'ban'wei'zhi'xiao'ying
花被卷叠式,hua'bei'juan'die'shi
花背豚鼠,hua'bei'tun'shu
花菜豆酸,hua'cai'dou'suan
华蟾毒配基,hua'chan'du'pei'ji
滑车神经,hua'che'shen'jing
化成帽,hua'cheng'mao
花程式,hua'cheng'shi
滑齿龙,hua'chi'long
划蝽科,hua'chun'ke
花簇等,hua'cu'deng
花翠素鼠李葡糖苷,hua'cui'su'shu'li'pu'tang'gan
滑动关节,hua'dong'guan'jie
滑动器械台,hua'dong'qi'xie'tai
滑动性食管裂孔疝,hua'dong'xing'shi'guan'lie'kong'shan
花朵形梅毒疹,hua'duo'xing'mei'du'zhen
花萼瓣化性,hua'e'ban'hua'xing
花萼海绵诱癌素,hua'e'hai'mian'you'ai'su
花萼盘皮海绵,hua'e'pan'pi'hai'mian
华法令,hua'fa'ling
花放线菌,hua'fang'xian'jun
花粉败育,hua'fen'bai'yu
花粉病,hua'fen'bing
花粉不育,hua'fen'bu'yu
花粉采集器,hua'fen'cai'ji'qi
花粉超敏反应,hua'fen'chao'min'fan'ying
花粉分析,hua'fen'fen'xi
花粉复壮基因,hua'fen'fu'zhuang'ji'yin
花粉盖,hua'fen'gai
花粉管竞生,hua'fen'guan'jing'sheng
花粉块,hua'fen'kuai
花粉块柄,hua'fen'kuai'bing
花粉筐,hua'fen'kuang
花粉粒,hua'fen'li
花粉母细胞,hua'fen'mu'xi'bao
花粉囊,hua'fen'nang
花粉内壁,hua'fen'nei'bi
花粉培养,hua'fen'pei'yang
花粉皮炎,hua'fen'pi'yan
花粉谱,hua'fen'pu
花粉刷,hua'fen'shua
花粉素,hua'fen'su
花粉外壁,hua'fen'wai'bi
花粉小块,hua'fen'xiao'kuai
花粉栉,hua'fen'zhi
花粉植物,hua'fen'zhi'wu
化感作用,hua'gan'zuo'yong
花冠篦齿,hua'guan'bi'chi
花冠柄,hua'guan'bing
花冠裂片,hua'guan'lie'pian
花冠体,hua'guan'ti
花冠檐,hua'guan'yan
滑过生长,hua'guo'sheng'zhang
花和枝条,hua'he'zhi'tiao
花痕状,hua'hen'zhuang
花喉,hua'hou
花黄色素,hua'huang'se'su
花结形成细胞,hua'jie'xing'cheng'xi'bao
化茎腕,hua'jing'wan
滑菌醌,hua'jun'kun
花开期,hua'kai'qi
花葵苷,hua'kui'gan
花葵素,hua'kui'su
华勒变性,hua'le'bian'xing
花轮减少,hua'lun'jian'shao
花蜜腺,hua'mi'xian
滑膜,hua'mo
滑膜层,hua'mo'ceng
滑膜瘤,hua'mo'liu
滑膜切除术,hua'mo'qie'chu'shu
滑膜绒毛,hua'mo'rong'mao
滑膜肉瘤,hua'mo'rou'liu
桦木醇,hua'mu'chun
桦木萜醇,hua'mu'tie'chun
化能合成,hua'neng'he'cheng
化能合成作用,hua'neng'he'cheng'zuo'yong
化能无机营养生物,hua'neng'wu'ji'ying'yang'sheng'wu
化能营养,hua'neng'ying'yang
化能有机营养,hua'neng'you'ji'ying'yang
化能自养,hua'neng'zi'yang
化能自养菌,hua'neng'zi'yang'jun
化能自养生物,hua'neng'zi'yang'sheng'wu
化脓球菌,hua'nong'qiu'jun
化脓性汗腺炎,hua'nong'xing'han'xian'yan
化脓性甲沟炎,hua'nong'xing'jia'gou'yan
化脓性阑尾炎,hua'nong'xing'lan'wei'yan
化脓性门静脉炎,hua'nong'xing'men'jing'mai'yan
化脓性肉芽肿,hua'nong'xing'rou'ya'zhong
化脓性腮腺炎,hua'nong'xing'sai'xian'yan
化脓性血栓性静脉炎,hua'nong'xing'xue'shuan'xing'jing'mai'yan
化脓性炎,hua'nong'xing'yan
化脓症,hua'nong'zheng
花青苷,hua'qing'gan
花青素鼠李葡糖苷,hua'qing'su'shu'li'pu'tang'gan
花球果,hua'qiu'guo
花楸酸,hua'qiu'suan
花醛,hua'quan
花蕊同长,hua'rui'tong'chang
花蕊异长,hua'rui'yi'chang
花色素,hua'se'su
花色素苷,hua'se'su'gan
花色素苷载体,hua'se'su'gan'zai'ti
花色素类,hua'se'su'lei
花色素酶,hua'se'su'mei
花色羊,hua'se'yang
滑疝,hua'shan
华生链,hua'sheng'lian
花生凝集素,hua'sheng'ning'ji'su
花生球蛋白,hua'sheng'qiu'dan'bai
花生仁蛋白酶,hua'sheng'ren'dan'bai'mei
花生四烯酸,hua'sheng'si'xi'suan
花生酸,hua'sheng'suan
花生殖,hua'sheng'zhi
化石根,hua'shi'gen
化石叶,hua'shi'ye
化石鱼,hua'shi'yu
花束期,hua'shu'qi
花丝柱,hua'si'zhu
华特门,hua'te'men
花条痕状,hua'tiao'hen'zhuang
花葶,hua'ting
花图解,hua'tu'jie
花图式,hua'tu'shi
化唾液酸,hua'tuo'ye'suan
花外蜜,hua'wai'mi
划线过程,hua'xian'guo'cheng
划线接种,hua'xian'jie'zhong
划线培养法,hua'xian'pei'yang'fa
化性,hua'xing
滑行截骨术,hua'xing'jie'gu'shu
花形口缘,hua'xing'kou'yuan
花序,hua'xu
花序梗,hua'xu'geng
花序列,hua'xu'lie
花序芽,hua'xu'ya
花序轴,hua'xu'zhou
化学病理学,hua'xue'bing'li'xue
化学剥脱除皱术,hua'xue'bo'tuo'chu'zhou'shu
化学剥脱术,hua'xue'bo'tuo'shu
化学澄清化,hua'xue'cheng'qing'hua
化学发光,hua'xue'fa'guang
化学发光自显影,hua'xue'fa'guang'zi'xian'ying
化学番木质,hua'xue'fan'mu'zhi
化学反射,hua'xue'fan'she
化学反应速度的变化,hua'xue'fan'ying'su'du'de'bian'hua
化学分化,hua'xue'fen'hua
化学分类学,hua'xue'fen'lei'xue
化学感受器,hua'xue'gan'shou'qi
化学感受器瘤,hua'xue'gan'shou'qi'liu
化学睾丸切除,hua'xue'gao'wan'qie'chu
化学观察哨,hua'xue'guan'cha'shao
化学光度计,hua'xue'guang'du'ji
化学合成,hua'xue'he'cheng
化学合成作用,hua'xue'he'cheng'zuo'yong
化学激活现象,hua'xue'ji'huo'xian'xiang
化学计量系数,hua'xue'ji'liang'xi'shu
化学计量学,hua'xue'ji'liang'xue
化学降解法,hua'xue'jiang'jie'fa
化学进化,hua'xue'jin'hua
化学拒斥剂,hua'xue'ju'chi'ji
化学绝育剂,hua'xue'jue'yu'ji
化学疗法,hua'xue'liao'fa
化学免疫性,hua'xue'mian'yi'xing
化学免疫学,hua'xue'mian'yi'xue
化学免疫抑制,hua'xue'mian'yi'yi'zhi
化学敏感性,hua'xue'min'gan'xing
化学年龄测定,hua'xue'nian'ling'ce'ding
化学凝固法,hua'xue'ning'gu'fa
化学排斥物,hua'xue'pai'chi'wu
化学烧伤,hua'xue'shao'shang
化学烧伤全身中毒,hua'xue'shao'shang'quan'shen'zhong'du
化学渗透,hua'xue'shen'tou
化学渗透假说,hua'xue'shen'tou'jia'shuo
化学渗透偶联假说,hua'xue'shen'tou'ou'lian'jia'shuo
化学受体,hua'xue'shou'ti
化学吸引素,hua'xue'xi'yin'su
化学线粒体,hua'xue'xian'li'ti
化学消毒剂,hua'xue'xiao'du'ji
化学信使,hua'xue'xin'shi
化学信息素,hua'xue'xin'xi'su
化学性变态,hua'xue'xing'bian'tai
化学性膀胱炎,hua'xue'xing'pang'guang'yan
化学性吸入损伤,hua'xue'xing'xi'ru'sun'shang
化学性阉割,hua'xue'xing'yan'ge
化学修饰,hua'xue'xiu'shi
化学引诱物,hua'xue'yin'you'wu
化学诱变剂,hua'xue'you'bian'ji
化学诱变因素,hua'xue'you'bian'yin'su
化学增活现象,hua'xue'zeng'huo'xian'xiang
化学侦察,hua'xue'zhen'cha
化学致癌剂,hua'xue'zhi'ai'ji
化学致原生质流出,hua'xue'zhi'yuan'sheng'zhi'liu'chu
花药等,hua'yao'deng
花药黄质,hua'yao'huang'zhi
花药培养,hua'yao'pei'yang
滑液,hua'ye
花叶病,hua'ye'bing
花叶病毒,hua'ye'bing'du
花椰菜花叶病毒,hua'ye'cai'hua'ye'bing'du
花椰菜花叶病毒组,hua'ye'cai'hua'ye'bing'du'zu
花椰菜镶嵌病毒,hua'ye'cai'xiang'qian'bing'du
滑液蛋白,hua'ye'dan'bai
滑液囊,hua'ye'nang
滑液鞘,hua'ye'qiao
花叶植物,hua'ye'zhi'wu
花颖,hua'ying
化蛹激素,hua'yong'ji'su
花缘,hua'yuan
花轴,hua'zhou
花柱被,hua'zhu'bei
花柱基,hua'zhu'ji
花柱同长,hua'zhu'tong'chang
花柱异长,hua'zhu'yi'chang
化妆品痤疮,hua'zhuang'pin'cuo'chuang
化妆品皮肤病,hua'zhuang'pin'pi'fu'bing
化妆品皮肤损害,hua'zhuang'pin'pi'fu'sun'hai
化妆品皮炎,hua'zhuang'pin'pi'yan
槐胺碱,huai'an'jian
槐定碱,huai'ding'jian
槐根碱,huai'gen'jian
坏疽,huai'ju
坏疽痘,huai'ju'dou
坏疽化,huai'ju'hua
坏疽性胆囊炎,huai'ju'xing'dan'nang'yan
坏疽性龟头炎,huai'ju'xing'gui'tou'yan
坏疽性口炎,huai'ju'xing'kou'yan
坏疽性阑尾炎,huai'ju'xing'lan'wei'yan
坏疽性牛痘,huai'ju'xing'niu'dou
坏疽性脓皮病,huai'ju'xing'nong'pi'bing
坏疽性膀胱炎,huai'ju'xing'pang'guang'yan
坏疽性皮炎,huai'ju'xing'pi'yan
坏死胺,huai'si'an
坏死斑,huai'si'ban
坏死毒素,huai'si'du'su
坏死后肝硬化,huai'si'hou'gan'ying'hua
坏死菌素,huai'si'jun'su
坏死松解,huai'si'song'jie
坏死素,huai'si'su
坏死细胞毒素,huai'si'xi'bao'du'su
坏死性痤疮,huai'si'xing'cuo'chuang
坏死性肾乳头炎,huai'si'xing'shen'ru'tou'yan
坏死性唾液腺化生,huai'si'xing'tuo'ye'xian'hua'sheng
坏死性涎腺化生,huai'si'xing'xian'xian'hua'sheng
坏死性胰腺炎,huai'si'xing'yi'xian'yan
坏死因子,huai'si'yin'zi
槐糖,huai'tang
怀特黑德手术,huai'te'hei'de'shou'shu
环阿屯醇,huan'a'tun'chun
环胺,huan'an
环氨霉素,huan'an'mei'su
环斑病,huan'ban'bing
换瓣术后血栓形成,huan'ban'shu'hou'xue'shuan'xing'cheng
环孢,huan'bao
环饼,huan'bing
环丙烷酸,huan'bing'wan'suan
缓步动物门,huan'bu'dong'wu'men
环层小体,huan'ceng'xiao'ti
环常绿黄杨碱,huan'chang'lv'huang'yang'jian
环虫,huan'chong
缓冲剂,huan'chong'ji
缓冲基因,huan'chong'ji'yin
缓冲配对离子,huan'chong'pei'dui'li'zi
缓冲容量,huan'chong'rong'liang
缓冲物质,huan'chong'wu'zhi
缓冲液,huan'chong'ye
环丁二嘧啶,huan'ding'er'mi'ding
环多醇,huan'duo'chun
环杆菌素,huan'gan'jun'su
环格列酮,huan'ge'lie'tong
环庚三烯酚酮,huan'geng'san'xi'fen'tong
环庚糖,huan'geng'tang
环管毛,huan'guan'mao
环管式反应器,huan'guan'shi'fan'ying'qi
环核苷酸,huan'he'gan'suan
环糊精,huan'hu'jing
环化,huan'hua
环化酶,huan'hua'mei
环化脱氨酶,huan'hua'tuo'an'mei
环化脱水酶,huan'hua'tuo'shui'mei
环肌,huan'ji
环己基脂肪酸,huan'ji'ji'zhi'fang'suan
环己六醇,huan'ji'liu'chun
缓激肽,huan'ji'tai
缓激肽原,huan'ji'tai'yuan
环己烷,huan'ji'wan
环己五醇,huan'ji'wu'chun
环己烯四醇,huan'ji'xi'si'chun
环己酰亚胺,huan'ji'xian'ya'an
环甲膜切开气管插管,huan'jia'mo'qie'kai'qi'guan'cha'guan
环节动物,huan'jie'dong'wu
环节动物门,huan'jie'dong'wu'men
环节及原索动物,huan'jie'ji'yuan'suo'dong'wu
缓解期,huan'jie'qi
环境变异,huan'jing'bian'yi
环境病理学,huan'jing'bing'li'xue
环境控制装置,huan'jing'kong'zhi'zhuang'zhi
环静脉,huan'jing'mai
环境生物学,huan'jing'sheng'wu'xue
环境因素总称,huan'jing'yin'su'zong'cheng
环境因子,huan'jing'yin'zi
环境诱变,huan'jing'you'bian
环境钟,huan'jing'zhong
环境总体,huan'jing'zong'ti
幻觉症,huan'jue'zheng
环孔片层,huan'kong'pian'ceng
环孔片层复数,huan'kong'pian'ceng'fu'shu
环类固醇,huan'lei'gu'chun
环磷酰胺,huan'lin'xian'an
环流发酵罐,huan'liu'fa'jiao'guan
环六亚甲,huan'liu'ya'jia
环六亚甲基四胺,huan'liu'ya'jia'ji'si'an
环毛蚓属,huan'mao'yin'shu
环霉素,huan'mei'su
环内桥接,huan'nei'qiao'jie
环鸟苷酸,huan'niao'gan'suan
环喷发酵罐,huan'pen'fa'jiao'guan
换气过度,huan'qi'guo'du
环七肽霉素,huan'qi'tai'mei'su
唤起物,huan'qi'wu
环染色单体,huan'ran'se'dan'ti
环染色丝,huan'ran'se'si
环染细胞,huan'ran'xi'bao
环绕结扎术,huan'rao'jie'za'shu
环绕颧骨结扎术,huan'rao'quan'gu'jie'za'shu
环绕颧骨悬吊上颌术,huan'rao'quan'gu'xuan'diao'shang'he'shu
环绕细胞,huan'rao'xi'bao
环绕下颌结扎术,huan'rao'xia'he'jie'za'shu
环杀菌素,huan'sha'jun'su
环式模造,huan'shi'mo'zao
环枢,huan'shu
环丝胺酸,huan'si'an'suan
环丝氨酸,huan'si'an'suan
环丝氨酰胺,huan'si'an'xian'an
环蒜氨酸,huan'suan'an'suan
换算因数,huan'suan'yin'shu
环缩耳,huan'suo'er
环缩二氨酸,huan'suo'er'an'suan
环肽,huan'tai
环套息肉切除术,huan'tao'xi'rou'qie'chu'shu
换同型碱,huan'tong'xing'jian
环纹导管,huan'wen'dao'guan
环纹管胞,huan'wen'guan'bao
环戊烷多氢菲,huan'wu'wan'duo'qing'fei
环戊烯庚酸,huan'wu'xi'geng'suan
环戊烯甲酸,huan'wu'xi'jia'suan
环戊烯壬酸,huan'wu'xi'ren'suan
环戊烯十三碳烯酸,huan'wu'xi'shi'san'tan'xi'suan
环戊烯十一烷酸,huan'wu'xi'shi'yi'wan'suan
环戊烯戊酸,huan'wu'xi'wu'suan
环系,huan'xi
环细胞,huan'xi'bao
环腺,huan'xian
环腺苷,huan'xian'gan
环腺苷酸,huan'xian'gan'suan
环香豆素,huan'xiang'dou'su
换向卵裂,huan'xiang'luan'lie
环小叶黄杨碱,huan'xiao'ye'huang'yang'jian
换血疗法,huan'xie'liao'fa
环形成,huan'xing'cheng
环型发酵罐,huan'xing'fa'jiao'guan
环形反应器,huan'xing'fan'ying'qi
环形棘皮纲,huan'xing'ji'pi'gang
环形菌落,huan'xing'jun'luo
环形卡环,huan'xing'ka'huan
环形染色体,huan'xing'ran'se'ti
环形烧伤,huan'xing'shao'shang
唤醒试验,huan'xing'shi'yan
环行运动,huan'xing'yun'dong
环形中心粒,huan'xing'zhong'xin'li
环咽肌,huan'yan'ji
还阳参油酸,huan'yang'can'you'suan
环氧胡萝卜素,huan'yang'hu'luo'bo'su
环氧化鲨烯,huan'yang'hua'sha'xi
环氧化物,huan'yang'hua'wu
环氧化物酶,huan'yang'hua'wu'mei
环氧化作用,huan'yang'hua'zuo'yong
环氧基十八碳,huan'yang'ji'shi'ba'tan
环氧酶,huan'yang'mei
环氧十八碳,huan'yang'shi'ba'tan
环氧型菌素,huan'yang'xing'jun'su
环氧硬脂酸,huan'yang'ying'zhi'suan
环氧油酸,huan'yang'you'suan
环氧玉米黄质,huan'yang'yu'mi'huang'zhi
换异,huan'yi
环已六醇,huan'yi'liu'chun
环已五醇,huan'yi'wu'chun
换异型碱,huan'yi'xing'jian
换羽,huan'yu
还原胺化,huan'yuan'an'hua
还原卟啉,huan'yuan'bu'lin
还原当量,huan'yuan'dang'liang
还原端,huan'yuan'duan
还原辅酶,huan'yuan'fu'mei
还原角蛋白,huan'yuan'jiao'dan'bai
还原接种法,huan'yuan'jie'zhong'fa
还原力,huan'yuan'li
还原论,huan'yuan'lun
还原论者,huan'yuan'lun'zhe
还原酶,huan'yuan'mei
还原美蓝,huan'yuan'mei'lan
还原酶缺乏症,huan'yuan'mei'que'fa'zheng
还原酸,huan'yuan'suan
还原糖,huan'yuan'tang
还原酮,huan'yuan'tong
还原物质,huan'yuan'wu'zhi
还原型辅酶,huan'yuan'xing'fu'mei
还原型谷胱甘肽,huan'yuan'xing'gu'guang'gan'tai
还原型黄素腺嘌呤二核苷酸,huan'yuan'xing'huang'su'xian'piao'ling'er'he'gan'suan
还原型血红蛋白,huan'yuan'xing'xue'hong'dan'bai
还原型烟酰胺腺嘌呤二核苷,huan'yuan'xing'yan'xian'an'xian'piao'ling'er'he'gan
还原作用,huan'yuan'zuo'yong
环甾类,huan'zai'lei
环褶,huan'zhe
幻肢,huan'zhi
幻肢痛,huan'zhi'tong
环转眩晕,huan'zhuan'xuan'yun
环状瘢痕挛缩,huan'zhuang'ban'hen'luan'suo
环状扁平苔藓,huan'zhuang'bian'ping'tai'xian
环状病毒,huan'zhuang'bing'du
环状单链,huan'zhuang'dan'lian
环状多肽,huan'zhuang'duo'tai
环状杆菌素,huan'zhuang'gan'jun'su
环状糊精,huan'zhuang'hu'jing
环状化合物,huan'zhuang'hua'he'wu
环状加厚,huan'zhuang'jia'hou
环状梅毒疹,huan'zhuang'mei'du'zhen
环状面,huan'zhuang'mian
环状末端核苷酸,huan'zhuang'mo'duan'he'gan'suan
环状染色体,huan'zhuang'ran'se'ti
环状肉芽肿,huan'zhuang'rou'ya'zhong
环状软骨,huan'zhuang'ruan'gu
环状试验,huan'zhuang'shi'yan
环状肽,huan'zhuang'tai
环状胰腺,huan'zhuang'yi'xian
环状银屑病,huan'zhuang'yin'xie'bing
环状脂肪萎缩,huan'zhuang'zhi'fang'wei'suo
寰椎,huan'zhui
寰椎齿凹关节面,huan'zhui'chi'ao'guan'jie'mian
环阻法,huan'zu'fa
磺胺二甲,huang'an'er'jia
磺胺二甲基嘧啶,huang'an'er'jia'ji'mi'ding
磺胺胍,huang'an'gua
磺胺剂俗名,huang'an'ji'su'ming
磺胺甲基嘧啶,huang'an'jia'ji'mi'ding
磺胺嘧啶,huang'an'mi'ding
磺胺噻唑,huang'an'sai'zuo
磺胺药类,huang'an'yao'lei
黄柏碱,huang'bai'jian
