阿那吒王,a'na'zha'wang
复有铁蛇,fu'you'tie'she
复有铁鹰,fu'you'tie'ying
复有夜叉,fu'you'ye'cha
复于过去无量阿僧祇劫,fu'yu'guo'qu'wu'liang'a'seng'qi'jie
负于重石,fu'yu'zhong'shi
复愿地藏菩萨具大慈悲,fu'yuan'di'zang'pu'sa'ju'da'ci'bei
付嘱于汝,fu'zhu'yu'ru
复自搏攫,fu'zi'bo'jue
父子至亲,fu'zi'zhi'qin
感佛空中现,gan'fo'kong'zhong'xian
敢问世尊,gan'wen'shi'zun
高声唱言,gao'sheng'chang'yan
高声读经,gao'sheng'du'jing
高声念一佛名,gao'sheng'nian'yi'fo'ming
告圣女曰,gao'sheng'nv'yue
高声转读此经一遍,gao'sheng'zhuan'du'ci'jing'yi'bian
告文殊师利法王子菩萨摩诃萨,gao'wen'shu'shi'li'fa'wang'zi'pu'sa'mo'he'sa
高一万里,gao'yi'wan'li
告于光目,gao'yu'guang'mu
告长者子,gao'zhang'zhe'zi
告知母生方,gao'zhi'mu'sheng'fang
告诸大众,gao'zhu'da'zhong
各发何愿,ge'fa'he'yuan
各各不同,ge'ge'bu'tong
各各不相知,ge'ge'bu'xiang'zhi
各各差别,ge'ge'cha'bie
各各与百千诸小鬼王,ge'ge'yu'bai'qian'zhu'xiao'gui'wang
各各狱中,ge'ge'yu'zhong
各获果证,ge'huo'guo'zheng
各界坐道场,ge'jie'zuo'dao'chang
各据本业,ge'ju'ben'ye
歌乐弦管,ge'le'xian'guan
各遣侍者,ge'qian'shi'zhe
各以方面,ge'yi'fang'mian
各有大力,ge'you'da'li
各有所执,ge'you'suo'zhi
各有所主,ge'you'suo'zhu
更不复入,geng'bu'fu'ru
更不经三恶道苦,geng'bu'jing'san'e'dao'ku
更不生有女人世界,geng'bu'sheng'you'nv'ren'shi'jie
更不忘失一句一偈,geng'bu'wang'shi'yi'ju'yi'ji
更发广大誓言,geng'fa'guang'da'shi'yan
更附少物,geng'fu'shao'wu
更落恶道,geng'luo'e'dao
更能回向,geng'neng'hui'xiang
更能每日念菩萨名千遍,geng'neng'mei'ri'nian'pu'sa'ming'qian'bian
更能于塔庙前,geng'neng'yu'ta'miao'qian
更为念菩萨名,geng'wei'nian'pu'sa'ming
更无间断,geng'wu'jian'duan
更无见闻,geng'wu'jian'wen
更无重罪,geng'wu'zhong'zui
哽咽悲啼,geng'ye'bei'ti
更以香华,geng'yi'xiang'hua
更有百千种苦楚,geng'you'bai'qian'zhong'ku'chu
更有叫唤地狱,geng'you'jiao'huan'di'yu
共持香华,gong'chi'xiang'hua
功德妙难量,gong'de'miao'nan'liang
功德妙难思,gong'de'miao'nan'si
功德轻重,gong'de'qing'zhong
功德如毫芒,gong'de'ru'hao'mang
功德无量,gong'de'wu'liang
宫殿毫光,gong'dian'hao'guang
共复一形,gong'fu'yi'xing
共鬼神游,gong'gui'shen'you
共号业海,gong'hao'ye'hai
供给产母,gong'ji'chan'mu
恭敬陈白,gong'jing'chen'bai
恭敬合掌,gong'jing'he'zhang
恭塑地藏王,gong'su'di'zang'wang
供养百千受妙乐,gong'yang'bai'qian'shou'miao'le
供养布施,gong'yang'bu'shi
供养地藏以香华,gong'yang'di'zang'yi'xiang'hua
供养佛像及菩萨像,gong'yang'fo'xiang'ji'pu'sa'xiang
供养过去佛,gong'yang'guo'qu'fo
供养菩萨,gong'yang'pu'sa
供养释迦牟尼佛,gong'yang'shi'jia'mou'ni'fo
供养赞叹,gong'yang'zan'tan
供养赞叹地藏菩萨形像,gong'yang'zan'tan'di'zang'pu'sa'xing'xiang
供养瞻礼,gong'yang'zhan'li
躬自营办,gong'zi'ying'ban
故称无间,gu'cheng'wu'jian
故来告示,gu'lai'gao'shi
谷米宝贝,gu'mi'bao'bei
故问如来,gu'wen'ru'lai
故于大乘经典,gu'yu'da'cheng'jing'dian
观世音言,guan'shi'yin'yan
观音弥勒,guan'yin'mi'le
观音至心听吾说,guan'yin'zhi'xin'ting'wu'shuo
观众生业缘品第三,guan'zhong'sheng'ye'yuan'pin'di'san
广大慈悲,guang'da'ci'bei
广度将毕,guang'du'jiang'bi
广度人天,guang'du'ren'tian
广度众生,guang'du'zhong'sheng
广度罪辈,guang'du'zui'bei
广果天,guang'guo'tian
广利益故,guang'li'yi'gu
广利众生,guang'li'zhong'sheng
光目,guang'mu
光目答言,guang'mu'da'yan
光目母者,guang'mu'mu'zhe
光目女者,guang'mu'nv'zhe
光目闻说,guang'mu'wen'shuo
光目问言,guang'mu'wen'yan
光目闻已,guang'mu'wen'yi
光目心欢喜,guang'mu'xin'huan'xi
广求香华,guang'qiu'xiang'hua
光摄大千世界,guang'she'da'qian'shi'jie
广设方便,guang'she'fang'bian
广说地藏菩萨摩诃萨,guang'shuo'di'zang'pu'sa'mo'he'sa
广说方便,guang'shuo'fang'bian
广为说法,guang'wei'shuo'fa
广宣大士如是力,guang'xuan'da'shi'ru'shi'li
广宣流布,guang'xuan'liu'bu
广演是经,guang'yan'shi'jing
光音天,guang'yin'tian
广造众善,guang'zao'zhong'shan
广作方便,guang'zuo'fang'bian
归敬供养,gui'jing'gong'yang
鬼神等众,gui'shen'deng'zhong
鬼神卫护,gui'shen'wei'hu
鬼王白佛言,gui'wang'bai'fo'yan
鬼王问圣女曰,gui'wang'wen'sheng'nv'yue
鬼王言毕,gui'wang'yan'bi
归依地藏菩萨,gui'yi'di'zang'pu'sa
皈依法,gui'yi'fa
皈依法竟,gui'yi'fa'jing
皈依佛,gui'yi'fo
皈依佛竟,gui'yi'fo'jing
皈依僧,gui'yi'seng
皈依僧竟,gui'yi'seng'jing
果报自受,guo'bao'zi'shou
过渡河海,guo'du'he'hai
过去父母,guo'qu'fu'mu
过去久远劫中,guo'qu'jiu'yuan'jie'zhong
过去觉华定自在王如来,guo'qu'jue'hua'ding'zi'zai'wang'ru'lai
过去无量阿僧祇劫,guo'qu'wu'liang'a'seng'qi'jie
过人家庭,guo'ren'jia'ting
过是报后,guo'shi'bao'hou
过是劫已,guo'shi'jie'yi
过是日后,guo'shi'ri'hou
海东十万由旬,hai'dong'shi'wan'you'xun
还复而来,hai'fu'er'lai
海神,hai'shen
还以善法,hai'yi'shan'fa
海云毫光,hai'yun'hao'guang
号宝胜如来,hao'bao'sheng'ru'lai
号宝相如来,hao'bao'xiang'ru'lai
号宝性如来,hao'bao'xing'ru'lai
号波头摩胜如来,hao'bo'tou'mo'sheng'ru'lai
号大通山王如来,hao'da'tong'shan'wang'ru'lai
号极无间,hao'ji'wu'jian
号袈裟幢如来,hao'jia'sha'zhuang'ru'lai
号拘留孙佛,hao'ju'liu'sun'fo
号毗婆尸,hao'pi'po'shi
号狮子吼如来,hao'shi'zi'hou'ru'lai
号无边身如来,hao'wu'bian'shen'ru'lai
号一切智成就如来,hao'yi'qie'zhi'cheng'jiu'ru'lai
号曰觉华定自在王如来,hao'yue'jue'hua'ding'zi'zai'wang'ru'lai
号曰狮子奋迅具足万行如来,hao'yue'shi'zi'fen'xun'ju'zu'wan'hang'ru'lai
号曰铁围,hao'yue'tie'wei
号曰无相如来,hao'yue'wu'xiang'ru'lai
河池泉井,he'chi'quan'jing
何等为十,he'deng'wei'shi
何等为五,he'deng'wei'wu
合堕恶趣者,he'duo'e'qu'zhe
何故得如是圣贤拥护,he'gu'de'ru'shi'sheng'xian'yong'hu
贺贺,he'he
荷护子母,he'hu'zi'mu
何况本造恶者,he'kuang'ben'zao'e'zhe
何况别生恶见毁灭,he'kuang'bie'sheng'e'jian'hui'mie
何况地藏菩萨在声闻辟支佛地,he'kuang'di'zang'pu'sa'zai'sheng'wen'pi'zhi'fo'di
何况多名,he'kuang'duo'ming
何况多狱,he'kuang'duo'yu
何况堕于诸恶趣等,he'kuang'duo'yu'zhu'e'qu'deng
何况复受,he'kuang'fu'shou
何况更落五无间及阿鼻地狱,he'kuang'geng'luo'wu'wu'jian'ji'a'bi'di'yu
何况及身,he'kuang'ji'shen
何况见闻菩萨,he'kuang'jian'wen'pu'sa
何况临命终人,he'kuang'lin'ming'zhong'ren
何况临命终时,he'kuang'lin'ming'zhong'shi
何况令受,he'kuang'ling'shou
何况亲受诸横,he'kuang'qin'shou'zhu'heng
何况入门,he'kuang'ru'men
何况善男子善女人,he'kuang'shan'nan'zi'shan'nv'ren
何况释梵转轮之报,he'kuang'shi'fan'zhuan'lun'zhi'bao
何况塑画形像,he'kuang'su'hua'xing'xiang
何况闻诸善事,he'kuang'wen'zhu'shan'shi
何况衣食受用,he'kuang'yi'shi'shou'yong
何况志心称念,he'kuang'zhi'xin'cheng'nian
何况众生,he'kuang'zhong'sheng
何况恣情杀害,he'kuang'zi'qing'sha'hai
何况自修善根,he'kuang'zi'xiu'shan'gen
何忍眷属更为增业,he'ren'juan'shu'geng'wei'zeng'ye
河神,he'shen
合受重病者,he'shou'zhong'bing'zhe
何以故,he'yi'gu
何缘来此,he'yuan'lai'ci
合掌而退,he'zhang'er'tui
合掌恭敬,he'zhang'gong'jing
合掌向空,he'zhang'xiang'kong
合知本罪,he'zhi'ben'zui
恒河沙劫说难尽,heng'he'sha'jie'shuo'nan'jin
红毫相光,hong'hao'xiang'guang
后成佛果,hou'cheng'fo'guo
后堕地狱,hou'duo'di'yu
后世得人身,hou'shi'de'ren'shen
忽逢迷人欲进险道,hu'feng'mi'ren'yu'jin'xian'dao
胡跪合掌,hu'gui'he'zhang
忽见自身到一海边,hu'jian'zi'shen'dao'yi'hai'bian
虎啰吽,hu'luo'hong
护人护国,hu'ren'hu'guo
忽闻空中声曰,hu'wen'kong'zhong'sheng'yue
忽闻是语,hu'wen'shi'yu
忽遇邻人,hu'yu'lin'ren
忽于夜后,hu'yu'ye'hou
护诸众生,hu'zhu'zhong'sheng
化百千万亿身,hua'bai'qian'wan'yi'shen
化度十方,hua'du'shi'fang
化乐天,hua'le'tian
化千万亿身,hua'qian'wan'yi'shen
华严第四会,hua'yan'di'si'hui
毁谤大乘者,hui'bang'da'cheng'zhe
毁谤三宝,hui'bang'san'bao
毁坏破落,hui'huai'po'luo
回首向南,hui'shou'xiang'nan
回向法界,hui'xiang'fa'jie
回向诸有情,hui'xiang'zhu'you'qing
会中有一鬼王,hui'zhong'you'yi'gui'wang
会中有一菩萨,hui'zhong'you'yi'pu'sa
会中有一菩萨摩诃萨,hui'zhong'you'yi'pu'sa'mo'he'sa
会中有一长者,hui'zhong'you'yi'zhang'zhe
魂神堕在无间地狱,hun'shen'duo'zai'wu'jian'di'yu
获报如是,huo'bao'ru'shi
或悲或啼,huo'bei'huo'ti
或背面非,huo'bei'mian'fei
或变作父母,huo'bian'zuo'fu'mu
或不得愈,huo'bu'dei'yu
或布施供养,huo'bu'shi'gong'yang
或彩画形像,huo'cai'hua'xing'xiang
或炒或煮,huo'chao'huo'zhu
或称名,huo'cheng'ming
或城邑聚落,huo'cheng'yi'ju'luo
或愁或叹,huo'chou'huo'tan
火床地狱,huo'chuang'di'yu
或大乘经典一句一偈,huo'da'cheng'jing'dian'yi'ju'yi'ji
获大利益,huo'da'li'yi
或独发心,huo'du'fa'xin
或多病疾,huo'duo'bing'ji
或多人非,huo'duo'ren'fei
或多手多眼,huo'duo'shou'duo'yan
或多凶衰,huo'duo'xiong'shuai
或多魇寐,huo'duo'yan'mei
或佛形像,huo'fo'xing'xiang
获福俱无量,huo'fu'ju'wu'liang
获福如是,huo'fu'ru'shi
获福无量,huo'fu'wu'liang
或复饮食,huo'fu'yin'shi
或复赞叹,huo'fu'zan'tan
或恭敬者,huo'gong'jing'zhe
或供养,huo'gong'yang
或供养佛像,huo'gong'yang'fo'xiang
或供养经像,huo'gong'yang'jing'xiang
火狗地狱,huo'gou'di'yu
或毫发许,huo'hao'fa'xu
或合掌者,huo'he'zhang'zhe
或毁坏者,huo'hui'huai'zhe
或见地藏菩萨形像,huo'jian'di'zang'pu'sa'xing'xiang
或教人书,huo'jiao'ren'shu
或经险道,huo'jing'xian'dao
或恐或怖,huo'kong'huo'bu
火狼地狱,huo'lang'di'yu
或利益人,huo'li'yi'ren
火梁地狱,huo'liang'di'yu
或龙或神,huo'long'huo'shen
或露齿笑,huo'lu'chi'xiao
火马地狱,huo'ma'di'yu
或梦或寐,huo'meng'huo'mei
或男或女,huo'nan'huo'nv
或难舍寿,huo'nan'she'shou
火牛地狱,huo'niu'di'yu
或奴或婢,huo'nu'huo'bi
或伽蓝内,huo'qie'lan'nei
或请人读,huo'qing'ren'du
或取病人可爱之物,huo'qu'bing'ren'ke'ai'zhi'wu
或劝多人同共发心,huo'quan'duo'ren'tong'gong'fa'xin
或劝人共非,huo'quan'ren'gong'fei
或劝他人,huo'quan'ta'ren
或全与负,huo'quan'yu'fu
或燃油灯,huo'ran'you'deng
或乳哺时,huo'ru'bu'shi
或三或四,huo'san'huo'si
或三岁五岁十岁以下,huo'san'sui'wu'sui'shi'sui'yi'xia
或杀或害,huo'sha'huo'hai
火山地狱,huo'shan'di'yu
或使病人未终之时,huo'shi'bing'ren'wei'zhong'zhi'shi
或施常住,huo'shi'chang'zhu
火石地狱,huo'shi'di'yu
或使人施,huo'shi'ren'shi
或塑或画大士身,huo'su'huo'hua'da'shi'shen
或损害人,huo'sun'hai'ren
镬汤盛沸,huo'tang'sheng'fei
或天或鬼,huo'tian'huo'gui
或听闻一偈一句,huo'ting'wen'yi'ji'yi'ju
或土石胶漆,huo'tu'shi'jiao'qi
或妄生讥毁,huo'wang'sheng'ji'hui
或为帝王,huo'wei'di'wang
或闻地藏本愿事行,huo'wen'di'zang'ben'yuan'shi'xing
或闻地藏菩萨名,huo'wen'di'zang'pu'sa'ming
或闻在本识,huo'wen'zai'ben'shi
或无地狱,huo'wu'di'yu
火屋地狱,huo'wu'di'yu
或无佛法,huo'wu'fo'fa
或无女人,huo'wu'nv'ren
或现比丘,huo'xian'bi'qiu
或现梵王身,huo'xian'fan'wang'shen
或现官属身,huo'xian'guan'shu'shen
或现国王身,huo'xian'guo'wang'shen
或现居士身,huo'xian'ju'shi'shen
或现男子身,huo'xian'nan'zi'shen
或现女人身,huo'xian'nv'ren'shen
或现山林川原,huo'xian'shan'lin'chuan'yuan
或现神鬼身,huo'xian'shen'gui'shen
或现天帝身,huo'xian'tian'di'shen
或现天龙身,huo'xian'tian'long'shen
或现宰辅身,huo'xian'zai'fu'shen
或现转轮王身,huo'xian'zhuan'lun'wang'shen
火象地狱,huo'xiang'di'yu
或修补塔寺,huo'xiu'bu'ta'si
或悬幡盖,huo'xuan'fan'gai
或夜梦恶鬼,huo'ye'meng'e'gui
或衣服宝贝,huo'yi'fu'bao'bei
或一或二,huo'yi'huo'er
或一偈一句者,huo'yi'ji'yi'ju'zhe
或一人非,huo'yi'ren'fei
或已生下,huo'yi'sheng'xia
或以香华衣服,huo'yi'xiang'hua'yi'fu
或因公私,huo'yin'gong'si
或因急事,huo'yin'ji'shi
或因生死,huo'yin'sheng'si
或因怨家类,huo'yin'yuan'jia'lei
或因治生,huo'yin'zhi'sheng
火鹰地狱,huo'ying'di'yu
或有暗钝,huo'you'an'dun
或有地狱,huo'you'di'yu
或有堕于恶道之者,huo'you'duo'yu'e'dao'zhi'zhe
或有佛法,huo'you'fo'fa
或有利根,huo'you'li'gen
或有男子女人,huo'you'nan'zi'nv'ren
或有女人,huo'you'nv'ren
或有善果,huo'you'shan'guo
或游险道,huo'you'xian'dao
或有业重,huo'you'ye'zhong
或于梦中,huo'yu'meng'zhong
或欲生时,huo'yu'sheng'shi
或在诸司,huo'zai'zhu'si
或赞叹,huo'zan'tan
或造佛菩萨形像,huo'zao'fo'pu'sa'xing'xiang
或造塔寺,huo'zao'ta'si
或瞻礼,huo'zhan'li
或瞻礼形像,huo'zhan'li'xing'xiang
或置床上,huo'zhi'chuang'shang
或至经像,huo'zhi'jing'xiang
或至门首,huo'zhi'men'shou
或至杀害,huo'zhi'sha'hai
或致失命,huo'zhi'shi'ming
或中腹背,huo'zhong'fu'bei
或中口鼻,huo'zhong'kou'bi
或诸横事,huo'zhu'heng'shi
或转读尊经,huo'zhuan'du'zun'jing
或装理经典,huo'zhuang'li'jing'dian
或自身利益,huo'zi'shen'li'yi
或自塑画菩萨形像,huo'zi'su'hua'pu'sa'xing'xiang
或自营办,huo'zi'ying'ban
即百千万亿生中,ji'bai'qian'wan'yi'sheng'zhong
即便退步,ji'bian'tui'bu
即不能作如是变化,ji'bu'neng'zuo'ru'shi'bian'hua
及不如意事,ji'bu'ru'yi'shi
即承斯功德,ji'cheng'si'gong'de
及大菩萨,ji'da'pu'sa
及大菩萨摩诃萨,ji'da'pu'sa'mo'he'sa
及大士之力,ji'da'shi'zhi'li
计当劫数,ji'dang'jie'shu
计当随业,ji'dang'sui'ye
即当信受,ji'dang'xin'shou
即当言说,ji'dang'yan'shuo
即当永记,ji'dang'yong'ji
即当知母所生去处,ji'dang'zhi'mu'suo'sheng'qu'chu
即得安乐,ji'de'an'le
即得超越四十劫生死重罪,ji'de'chao'yue'si'shi'jie'sheng'si'zhong'zui
即得解脱三恶道报,ji'de'jie'tuo'san'e'dao'bao
即得菩萨摩顶授记,ji'de'pu'sa'mo'ding'shou'ji
即得十种利益,ji'de'shi'zhong'li'yi
及地藏名字,ji'di'zang'ming'zi
及地藏菩萨摩诃萨力,ji'di'zang'pu'sa'mo'he'sa'li
即地藏菩萨是,ji'di'zang'pu'sa'shi
及地藏菩萨已,ji'di'zang'pu'sa'yi
及歌咏赞叹,ji'ge'yong'zan'tan
及功德力,ji'gong'de'li
及广聚眷属,ji'guang'ju'juan'shu
即归其舍,ji'gui'qi'she
及虎狼狮子,ji'hu'lang'shi'zi
讥毁三宝,ji'hui'san'bao
及回视地藏菩萨,ji'hui'shi'di'zang'pu'sa
讥毁他人供养,ji'hui'ta'ren'gong'yang
讥毁之报,ji'hui'zhi'bao
即获聪明,ji'huo'cong'ming
即获摩顶受圣记,ji'huo'mo'ding'shou'sheng'ji
即解脱菩萨是,ji'jie'tuo'pu'sa'shi
集聚眷属,ji'ju'juan'shu
及历恶道,ji'li'e'dao
及辟支佛名字,ji'pi'zhi'fo'ming'zi
及婆罗门等,ji'po'luo'men'deng
计其感果,ji'qi'gan'guo
计其命数,ji'qi'ming'shu
及燃油灯,ji'ran'you'deng
即三生受乐,ji'san'sheng'shou'le
及善男子善女人,ji'shan'nan'zi'shan'nv'ren
即舍所爱,ji'she'suo'ai
及生产妇女,ji'sheng'chan'fu'nv
即生人天,ji'sheng'ren'tian
集圣上因,ji'sheng'shang'yin
寄生他界,ji'sheng'ta'jie
既是我母,ji'shi'wo'mu
及他方国土,ji'ta'fang'guo'tu
及天龙八部,ji'tian'long'ba'bu
及天龙鬼神,ji'tian'long'gui'shen
及天龙鬼神等,ji'tian'long'gui'shen'deng
及土地分,ji'tu'di'fen
及土石胶漆铜铁等像,ji'tu'shi'jiao'qi'tong'tie'deng'xiang
饥吞铁丸,ji'tun'tie'wan
及魍魉精魅,ji'wang'liang'jing'mei
及未来世众生,ji'wei'lai'shi'zhong'sheng
及未来世诸众生等,ji'wei'lai'shi'zhu'zhong'sheng'deng
及未来现在一切众生,ji'wei'lai'xian'zai'yi'qie'zhong'sheng
及闻此经,ji'wen'ci'jing
及闻名者,ji'wen'ming'zhe
记吾今日在忉利天中,ji'wu'jin'ri'zai'dao'li'tian'zhong
即无尽意菩萨是,ji'wu'jin'yi'pu'sa'shi
及现在众生,ji'xian'zai'zhong'sheng
吉祥云中,ji'xiang'yun'zhong
即须业力,ji'xu'ye'li
疾疫不临,ji'yi'bu'lin
及以恶兽,ji'yi'e'shou
即一切智成就如来是,ji'yi'qie'zhi'cheng'jiu'ru'lai'shi
及以神通,ji'yi'shen'tong
及异姓种族,ji'yi'xing'zhong'zu
及营斋之次,ji'ying'zhai'zhi'ci
既有如是不可思议神力,ji'you'ru'shi'bu'ke'si'yi'shen'li
即于梦中见无边,ji'yu'meng'zhong'jian'wu'bian
及与寿命,ji'yu'shou'ming
及造恶缘,ji'zao'e'yuan
即遭诸毒,ji'zao'zhu'du
即证菩提,ji'zheng'pu'ti
既至忉利,ji'zhi'dao'li
及诸供具,ji'zhu'gong'ju
及诸苦事,ji'zhu'ku'shi
及诸杀害,ji'zhu'sha'hai
及诸圣像,ji'zhu'sheng'xiang
及转读是本愿经故,ji'zhuan'du'shi'ben'yuan'jing'gu
及转读是经,ji'zhuan'du'shi'jing
及罪报恶报之事,ji'zui'bao'e'bao'zhi'shi
假令诸识分散,jia'ling'zhu'shi'fen'san
假如天福尽故,jia'ru'tian'fu'jin'gu
假使来世或现在生,jia'shi'lai'shi'huo'xian'zai'sheng
假因业故,jia'yin'ye'gu
家宅不安,jia'zhai'bu'an
家宅凶衰眷属离,jia'zhai'xiong'shuai'juan'shu'li
家宅永安,jia'zhai'yong'an
家中眷属,jia'zhong'juan'shu
见安乐故,jian'an'le'gu
见地藏菩萨像,jian'di'zang'pu'sa'xiang
见地藏形,jian'di'zang'xing
见地藏形像,jian'di'zang'xing'xiang
见佛相好,jian'fo'xiang'hao
见光目女母,jian'guang'mu'nv'mu
渐渐消灭,jian'jian'xiao'mie
见觉华定自在王如来,jian'jue'hua'ding'zi'zai'wang'ru'lai
渐困渐重,jian'kun'jian'zhong
见菩萨像,jian'pu'sa'xiang
见汝形者,jian'ru'xing'zhe
见汝忆母,jian'ru'yi'mu
兼塑画形像,jian'su'hua'xing'xiang
见闻利益品第十二,jian'wen'li'yi'pin'di'shi'er
见闻瞻礼一念间,jian'wen'zhan'li'yi'nian'jian
渐修无上,jian'xiu'wu'shang
见有善男子善女人,jian'you'shan'nan'zi'shan'nv'ren
见诸鬼神,jian'zhu'gui'shen
见诸眷属,jian'zhu'juan'shu
见诸老病,jian'zhu'lao'bing
见诸男子女人,jian'zhu'nan'zi'nv'ren
将舍宅宝贝等,jiang'she'zhai'bao'bei'deng
江神,jiang'shen
将是长流,jiang'shi'chang'liu
将是命终人舍宅财物,jiang'shi'ming'zhong'ren'she'zhai'cai'wu
将死不久,jiang'si'bu'jiu
教化六道一切众生,jiao'hua'liu'dao'yi'qie'zhong'sheng
教化如是刚强众生,jiao'hua'ru'shi'gang'qiang'zhong'sheng
教化诸小国王,jiao'hua'zhu'xiao'guo'wang
教视令熟,jiao'shi'ling'shu
缴罪人颈,jiao'zui'ren'jing
结恶习重,jie'e'xi'zhong
皆来集会,jie'lai'ji'hui
劫名安乐,jie'ming'an'le
皆是大不可思议神通智慧,jie'shi'da'bu'ke'si'yi'shen'tong'zhi'hui
解脱音,jie'tuo'yin
皆因地藏菩萨教化,jie'yin'di'zang'pu'sa'jiao'hua
皆因汝力,jie'yin'ru'li
接引上莲台,jie'yin'shang'lian'tai
皆由瞻礼地藏形像,jie'you'zhan'li'di'zang'xing'xiang
解冤得释放,jie'yuan'de'shi'fang
尽成佛道,jin'cheng'fo'dao
尽成佛竟,jin'cheng'fo'jing
尽充为劫,jin'chong'wei'jie
尽此报后,jin'ci'bao'hou
尽此一报女身,jin'ci'yi'bao'nv'shen
今粗略说,jin'cu'lue'shuo
尽复铁身,jin'fu'tie'shen
金毫相光,jin'hao'xiang'guang
尽驾铁骡,jin'jia'tie'luo
今见世尊赞叹地藏菩萨,jin'jian'shi'zun'zan'tan'di'zang'pu'sa
尽居阎浮提,jin'ju'yan'fu'ti
金口赞地藏,jin'kou'zan'di'zang
尽令解脱,jin'ling'jie'tuo
今蒙世尊殷勤赞叹,jin'meng'shi'zun'yin'qin'zan'tan
金色晃耀,jin'se'huang'yao
今世讽大乘,jin'shi'feng'da'cheng
尽心供养地藏菩萨画像,jin'xin'gong'yang'di'zang'pu'sa'hua'xiang
金银铜铁,jin'yin'tong'tie
近于此舍等处,jin'yu'ci'she'deng'chu
今在恶趣,jin'zai'e'qu
今正是时,jin'zheng'shi'shi
经今三日,jing'jin'san'ri
敬刻地藏像,jing'ke'di'zang'xiang
净口业真言,jing'kou'ye'zhen'yan
敬礼是人,jing'li'shi'ren
净名王佛,jing'ming'wang'fo
净身业真言,jing'shen'ye'zhen'yan
经声毕是遍数,jing'sheng'bi'shi'bian'shu
敬事地藏像,jing'shi'di'zang'xiang
经四十九日后,jing'si'shi'jiu'ri'hou
经一日一夜,jing'yi'ri'yi'ye
净意业真言,jing'yi'ye'zhen'yan
救拔苦难,jiu'ba'ku'nan
救拔吾难,jiu'ba'wu'nan
救拔一切业报众生,jiu'ba'yi'qie'ye'bao'zhong'sheng
救拔一切罪苦六道众生,jiu'ba'yi'qie'zui'ku'liu'dao'zhong'sheng
救拔罪苦众生,jiu'ba'zui'ku'zhong'sheng
久处暗冥,jiu'chu'an'ming
久处床枕,jiu'chu'chuang'zhen
救度一切众生者,jiu'du'yi'qie'zhong'sheng'zhe
救度诸众生,jiu'du'zhu'zhong'sheng
救护一切罪苦之事,jiu'hu'yi'qie'zui'ku'zhi'shi
久化方归,jiu'hua'fang'gui
久经劫数,jiu'jing'jie'shu
酒肉邪淫及妄语,jiu'rou'xie'yin'ji'wang'yu
久远劫来,jiu'yuan'jie'lai
九者,jiu'zhe
俱不得安,ju'bu'de'an
具大智慧,ju'da'zhi'hui
俱得安乐,ju'de'an'le
俱复瞻礼,ju'fu'zhan'li
具告是人,ju'gao'shi'ren
具见地藏菩萨现无边身,ju'jian'di'zang'pu'sa'xian'wu'bian'shen
俱来集在忉利天宫,ju'lai'ji'zai'dao'li'tian'gong
俱婆罗门种,ju'po'luo'men'zhong
举身自扑,ju'shen'zi'pu
居士,ju'shi
具受妙乐,ju'shou'miao'le
俱同生讫,ju'tong'sheng'qi
具闻清净莲华目如来而告之曰,ju'wen'qing'jing'lian'hua'mu'ru'lai'er'gao'zhi'yue
举心动念,ju'xin'dong'nian
锯牙地狱,ju'ya'di'yu
据业受生,ju'ye'shou'sheng
具以本心,ju'yi'ben'xin
俱诣忉利,ju'yi'dao'li
具一切智,ju'yi'qie'zhi
具有十八,ju'you'shi'ba
举止动念,ju'zhi'dong'nian
俱住俱住,ju'zhu'ju'zhu
具足丈夫相,ju'zu'zhang'fu'xiang
眷属分散,juan'shu'fen'san
眷属骨肉,juan'shu'gu'rou
眷属欢乐,juan'shu'huan'le
眷属生界,juan'shu'sheng'jie
眷属小大,juan'shu'xiao'da
决定宝莲生,jue'ding'bao'lian'sheng
觉华度迷津,jue'hua'du'mi'jin
觉华自在王,jue'hua'zi'zai'wang
觉来便得利根耳,jue'lai'bian'de'li'gen'er
绝粮三日,jue'liang'san'ri
觉林菩萨偈,jue'lin'pu'sa'ji
觉知宿业,jue'zhi'su'ye
开经偈,kai'jing'ji
可满万遍,ke'man'wan'bian
渴饮铁汁,ke'yin'tie'zhi
空神,kong'shen
口牙如剑,kou'ya'ru'jian
口牙外出,kou'ya'wai'chu
苦楚相连,ku'chu'xiang'lian
苦毒无量,ku'du'wu'liang
苦海作舟航,ku'hai'zuo'zhou'hang
宽我忧虑,kuan'wo'you'lv
来到佛所,lai'dao'fo'suo
来供养佛,lai'gong'yang'fo
狼牙鬼王,lang'ya'gui'wang
劳斯菩萨,lao'si'pu'sa
老幼贵贱,lao'you'gui'jian
了不可得,le'bu'ke'de
了佛真实性,le'fo'zhen'shi'xing
累堕大地狱,lei'duo'da'di'yu
累劫重誓,lei'jie'zhong'shi
礼拜地藏像,li'bai'di'zang'xiang
礼地藏形,li'di'zang'xing
立发大愿王,li'fa'da'yuan'wang
立何愿,li'he'yuan
立弘誓愿,li'hong'shi'yuan
利及于人,li'ji'yu'ren
历劫修万行,li'jie'xiu'wan'hang
历临终人耳根,li'lin'zhong'ren'er'gen
礼念地藏王,li'nian'di'zang'wang
利刃如剑,li'ren'ru'jian
离水火灾,li'shui'huo'zai
立斯大愿,li'si'da'yuan
利益存亡品第七,li'yi'cun'wang'pin'di'qi
利益等事,li'yi'deng'shi
