阿伯丁,a'bo'ding
福地玛利亚,fu'di'ma'li'ya
弗恩拉布拉德,fu'en'la'bu'la'de
富尔达,fu'er'da
福尔蒂斯青年,fu'er'di'si'qing'nian
福尔柯克,fu'er'ke'ke
弗尔科利,fu'er'ke'li
福弗尔竞技,fu'fu'er'jing'ji
福贾,fu'jia
福克斯通,fu'ke'si'tong
符拉迪沃斯托克,fu'la'di'wo'si'tuo'ke
弗莱堡,fu'lai'bao
弗赖堡,fu'lai'bao
福莱姆,fu'lai'mu
弗兰卡维拉,fu'lan'ka'wei'la
富勒姆,fu'le'mu
弗雷蒙德,fu'lei'meng'de
弗雷瑞斯,fu'lei'rui'si
弗利登,fu'li'deng
弗利戈里亚巴西人,fu'li'ge'li'ya'ba'xi'ren
弗里克利运动,fu'li'ke'li'yun'dong
弗里诺,fu'li'nuo
弗里特伍德城,fu'li'te'wu'de'cheng
弗罗茨瓦夫斯拉斯克,fu'luo'ci'wa'fu'si'la'si'ke
弗罗霍尼拉什,fu'luo'huo'ni'la'shi
弗洛克卡维卡,fu'luo'ke'ka'wei'ka
弗洛西诺内,fu'luo'xi'nuo'nei
富咸,fu'xian
盖茨黑德,gai'ci'hei'de
甘比亚素,gan'bi'ya'su
甘冈,gan'gang
甘莫兰尼斯,gan'mo'lan'ni'si
港会,gang'hui
高柏尼,gao'bai'ni
高贝利,gao'bei'li
高禾,gao'he
告鲁斯,gao'lu'si
高路斯,gao'lu'si
高洛仙尼,gao'luo'xian'ni
高美斯,gao'mei'si
高治,gao'zhi
哥本哈根,ge'ben'ha'gen
哥本哈根足球,ge'ben'ha'gen'zu'qiu
哥德堡,ge'de'bao
哥德堡运动,ge'de'bao'yun'dong
格丁尼亚阿尔卡,ge'ding'ni'ya'a'er'ka
哥度巴,ge'du'ba
格尔维,ge'er'wei
哥古夫,ge'gu'fu
格拉茨,ge'la'ci
格拉茨斯图姆,ge'la'ci'si'tu'mu
格拉德巴赫,ge'la'de'ba'he
格拉梅内特竞技,ge'la'mei'nei'te'jing'ji
格拉纳达,ge'la'na'da
格拉斯格流浪者,ge'la'si'ge'liu'lang'zhe
格拉特肯,ge'la'te'ken
格拉瓦特,ge'la'wa'te
格兰特汉姆城,ge'lan'te'han'mu'cheng
格勒诺布尔,ge'le'nuo'bu'er
格勒斯图普,ge'le'si'tu'pu
格雷夫森特,ge'lei'fu'sen'te
格雷斯竞技,ge'lei'si'jing'ji
格雷特纳,ge'lei'te'na
戈里察,ge'li'cha
格里斯比城,ge'li'si'bi'cheng
格利维采皮亚斯特,ge'li'wei'cai'pi'ya'si'te
格林德维金,ge'lin'de'wei'jin
格陵兰波尔斯,ge'ling'lan'bo'er'si
格鲁阿罗,ge'lu'a'luo
格鲁吉亚,ge'lu'ji'ya
哥伦比亚联合,ge'lun'bi'ya'lian'he
哥伦比亚联赛,ge'lun'bi'ya'lian'sai
哥伦布机员,ge'lun'bu'ji'yuan
格伦托兰,ge'lun'tuo'lan
格伦庄逊,ge'lun'zhuang'xun
格罗巴多夫,ge'luo'ba'duo'fu
格罗拉巴赫,ge'luo'la'ba'he
格罗里亚,ge'luo'li'ya
格罗宁根,ge'luo'ning'gen
格罗塞托,ge'luo'sai'tuo
格罗斯特城,ge'luo'si'te'cheng
格罗塔列,ge'luo'ta'lie
格罗特马勒,ge'luo'te'ma'le
戈梅尔,ge'mei'er
格明德,ge'ming'de
格纳斯亚,ge'na'si'ya
格尼翁,ge'ni'weng
哥斯林,ge'si'lin
根扎诺,gen'zha'nuo
根兹伯罗三人组,gen'zi'bo'luo'san'ren'zu
贡多马尔运动,gong'duo'ma'er'yun'dong
公众队,gong'zhong'dui
古巴竞技,gu'ba'jing'ji
古比,gu'bi
古比奥,gu'bi'ao
古比雪夫,gu'bi'xue'fu
古迪,gu'di
古迪比,gu'di'bi
古迪仙尼,gu'di'xian'ni
古尔沙,gu'er'sha
古利,gu'li
古辛沙,gu'xin'sha
古伊特,gu'yi'te
古庄臣,gu'zhuang'chen
瓜达尔拉阿尔卡罗,gua'da'er'la'a'er'ka'luo
瓜达拉哈拉,gua'da'la'ha'la
圭多你亚,gui'duo'ni'ya
国际米兰,guo'ji'mi'lan
国民军,guo'min'jun
哈德斯菲尔德城,ha'de'si'fei'er'de'cheng
哈尔姆斯塔德,ha'er'mu'si'ta'de
哈尔特贝格,ha'er'te'bei'ge
哈化柏林,ha'hua'bo'lin
哈克诺尔城,ha'ke'nuo'er'cheng
哈肯,ha'ken
哈勒姆,ha'le'mu
哈里斯堡人,ha'li'si'bao'ren
哈罗盖特城,ha'luo'gai'te'cheng
哈罗自治区,ha'luo'zi'zhi'qu
哈梅,ha'mei
哈密尔顿学生,ha'mi'er'dun'xue'sheng
哈默比尔,ha'mo'bi'er
哈默尔,ha'mo'er
哈姆卡姆,ha'mu'ka'mu
哈瑟尔特克尔莫特,ha'se'er'te'ke'er'mo'te
哈斯伯恩,ha'si'bo'en
哈特尔浦联,ha'te'er'pu'lian
哈瓦那眼镜蛇,ha'wa'na'yan'jing'she
哈万特和滑铁卢村,ha'wan'te'he'hua'tie'lu'cun
哈耶斯,ha'ye'si
哈泽斯莱乌竞技,ha'ze'si'lai'wu'jing'ji
海德联,hai'de'lian
海登海姆,hai'deng'hai'mu
海尔德蒙,hai'er'de'meng
海法马卡比,hai'fa'ma'ka'bi
海角十字军战士,hai'jiao'shi'zi'jun'zhan'shi
海伦芬,hai'lun'fen
海姆尔城,hai'mu'er'cheng
海牙,hai'ya
汉堡,han'bao
韩国联赛,han'guo'lian'sai
汉诺威,han'nuo'wei
汉诺威阿米尼亚,han'nuo'wei'a'mi'ni'ya
汉普顿自治区,han'pu'dun'zi'zhi'qu
豪尔斯滕,hao'er'si'teng
豪桑,hao'sang
河床,he'chuang
赫德尼斯福德,he'de'ni'si'fu'de
贺迪,he'di
赫尔城,he'er'cheng
赫尔尼,he'er'ni
赫尔辛堡,he'er'xin'bao
赫尔辛基加卡帕鲁克鲁比,he'er'xin'ji'jia'ka'pa'lu'ke'lu'bi
赫法格,he'fa'ge
贺芬咸,he'fen'xian
禾夫斯堡,he'fu'si'bao
赫库斯,he'ku'si
荷兰,he'lan
荷兰联赛,he'lan'lian'sai
赫勒乌普,he'le'wu'pu
赫里奥斯卡基夫,he'li'ao'si'ka'ji'fu
赫里福德,he'li'fu'de
禾路连,he'lu'lian
赫莫堡,he'mo'bao
赫讷福斯,he'ne'fu'si
禾确,he'que
赫塔菲,he'ta'fei
荷兹利亚马卡比,he'zi'li'ya'ma'ka'bi
黑尔斯欧文城,hei'er'si'ou'wen'cheng
黑山,hei'shan
黑施泰德,hei'shi'tai'de
亨登,heng'deng
亨特竞技,heng'te'jing'ji
红卡,hong'ka
红山,hong'shan
红星,hong'xing
侯城,hou'cheng
侯利亚,hou'li'ya
侯斯顿迪纳摩,hou'si'dun'di'na'mo
胡尔斯,hu'er'si
胡佳德,hu'jia'de
胡京,hu'jing
胡拉坎,hu'la'kan
胡礼菲腊斯,hu'li'fei'la'si
胡里亚运动队,hu'li'ya'yun'dong'dui
胡仙历,hu'xian'li
华拉度列,hua'la'du'lie
华朗,hua'lang
华雷根,hua'lei'gen
华沙莱吉亚,hua'sha'lai'ji'ya
华沙侨民,hua'sha'qiao'min
华盛顿联队,hua'sheng'dun'lian'dui
华素尔,hua'su'er
华于克,hua'yu'ke
怀斯,huai'si
黄安嘉莱,huang'an'jia'lai
皇家奥维多,huang'jia'ao'wei'duo
皇家巴列卡洛,huang'jia'ba'lie'ka'luo
皇家巴列卡诺,huang'jia'ba'lie'ka'nuo
皇家贝蒂斯,huang'jia'bei'di'si
皇家哈恩,huang'jia'ha'en
皇家卡塔赫塔,huang'jia'ka'ta'he'ta
皇家卡西诺,huang'jia'ka'xi'nuo
皇家马德里,huang'jia'ma'de'li
皇家马萨默,huang'jia'ma'sa'mo
皇家蒙特基奥,huang'jia'meng'te'ji'ao
皇家穆西亚,huang'jia'mu'xi'ya
皇家萨拉戈萨,huang'jia'sa'la'ge'sa
皇家社会,huang'jia'she'hui
皇家圣路易斯,huang'jia'sheng'lu'yi'si
皇家盐湖城,huang'jia'yan'hu'cheng
惠特比城,hui'te'bi'cheng
霍伯,huo'bo
霍德,huo'de
霍德维尔,huo'de'wei'er
霍尔拜克,huo'er'bai'ke
霍尔肯,huo'er'ken
霍尔斯特布罗,huo'er'si'te'bu'luo
霍芬赫姆,huo'fen'he'mu
活基治,huo'ji'zhi
霍曼特曼,huo'man'te'man
霍姆堡,huo'mu'bao
霍茹夫鲁什,huo'ru'fu'lu'shen
霍森斯,huo'sen'si
霍舍姆,huo'she'mu
霍斯皮塔勒特,huo'si'pi'ta'le'te
霍斯坦基尔,huo'si'tan'ji'er
基奥,ji'ao
基奥贾,ji'ao'jia
基奥云高,ji'ao'yun'gao
基奥云尼,ji'ao'yun'ni
基拔图,ji'ba'tu
基尔,ji'er
基尔梅斯,ji'er'mei'si
基辅阿森纳,ji'fu'a'sen'na
基辅奥博隆,ji'fu'ao'bo'long
基辅迪纳摩,ji'fu'di'na'mo
基弗里,ji'fu'li
基辅中央陆军,ji'fu'zhong'yang'lu'jun
吉拉尔多,ji'la'er'duo
吉里纳,ji'li'na
基利斯马,ji'li'si'ma
吉灵厄姆,ji'ling'e'mu
吉马朗伊什,ji'ma'lang'yi'shen
基马诺克,ji'ma'nuo'ke
吉姆诺斯蒂卡,ji'mu'nuo'si'di'ka
基拿甸奴,ji'na'dian'nu
基斯利,ji'si'li
基斯马竞技,ji'si'ma'jing'ji
基维尔,ji'wei'er
基维辛迪,ji'wei'xin'di
基谢拉,ji'xie'la
吉耶罗,ji'ye'luo
基治,ji'zhi
加德满都俱乐部,jia'de'man'du'ju'le'bu
加度素,jia'du'su
加尔卡帕罗,jia'er'ka'pa'luo
加尔斯布兰克斯,jia'er'si'bu'lan'ke'si
加高,jia'gao
加济安泰普,jia'ji'an'tai'pu
加坎尼斯,jia'kan'ni'si
加拉塔萨雷,jia'la'ta'sa'lei
加拉塔萨雷体育竞技,jia'la'ta'sa'lei'ti'yu'jing'ji
加莱,jia'lai
加勒,jia'le
加里波利,jia'li'bo'li
加历查,jia'li'cha
加利福尼亚黄金,jia'li'fu'ni'ya'huang'jin
加利尼维利,jia'li'ni'wei'li
戛纳,jia'na
加拿斯,jia'na'si
加那翁,jia'na'weng
加尼克夫联,jia'ni'ke'fu'lian
加普,jia'pu
加特拿,jia'te'na
加维诺,jia'wei'nuo
简路迪,jian'lu'di
简拿华路,jian'na'hua'lu
简尼沙利斯,jian'ni'sha'li'si
坚尼亚,jian'ni'ya
简奴,jian'nu
剑桥城,jian'qiao'cheng
剑桥联,jian'qiao'lian
交通邮政和建设部队,jiao'tong'you'zheng'he'jian'she'bu'dui
捷禾,jie'he
捷克布杰约维采,jie'ke'bu'jie'yue'wei'cai
捷克联赛,jie'ke'lian'sai
杰拉,jie'la
捷连尼,jie'lian'ni
杰斯,jie'si
杰斯纳,jie'si'na
杰索罗城,jie'suo'luo'cheng
捷云顿,jie'yun'dun
金边联,jin'bian'lian
金迪奥,jin'di'ao
晋福尔茨海姆,jin'fu'er'ci'hai'mu
金士顿城,jin'shi'dun'cheng
金斯林,jin'si'lin
竞技,jing'ji
竞技防卫,jing'ji'fang'wei
竞技卡尔奇奥,jing'ji'ka'er'qi'ao
竞技卡塔尼亚,jing'ji'ka'ta'ni'ya
竞技联盟,jing'ji'lian'meng
竞技葡萄牙,jing'ji'pu'tao'ya
竞技足球,jing'ji'zu'qiu
京治,jing'zhi
卡昂,ka'ang
卡比路,ka'bi'lu
喀布尔踢球者,ka'bu'er'ti'qiu'zhe
卡布伦,ka'bu'lun
卡迪夫城,ka'di'fu'cheng
卡迪兹,ka'di'zi
喀尔巴阡,ka'er'ba'qian
卡尔蔡斯耶拿,ka'er'cai'si'ye'na
卡尔德内斯,ka'er'de'nei'si
卡尔克罗,ka'er'ke'luo
卡尔马,ka'er'ma
卡尔斯,ka'er'si
卡尔斯鲁厄,ka'er'si'lu'e
卡法萨巴,ka'fa'sa'ba
卡富,ka'fu
卡格里斯,ka'ge'li'si
卡基夫,ka'ji'fu
卡基夫阿森纳,ka'ji'fu'a'sen'na
卡拉科维亚,ka'la'ke'wei'ya
卡拉里斯,ka'la'li'si
卡拉马塔,ka'la'ma'ta
卡拉马耶,ka'la'ma'ye
卡莱尔联,ka'lai'er'lian
卡兰积卡,ka'lan'ji'ka
卡兰加奴斯,ka'lan'jia'nu'si
卡勒,ka'le
卡里夫顿维尔,ka'li'fu'dun'wei'er
卡利竞技,ka'li'jing'ji
卡利美洲,ka'li'mei'zhou
卡里斯,ka'li'si
卡利亚里,ka'li'ya'li
卡路士,ka'lu'shi
卡罗奥,ka'luo'ao
卡洛凯姆米诺斯,ka'luo'kai'mu'mi'nuo'si
卡罗莱纳迪纳摩,ka'luo'lai'na'di'na'mo
卡罗纳新堡,ka'luo'na'xin'bao
卡马查,ka'ma'cha
卡马森城,ka'ma'sen'cheng
卡米塔,ka'mi'ta
卡拿迪斯,ka'na'di'si
卡那封城,ka'na'feng'cheng
卡纳维斯,ka'na'wei'si
卡奈利,ka'nai'li
卡佩内多罗,ka'pei'nei'duo'luo
卡皮,ka'pi
卡普芬贝格,ka'pu'fen'bei'ge
卡萨尔,ka'sa'er
卡萨莱,ka'sa'lai
卡萨纳雷美洲狮,ka'sa'na'lei'mei'zhou'shi
喀山鲁宾,ka'shan'lu'bin
卡斯鲁厄,ka'si'lu'e
卡斯姆帕斯,ka'si'mu'pa'si
卡斯拿斯,ka'si'na'si
卡斯特拉纳,ka'si'te'la'na
卡斯特里费拉尼科,ka'si'te'li'fei'la'ni'ke
卡斯特里特斯,ka'si'te'li'te'si
卡斯特隆,ka'si'te'long
卡斯特罗维拉里,ka'si'te'luo'wei'la'li
卡斯特圣彼得,ka'si'te'sheng'bi'de
卡斯托里亚,ka'si'tuo'li'ya
卡苏顿运动,ka'su'dun'yun'dong
卡素拿,ka'su'na
卡索拉,ka'suo'la
卡塔戈诺瓦,ka'ta'ge'nuo'wa
卡坦尼亚,ka'tan'ni'ya
卡坦扎罗,ka'tan'zha'luo
卡托利卡古董,ka'tuo'li'ka'gu'dong
卡维拉,ka'wei'la
卡维斯,ka'wei'si
卡西纳,ka'xi'na
卡域克,ka'yu'ke
凯尔采克罗纳王冠,kai'er'cai'ke'luo'na'wang'guan
凯尔斯沃思,kai'er'si'wo'si
凯尔特人,kai'er'te'ren
凯福拉维克,kai'fu'la'wei'ke
开塞利,kai'sai'li
凯斯泰勒拉诺,kai'si'tai'le'la'nuo
凯特林城,kai'te'lin'cheng
凯泽斯劳滕,kai'ze'si'lao'teng
坎姆比尔,kan'mu'bi'er
坎普伯雷,kan'pu'bo'lei
堪萨斯巫师,kan'sa'si'wu'shi
康斯文格,kang'si'wen'ge
考波什堡,kao'bo'shen'bao
考登比斯,kao'deng'bi'si
考文垂,kao'wen'chui
科本纳,ke'ben'na
科比城,ke'bi'cheng
科比雷罗亚,ke'bi'lei'luo'ya
科布伦茨,ke'bu'lun'ci
克茨廷,ke'ci'ting
科达塞讷克,ke'da'sai'ne'ke
克厄,ke'e
科尔多,ke'er'duo
科尔多巴,ke'er'duo'ba
科尔多巴沃兰瓦,ke'er'duo'ba'wo'lan'wa
科尔多瓦,ke'er'duo'wa
科尔雷恩,ke'er'lei'en
科贾埃利,ke'jia'ai'li
科克城,ke'ke'cheng
科孔,ke'kong
克拉德诺,ke'la'de'nuo
克拉雷镇,ke'la'lei'zhen
克拉约瓦罗大学,ke'la'yue'wa'luo'da'xue
克莱德,ke'lai'de
克赖尔斯海姆,ke'lai'er'si'hai'mu
克莱蒙特,ke'lai'meng'te
克莱沃,ke'lai'wo
科勒尼卡尔本,ke'le'ni'ka'er'ben
克雷蒙尼斯,ke'lei'meng'ni'si
克雷塔罗,ke'lei'ta'luo
克雷泰伊,ke'lei'tai'yi
克利夫巴斯,ke'li'fu'ba'si
克利夫登城,ke'li'fu'deng'cheng
科利马,ke'li'ma
克里特岛,ke'li'te'dao
克林特普里茨亚,ke'lin'te'pu'li'ci'ya
科隆,ke'long
克鲁兹,ke'lu'zi
克鲁兹警察,ke'lu'zi'jing'cha
克伦斯,ke'lun'si
克罗地亚迪纳摩,ke'luo'di'ya'di'na'mo
克罗地亚联赛,ke'luo'di'ya'lian'sai
克洛格纳,ke'luo'ge'na
科罗拉多急流,ke'luo'la'duo'ji'liu
科洛姆孔,ke'luo'mu'kong
克洛彭堡,ke'luo'peng'bao
克罗日,ke'luo'ri
克罗托内,ke'luo'tuo'nei
克罗西,ke'luo'xi
科米索,ke'mi'suo
科莫,ke'mo
科莫尔尼茨基波蒂亚,ke'mo'er'ni'ci'ji'bo'di'ya
科南奎伊,ke'nan'kui'yi
科尼亚,ke'ni'ya
科佩尔,ke'pei'er
科切斯特联,ke'qie'si'te'lian
克桑西,ke'sang'xi
科森扎,ke'sen'zha
科特布斯,ke'te'bu'si
科特迪瓦,ke'te'di'wa
科特赖克足球俱乐部,ke'te'lai'ke'zu'qiu'ju'le'bu
克西斯,ke'xi'si
肯特尔城,ken'te'er'cheng
库奥卡皮诺,ku'ao'ka'pi'nuo
库奥皮奥,ku'ao'pi'ao
库尔丁竞技,ku'er'ding'jing'ji
库库塔竞技,ku'ku'ta'jing'ji
库拉夏积杜克,ku'la'xia'ji'du'ke
库利亚坎剑鱼,ku'li'ya'kan'jian'yu
库尼尔,ku'ni'er
库伊雷特,ku'yi'lei'te
矿石联,kuang'shi'lian
奎特斯,kui'te'si
奎维尔,kui'wei'er
昆布兰城,kun'bu'lan'cheng
昆士兰狮吼,kun'shi'lan'shi'hou
昆士兰体育学会,kun'shi'lan'ti'yu'xue'hui
昆托联,kun'tuo'lian
腊比,la'bi
拉德克利夫自治区,la'de'ke'li'fu'zi'zhi'qu
拉恩,la'en
拉斐腊竞技,la'fei'la'jing'ji
拉古萨,la'gu'sa
拉赫蒂,la'he'di
拉科鲁尼亚,la'ke'lu'ni'ya
拉里萨,la'li'sa
拉路维尔,la'lu'wei'er
拉马斯联,la'ma'si'lian
拉梅兹亚,la'mei'zi'ya
拉明斯克土星,la'ming'si'ke'tu'xing
拉莫斯,la'mo'si
拉姆林根,la'mu'lin'gen
拉姆帕青年,la'mu'pa'qing'nian
拉姆斯盖特,la'mu'si'gai'te
拉内格罗竞技,la'nei'ge'luo'jing'ji
拉努斯,la'nu'si
拉普拉塔大学生,la'pu'la'ta'da'xue'sheng
拉普拉塔体操,la'pu'la'ta'ti'cao
拉齐奥,la'qi'ao
拉绍德封,la'shao'de'feng
拉斯帕尔马斯,la'si'pa'er'ma'si
拉斯帕尔马斯联,la'si'pa'er'ma'si'lian
拉素,la'su
拉特纳姆,la'te'na'mu
拉瓦尔,la'wa'er
拉瓦格纳,la'wa'ge'na
拉韦纳,la'wei'na
莱昂,lai'ang
莱奥本,lai'ao'ben
莱奥尼萨文化,lai'ao'ni'sa'wen'hua
莱堡瑞尼,lai'bao'rui'ni
莱顿,lai'dun
莱尔,lai'er
莱格尼察,lai'ge'ni'cha
莱竞技,lai'jing'ji
莱科,lai'ke
莱克城,lai'ke'cheng
莱克兹纳,lai'ke'zi'na
莱里达,lai'li'da
莱里亚竞技,lai'li'ya'jing'ji
莱莫纳,lai'mo'na
莱尼利,lai'ni'li
莱齐亚,lai'qi'ya
莱切,lai'qie
莱切斯特城,lai'qie'si'te'cheng
莱什流浪者,lai'shen'liu'lang'zhe
莱万特,lai'wan'te
莱乌洛,lai'wu'luo
莱茵,lai'yin
兰德尔兹,lan'de'er'zi
兰开斯特城,lan'kai'si'te'cheng
兰尼,lan'ni
蓝色钻石,lan'se'zuan'shi
兰斯,lan'si
蓝斯,lan'si
兰西安奴,lan'xi'an'nu
蓝星体育,lan'xing'ti'yu
蓝扎卢特,lan'zha'lu'te
狼队,lang'dui
朗福德,lang'fu'de
朗拿度,lang'na'du
朗斯,lang'si
老虎队,lao'hu'dui
老虎关岛,lao'hu'guan'dao
老伙计尼泊尔,lao'huo'ji'ni'bo'er
劳特,lao'te
老挝新闻联合会,lao'wo'xin'wen'lian'he'hui
勒阿弗尔,le'a'fu'er
勒芬,le'fen
勒根丁,le'gen'ding
勒芒,le'mang
勒讷,le'ne
勒瓦娄瓦,le'wa'lou'wa
勒沃库森,le'wo'ku'sen
雷德特,lei'de'te
雷登哥散诺,lei'deng'ge'san'nuo
雷登斯,lei'deng'si
雷迪奇联,lei'di'qi'lian
雷丁,lei'ding
雷恩,lei'en
雷恩斯塔斯,lei'en'si'ta'si
雷根斯堡,lei'gen'si'bao
雷根斯堡法雷尔,lei'gen'si'bao'fa'lei'er
雷哈尔,lei'ha'er
雷吉纳,lei'ji'na
雷吉亚纳,lei'ji'ya'na
雷加利斯,lei'jia'li'si
雷克里塞昂,lei'ke'li'sai'ang
雷姆斯巴赫,lei'mu'si'ba'he
雷纳特,lei'na'te
雷纳托,lei'na'tuo
雷尼尔若,lei'ni'er'ruo
雷诺,lei'nuo
里昂,li'ang
里奥马约尔,li'ao'ma'yue'er
利巴,li'ba
里贝拉布拉瓦,li'bei'la'bu'la'wa
里贝劳,li'bei'lao
李察士,li'cha'shi
里德,li'de
里尔,li'er
利尔斯托姆,li'er'si'tuo'mu
里辅,li'fu
利禾奴,li'he'nu
李华度,li'hua'du
里加尔,li'jia'er
里贾纳,li'jia'na
里卡塔,li'ka'ta
利克斯里普,li'ke'si'li'pu
利克斯亚,li'ke'si'ya
利马联盟,li'ma'lian'meng
利马瓦迪联,li'ma'wa'di'lian
里米尼,li'mi'ni
鲤明水,li'ming'shui
利纳雷斯,li'na'lei'si
利普施塔特,li'pu'shi'ta'te
里奇奥尼,li'qi'ao'ni
里奇蒙德,li'qi'meng'de
里士满,li'shi'man
里斯本竞技,li'si'ben'jing'ji
利斯本酿酒厂,li'si'ben'niang'jiu'chang
利泰克斯,li'tai'ke'si
里瓦诺勒斯,li'wa'nuo'le'si
里维埃拉玛雅,li'wei'ai'la'ma'ya
里维纳诺,li'wei'na'nuo
利文斯通,li'wen'si'tong
利沃纳皮奇,li'wo'na'pi'qi
利沃诺,li'wo'nuo
利物浦,li'wu'pu
利希菲尔德,li'xi'fei'er'de
利亚斯,li'ya'si
里耶卡,li'ye'ka
里泽科耶库尔,li'ze'ke'ye'ku'er
利兹,li'zi
利兹联队,li'zi'lian'dui
联合体育,lian'he'ti'yu
连拿,lian'na
连侬,lian'nong
列贝利,lie'bei'li
列迪,lie'di
列基美,lie'ji'mei
列卡特,lie'ka'te
列日,lie'ri
林柏特,lin'bai'te
林茨,lin'ci
林菲尔德,lin'fei'er'de
林肯城,lin'ken'cheng
林肯联,lin'ken'lian
灵比,ling'bi
刘易斯,liu'yi'si
隆安,long'an
隆安预备队,long'an'yu'bei'dui
隆斯,long'si
卢昂,lu'ang
鲁昂,lu'ang
卢贝卡,lu'bei'ka
卢宾,lu'bin
卢茨克,lu'ci'ke
路德维希斯菲尔德,lu'de'wei'xi'si'fei'er'de
卢顿,lu'dun
鲁尔,lu'er
卢甘斯克佐亚,lu'gan'si'ke'zuo'ya
卢戈,lu'ge
鲁戈比联,lu'ge'bi'lian
卢加诺,lu'jia'nuo
卢卡,lu'ka
路伦,lu'lun
鲁默扎尼,lu'mo'zha'ni
鲁萨,lu'sa
卢萨德,lu'sa'de
卢塞恩,lu'sai'en
卢斯奥,lu'si'ao
鲁斯顿钻石,lu'si'dun'zuan'shi
卢斯塔尼亚,lu'si'ta'ni'ya
鲁斯特诺,lu'si'te'nuo
鹿特丹斯巴达,lu'te'dan'si'ba'da
鲁锡斯基,lu'xi'si'ji
卢西塔尼亚,lu'xi'ta'ni'ya
鲁营,lu'ying
鲁兹波瑞克,lu'zi'bo'rui'ke
罗比坚尼,luo'bi'jian'ni
洛宾,luo'bin
罗宾奴,luo'bin'nu
洛博斯,luo'bo'si
罗达,luo'da
罗德岛黄貂鱼,luo'de'dao'huang'diao'yu
罗德兹,luo'de'zi
洛迪古斯,luo'di'gu'si
洛甘城市侵略者,luo'gan'cheng'shi'qin'lue'zhe
洛格罗尼奥,luo'ge'luo'ni'ao
洛赫高尔,luo'he'gao'er
洛迦诺,luo'jia'nuo
罗金汉姆城,luo'jin'han'mu'cheng
罗卡竞技,luo'ka'jing'ji
洛克伦,luo'ke'lun
洛里昂,luo'li'ang
罗利塔诺,luo'li'ta'nuo
罗马,luo'ma
罗马尼亚联赛,luo'ma'ni'ya'lian'sai
罗迈尔联合,luo'mai'er'lian'he
罗莫兰庭,luo'mo'lan'ting
洛姆扎,luo'mu'zha
罗奇达尔,luo'qi'da'er
罗恰,luo'qia
罗琼快车队,luo'qiong'kuai'che'dui
罗萨里奥初级联盟,luo'sa'li'ao'chu'ji'lian'meng
罗萨里奥中央,luo'sa'li'ao'zhong'yang
罗萨尼斯,luo'sa'ni'si
洛桑,luo'sang
罗瑟汉姆,luo'se'han'mu
罗森堡,luo'sen'bao
洛杉矶银河,luo'shan'ji'yin'he
罗斯基勒,luo'si'ji'le
罗斯郡,luo'si'jun
罗斯勒,luo'si'le
罗斯托夫,luo'si'tuo'fu
罗斯托克,luo'si'tuo'ke
罗维戈,luo'wei'ge
罗沃汉姆,luo'wo'han'mu
罗西尼,luo'xi'ni
罗辛达,luo'xin'da
罗伊特林根,luo'yi'te'lin'gen
罗兹,luo'zi
罗兹体育运动,luo'zi'ti'yu'yun'dong
绿色森林流浪,lv'se'sen'lin'liu'lang
绿色沼泽,lv'se'zhao'ze
马白兰基,ma'bai'lan'ji
马达勒纳,ma'da'le'na
马得拉地区,ma'de'la'di'qu
马德拉联,ma'de'la'lian
马德里竞技,ma'de'li'jing'ji
马德里体育会,ma'de'li'ti'yu'hui
马蒂格,ma'di'ge
马甸尼,ma'dian'ni
马恩德拉警察局,ma'en'de'la'jing'cha'ju
马尔比拉,ma'er'bi'la
马尔德海姆,ma'er'de'hai'mu
马尔蒂纳,ma'er'di'na
马尔丁,ma'er'ding
马尔默,ma'er'mo
马尔替马,ma'er'ti'ma
马夫拉,ma'fu'la
马干,ma'gan
马格达雷那联,ma'ge'da'lei'na'lian
马格德堡,ma'ge'de'bao
马华路禾尼,ma'hua'lu'he'ni
马基利尼,ma'ji'li'ni
马加特,ma'jia'te
马科,ma'ke
马昆斯,ma'kun'si
马拉迪亚,ma'la'di'ya
马拉加,ma'la'jia
马里博尔,ma'li'bo'er
马里迪莫,ma'li'di'mo
玛丽港,ma'li'gang
马利诺,ma'li'nuo
马里亚纳群岛,ma'li'ya'na'qun'dao
马路达,ma'lu'da
马略卡,ma'lue'ka
马洛卡,ma'luo'ka
马尼萨,ma'ni'sa
马切拉特斯,ma'qie'la'te'si
马赛,ma'sai
马赛勒坎通,ma'sai'le'kan'tong
马瑟韦尔,ma'se'wei'er
马斯查兰奴,ma'si'cha'lan'nu
马斯奈斯,ma'si'nai'si
马斯卓兰奴,ma'si'zhuo'lan'nu
马泰拉,ma'tai'la
马特拉斯,ma'te'la'si
马特洛克城,ma'te'luo'ke'cheng
马特斯伯格,ma'te'si'bo'ge
马田斯,ma'tian'si
马西科,ma'xi'ke
马些路,ma'xie'lu
马真拿,ma'zhen'na
麦德林,mai'de'lin
迈恩,mai'en
迈干,mai'gan
麦卡菲,mai'ka'fei
麦克尔斯菲尔德城,mai'ke'er'si'fei'er'de'cheng
麦克莱夫,mai'ke'lai'fu
迈拉特,mai'la'te
麦萨斯,mai'sa'si
麦士维,mai'shi'wei
迈亚,mai'ya
曼昂,man'ang
曼彻斯特联队,man'che'si'te'lian'dui
曼城,man'cheng
曼德拉城,man'de'la'cheng
曼弗雷多尼亚,man'fu'lei'duo'ni'ya
曼戈特斯菲尔德联,man'ge'te'si'fei'er'de'lian
曼海姆,man'hai'mu
