安阳,an'yang
江阴市周庄镇成人教育中心,jiang'yin'shi'zhou'zhuang'zhen'cheng'ren'jiao'yu'zhong'xin
江阴市周庄中学,jiang'yin'shi'zhou'zhuang'zhong'xue
江阴市祝塘镇成人教育中心校,jiang'yin'shi'zhu'tang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
江阴市祝塘中学,jiang'yin'shi'zhu'tang'zhong'xue
江阴一中,jiang'yin'yi'zhong
江阴职业高级中学,jiang'yin'zhi'ye'gao'ji'zhong'xue
郊区广益乡成人教育中心校,jiao'qu'guang'yi'xiang'cheng'ren'jiao'yu'zhong'xin'xiao
郊区广益乡成人校,jiao'qu'guang'yi'xiang'cheng'ren'xiao
郊区职工,jiao'qu'zhi'gong
郊区职工学校,jiao'qu'zhi'gong'xue'xiao
教师进修,jiao'shi'jin'xiu
教师进修学校,jiao'shi'jin'xiu'xue'xiao
交通技工,jiao'tong'ji'gong
交通技工学校,jiao'tong'ji'gong'xue'xiao
交通职工,jiao'tong'zhi'gong
交通职工学校,jiao'tong'zhi'gong'xue'xiao
教研,jiao'yan
教研中心,jiao'yan'zhong'xin
教育附属,jiao'yu'fu'shu
教育附中,jiao'yu'fu'zhong
教育学院附属实验,jiao'yu'xue'yuan'fu'shu'shi'yan
教育学院附属实验中学,jiao'yu'xue'yuan'fu'shu'shi'yan'zhong'xue
教育学院附中,jiao'yu'xue'yuan'fu'zhong
教育育附属,jiao'yu'yu'fu'shu
教育育学院附属实验,jiao'yu'yu'xue'yuan'fu'shu'shi'yan
教育育学院附属实验中学,jiao'yu'yu'xue'yuan'fu'shu'shi'yan'zhong'xue
金海里,jin'hai'li
金海里小学,jin'hai'li'xiao'xue
金桥,jin'qiao
金桥小学,jin'qiao'xiao'xue
金星,jin'xing
金星中学,jin'xing'zhong'xue
靖海,jing'hai
靖海小学,jing'hai'xiao'xue
经济,jing'ji
经济管理干部,jing'ji'guan'li'gan'bu
经济管理干部学校,jing'ji'guan'li'gan'bu'xue'xiao
经济学校,jing'ji'xue'xiao
鲸塘,jing'tang
鲸塘中学,jing'tang'zhong'xue
荆溪,jing'xi
荆溪中学,jing'xi'zhong'xue
科技,ke'ji
科技活动,ke'ji'huo'dong
科技活动中心,ke'ji'huo'dong'zhong'xin
科技技术,ke'ji'ji'shu
科技技术学校,ke'ji'ji'shu'xue'xiao
科技职业,ke'ji'zhi'ye
科技职业学院,ke'ji'zhi'ye'xue'yuan
利港,li'gang
利港中学,li'gang'zhong'xue
蠡湖,li'hu
蠡湖长桥分部,li'hu'chang'qiao'fen'bu
蠡湖中心,li'hu'zhong'xin
蠡湖中心长桥分部,li'hu'zhong'xin'chang'qiao'fen'bu
蠡湖中心小学,li'hu'zhong'xin'xiao'xue
蠡桥,li'qiao
蠡桥小学,li'qiao'xiao'xue
蠡墅,li'shu
蠡墅中学,li'shu'zhong'xue
丽新,li'xin
立信职教,li'xin'zhi'jiao
立信职教中心,li'xin'zhi'jiao'zhong'xin
立信职校,li'xin'zhi'xiao
丽新中学,li'xin'zhong'xue
蠡园,li'yuan
蠡园中心,li'yuan'zhong'xin
蠡园中心小学,li'yuan'zhong'xin'xiao'xue
蠡园中学,li'yuan'zhong'xue
梨庄,li'zhuang
梨庄中心,li'zhuang'zhong'xin
梨庄中心分校,li'zhuang'zhong'xin'fen'xiao
梨庄中心小学,li'zhuang'zhong'xin'xiao'xue
梨庄中心小学分校,li'zhuang'zhong'xin'xiao'xue'fen'xiao
梨庄中学,li'zhuang'zhong'xue
楝树,lian'shu
楝树中学,lian'shu'zhong'xue
连元街,lian'yuan'jie
连元街小学,lian'yuan'jie'xiao'xue
粮食职工,liang'shi'zhi'gong
粮食职工学校,liang'shi'zhi'gong'xue'xiao
粮食职工中等专业,liang'shi'zhi'gong'zhong'deng'zhuan'ye
粮食职工中等专业学校,liang'shi'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
梁溪,liang'xi
梁溪中学,liang'xi'zhong'xue
凌霞,ling'xia
凌霞实验,ling'xia'shi'yan
凌霞实验中学,ling'xia'shi'yan'zhong'xue
刘潭,liu'tan
刘潭第二,liu'tan'di'er
刘潭第二分校,liu'tan'di'er'fen'xiao
刘潭第一,liu'tan'di'yi
刘潭第一分校,liu'tan'di'yi'fen'xiao
刘潭实验,liu'tan'shi'yan
刘潭实验第二分校,liu'tan'shi'yan'di'er'fen'xiao
刘潭实验第一分校,liu'tan'shi'yan'di'yi'fen'xiao
刘潭实验小学,liu'tan'shi'yan'xiao'xue
刘潭实验小学第二分校,liu'tan'shi'yan'xiao'xue'di'er'fen'xiao
刘潭实验小学第一分校,liu'tan'shi'yan'xiao'xue'di'yi'fen'xiao
刘潭中学,liu'tan'zhong'xue
六中,liu'zhong
聋哑,long'ya
聋哑学校,long'ya'xue'xiao
龙渚,long'zhu
龙渚小学,long'zhu'xiao'xue
陆金标科技,lu'jin'biao'ke'ji
陆金标科技学校,lu'jin'biao'ke'ji'xue'xiao
陆桥,lu'qiao
陆桥初中,lu'qiao'chu'zhong
陆区,lu'qu
陆区中学,lu'qu'zhong'xue
芦庄,lu'zhuang
芦庄第二,lu'zhuang'di'er
芦庄第二小学,lu'zhuang'di'er'xiao'xue
芦庄实验,lu'zhuang'shi'yan
芦庄实验小学,lu'zhuang'shi'yan'xiao'xue
洛社,luo'she
洛社初中,luo'she'chu'zhong
洛社高级,luo'she'gao'ji
洛社高级中学,luo'she'gao'ji'zhong'xue
洛社高中,luo'she'gao'zhong
洛社开河,luo'she'kai'he
洛社开河实验学校,luo'she'kai'he'shi'yan'xue'xiao
洛社双庙,luo'she'shuang'miao
洛社双庙初中,luo'she'shuang'miao'chu'zhong
洛社镇成人教育中心校,luo'she'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
洛社镇成人校,luo'she'zhen'cheng'ren'xiao
旅游,lv'you
旅游商贸,lv'you'shang'mao
旅游商贸高等职业技术,lv'you'shang'mao'gao'deng'zhi'ye'ji'shu
旅游商贸高等职业技术学校,lv'you'shang'mao'gao'deng'zhi'ye'ji'shu'xue'xiao
旅游商贸技术,lv'you'shang'mao'ji'shu
旅游商贸职校,lv'you'shang'mao'zhi'xiao
旅游商贸职业,lv'you'shang'mao'zhi'ye
旅游商贸职业学校,lv'you'shang'mao'zhi'ye'xue'xiao
旅游职业,lv'you'zhi'ye
旅游职业学校,lv'you'zhi'ye'xue'xiao
马山,ma'shan
马山闾江,ma'shan'lv'jiang
马山职工,ma'shan'zhi'gong
马山职工学校,ma'shan'zhi'gong'xue'xiao
马山中心,ma'shan'zhong'xin
马山中心闾江,ma'shan'zhong'xin'lv'jiang
马山中心闾江分校,ma'shan'zhong'xin'lv'jiang'fen'xiao
马山中心小学,ma'shan'zhong'xin'xiao'xue
梅村,mei'cun
梅村高级,mei'cun'gao'ji
梅村高级中学,mei'cun'gao'ji'zhong'xue
梅里,mei'li
梅里中学,mei'li'zhong'xue
梅梁,mei'liang
梅梁中学,mei'liang'zhong'xue
梅园,mei'yuan
梅园小学,mei'yuan'xiao'xue
梅园中学,mei'yuan'zhong'xue
庙桥,miao'qiao
庙桥分校,miao'qiao'fen'xiao
民办辅仁,min'ban'fu'ren
民办辅仁中学,min'ban'fu'ren'zhong'xue
茗岭,ming'ling
茗岭中学,ming'ling'zhong'xue
南漕,nan'cao
南漕中学,nan'cao'zhong'xue
南长街,nan'chang'jie
南长街小学,nan'chang'jie'xiao'xue
南长区,nan'chang'qu
南长区职工,nan'chang'qu'zhi'gong
南长区职工学校,nan'chang'qu'zhi'gong'xue'xiao
南分校,nan'fen'xiao
南丰,nan'feng
南丰小学,nan'feng'xiao'xue
南菁,nan'jing
南菁高级,nan'jing'gao'ji
南菁高级中学,nan'jing'gao'ji'zhong'xue
南菁高中,nan'jing'gao'zhong
南菁中学,nan'jing'zhong'xue
南泉,nan'quan
南泉中学,nan'quan'zhong'xue
南实验分校,nan'shi'yan'fen'xiao
南新,nan'xin
南新中学,nan'xin'zhong'xue
南洋国际,nan'yang'guo'ji
南洋国际学校,nan'yang'guo'ji'xue'xiao
南洋技术,nan'yang'ji'shu
南洋职业技术,nan'yang'zhi'ye'ji'shu
南洋职业技术学院,nan'yang'zhi'ye'ji'shu'xue'yuan
南闸,nan'zha
南闸中学,nan'zha'zhong'xue
南中学实验分校,nan'zhong'xue'shi'yan'fen'xiao
宁海里,ning'hai'li
宁海里小学,ning'hai'li'xiao'xue
钮家,niu'jia
钮家中学,niu'jia'zhong'xue
农业干部,nong'ye'gan'bu
农业干部江苏省,nong'ye'gan'bu'jiang'su'sheng
农业干部学校江苏省,nong'ye'gan'bu'xue'xiao'jiang'su'sheng
农业技术,nong'ye'ji'shu
农业技术学校,nong'ye'ji'shu'xue'xiao
农业机械化,nong'ye'ji'xie'hua
农业机械化学校,nong'ye'ji'xie'hua'xue'xiao
农业机械化职工,nong'ye'ji'xie'hua'zhi'gong
农业机械化职工学校,nong'ye'ji'xie'hua'zhi'gong'xue'xiao
藕塘,ou'tang
藕塘中学,ou'tang'zhong'xue
潘家坝,pan'jia'ba
潘家坝中学,pan'jia'ba'zhong'xue
培林,pei'lin
培林高级,pei'lin'gao'ji
培林实验高级,pei'lin'shi'yan'gao'ji
培林实验高级中学,pei'lin'shi'yan'gao'ji'zhong'xue
培林中学,pei'lin'zhong'xue
培训,pei'xun
培源,pei'yuan
培源中学,pei'yuan'zhong'xue
屺亭,qi'ting
屺亭中学,qi'ting'zhong'xue
钱桥,qian'qiao
钱桥中学,qian'qiao'zhong'xue
前洲,qian'zhou
前洲中学,qian'zhou'zhong'xue
峭岐,qiao'qi
峭岐二中,qiao'qi'er'zhong
峭岐中学,qiao'qi'zhong'xue
侨谊,qiao'yi
侨谊实验,qiao'yi'shi'yan
侨谊实验中学,qiao'yi'shi'yan'zhong'xue
沁园,qin'yuan
沁园实验,qin'yuan'shi'yan
沁园实验小学,qin'yuan'shi'yan'xiao'xue
轻工,qing'gong
轻工大学,qing'gong'da'xue
轻工技工,qing'gong'ji'gong
轻工技工学校,qing'gong'ji'gong'xue'xiao
轻工职业,qing'gong'zhi'ye
轻工职业高级,qing'gong'zhi'ye'gao'ji
轻工职业高级中学,qing'gong'zhi'ye'gao'ji'zhong'xue
清名桥,qing'ming'qiao
清名桥中学,qing'ming'qiao'zhong'xue
青山,qing'shan
青山高级,qing'shan'gao'ji
青山高级中学,qing'shan'gao'ji'zhong'xue
青山高中,qing'shan'gao'zhong
青山中学,qing'shan'zhong'xue
青阳,qing'yang
青阳第二,qing'yang'di'er
青阳第二中学,qing'yang'di'er'zhong'xue
青阳二中,qing'yang'er'zhong
青阳镇成人教育中心校,qing'yang'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
青阳镇成人校,qing'yang'zhen'cheng'ren'xiao
青阳中学,qing'yang'zhong'xue
三高中,san'gao'zhong
三湖,san'hu
三中,san'zhong
山北,shan'bei
山北中心,shan'bei'zhong'xin
山北中心小学,shan'bei'zhong'xin'xiao'xue
山北中学,shan'bei'zhong'xue
山高级,shan'gao'ji
山高级中学,shan'gao'ji'zhong'xue
山观,shan'guan
山观镇成人教育中心校,shan'guan'zhen'cheng'ren'jiao'yu'zhong'xin'xiao
山观镇成人校,shan'guan'zhen'cheng'ren'xiao
山观中学,shan'guan'zhong'xue
善卷,shan'juan
善卷中学,shan'juan'zhong'xue
山明,shan'ming
山明中学,shan'ming'zhong'xue
尚仁,shang'ren
尚仁中学,shang'ren'zhong'xue
上山,shang'shan
商业,shang'ye
商业技工,shang'ye'ji'gong
商业技工学校,shang'ye'ji'gong'xue'xiao
商业技术,shang'ye'ji'shu
商业职工,shang'ye'zhi'gong
商业职工学校,shang'ye'zhi'gong'xue'xiao
商业职业,shang'ye'zhi'ye
商业职业技术,shang'ye'zhi'ye'ji'shu
商业职业技术学院,shang'ye'zhi'ye'ji'shu'xue'yuan
商业职业学校,shang'ye'zhi'ye'xue'xiao
社桥,she'qiao
社桥中学,she'qiao'zhong'xue
申港,shen'gang
申港成人教育中心校,shen'gang'cheng'ren'jiao'yu'zhong'xin'xiao
申港成人校,shen'gang'cheng'ren'xiao
申港中学,shen'gang'zhong'xue
盛岸,sheng'an
盛岸实验,sheng'an'shi'yan
盛岸实验小学,sheng'an'shi'yan'xiao'xue
升溪,sheng'xi
升溪中学,sheng'xi'zhong'xue
市北,shi'bei
市北高级,shi'bei'gao'ji
市北高级中学,shi'bei'gao'ji'zhong'xue
市北高中,shi'bei'gao'zhong
市北中学,shi'bei'zhong'xue
师范,shi'fan
师范附属,shi'fan'fu'shu
师范附属小学,shi'fan'fu'shu'xiao'xue
师范学校附属,shi'fan'xue'xiao'fu'shu
师范学校附属小学,shi'fan'xue'xiao'fu'shu'xiao'xue
石化成人教育研究会,shi'hua'cheng'ren'jiao'yu'yan'jiu'hui
石化成人研究会,shi'hua'cheng'ren'yan'jiu'hui
石塘湾,shi'tang'wan
石塘湾中学,shi'tang'wan'zhong'xue
实验,shi'yan
实验学校,shi'yan'xue'xiao
实验幼儿园,shi'yan'you'er'yuan
实验中学,shi'yan'zhong'xue
石庄,shi'zhuang
石庄初级,shi'zhuang'chu'ji
石庄初级中学,shi'zhuang'chu'ji'zhong'xue
书法艺术,shu'fa'yi'shu
书法艺术教育中心,shu'fa'yi'shu'jiao'yu'zhong'xin
树人,shu'ren
树人中学,shu'ren'zhong'xue
蜀镇画溪,shu'zhen'hua'xi
蜀镇画溪中学,shu'zhen'hua'xi'zhong'xue
双河新村,shuang'he'xin'cun
双河新村小学,shuang'he'xin'cun'xiao'xue
水秀,shui'xiu
水秀中学,shui'xiu'zhong'xue
硕放,shuo'fang
硕放南星苑分部,shuo'fang'nan'xing'yuan'fen'bu
硕放实验,shuo'fang'shi'yan
硕放实验小学,shuo'fang'shi'yan'xiao'xue
硕放中学,shuo'fang'zhong'xue
丝绸工业技工,si'chou'gong'ye'ji'gong
丝绸工业技工学校,si'chou'gong'ye'ji'gong'xue'xiao
私立光华,si'li'guang'hua
私立光华学校,si'li'guang'hua'xue'xiao
孙桥,sun'qiao
孙桥小学,sun'qiao'xiao'xue
塔影,ta'ying
塔影中心,ta'ying'zhong'xin
塔影中心小学,ta'ying'zhong'xin'xiao'xue
塔影中学,ta'ying'zhong'xue
泰伯部,tai'bo'bu
泰伯实验学校部,tai'bo'shi'yan'xue'xiao'bu
泰伯实验学校小学部,tai'bo'shi'yan'xue'xiao'xiao'xue'bu
太湖,tai'hu
太湖高级,tai'hu'gao'ji
太湖高级中学,tai'hu'gao'ji'zhong'xue
太湖高中,tai'hu'gao'zhong
太湖实验,tai'hu'shi'yan
太湖实验小学,tai'hu'shi'yan'xiao'xue
太华,tai'hua
太华中学,tai'hua'zhong'xue
塘南,tang'nan
塘南中学,tang'nan'zhong'xue
陶瓷公司,tao'ci'gong'si
陶瓷公司教育中心,tao'ci'gong'si'jiao'yu'zhong'xin
陶都,tao'du
陶都中学,tao'du'zhong'xue
桃溪,tao'xi
桃溪中学,tao'xi'zhong'xue
体育,ti'yu
体育中学,ti'yu'zhong'xue
天一,tian'yi
天一分校,tian'yi'fen'xiao
天一中学,tian'yi'zhong'xue
天一中学分校,tian'yi'zhong'xue'fen'xiao
亭子桥,ting'zi'qiao
亭子桥中心,ting'zi'qiao'zhong'xin
亭子桥中心小学,ting'zi'qiao'zhong'xin'xiao'xue
通德桥,tong'de'qiao
通德桥实验,tong'de'qiao'shi'yan
通德桥实验小学,tong'de'qiao'shi'yan'xiao'xue
铜峰,tong'feng
铜峰中学,tong'feng'zhong'xue
通江,tong'jiang
通江实验,tong'jiang'shi'yan
通江实验小学,tong'jiang'shi'yan'xiao'xue
桐岐,tong'qi
桐岐中学,tong'qi'zhong'xue
外国语,wai'guo'yu
外国语学校,wai'guo'yu'xue'xiao
万石,wan'shi
万石成人文化技术,wan'shi'cheng'ren'wen'hua'ji'shu
万石成人文化技术学校,wan'shi'cheng'ren'wen'hua'ji'shu'xue'xiao
万石中学,wan'shi'zhong'xue
旺庄,wang'zhuang
旺庄春星分部,wang'zhuang'chun'xing'fen'bu
旺庄埌下分部,wang'zhuang'lang'xia'fen'bu
旺庄实验,wang'zhuang'shi'yan
旺庄实验小学,wang'zhuang'shi'yan'xiao'xue
旺庄新光分部,wang'zhuang'xin'guang'fen'bu
旺庄中学,wang'zhuang'zhong'xue
卫生进修,wei'sheng'jin'xiu
卫生进修学校,wei'sheng'jin'xiu'xue'xiao
卫校,wei'xiao
文林,wen'lin
文林初中,wen'lin'chu'zhong
五爱,wu'ai
五爱小学,wu'ai'xiao'xue
吴风,wu'feng
吴风实验学校,wu'feng'shi'yan'xue'xiao
五河新村,wu'he'xin'cun
五河新村小学,wu'he'xin'cun'xiao'xue
吴桥,wu'qiao
吴桥分校,wu'qiao'fen'xiao
吴桥实验,wu'qiao'shi'yan
吴桥实验分校,wu'qiao'shi'yan'fen'xiao
吴桥实验小学,wu'qiao'shi'yan'xiao'xue
吴桥实验小学分校,wu'qiao'shi'yan'xiao'xue'fen'xiao
无锡北塘区职工学校,wu'xi'bei'tang'qu'zhi'gong'xue'xiao
无锡城市职业技术学院,wu'xi'cheng'shi'zhi'ye'ji'shu'xue'yuan
无锡崇宁路实验小学,wu'xi'chong'ning'lu'shi'yan'xiao'xue
无锡第一女子中学,wu'xi'di'yi'nv'zi'zhong'xue
无锡二中,wu'xi'er'zhong
无锡高等师范学校,wu'xi'gao'deng'shi'fan'xue'xiao
无锡工业学校,wu'xi'gong'ye'xue'xiao
无锡工艺职业技术学院,wu'xi'gong'yi'zhi'ye'ji'shu'xue'yuan
无锡光华学校,wu'xi'guang'hua'xue'xiao
无锡国际学校,wu'xi'guo'ji'xue'xiao
无锡航运技工学校,wu'xi'hang'yun'ji'gong'xue'xiao
无锡机电高等职业技术学校,wu'xi'ji'dian'gao'deng'zhi'ye'ji'shu'xue'xiao
无锡机电高等职业学校,wu'xi'ji'dian'gao'deng'zhi'ye'xue'xiao
无锡建筑职工中等专业学校,wu'xi'jian'zhu'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
无锡教育学院附属实验中学,wu'xi'jiao'yu'xue'yuan'fu'shu'shi'yan'zhong'xue
无锡科技职业学院,wu'xi'ke'ji'zhi'ye'xue'yuan
无锡立信职教中心,wu'xi'li'xin'zhi'jiao'zhong'xin
无锡连元街小学,wu'xi'lian'yuan'jie'xiao'xue
无锡六中,wu'xi'liu'zhong
无锡旅游商贸高等职业技术学校,wu'xi'lv'you'shang'mao'gao'deng'zhi'ye'ji'shu'xue'xiao
无锡旅游商贸职业学校,wu'xi'lv'you'shang'mao'zhi'ye'xue'xiao
无锡南洋国际学校,wu'xi'nan'yang'guo'ji'xue'xiao
无锡南洋职业技术学院,wu'xi'nan'yang'zhi'ye'ji'shu'xue'yuan
无锡培林实验高级中学,wu'xi'pei'lin'shi'yan'gao'ji'zhong'xue
无锡沁园实验小学,wu'xi'qin'yuan'shi'yan'xiao'xue
无锡轻工大学,wu'xi'qing'gong'da'xue
无锡轻工职业高级中学,wu'xi'qing'gong'zhi'ye'gao'ji'zhong'xue
无锡三中,wu'xi'san'zhong
无锡商业职业技术学院,wu'xi'shang'ye'zhi'ye'ji'shu'xue'yuan
无锡盛岸实验小学,wu'xi'sheng'an'shi'yan'xiao'xue
无锡市,wu'xi'shi
无锡市安阳中学,wu'xi'shi'an'yang'zhong'xue
无锡市安镇中学,wu'xi'shi'an'zhen'zhong'xue
无锡市八士中学,wu'xi'shi'ba'shi'zhong'xue
无锡市北塘区,wu'xi'shi'bei'tang'qu
无锡市滨城民办民工小学,wu'xi'shi'bin'cheng'min'ban'min'gong'xiao'xue
无锡市滨湖区,wu'xi'shi'bin'hu'qu
无锡市滨湖中心三湖分校,wu'xi'shi'bin'hu'zhong'xin'san'hu'fen'xiao
无锡市滨湖中心小学,wu'xi'shi'bin'hu'zhong'xin'xiao'xue
无锡市查桥中学,wu'xi'shi'cha'qiao'zhong'xue
无锡市长安中学,wu'xi'shi'chang'an'zhong'xue
无锡市成协培训中心,wu'xi'shi'cheng'xie'pei'xun'zhong'xin
无锡市崇安区,wu'xi'shi'chong'an'qu
无锡市崇安区教师进修学校,wu'xi'shi'chong'an'qu'jiao'shi'jin'xiu'xue'xiao
无锡市崇安区职工学校,wu'xi'shi'chong'an'qu'zhi'gong'xue'xiao
无锡市大桥实验中学,wu'xi'shi'da'qiao'shi'yan'zhong'xue
无锡市稻香实验小学,wu'xi'shi'dao'xiang'shi'yan'xiao'xue
无锡市第二中学,wu'xi'shi'di'er'zhong'xue
无锡市第二中学实验分校,wu'xi'shi'di'er'zhong'xue'shi'yan'fen'xiao
无锡市第六高级中学,wu'xi'shi'di'liu'gao'ji'zhong'xue
无锡市第六中学,wu'xi'shi'di'liu'zhong'xue
无锡市第三高级中学,wu'xi'shi'di'san'gao'ji'zhong'xue
无锡市第十中学,wu'xi'shi'di'shi'zhong'xue
无锡市第一女子中学,wu'xi'shi'di'yi'nv'zi'zhong'xue
无锡市第一中学,wu'xi'shi'di'yi'zhong'xue
无锡市第一中学实验分校,wu'xi'shi'di'yi'zhong'xue'shi'yan'fen'xiao
无锡市东绛庙桥分校,wu'xi'shi'dong'jiang'miao'qiao'fen'xiao
无锡市东绛实验学校,wu'xi'shi'dong'jiang'shi'yan'xue'xiao
无锡市东绛中学,wu'xi'shi'dong'jiang'zhong'xue
无锡市东林小学,wu'xi'shi'dong'lin'xiao'xue
无锡市东林中学,wu'xi'shi'dong'lin'zhong'xue
无锡师范附属小学,wu'xi'shi'fan'fu'shu'xiao'xue
无锡师范学校附属小学,wu'xi'shi'fan'xue'xiao'fu'shu'xiao'xue
无锡市坊前中学,wu'xi'shi'fang'qian'zhong'xue
无锡市凤翔实验学校小学部,wu'xi'shi'feng'xiang'shi'yan'xue'xiao'xiao'xue'bu
无锡市峰影小学峰影校区,wu'xi'shi'feng'ying'xiao'xue'feng'ying'xiao'qu
无锡市峰影小学朝霞校区,wu'xi'shi'feng'ying'xiao'xue'zhao'xia'xiao'qu
无锡市辅仁高级中学,wu'xi'shi'fu'ren'gao'ji'zhong'xue
无锡市甘露学校,wu'xi'shi'gan'lu'xue'xiao
无锡市港下中学,wu'xi'shi'gang'xia'zhong'xue
无锡市工艺美术技工学校,wu'xi'shi'gong'yi'mei'shu'ji'gong'xue'xiao
无锡市公益职业学校,wu'xi'shi'gong'yi'zhi'ye'xue'xiao
无锡市公益中学,wu'xi'shi'gong'yi'zhong'xue
无锡市广丰中学,wu'xi'shi'guang'feng'zhong'xue
无锡市广勤中学,wu'xi'shi'guang'qin'zhong'xue
无锡市广瑞实验小学,wu'xi'shi'guang'rui'shi'yan'xiao'xue
无锡市广瑞中学,wu'xi'shi'guang'rui'zhong'xue
无锡市广新小学,wu'xi'shi'guang'xin'xiao'xue
无锡市广益中心小学,wu'xi'shi'guang'yi'zhong'xin'xiao'xue
无锡市广益中心小学尤渡校区,wu'xi'shi'guang'yi'zhong'xin'xiao'xue'you'du'xiao'qu
无锡市海鹰校区,wu'xi'shi'hai'ying'xiao'qu
无锡市河埒中心小学,wu'xi'shi'he'lie'zhong'xin'xiao'xue
无锡市河埒中学,wu'xi'shi'he'lie'zhong'xue
无锡市后祁街小学,wu'xi'shi'hou'qi'jie'xiao'xue
无锡市厚桥中学,wu'xi'shi'hou'qiao'zhong'xue
无锡市后宅中学,wu'xi'shi'hou'zhai'zhong'xue
无锡市湖滨中学,wu'xi'shi'hu'bin'zhong'xue
无锡市胡埭中心上山分校,wu'xi'shi'hu'dai'zhong'xin'shang'shan'fen'xiao
无锡市胡埭中心小学,wu'xi'shi'hu'dai'zhong'xin'xiao'xue
无锡市胡埭中心张舍分校,wu'xi'shi'hu'dai'zhong'xin'zhang'she'fen'xiao
无锡市胡埭中学,wu'xi'shi'hu'dai'zhong'xue
无锡市湖光中学,wu'xi'shi'hu'guang'zhong'xue
无锡市化工职工中等专业学校,wu'xi'shi'hua'gong'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
无锡市华晶小学,wu'xi'shi'hua'jing'xiao'xue
无锡市化学工业技工学校,wu'xi'shi'hua'xue'gong'ye'ji'gong'xue'xiao
无锡市花园实验小学,wu'xi'shi'hua'yuan'shi'yan'xiao'xue
无锡市华庄中心小学,wu'xi'shi'hua'zhuang'zhong'xin'xiao'xue
无锡市惠山区,wu'xi'shi'hui'shan'qu
无锡市技工培训教学研究室,wu'xi'shi'ji'gong'pei'xun'jiao'xue'yan'jiu'shi
无锡市技术学校,wu'xi'shi'ji'shu'xue'xiao
无锡市积余实验学校小学部,wu'xi'shi'ji'yu'shi'yan'xue'xiao'xiao'xue'bu
无锡市夹城里中心小学,wu'xi'shi'jia'cheng'li'zhong'xin'xiao'xue
无锡市建材职工中等专业学校,wu'xi'shi'jian'cai'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
无锡市建筑工程技工学校,wu'xi'shi'jian'zhu'gong'cheng'ji'gong'xue'xiao
无锡市江淮希望学校,wu'xi'shi'jiang'huai'xi'wang'xue'xiao
无锡市江南实验小学,wu'xi'shi'jiang'nan'shi'yan'xiao'xue
无锡市江南中学,wu'xi'shi'jiang'nan'zhong'xue
无锡市江南中学实验分校,wu'xi'shi'jiang'nan'zhong'xue'shi'yan'fen'xiao
无锡市江溪中学,wu'xi'shi'jiang'xi'zhong'xue
无锡市江阴市,wu'xi'shi'jiang'yin'shi
无锡市郊区职工学校,wu'xi'shi'jiao'qu'zhi'gong'xue'xiao
无锡市教师进修学校,wu'xi'shi'jiao'shi'jin'xiu'xue'xiao
无锡市交通技工学校,wu'xi'shi'jiao'tong'ji'gong'xue'xiao
无锡市金海里小学,wu'xi'shi'jin'hai'li'xiao'xue
无锡市靖海小学,wu'xi'shi'jing'hai'xiao'xue
无锡市蠡湖中心长桥分部,wu'xi'shi'li'hu'zhong'xin'chang'qiao'fen'bu
无锡市蠡湖中心小学,wu'xi'shi'li'hu'zhong'xin'xiao'xue
无锡市蠡桥小学,wu'xi'shi'li'qiao'xiao'xue
无锡市丽新中学,wu'xi'shi'li'xin'zhong'xue
无锡市蠡园中心小学,wu'xi'shi'li'yuan'zhong'xin'xiao'xue
无锡市蠡园中学,wu'xi'shi'li'yuan'zhong'xue
无锡市梨庄中心小学,wu'xi'shi'li'zhuang'zhong'xin'xiao'xue
无锡市梨庄中心小学分校,wu'xi'shi'li'zhuang'zhong'xin'xiao'xue'fen'xiao
无锡市梨庄中学,wu'xi'shi'li'zhuang'zhong'xue
无锡市粮食职工中等专业学校,wu'xi'shi'liang'shi'zhi'gong'zhong'deng'zhuan'ye'xue'xiao
无锡市梁溪中学,wu'xi'shi'liang'xi'zhong'xue
无锡市刘潭实验小学,wu'xi'shi'liu'tan'shi'yan'xiao'xue
无锡市刘潭实验小学第二分校,wu'xi'shi'liu'tan'shi'yan'xiao'xue'di'er'fen'xiao
无锡市刘潭实验小学第一分校,wu'xi'shi'liu'tan'shi'yan'xiao'xue'di'yi'fen'xiao
无锡市刘潭中学,wu'xi'shi'liu'tan'zhong'xue
无锡市聋哑学校,wu'xi'shi'long'ya'xue'xiao
无锡市陆区中学,wu'xi'shi'lu'qu'zhong'xue
无锡市芦庄第二小学,wu'xi'shi'lu'zhuang'di'er'xiao'xue
无锡市芦庄实验小学,wu'xi'shi'lu'zhuang'shi'yan'xiao'xue
无锡市洛社高级中学,wu'xi'shi'luo'she'gao'ji'zhong'xue
无锡市旅游职业学校,wu'xi'shi'lv'you'zhi'ye'xue'xiao
无锡市马山职工学校,wu'xi'shi'ma'shan'zhi'gong'xue'xiao
无锡市马山中心闾江分校,wu'xi'shi'ma'shan'zhong'xin'lv'jiang'fen'xiao
无锡市马山中心小学,wu'xi'shi'ma'shan'zhong'xin'xiao'xue
