阿米卡星,a'mi'ka'xing
止血带,zhi'xue'dai
中凹卧位,zhong'ao'wo'wei
中等热,zhong'deng're
中和胃酸,zhong'he'wei'suan
中华护理学会,zhong'hua'hu'li'xue'hui
中枢安定作用,zhong'shu'an'ding'zuo'yong
中枢性,zhong'shu'xing
中西医结合科,zhong'xi'yi'jie'he'ke
中心供氧,zhong'xin'gong'yang
中心静脉,zhong'xin'jing'mai
中心吸引,zhong'xin'xi'yin
中医科,zhong'yi'ke
周围性,zhou'wei'xing
主观,zhu'guan
主管护师,zhu'guan'hu'shi
主管技师,zhu'guan'ji'shi
助教,zhu'jiao
主任护师,zhu'ren'hu'shi
主任技师,zhu'ren'ji'shi
主任医师,zhu'ren'yi'shi
注射剂,zhu'she'ji
注射原则,zhu'she'yuan'ze
注意事项,zhu'yi'shi'xiang
主治医师,zhu'zhi'yi'shi
状态,zhuang'tai
椎管内麻醉,zhui'guan'nei'ma'zui
子宫,zi'gong
子宫复原,zi'gong'fu'yuan
自我感觉,zi'wo'gan'jue
自我实现的需要,zi'wo'shi'xian'de'xu'yao
自在,zi'zai
足底,zu'di
组织损伤破裂,zu'zhi'sun'shang'po'lie
组织性缺氧,zu'zhi'xing'que'yang
左侧卧位,zuo'ce'wo'wei
左眼,zuo'yan
左氧氟沙星,zuo'yang'fu'sha'xing
