爱喜嘉年华,ai'xi'jia'nian'hua
彰明镇,zhang'ming'zhen
张排骨,zhang'pai'gu
赵家沟,zhao'jia'gou
折弓乡,zhe'gong'xiang
政府宿舍,zheng'fu'su'she
争胜乡,zheng'sheng'xiang
制药厂,zhi'yao'chang
职业技术学院,zhi'ye'ji'shu'xue'yuan
中坝镇,zhong'ba'zhen
重华镇,zhong'hua'zhen
中太镇,zhong'tai'zhen
钟兔子,zhong'tu'zi
忠孝乡,zhong'xiao'xiang
中新镇,zhong'xin'zhen
重兴乡,zhong'xing'xiang
忠兴镇,zhong'xing'zhen
中医院,zhong'yi'yuan
朱家垭,zhu'jia'ya
竹林村,zhu'lin'cun
桩子村,zhuang'zi'cun
桩子村九社,zhuang'zi'cun'jiu'she
紫府村,zi'fu'cun
紫府村二社,zi'fu'cun'er'she
紫府村路口,zi'fu'cun'lu'kou
紫府村三社,zi'fu'cun'san'she
紫府村四社,zi'fu'cun'si'she
紫府村一社,zi'fu'cun'yi'she
紫河镇,zi'he'zhen
梓绵乡,zi'mian'xiang
自强镇,zi'qiang'zhen
梓潼县,zi'tong'xian
紫竹飞天,zi'zhu'fei'tian
宗海乡,zong'hai'xiang
综合市场,zong'he'shi'chang
