阿兵哥,a'bing'ge
开元街道,kai'yuan'jie'dao
开庄,kai'zhuang
看店面,kan'dian'mian
看房书,kan'fang'shu
看古城,kan'gu'cheng
看会不会,kan'hui'bu'hui
看能错,kan'neng'cuo
看你咯,kan'ni'ge
看你要,kan'ni'yao
看你要不要,kan'ni'yao'bu'yao
看透透,kan'tou'tou
看下啦,kan'xia'la
看厦门,kan'xia'men
看要,kan'yao
看要不要,kan'yao'bu'yao
看要去,kan'yao'qu
看怎样,kan'zen'yang
考虑看看,kao'lv'kan'kan
靠要,kao'yao
科测,ke'ce
科德特,ke'de'te
科技中学,ke'ji'zhong'xue
克立楼,ke'li'lou
可怜呆,ke'lian'dai
可能没办法,ke'neng'mei'ban'fa
客人那,ke'ren'na
可以了啦,ke'yi'le'la
空砍,kong'kan
空肯,kong'ken
快乐学习,kuai'le'xue'xi
快一,kuai'yi
喇叭丸,la'ba'wan
来不起来,lai'bu'qi'lai
来岛内,lai'dao'nei
来福建,lai'fu'jian
来鼓浪屿,lai'gu'lang'yu
来海沧,lai'hai'cang
来集美,lai'ji'mei
来旅游,lai'lv'you
来旅游的,lai'lv'you'de
来泡茶,lai'pao'cha
来去吃,lai'qu'chi
来去看,lai'qu'kan
来去睡觉,lai'qu'shui'jiao
来台风,lai'tai'feng
来同安,lai'tong'an
来厦大,lai'xia'da
来厦门,lai'xia'men
来厦门吧,lai'xia'men'ba
来厦门了,lai'xia'men'le
来厦门吗,lai'xia'men'ma
来厦门玩,lai'xia'men'wan
来下面,lai'xia'mian
来杏林,lai'xing'lin
来漳州,lai'zhang'zhou
来找嗯,lai'zhao'en
蓝房网,lan'fang'wang
烂脚,lan'jiao
懒觉话,lan'jiao'hua
懒觉人,lan'jiao'ren
懒趴,lan'pa
蓝水郡,lan'shui'jun
烂透了,lan'tou'le
蓝湾半岛,lan'wan'ban'dao
蓝湾国际,lan'wan'guo'ji
蓝月湾,lan'yue'wan
老别墅,lao'bie'shu
老虎陈,lao'hu'chen
老虎城,lao'hu'cheng
老鼠干,lao'shu'gan
老树林,lao'shu'lin
老厦门,lao'xia'men
老知青,lao'zhi'qing
乐都汇,le'du'hui
乐购仕,le'gou'shi
乐海,le'hai
了吼,le'hou
乐活小镇,le'huo'xiao'zhen
了交代,le'jiao'dai
乐摩,le'mo
累死点,lei'si'dian
累死掉,lei'si'diao
立达信,li'da'xin
立丹行,li'dan'xing
理工路,li'gong'lu
理光头,li'guang'tou
理解不来,li'jie'bu'lai
离开厦门,li'kai'xia'men
里没得,li'mei'de
里没了,li'mei'le
丽田园,li'tian'yuan
理通,li'tong
理头发,li'tou'fa
离厦门,li'xia'men
莲坂,lian'ban
莲坂北,lian'ban'bei
莲坂国贸,lian'ban'guo'mao
莲坂外图,lian'ban'wai'tu
连城,lian'cheng
连城县,lian'cheng'xian
联合网,lian'he'wang
莲花店,lian'hua'dian
莲花二村,lian'hua'er'cun
莲花路口,lian'hua'lu'kou
莲花路口东,lian'hua'lu'kou'dong
莲花三村,lian'hua'san'cun
莲花五村,lian'hua'wu'cun
莲花镇,lian'hua'zhen
莲花中学,lian'hua'zhong'xue
连卡佛,lian'ka'fo
莲前,lian'qian
莲前东路,lian'qian'dong'lu
莲前西路,lian'qian'xi'lu
莲岳里,lian'yue'li
莲岳路,lian'yue'lu
莲岳路口,lian'yue'lu'kou
两摊,liang'tan
两学,liang'xue
聊看看,liao'kan'kan
裂掉,lie'diao
林被,lin'bei
林大哥,lin'da'ge
林德,lin'de
林董,lin'dong
林墩,lin'dun
林虹,lin'hong
林后,lin'hou
临家,lin'jia
林婕,lin'jie
林婧,lin'jing
林伟杰,lin'wei'jie
林莹,lin'ying
林志伟,lin'zhi'wei
岭兜,ling'dou
领秀城,ling'xiu'cheng
六合彩,liu'he'cai
流流汗,liu'liu'han
六天制,liu'tian'zhi
刘五店,liu'wu'dian
龙池,long'chi
龙海,long'hai
龙海的,long'hai'de
龙佳,long'jia
龙涓,long'juan
龙门天下,long'men'tian'xia
龙千玉,long'qian'yu
龙山桥,long'shan'qiao
龙盛里,long'sheng'li
龙头路,long'tou'lu
龙文区,long'wen'qu
龙岩,long'yan
龙岩的,long'yan'de
龙眼干,long'yan'gan
龙岩了,long'yan'le
龙岩人,long'yan'ren
龙岩市,long'yan'shi
龙舟池,long'zhou'chi
漏排,lou'pai
楼中楼,lou'zhong'lou
路达,lu'da
鹭岛,lu'dao
鹭芳,lu'fang
鹭江,lu'jiang
鹭江宾馆,lu'jiang'bin'guan
鹭江道,lu'jiang'dao
鹭江新城,lu'jiang'xin'cheng
路口东,lu'kou'dong
路口站,lu'kou'zhan
卤料,lu'liao
卤面,lu'mian
露萍,lu'ping
陆世界,lu'shi'jie
卤味,lu'wei
卤鸭,lu'ya
路易,lu'yi
轮渡,lun'du
轮渡了,lun'du'le
轮渡码头,lun'du'ma'tou
轮渡站,lun'du'zhan
轮机,lun'ji
罗宾人,luo'bin'ren
罗宾森,luo'bin'sen
罗宾身,luo'bin'shen
罗海,luo'hai
罗汉山,luo'han'shan
吕厝,lv'cuo
吕厝北,lv'cuo'bei
绿家园,lv'jia'yuan
吕岭路,lv'ling'lu
旅游集团,lv'you'ji'tuan
绿苑,lv'yuan
骂粗话,ma'cu'hua
马拉桑,ma'la'sang
马垄,ma'long
马銮湾,ma'luan'wan
玛奇雅朵,ma'qi'ya'duo
马青路,ma'qing'lu
玛莎莉,ma'sha'li
马蹄酥,ma'ti'su
马巷,ma'xiang
马巷镇,ma'xiang'zhen
骂一骂,ma'yi'ma
买不下去,mai'bu'xia'qu
买看看,mai'kan'kan
买下去,mai'xia'qu
麦仔茶,mai'zai'cha
麦之初,mai'zhi'chu
蛮问下,man'wen'xia
忙不就,mang'bu'jiu
芒果爱你,mang'guo'ai'ni
芒果冰,mang'guo'bing
忙完干嘛,mang'wan'gan'ma
毛神,mao'shen
没半个,mei'ban'ge
没差,mei'cha
没差啦,mei'cha'la
没差了,mei'cha'le
没的士,mei'di'shi
美地雅登,mei'di'ya'deng
没法度,mei'fa'du
梅海岭,mei'hai'ling
美湖路,mei'hu'lu
梅兰竹,mei'lan'zhu
没那么快啦,mei'na'me'kuai'la
美女卡,mei'nv'ka
美仁宫,mei'ren'gong
没人要去,mei'ren'yao'qu
没什么差,mei'shen'me'cha
没台,mei'tai
没台风,mei'tai'feng
没消没息,mei'xiao'mei'xi
美亚柏科,mei'ya'bai'ke
梅阳,mei'yang
没雨了,mei'yu'le
没在怕,mei'zai'pa
没在听,mei'zai'ting
没在用,mei'zai'yong
梅珍,mei'zhen
湄洲岛,mei'zhou'dao
湄洲湾,mei'zhou'wan
门头石,men'tou'shi
蒙发利,meng'fa'li
梦工坊,meng'gong'fang
梦幻王国,meng'huan'wang'guo
米带,mi'dai
米粉汤,mi'fen'tang
米汉堡,mi'han'bao
米兰春天,mi'lan'chun'tian
蜜水,mi'shui
米血,mi'xue
面包券,mian'bao'quan
面线,mian'xian
面线糊,mian'xian'hu
闽南,min'nan
闽南大厦,min'nan'da'sha
闽南的,min'nan'de
闽南歌,min'nan'ge
闽南话,min'nan'hua
闽南快运,min'nan'kuai'yun
闽南理工,min'nan'li'gong
闽南人,min'nan'ren
闽南语,min'nan'yu
民俗村,min'su'cun
闽台,min'tai
民族路,min'zu'lu
茗茶,ming'cha
明发,ming'fa
明发园,ming'fa'yuan
名汇,ming'hui
名士,ming'shi
明天看下,ming'tian'kan'xia
名鞋库,ming'xie'ku
摩尔莲花,mo'er'lian'hua
摩斯汉堡,mo'si'han'bao
魔指,mo'zhi
魔指仙境,mo'zhi'xian'jing
慕蔻,mu'kou
目鱼,mu'yu
木栈道,mu'zhan'dao
木作,mu'zuo
那不吵你,na'bu'chao'ni
那不就要,na'bu'jiu'yao
那看下,na'kan'xia
哪里会,na'li'hui
哪里会啊,na'li'hui'a
那么好命,na'me'hao'ming
那么拼,na'me'pin
娜萍,na'ping
拿去给你,na'qu'gei'ni
拿去睡,na'qu'shui
那厦门,na'xia'men
那要去哪,na'yao'qu'na
那要去哪里,na'yao'qu'na'li
哪一家哦,na'yi'jia'o
哪一间,na'yi'jian
哪一区,na'yi'qu
哪一台,na'yi'tai
哪有办法,na'you'ban'fa
南安,nan'an
南光,nan'guang
难后,nan'hou
南湖公园,nan'hu'gong'yuan
南华路,nan'hua'lu
南靖,nan'jing
南靖县,nan'jing'xian
南门桥,nan'men'qiao
南平的,nan'ping'de
男普通,nan'pu'tong
南普陀,nan'pu'tuo
南普陀寺,nan'pu'tuo'si
南强,nan'qiang
男人情,nan'ren'qing
南山路,nan'shan'lu
南胜,nan'sheng
南投,nan'tou
南中广场,nan'zhong'guang'chang
脑袋有坑,nao'dai'you'keng
内厝澳,nei'cuo'ao
内厝镇,nei'cuo'zhen
内茂,nei'mao
你不是要来,ni'bu'shi'yao'lai
你不在厦门,ni'bu'zai'xia'men
你吃饱了那,ni'chi'bao'le'na
你到厦门,ni'dao'xia'men
你福州,ni'fu'zhou
你还有在,ni'hai'you'zai
你还在厦门,ni'hai'zai'xia'men
你很贱,ni'hen'jian
你几点要去,ni'ji'dian'yao'qu
泥金,ni'jin
你看要不要,ni'kan'yao'bu'yao
你客人,ni'ke'ren
你来厦门,ni'lai'xia'men
你来厦门了,ni'lai'xia'men'le
你妹啦,ni'mei'la
你们要去哪里,ni'men'yao'qu'na'li
你那间,ni'na'jian
你去福州,ni'qu'fu'zhou
你泉州,ni'quan'zhou
你试看看,ni'shi'kan'kan
你是厦门,ni'shi'xia'men
你是厦门人,ni'shi'xia'men'ren
你是要不要,ni'shi'yao'bu'yao
你是在干嘛,ni'shi'zai'gan'ma
你是怎样,ni'shi'zen'yang
你说看看,ni'shuo'kan'kan
你问看看,ni'wen'kan'kan
你厦门,ni'xia'men
你要不要出来,ni'yao'bu'yao'chu'lai
你要不要过来,ni'yao'bu'yao'guo'lai
你要出来吗,ni'yao'chu'lai'ma
你要跟他说,ni'yao'gen'ta'shuo
你要回来了吗,ni'yao'hui'lai'le'ma
你要回去了吗,ni'yao'hui'qu'le'ma
你要回去吗,ni'yao'hui'qu'ma
你要几点去,ni'yao'ji'dian'qu
你要几点睡,ni'yao'ji'dian'shui
你要来了吗,ni'yao'lai'le'ma
你要来厦门,ni'yao'lai'xia'men
你要睡了没,ni'yao'shui'le'mei
你要下来,ni'yao'xia'lai
你也快去吃,ni'ye'kuai'qu'chi
你也有看,ni'ye'you'kan
你也有去,ni'ye'you'qu
你也在厦门,ni'ye'zai'xia'men
你有打,ni'you'da
你有带,ni'you'dai
你有跟,ni'you'gen
你有跟他,ni'you'gen'ta
你有回来,ni'you'hui'lai
你有开,ni'you'kai
你有看到,ni'you'kan'dao
你有看到吗,ni'you'kan'dao'ma
你有看吗,ni'you'kan'ma
你有来,ni'you'lai
你有买,ni'you'mai
你有去,ni'you'qu
你有去过,ni'you'qu'guo
你有去吗,ni'you'qu'ma
你有上班,ni'you'shang'ban
你有问,ni'you'wen
你有要,ni'you'yao
你有在,ni'you'zai
你在岛内,ni'zai'dao'nei
你在福州,ni'zai'fu'zhou
你在干嘛哈,ni'zai'gan'ma'ha
你在干鸟,ni'zai'gan'niao
你在海沧,ni'zai'hai'cang
你在集美,ni'zai'ji'mei
你在泉州,ni'zai'quan'zhou
你在同安,ni'zai'tong'an
你在厦门,ni'zai'xia'men
你在厦门吗,ni'zai'xia'men'ma
你在厦门哪里,ni'zai'xia'men'na'li
你在漳州,ni'zai'zhang'zhou
你漳州,ni'zhang'zhou
你自己看咯,ni'zi'ji'kan'lo
你自己一个,ni'zi'ji'yi'ge
你最好是,ni'zui'hao'shi
年段,nian'duan
年段的,nian'duan'de
年段第一,nian'duan'di'yi
年段长,nian'duan'zhang
鸟火,niao'huo
您漫画,nin'man'hua
您男人,nin'nan'ren
宁德,ning'de
牛芒,niu'mang
牛姆林,niu'mu'lin
牛奶花生,niu'nai'hua'sheng
牛肉店,niu'rou'dian
牛肉馆,niu'rou'guan
牛太,niu'tai
牛太郎,niu'tai'lang
牛庄,niu'zhuang
弄看看,nong'kan'kan
暖场,nuan'chang
暖长,nuan'chang
女内,nv'nei
欧厝,ou'cuo
欧菲,ou'fei
欧米,ou'mi
趴趴走,pa'pa'zou
排款,pai'kuan
派位,pai'wei
派谢,pai'xie
磐基,pan'ji
潘涂,pan'tu
潘小莲,pan'xiao'lian
潘宅,pan'zhai
庞比度,pang'bi'du
泡茶,pao'cha
泡茶了,pao'cha'le
泡椒田鸡,pao'jiao'tian'ji
泡泡茶,pao'pao'cha
泡泡面,pao'pao'mian
跑去那,pao'qu'na
跑去哪里,pao'qu'na'li
跑厦门,pao'xia'men
泡鸭爪,pao'ya'zhua
泡爪,pao'zhao
配饭,pei'fan
配酒,pei'jiu
澎湖,peng'hu
朋口,peng'kou
屁啦,pi'la
皮在痒,pi'zai'yang
片段教学,pian'duan'jiao'xue
骗说,pian'shuo
骗笑,pian'xiao
品佳,pin'jia
品检,pin'jian
聘金,pin'jin
平和县,ping'he'xian
平潭,ping'tan
平潭人,ping'tan'ren
平阳里,ping'yang'li
破病,po'bing
婆婆冰,po'po'bing
破胎,po'tai
扑感敏,pu'gan'min
普利大厦,pu'li'da'sha
莆田,pu'tian
莆田的,pu'tian'de
莆田话,pu'tian'hua
莆田了,pu'tian'le
莆田卤面,pu'tian'lu'mian
莆田男,pu'tian'nan
莆田人,pu'tian'ren
普陀寺,pu'tuo'si
浦园,pu'yuan
七搞八搞,qi'gao'ba'gao
启明星,qi'ming'xing
七匹狼,qi'pi'lang
七七八八,qi'qi'ba'ba
七七八八的,qi'qi'ba'ba'de
气死掉,qi'si'diao
七晚八晚,qi'wan'ba'wan
漆线雕,qi'xian'diao
起笑,qi'xiao
七星路,qi'xing'lu
七星西路,qi'xing'xi'lu
七早八早,qi'zao'ba'zao
恰北北,qia'bei'bei
牵车,qian'che
前坑,qian'keng
前埔,qian'pu
前埔村,qian'pu'cun
前埔南区,qian'pu'nan'qu
前埔医院,qian'pu'yi'yuan
前社,qian'she
千禧园,qian'xi'yuan
千滋百味,qian'zi'bai'wei
千尊,qian'zun
呛声,qiang'sheng
侨福城,qiao'fu'cheng
巧红,qiao'hong
巧萍,qiao'ping
桥亭,qiao'ting
侨英,qiao'ying
青菜啦,qing'cai'la
青草油,qing'cao'you
请假下,qing'jia'xia
青礁,qing'jiao
清洁楼,qing'jie'lou
青年阳光,qing'nian'yang'guang
情人谷,qing'ren'gu
清水岩,qing'shui'yan
清汤粉,qing'tang'fen
晴天见,qing'tian'jian
琼头,qiong'tou
秋茶,qiu'cha
去拜拜,qu'bai'bai
去吃冰,qu'chi'bing
去吃下,qu'chi'xia
去倒霉,qu'dao'mei
去岛内,qu'dao'nei
去东山,qu'dong'shan
去福清,qu'fu'qing
去福州,qu'fu'zhou
去福州了,qu'fu'zhou'le
去鼓浪屿,qu'gu'lang'yu
去海沧,qu'hai'cang
去集美,qu'ji'mei
去晋江,qu'jin'jiang
去龙岩,qu'long'yan
去轮渡,qu'lun'du
去马巷,qu'ma'xiang
去买下,qu'mai'xia
去泡茶,qu'pao'cha
去莆田,qu'pu'tian
去泉州,qu'quan'zhou
去瑞景,qu'rui'jing
去三明,qu'san'ming
去石狮,qu'shi'shi
去睡去睡,qu'shui'qu'shui
去同安,qu'tong'an
去武夷山,qu'wu'yi'shan
去厦大,qu'xia'da
去厦门,qu'xia'men
去厦门了,qu'xia'men'le
去新店,qu'xin'dian
去杏林,qu'xing'lin
趣游,qu'you
去漳州,qu'zhang'zhou
去中山路,qu'zhong'shan'lu
泉港,quan'gang
全年段,quan'nian'duan
泉水湾,quan'shui'wan
泉舜,quan'shun
全厦门,quan'xia'men
泉州啊,quan'zhou'a
泉州吧,quan'zhou'ba
泉州的,quan'zhou'de
泉州啦,quan'zhou'la
泉州了,quan'zhou'le
泉州路,quan'zhou'lu
泉州人,quan'zhou'ren
群惠,qun'hui
然不成,ran'bu'cheng
然到,ran'dao
然怪,ran'guai
让飞,rang'fei
热死点,re'si'dian
热死掉,re'si'diao
人才中心,ren'cai'zhong'xin
人很不舒服,ren'hen'bu'shu'fu
人很累,ren'hen'lei
人很难受,ren'hen'nan'shou
认真读书,ren'zhen'du'shu
日春,ri'chun
日东,ri'dong
日光岩,ri'guang'yan
日航,ri'hang
日味源,ri'wei'yuan
日语丢,ri'yu'diu
日月谷,ri'yue'gu
肉羹,rou'geng
入学考,ru'xue'kao
软二,ruan'er
软件园,ruan'jian'yuan
软件园二期,ruan'jian'yuan'er'qi
瑞景,rui'jing
瑞景店,rui'jing'dian
瑞景商业广场,rui'jing'shang'ye'guang'chang
瑞景新村,rui'jing'xin'cun
瑞士达,rui'shi'da
润庭,run'ting
塞尔福,sai'er'fu
赛林木,sai'lin'mu
塞尼姆,sai'ni'mu
三八啦,san'ba'la
三不五时,san'bu'wu'shi
三层肉,san'ceng'rou
三房,san'fang
三钢,san'gang
三红,san'hong
三家村,san'jia'cun
三角梅,san'jiao'mei
三明,san'ming
三明的,san'ming'de
三明了,san'ming'le
三明人,san'ming'ren
三年二班,san'nian'er'ban
三平寺,san'ping'si
三同花,san'tong'hua
三秀街,san'xiu'jie
三学期,san'xue'qi
扫地板,sao'di'ban
森海丽景,sen'hai'li'jing
沙茶,sha'cha
沙茶面,sha'cha'mian
厦港,sha'gang
厦工艺,sha'gong'yi
厦禾,sha'he
沙坡尾,sha'po'wei
厦沙,sha'sha
傻什么,sha'shen'me
山边,shan'bian
山东航空,shan'dong'hang'kong
山东老家,shan'dong'lao'jia
山格,shan'ge
山国,shan'guo
删了啦,shan'le'la
珊娜,shan'na
山重,shan'zhong
上白,shang'bai
伤本,shang'ben
商编,shang'bian
尚大楼,shang'da'lou
上福州,shang'fu'zhou
尚干,shang'gan
上杭,shang'hang
上杭县,shang'hang'xian
上湖,shang'hu
上酒,shang'jiu
上头亭,shang'tou'ting
上弦场,shang'xian'chang
商业广场,shang'ye'guang'chang
少斌,shao'bin
少年家,shao'nian'jia
烧肉粽,shao'rou'zong
烧仙草,shao'xian'cao
社医保,she'yi'bao
深海鱼,shen'hai'yu
什么鬼,shen'me'gui
什么懒觉,shen'me'lan'jiao
胜福兴,sheng'fu'xing
生管,sheng'guan
盛辉,sheng'hui
生男的,sheng'nan'de
盛世经典,sheng'shi'jing'dian
省质检,sheng'zhi'jian
盛之乡,sheng'zhi'xiang
盛洲,sheng'zhou
石材展,shi'cai'zhan
石村,shi'cun
湿地公园,shi'di'gong'yuan
石鼓路,shi'gu'lu
是嘿,shi'hei
是吼,shi'hou
是会死,shi'hui'si
食汇堂,shi'hui'tang
世纪阳光,shi'ji'yang'guang
实践队,shi'jian'dui
食锦记,shi'jin'ji
试看看,shi'kan'kan
十里蓝山,shi'li'lan'shan
石码,shi'ma
世贸商城,shi'mao'shang'cheng
十三水,shi'san'shui
诗山,shi'shan
时尚国际,shi'shang'guo'ji
石狮,shi'shi
试台,shi'tai
石塘,shi'tang
石塘村,shi'tang'cun
石亭路,shi'ting'lu
市头,shi'tou
石头皮,shi'tou'pi
湿透透,shi'tou'tou
市图,shi'tu
是厦门,shi'xia'men
石浔,shi'xun
是要不要,shi'yao'bu'yao
石业,shi'ye
失业证,shi'ye'zheng
诗颖,shi'ying
是有没有,shi'you'mei'you
实在多,shi'zai'duo
实在好,shi'zai'hao
实在困,shi'zai'kun
实在累,shi'zai'lei
实在热,shi'zai're
市政务,shi'zheng'wu
市质检,shi'zhi'jian
石制品,shi'zhi'pin
瘦巴巴,shou'ba'ba
手佳,shou'jia
手礼网,shou'li'wang
瘦肉羹,shou'rou'geng
瘦肉汤,shou'rou'tang
淑惠,shu'hui
数码港,shu'ma'gang
树一派,shu'yi'pai
菽庄,shu'zhuang
菽庄花园,shu'zhuang'hua'yuan
双涵,shuang'han
双涵路,shuang'han'lu
双涵路口,shuang'han'lu'kou
双科,shuang'ke
双龙潭,shuang'long'tan
双十,shuang'shi
双十中学,shuang'shi'zhong'xue
双游,shuang'you
睡饱吃,shui'bao'chi
睡不起来,shui'bu'qi'lai
水当当,shui'dang'dang
水多喝点,shui'duo'he'dian
水某,shui'mou
税审,shui'shen
睡太久,shui'tai'jiu
水头,shui'tou
水院,shui'yuan
水煮或许,shui'zhu'huo'xu
水煮活鱼,shui'zhu'huo'yu
说看看,shuo'kan'kan
说七说八,shuo'qi'shuo'ba
说真的啦,shuo'zhen'de'la
思北,si'bei
思北路口,si'bei'lu'kou
思北站,si'bei'zhan
丝丁鱼,si'ding'yu
思东,si'dong
四果汤,si'guo'tang
四季彩,si'ji'cai
四季鞋,si'ji'xie
四进,si'jin
四口圳,si'kou'zhen
斯利美,si'li'mei
思明,si'ming
思明电影院,si'ming'dian'ying'yuan
思明南路,si'ming'nan'lu
思明区,si'ming'qu
思明园,si'ming'yuan
松柏,song'bai
松柏店,song'bai'dian
松柏公园,song'bai'gong'yuan
松柏中学,song'bai'zhong'xue
搜看看,sou'kan'kan
素饼,su'bing
速传,su'chuan
苏胡,su'hu
塑料米,su'liao'mi
算看看,suan'kan'kan
酸笋面,suan'sun'mian
酸小,suan'xiao
隧道了,sui'dao'le
随身冲,sui'shen'chong
孙错,sun'cuo
孙厝路口,sun'cuo'lu'kou
他等等,ta'deng'deng
塔头,ta'tou
他有去,ta'you'qu
他有说,ta'you'shuo
他有问,ta'you'wen
他有在,ta'you'zai
他在厦门,ta'zai'xia'men
太不行,tai'bu'xing
太不行了,tai'bu'xing'le
泰成,tai'cheng
太多天,tai'duo'tian
台风啊,tai'feng'a
台风来,tai'feng'lai
台风来了,tai'feng'lai'le
台风了,tai'feng'le
台风天,tai'feng'tian
台风要来了,tai'feng'yao'lai'le
太古,tai'gu
太古宿舍,tai'gu'su'she
台海,tai'hai
太好睡,tai'hao'shui
太好睡了,tai'hao'shui'le
泰和,tai'he
泰和花园,tai'he'hua'yuan
台轰,tai'hong
太湖新城,tai'hu'xin'cheng
台交会,tai'jiao'hui
太经常,tai'jing'chang
台贸,tai'mao
太姥山,tai'mu'shan
台企,tai'qi
台球馆,tai'qiu'guan
台球换,tai'qiu'huan
太上火,tai'shang'huo
太上火了,tai'shang'huo'le
台松,tai'song
台湾街,tai'wan'jie
太晚了啦,tai'wan'le'la
太晚去,tai'wan'qu
台湾小吃,tai'wan'xiao'chi
台湾小吃街,tai'wan'xiao'chi'jie
太微,tai'wei
太微花园,tai'wei'hua'yuan
台亚,tai'ya
太早起,tai'zao'qi
谈看看,tan'kan'kan
碳烤鱼,tan'kao'yu
唐边,tang'bian
糖醋肉,tang'cu'rou
唐风卷,tang'feng'juan
烫火锅,tang'huo'guo
特房,te'fang
特贸,te'mao
特区纪念馆,te'qu'ji'nian'guan
特香包,te'xiang'bao
踢狗,ti'gou
体育东村,ti'yu'dong'cun
天场,tian'chang
天地花园,tian'di'hua'yuan
天虹,tian'hong
天虹卡,tian'hong'ka
天湖,tian'hu
天湖城,tian'hu'cheng
天湖路,tian'hu'lu
天湖苑,tian'hu'yuan
田鸡,tian'ji
天马路,tian'ma'lu
天马山,tian'ma'shan
天桥下,tian'qiao'xia
天琴湾,tian'qin'wan
甜思思,tian'si'si
天天渔港,tian'tian'yu'gang
田头,tian'tou
天下行,tian'xia'xing
天心岛,tian'xin'dao
甜丫丫,tian'ya'ya
天翼加速,tian'yi'jia'su
天竺山,tian'zhu'shan
铁罐,tie'guan
铁路公园,tie'lu'gong'yuan
贴贴纸,tie'tie'zhi
停航,ting'hang
听你在,ting'ni'zai
汀溪,ting'xi
同安,tong'an
同安啊,tong'an'a
同安吧,tong'an'ba
同安的,tong'an'de
同安啦,tong'an'la
同安了,tong'an'le
同安吗,tong'an'ma
同安那,tong'an'na
同安哪里,tong'an'na'li
同安呢,tong'an'ne
同安汽车站,tong'an'qi'che'zhan
同安区,tong'an'qu
同安人,tong'an'ren
同安一中,tong'an'yi'zhong
同安影视城,tong'an'ying'shi'cheng
同安园,tong'an'yuan
同城湾,tong'cheng'wan
同集,tong'ji
同集路,tong'ji'lu
通卡,tong'ka
同美,tong'mei
同民,tong'min
通士达,tong'shi'da
通仙,tong'xian
同职,tong'zhi
投单,tou'dan
投档分,tou'dang'fen
头很痛,tou'hen'tong
头家,tou'jia
头壳,tou'ke
偷懒下,tou'lan'xia
偷练,tou'lian
偷跑去,tou'pao'qu
投洽会,tou'qia'hui
投资客,tou'zi'ke
兔宝宝,tu'bao'bao
凸窗,tu'chuang
土地公,tu'di'gong
土地庙,tu'di'miao
土方车,tu'fang'che
土楼,tu'lou
土头,tu'tou
涂下,tu'xia
土鸭,tu'ya
退冰,tui'bing
退税联,tui'shui'lian
脱窗,tuo'chuang
托单,tuo'dan
拖地板,tuo'di'ban
拖柜,tuo'gui
瓦城,wa'cheng
哇更,wa'geng
瓦罐,wa'guan
挖起来,wa'qi'lai
外代,wai'dai
外猴,wai'hou
外勤,wai'qin
外图,wai'tu
外图书城,wai'tu'shu'cheng
外文学院,wai'wen'xue'yuan
晚茶,wan'cha
晚点看看,wan'dian'kan'kan
碗糕,wan'gao
玩看看,wan'kan'kan
万利达,wan'li'da
晚上要不要,wan'shang'yao'bu'yao
万石,wan'shi
万石植物园,wan'shi'zhi'wu'yuan
万叹,wan'tan
万秀猪王,wan'xiu'zhu'wang
玩这么大,wan'zhe'me'da
望海路,wang'hai'lu
伟彬,wei'bin
伟聪,wei'cong
威迪亚,wei'di'ya
伟宏,wei'hong
伟煌,wei'huang
未来海岸,wei'lai'hai'an
围里,wei'li
围炉,wei'lu
伟平,wei'ping
伟清,wei'qing
胃散,wei'san
味食尚,wei'shi'shang
味蜀吾,wei'shu'wu
威斯丁,wei'si'ding
威斯汀,wei'si'ting
伟松,wei'song
伟祥,wei'xiang
尾牙,wei'ya
尾牙宴,wei'ya'yan
伟毅,wei'yi
味友,wei'you
文曾路,wen'ceng'lu
温德姆,wen'de'mu
文蛤,wen'ge
文化艺术,wen'hua'yi'shu
文化艺术中心,wen'hua'yi'shu'zhong'xin
文教园,wen'jiao'yuan
问看看,wen'kan'kan
文明奖,wen'ming'jiang
文明小博客,wen'ming'xiao'bo'ke
文屏路,wen'ping'lu
文屏山庄,wen'ping'shan'zhuang
问七问八,wen'qi'wen'ba
问说,wen'shuo
问他下,wen'ta'xia
文体楼,wen'ti'lou
文园,wen'yuan
文园路,wen'yuan'lu
文灶,wen'zao
文灶站,wen'zao'zhan
翁立友,weng'li'you
我比较少,wo'bi'jiao'shao
我不懂也,wo'bu'dong'ye
我不在厦门,wo'bu'zai'xia'men
我查看看,wo'cha'kan'kan
我吃下,wo'chi'xia
我吃下饭,wo'chi'xia'fan
我到厦门,wo'dao'xia'men
我到厦门了,wo'dao'xia'men'le
我等等要去,wo'deng'deng'yao'qu
我订台,wo'ding'tai
我都可以啊,wo'dou'ke'yi'a
我都可以啦,wo'dou'ke'yi'la
我都嘛,wo'dou'ma
我福建,wo'fu'jian
我福州,wo'fu'zhou
我刚要去,wo'gang'yao'qu
我姑丈,wo'gu'zhang
我还在厦门,wo'hai'zai'xia'men
我会怕,wo'hui'pa
我回厦门,wo'hui'xia'men
我叫餐,wo'jiao'can
我接下去,wo'jie'xia'qu
我客人,wo'ke'ren
我来厦门,wo'lai'xia'men
卧龙晓城,wo'long'xiao'cheng
我嘛是,wo'ma'shi
我忙下,wo'mang'xia
我没差,wo'mei'cha
我们来去,wo'men'lai'qu
我们年段,wo'men'nian'duan
我们厦门,wo'men'xia'men
我呢哈哈,wo'ne'ha'ha
我你看看,wo'ni'kan'kan
我泡茶,wo'pao'cha
我去福州,wo'qu'fu'zhou
我去洗澡下,wo'qu'xi'zao'xia
我去厦门,wo'qu'xia'men
我泉州,wo'quan'zhou
我试看看,wo'shi'kan'kan
我是没差,wo'shi'mei'cha
我是厦门,wo'shi'xia'men
