艾杜糖苷酸酶测定,ai'du'tang'gan'suan'mei'ce'ding
抗人型支原体抗体测定,kang'ren'xing'zhi'yuan'ti'kang'ti'ce'ding
抗软骨抗体检测,kang'ruan'gu'kang'ti'jian'ce
抗腮腺管抗体检测,kang'sai'xian'guan'kang'ti'jian'ce
抗腮腺炎病毒抗体测定,kang'sai'xian'yan'bing'du'kang'ti'ce'ding
抗沙眼衣原体抗体测定,kang'sha'yan'yi'yuan'ti'kang'ti'ce'ding
抗神经节苷脂抗体检测,kang'shen'jing'jie'gan'zhi'kang'ti'jian'ce
抗神经抗原抗体检测,kang'shen'jing'kang'yuan'kang'ti'jian'ce
抗肾上腺皮质抗体检测,kang'shen'shang'xian'pi'zhi'kang'ti'jian'ce
抗肾小球基底膜抗体检测,kang'shen'xiao'qiu'ji'di'mo'kang'ti'jian'ce
抗生素类浓度测定,kang'sheng'su'lei'nong'du'ce'ding
抗生长激素抗体检测,kang'sheng'zhang'ji'su'kang'ti'jian'ce
抗生殖道支原体抗体测定,kang'sheng'zhi'dao'zhi'yuan'ti'kang'ti'ce'ding
抗嗜肺军团菌抗体测定,kang'shi'fei'jun'tuan'jun'kang'ti'ce'ding
抗输血传播病毒抗体检测,kang'shu'xue'chuan'bo'bing'du'kang'ti'jian'ce
抗丝集蛋白抗体,kang'si'ji'dan'bai'kang'ti
抗胎盘合体滋养层细胞抗体,kang'tai'pan'he'ti'zi'yang'ceng'xi'bao'kang'ti
抗胎盘抗原抗体检测,kang'tai'pan'kang'yuan'kang'ti'jian'ce
抗糖蛋白抗体检测,kang'tang'dan'bai'kang'ti'jian'ce
抗体特异性检测,kang'ti'te'yi'xing'jian'ce
抗体依赖性细胞毒试验,kang'ti'yi'lai'xing'xi'bao'du'shi'yan
抗透明带抗体,kang'tou'ming'dai'kang'ti
抗脱氧核糖核酸酶抗体检测,kang'tuo'yang'he'tang'he'suan'mei'kang'ti'jian'ce
抗网硬蛋白抗体检测,kang'wang'ying'dan'bai'kang'ti'jian'ce
抗胃壁细胞抗体检测,kang'wei'bi'xi'bao'kang'ti'jian'ce
抗无髓神经纤维抗体检测,kang'wu'sui'shen'jing'xian'wei'kang'ti'jian'ce
抗细胞浆抗体检测,kang'xi'bao'jiang'kang'ti'jian'ce
抗细粒棘球绦虫抗体测定,kang'xi'li'ji'qiu'tao'chong'kang'ti'ce'ding
抗西尼罗病毒抗体测定,kang'xi'ni'luo'bing'du'kang'ti'ce'ding
抗下丘脑抗体,kang'xia'qiu'nao'kang'ti
抗腺病毒抗体测定,kang'xian'bing'du'kang'ti'ce'ding
抗线粒体抗体检测,kang'xian'li'ti'kang'ti'jian'ce
抗线粒体亚型抗体测定,kang'xian'li'ti'ya'xing'kang'ti'ce'ding
抗涎腮腺导管抗体,kang'xian'sai'xian'dao'guan'kang'ti
抗小肠杯状细胞抗体检测,kang'xiao'chang'bei'zhuang'xi'bao'kang'ti'jian'ce
抗型胶原抗体测定,kang'xing'jiao'yuan'kang'ti'ce'ding
抗血小板表面相关抗体检测,kang'xue'xiao'ban'biao'mian'xiang'guan'kang'ti'jian'ce
抗血液细胞抗体测定,kang'xue'ye'xi'bao'kang'ti'ce'ding
抗眼部结构抗体检测,kang'yan'bu'jie'gou'kang'ti'jian'ce
抗眼肌抗体,kang'yan'ji'kang'ti
抗胰岛素受体抗体检测,kang'yi'dao'su'shou'ti'kang'ti'jian'ce
抗乙酰胆碱受体抗体检测,kang'yi'xian'dan'jian'shou'ti'kang'ti'jian'ce
抗胰腺腺胞抗体,kang'yi'xian'xian'bao'kang'ti
抗乙型流感病毒抗体测定,kang'yi'xing'liu'gan'bing'du'kang'ti'ce'ding
抗乙型脑炎病毒抗体测定,kang'yi'xing'nao'yan'bing'du'kang'ti'ce'ding
抗硬皮病抗体检测,kang'ying'pi'bing'kang'ti'jian'ce
抗鹦鹉热衣原体抗体检测,kang'ying'wu're'yi'yuan'ti'kang'ti'jian'ce
抗幽门螺杆菌抗体测定,kang'you'men'luo'gan'jun'kang'ti'ce'ding
抗有髓神经纤维抗体检测,kang'you'sui'shen'jing'xian'wei'kang'ti'jian'ce
抗原测定,kang'yuan'ce'ding
抗载脂蛋白抗体检测,kang'zai'zhi'dan'bai'kang'ti'jian'ce
抗中心粒抗体检测,kang'zhong'xin'li'kang'ti'jian'ce
抗主动脉抗体检测,kang'zhu'dong'mai'kang'ti'jian'ce
抗猪囊尾蚴抗体测定,kang'zhu'nang'wei'you'kang'ti'ce'ding
抗着丝点抗体测定,kang'zhuo'si'dian'kang'ti'ce'ding
抗滋养膜抗体检测,kang'zi'yang'mo'kang'ti'jian'ce
抗组织谷氨酰胺转移酶抗体,kang'zu'zhi'gu'an'xian'an'zhuan'yi'mei'kang'ti
柯萨奇病毒核糖核酸检测,ke'sa'qi'bing'du'he'tang'he'suan'jian'ce
空肠弯曲菌抗原测定,kong'chang'wan'qu'jun'kang'yuan'ce'ding
空肠弯曲菌培养鉴定,kong'chang'wan'qu'jun'pei'yang'jian'ding
快速艰难梭菌鉴定,kuai'su'jian'nan'suo'jun'jian'ding
狂犬病毒核糖核酸检测,kuang'quan'bing'du'he'tang'he'suan'jian'ce
昆虫毒液变应原筛查,kun'chong'du'ye'bian'ying'yuan'shai'cha
滥用药物筛查,lan'yong'yao'wu'shai'cha
狼疮抗凝物质检测,lang'chuang'kang'ning'wu'zhi'jian'ce
类肝素硫酸脂酶测定,lei'gan'su'liu'suan'zhi'mei'ce'ding
类胰岛素样生长因子测定,lei'yi'dao'su'yang'sheng'zhang'yin'zi'ce'ding
冷凝集试验,leng'ning'ji'shi'yan
冷球蛋白测定,leng'qiu'dan'bai'ce'ding
冷溶血试验,leng'rong'xue'shi'yan
立克次体核酸检测,li'ke'ci'ti'he'suan'jian'ce
粒细胞集落刺激因子测定,li'xi'bao'ji'luo'ci'ji'yin'zi'ce'ding
粒细胞膜流动性测定,li'xi'bao'mo'liu'dong'xing'ce'ding
联合药物敏感试验,lian'he'yao'wu'min'gan'shi'yan
链球菌血清学分型鉴定,lian'qiu'jun'xue'qing'xue'fen'xing'jian'ding
连续血浆鱼精蛋白稀释试验,lian'xu'xue'jiang'yu'jing'dan'bai'xi'shi'shi'yan
淋巴细胞毒试验,lin'ba'xi'bao'du'shi'yan
淋巴细胞花环试验,lin'ba'xi'bao'hua'huan'shi'yan
淋巴细胞计数,lin'ba'xi'bao'ji'shu
淋巴细胞膜流动性测定,lin'ba'xi'bao'mo'liu'dong'xing'ce'ding
淋巴细胞微核率检测,lin'ba'xi'bao'wei'he'lv'jian'ce
淋巴细胞亚群测定,lin'ba'xi'bao'ya'qun'ce'ding
淋巴细胞亚群分类相对计数,lin'ba'xi'bao'ya'qun'fen'lei'xiang'dui'ji'shu
淋巴细胞亚群绝对计数,lin'ba'xi'bao'ya'qun'jue'dui'ji'shu
淋巴细胞直接计数,lin'ba'xi'bao'zhi'jie'ji'shu
淋巴细胞转化试验,lin'ba'xi'bao'zhuan'hua'shi'yan
淋病奈瑟菌检测,lin'bing'nai'se'jun'jian'ce
淋病奈瑟菌培养,lin'bing'nai'se'jun'pei'yang
淋病奈瑟菌培养鉴定,lin'bing'nai'se'jun'pei'yang'jian'ding
淋病奈瑟菌药敏试验,lin'bing'nai'se'jun'yao'min'shi'yan
临床化学检验专业,lin'chuang'hua'xue'jian'yan'zhuan'ye
临床免疫血清学专业,lin'chuang'mian'yi'xue'qing'xue'zhuan'ye
临床微生物学专业,lin'chuang'wei'sheng'wu'xue'zhuan'ye
淋球菌核酸检测,lin'qiu'jun'he'suan'jian'ce
磷脂测定,lin'zhi'ce'ding
流感病毒核糖核酸检测,liu'gan'bing'du'he'tang'he'suan'jian'ce
流行性出血热病毒核糖核酸检测,liu'xing'xing'chu'xue're'bing'du'he'tang'he'suan'jian'ce
轮状病毒抗原测定,lun'zhuang'bing'du'kang'yuan'ce'ding
吗啡检测,ma'fei'jian'ce
麻疹病毒核糖核酸检测,ma'zhen'bing'du'he'tang'he'suan'jian'ce
毛细血管脆性试验,mao'xi'xue'guan'cui'xing'shi'yan
梅毒螺旋体暗视野镜检,mei'du'luo'xuan'ti'an'shi'ye'jing'jian
梅毒螺旋体核酸检测,mei'du'luo'xuan'ti'he'suan'jian'ce
梅毒螺旋体检测,mei'du'luo'xuan'ti'jian'ce
免疫复合物测定,mian'yi'fu'he'wu'ce'ding
免疫功能测定,mian'yi'gong'neng'ce'ding
免疫固定电泳测定,mian'yi'gu'ding'dian'yong'ce'ding
免疫球蛋白亚类定量测定,mian'yi'qiu'dan'bai'ya'lei'ding'liang'ce'ding
免疫抑制药物浓度测定,mian'yi'yi'zhi'yao'wu'nong'du'ce'ding
莫氏浓缩稀释试验,mo'shi'nong'suo'xi'shi'shi'yan
母乳钙检测,mu'ru'gai'jian'ce
木糖测定,mu'tang'ce'ding
木糖耐量测定,mu'tang'nai'liang'ce'ding
钠测定,na'ce'ding
萘酚试验,nai'fen'shi'yan
耐甲氧西林葡萄球耐药基因检测,nai'jia'yang'xi'lin'pu'tao'qiu'nai'yao'ji'yin'jian'ce
耐万古霉素肠球菌检测,nai'wan'gu'mei'su'chang'qiu'jun'jian'ce
耐万古霉素金黄色葡萄球菌检测,nai'wan'gu'mei'su'jin'huang'se'pu'tao'qiu'jun'jian'ce
脑脊液蛋白定量测定,nao'ji'ye'dan'bai'ding'liang'ce'ding
脑脊液蛋白定性测定,nao'ji'ye'dan'bai'ding'xing'ce'ding
脑脊液寡克隆蛋白测定,nao'ji'ye'gua'ke'long'dan'bai'ce'ding
脑脊液免疫固定电泳测定,nao'ji'ye'mian'yi'gu'ding'dian'yong'ce'ding
脑脊液葡萄糖定量测定,nao'ji'ye'pu'tao'tang'ding'liang'ce'ding
脑脊液葡萄糖定性测定,nao'ji'ye'pu'tao'tang'ding'xing'ce'ding
脑脊液细胞学检查,nao'ji'ye'xi'bao'xue'jian'cha
脑膜炎奈瑟菌核酸检测,nao'mo'yan'nai'se'jun'he'suan'jian'ce
脑膜炎奈瑟菌检测,nao'mo'yan'nai'se'jun'jian'ce
内毒素鲎定量试验,nei'du'su'hou'ding'liang'shi'yan
内毒素鲎定性试验,nei'du'su'hou'ding'xing'shi'yan
内皮生长因子检测,nei'pi'sheng'zhang'yin'zi'jian'ce
内酰胺类抗生素耐药检测,nei'xian'an'lei'kang'sheng'su'nai'yao'jian'ce
内酰胺酶检测,nei'xian'an'mei'jian'ce
粘蛋白测定,nian'dan'bai'ce'ding
念珠菌免疫学试验,nian'zhu'jun'mian'yi'xue'shi'yan
尿半乳糖测定,niao'ban'ru'tang'ce'ding
尿本周蛋白定性试验,niao'ben'zhou'dan'bai'ding'xing'shi'yan
尿比重测定,niao'bi'zhong'ce'ding
尿丙氨酰氨基肽酶测定,niao'bing'an'xian'an'ji'tai'mei'ce'ding
尿卟啉定量测定,niao'bu'lin'ding'liang'ce'ding
尿卟啉定性试验,niao'bu'lin'ding'xing'shi'yan
尿草酸测定,niao'cao'suan'ce'ding
尿沉渣白细胞分类计数,niao'chen'zha'bai'xi'bao'fen'lei'ji'shu
尿沉渣镜检,niao'chen'zha'jing'jian
尿沉渣图像分析,niao'chen'zha'tu'xiang'fen'xi
尿蛋白定量,niao'dan'bai'ding'liang
尿蛋白定性试验,niao'dan'bai'ding'xing'shi'yan
尿蛋白聚丙烯酰胺凝胶电泳,niao'dan'bai'ju'bing'xi'xian'an'ning'jiao'dian'yong
尿蛋白排泄率测定,niao'dan'bai'pai'xie'lv'ce'ding
尿胆红素定性试验,niao'dan'hong'su'ding'xing'shi'yan
尿单羟酚衍生物测定,niao'dan'qiang'fen'yan'sheng'wu'ce'ding
尿胆素定性试验,niao'dan'su'ding'xing'shi'yan
尿胆原定性试验,niao'dan'yuan'ding'xing'shi'yan
尿碘,niao'dian
尿干化学目测检查,niao'gan'hua'xue'mu'ce'jian'cha
尿胱氨酸定性试验,niao'guang'an'suan'ding'xing'shi'yan
尿含铁血黄素定性试验,niao'han'tie'xue'huang'su'ding'xing'shi'yan
尿黑色素试验,niao'hei'se'su'shi'yan
尿红细胞位相显微镜检查,niao'hong'xi'bao'wei'xiang'xian'wei'jing'jian'cha
尿红细胞形态检查,niao'hong'xi'bao'xing'tai'jian'cha
尿肌红蛋白定性试验,niao'ji'hong'dan'bai'ding'xing'shi'yan
尿结石成份分析,niao'jie'shi'cheng'fen'fen'xi
尿可滴定酸测定,niao'ke'di'ding'suan'ce'ding
尿吗啡快速测定,niao'ma'fei'kuai'su'ce'ding
尿尼柯丁代谢产物柯替宁测定,niao'ni'ke'ding'dai'xie'chan'wu'ke'ti'ning'ce'ding
尿浓缩试验,niao'nong'suo'shi'yan
尿乳糜定性试验,niao'ru'mi'ding'xing'shi'yan
尿三杯试验,niao'san'bei'shi'yan
尿三氯化铁试验,niao'san'lv'hua'tie'shi'yan
尿闪光细胞检验,niao'shan'guang'xi'bao'jian'yan
尿渗量测定,niao'shen'liang'ce'ding
尿酸化功能试验酸负荷试验,niao'suan'hua'gong'neng'shi'yan'suan'fu'he'shi'yan
尿酸碱度检查,niao'suan'jian'du'jian'cha
尿糖定量测定,niao'tang'ding'liang'ce'ding
尿糖定性试验,niao'tang'ding'xing'shi'yan
尿酮体定性试验,niao'tong'ti'ding'xing'shi'yan
尿血红蛋白定性试验,niao'xue'hong'dan'bai'ding'xing'shi'yan
尿亚硝酸盐试验,niao'ya'xiao'suan'yan'shi'yan
尿液蛋白电泳测定,niao'ye'dan'bai'dian'yong'ce'ding
尿液干化学分析,niao'ye'gan'hua'xue'fen'xi
尿液一般检查,niao'ye'yi'ban'jian'cha
尿胰蛋白酶原实验,niao'yi'dan'bai'mei'yuan'shi'yan
尿有形成分分析,niao'you'xing'cheng'fen'fen'xi
尿中包涵体细胞检查,niao'zhong'bao'han'ti'xi'bao'jian'cha
尿转铁蛋白测定,niao'zhuan'tie'dan'bai'ce'ding
尿总氮测定小时尿,niao'zong'dan'ce'ding'xiao'shi'niao
凝血活酶生成试验,ning'xue'huo'mei'sheng'cheng'shi'yan
凝血酶原时间纠正试验,ning'xue'mei'yuan'shi'jian'jiu'zheng'shi'yan
凝血酶原消耗及纠正试验,ning'xue'mei'yuan'xiao'hao'ji'jiu'zheng'shi'yan
浓缩集菌涂片革兰染色镜检,nong'suo'ji'jun'tu'pian'ge'lan'ran'se'jing'jian
浓缩集菌涂片抗酸染色镜检,nong'suo'ji'jun'tu'pian'kang'suan'ran'se'jing'jian
浓缩集菌涂片荧光染色镜检,nong'suo'ji'jun'tu'pian'ying'guang'ran'se'jing'jian
浓缩血恶性组织细胞检查,nong'suo'xue'e'xing'zu'zhi'xi'bao'jian'cha
浓缩血异常细胞检查,nong'suo'xue'yi'chang'xi'bao'jian'cha
疟原虫核酸检测,nue'yuan'chong'he'suan'jian'ce
呕吐物排泄物毒物鉴定,ou'tu'wu'pai'xie'wu'du'wu'jian'ding
培养细菌菌落计数,pei'yang'xi'jun'jun'luo'ji'shu
培养真菌菌落计数,pei'yang'zhen'jun'jun'luo'ji'shu
皮质醇测定,pi'zhi'chun'ce'ding
葡聚糖动态定量检测,pu'ju'tang'dong'tai'ding'liang'jian'ce
葡糖苷酶测定,pu'tang'gan'mei'ce'ding
葡萄糖磷酸脱氢酶活性检测,pu'tao'tang'lin'suan'tuo'qing'mei'huo'xing'jian'ce
葡萄糖磷酸脱氢酶荧光斑点试验,pu'tao'tang'lin'suan'tuo'qing'mei'ying'guang'ban'dian'shi'yan
葡萄糖醛酸苷酶测定,pu'tao'tang'quan'suan'gan'mei'ce'ding
普通细菌药敏定量试验,pu'tong'xi'jun'yao'min'ding'liang'shi'yan
普通细菌药敏定性试验,pu'tong'xi'jun'yao'min'ding'xing'shi'yan
其它检验试验,qi'ta'jian'yan'shi'yan
其它酶类测定,qi'ta'mei'lei'ce'ding
其它细菌毒素测定,qi'ta'xi'jun'du'su'ce'ding
前列环素测定,qian'lie'huan'su'ce'ding
前列腺液常规检查,qian'lie'xian'ye'chang'gui'jian'cha
迁移抑制因子试验,qian'yi'yi'zhi'yin'zi'shi'yan
羟脯氨酸测定,qiang'fu'an'suan'ce'ding
强心甙类测定,qiang'xin'dai'lei'ce'ding
羟吲哚乙酸检测,qiang'yin'duo'yi'suan'jian'ce
羟孕酮测定,qiang'yun'tong'ce'ding
鞘磷酯酶测定,qiao'lin'zhi'mei'ce'ding
禽流感病毒核糖核酸检测,qin'liu'gan'bing'du'he'tang'he'suan'jian'ce
亲子鉴定的基因分型检查,qin'zi'jian'ding'de'ji'yin'fen'xing'jian'cha
球孢子菌免疫学试验,qiu'bao'zi'jun'mian'yi'xue'shi'yan
去甲肾上腺素测定,qu'jia'shen'shang'xian'su'ce'ding
曲霉菌免疫学试验,qu'mei'jun'mian'yi'xue'shi'yan
去氢表雄酮及硫酸酯测定,qu'qing'biao'xiong'tong'ji'liu'suan'zhi'ce'ding
全段甲状旁腺激素测定,quan'duan'jia'zhuang'pang'xian'ji'su'ce'ding
全血粘度测定,quan'xue'nian'du'ce'ding
全血细胞计数分类检测,quan'xue'xi'bao'ji'shu'fen'lei'jian'ce
全血细胞计数分群检测,quan'xue'xi'bao'ji'shu'fen'qun'jian'ce
群体反应抗体确定试验,qun'ti'fan'ying'kang'ti'que'ding'shi'yan
群体反应抗体筛查试验,qun'ti'fan'ying'kang'ti'shai'cha'shi'yan
染色体分析,ran'se'ti'fen'xi
染色体核型分析,ran'se'ti'he'xing'fen'xi
染色体性别基因分析,ran'se'ti'xing'bie'ji'yin'fen'xi
染色体荧光原位杂交分析,ran'se'ti'ying'guang'yuan'wei'za'jiao'fen'xi
热变性试验,re'bian'xing'shi'yan
热溶血试验,re'rong'xue'shi'yan
热盐水试验,re'yan'shui'shi'yan
人轮状病毒核糖核酸检测,ren'lun'zhuang'bing'du'he'tang'he'suan'jian'ce
人乳头瘤病毒基因分型检测,ren'ru'tou'liu'bing'du'ji'yin'fen'xing'jian'ce
溶菌酶测定,rong'jun'mei'ce'ding
绒毛组织染色体分析,rong'mao'zu'zhi'ran'se'ti'fen'xi
溶血检查,rong'xue'jian'cha
溶血性链球菌血清学检测,rong'xue'xing'lian'qiu'jun'xue'qing'xue'jian'ce
乳胶及其相关的变应原筛查,ru'jiao'ji'qi'xiang'guan'de'bian'ying'yuan'shai'cha
乳酸脱氢酶同工酶测定,ru'suan'tuo'qing'mei'tong'gong'mei'ce'ding
瑞斯托霉素诱导血小板聚集试验,rui'si'tuo'mei'su'you'dao'xue'xiao'ban'ju'ji'shi'yan
腮腺炎病毒核糖核酸检测,sai'xian'yan'bing'du'he'tang'he'suan'jian'ce
三体和性染色体多倍体检测,san'ti'he'xing'ran'se'ti'duo'bei'ti'jian'ce
沙门菌血清学分型鉴定,sha'men'jun'xue'qing'xue'fen'xing'jian'ding
沙眼衣原体核酸检测,sha'yan'yi'yuan'ti'he'suan'jian'ce
沙眼衣原体抗原测定,sha'yan'yi'yuan'ti'kang'yuan'ce'ding
蛇毒因子溶血试验,she'du'yin'zi'rong'xue'shi'yan
神经降压素测定,shen'jing'jiang'ya'su'ce'ding
神经肽酪氨酸测定,shen'jing'tai'lao'an'suan'ce'ding
肾素测定,shen'su'ce'ding
渗透压检测,shen'tou'ya'jian'ce
肾脏疾病的实验诊断,shen'zang'ji'bing'de'shi'yan'zhen'duan
生理盐水介质交叉配血,sheng'li'yan'shui'jie'zhi'jiao'cha'pei'xue
生殖道标本涂片革兰染色镜检,sheng'zhi'dao'biao'ben'tu'pian'ge'lan'ran'se'jing'jian
生殖道沙眼衣原体快速检测,sheng'zhi'dao'sha'yan'yi'yuan'ti'kuai'su'jian'ce
生殖道支原体核酸检测,sheng'zhi'dao'zhi'yuan'ti'he'suan'jian'ce
十二指肠引流液及胆汁检查,shi'er'zhi'chang'yin'liu'ye'ji'dan'zhi'jian'cha
嗜肺军团菌核酸检测,shi'fei'jun'tuan'jun'he'suan'jian'ce
嗜肺军团菌抗体检测,shi'fei'jun'tuan'jun'kang'ti'jian'ce
嗜碱性点彩红细胞计数,shi'jian'xing'dian'cai'hong'xi'bao'ji'shu
嗜碱性粒细胞直接计数,shi'jian'xing'li'xi'bao'zhi'jie'ji'shu
嗜酸性粒细胞直接计数,shi'suan'xing'li'xi'bao'zhi'jie'ji'shu
试验,shi'yan
嗜异性凝集试验,shi'yi'xing'ning'ji'shi'yan
受体测定,shou'ti'ce'ding
鼠疫血清学试验,shu'yi'xue'qing'xue'shi'yan
水痘带状疱疹病毒抗体测定,shui'dou'dai'zhuang'pao'zhen'bing'du'kang'ti'ce'ding
苏丹黑染色,su'dan'hei'ran'se
酸负荷试验,suan'fu'he'shi'yan
酸化甘油溶血试验,suan'hua'gan'you'rong'xue'shi'yan
酸性磷酸酶染色,suan'xing'lin'suan'mei'ran'se
酸性糖蛋白测定,suan'xing'tang'dan'bai'ce'ding
髓过氧化物酶测定,sui'guo'yang'hua'wu'mei'ce'ding
肽链裂解试验,tai'lian'lie'jie'shi'yan
胎盘泌乳素测定,tai'pan'mi'ru'su'ce'ding
胎盘生长因子检测,tai'pan'sheng'zhang'yin'zi'jian'ce
痰含铁血黄素细胞检查,tan'han'tie'xue'huang'su'xi'bao'jian'cha
碳尿素呼气试验,tan'niao'su'hu'qi'shi'yan
碳青霉烯类抗生素耐药检测,tan'qing'mei'xi'lei'kang'sheng'su'nai'yao'jian'ce
痰液常规检查,tan'ye'chang'gui'jian'cha
糖化红细胞膜蛋白测定,tang'hua'hong'xi'bao'mo'dan'bai'ce'ding
糖及其代谢物测定,tang'ji'qi'dai'xie'wu'ce'ding
糖原磷酸化酶测定,tang'yuan'lin'suan'hua'mei'ce'ding
糖原染色,tang'yuan'ran'se
特殊介质交叉配血,te'shu'jie'zhi'jiao'cha'pei'xue
特殊细菌培养,te'shu'xi'jun'pei'yang
特殊细菌涂片染色镜检,te'shu'xi'jun'tu'pian'ran'se'jing'jian
体外血栓形成试验,ti'wai'xue'shuan'xing'cheng'shi'yan
体液与分泌物检查,ti'ye'yu'fen'mi'wu'jian'cha
铁染色,tie'ran'se
铜蓝蛋白测定,tong'lan'dan'bai'ce'ding
酮皮质类固醇测定,tong'pi'zhi'lei'gu'chun'ce'ding
脱氧核糖核酸倍体分析,tuo'yang'he'tang'he'suan'bei'ti'fen'xi
脱氧核糖核酸染色,tuo'yang'he'tang'he'suan'ran'se
唾液酸测定,tuo'ye'suan'ce'ding
外斐反应,wai'fei'fan'ying
外周血有核红细胞绝对计数,wai'zhou'xue'you'he'hong'xi'bao'jue'dui'ji'shu
万古霉素耐药基因检测,wan'gu'mei'su'nai'yao'ji'yin'jian'ce
网织红细胞分类,wang'zhi'hong'xi'bao'fen'lei
网织红细胞分析,wang'zhi'hong'xi'bao'fen'xi
网织红细胞计数百分数,wang'zhi'hong'xi'bao'ji'shu'bai'fen'shu
网织红细胞绝对数,wang'zhi'hong'xi'bao'jue'dui'shu
网织红细胞血红蛋白含量,wang'zhi'hong'xi'bao'xue'hong'dan'bai'han'liang
胃蛋白酶测定,wei'dan'bai'mei'ce'ding
微量补体溶血敏感试验,wei'liang'bu'ti'rong'xue'min'gan'shi'yan
微量残留白血病细胞检测,wei'liang'can'liu'bai'xue'bing'xi'bao'jian'ce
胃泌素测定,wei'mi'su'ce'ding
胃泌素检测,wei'mi'su'jian'ce
胃泌素相关嗜铬蛋白测定,wei'mi'su'xiang'guan'shi'ge'dan'bai'ce'ding
维生素氨基酸与血药浓度测定,wei'sheng'su'an'ji'suan'yu'xue'yao'nong'du'ce'ding
胃酸分析,wei'suan'fen'xi
胃液常规检查,wei'ye'chang'gui'jian'cha
胃液乳酸测定,wei'ye'ru'suan'ce'ding
无机物质测定及血气分析,wu'ji'wu'zhi'ce'ding'ji'xue'qi'fen'xi
无菌体液分枝杆菌快速培养,wu'jun'ti'ye'fen'zhi'gan'jun'kuai'su'pei'yang
无菌体液细菌培养,wu'jun'ti'ye'xi'jun'pei'yang
无菌体液细菌培养鉴定,wu'jun'ti'ye'xi'jun'pei'yang'jian'ding
无菌体液细菌培养鉴定药敏,wu'jun'ti'ye'xi'jun'pei'yang'jian'ding'yao'min
无菌体液真菌培养,wu'jun'ti'ye'zhen'jun'pei'yang
无菌体液真菌培养鉴定,wu'jun'ti'ye'zhen'jun'pei'yang'jian'ding
无菌体液真菌培养鉴定药敏,wu'jun'ti'ye'zhen'jun'pei'yang'jian'ding'yao'min
物质测定,wu'zhi'ce'ding
细胞胞浆抗原检测,xi'bao'bao'jiang'kang'yuan'jian'ce
细胞角蛋白片段测定,xi'bao'jiao'dan'bai'pian'duan'ce'ding
细胞膜分化抗原检测,xi'bao'mo'fen'hua'kang'yuan'jian'ce
细胞内粘附分子测定,xi'bao'nei'nian'fu'fen'zi'ce'ding
细胞周期分析,xi'bao'zhou'qi'fen'xi
细菌动力检查及制动试验,xi'jun'dong'li'jian'cha'ji'zhi'dong'shi'yan
细菌检测,xi'jun'jian'ce
细菌抗体测定,xi'jun'kang'ti'ce'ding
细菌抗原测定,xi'jun'kang'yuan'ce'ding
细菌性阴道病唾液酸酶测定,xi'jun'xing'yin'dao'bing'tuo'ye'suan'mei'ce'ding
西尼罗河病毒核糖核酸检测,xi'ni'luo'he'bing'du'he'tang'he'suan'jian'ce
腺病毒抗原检测,xian'bing'du'kang'yuan'jian'ce
纤维蛋白溶解试验,xian'wei'dan'bai'rong'jie'shi'yan
硝基四氮唑蓝还原试验,xiao'ji'si'dan'zuo'lan'huan'yuan'shi'yan
小时尿胱氨酸定量试验,xiao'shi'niao'guang'an'suan'ding'liang'shi'yan
血块收缩试验,xie'kuai'shou'suo'shi'yan
心肌疾病的实验诊断,xin'ji'ji'bing'de'shi'yan'zhen'duan
心钠素测定,xin'na'su'ce'ding
新生隐球菌墨汁染色镜检,xin'sheng'yin'qiu'jun'mo'zhi'ran'se'jing'jian
新型布尼亚病毒核糖核酸检测,xin'xing'bu'ni'ya'bing'du'he'tang'he'suan'jian'ce
新型隐球菌荚膜抗原测定,xin'xing'yin'qiu'jun'jia'mo'kang'yuan'ce'ding
心型脂肪酸结合蛋白测定,xin'xing'zhi'fang'suan'jie'he'dan'bai'ce'ding
型胶原免疫组化测定,xing'jiao'yuan'mian'yi'zu'hua'ce'ding
型细菌培养,xing'xi'jun'pei'yang
胸腹水常规检查,xiong'fu'shui'chang'gui'jian'cha
胸腹水染色体核型分析,xiong'fu'shui'ran'se'ti'he'xing'fen'xi
胸腹水细胞学检查,xiong'fu'shui'xi'bao'xue'jian'cha
选择素测定,xuan'ze'su'ce'ding
血氨测定,xue'an'ce'ding
血管活性肽测定,xue'guan'huo'xing'tai'ce'ding
血管内皮生长因子,xue'guan'nei'pi'sheng'zhang'yin'zi
血红蛋白电泳测定,xue'hong'dan'bai'dian'yong'ce'ding
血红素结合蛋白测定,xue'hong'su'jie'he'dan'bai'ce'ding
血或尿核糖核酸酶测定,xue'huo'niao'he'tang'he'suan'mei'ce'ding
血浆丙二醛测定,xue'jiang'bing'er'quan'ce'ding
血浆甘丙素测定,xue'jiang'gan'bing'su'ce'ding
血浆肝素含量测定,xue'jiang'gan'su'han'liang'ce'ding
血浆激肽释放酶原测定,xue'jiang'ji'tai'shi'fang'mei'yuan'ce'ding
血浆蝰蛇毒磷脂时间测定,xue'jiang'kui'she'du'lin'zhi'shi'jian'ce'ding
血浆蝰蛇毒时间测定,xue'jiang'kui'she'du'shi'jian'ce'ding
血浆粘度测定,xue'jiang'nian'du'ce'ding
血浆凝血因子含量测定,xue'jiang'ning'xue'yin'zi'han'liang'ce'ding
血浆纤维蛋白原测定,xue'jiang'xian'wei'dan'bai'yuan'ce'ding
血浆血小板球蛋白测定,xue'jiang'xue'xiao'ban'qiu'dan'bai'ce'ding
