阿比国民银行,a'bi'guo'min'yin'hang
净值,jing'zhi
静止,jing'zhi
净赚,jing'zhuan
净资本,jing'zi'ben
净资产,jing'zi'chan
净资产水平,jing'zi'chan'shui'ping
就此事,jiu'ci'shi
就达到了,jiu'da'dao'le
九发股份,jiu'fa'gu'fen
玖富理财网,jiu'fu'li'cai'wang
酒钢宏兴,jiu'gang'hong'xing
旧股,jiu'gu
酒鬼酒,jiu'gui'jiu
久恒期货,jiu'heng'qi'huo
九化投票,jiu'hua'tou'piao
就会低于,jiu'hui'di'yu
九汇网,jiu'hui'wang
久久期货,jiu'jiu'qi'huo
就可以,jiu'ke'yi
久联发展,jiu'lian'fa'zhan
九龙电力,jiu'long'dian'li
九龙山,jiu'long'shan
久期,jiu'qi
救市,jiu'shi
救市信号,jiu'shi'xin'hao
救市行为,jiu'shi'xing'wei
救世主,jiu'shi'zhu
救援,jiu'yuan
纠正,jiu'zheng
就职培训,jiu'zhi'pei'xun
九芝堂,jiu'zhi'tang
九州财经网,jiu'zhou'cai'jing'wang
局部阶段,ju'bu'jie'duan
局部泡沫,ju'bu'pao'mo
局部热点,ju'bu're'dian
巨潮,ju'chao
巨潮大盘,ju'chao'da'pan
巨潮红利,ju'chao'hong'li
巨潮小盘,ju'chao'xiao'pan
巨潮指,ju'chao'zhi
巨潮治理,ju'chao'zhi'li
巨潮中盘,ju'chao'zhong'pan
据传,ju'chuan
巨大变革,ju'da'bian'ge
巨大风险,ju'da'feng'xian
居第一位,ju'di'yi'wei
巨额交易,ju'e'jiao'yi
巨额赠与,ju'e'zeng'yu
拒付,ju'fu
聚富,ju'fu
巨幅波动,ju'fu'bo'dong
拒付后承兑,ju'fu'hou'cheng'dui
据国外媒体报道,ju'guo'wai'mei'ti'bao'dao
巨化股份,ju'hua'gu'fen
具结,ju'jie
聚金网,ju'jin'wang
拒绝出售,ju'jue'chu'shou
拒绝发表意见,ju'jue'fa'biao'yi'jian
拒绝开证,ju'jue'kai'zheng
俱乐部融资,ju'le'bu'rong'zi
巨力投票,ju'li'tou'piao
距离走势图,ju'li'zou'shi'tu
巨量,ju'liang
巨量市场,ju'liang'shi'chang
剧烈反弹,ju'lie'fan'tan
剧烈震荡,ju'lie'zhen'dang
聚拢资金,ju'long'zi'jin
巨轮股份,ju'lun'gu'fen
巨轮转债,ju'lun'zhuan'zhai
居民个人,ju'min'ge'ren
拒批,ju'pi
巨人网络,ju'ren'wang'luo
居市场前列,ju'shi'chang'qian'lie
拒收,ju'shou
具体案例,ju'ti'an'li
具体部署,ju'ti'bu'shu
具体会议,ju'ti'hui'yi
具体业务,ju'ti'ye'wu
具体议题,ju'ti'yi'ti
具体运作,ju'ti'yun'zuo
具体运作步骤,ju'ti'yun'zuo'bu'zhou
具体组织工作,ju'ti'zu'zhi'gong'zuo
巨田货币,ju'tian'huo'bi
巨田货币市场基金,ju'tian'huo'bi'shi'chang'ji'jin
巨田基础,ju'tian'ji'chu
巨田基础行业,ju'tian'ji'chu'hang'ye
巨田基础行业证券投资基金,ju'tian'ji'chu'hang'ye'zheng'quan'tou'zi'ji'jin
巨田基金,ju'tian'ji'jin
巨田基金管理有限公司,ju'tian'ji'jin'guan'li'you'xian'gong'si
巨田证券,ju'tian'zheng'quan
巨田资源,ju'tian'zi'yuan
巨田资源优选混合型证券投资基金,ju'tian'zi'yuan'you'xuan'hun'he'xing'zheng'quan'tou'zi'ji'jin
巨头,ju'tou
聚友,ju'you
具有法律效力,ju'you'fa'lv'xiao'li
举债经营,ju'zhai'jing'ying
举债消费,ju'zhai'xiao'fei
矩阵交易,ju'zhen'jiao'yi
聚酯,ju'zhi
捐款,juan'kuan
捐赠股本,juan'zeng'gu'ben
捐赠信托,juan'zeng'xin'tuo
捐赠盈余,juan'zeng'ying'yu
决策分析,jue'ce'fen'xi
绝大部分,jue'da'bu'fen
决定撤销,jue'ding'che'xiao
决定方向,jue'ding'fang'xiang
决定系数,jue'ding'xi'shu
绝对多数,jue'dui'duo'shu
绝对价值,jue'dui'jia'zhi
绝对领先,jue'dui'ling'xian
绝对优势,jue'dui'you'shi
绝好时机,jue'hao'shi'ji
崛起,jue'qi
均表示,jun'biao'shi
均不同程度,jun'bu'tong'cheng'du
均等费率,jun'deng'fei'lv
均等批次,jun'deng'pi'ci
均高达,jun'gao'da
均衡,jun'heng
均衡增长,jun'heng'zeng'zhang
均衡债券收益率,jun'heng'zhai'quan'shou'yi'lv
均价,jun'jia
均可开办,jun'ke'kai'ban
均上涨,jun'shang'zhang
均使用,jun'shi'yong
均适用,jun'shi'yong
均线,jun'xian
君之创,jun'zhi'chuang
卡包,ka'bao
卡部,ka'bu
卡窗,ka'chuang
卡菲尔,ka'fei'er
卡号,ka'hao
卡卡,ka'ka
卡面,ka'mian
卡内资金,ka'nei'zi'jin
卡特尔,ka'te'er
卡特债券,ka'te'zhai'quan
卡样,ka'yang
卡友,ka'you
卡友会,ka'you'hui
卡友网,ka'you'wang
卡种,ka'zhong
卡中心,ka'zhong'xin
开办,kai'ban
凯迪电力,kai'di'dian'li
凯恩股份,kai'en'gu'fen
开发区,kai'fa'qu
开放抵押,kai'fang'di'ya
开放回购协议,kai'fang'hui'gou'xie'yi
开放经济,kai'fang'jing'ji
开放式基金,kai'fang'shi'ji'jin
开放委托,kai'fang'wei'tuo
开放型共同基金,kai'fang'xing'gong'tong'ji'jin
开户,kai'hu
开户费,kai'hu'fei
开户费用,kai'hu'fei'yong
开户营业部,kai'hu'ying'ye'bu
开户指南,kai'hu'zhi'nan
开卡,kai'ka
开开,kai'kai
开开投票,kai'kai'tou'piao
凯乐科技,kai'le'ke'ji
开立经纪人,kai'li'jing'ji'ren
开立信用证,kai'li'xin'yong'zheng
开滦股份,kai'luan'gu'fen
开门红,kai'men'hong
凯诺科技,kai'nuo'ke'ji
凯诺转债,kai'nuo'zhuan'zhai
开盘,kai'pan
开盘差异,kai'pan'cha'yi
开盘大涨,kai'pan'da'zhang
开盘后,kai'pan'hou
开盘价,kai'pan'jia
开盘交易指令,kai'pan'jiao'yi'zhi'ling
开盘均价,kai'pan'jun'jia
开设网站,kai'she'wang'zhan
开始撤退,kai'shi'che'tui
开始跌,kai'shi'die
开始放大,kai'shi'fang'da
开始飞涨,kai'shi'fei'zhang
开始供货,kai'shi'gong'huo
开始关注,kai'shi'guan'zhu
开始集中,kai'shi'ji'zhong
开始阶段,kai'shi'jie'duan
开始接收,kai'shi'jie'shou
开始救市,kai'shi'jiu'shi
开始买卖,kai'shi'mai'mai
开始盘整,kai'shi'pan'zheng
开始上攻,kai'shi'shang'gong
开始实施,kai'shi'shi'shi
开始投资,kai'shi'tou'zi
开始执行,kai'shi'zhi'xing
开通,kai'tong
开拓进取,kai'tuo'jin'qu
开业登记,kai'ye'deng'ji
开展合作,kai'zhan'he'zuo
开展业务,kai'zhan'ye'wu
开证行,kai'zheng'hang
开证后,kai'zheng'hou
看跌,kan'die
看跌的,kan'die'de
看跌期权,kan'die'qi'quan
看股票,kan'gu'piao
看好后市,kan'hao'hou'shi
砍龙炒股学堂,kan'long'chao'gu'xue'tang
堪萨斯贸易委员会,kan'sa'si'mao'yi'wei'yuan'hui
看涨,kan'zhang
看涨的,kan'zhang'de
看涨行情,kan'zhang'hang'qing
看涨期权,kan'zhang'qi'quan
康贝投票,kang'bei'tou'piao
康达尔,kang'da'er
康德拉提夫波浪理论,kang'de'la'ti'fu'bo'lang'li'lun
抗跌,kang'die
抗跌能力,kang'die'neng'li
康恩贝,kang'en'bei
抗风险,kang'feng'xian
抗风险能力,kang'feng'xian'neng'li
抗风险品种,kang'feng'xian'pin'zhong
康美认购,kang'mei'ren'gou
康美药业,kang'mei'yao'ye
康思托,kang'si'tuo
康缘药业,kang'yuan'yao'ye
扛住,kang'zhu
考尔派调拨系统,kao'er'pai'diao'bo'xi'tong
考核,kao'he
考核评价,kao'he'ping'jia
考核指标,kao'he'zhi'biao
考量,kao'liang
考量因素,kao'liang'yin'su
考虑进来,kao'lv'jin'lai
考虑投资,kao'lv'tou'zi
可被视为,ke'bei'shi'wei
可变成本,ke'bian'cheng'ben
可变利差,ke'bian'li'cha
可变证券投资组合,ke'bian'zheng'quan'tou'zi'zu'he
可参与,ke'can'yu
可撤消的,ke'che'xiao'de
可撤销信托,ke'che'xiao'xin'tuo
可承受,ke'cheng'shou
可出价的,ke'chu'jia'de
科大创新,ke'da'chuang'xin
科达股份,ke'da'gu'fen
科达机电,ke'da'ji'dian
可到银行,ke'dao'yin'hang
可抵押,ke'di'ya
可兑换货币,ke'dui'huan'huo'bi
可分散,ke'fen'san
客服,ke'fu
客服人员,ke'fu'ren'yuan
可公开交易,ke'gong'kai'jiao'yi
壳公司,ke'gong'si
可估值的股票,ke'gu'zhi'de'gu'piao
可观的收益,ke'guan'de'shou'yi
客户承担风险,ke'hu'cheng'dan'feng'xian
客户代理人,ke'hu'dai'li'ren
客户服务代理人,ke'hu'fu'wu'dai'li'ren
客户服务中心,ke'hu'fu'wu'zhong'xin
客户交易,ke'hu'jiao'yi
客户交易结算资金,ke'hu'jiao'yi'jie'suan'zi'jin
客户净借方余额,ke'hu'jing'jie'fang'yu'e
客户融资,ke'hu'rong'zi
客户须知,ke'hu'xu'zhi
科华生物,ke'hua'sheng'wu
科健,ke'jian
可交付债券,ke'jiao'fu'zhai'quan
克拉,ke'la
克雷顿反托拉斯法,ke'lei'dun'fan'tuo'la'si'fa
克里夫特信托,ke'li'fu'te'xin'tuo
科龙,ke'long
克隆货币市场基金,ke'long'huo'bi'shi'chang'ji'jin
科龙投票,ke'long'tou'piao
克鲁格金币,ke'lu'ge'jin'bi
可能超越,ke'neng'chao'yue
可能出现,ke'neng'chu'xian
可能的趋势,ke'neng'de'qu'shi
可能过高,ke'neng'guo'gao
可能还将,ke'neng'hai'jiang
可能会相对,ke'neng'hui'xiang'dui
可能会涨,ke'neng'hui'zhang
可能将,ke'neng'jiang
可能升到,ke'neng'sheng'dao
可能受到,ke'neng'shou'dao
可能损失,ke'neng'sun'shi
可能下滑,ke'neng'xia'hua
可能性,ke'neng'xing
可能性不大,ke'neng'xing'bu'da
可能性较大,ke'neng'xing'jiao'da
可能性仍然很大,ke'neng'xing'reng'ran'hen'da
可能需要,ke'neng'xu'yao
可能选择,ke'neng'xuan'ze
可能因此,ke'neng'yin'ci
可能引发,ke'neng'yin'fa
可能主顾,ke'neng'zhu'gu
可取资金,ke'qu'zi'jin
可商议报价,ke'shang'yi'bao'jia
可适性,ke'shi'xing
可收回贷款,ke'shou'hui'dai'kuan
可收回互换协议,ke'shou'hui'hu'huan'xie'yi
可收回优先股,ke'shou'hui'you'xian'gu
可受理,ke'shou'li
课税扣减法案,ke'shui'kou'jian'fa'an
可税收益,ke'shui'shou'yi
可替代存款人,ke'ti'dai'cun'kuan'ren
可替代账户,ke'ti'dai'zhang'hu
可调利率抵押,ke'tiao'li'lv'di'ya
可调整债券,ke'tiao'zheng'zhai'quan
可望得到,ke'wang'de'dao
可协商政府证券认购,ke'xie'shang'zheng'fu'zheng'quan'ren'gou
可信度,ke'xin'du
可信度高,ke'xin'du'gao
可选择的,ke'xuan'ze'de
可选择的最低税收额,ke'xuan'ze'de'zui'di'shui'shou'e
可选择交易,ke'xuan'ze'jiao'yi
可选择委托,ke'xuan'ze'wei'tuo
科学城,ke'xue'cheng
科学投资,ke'xue'tou'zi
可以办理,ke'yi'ban'li
可以保障,ke'yi'bao'zhang
可以保证,ke'yi'bao'zheng
可以参与,ke'yi'can'yu
可以出租,ke'yi'chu'zu
可以得出,ke'yi'de'chu
可以得到,ke'yi'de'dao
可以根据,ke'yi'gen'ju
可以积极,ke'yi'ji'ji
可以建议,ke'yi'jian'yi
可以介绍,ke'yi'jie'shao
可以结束,ke'yi'jie'shu
可疑类贷款,ke'yi'lei'dai'kuan
可以明显看出,ke'yi'ming'xian'kan'chu
可以取款,ke'yi'qu'kuan
可以上市,ke'yi'shang'shi
可以选择,ke'yi'xuan'ze
可以预见,ke'yi'yu'jian
可以预见的将来,ke'yi'yu'jian'de'jiang'lai
可以预期,ke'yi'yu'qi
可以暂缓,ke'yi'zan'huan
可疑资金,ke'yi'zi'jin
可用余额,ke'yong'yu'e
可用资产,ke'yong'zi'chan
科苑,ke'yuan
可再生能源,ke'zai'sheng'neng'yuan
可再生资源,ke'zai'sheng'zi'yuan
可致电,ke'zhi'dian
可直接投资,ke'zhi'jie'tou'zi
可支配收入,ke'zhi'pei'shou'ru
可转换抵押,ke'zhuan'huan'di'ya
可转换公司债,ke'zhuan'huan'gong'si'zhai
可转换公司债券,ke'zhuan'huan'gong'si'zhai'quan
可转换债券,ke'zhuan'huan'zhai'quan
可转换证券,ke'zhuan'huan'zheng'quan
可赚钱,ke'zhuan'qian
可转让的,ke'zhuan'rang'de
可转债,ke'zhuan'zhai
可自偿的,ke'zi'chang'de
壳资源,ke'zi'yuan
空白背书,kong'bai'bei'shu
空白股票,kong'bai'gu'piao
空白作废,kong'bai'zuo'fei
空仓,kong'cang
空翻多,kong'fan'duo
空方能量,kong'fang'neng'liang
空方市价,kong'fang'shi'jia
空方主力,kong'fang'zhu'li
空港股份,kong'gang'gu'fen
恐高,kong'gao
控股,kong'gu
控股股东,kong'gu'gu'dong
控股权,kong'gu'quan
控股权股票,kong'gu'quan'gu'piao
控股有限公司,kong'gu'you'xian'gong'si
控股子公司,kong'gu'zi'gong'si
空过股利,kong'guo'gu'li
恐慌,kong'huang
恐慌情绪,kong'huang'qing'xu
空间比较大,kong'jian'bi'jiao'da
空间广阔,kong'jian'guang'kuo
空间套利,kong'jian'tao'li
控盘,kong'pan
控盘能力,kong'pan'neng'li
空前活跃,kong'qian'huo'yue
空头,kong'tou
空头补进,kong'tou'bu'jin
空头操作,kong'tou'cao'zuo
空头出价,kong'tou'chu'jia
空头对冲,kong'tou'dui'chong
空头平仓,kong'tou'ping'cang
空头头寸,kong'tou'tou'cun
空头陷阱,kong'tou'xian'jing
空头一方,kong'tou'yi'fang
控制仓位,kong'zhi'cang'wei
控制风险,kong'zhi'feng'xian
控制好风险,kong'zhi'hao'feng'xian
控制能力,kong'zhi'neng'li
控制市场,kong'zhi'shi'chang
空中网,kong'zhong'wang
扣除,kou'chu
扣缴税款,kou'jiao'shui'kuan
扣款,kou'kuan
口令卡,kou'ling'ka
扣留,kou'liu
口头遗嘱,kou'tou'yi'zhu
库藏股,ku'cang'gu
库存,ku'cun
库存查询,ku'cun'cha'xun
库存现金,ku'cun'xian'jin
库存资金,ku'cun'zi'jin
库房出库,ku'fang'chu'ku
库房结存,ku'fang'jie'cun
库房入库,ku'fang'ru'ku
跨国公司,kua'guo'gong'si
跨国企业,kua'guo'qi'ye
跨行,kua'hang
跨行转账,kua'hang'zhuan'zhang
跨境金融市场,kua'jing'jin'rong'shi'chang
跨境资本市场,kua'jing'zi'ben'shi'chang
跨境资本市场通道,kua'jing'zi'ben'shi'chang'tong'dao
跨年度,kua'nian'du
跨期偿还基金,kua'qi'chang'huan'ji'jin
跨期交易,kua'qi'jiao'yi
跨期期权头寸,kua'qi'qi'quan'tou'cun
跨期套利,kua'qi'tao'li
跨期套期,kua'qi'tao'qi
快公司,kuai'gong'si
会计报表,kuai'ji'bao'biao
会计方法,kuai'ji'fang'fa
会计年度,kuai'ji'nian'du
会计期间,kuai'ji'qi'jian
会计师,kuai'ji'shi
会计师事务所,kuai'ji'shi'shi'wu'suo
会计收益率,kuai'ji'shou'yi'lv
会计循环,kuai'ji'xun'huan
快速拔高,kuai'su'ba'gao
快速回落,kuai'su'hui'luo
快速建仓,kuai'su'jian'cang
快速攀升,kuai'su'pan'sheng
快速上行,kuai'su'shang'xing
快速增长,kuai'su'zeng'zhang
宽带,kuan'dai
宽限期,kuan'xian'qi
款项,kuan'xiang
狂跌,kuang'die
狂泻,kuang'xie
匮乏,kui'fa
亏很多钱,kui'hen'duo'qian
亏损,kui'sun
亏损面,kui'sun'mian
亏损问题,kui'sun'wen'ti
亏损项目,kui'sun'xiang'mu
昆百大,kun'bai'da
昆明机床,kun'ming'ji'chuang
昆明制药,kun'ming'zhi'yao
扩大利润,kuo'da'li'run
扩大营业额,kuo'da'ying'ye'e
扩大至,kuo'da'zhi
扩容压力,kuo'rong'ya'li
扩张成本,kuo'zhang'cheng'ben
扩张能力,kuo'zhang'neng'li
扩张倾向,kuo'zhang'qing'xiang
扩张收购,kuo'zhang'shou'gou
扩张速度,kuo'zhang'su'du
扩张速度极快,kuo'zhang'su'du'ji'kuai
拉长阳,la'chang'yang
拉出长阳,la'chu'chang'yang
拉低均价,la'di'jun'jia
拉弗尔曲线,la'fu'er'qu'xian
拉高房价,la'gao'fang'jia
拉高均价,la'gao'jun'jia
垃圾股,la'ji'gu
垃圾债券,la'ji'zhai'quan
拉卡,la'ka
拉升股票,la'sheng'gu'piao
拉升行情,la'sheng'hang'qing
拉升阶段,la'sheng'jie'duan
来帮助我们,lai'bang'zhu'wo'men
莱宝高科,lai'bao'gao'ke
来定义,lai'ding'yi
莱钢,lai'gang
莱钢股份,lai'gang'gu'fen
来衡量,lai'heng'liang
来看,lai'kan
来年,lai'nian
来判断,lai'pan'duan
来确定的,lai'que'ding'de
莱茵置业,lai'yin'zhi'ye
蓝筹板块,lan'chou'ban'kuai
蓝筹股,lan'chou'gu
蓝筹泡沫,lan'chou'pao'mo
揽存,lan'cun
澜电,lan'dian
兰光,lan'guang
蓝海创投,lan'hai'chuang'tou
兰花科创,lan'hua'ke'chuang
拦路状态,lan'lu'zhuang'tai
兰铝,lan'lv
兰铝投票,lan'lv'tou'piao
蓝山投资,lan'shan'tou'zi
兰生股份,lan'sheng'gu'fen
蓝石化,lan'shi'hua
兰太实业,lan'tai'shi'ye
蓝天法,lan'tian'fa
蓝星清洗,lan'xing'qing'xi
兰州黄河,lan'zhou'huang'he
兰州民百,lan'zhou'min'bai
朗伯德街,lang'bo'de'jie
浪潮软件,lang'chao'ruan'jian
浪潮信息,lang'chao'xin'xi
浪费性信托,lang'fei'xing'xin'tuo
劳埃德银行,lao'ai'de'yin'hang
劳动力密集行业,lao'dong'li'mi'ji'hang'ye
老虎机,lao'hu'ji
老虎基金,lao'hu'ji'jin
老基金,lao'ji'jin
老客户,lao'ke'hu
老牌,lao'pai
老千,lao'qian
老手,lao'shou
劳资谈判,lao'zi'tan'pan
乐当家,le'dang'jia
乐电,le'dian
乐电投票,le'dian'tou'piao
乐凯,le'kai
乐山电力,le'shan'dian'li
类别,lei'bie
雷达警示,lei'da'jing'shi
累计处置,lei'ji'chu'zhi
累计处置总额,lei'ji'chu'zhi'zong'e
累计存货,lei'ji'cun'huo
累计发放,lei'ji'fa'fang
累计分配,lei'ji'fen'pei
累积红利,lei'ji'hong'li
累积回报率,lei'ji'hui'bao'lv
累计回收,lei'ji'hui'shou
累积计划,lei'ji'ji'hua
累积金额,lei'ji'jin'e
累计净值,lei'ji'jing'zhi
累计亏损,lei'ji'kui'sun
累计区域,lei'ji'qu'yu
累计实现,lei'ji'shi'xian
累计收益税,lei'ji'shou'yi'shui
累积投票法,lei'ji'tou'piao'fa
累计拖欠,lei'ji'tuo'qian
累计未分配股息,lei'ji'wei'fen'pei'gu'xi
累计现金,lei'ji'xian'jin
累积型优先股,lei'ji'xing'you'xian'gu
累计盈利,lei'ji'ying'li
累积盈余,lei'ji'ying'yu
累计佣金,lei'ji'yong'jin
累积债券,lei'ji'zhai'quan
累计涨幅,lei'ji'zhang'fu
勒紧策略,lei'jin'ce'lue
累进税,lei'jin'shui
累进税率,lei'jin'shui'lv
累进税制,lei'jin'shui'zhi
雷曼兄弟,lei'man'xiong'di
雷鸣科化,lei'ming'ke'hua
类似举措,lei'si'ju'cuo
类似于,lei'si'yu
累退税制,lei'tui'shui'zhi
雷伊,lei'yi
棱光投票,leng'guang'tou'piao
冷门行业,leng'men'hang'ye
冷门交易,leng'men'jiao'yi
冷却期,leng'que'qi
立案稽查,li'an'ji'cha
离岸基金,li'an'ji'jin
离岸设立,li'an'she'li
里昂信贷银行,li'ang'xin'dai'yin'hang
理财,li'cai
理财策略,li'cai'ce'lue
理财产品,li'cai'chan'pin
理财服务,li'cai'fu'wu
理财公馆,li'cai'gong'guan
理财顾问,li'cai'gu'wen
理财观念,li'cai'guan'nian
理财规划,li'cai'gui'hua
理财规划师,li'cai'gui'hua'shi
理财金,li'cai'jin
理财类网站,li'cai'lei'wang'zhan
理财沙龙,li'cai'sha'long
理财社区,li'cai'she'qu
理财收入,li'cai'shou'ru
理财网站,li'cai'wang'zhan
理财学校,li'cai'xue'xiao
理财业务,li'cai'ye'wu
理财周报,li'cai'zhou'bao
利差,li'cha
俚称,li'cheng
力度,li'du
利多,li'duo
利多因素,li'duo'yin'su
利害关系人,li'hai'guan'xi'ren
利好,li'hao
利好出尽是利空,li'hao'chu'jin'shi'li'kong
利好刺激,li'hao'ci'ji
利好网,li'hao'wang
力合股份,li'he'gu'fen
立即将,li'ji'jiang
立即支付年金,li'ji'zhi'fu'nian'jin
丽江旅游,li'jiang'lv'you
利空,li'kong
利空出尽,li'kong'chu'jin
利空打击,li'kong'da'ji
利空因素,li'kong'yin'su
利空影响,li'kong'ying'xiang
利空政策,li'kong'zheng'ce
里拉,li'la
理论价格模型,li'lun'jia'ge'mo'xing
利率,li'lv
利率变动,li'lv'bian'dong
利率标准,li'lv'biao'zhun
利率不变,li'lv'bu'bian
利率掉期,li'lv'diao'qi
利率浮动,li'lv'fu'dong
利率管理,li'lv'guan'li
利率较低,li'lv'jiao'di
利率决定,li'lv'jue'ding
利率太低,li'lv'tai'di
利率政策,li'lv'zheng'ce
利率周期,li'lv'zhou'qi
力诺太阳,li'nuo'tai'yang
理赔,li'pei
礼品税,li'pin'shui
利润,li'run
利润增加,li'run'zeng'jia
利润增速,li'run'zeng'su
利润增长点,li'run'zeng'zhang'dian
利润中心,li'run'zhong'xin
利润最大化,li'run'zui'da'hua
历史变量,li'shi'bian'liang
历史波动率,li'shi'bo'dong'lv
历史波幅,li'shi'bo'fu
历史成本,li'shi'cheng'ben
历史成本原则,li'shi'cheng'ben'yuan'ze
历史经验,li'shi'jing'yan
历史审计,li'shi'shen'ji
历史数据,li'shi'shu'ju
历史新低,li'shi'xin'di
历史新高,li'shi'xin'gao
利息,li'xi
利息率,li'xi'lv
利息税,li'xi'shui
利息水平,li'xi'shui'ping
利息损失,li'xi'sun'shi
利息所得税,li'xi'suo'de'shui
利息宣告日,li'xi'xuan'gao'ri
利息证书,li'xi'zheng'shu
利息支出,li'xi'zhi'chu
利息总额,li'xi'zong'e
理想方式,li'xiang'fang'shi
理想投资组合,li'xiang'tou'zi'zu'he
理性,li'xing
理性下挫,li'xing'xia'cuo
利益,li'yi
利益冲突,li'yi'chong'tu
利用网站,li'yong'wang'zhan
利用资金,li'yong'zi'jin
利于增强,li'yu'zeng'qiang
力元,li'yuan
力元投票,li'yuan'tou'piao
力源液压,li'yuan'ye'ya
力争突破,li'zheng'tu'po
丽珠,li'zhu
丽珠集团,li'zhu'ji'tuan
联办,lian'ban
联邦赤字,lian'bang'chi'zi
联邦储备计算机网络体系,lian'bang'chu'bei'ji'suan'ji'wang'luo'ti'xi
联邦储备局,lian'bang'chu'bei'ju
联邦机构债券,lian'bang'ji'gou'zhai'quan
联邦破产法,lian'bang'po'chan'fa
联邦全国抵押协会,lian'bang'quan'guo'di'ya'xie'hui
联邦住房管理局,lian'bang'zhu'fang'guan'li'ju
联储基金,lian'chu'ji'jin
联创光电,lian'chuang'guang'dian
联次,lian'ci
连带效应,lian'dai'xiao'ying
连带影响,lian'dai'ying'xiang
联动机制,lian'dong'ji'zhi
联合发文,lian'he'fa'wen
联合会员,lian'he'hui'yuan
联合交易,lian'he'jiao'yi
联合金银,lian'he'jin'yin
联合控股,lian'he'kong'gu
联合契约,lian'he'qi'yue
联合推出,lian'he'tui'chu
联合银行,lian'he'yin'hang
联合债券,lian'he'zhai'quan
联合证券,lian'he'zheng'quan
联华,lian'hua
联华国际信托,lian'hua'guo'ji'xin'tuo
莲花投票,lian'hua'tou'piao
莲花味,lian'hua'wei
联环药业,lian'huan'yao'ye
廉价股票,lian'jia'gu'piao
联名积分,lian'ming'ji'fen
联名卡,lian'ming'ka
联锁董事,lian'suo'dong'shi
联通,lian'tong
联网网点,lian'wang'wang'dian
联系方式,lian'xi'fang'shi
联系机制,lian'xi'ji'zhi
联系券商,lian'xi'quan'shang
联系人名单,lian'xi'ren'ming'dan
联系在一起,lian'xi'zai'yi'qi
连续暴跌,lian'xu'bao'die
连续第,lian'xu'di
连续多次,lian'xu'duo'ci
连续发行,lian'xu'fa'xing
连续交易,lian'xu'jiao'yi
连续三个交易日,lian'xu'san'ge'jiao'yi'ri
连续三年,lian'xu'san'nian
连续上攻,lian'xu'shang'gong
连续上涨,lian'xu'shang'zhang
连续突破,lian'xu'tu'po
连续下跌,lian'xu'xia'die
连续性市场,lian'xu'xing'shi'chang
连续盈利,lian'xu'ying'li
连续债券,lian'xu'zhai'quan
连续涨停,lian'xu'zhang'ting
连续走强,lian'xu'zou'qiang
联谊投票,lian'yi'tou'piao
廉租房,lian'zu'fang
量化核心,liang'hua'he'xin
良茂期货,liang'mao'qi'huo
两面针,liang'mian'zhen
量能,liang'neng
量身定制,liang'shen'ding'zhi
两市大跌,liang'shi'da'die
量缩价跌,liang'suo'jia'die
两位数的通货膨胀,liang'wei'shu'de'tong'huo'peng'zhang
良性局面,liang'xing'ju'mian
量子基金,liang'zi'ji'jin
辽国能,liao'guo'neng
了解你客户,liao'jie'ni'ke'hu
辽宁成大,liao'ning'cheng'da
辽宁时代,liao'ning'shi'dai
辽通化工,liao'tong'hua'gong
辽源得亨,liao'yuan'de'heng
列入监管,lie'ru'jian'guan
临额,lin'e
林凡顺,lin'fan'shun
林海股份,lin'hai'gu'fen
临时沟通,lin'shi'gou'tong
临时纳税人,lin'shi'na'shui'ren
临时契约,lin'shi'qi'yue
临时停牌,lin'shi'ting'pai
临时召开,lin'shi'zhao'kai
临时准备金,lin'shi'zhun'bei'jin
林羽今,lin'yu'jin
林子滟,lin'zi'yan
零存整取,ling'cun'zheng'qu
零存整取的,ling'cun'zheng'qu'de
领导集体,ling'dao'ji'ti
领跌,ling'die
零跌码,ling'die'ma
凌钢股份,ling'gang'gu'fen
领购簿,ling'gou'bu
领购资格,ling'gou'zi'ge
零股,ling'gu
零股交易费,ling'gu'jiao'yi'fei
零股交易理论,ling'gu'jiao'yi'li'lun
零股卖空,ling'gu'mai'kong
零股买卖,ling'gu'mai'mai
零和博弈,ling'he'bo'yi
灵活度较高,ling'huo'du'jiao'gao
灵活运用,ling'huo'yun'yong
零基差,ling'ji'cha
零加码,ling'jia'ma
零减码,ling'jian'ma
领军者,ling'jun'zhe
另库存放,ling'ku'cun'fang
领票,ling'piao
领票户,ling'piao'hu
领取汇款,ling'qu'hui'kuan
领取年金者,ling'qu'nian'jin'zhe
领取通知书,ling'qu'tong'zhi'shu
羚锐股份,ling'rui'gu'fen
零散税收,ling'san'shui'shou
另收,ling'shou
零手,ling'shou
零售定存单,ling'shou'ding'cun'dan
零首付,ling'shou'fu
零售回购协议,ling'shou'hui'gou'xie'yi
零售经纪行,ling'shou'jing'ji'xing
领受年金者,ling'shou'nian'jin'zhe
零售投资者,ling'shou'tou'zi'zhe
零售网络,ling'shou'wang'luo
零售银行,ling'shou'yin'hang
灵通卡,ling'tong'ka
零息,ling'xi
零息国债,ling'xi'guo'zhai
领先承销商,ling'xian'cheng'xiao'shang
领先地位,ling'xian'di'wei
领先科技,ling'xian'ke'ji
领先增长,ling'xian'zeng'zhang
另行公告,ling'xing'gong'gao
零星股,ling'xing'gu
另行通知,ling'xing'tong'zhi
另有打算,ling'you'da'suan
