阿拔斯一世,a'ba'si'yi'shi
国号汉,guo'hao'han
国号晋,guo'hao'jin
国号金,guo'hao'jin
国号梁,guo'hao'liang
国号辽,guo'hao'liao
国号齐史称伪齐,guo'hao'qi'shi'cheng'wei'qi
国号蜀,guo'hao'shu
国号宋,guo'hao'song
国号唐,guo'hao'tang
国号魏,guo'hao'wei
国号为元,guo'hao'wei'yuan
国号越,guo'hao'yue
郭桓,guo'huan
国会纵火案,guo'hui'zong'huo'an
国际裁军会议,guo'ji'cai'jun'hui'yi
国际反法西斯同盟,guo'ji'fan'fa'xi'si'tong'meng
国际歌,guo'ji'ge
国际联盟,guo'ji'lian'meng
国际纵队,guo'ji'zong'dui
国家财源已呈枯竭,guo'jia'cai'yuan'yi'cheng'ku'jie
国家的,guo'jia'de
国家得以富强,guo'jia'de'yi'fu'qiang
国家的政治,guo'jia'de'zheng'zhi
国家分裂,guo'jia'fen'lie
国家根据,guo'jia'gen'ju
国家经济,guo'jia'jing'ji
国家权力,guo'jia'quan'li
国家统治机构,guo'jia'tong'zhi'ji'gou
国家相对安定,guo'jia'xiang'dui'an'ding
国家已经,guo'jia'yi'jing
国家之一,guo'jia'zhi'yi
国君,guo'jun
国君称王前使用,guo'jun'cheng'wang'qian'shi'yong
国君的,guo'jun'de
国君对,guo'jun'dui
国君之手,guo'jun'zhi'shou
国君之下,guo'jun'zhi'xia
国库也,guo'ku'ye
国力,guo'li
国力较弱而刘邦,guo'li'jiao'ruo'er'liu'bang
国力较盛,guo'li'jiao'sheng
国力空虚,guo'li'kong'xu
国力强大,guo'li'qiang'da
国力强盛,guo'li'qiang'sheng
国力强盛的,guo'li'qiang'sheng'de
国力衰弱,guo'li'shuai'ruo
国力下降,guo'li'xia'jiang
国力迅速衰败,guo'li'xun'su'shuai'bai
国力主要,guo'li'zhu'yao
国力最强盛,guo'li'zui'qiang'sheng
郭沫若,guo'mo'ruo
国内大乱,guo'nei'da'luan
国内的南北对峙,guo'nei'de'nan'bei'dui'zhi
国内外交通也空前发达,guo'nei'wai'jiao'tong'ye'kong'qian'fa'da
郭钦,guo'qin
国势日衰,guo'shi'ri'shuai
过世之后,guo'shi'zhi'hou
国土狭小,guo'tu'xia'xiao
国外的,guo'wai'de
国王李,guo'wang'li
郭威,guo'wei
国相,guo'xiang
国相子之,guo'xiang'zi'zhi
国学数典,guo'xue'shu'dian
国学数典论坛,guo'xue'shu'dian'lun'tan
过于强大,guo'yu'qiang'da
过于软弱,guo'yu'ruan'ruo
国政为,guo'zheng'wei
郭子兴,guo'zi'xing
国祚短暂,guo'zuo'duan'zan
哈德良长城,ha'de'liang'chang'cheng
哈拉巴文化,ha'la'ba'wen'hua
哈剌哈孙,ha'la'ha'sun
哈拉和林,ha'la'he'lin
哈拉帕文化,ha'la'pa'wen'hua
哈里发,ha'li'fa
哈密,ha'mi
还把战国时秦,hai'ba'zhan'guo'shi'qin
还包括,hai'bao'kuo
还保留着,hai'bao'liu'zhe
还比较大,hai'bi'jiao'da
还不满,hai'bu'man
还采取了,hai'cai'qu'le
海地革命,hai'di'ge'ming
海都,hai'du
海都先胜后败,hai'du'xian'sheng'hou'bai
海都之子,hai'du'zhi'zi
还各赐铠马一匹,hai'ge'ci'kai'ma'yi'pi
还隔着一道,hai'ge'zhe'yi'dao
还规定了,hai'gui'ding'le
海护王,hai'hu'wang
还互相,hai'hu'xiang
还看到,hai'kan'dao
海兰泡,hai'lan'pao
海兰泡惨案,hai'lan'pao'can'an
海陵王,hai'ling'wang
海陵王完颜亮,hai'ling'wang'wan'yan'liang
海陵王萧昭文,hai'ling'wang'xiao'zhao'wen
还掳掠了,hai'lu'lue'le
还没有出版,hai'mei'you'chu'ban
海迷失后,hai'mi'shi'hou
还模仿了,hai'mo'fang'le
海内清平,hai'nei'qing'ping
还企图废顺帝另立,hai'qi'tu'fei'shun'di'ling'li
海山,hai'shan
海山即帝位,hai'shan'ji'di'wei
海山任用亲信,hai'shan'ren'yong'qin'xin
海上贸易,hai'shang'mao'yi
还是我,hai'shi'wo
还是由满学家,hai'shi'you'man'xue'jia
海兽葡萄镜,hai'shou'pu'tao'jing
还数度,hai'shu'du
害死幽王,hai'si'you'wang
孩提,hai'ti
还魏,hai'wei
海西公,hai'xi'gong
海西公司马奕,hai'xi'gong'si'ma'yi
海西国,hai'xi'guo
海西四部,hai'xi'si'bu
还兴办了,hai'xing'ban'le
海阳王,hai'yang'wang
海阳王石弘,hai'yang'wang'shi'hong
还依然保留外,hai'yi'ran'bao'liu'wai
还用,hai'yong
还有夺顺帝之位的野心,hai'you'duo'shun'di'zhi'wei'de'ye'xin
还允许,hai'yun'xu
还掌握了,hai'zhang'wo'le
还主管,hai'zhu'guan
汉哀帝,han'ai'di
汉哀帝刘欣,han'ai'di'liu'xin
韩哀侯,han'ai'hou
汉安帝,han'an'di
汉安帝刘祜,han'an'di'liu'hu
韩安王,han'an'wang
汉堡工人起义,han'bao'gong'ren'qi'yi
汉朝采用,han'chao'cai'yong
汉朝的,han'chao'de
汉朝皇帝,han'chao'huang'di
汉朝经历,han'chao'jing'li
汉朝是,han'chao'shi
汉朝统治时期,han'chao'tong'zhi'shi'qi
汉朝先后出现了,han'chao'xian'hou'chu'xian'le
汉朝以,han'chao'yi
汉朝以来,han'chao'yi'lai
汉朝正朔,han'chao'zheng'shuo
汉成帝,han'cheng'di
汉成帝刘骜,han'cheng'di'liu'ao
汉冲帝,han'chong'di
汉冲帝刘炳,han'chong'di'liu'bing
汉代,han'dai
汉代起初在,han'dai'qi'chu'zai
汉帝国,han'di'guo
汉帝刘聪,han'di'liu'cong
韩都城,han'du'cheng
韩非,han'fei
寒风的卷积下,han'feng'de'juan'ji'xia
汉高帝,han'gao'di
汉高帝刘邦,han'gao'di'liu'bang
汉高后,han'gao'hou
汉高后吕雉,han'gao'hou'lv'zhi
汉高祖,han'gao'zu
汉高祖刘邦,han'gao'zu'liu'bang
汉高祖元年,han'gao'zu'yuan'nian
函谷关,han'gu'guan
函谷之坚,han'gu'zhi'jian
汉光武帝,han'guang'wu'di
汉光武帝刘秀,han'guang'wu'di'liu'xiu
韩国公,han'guo'gong
捍海石塘,han'hai'shi'tang
汉和帝,han'he'di
汉和帝刘肇,han'he'di'liu'zhao
汉化程度,han'hua'cheng'du
汉桓帝,han'huan'di
汉桓帝刘志,han'huan'di'liu'zhi
韩桓惠王,han'huan'hui'wang
汉惠帝,han'hui'di
汉惠帝刘盈,han'hui'di'liu'ying
汉惠帝刘盈继位,han'hui'di'liu'ying'ji'wei
汉景帝,han'jing'di
汉景帝刘启,han'jing'di'liu'qi
韩景侯,han'jing'hou
汉军,han'jun
汉军饥疫,han'jun'ji'yi
汉军中二支最强的队伍,han'jun'zhong'er'zhi'zui'qiang'de'dui'wu
韩烈侯,han'lie'hou
韩林儿,han'lin'er
韩林儿为帝,han'lin'er'wei'di
汉灵帝,han'ling'di
汉灵帝刘宏,han'ling'di'liu'hong
汉明帝,han'ming'di
汉明帝刘庄,han'ming'di'liu'zhuang
汉穆拉比,han'mu'la'bi
汉穆拉比法典,han'mu'la'bi'fa'dian
汉平帝,han'ping'di
汉平帝刘衎,han'ping'di'liu'kan
寒人,han'ren
汉人,han'ren
汉人纷纷,han'ren'fen'fen
汉人每十三壮丁,han'ren'mei'shi'san'zhuang'ding
韩山童,han'shan'tong
汉殇帝,han'shang'di
汉殇帝刘隆,han'shang'di'liu'long
汉少帝,han'shao'di
汉少帝刘辨,han'shao'di'liu'bian
韩世忠,han'shi'zhong
汉书,han'shu
汉顺帝,han'shun'di
汉顺帝刘保,han'shun'di'liu'bao
韩遂,han'sui
汉王算起,han'wang'suan'qi
捍卫了赵,han'wei'le'zhao
汉魏六朝,han'wei'liu'chao
汉文帝,han'wen'di
汉文帝刘恒,han'wen'di'liu'heng
韩文侯,han'wen'hou
汉文化,han'wen'hua
汉文译音,han'wen'yi'yin
汉文译音是,han'wen'yi'yin'shi
汉武,han'wu
汉武帝,han'wu'di
汉武帝刘彻,han'wu'di'liu'che
汉武帝晚年,han'wu'di'wan'nian
韩僖王,han'xi'wang
汉献帝,han'xian'di
汉献帝刘协,han'xian'di'liu'xie
汉献帝迁到,han'xian'di'qian'dao
韩襄王,han'xiang'wang
韩信,han'xin
汉宣帝,han'xuan'di
汉宣帝刘询,han'xuan'di'liu'xun
韩宣惠王,han'xuan'hui'wang
汉延康元年正月,han'yan'kang'yuan'nian'zheng'yue
韩懿侯,han'yi'hou
韩愈,han'yu
汉元帝,han'yuan'di
汉元帝即位,han'yuan'di'ji'wei
汉元帝刘奭,han'yuan'di'liu'shi
汉章帝,han'zhang'di
汉章帝刘炟,han'zhang'di'liu'da
汉昭帝,han'zhao'di
汉昭帝刘弗陵,han'zhao'di'liu'fu'ling
韩昭侯,han'zhao'hou
韩赵魏,han'zhao'wei
汉制,han'zhi
韩之兵,han'zhi'bing
汉质帝,han'zhi'di
汉质帝刘缵,han'zhi'di'liu'zuan
汉中地六百里,han'zhong'di'liu'bai'li
汉中地区,han'zhong'di'qu
汉主刘渊,han'zhu'liu'yuan
汉族地主,han'zu'di'zhu
汉族地主豪强,han'zu'di'zhu'hao'qiang
汉族地主阶级的支持,han'zu'di'zhu'jie'ji'de'zhi'chi
汉族地主也大肆兼并土地,han'zu'di'zhu'ye'da'si'jian'bing'tu'di
汉族建立,han'zu'jian'li
汉族奴隶取得了,han'zu'nu'li'qu'de'le
汉族女子,han'zu'nv'zi
汉族人民,han'zu'ren'min
汉族人士,han'zu'ren'shi
汉族少女,han'zu'shao'nv
汉族为主的,han'zu'wei'zhu'de
汉族文人,han'zu'wen'ren
汉族原来,han'zu'yuan'lai
汉族张氏,han'zu'zhang'shi
汉族政权,han'zu'zheng'quan
杭爱山区,hang'ai'shan'qu
号大蒙古国,hao'da'meng'gu'guo
好大喜功,hao'da'xi'gong
耗费了巨大的,hao'fei'le'ju'da'de
镐京之东,hao'jing'zhi'dong
好女色,hao'nv'se
豪强地主武装,hao'qiang'di'zhu'wu'zhuang
好人政府,hao'ren'zheng'fu
好色之徒,hao'se'zhi'tu
好在黄天,hao'zai'huang'tian
和按人头征收,he'an'ren'tou'zheng'shou
和百越,he'bai'yue
河北白沟河,he'bei'bai'gou'he
河北北部,he'bei'bei'bu
和北部地区,he'bei'bu'di'qu
河北的,he'bei'de
和北方,he'bei'fang
河北三镇,he'bei'san'zhen
河北赵县,he'bei'zhao'xian
和北周,he'bei'zhou
合不勒,he'bu'le
和陈,he'chen
合称两汉,he'cheng'liang'han
合称为,he'cheng'wei
合称五代十国,he'cheng'wu'dai'shi'guo
和此后,he'ci'hou
和刺史,he'ci'shi
河亶甲,he'dan'jia
和帝,he'di
和第,he'di
和籴法,he'di'fa
和地方,he'di'fang
和地方的,he'di'fang'de
和帝萧宝融,he'di'xiao'bao'rong
河东各有其主,he'dong'ge'you'qi'zhu
河东节度使,he'dong'jie'du'shi
河东十二州,he'dong'shi'er'zhou
赫尔岑,he'er'cen
赫尔曼,he'er'man
合而为一,he'er'wei'yi
和关中一带,he'guan'zhong'yi'dai
和国土,he'guo'tu
和后来,he'hou'lai
合乎规格,he'hu'gui'ge
和加强,he'jia'qiang
河间王,he'jian'wang
河间王颙,he'jian'wang'yong
河间王颙相继,he'jian'wang'yong'xiang'ji
河间王颙又从关中,he'jian'wang'yong'you'cong'guan'zhong
和将领,he'jiang'ling
何进,he'jin
和金朝,he'jin'chao
何进等,he'jin'deng
合金技术之巧,he'jin'ji'shu'zhi'qiao
何惧进退无地乎,he'ju'jin'tui'wu'di'hu
和据守云南的元朝,he'ju'shou'yun'nan'de'yuan'chao
和军事组织,he'jun'shi'zu'zhi
何夔,he'kui
和李斯,he'li'si
赫连勃勃,he'lian'bo'bo
赫连昌,he'lian'chang
赫连定,he'lian'ding
和刘邦,he'liu'bang
贺龙,he'long
河洛,he'luo
和洛阳,he'luo'yang
阖闾,he'lv
荷马史诗,he'ma'shi'shi
何能为寇,he'neng'wei'kou
和牛耕的推广,he'niu'geng'de'tui'guang
和农具,he'nong'ju
和农业生产,he'nong'ye'sheng'chan
和努尔哈赤,he'nu'er'ha'chi
和评议,he'ping'yi
和平运动,he'ping'yun'dong
何其神也,he'qi'shen'ye
和亲,he'qin
和秦川,he'qin'chuan
和亲政策,he'qin'zheng'ce
和铨政,he'quan'zheng
和日本,he'ri'ben
和入关,he'ru'guan
贺邵,he'shao
和社会,he'she'hui
和市被,he'shi'bei
核实九品的评定,he'shi'jiu'pin'de'ping'ding
和世瓎,he'shi'la
核实税入,he'shi'shui'ru
和世在和林北即帝位,he'shi'zai'he'lin'bei'ji'di'wei
河朔既定,he'shuo'ji'ding
何所及邪,he'suo'ji'xie
和他的,he'ta'de
和他历年的训言,he'ta'li'nian'de'xun'yan
何太后,he'tai'hou
和同开弥,he'tong'kai'mi
和同时期的,he'tong'shi'qi'de
赫图阿拉,he'tu'a'la
赫图阿拉称汗,he'tu'a'la'cheng'han
合为一体,he'wei'yi'ti
合围之,he'wei'zhi
和鲜卑武人,he'xian'bei'wu'ren
何香凝,he'xiang'ning
核心民族,he'xin'min'zu
和燕国,he'yan'guo
河阳和洛阳,he'yang'he'luo'yang
和依附人口,he'yi'fu'ren'kou
和赵国的中国人,he'zhao'guo'de'zhong'guo'ren
和之后的,he'zhi'hou'de
河中与凤翔,he'zhong'yu'feng'xiang
和中原,he'zhong'yuan
和诸侯会盟,he'zhu'hou'hui'meng
和铸钱,he'zhu'qian
合纵,he'zong
合纵攻秦,he'zong'gong'qin
黑格尔,hei'ge'er
黑红两色弓箭,hei'hong'liang'se'gong'jian
黑龙江以北,hei'long'jiang'yi'bei
黑色粗线,hei'se'cu'xian
很残忍,hen'can'ren
很大影响,hen'da'ying'xiang
很多关于,hen'duo'guan'yu
很多战争的胜利,hen'duo'zhan'zheng'de'sheng'li
很方便,hen'fang'bian
很快取代了,hen'kuai'qu'dai'le
很少注意,hen'shao'zhu'yi
横吊在腰背部,heng'diao'zai'yao'bei'bu
横扫六国,heng'sao'liu'guo
横山,heng'shan
横徵暴敛,heng'zheng'bao'lian
洪堡,hong'bao
洪承畴被俘,hong'cheng'chou'bei'fu
洪承畴率,hong'cheng'chou'lv
红巾军,hong'jin'jun
红巾军起义,hong'jin'jun'qi'yi
红巾军起义爆发,hong'jin'jun'qi'yi'bao'fa
弘历,hong'li
洪门,hong'men
洪仁,hong'ren
红衫军,hong'shan'jun
泓水,hong'shui
洪水氾滥,hong'shui'fan'lan
洪天贵福,hong'tian'gui'fu
洪武廿六年,hong'wu'nian'liu'nian
洪武廿三年,hong'wu'nian'san'nian
洪武时期,hong'wu'shi'qi
洪武元年七月,hong'wu'yuan'nian'qi'yue
洪秀全,hong'xiu'quan
弘治,hong'zhi
弘治中兴,hong'zhi'zhong'xing
后便,hou'bian
侯伯,hou'bo
后撤到,hou'che'dao
后陈,hou'chen
后发制人,hou'fa'zhi'ren
后方基地,hou'fang'ji'di
后废帝,hou'fei'di
后废帝刘昱,hou'fei'di'liu'yu
后改称,hou'gai'cheng
后汉,hou'han
后汉的,hou'han'de
后汉高祖,hou'han'gao'zu
后汉亡,hou'han'wang
厚厚的眉毛,hou'hou'de'mei'mao
后几次,hou'ji'ci
后建立的,hou'jian'li'de
后晋,hou'jin
后金,hou'jin
后金第二代君主,hou'jin'di'er'dai'jun'zhu
后晋高祖,hou'jin'gao'zu
后金面临的,hou'jin'mian'lin'de
后晋灭亡,hou'jin'mie'wang
后金努尔哈赤以,hou'jin'nu'er'ha'chi'yi
后金社会动荡不安,hou'jin'she'hui'dong'dang'bu'an
后晋时,hou'jin'shi
后晋与契丹,hou'jin'yu'qi'dan
后金政权,hou'jin'zheng'quan
后就逝世了那时他才有,hou'jiu'shi'shi'le'na'shi'ta'cai'you
后来的,hou'lai'de
后来改姓,hou'lai'gai'xing
后来攻打重庆,hou'lai'gong'da'chong'qing
后来竟为互相争地盘而开战,hou'lai'jing'wei'hu'xiang'zheng'di'pan'er'kai'zhan
后来秦始皇,hou'lai'qin'shi'huang
后来冉闵,hou'lai'ran'min
后来他,hou'lai'ta
后来他成了,hou'lai'ta'cheng'le
后来徐寿辉被害,hou'lai'xu'shou'hui'bei'hai
后来因为,hou'lai'yin'wei
后来又,hou'lai'you
后凉,hou'liang
后梁,hou'liang
后梁大将,hou'liang'da'jiang
后梁封,hou'liang'feng
后梁和后周,hou'liang'he'hou'zhou
后梁建国今山西,hou'liang'jian'guo'jin'shan'xi
后梁开平元年,hou'liang'kai'ping'yuan'nian
后梁内乱,hou'liang'nei'luan
后梁太祖,hou'liang'tai'zu
后梁亡,hou'liang'wang
后梁与晋,hou'liang'yu'jin
后梁贞明三年,hou'liang'zhen'ming'san'nian
后梁最小,hou'liang'zui'xiao
侯马大批,hou'ma'da'pi
后明军,hou'ming'jun
后期的衰亡,hou'qi'de'shuai'wang
后迁都,hou'qian'du
后迁辽阳沈阳,hou'qian'liao'yang'shen'yang
后秦,hou'qin
后设,hou'she
侯生,hou'sheng
后世,hou'shi
后世计,hou'shi'ji
后蜀,hou'shu
后宋君偃十一年,hou'song'jun'yan'shi'yi'nian
后虽欲悔,hou'sui'yu'hui
后随着一系列不平等条约的签定,hou'sui'zhe'yi'xi'lie'bu'ping'deng'tiao'yue'de'qian'ding
后唐,hou'tang
后唐封,hou'tang'feng
后唐时,hou'tang'shi
后唐同光三年,hou'tang'tong'guang'san'nian
后唐亡天福二年,hou'tang'wang'tian'fu'er'nian
后唐以来,hou'tang'yi'lai
后唐最大,hou'tang'zui'da
后为南唐,hou'wei'nan'tang
后燕,hou'yan
后炀帝,hou'yang'di
后一段是,hou'yi'duan'shi
后又,hou'you
后又兼并,hou'you'jian'bing
后又在周朝作官,hou'you'zai'zhou'chao'zuo'guan
后赵,hou'zhao
后赵建立者,hou'zhao'jian'li'zhe
后赵灭亡,hou'zhao'mie'wang
后赵势力强大,hou'zhao'shi'li'qiang'da
后赵氏游说,hou'zhao'shi'you'shui
后者地位,hou'zhe'di'wei
后周,hou'zhou
后周太祖,hou'zhou'tai'zu
后主,hou'zhu
后主高纬,hou'zhu'gao'wei
后主李势,hou'zhu'li'shi
后主李煜,hou'zhu'li'yu
后主刘鋹,hou'zhu'liu'chang
后主乞伏暮末,hou'zhu'qi'fu'mu'mo
后主王衍,hou'zhu'wang'yan
后主萧琮,hou'zhu'xiao'cong
后主姚泓,hou'zhu'yao'hong
湖北省有,hu'bei'sheng'you
湖北浠水县人,hu'bei'xi'shui'xian'ren
忽必烈,hu'bi'lie
忽必烈得知蒙哥死讯,hu'bi'lie'de'zhi'meng'ge'si'xun
忽必烈对邻近诸国发动了一系列战争,hu'bi'lie'dui'lin'jin'zhu'guo'fa'dong'le'yi'xi'lie'zhan'zheng
忽必烈巩固对中原汉地的统治后,hu'bi'lie'gong'gu'dui'zhong'yuan'han'di'de'tong'zhi'hou
忽必烈命伯颜督诸军,hu'bi'lie'ming'bo'yan'du'zhu'jun
忽必烈命皇子北平王那木罕出镇阿力麻里,hu'bi'lie'ming'huang'zi'bei'ping'wang'na'mu'han'chu'zhen'a'li'ma'li
忽必烈擒乃颜,hu'bi'lie'qin'nai'yan
忽必烈亲自率师北征,hu'bi'lie'qin'zi'shuai'shi'bei'zheng
忽必烈孙,hu'bi'lie'sun
忽必烈与,hu'bi'lie'yu
忽必烈于年克大理城,hu'bi'lie'yu'nian'ke'da'li'cheng
忽必烈在大都去世,hu'bi'lie'zai'da'dou'qu'shi
忽必烈在与阿里不哥争位战争之初,hu'bi'lie'zai'yu'a'li'bu'ge'zheng'wei'zhan'zheng'zhi'chu
忽必烈子,hu'bi'lie'zi
忽必烈最后一次率军亲征,hu'bi'lie'zui'hou'yi'ci'shuai'jun'qin'zheng
互不相关,hu'bu'xiang'guan
胡佛,hu'fo
胡服骑射,hu'fu'qi'she
胡格诺战争,hu'ge'nuo'zhan'zheng
护国永兴凤翔,hu'guo'yong'xing'feng'xiang
护国有功,hu'guo'you'gong
胡亥,hu'hai
胡锦涛,hu'jin'tao
护军,hu'jun
护军将军,hu'jun'jiang'jun
户口的,hu'kou'de
户口登记制,hu'kou'deng'ji'zhi
胡蓝党狱,hu'lan'dang'yu
虎牢,hu'lao
呼罗珊,hu'luo'shan
湖南节度使,hu'nan'jie'du'shi
湖南诸州,hu'nan'zhu'zhou
胡人的暴行,hu'ren'de'bao'xing
胡人受,hu'ren'shou
胡人已,hu'ren'yi
胡适,hu'shi
胡司战争,hu'si'zhan'zheng
护送下,hu'song'xia
护送周平王,hu'song'zhou'ping'wang
户调,hu'tiao
户调的,hu'tiao'de
户调取代,hu'tiao'qu'dai
胡惟庸,hu'wei'yong
胡惟庸大肆收取贿赂,hu'wei'yong'da'si'shou'qu'hui'lu
护西域,hu'xi'yu
互相残杀的结果,hu'xiang'can'sha'de'jie'guo
互相残杀和君主之昏庸,hu'xiang'can'sha'he'jun'zhu'zhi'hun'yong
互相承认,hu'xiang'cheng'ren
互相攻伐,hu'xiang'gong'fa
互相混战,hu'xiang'hun'zhan
互相战争,hu'xiang'zhan'zheng
互相争斗,hu'xiang'zheng'dou
呼啸的北风,hu'xiao'de'bei'feng
胡耀邦,hu'yao'bang
户依资财贫富分为九等,hu'yi'zi'cai'pin'fu'fen'wei'jiu'deng
互有矛盾,hu'you'mao'dun
胡志明,hu'zhi'ming
互助论,hu'zhu'lun
胡族和汉族,hu'zu'he'han'zu
胡族为主,hu'zu'wei'zhu
华北地区的,hua'bei'di'qu'de
华北平原地区,hua'bei'ping'yuan'di'qu
划定了中俄东段边界,hua'ding'le'zhong'e'dong'duan'bian'jie
华俄道胜银行,hua'e'dao'sheng'yin'hang
华夫脱,hua'fu'tuo
华夫脱党,hua'fu'tuo'dang
华国锋,hua'guo'feng
花甲,hua'jia
花拉子模新,hua'la'zi'mo'xin
华罗庚,hua'luo'geng
华人聚居处,hua'ren'ju'ju'chu
华沙条约组织,hua'sha'tiao'yue'zu'zhi
华盛顿,hua'sheng'dun
华盛顿会议,hua'sheng'dun'hui'yi
华氏城,hua'shi'cheng
滑台,hua'tai
花天酒地之中,hua'tian'jiu'di'zhi'zhong
滑铁卢,hua'tie'lu
滑铁卢战役,hua'tie'lu'zhan'yi
华佗,hua'tuo
花纹之铸造,hua'wen'zhi'zhu'zao
华夏各国中,hua'xia'ge'guo'zhong
华夏民族共同体,hua'xia'min'zu'gong'tong'ti
华夏族,hua'xia'zu
花信年华,hua'xin'nian'hua
华夷之辩意识,hua'yi'zhi'bian'yi'shi
怀帝,huai'di
怀公,huai'gong
淮河分别,huai'he'fen'bie
淮河以北,huai'he'yi'bei
淮军,huai'jun
淮南十四州,huai'nan'shi'si'zhou
淮扬巡抚,huai'yang'xun'fu
怀之以德,huai'zhi'yi'de
桓公,huan'gong
宦官集团,huan'guan'ji'tuan
宦官王振开始擅权,huan'guan'wang'zhen'kai'shi'shan'quan
宦官之时,huan'guan'zhi'shi
欢呼声,huan'hu'sheng
缓缓投向,huan'huan'tou'xiang
换回了,huan'hui'le
换取和平,huan'qu'he'ping
换取契丹援助,huan'qu'qi'dan'yuan'zhu
桓温,huan'wen
还乡,huan'xiang
桓玄,huan'xuan
还政于,huan'zheng'yu
桓宗,huan'zong
桓宗李纯祐,huan'zong'li'chun'you
黄肠题凑,huang'chang'ti'cou
皇朝的,huang'chao'de
皇朝历史的,huang'chao'li'shi'de
皇朝历史中,huang'chao'li'shi'zhong
黄巢之乱,huang'chao'zhi'luan
黄巢之乱后,huang'chao'zhi'luan'hou
黄池,huang'chi
黄道婆,huang'dao'po
黄帝,huang'di
皇帝把,huang'di'ba
皇帝成为傀儡不能决策大事,huang'di'cheng'wei'kui'lei'bu'neng'jue'ce'da'shi
皇帝大多不理国政贪图享受腐化至极,huang'di'da'duo'bu'li'guo'zheng'tan'tu'xiang'shou'fu'hua'zhi'ji
皇帝大权独揽,huang'di'da'quan'du'lan
皇帝怠政,huang'di'dai'zheng
黄帝公孙轩辕,huang'di'gong'sun'xuan'yuan
皇帝临幸,huang'di'lin'xing
黄帝内经,huang'di'nei'jing
皇帝手里,huang'di'shou'li
皇帝自杀,huang'di'zi'sha
黄公略,huang'gong'lue
黄河岸边,huang'he'an'bian
黄河决堤,huang'he'jue'di
黄河两岸,huang'he'liang'an
黄河流域,huang'he'liu'yu
黄河南北的广大地区,huang'he'nan'bei'de'guang'da'di'qu
黄河与,huang'he'yu
黄河中下游地区,huang'he'zhong'xia'you'di'qu
皇后乃马真氏称制,huang'hou'nai'ma'zhen'shi'cheng'zhi
皇极历,huang'ji'li
黄金成色,huang'jin'cheng'se
黄巾军,huang'jin'jun
黄巾起义,huang'jin'qi'yi
黄金钱币,huang'jin'qian'bi
黄金诏书,huang'jin'zhao'shu
黄口,huang'kou
黄老,huang'lao
黄老学说,huang'lao'xue'shuo
黄老政策,huang'lao'zheng'ce
皇庆二年恢复科举取士制度,huang'qing'er'nian'hui'fu'ke'ju'qu'shi'zhi'du
皇权,huang'quan
黄仁宇,huang'ren'yu
皇室内部,huang'shi'nei'bu
皇太弟,huang'tai'di
皇太后,huang'tai'hou
皇太极,huang'tai'ji
皇太极颁布,huang'tai'ji'ban'bu
皇太极不宣而战,huang'tai'ji'bu'xuan'er'zhan
皇太极采取,huang'tai'ji'cai'qu
皇太极对他们封王封侯,huang'tai'ji'dui'ta'men'feng'wang'feng'hou
皇太极发生,huang'tai'ji'fa'sheng
皇太极仿照明制,huang'tai'ji'fang'zhao'ming'zhi
皇太极继位之初,huang'tai'ji'ji'wei'zhi'chu
皇太极借机以,huang'tai'ji'jie'ji'yi
皇太极命,huang'tai'ji'ming
皇太极深知,huang'tai'ji'shen'zhi
皇太极通过,huang'tai'ji'tong'guo
皇太极以阿敏,huang'tai'ji'yi'a'min
皇太极用联姻,huang'tai'ji'yong'lian'yin
皇太极又以朝鲜,huang'tai'ji'you'yi'chao'xian
皇太极在国内,huang'tai'ji'zai'guo'nei
皇太极在沈阳称帝,huang'tai'ji'zai'shen'yang'cheng'di
皇太极在盛京,huang'tai'ji'zai'sheng'jing
皇太极指挥作战,huang'tai'ji'zhi'hui'zuo'zhan
皇太极执政伊始,huang'tai'ji'zhi'zheng'yi'shi
皇太极终于,huang'tai'ji'zhong'yu
皇太极逐步建立,huang'tai'ji'zhu'bu'jian'li
皇太极注意,huang'tai'ji'zhu'yi
皇太子,huang'tai'zi
黄歇,huang'xie
黄兴,huang'xing
皇族李氏,huang'zu'li'shi
皇族以外,huang'zu'yi'wai
惠帝,hui'di
惠帝被俘入邺,hui'di'bei'fu'ru'ye
惠帝时,hui'di'shi
惠帝王延钧,hui'di'wang'yan'jun
惠帝永兴元年,hui'di'yong'xing'yuan'nian
恢复大唐国号,hui'fu'da'tang'guo'hao
恢复和发展,hui'fu'he'fa'zhan
恢复结盟关系,hui'fu'jie'meng'guan'xi
恢复科举取士,hui'fu'ke'ju'qu'shi
恢复了,hui'fu'le
恢复礼法,hui'fu'li'fa
恢复农业生产,hui'fu'nong'ye'sheng'chan
恢复强大起来,hui'fu'qiang'da'qi'lai
恢复社会的经济生产,hui'fu'she'hui'de'jing'ji'sheng'chan
辉格党,hui'ge'dang
惠公,hui'gong
会合齐,hui'he'qi
会合燕赵等,hui'he'yan'zhao'deng
回鹘可汗,hui'hu'ke'han
绘画音乐舞蹈,hui'hua'yin'yue'wu'dao
辉煌的成就,hui'huang'de'cheng'jiu
辉煌的文明,hui'huang'de'wen'ming
会集江南兵力于寿春,hui'ji'jiang'nan'bing'li'yu'shou'chun
回晋,hui'jin
回军北上,hui'jun'bei'shang
贿赂吴臣,hui'lu'wu'chen
回洛阳,hui'luo'yang
会盟霸主,hui'meng'ba'zhu
会盟于徐,hui'meng'yu'xu
惠施,hui'shi
