安全带,an'quan'dai
简支梁,jian'zhi'liang
简支梁桥,jian'zhi'liang'qiao
建筑材料,jian'zhu'cai'liao
搅拌器,jiao'ban'qi
脚手架,jiao'shou'jia
街道照明和有关设备,jie'dao'zhao'ming'he'you'guan'she'bei
街道照明设备街道照明设备,jie'dao'zhao'ming'she'bei'jie'dao'zhao'ming'she'bei
节点,jie'dian
节点板,jie'dian'ban
节点板接头,jie'dian'ban'jie'tou
节点板联结,jie'dian'ban'lian'jie
节点荷载,jie'dian'he'zai
节点力,jie'dian'li
结构安全度,jie'gou'an'quan'du
结构动力学,jie'gou'dong'li'xue
结构分析,jie'gou'fen'xi
结构钢,jie'gou'gang
结构钢构件,jie'gou'gang'gou'jian
结构工程,jie'gou'gong'cheng
结构工程师,jie'gou'gong'cheng'shi
结构加固工程,jie'gou'jia'gu'gong'cheng
结构控制,jie'gou'kong'zhi
结构控制剂,jie'gou'kong'zhi'ji
结构力学,jie'gou'li'xue
结构稳定性,jie'gou'wen'ding'xing
结构稳定性标准,jie'gou'wen'ding'xing'biao'zhun
结构稳定性分析,jie'gou'wen'ding'xing'fen'xi
结构形式,jie'gou'xing'shi
结构优化设计结构优化设计,jie'gou'you'hua'she'ji'jie'gou'you'hua'she'ji
结构有限元结构有限元分析,jie'gou'you'xian'yuan'jie'gou'you'xian'yuan'fen'xi
结构重要性系数结构重要性系数,jie'gou'zhong'yao'xing'xi'shu'jie'gou'zhong'yao'xing'xi'shu
结构自重,jie'gou'zi'zhong
结果摘要,jie'guo'zhai'yao
结合力,jie'he'li
节理,jie'li
节理型裂缝节理型裂缝,jie'li'xing'lie'feng'jie'li'xing'lie'feng
接立柱,jie'li'zhu
截面回转半径,jie'mian'hui'zhuan'ban'jing
截面弯曲刚度,jie'mian'wan'qu'gang'du
截视立面图,jie'shi'li'mian'tu
解析解解析解,jie'xi'jie'jie'xi'jie
解析解像,jie'xi'jie'xiang
界限偏心距,jie'xian'pian'xin'ju
紧急停车,jin'ji'ting'che
紧急停车带,jin'ji'ting'che'dai
紧急停车阀,jin'ji'ting'che'fa
金砂子,jin'sha'zi
劲性钢筋混凝土结构,jin'xing'gang'jin'hun'ning'tu'jie'gou
禁止自行车通行,jin'zhi'zi'xing'che'tong'xing
静定,jing'ding
静定刚架,jing'ding'gang'jia
静定结构,jing'ding'jie'gou
静定梁,jing'ding'liang
净高,jing'gao
静活载,jing'huo'zai
经济的,jing'ji'de
净距,jing'ju
净空高度,jing'kong'gao'du
净跨距净孔距,jing'kua'ju'jing'kong'ju
净跨距净跨距,jing'kua'ju'jing'kua'ju
静水应力状态,jing'shui'ying'li'zhuang'tai
静土压力,jing'tu'ya'li
经纬仪,jing'wei'yi
鸠拱桥,jiu'gong'qiao
局部剪切破坏,ju'bu'jian'qie'po'huai
巨大长宏观表示宏观的大的,ju'da'chang'hong'guan'biao'shi'hong'guan'de'da'de
聚合物,ju'he'wu
矩形,ju'xing
矩形橡胶垫圈,ju'xing'xiang'jiao'dian'quan
矩阵位移法,ju'zhen'wei'yi'fa
决定于决定于,jue'ding'yu'jue'ding'yu
决定于施法的速度,jue'ding'yu'shi'fa'de'su'du
均布荷载,jun'bu'he'zai
均布荷载均匀负荷,jun'bu'he'zai'jun'yun'fu'he
均布应力,jun'bu'ying'li
均布应力均布应力,jun'bu'ying'li'jun'bu'ying'li
抗冲击韧性,kang'chong'ji'ren'xing
抗风,kang'feng
抗风锚,kang'feng'mao
抗风性,kang'feng'xing
抗腐蚀的,kang'fu'shi'de
抗剪力墙,kang'jian'li'qiang
抗拉强度,kang'la'qiang'du
抗力分项系数,kang'li'fen'xiang'xi'shu
抗疲劳强度,kang'pi'lao'qiang'du
抗破坏强度,kang'po'huai'qiang'du
抗压强度,kang'ya'qiang'du
抗压应力,kang'ya'ying'li
抗震,kang'zhen
可变光阑作用,ke'bian'guang'lan'zuo'yong
可变集中荷载,ke'bian'ji'zhong'he'zai
可变作用标准值,ke'bian'zuo'yong'biao'zhun'zhi
可变作用可变作用,ke'bian'zuo'yong'ke'bian'zuo'yong
可靠度,ke'kao'du
可调气泡水准仪,ke'tiao'qi'pao'shui'zhun'yi
柯西级数收敛条件,ke'xi'ji'shu'shou'lian'tiao'jian
可行性研究,ke'xing'xing'yan'jiu
空间大地测量学,kong'jian'da'di'ce'liang'xue
空间构架,kong'jian'gou'jia
空间构架顶,kong'jian'gou'jia'ding
空心板梁空心板梁,kong'xin'ban'liang'kong'xin'ban'liang
空心桥墩,kong'xin'qiao'dun
控制,kong'zhi
控制裂缝钢筋,kong'zhi'lie'feng'gang'jin
控制台,kong'zhi'tai
库仑纳维尔强度准则,ku'lun'na'wei'er'qiang'du'zhun'ze
跨度,kua'du
跨越,kua'yue
跨越点,kua'yue'dian
跨越杆,kua'yue'gan
块石护坡工程,kuai'shi'hu'po'gong'cheng
快行车道,kuai'xing'che'dao
快硬水泥,kuai'ying'shui'ni
宽度,kuan'du
宽立柱,kuan'li'zhu
宽缘工字钢桩,kuan'yuan'gong'zi'gang'zhuang
框架结构,kuang'jia'jie'gou
框架式桥,kuang'jia'shi'qiao
扩大基础扩大基础,kuo'da'ji'chu'kuo'da'ji'chu
扩大客户基础,kuo'da'ke'hu'ji'chu
扩结构优化设计,kuo'jie'gou'you'hua'she'ji
扩散面积,kuo'san'mian'ji
扩散器面积比,kuo'san'qi'mian'ji'bi
扩展扩大基础,kuo'zhan'kuo'da'ji'chu
拉斐特大桥,la'fei'te'da'qiao
拉索,la'suo
栏杆,lan'gan
缆索,lan'suo
类代表值,lei'dai'biao'zhi
类似的,lei'si'de
冷拔钢丝,leng'ba'gang'si
棱镜,leng'jing
棱柱棱镜三棱柱,leng'zhu'leng'jing'san'leng'zhu
力法,li'fa
力矩分配法,li'ju'fen'pei'fa
理论力学,li'lun'li'xue
理论力学创新实验,li'lun'li'xue'chuang'xin'shi'yan
理论力学与材料力学,li'lun'li'xue'yu'cai'liao'li'xue
立面图,li'mian'tu
沥青,li'qing
沥青配合比设计,li'qing'pei'he'bi'she'ji
离散最大值原理,li'san'zui'da'zhi'yuan'li
砾石充填,li'shi'chong'tian
砾石充填层,li'shi'chong'tian'ceng
砾石充填柱,li'shi'chong'tian'zhu
立体地质剖面图,li'ti'di'zhi'pou'mian'tu
立体剖面图立体剖面图,li'ti'pou'mian'tu'li'ti'pou'mian'tu
离析混凝土,li'xi'hun'ning'tu
离心力,li'xin'li
立柱,li'zhu
联合概率分布,lian'he'gai'lv'fen'bu
联结构架刚性构架,lian'jie'gou'jia'gang'xing'gou'jia
连接伸缩缝,lian'jie'shen'suo'feng
联结系,lian'jie'xi
连续多跨多跨连续梁,lian'xu'duo'kua'duo'kua'lian'xu'liang
连续刚构桥,lian'xu'gang'gou'qiao
连续梁,lian'xu'liang
连续性,lian'xu'xing
梁腹板,liang'fu'ban
梁拱腹,liang'gong'fu
梁涵洞,liang'han'dong
两孔铁路桥,liang'kong'tie'lu'qiao
梁强度测试器,liang'qiang'du'ce'shi'qi
裂缝,lie'feng
裂缝控制裂缝控制,lie'feng'kong'zhi'lie'feng'kong'zhi
裂缝宽度容许值裂缝宽度容许值,lie'feng'kuan'du'rong'xu'zhi'lie'feng'kuan'du'rong'xu'zhi
烈焰沙漠区域,lie'yan'sha'mo'qu'yu
领域,ling'yu
硫化延缓剂,liu'hua'yan'huan'ji
流量计,liu'liang'ji
流水压力流水压力,liu'shui'ya'li'liu'shui'ya'li
硫酸盐,liu'suan'yan
流域几何特征,liu'yu'ji'he'te'zheng
龙骨墩顶垫,long'gu'dun'ding'dian
龙门吊龙门吊,long'men'diao'long'men'diao
楼面活载,lou'mian'huo'zai
路灯,lu'deng
路堤,lu'di
路拱横坡,lu'gong'heng'po
路肩,lu'jian
路缘带,lu'yuan'dai
路中央分隔栏紧急通道,lu'zhong'yang'fen'ge'lan'jin'ji'tong'dao
卵石,luan'shi
轮渡,lun'du
轮渡站,lun'du'zhan
轮廓等高线周线电路概要,lun'kuo'deng'gao'xian'zhou'xian'dian'lu'gai'yao
论证,lun'zheng
罗湖铁路桥,luo'hu'tie'lu'qiao
螺栓轴力测试仪,luo'shuan'zhou'li'ce'shi'yi
埋式桥台,mai'shi'qiao'tai
埋置,mai'zhi
埋置的,mai'zhi'de
埋置式桥台,mai'zhi'shi'qiao'tai
埋置性,mai'zhi'xing
铆钉,mao'ding
铆钉钢,mao'ding'gang
铆钉机,mao'ding'ji
锚定孔,mao'ding'kong
锚固,mao'gu
锚固件,mao'gu'jian
锚固力,mao'gu'li
锚具,mao'ju
锚孔,mao'kong
锚头,mao'tou
锚头城,mao'tou'cheng
锚头泡,mao'tou'pao
锚至锚孔起锚完毕,mao'zhi'mao'kong'qi'mao'wan'bi
美观,mei'guan
美国混凝土砌体协会,mei'guo'hun'ning'tu'qi'ti'xie'hui
美国混凝土协会美国混凝土协会,mei'guo'hun'ning'tu'xie'hui'mei'guo'hun'ning'tu'xie'hui
美国商品混凝土协会,mei'guo'shang'pin'hun'ning'tu'xie'hui
美国土木工程师协会,mei'guo'tu'mu'gong'cheng'shi'xie'hui
酶结构分析,mei'jie'gou'fen'xi
美学,mei'xue
梦浮桥,meng'fu'qiao
密度,mi'du
面积使成比例,mian'ji'shi'cheng'bi'li
免疫增强剂,mian'yi'zeng'qiang'ji
瞄前处理器,miao'qian'chu'li'qi
明雨水管,ming'yu'shui'guan
摩擦系数,mo'ca'xi'shu
莫尔强度准则,mo'er'qiang'du'zhun'ze
模数,mo'shu
模型,mo'xing
模板,mu'ban
木涵洞,mu'han'dong
木桁架桥,mu'heng'jia'qiao
木桥,mu'qiao
木桥市,mu'qiao'shi
耐碱性的,nai'jian'xing'de
耐久性,nai'jiu'xing
耐久性试验,nai'jiu'xing'shi'yan
挠度,nao'du
挠度计,nao'du'ji
挠度曲线,nao'du'qu'xian
内部超静定结构,nei'bu'chao'jing'ding'jie'gou
内力,nei'li
内摩擦角,nei'mo'ca'jiao
内排水系统,nei'pai'shui'xi'tong
内压应力,nei'ya'ying'li
泥石流,ni'shi'liu
铌酸钡钠分子式为,ni'suan'bei'na'fen'zi'shi'wei
年糕,nian'gao
黏合力,nian'he'li
粘结滑移,nian'jie'hua'yi
粘弹性力学,nian'tan'xing'li'xue
扭转,niu'zhuan
扭转负荷扭转载荷,niu'zhuan'fu'he'niu'zhuan'zai'he
扭转剪切强度,niu'zhuan'jian'qie'qiang'du
扭转角,niu'zhuan'jiao
扭转弯曲,niu'zhuan'wan'qu
扭转应力,niu'zhuan'ying'li
扭转载荷,niu'zhuan'zai'he
浓度增强剂,nong'du'zeng'qiang'ji
耦合力,ou'he'li
偶然同化作用,ou'ran'tong'hua'zuo'yong
偶然状况偶然状况,ou'ran'zhuang'kuang'ou'ran'zhuang'kuang
偶然作用偶然作用,ou'ran'zuo'yong'ou'ran'zuo'yong
排架,pai'jia
排架座木,pai'jia'zuo'mu
排水,pai'shui
排水设计重现期,pai'shui'she'ji'chong'xian'qi
排水系统,pai'shui'xi'tong
抛石,pao'shi
抛石机,pao'shi'ji
抛石体,pao'shi'ti
配合比设计,pei'he'bi'she'ji
配筋率,pei'jin'lv
配料,pei'liao
配位几何特征,pei'wei'ji'he'te'zheng
喷沙打磨法喷沙打磨法,pen'sha'da'mo'fa'pen'sha'da'mo'fa
喷射混凝土,pen'she'hun'ning'tu
喷射混凝土膜,pen'she'hun'ning'tu'mo
喷嘴扩散面积比,pen'zui'kuo'san'mian'ji'bi
膨胀系数,peng'zhang'xi'shu
疲劳断裂力学,pi'lao'duan'lie'li'xue
疲劳强度,pi'lao'qiang'du
疲劳强度计,pi'lao'qiang'du'ji
疲劳屈服极限,pi'lao'qu'fu'ji'xian
偏心距,pian'xin'ju
偏心距增大系数,pian'xin'ju'zeng'da'xi'shu
偏心距增大系数偏心距增大系数,pian'xin'ju'zeng'da'xi'shu'pian'xin'ju'zeng'da'xi'shu
偏心受压,pian'xin'shou'ya
偏心受压法,pian'xin'shou'ya'fa
偏心受压构件,pian'xin'shou'ya'gou'jian
偏转角,pian'zhuan'jiao
漂浮物,piao'fu'wu
漂浮物浮标,piao'fu'wu'fu'biao
贫混合料,pin'hun'he'liao
拼接板,pin'jie'ban
平底板,ping'di'ban
平衡,ping'heng
平衡阀,ping'heng'fa
平衡机,ping'heng'ji
平衡条件,ping'heng'tiao'jian
平截面假定,ping'jie'mian'jia'ding
平均年洪水流量,ping'jun'nian'hong'shui'liu'liang
平均配筋率,ping'jun'pei'jin'lv
平面图,ping'mian'tu
平移缩放旋转,ping'yi'suo'fang'xuan'zhuan
坡度,po'du
破坏极限状态,po'huai'ji'xian'zhuang'tai
破坏强度,po'huai'qiang'du
破裂,po'lie
剖开立体图剖面图,pou'kai'li'ti'tu'pou'mian'tu
铺设,pu'she
汽车荷载载重汽车荷载,qi'che'he'zai'zai'zhong'qi'che'he'zai
汽车制动力,qi'che'zhi'dong'li
汽缸圆筒圆柱体,qi'gang'yuan'tong'yuan'zhu'ti
起拱点,qi'gong'dian
旗津环岛海景观光自行车道,qi'jin'huan'dao'hai'jing'guan'guang'zi'xing'che'dao
气泡水准仪,qi'pao'shui'zhun'yi
起始应力矩阵,qi'shi'ying'li'ju'zhen
气体动力系数,qi'ti'dong'li'xi'shu
气压沉箱基础,qi'ya'chen'xiang'ji'chu
起重吊机起重吊机,qi'zhong'diao'ji'qi'zhong'diao'ji
起重塔吊机起重塔吊机塔,qi'zhong'ta'diao'ji'qi'zhong'ta'diao'ji'ta
前处理,qian'chu'li
前处理器前处理器,qian'chu'li'qi'qian'chu'li'qi
前处理器预处理器,qian'chu'li'qi'yu'chu'li'qi
千分尺,qian'fen'chi
前回转半径,qian'hui'zhuan'ban'jing
千斤顶,qian'jin'ding
前视,qian'shi
前视红外,qian'shi'hong'wai
前视区,qian'shi'qu
牵引力,qian'yin'li
潜在的,qian'zai'de
前张力,qian'zhang'li
前兆群震前兆,qian'zhao'qun'zhen'qian'zhao
强度,qiang'du
强度标准值强度标准值,qiang'du'biao'zhun'zhi'qiang'du'biao'zhun'zhi
强度测试机,qiang'du'ce'shi'ji
强度测试强度测试,qiang'du'ce'shi'qiang'du'ce'shi
强度折减系数,qiang'du'zhe'jian'xi'shu
强度准则,qiang'du'zhun'ze
强横梁,qiang'heng'liang
强化,qiang'hua
强化酒,qiang'hua'jiu
强化物,qiang'hua'wu
强力背材装货舷门闩活动艇盖梁,qiang'li'bei'cai'zhuang'huo'xian'men'shuan'huo'dong'ting'gai'liang
桥墩,qiao'dun
桥梁,qiao'liang
桥梁墩台,qiao'liang'dun'tai
桥梁工程,qiao'liang'gong'cheng
桥梁工程师,qiao'liang'gong'cheng'shi
桥梁工程施工技术咨询,qiao'liang'gong'cheng'shi'gong'ji'shu'zi'xun
桥梁工程英语词汇,qiao'liang'gong'cheng'ying'yu'ci'hui
桥梁净空高潮时桥梁净空高度,qiao'liang'jing'kong'gao'chao'shi'qiao'liang'jing'kong'gao'du
桥梁抗震桥梁抗震加固,qiao'liang'kang'zhen'qiao'liang'kang'zhen'jia'gu
桥梁控制测量,qiao'liang'kong'zhi'ce'liang
桥梁挠度曲线,qiao'liang'nao'du'qu'xian
桥梁上部结构,qiao'liang'shang'bu'jie'gou
桥梁施工控制综合程序系统,qiao'liang'shi'gong'kong'zhi'zong'he'cheng'xu'xi'tong
桥梁下部结构,qiao'liang'xia'bu'jie'gou
桥梁振动,qiao'liang'zhen'dong
桥梁自振频率测量,qiao'liang'zi'zhen'pin'lv'ce'liang
桥梁自振周期,qiao'liang'zi'zhen'zhou'qi
桥梁最佳施工指南,qiao'liang'zui'jia'shi'gong'zhi'nan
桥门联结系,qiao'men'lian'jie'xi
桥面,qiao'mian
桥面横坡,qiao'mian'heng'po
桥面系桥面系,qiao'mian'xi'qiao'mian'xi
桥面纵坡,qiao'mian'zong'po
桥台,qiao'tai
桥台墙,qiao'tai'qiang
桥头堡,qiao'tou'bao
桥下部结构桥下部结构,qiao'xia'bu'jie'gou'qiao'xia'bu'jie'gou
桥下净空,qiao'xia'jing'kong
桥址,qiao'zhi
桥址断层活动性评定,qiao'zhi'duan'ceng'huo'dong'xing'ping'ding
桥址水文观测,qiao'zhi'shui'wen'guan'ce
桥址稳定性评定,qiao'zhi'wen'ding'xing'ping'ding
桥主梁,qiao'zhu'liang
切线,qie'xian
切线刚度矩阵,qie'xian'gang'du'ju'zhen
切线角,qie'xian'jiao
轻便栈道,qing'bian'zhan'dao
轻型桥台,qing'xing'qiao'tai
球体,qiu'ti
球体的,qiu'ti'de
球体球球形,qiu'ti'qiu'qiu'xing
求最小值,qiu'zui'xiao'zhi
驱动刚度系数,qu'dong'gang'du'xi'shu
屈服函数,qu'fu'han'shu
屈服极限,qu'fu'ji'xian
屈服面,qu'fu'mian
取决于决定于,qu'jue'yu'jue'ding'yu
曲梁,qu'liang
曲率,qu'lv
曲率半径,qu'lv'ban'jing
曲率半径梳,qu'lv'ban'jing'shu
曲线的反弯点,qu'xian'de'fan'wan'dian
群震群震,qun'zhen'qun'zhen
群桩基础,qun'zhuang'ji'chu
热风洞试验,re'feng'dong'shi'yan
热结构分析,re'jie'gou'fen'xi
热弹性力学,re'tan'xing'li'xue
热稳定系数,re'wen'ding'xi'shu
热压力计,re'ya'li'ji
热应力分析,re'ying'li'fen'xi
认可标准认可标准,ren'ke'biao'zhun'ren'ke'biao'zhun
认可颜色标准,ren'ke'yan'se'biao'zhun
人群荷载人群荷载,ren'qun'he'zai'ren'qun'he'zai
人行道,ren'xing'dao
任意形状,ren'yi'xing'zhuang
人造火山灰水泥,ren'zao'huo'shan'hui'shui'ni
容车量容车量,rong'che'liang'rong'che'liang
容许单位扭转应力,rong'xu'dan'wei'niu'zhuan'ying'li
容许扭转应力,rong'xu'niu'zhuan'ying'li
容许应力,rong'xu'ying'li
容许应力法,rong'xu'ying'li'fa
容许应力计算,rong'xu'ying'li'ji'suan
容许应力设计法,rong'xu'ying'li'she'ji'fa
柔性石墨异形截面组合填料,rou'xing'shi'mo'yi'xing'jie'mian'zu'he'tian'liao
入石锚定杆,ru'shi'mao'ding'gan
软化,ruan'hua
软化点,ruan'hua'dian
软化剂,ruan'hua'ji
软路肩,ruan'lu'jian
软轴振捣器,ruan'zhou'zhen'dao'qi
瑞利阻尼矩阵,rui'li'zu'ni'ju'zhen
弱边界条件,ruo'bian'jie'tiao'jian
三角高程导线,san'jiao'gao'cheng'dao'xian
三角高程导线测量,san'jiao'gao'cheng'dao'xian'ce'liang
三铰拱,san'jiao'gong
三角网,san'jiao'wang
三角网测站,san'jiao'wang'ce'zhan
三角网图,san'jiao'wang'tu
三角形单元,san'jiao'xing'dan'yuan
散热片,san're'pian
三维,san'wei
三维的,san'wei'de
三维的立体的,san'wei'de'li'ti'de
三维的三轴的,san'wei'de'san'zhou'de
三维多边形,san'wei'duo'bian'xing
砂浆,sha'jiang
砂浆配合比设计,sha'jiang'pei'he'bi'she'ji
砂结合力,sha'jie'he'li
砂桩基础,sha'zhuang'ji'chu
砂子色,sha'zi'se
砂子砂子,sha'zi'sha'zi
上部结构,shang'bu'jie'gou
上部缀板,shang'bu'zhui'ban
上承结构,shang'cheng'jie'gou
上承式大梁,shang'cheng'shi'da'liang
上模板,shang'mu'ban
上下班车流量高峰期,shang'xia'ban'che'liu'liang'gao'feng'qi
设计洪水频率设计洪水频率,she'ji'hong'shui'pin'lv'she'ji'hong'shui'pin'lv
设计极限荷载,she'ji'ji'xian'he'zai
设计基准期,she'ji'ji'zhun'qi
设计速度,she'ji'su'du
设计速度构造速度,she'ji'su'du'gou'zao'su'du
设计值,she'ji'zhi
伸臂底座,shen'bi'di'zuo
渗水,shen'shui
伸缩缝,shen'suo'feng
渗透水化作用,shen'tou'shui'hua'zuo'yong
渗透性,shen'tou'xing
生物安全等级,sheng'wu'an'quan'deng'ji
生物固体力学,sheng'wu'gu'ti'li'xue
生物水准基点,sheng'wu'shui'zhun'ji'dian
生长延缓剂,sheng'zhang'yan'huan'ji
使成比例,shi'cheng'bi'li
石膏,shi'gao
石膏模,shi'gao'mu
施工控制施工控制,shi'gong'kong'zhi'shi'gong'kong'zhi
施工控制网,shi'gong'kong'zhi'wang
施工图设计,shi'gong'tu'she'ji
施工图设计阶段,shi'gong'tu'she'ji'jie'duan
石灰火山灰水泥,shi'hui'huo'shan'hui'shui'ni
时间历程后处理,shi'jian'li'cheng'hou'chu'li
矢跨比,shi'kua'bi
石锚,shi'mao
实桥墩,shi'qiao'dun
湿式焊接技术,shi'shi'han'jie'ji'shu
试算法,shi'suan'fa
试算法尝试法,shi'suan'fa'chang'shi'fa
实体筏基实体筏基,shi'ti'fa'ji'shi'ti'fa'ji
实体桥墩实体桥墩,shi'ti'qiao'dun'shi'ti'qiao'dun
实验土力学,shi'yan'tu'li'xue
实验岩石力学,shi'yan'yan'shi'li'xue
示意图,shi'yi'tu
适用,shi'yong
实用菜单,shi'yong'cai'dan
石油工程建设,shi'you'gong'cheng'jian'she
湿胀,shi'zhang
湿胀量,shi'zhang'liang
湿胀率,shi'zhang'lv
使最优化,shi'zui'you'hua
收敛条件,shou'lian'tiao'jian
收缩,shou'suo
收缩量,shou'suo'liang
受影响面,shou'ying'xiang'mian
受影响区受影响面,shou'ying'xiang'qu'shou'ying'xiang'mian
竖标距竖坐标支距,shu'biao'ju'shu'zuo'biao'zhi'ju
输入参考轴,shu'ru'can'kao'zhou
竖向分布,shu'xiang'fen'bu
竖向力竖向预力,shu'xiang'li'shu'xiang'yu'li
属性特征,shu'xing'te'zheng
术语,shu'yu
竖圆柱坐标系,shu'yuan'zhu'zuo'biao'xi
数值解,shu'zhi'jie
数值岩土力学,shu'zhi'yan'tu'li'xue
竖坐标,shu'zuo'biao
双车道,shuang'che'dao
双车道公路,shuang'che'dao'gong'lu
双车道交通,shuang'che'dao'jiao'tong
双程道路桥,shuang'cheng'dao'lu'qiao
双铰拱,shuang'jiao'gong
双棱镜,shuang'leng'jing
双排板桩围堰,shuang'pai'ban'zhuang'wei'yan
双桥墩,shuang'qiao'dun
双弯矩,shuang'wan'ju
双悬臂梁,shuang'xuan'bi'liang
双轴电解气泡水准仪,shuang'zhou'dian'jie'qi'pao'shui'zhun'yi
双柱式屋架,shuang'zhu'shi'wu'jia
双坐标系,shuang'zuo'biao'xi
水动力作用,shui'dong'li'zuo'yong
水浮力水的浮力,shui'fu'li'shui'de'fu'li
水化热,shui'hua're
水化作用,shui'hua'zuo'yong
水力,shui'li
水力的,shui'li'de
水利工程建筑,shui'li'gong'cheng'jian'zhu
水力学,shui'li'xue
水流横向力,shui'liu'heng'xiang'li
水泥,shui'ni
水泥浆,shui'ni'jiang
水泥浆泵,shui'ni'jiang'beng
水泥砂浆,shui'ni'sha'jiang
水平分力,shui'ping'fen'li
水平角,shui'ping'jiao
水平角观测,shui'ping'jiao'guan'ce
水平角焊,shui'ping'jiao'han
水位,shui'wei
水文水文,shui'wen'shui'wen
水文图,shui'wen'tu
水文学,shui'wen'xue
水文学水文学,shui'wen'xue'shui'wen'xue
水准基点,shui'zhun'ji'dian
水准仪,shui'zhun'yi
顺流,shun'liu
似大理石,si'da'li'shi
松弛,song'chi
松弛法,song'chi'fa
松弛素,song'chi'su
素混凝土,su'hun'ning'tu
素混凝土墩,su'hun'ning'tu'dun
素混凝土结构,su'hun'ning'tu'jie'gou
塑性,su'xing
塑性应力应变图,su'xing'ying'li'ying'bian'tu
塑性状态,su'xing'zhuang'tai
算法处理器描述语言,suan'fa'chu'li'qi'miao'shu'yu'yan
隧道,sui'dao
隧道门,sui'dao'men
隧道窑,sui'dao'yao
碎石,sui'shi
锁及安全防护系统,suo'ji'an'quan'fang'hu'xi'tong
缩减,suo'jian
缩减法,suo'jian'fa
缩减率,suo'jian'lv
索具工坞工,suo'ju'gong'wu'gong
塔堡,ta'bao
塔环锚具,ta'huan'mao'ju
太多的车流量,tai'duo'de'che'liu'liang
探测,tan'ce
碳电阻温度计,tan'dian'zu'wen'du'ji
弹簧刚性系数,tan'huang'gang'xing'xi'shu
探试算法,tan'shi'suan'fa
弹塑性状态,tan'su'xing'zhuang'tai
弹性,tan'xing
弹性弾性,tan'xing'dan'xing
弹性垫片弹性垫片,tan'xing'dian'pian'tan'xing'dian'pian
弹性力学,tan'xing'li'xue
弹性模量,tan'xing'mo'liang
弹性体,tan'xing'ti
弹性系数矩阵,tan'xing'xi'shu'ju'zhen
弹性支承,tan'xing'zhi'cheng
弹性支承边,tan'xing'zhi'cheng'bian
弹性支承梁,tan'xing'zhi'cheng'liang
特大桥特大桥,te'da'qiao'te'da'qiao
特征,te'zheng
特征根,te'zheng'gen
特征值,te'zheng'zhi
体积本构模型,ti'ji'ben'gou'mo'xing
体膨胀系数,ti'peng'zhang'xi'shu
梯形箱梁,ti'xing'xiang'liang
天桥,tian'qiao
天桥面天桥面,tian'qiao'mian'tian'qiao'mian
填石,tian'shi
填石沟,tian'shi'gou
填石坡,tian'shi'po
条件屈服极限,tiao'jian'qu'fu'ji'xian
条件收敛,tiao'jian'shou'lian
贴板梁,tie'ban'liang
铁路工程,tie'lu'gong'cheng
铁路工程测量,tie'lu'gong'cheng'ce'liang
铁路工程学,tie'lu'gong'cheng'xue
铁路桥,tie'lu'qiao
铁路桥梁工程,tie'lu'qiao'liang'gong'cheng
铁路线路养护,tie'lu'xian'lu'yang'hu
铁路线路养护机械,tie'lu'xian'lu'yang'hu'ji'xie
通航,tong'hang
通航权,tong'hang'quan
通航闸,tong'hang'zha
同济大学,tong'ji'da'xue
同济大学同済大学,tong'ji'da'xue'tong'ji'da'xue
同时存在的,tong'shi'cun'zai'de
同时存在的事物,tong'shi'cun'zai'de'shi'wu
同时存在的同时发生的,tong'shi'cun'zai'de'tong'shi'fa'sheng'de
同时的,tong'shi'de
同时的同时存在的,tong'shi'de'tong'shi'cun'zai'de
通用后处理,tong'yong'hou'chu'li
投标,tou'biao
土侧压力土的侧压力,tu'ce'ya'li'tu'de'ce'ya'li
土层,tu'ceng
土层剖面特性,tu'ceng'pou'mian'te'xing
土层剖面土层剖面,tu'ceng'pou'mian'tu'ceng'pou'mian
土力学,tu'li'xue
土木工程,tu'mu'gong'cheng
土木工程师,tu'mu'gong'cheng'shi
土木工程师协会土木工程师协会,tu'mu'gong'cheng'shi'xie'hui'tu'mu'gong'cheng'shi'xie'hui
土木工程师学会,tu'mu'gong'cheng'shi'xue'hui
土木工程系,tu'mu'gong'cheng'xi
土木建筑结构有限元软件,tu'mu'jian'zhu'jie'gou'you'xian'yuan'ruan'jian
土木与环境工程系,tu'mu'yu'huan'jing'gong'cheng'xi
土壤加固工程,tu'rang'jia'gu'gong'cheng
图形后处理器模块,tu'xing'hou'chu'li'qi'mo'kuai
土压力被动土压力,tu'ya'li'bei'dong'tu'ya'li
土压力主动土压力,tu'ya'li'zhu'dong'tu'ya'li
土重力土的物理性质重力密度,tu'zhong'li'tu'de'wu'li'xing'zhi'zhong'li'mi'du
推拉索,tui'la'suo
推力,tui'li
推力线,tui'li'xian
推力销,tui'li'xiao
托板单元,tuo'ban'dan'yuan
托换基础工程,tuo'huan'ji'chu'gong'cheng
托盘的上部结构,tuo'pan'de'shang'bu'jie'gou
瓦管涵,wa'guan'han
外力,wai'li
外排水系统,wai'pai'shui'xi'tong
外倾刚度系数,wai'qing'gang'du'xi'shu
外支座,wai'zhi'zuo
弯道,wan'dao
弯道灯,wan'dao'deng
弯道危险,wan'dao'wei'xian
弯度,wan'du
弯矩,wan'ju
弯矩分配法,wan'ju'fen'pei'fa
弯矩图,wan'ju'tu
弯矩中心,wan'ju'zhong'xin
弯曲刚度,wan'qu'gang'du
弯曲刚度抗弯劲度,wan'qu'gang'du'kang'wan'jin'du
