爱因斯坦,ai'yin'si'tan
商品相对价值形式,shang'pin'xiang'dui'jia'zhi'xing'shi
商品与货币的矛盾,shang'pin'yu'huo'bi'de'mao'dun
商品与货币之间的对立,shang'pin'yu'huo'bi'zhi'jian'de'dui'li
少数英雄人物组织暴动,shao'shu'ying'xiong'ren'wu'zu'zhi'bao'dong
社会存在和社会意识的关系问题,she'hui'cun'zai'he'she'hui'yi'shi'de'guan'xi'wen'ti
社会存在和社会意识的矛盾规律,she'hui'cun'zai'he'she'hui'yi'shi'de'mao'dun'gui'lv
社会存在和社会意识的统一,she'hui'cun'zai'he'she'hui'yi'shi'de'tong'yi
社会存在决定社会意识,she'hui'cun'zai'jue'ding'she'hui'yi'shi
社会存在与社会意识的统一,she'hui'cun'zai'yu'she'hui'yi'shi'de'tong'yi
社会的出现,she'hui'de'chu'xian
社会的生产关系,she'hui'de'sheng'chan'guan'xi
社会的政治生活过程,she'hui'de'zheng'zhi'sheng'huo'guo'cheng
社会发展规律,she'hui'fa'zhan'gui'lv
社会分工的存在,she'hui'fen'gong'de'cun'zai
社会改革,she'hui'gai'ge
社会革命,she'hui'ge'ming
社会革命是社会形态质变,she'hui'ge'ming'shi'she'hui'xing'tai'zhi'bian
社会和谐,she'hui'he'xie
社会基本矛盾,she'hui'ji'ben'mao'dun
社会基本矛盾的尖锐化,she'hui'ji'ben'mao'dun'de'jian'rui'hua
社会历史性,she'hui'li'shi'xing
社会生产力的发展,she'hui'sheng'chan'li'de'fa'zhan
社会实践,she'hui'shi'jian
社会心理可以左右社会发展发向,she'hui'xin'li'ke'yi'zuo'you'she'hui'fa'zhan'fa'xiang
社会形态的更替,she'hui'xing'tai'de'geng'ti
社会意识,she'hui'yi'shi
社会意识不完全由社会存在决定,she'hui'yi'shi'bu'wan'quan'you'she'hui'cun'zai'jue'ding
社会意识的发展史,she'hui'yi'shi'de'fa'zhan'shi
社会意识的能动作用,she'hui'yi'shi'de'neng'dong'zuo'yong
社会意识对社会存在有反作用,she'hui'yi'shi'dui'she'hui'cun'zai'you'fan'zuo'yong
社会意识反映社会存在,she'hui'yi'shi'fan'ying'she'hui'cun'zai
社会意识反作用于社会存在,she'hui'yi'shi'fan'zuo'yong'yu'she'hui'cun'zai
社会意识与社会存在不一致,she'hui'yi'shi'yu'she'hui'cun'zai'bu'yi'zhi
社会意识诸形式之间的相互影响,she'hui'yi'shi'zhu'xing'shi'zhi'jian'de'xiang'hu'ying'xiang
社会运动受偶然性支配,she'hui'yun'dong'shou'ou'ran'xing'zhi'pei
社会主义不同模式的一种,she'hui'zhu'yi'bu'tong'mo'shi'de'yi'zhong
社会主义的最佳模式,she'hui'zhu'yi'de'zui'jia'mo'shi
社会主义国家,she'hui'zhu'yi'guo'jia
社会主义制度的优越性,she'hui'zhu'yi'zhi'du'de'you'yue'xing
设想无运动的物质,she'xiang'wu'yun'dong'de'wu'zhi
生产不足的危机,sheng'chan'bu'zu'de'wei'ji
生产工具,sheng'chan'gong'ju
生产工具的水平,sheng'chan'gong'ju'de'shui'ping
生产关系,sheng'chan'guan'xi
生产关系的变革,sheng'chan'guan'xi'de'bian'ge
生产关系的发展史,sheng'chan'guan'xi'de'fa'zhan'shi
生产关系为标准,sheng'chan'guan'xi'wei'biao'zhun
生产关系与生产力的矛盾性质,sheng'chan'guan'xi'yu'sheng'chan'li'de'mao'dun'xing'zhi
生产价格理论,sheng'chan'jia'ge'li'lun
生产绝对过剩的危机,sheng'chan'jue'dui'guo'sheng'de'wei'ji
生产劳动,sheng'chan'lao'dong
生产力,sheng'chan'li
生产力的发展,sheng'chan'li'de'fa'zhan
生产力和生产关系的关系问题,sheng'chan'li'he'sheng'chan'guan'xi'de'guan'xi'wen'ti
生产力决定生产关系,sheng'chan'li'jue'ding'sheng'chan'guan'xi
生产力水平,sheng'chan'li'shui'ping
生产力性质,sheng'chan'li'xing'zhi
生产力与生产关系的统一,sheng'chan'li'yu'sheng'chan'guan'xi'de'tong'yi
生产力与生产关系矛盾运动规律,sheng'chan'li'yu'sheng'chan'guan'xi'mao'dun'yun'dong'gui'lv
生产社会化的必然产物,sheng'chan'she'hui'hua'de'bi'ran'chan'wu
生产相对过剩的危机,sheng'chan'xiang'dui'guo'sheng'de'wei'ji
生产自动化,sheng'chan'zi'dong'hua
生产资料,sheng'chan'zi'liao
生产资料的公有制程度为标准,sheng'chan'zi'liao'de'gong'you'zhi'cheng'du'wei'biao'zhun
生产资料所有制,sheng'chan'zi'liao'suo'you'zhi
生产资料所有制关系,sheng'chan'zi'liao'suo'you'zhi'guan'xi
生死由命富贵在天,sheng'si'you'ming'fu'gui'zai'tian
剩余价值的发现,sheng'yu'jia'zhi'de'fa'xian
剩余价值规律,sheng'yu'jia'zhi'gui'lv
剩余价值和可变资本之比,sheng'yu'jia'zhi'he'ke'bian'zi'ben'zhi'bi
剩余价值论,sheng'yu'jia'zhi'lun
剩余价值学说,sheng'yu'jia'zhi'xue'shuo
剩余价值与预付资本之比,sheng'yu'jia'zhi'yu'yu'fu'zi'ben'zhi'bi
是不断周而复始的循环过程,shi'bu'duan'zhou'er'fu'shi'de'xun'huan'guo'cheng
是不可靠的,shi'bu'ke'kao'de
是不是得到多数人的承认,shi'bu'shi'de'dao'duo'shu'ren'de'cheng'ren
是不是符合事物发展规律,shi'bu'shi'fu'he'shi'wu'fa'zhan'gui'lv
是不是具有新的特点,shi'bu'shi'ju'you'xin'de'te'dian
是否承认发展的观点,shi'fou'cheng'ren'fa'zhan'de'guan'dian
是否承认内部矛盾的观点,shi'fou'cheng'ren'nei'bu'mao'dun'de'guan'dian
是否承认质变的观点,shi'fou'cheng'ren'zhi'bian'de'guan'dian
是否符合马克思主义,shi'fou'fu'he'ma'ke'si'zhu'yi
是否实行民主,shi'fou'shi'xing'min'zhu
是否为大多数人所接受,shi'fou'wei'da'duo'shu'ren'suo'jie'shou
世纪法国唯物主义,shi'ji'fa'guo'wei'wu'zhu'yi
世纪英国哲学,shi'ji'ying'guo'zhe'xue
实践,shi'jian
实践本质问题,shi'jian'ben'zhi'wen'ti
实践到认识,shi'jian'dao'ren'shi
实践的观点,shi'jian'de'guan'dian
实践的和科学的,shi'jian'de'he'ke'xue'de
实践第一的观点,shi'jian'di'yi'de'guan'dian
实践发展的目的,shi'jian'fa'zhan'de'mu'di
实践范畴,shi'jian'fan'chou
实践和理论的关系,shi'jian'he'li'lun'de'guan'xi
实践检验真理不需要理论指导,shi'jian'jian'yan'zhen'li'bu'xu'yao'li'lun'zhi'dao
实践是检验认识真理性的标准,shi'jian'shi'jian'yan'ren'shi'zhen'li'xing'de'biao'zhun
实践是检验认识正确与否的标准,shi'jian'shi'jian'yan'ren'shi'zheng'que'yu'fou'de'biao'zhun
实践是认识的目的,shi'jian'shi'ren'shi'de'mu'di
实践是认识发展的动力,shi'jian'shi'ren'shi'fa'zhan'de'dong'li
实践为认识提供物质手段,shi'jian'wei'ren'shi'ti'gong'wu'zhi'shou'duan
实践性,shi'jian'xing
世界本原问题,shi'jie'ben'yuan'wen'ti
世界观的基石,shi'jie'guan'de'ji'shi
世界上只有变没有不变,shi'jie'shang'zhi'you'bian'mei'you'bu'bian
世界是变化发展的,shi'jie'shi'bian'hua'fa'zhan'de
世界是可知的,shi'jie'shi'ke'zhi'de
时空可以脱离物质而存在,shi'kong'ke'yi'tuo'li'wu'zhi'er'cun'zai
时空特性,shi'kong'te'xing
时空只是物质存在的形式,shi'kong'zhi'shi'wu'zhi'cun'zai'de'xing'shi
是人的感官自生的,shi'ren'de'gan'guan'zi'sheng'de
是人类意识的物质外壳,shi'ren'lei'yi'shi'de'wu'zhi'wai'ke
是社会发展和变革的先导,shi'she'hui'fa'zhan'he'bian'ge'de'xian'dao
是社会生产力的体现者,shi'she'hui'sheng'chan'li'de'ti'xian'zhe
是社会生存与发展的必要条件,shi'she'hui'sheng'cun'yu'fa'zhan'de'bi'yao'tiao'jian
实事求是,shi'shi'qiu'shi
是唯心主义哲学的一种表现,shi'wei'xin'zhu'yi'zhe'xue'de'yi'zhong'biao'xian
是唯意志主义的一种表现,shi'wei'yi'zhi'zhu'yi'de'yi'zhong'biao'xian
事物不断处于质变之中,shi'wu'bu'duan'chu'yu'zhi'bian'zhi'zhong
事物的变化是否超出度的范围,shi'wu'de'bian'hua'shi'fou'chao'chu'du'de'fan'wei
事物的变化是否迅速,shi'wu'de'bian'hua'shi'fou'xun'su
事物的发展是量变和质变的统一,shi'wu'de'fa'zhan'shi'liang'bian'he'zhi'bian'de'tong'yi
事物的可能性是因人而异的,shi'wu'de'ke'neng'xing'shi'yin'ren'er'yi'de
事物的量变引起质变,shi'wu'de'liang'bian'yin'qi'zhi'bian
事物的某些属性是否发生了变化,shi'wu'de'mou'xie'shu'xing'shi'fou'fa'sheng'le'bian'hua
事物的内部矛盾,shi'wu'de'nei'bu'mao'dun
事物的现象是本质的表现,shi'wu'de'xian'xiang'shi'ben'zhi'de'biao'xian
事物的一切变化,shi'wu'de'yi'qie'bian'hua
事物发展变化的动力和源泉,shi'wu'fa'zhan'bian'hua'de'dong'li'he'yuan'quan
事物发展变化的方向和道路,shi'wu'fa'zhan'bian'hua'de'fang'xiang'he'dao'lu
事物发展变化的状态和形成,shi'wu'fa'zhan'bian'hua'de'zhuang'tai'he'xing'cheng
事物根本性质的变化,shi'wu'gen'ben'xing'zhi'de'bian'hua
事物联系和发展的基本环节,shi'wu'lian'xi'he'fa'zhan'de'ji'ben'huan'jie
事物内在的本质的稳固的联系,shi'wu'nei'zai'de'ben'zhi'de'wen'gu'de'lian'xi
事物是本质和现象的统一,shi'wu'shi'ben'zhi'he'xian'xiang'de'tong'yi
事物是变化的,shi'wu'shi'bian'hua'de
事物因人的感觉而存在,shi'wu'yin'ren'de'gan'jue'er'cun'zai
事物永恒不变,shi'wu'yong'heng'bu'bian
事物运动的普遍状态,shi'wu'yun'dong'de'pu'bian'zhuang'tai
事物运动的特殊状态,shi'wu'yun'dong'de'te'shu'zhuang'tai
事物之间的斗争性,shi'wu'zhi'jian'de'dou'zheng'xing
事物之间的同一性,shi'wu'zhi'jian'de'tong'yi'xing
事物之间的相互排斥,shi'wu'zhi'jian'de'xiang'hu'pai'chi
事物之间的相互依存,shi'wu'zhi'jian'de'xiang'hu'yi'cun
实现社会公平,shi'xian'she'hui'gong'ping
是新事物战胜旧事物的过程,shi'xin'shi'wu'zhan'sheng'jiu'shi'wu'de'guo'cheng
是一个国家兴旺发达的最终源泉,shi'yi'ge'guo'jia'xing'wang'fa'da'de'zui'zhong'yuan'quan
是意识的客观内容,shi'yi'shi'de'ke'guan'nei'rong
使用暴力的结果,shi'yong'bao'li'de'jie'guo
使用价值与价值的矛盾运动,shi'yong'jia'zhi'yu'jia'zhi'de'mao'dun'yun'dong
十月革命的胜利,shi'yue'ge'ming'de'sheng'li
始终推动生产力发展的因素,shi'zhong'tui'dong'sheng'chan'li'fa'zhan'de'yin'su
始终严格地以客观事实为根据,shi'zhong'yan'ge'de'yi'ke'guan'shi'shi'wei'gen'ju
蔬菜供不应求,shu'cai'gong'bu'ying'qiu
蔬菜价值在增大,shu'cai'jia'zhi'zai'zeng'da
蔬菜运费增加,shu'cai'yun'fei'zeng'jia
熟知必然转化为真知,shu'zhi'bi'ran'zhuan'hua'wei'zhen'zhi
熟知不等于真知,shu'zhi'bu'deng'yu'zhen'zhi
熟知起源于真知,shu'zhi'qi'yuan'yu'zhen'zhi
斯大林,si'da'lin
私人劳动和社会劳动,si'ren'lao'dong'he'she'hui'lao'dong
私人劳动与社会劳动,si'ren'lao'dong'yu'she'hui'lao'dong
私人劳动与社会劳动的矛盾,si'ren'lao'dong'yu'she'hui'lao'dong'de'mao'dun
私人企业,si'ren'qi'ye
思维的产物,si'wei'de'chan'wu
思维的对象,si'wei'de'dui'xiang
思维的器官,si'wei'de'qi'guan
思维可以认识存在,si'wei'ke'yi'ren'shi'cun'zai
思维与存在的关系问题,si'wei'yu'cun'zai'de'guan'xi'wen'ti
思想关系,si'xiang'guan'xi
思想家们的创造性思维,si'xiang'jia'men'de'chuang'zao'xing'si'wei
所有人共同属性的概括,suo'you'ren'gong'tong'shu'xing'de'gai'kuo
它的阶级性,ta'de'jie'ji'xing
它所服务的经济基础的性质,ta'suo'fu'wu'de'jing'ji'ji'chu'de'xing'zhi
提出了新经济政策,ti'chu'le'xin'jing'ji'zheng'ce
提高劳动生产率而获得,ti'gao'lao'dong'sheng'chan'lv'er'huo'de
提供了普遍适用的客观真理,ti'gong'le'pu'bian'shi'yong'de'ke'guan'zhen'li
同一对象真理性的认识只有一个,tong'yi'dui'xiang'zhen'li'xing'de'ren'shi'zhi'you'yi'ge
统治阶级的思想,tong'zhi'jie'ji'de'si'xiang
吐故纳新,tu'gu'na'xin
完善社会主义制度,wan'shan'she'hui'zhu'yi'zhi'du
违反事物发展规律的表现,wei'fan'shi'wu'fa'zhan'gui'lv'de'biao'xian
唯物辩证法的观点,wei'wu'bian'zheng'fa'de'guan'dian
唯物的和辩证的,wei'wu'de'he'bian'zheng'de
唯物史观,wei'wu'shi'guan
唯物史观与唯心史观的对立,wei'wu'shi'guan'yu'wei'xin'shi'guan'de'dui'li
唯物主义反映论的观点,wei'wu'zhu'yi'fan'ying'lun'de'guan'dian
唯物主义和辩证法,wei'wu'zhu'yi'he'bian'zheng'fa
唯物主义和唯心主义共同的原则,wei'wu'zhu'yi'he'wei'xin'zhu'yi'gong'tong'de'yuan'ze
唯物主义认识论的共同原则,wei'wu'zhu'yi'ren'shi'lun'de'gong'tong'yuan'ze
唯物主义与唯心主义的对立,wei'wu'zhu'yi'yu'wei'xin'zhu'yi'de'dui'li
唯物主义哲学,wei'wu'zhu'yi'zhe'xue
唯物主义哲学的基本问题,wei'wu'zhu'yi'zhe'xue'de'ji'ben'wen'ti
唯物主义哲学的基石,wei'wu'zhu'yi'zhe'xue'de'ji'shi
唯心辩证法与唯物辩证法的关系,wei'xin'bian'zheng'fa'yu'wei'wu'bian'zheng'fa'de'guan'xi
唯心论,wei'xin'lun
唯心主义的观点,wei'xin'zhu'yi'de'guan'dian
唯心主义坚持的错误观点,wei'xin'zhu'yi'jian'chi'de'cuo'wu'guan'dian
唯心主义与唯物主义的关系,wei'xin'zhu'yi'yu'wei'wu'zhu'yi'de'guan'xi
稳定性,wen'ding'xing
文化构造了人的本质,wen'hua'gou'zao'le'ren'de'ben'zhi
文化是历史进步的源泉,wen'hua'shi'li'shi'jin'bu'de'yuan'quan
文化是社会发展的主导力量,wen'hua'shi'she'hui'fa'zhan'de'zhu'dao'li'liang
文化水平,wen'hua'shui'ping
无产阶级革命,wu'chan'jie'ji'ge'ming
无产阶级和资产阶级之间的矛盾,wu'chan'jie'ji'he'zi'chan'jie'ji'zhi'jian'de'mao'dun
无产阶级历史使命学说,wu'chan'jie'ji'li'shi'shi'ming'xue'shuo
无产阶级专政,wu'chan'jie'ji'zhuan'zheng
无产阶级专政理论,wu'chan'jie'ji'zhuan'zheng'li'lun
无产阶级专政学说,wu'chan'jie'ji'zhuan'zheng'xue'shuo
无数资本家追逐超额利润的结果,wu'shu'zi'ben'jia'zhui'zhu'chao'e'li'run'de'jie'guo
无限性,wu'xian'xing
物质和意识何者更为重要,wu'zhi'he'yi'shi'he'zhe'geng'wei'zhong'yao
物质和意识是否具有统一性,wu'zhi'he'yi'shi'shi'fou'ju'you'tong'yi'xing
物质具有客观实在性,wu'zhi'ju'you'ke'guan'shi'zai'xing
物质可以认识,wu'zhi'ke'yi'ren'shi
物质能为感官感知,wu'zhi'neng'wei'gan'guan'gan'zhi
物质生产,wu'zhi'sheng'chan
物质生产和精神生产的矛盾规律,wu'zhi'sheng'chan'he'jing'shen'sheng'chan'de'mao'dun'gui'lv
物质生活资料的生产,wu'zhi'sheng'huo'zi'liao'de'sheng'chan
物质世界和精神世界的统一,wu'zhi'shi'jie'he'jing'shen'shi'jie'de'tong'yi
物质世界依赖于人的意识而存在,wu'zhi'shi'jie'yi'lai'yu'ren'de'yi'shi'er'cun'zai
物质性,wu'zhi'xing
物质运动是时空的形式,wu'zhi'yun'dong'shi'shi'kong'de'xing'shi
系统化理论化的世界观,xi'tong'hua'li'lun'hua'de'shi'jie'guan
狭义的马克思主义,xia'yi'de'ma'ke'si'zhu'yi
现金,xian'jin
先进阶级的进步认识,xian'jin'jie'ji'de'jin'bu'ren'shi
先进思想和革命理论的传播,xian'jin'si'xiang'he'ge'ming'li'lun'de'chuan'bo
现实中的根据和条件是否充分,xian'shi'zhong'de'gen'ju'he'tiao'jian'shi'fou'chong'fen
现实中有无根据和条件,xian'shi'zhong'you'wu'gen'ju'he'tiao'jian
现象与本质,xian'xiang'yu'ben'zhi
先验论,xian'yan'lun
相对剩余价值,xiang'dui'sheng'yu'jia'zhi
相对稳定的因素,xiang'dui'wen'ding'de'yin'su
相对性,xiang'dui'xing
相对主义的观点,xiang'dui'zhu'yi'de'guan'dian
相互作用的关系,xiang'hu'zuo'yong'de'guan'xi
消费关系,xiao'fei'guan'xi
消灭城市和乡村的差别,xiao'mie'cheng'shi'he'xiang'cun'de'cha'bie
消灭阶级,xiao'mie'jie'ji
消灭利益差别,xiao'mie'li'yi'cha'bie
消灭脑力劳动和体力劳动的差别,xiao'mie'nao'li'lao'dong'he'ti'li'lao'dong'de'cha'bie
小生产者有人身自由,xiao'sheng'chan'zhe'you'ren'shen'zi'you
谢林和费希特,xie'lin'he'fei'xi'te
新民主主义论,xin'min'zhu'zhu'yi'lun
新事物不断战胜旧事物,xin'shi'wu'bu'duan'zhan'sheng'jiu'shi'wu
新事物的产生和旧事物的灭亡,xin'shi'wu'de'chan'sheng'he'jiu'shi'wu'de'mie'wang
心外无物,xin'wai'wu'wu
信用货币,xin'yong'huo'bi
形成了完整的理论体系,xing'cheng'le'wan'zheng'de'li'lun'ti'xi
形而上学的观点,xing'er'shang'xue'de'guan'dian
形而上学唯物主义,xing'er'shang'xue'wei'wu'zhu'yi
形而上学唯物主义的观点,xing'er'shang'xue'wei'wu'zhu'yi'de'guan'dian
形式和内容的关系,xing'shi'he'nei'rong'de'guan'xi
形式和状态,xing'shi'he'zhuang'tai
星星之火可以燎原,xing'xing'zhi'huo'ke'yi'liao'yuan
性质完全不同的两种真理,xing'zhi'wan'quan'bu'tong'de'liang'zhong'zhen'li
虚拟资本泡沫化的恶果,xu'ni'zi'ben'pao'mo'hua'de'e'guo
选择性,xuan'ze'xing
亚当斯密和大卫李嘉图,ya'dang'si'mi'he'da'wei'li'jia'tu
亚当斯密和凯恩斯,ya'dang'si'mi'he'kai'en'si
延安整风时期,yan'an'zheng'feng'shi'qi
研究对象,yan'jiu'dui'xiang
要把事物看成一个整体,yao'ba'shi'wu'kan'cheng'yi'ge'zheng'ti
要把握事物的度,yao'ba'wo'shi'wu'de'du
一般和个别的关系界定的,yi'ban'he'ge'bie'de'guan'xi'jie'ding'de
一部分哲学的基本问题,yi'bu'fen'zhe'xue'de'ji'ben'wen'ti
以阶级斗争为标准,yi'jie'ji'dou'zheng'wei'biao'zhun
以客观事物的有用性为认识对象,yi'ke'guan'shi'wu'de'you'yong'xing'wei'ren'shi'dui'xiang
以客体的有用属性为认识对象,yi'ke'ti'de'you'yong'shu'xing'wei'ren'shi'dui'xiang
一切从实际出发,yi'qie'cong'shi'ji'chu'fa
一切社会关系的总和,yi'qie'she'hui'guan'xi'de'zong'he
一切同时并存的现象之间的联系,yi'qie'tong'shi'bing'cun'de'xian'xiang'zhi'jian'de'lian'xi
一切唯物主义的观点,yi'qie'wei'wu'zhu'yi'de'guan'dian
一切唯物主义的真理观,yi'qie'wei'wu'zhu'yi'de'zhen'li'guan
以人的劳动的有用性为认识对象,yi'ren'de'lao'dong'de'you'yong'xing'wei'ren'shi'dui'xiang
意识,yi'shi
意识本质问题,yi'shi'ben'zhi'wen'ti
意识不受客体影响,yi'shi'bu'shou'ke'ti'ying'xiang
意识从一开始起就是社会的产物,yi'shi'cong'yi'kai'shi'qi'jiu'shi'she'hui'de'chan'wu
意识的内容是主观的,yi'shi'de'nei'rong'shi'zhu'guan'de
意识等于物质,yi'shi'deng'yu'wu'zhi
意识范畴,yi'shi'fan'chou
意识具有能动作用,yi'shi'ju'you'neng'dong'zuo'yong
意识决定物质,yi'shi'jue'ding'wu'zhi
意识是人脑中特有的物质,yi'shi'shi'ren'nao'zhong'te'you'de'wu'zhi
意识受主体状况影响,yi'shi'shou'zhu'ti'zhuang'kuang'ying'xiang
意识形态,yi'shi'xing'tai
一元性,yi'yuan'xing
一种创造价值的社会活动,yi'zhong'chuang'zao'jia'zhi'de'she'hui'huo'dong
一种关于价值现象的认识活动,yi'zhong'guan'yu'jia'zhi'xian'xiang'de'ren'shi'huo'dong
一种利益交换活动,yi'zhong'li'yi'jiao'huan'huo'dong
银行资本,yin'hang'zi'ben
引起和被引起的现象之间的联系,yin'qi'he'bei'yin'qi'de'xian'xiang'zhi'jian'de'lian'xi
英雄造时势,ying'xiong'zao'shi'shi
应用软件的计算机,ying'yong'ruan'jian'de'ji'suan'ji
用来整理感性材料的思维形式,yong'lai'zheng'li'gan'xing'cai'liao'de'si'wei'xing'shi
庸俗唯物主义,yong'su'wei'wu'zhu'yi
庸俗唯物主义的观点,yong'su'wei'wu'zhu'yi'de'guan'dian
庸俗唯物主义理解,yong'su'wei'wu'zhu'yi'li'jie
有其因必有其果,you'qi'yin'bi'you'qi'guo
有些人是必然的有些人是偶然的,you'xie'ren'shi'bi'ran'de'you'xie'ren'shi'ou'ran'de
预见性,yu'jian'xing
与时俱进,yu'shi'ju'jin
语言的产生,yu'yan'de'chan'sheng
源泉和动力,yuan'quan'he'dong'li
运动,yun'dong
运动的存在方式,yun'dong'de'cun'zai'fang'shi
运动的衡量尺度,yun'dong'de'heng'liang'chi'du
运动的基础和承担者,yun'dong'de'ji'chu'he'cheng'dan'zhe
运动的内在原因,yun'dong'de'nei'zai'yuan'yin
运动的原因和根据,yun'dong'de'yuan'yin'he'gen'ju
运动发展的观点,yun'dong'fa'zhan'de'guan'dian
运动范畴,yun'dong'fan'chou
运动性,yun'dong'xing
运动与物质是不可分割的,yun'dong'yu'wu'zhi'shi'bu'ke'fen'ge'de
在生产中人与人的关系,zai'sheng'chan'zhong'ren'yu'ren'de'guan'xi
在实际工作中的体现,zai'shi'ji'gong'zuo'zhong'de'ti'xian
早期空想社会主义,zao'qi'kong'xiang'she'hui'zhu'yi
增加社会财富总量,zeng'jia'she'hui'cai'fu'zong'liang
增加剩余劳动时间而获得,zeng'jia'sheng'yu'lao'dong'shi'jian'er'huo'de
掌握历史发展规律,zhang'wo'li'shi'fa'zhan'gui'lv
哲学的存在方式是物质,zhe'xue'de'cun'zai'fang'shi'shi'wu'zhi
哲学历史,zhe'xue'li'shi
哲学与具体科学的关系界定的,zhe'xue'yu'ju'ti'ke'xue'de'guan'xi'jie'ding'de
折中主义的观点,zhe'zhong'zhu'yi'de'guan'dian
真理,zhen'li
真理的标准是多重的,zhen'li'de'biao'zhun'shi'duo'zhong'de
真理的绝对性,zhen'li'de'jue'dui'xing
真理的相对性,zhen'li'de'xiang'dui'xing
真理的一元性,zhen'li'de'yi'yuan'xing
真理具有绝对性,zhen'li'ju'you'jue'dui'xing
真理是与人的具体利益相联系,zhen'li'shi'yu'ren'de'ju'ti'li'yi'xiang'lian'xi
真理性主观性,zhen'li'xing'zhu'guan'xing
真理有待扩展和深化,zhen'li'you'dai'kuo'zhan'he'shen'hua
真理有相对性,zhen'li'you'xiang'dui'xing
镇压敌对阶级的反抗和破坏活动,zhen'ya'di'dui'jie'ji'de'fan'kang'he'po'huai'huo'dong
整顿党的作风,zheng'dun'dang'de'zuo'feng
政治法律思想,zheng'zhi'fa'lv'si'xiang
政治法律制度和政治法律思想,zheng'zhi'fa'lv'zhi'du'he'zheng'zhi'fa'lv'si'xiang
政治关系,zheng'zhi'guan'xi
政治经济学,zheng'zhi'jing'ji'xue
政治实践,zheng'zhi'shi'jian
政治思想和法律思想,zheng'zhi'si'xiang'he'fa'lv'si'xiang
政治运动,zheng'zhi'yun'dong
政治制度和法律制度,zheng'zhi'zhi'du'he'fa'lv'zhi'du
质变和量变相互渗透,zhi'bian'he'liang'bian'xiang'hu'shen'tou
质变为新的量变开辟道路,zhi'bian'wei'xin'de'liang'bian'kai'pi'dao'lu
质变优于量变,zhi'bian'you'yu'liang'bian
支付手段,zhi'fu'shou'duan
直观唯物主义理解,zhi'guan'wei'wu'zhu'yi'li'jie
直接经验比间接经验更重要,zhi'jie'jing'yan'bi'jian'jie'jing'yan'geng'zhong'yao
直接现实性,zhi'jie'xian'shi'xing
质量互变规律,zhi'liang'hu'bian'gui'lv
只能靠经济力量去实现社会主义,zhi'neng'kao'jing'ji'li'liang'qu'shi'xian'she'hui'zhu'yi
重点论的观点,zhong'dian'lun'de'guan'dian
中国共产党,zhong'guo'gong'chan'dang
终极性,zhong'ji'xing
贮藏手段,zhu'cang'shou'duan
主次矛盾和矛盾的主次方面,zhu'ci'mao'dun'he'mao'dun'de'zhu'ci'fang'mian
主动性,zhu'dong'xing
主观对客观的反映,zhu'guan'dui'ke'guan'de'fan'ying
主观联系,zhu'guan'lian'xi
主观唯心主义和客观唯心主义,zhu'guan'wei'xin'zhu'yi'he'ke'guan'wei'xin'zhu'yi
主体,zhu'ti
主体和客体的关系界定的,zhu'ti'he'ke'ti'de'guan'xi'jie'ding'de
主体能动性,zhu'ti'neng'dong'xing
主要矛盾,zhu'yao'mao'dun
主要矛盾和次要矛盾关系原理,zhu'yao'mao'dun'he'ci'yao'mao'dun'guan'xi'yuan'li
主要内容,zhu'yao'nei'rong
资本的原始积累,zi'ben'de'yuan'shi'ji'lei
资本积累的必然结果,zi'ben'ji'lei'de'bi'ran'jie'guo
资本论,zi'ben'lun
资本有机构成平均化的结果,zi'ben'you'ji'gou'cheng'ping'jun'hua'de'jie'guo
资本与雇佣劳动的矛盾,zi'ben'yu'gu'yong'lao'dong'de'mao'dun
资本与劳动之间的对立,zi'ben'yu'lao'dong'zhi'jian'de'dui'li
资本主义经济的发展,zi'ben'zhu'yi'jing'ji'de'fa'zhan
资本主义经济危机,zi'ben'zhu'yi'jing'ji'wei'ji
资本主义制度的改革,zi'ben'zhu'yi'zhi'du'de'gai'ge
资产阶级革命,zi'chan'jie'ji'ge'ming
自然和社会的关系问题,zi'ran'he'she'hui'de'guan'xi'wen'ti
自然资源,zi'ran'zi'yuan
自有理性的外化,zi'you'li'xing'de'wai'hua
宗教关系,zong'jiao'guan'xi
总是不利于社会的进步和发展,zong'shi'bu'li'yu'she'hui'de'jin'bu'he'fa'zhan
总是通过暴力的形式进行调节,zong'shi'tong'guo'bao'li'de'xing'shi'jin'xing'tiao'jie
总是有利于社会的进步和发展,zong'shi'you'li'yu'she'hui'de'jin'bu'he'fa'zhan
最崇高的社会理想,zui'chong'gao'de'she'hui'li'xiang
最根本的世界观和方法论,zui'gen'ben'de'shi'jie'guan'he'fang'fa'lun
最鲜明的政治立场,zui'xian'ming'de'zheng'zhi'li'chang
尊重规律,zun'zhong'gui'lv
