阿呆,a'dai
什么也都不和我说,shen'me'ye'dou'bu'he'wo'shuo
什么挣钱呢,shen'me'zheng'qian'ne
是啊,shi'a
是不是新中关那里的,shi'bu'shi'xin'zhong'guan'na'li'de
是不是应该把你网银给撤销了,shi'bu'shi'ying'gai'ba'ni'wang'yin'gei'che'xiao'le
是出差的吗还是在那边工作啊,shi'chu'chai'de'ma'hai'shi'zai'na'bian'gong'zuo'a
是的,shi'de
是滴,shi'di
是滴在新东方呢,shi'di'zai'xin'dong'fang'ne
是个美女,shi'ge'mei'nv
试过的,shi'guo'de
使加班,shi'jia'ban
是浏览器的问题吗,shi'liu'lan'qi'de'wen'ti'ma
是浏览器问题是吧,shi'liu'lan'qi'wen'ti'shi'ba
是吗,shi'ma
是吗你在哪啊,shi'ma'ni'zai'na'a
是你的性格,shi'ni'de'xing'ge
是我是谁,shi'wo'shi'shui
是我心里有问题,shi'wo'xin'li'you'wen'ti
是我只考虑了我自己,shi'wo'zhi'kao'lv'le'wo'zi'ji
是在你之后才认识的他,shi'zai'ni'zhi'hou'cai'ren'shi'de'ta
是真的,shi'zhen'de
受得了敷衍,shou'de'liao'fu'yan
售房售车还是,shou'fang'shou'che'hai'shi
手机连接这个网址,shou'ji'lian'jie'zhe'ge'wang'zhi
手机上没有你的号了,shou'ji'shang'mei'you'ni'de'hao'le
守望未来,shou'wang'wei'lai
数绵羊去,shu'mian'yang'qu
双击,shuang'ji
睡不着,shui'bu'zhao
睡不着啊,shui'bu'zhao'a
顺便看看它,shun'bian'kan'kan'ta
顺义妞子,shun'yi'niu'zi
顺义瑞瑞,shun'yi'rui'rui
说大半夜的打什么电话,shuo'da'ban'ye'de'da'shen'me'dian'hua
说方案,shuo'fang'an
说句实话心里挺痛的,shuo'ju'shi'hua'xin'li'ting'tong'de
说了我一顿,shuo'le'wo'yi'dun
说说呗,shuo'shuo'bei
说他我就想哭,shuo'ta'wo'jiu'xiang'ku
说我在泡你,shuo'wo'zai'pao'ni
死不了,si'bu'liao
宋德福,song'de'fu
苏文玲,su'wen'ling
虽然说现在可以查询了,sui'ran'shuo'xian'zai'ke'yi'cha'xun'le
孙宝旭,sun'bao'xu
孙静,sun'jing
所以,suo'yi
所以不想跟人处了呢,suo'yi'bu'xiang'gen'ren'chu'le'ne
所以都是你的错,suo'yi'dou'shi'ni'de'cuo
所以我才说我感觉不到我喜欢你,suo'yi'wo'cai'shuo'wo'gan'jue'bu'dao'wo'xi'huan'ni
所以要把你的网银给撤销了么,suo'yi'yao'ba'ni'de'wang'yin'gei'che'xiao'le'me
他不放假,ta'bu'fang'jia
她不会像我这样伤你,ta'bu'hui'xiang'wo'zhe'yang'shang'ni
她和你一样大,ta'he'ni'yi'yang'da
他家是黑龙江的,ta'jia'shi'hei'long'jiang'de
他们特么的还不消停,ta'men'te'me'de'hai'bu'xiao'ting
他去哪里了,ta'qu'na'li'le
太君,tai'jun
太远,tai'yuan
太远了,tai'yuan'le
天道暂定俩人,tian'dao'zan'ding'lia'ren
天天加班啊,tian'tian'jia'ban'a
听话,ting'hua
听那个语气好像是老员工,ting'na'ge'yu'qi'hao'xiang'shi'lao'yuan'gong
通话时长秒,tong'hua'shi'chang'miao
通州,tong'zhou
头疼,tou'teng
偷偷蓝么,tou'tou'lan'me
推荐猎豹,tui'jian'lie'bao
退了,tui'le
哇那还真是,wa'na'hai'zhen'shi
晚点时间再说吧,wan'dian'shi'jian'zai'shuo'ba
玩鲁阿鲁呢,wan'lu'a'lu'ne
网吧啊,wang'ba'a
王迪,wang'di
忘记怎么弄得了,wang'ji'zen'me'nong'de'le
王丽芳,wang'li'fang
王立军,wang'li'jun
王力平,wang'li'ping
王立平,wang'li'ping
王瑞雪,wang'rui'xue
王雪山,wang'xue'shan
味道太大了,wei'dao'tai'da'le
为了我这样的女人,wei'le'wo'zhe'yang'de'nv'ren
为什么,wei'shen'me
为什么啊,wei'shen'me'a
伪装不过是自我安慰,wei'zhuang'bu'guo'shi'zi'wo'an'wei
问的电话号码,wen'de'dian'hua'hao'ma
文员类的,wen'yuan'lei'de
我不知道啊,wo'bu'zhi'dao'a
我不知道你怎么想的,wo'bu'zhi'dao'ni'zen'me'xiang'de
我从来不会对自己好,wo'cong'lai'bu'hui'dui'zi'ji'hao
我打开就有图啊,wo'da'kai'jiu'you'tu'a
我大哭了一顿,wo'da'ku'le'yi'dun
我待会再走,wo'dai'hui'zai'zou
我的电话你知道,wo'de'dian'hua'ni'zhi'dao
我电话,wo'dian'hua
我电脑又出现上次的问题了,wo'dian'nao'you'chu'xian'shang'ci'de'wen'ti'le
我都不知道他怎么想的,wo'dou'bu'zhi'dao'ta'zen'me'xiang'de
我都感觉不到你喜欢我,wo'dou'gan'jue'bu'dao'ni'xi'huan'wo
我都会找和他长得像的人,wo'dou'hui'zhao'he'ta'zhang'de'xiang'de'ren
我都结婚的人了,wo'dou'jie'hun'de'ren'le
我都快结婚的人了,wo'dou'kuai'jie'hun'de'ren'le
我都想退群了,wo'dou'xiang'tui'qun'le
我给你打电话还打不通呢,wo'gei'ni'da'dian'hua'hai'da'bu'tong'ne
我跟你说实话,wo'gen'ni'shuo'shi'hua
我跟他当时就会分了,wo'gen'ta'dang'shi'jiu'hui'fen'le
我故意的,wo'gu'yi'de
我还是像上回一样的感觉,wo'hai'shi'xiang'shang'hui'yi'yang'de'gan'jue
我和燕子,wo'he'yan'zi
我很少看电影的,wo'hen'shao'kan'dian'ying'de
我换个好几个号码了,wo'huan'ge'hao'ji'ge'hao'ma'le
我家买房子了就这几天,wo'jia'mai'fang'zi'le'jiu'zhe'ji'tian
我家一直就要找一个比我大的,wo'jia'yi'zhi'jiu'yao'zhao'yi'ge'bi'wo'da'de
我接下来怎么做,wo'jie'xia'lai'zen'me'zuo
我今天上班呢,wo'jin'tian'shang'ban'ne
我今天也在公司看小说呢,wo'jin'tian'ye'zai'gong'si'kan'xiao'shuo'ne
我就没有安全感,wo'jiu'mei'you'an'quan'gan
我觉得不太好,wo'jue'de'bu'tai'hao
我觉得都好看,wo'jue'de'dou'hao'kan
我觉得是我心里有问题吧,wo'jue'de'shi'wo'xin'li'you'wen'ti'ba
我觉得挺好,wo'jue'de'ting'hao
我觉得我好像是要被顶下去了,wo'jue'de'wo'hao'xiang'shi'yao'bei'ding'xia'qu'le
我觉得我们要分手了,wo'jue'de'wo'men'yao'fen'shou'le
我看错了,wo'kan'cuo'le
我空间里面的就是,wo'kong'jian'li'mian'de'jiu'shi
我拉进来的,wo'la'jin'lai'de
我老叔的车,wo'lao'shu'de'che
我老叔就凑个油钱,wo'lao'shu'jiu'cou'ge'you'qian
我勒个去,wo'le'ge'qu
我累,wo'lei
我买这个,wo'mai'zhe'ge
我买这个颜色还是这个,wo'mai'zhe'ge'yan'se'hai'shi'zhe'ge
我没有和她联系过啊,wo'mei'you'he'ta'lian'xi'guo'a
我们公司明天要加一个财务了,wo'men'gong'si'ming'tian'yao'jia'yi'ge'cai'wu'le
我们已经是好友了,wo'men'yi'jing'shi'hao'you'le
我们之前就有过一段,wo'men'zhi'qian'jiu'you'guo'yi'duan
我们总部在在那里我是在图书城,wo'men'zong'bu'zai'zai'na'li'wo'shi'zai'tu'shu'cheng
我配合,wo'pei'he
我其实很省的,wo'qi'shi'hen'sheng'de
我去找你,wo'qu'zhao'ni
我是真的不喜欢斗,wo'shi'zhen'de'bu'xi'huan'dou
我说的是群里的是我是谁,wo'shuo'de'shi'qun'li'de'shi'wo'shi'shui
我说有对象了,wo'shuo'you'dui'xiang'le
我太好奇了,wo'tai'hao'qi'le
我天道,wo'tian'dao
我忘记了,wo'wang'ji'le
我问问,wo'wen'wen
我问问还有地方么,wo'wen'wen'hai'you'di'fang'me
我喜欢小猫小狗的呀,wo'xi'huan'xiao'mao'xiao'gou'de'ya
我先上班有时间聊,wo'xian'shang'ban'you'shi'jian'liao
我先问问啊,wo'xian'wen'wen'a
我现在打扰你吗,wo'xian'zai'da'rao'ni'ma
我现在有事不在,wo'xian'zai'you'shi'bu'zai
我现在在家,wo'xian'zai'zai'jia
我想把心平下来,wo'xiang'ba'xin'ping'xia'lai
我想问你一个问题,wo'xiang'wen'ni'yi'ge'wen'ti
我行么,wo'xing'me
我要是心动没准就会考虑的,wo'yao'shi'xin'dong'mei'zhun'jiu'hui'kao'lv'de
我也很纠结,wo'ye'hen'jiu'jie
我也觉得,wo'ye'jue'de
我也看上那个了才,wo'ye'kan'shang'na'ge'le'cai
我也是哈哈,wo'ye'shi'ha'ha
我也有孔卡,wo'ye'you'kong'ka
我也在找人呢,wo'ye'zai'zhao'ren'ne
我以后一天只花,wo'yi'hou'yi'tian'zhi'hua
我一会给你说,wo'yi'hui'gei'ni'shuo
我一直在纠结,wo'yi'zhi'zai'jiu'jie
我在北宫门上班,wo'zai'bei'gong'men'shang'ban
我在看一个动物的电影,wo'zai'kan'yi'ge'dong'wu'de'dian'ying
我在老家,wo'zai'lao'jia
我在史各庄呢,wo'zai'shi'ge'zhuang'ne
我在我家这边,wo'zai'wo'jia'zhe'bian
我怎么进不去空间了,wo'zen'me'jin'bu'qu'kong'jian'le
我怎么觉得你很高兴,wo'zen'me'jue'de'ni'hen'gao'xing
我找不到啊,wo'zhao'bu'dao'a
我找了一个男朋友,wo'zhao'le'yi'ge'nan'peng'you
我这没找到,wo'zhe'mei'zhao'dao
我知道,wo'zhi'dao
我知道啊,wo'zhi'dao'a
我知道的在北京的没有几个,wo'zhi'dao'de'zai'bei'jing'de'mei'you'ji'ge
我知道你看见我脖子上的印子了,wo'zhi'dao'ni'kan'jian'wo'bo'zi'shang'de'yin'zi'le
我知道我做的不道义,wo'zhi'dao'wo'zuo'de'bu'dao'yi
我只能找这些方式发泄,wo'zhi'neng'zhao'zhe'xie'fang'shi'fa'xie
我走了,wo'zou'le
无地域限制,wu'di'yu'xian'zhi
无聊,wu'liao
习惯了,xi'guan'le
洗衣服来,xi'yi'fu'lai
下次给你看,xia'ci'gei'ni'kan
夏丽阳,xia'li'yang
夏立阳,xia'li'yang
下一次想换到朝阳那边去,xia'yi'ci'xiang'huan'dao'zhao'yang'na'bian'qu
下载安装,xia'zai'an'zhuang
下载了好多关于动物的,xia'zai'le'hao'duo'guan'yu'dong'wu'de
先说你又没有,xian'shuo'ni'you'mei'you
现在,xian'zai
现在待遇怎么样,xian'zai'dai'yu'zen'me'yang
现在的孩子真不知啊,xian'zai'de'hai'zi'zhen'bu'zhi'a
现在干什么呢,xian'zai'gan'shen'me'ne
现在开始对话吧,xian'zai'kai'shi'dui'hua'ba
现在忙上了,xian'zai'mang'shang'le
现在品味提升了开始厅英文歌了,xian'zai'pin'wei'ti'sheng'le'kai'shi'ting'ying'wen'ge'le
现在我比以前坏多了,xian'zai'wo'bi'yi'qian'huai'duo'le
现在想到这个我依然很揪心,xian'zai'xiang'dao'zhe'ge'wo'yi'ran'hen'jiu'xin
现在兴奋完了,xian'zai'xing'fen'wan'le
现在在哪里呢,xian'zai'zai'na'li'ne
现在在那里呢,xian'zai'zai'na'li'ne
现在怎么成烦躁了,xian'zai'zen'me'cheng'fan'zao'le
想进空间,xiang'jin'kong'jian
小懒,xiao'lan
小卢子,xiao'lu'zi
小妹,xiao'mei
小事烧纸招魂,xiao'shi'shao'zhi'zhao'hun
小永,xiao'yong
肖志强,xiao'zhi'qiang
小子,xiao'zi
谢了,xie'le
谢了呵呵,xie'le'he'he
歇着呢,xie'zhe'ne
信长江,xin'chang'jiang
新东方干什么,xin'dong'fang'gan'shen'me
心烦,xin'fan
心烦也不能淋雨啊,xin'fan'ye'bu'neng'lin'yu'a
心里一直就不甘心,xin'li'yi'zhi'jiu'bu'gan'xin
薪资日结,xin'zi'ri'jie
兴奋那是上上个星期的事情,xing'fen'na'shi'shang'shang'ge'xing'qi'de'shi'qing
姓名姓名余娅娅,xing'ming'xing'ming'yu'ya'ya
邢志颖,xing'zhi'ying
徐东旭,xu'dong'xu
徐鹏程,xu'peng'cheng
徐鹏飞,xu'peng'fei
需要时间制作证书啊,xu'yao'shi'jian'zhi'zuo'zheng'shu'a
丫的敢不理我了,ya'de'gan'bu'li'wo'le
呀离得很紧,ya'li'de'hen'jin
娅娅,ya'ya
雁南飞,yan'nan'fei
艳照门照片都发我,yan'zhao'men'zhao'pian'dou'fa'wo
杨宏伟,yang'hong'wei
杨金荣,yang'jin'rong
杨蕊,yang'rui
要不没有启动资金,yao'bu'mei'you'qi'dong'zi'jin
要不怎么玩,yao'bu'zen'me'wan
要纯黑的,yao'chun'hei'de
要分我们手里的权利,yao'fen'wo'men'shou'li'de'quan'li
要结婚了这个时候回老家,yao'jie'hun'le'zhe'ge'shi'hou'hui'lao'jia
要经得起谎言,yao'jing'de'qi'huang'yan
要你过来看我都跟我讨价还价,yao'ni'guo'lai'kan'wo'dou'gen'wo'tao'jia'huan'jia
要跳槽呢,yao'tiao'cao'ne
要我以后也去那边,yao'wo'yi'hou'ye'qu'na'bian
也安排过,ye'an'pai'guo
也可以啊,ye'ke'yi'a
也是黑色的,ye'shi'hei'se'de
也是认识的,ye'shi'ren'shi'de
一按键,yi'an'jian
一按键啥也没有,yi'an'jian'sha'ye'mei'you
已登记,yi'deng'ji
异地恋,yi'di'lian
一点安全感都没有,yi'dian'an'quan'gan'dou'mei'you
一方面是因为很忙,yi'fang'mian'shi'yin'wei'hen'mang
一个月打一次电话的吗,yi'ge'yue'da'yi'ci'dian'hua'de'ma
颐和园北宫门地铁,yi'he'yuan'bei'gong'men'di'tie
以后不要干傻事,yi'hou'bu'yao'gan'sha'shi
一会回来聊,yi'hui'hui'lai'liao
一会再和您联系,yi'hui'zai'he'nin'lian'xi
已经退了,yi'jing'tui'le
易南,yi'nan
以前从来不会去找刺激玩,yi'qian'cong'lai'bu'hui'qu'zhao'ci'ji'wan
以前在路上走路的时候,yi'qian'zai'lu'shang'zou'lu'de'shi'hou
議一議,yi'yi'yi
因为在公司呢,yin'wei'zai'gong'si'ne
应该是冻着了两个都难受吗,ying'gai'shi'dong'zhe'le'liang'ge'dou'nan'shou'ma
应该是能做费用,ying'gai'shi'neng'zuo'fei'yong
有车么,you'che'me
有的啊,you'de'a
有地方吗,you'di'fang'ma
有点忙,you'dian'mang
有点兴奋,you'dian'xing'fen
有对象没,you'dui'xiang'mei
有个丫头求我帮忙啊,you'ge'ya'tou'qiu'wo'bang'mang'a
有好工作给我找找,you'hao'gong'zuo'gei'wo'zhao'zhao
有加班费吗,you'jia'ban'fei'ma
有就去,you'jiu'qu
有空玩页游吗,you'kong'wan'ye'you'ma
有了,you'le
有了就不能让我看看了呀真是的,you'le'jiu'bu'neng'rang'wo'kan'kan'le'ya'zhen'shi'de
有么,you'me
有你跟没你一个样,you'ni'gen'mei'ni'yi'ge'yang
有什么可烦得,you'shen'me'ke'fan'de
有什么可兴奋的啊,you'shen'me'ke'xing'fen'de'a
有事,you'shi
有事给我打电话,you'shi'gei'wo'da'dian'hua
有时间过去拷回来,you'shi'jian'guo'qu'kao'hui'lai
有时间聊,you'shi'jian'liao
有时间玩进君羊,you'shi'jian'wan'jin'jun'yang
有事快说,you'shi'kuai'shuo
有事在聊,you'shi'zai'liao
有一个远程协助,you'yi'ge'yuan'cheng'xie'zhu
有一些是没有的,you'yi'xie'shi'mei'you'de
有一些是配过音的,you'yi'xie'shi'pei'guo'yin'de
有照片吗让我看看呗,you'zhao'pian'ma'rang'wo'kan'kan'bei
预算,yu'suan
余文剑,yu'wen'jian
于晓峰,yu'xiao'feng
在北京定不下来,zai'bei'jing'ding'bu'xia'lai
在不就热敷一下,zai'bu'jiu're'fu'yi'xia
在贷款我爸疯了的,zai'dai'kuan'wo'ba'feng'le'de
在干什么呢,zai'gan'shen'me'ne
在考虑什么时候换工作呢,zai'kao'lv'shen'me'shi'hou'huan'gong'zuo'ne
在连接一下,zai'lian'jie'yi'xia
在吗,zai'ma
在吗表情,zai'ma'biao'qing
再买条黑丝袜,zai'mai'tiao'hei'si'wa
在哪啊,zai'na'a
在那边工作,zai'na'bian'gong'zuo
在哪里,zai'na'li
在哪里呢,zai'na'li'ne
在哪里呢中间那个,zai'na'li'ne'zhong'jian'na'ge
在哪里上班呢,zai'na'li'shang'ban'ne
在哪里做这个啊,zai'na'li'zuo'zhe'ge'a
在哪怎么样,zai'na'zen'me'yang
在呢,zai'ne
在呢美女,zai'ne'mei'nv
在你之后,zai'ni'zhi'hou
再说,zai'shuo
在苏州桥那边,zai'su'zhou'qiao'na'bian
再有半小时吧,zai'you'ban'xiao'shi'ba
在找俩,zai'zhao'lia
再找一个,zai'zhao'yi'ge
咱们班山鸡以前叫什么名字来,zan'men'ban'shan'ji'yi'qian'jiao'shen'me'ming'zi'lai
咱们这次在一起的时候,zan'men'zhe'ci'zai'yi'qi'de'shi'hou
怎么报复,zen'me'bao'fu
怎么不早说啊,zen'me'bu'zao'shuo'a
怎么还就扎在山东了,zen'me'huan'jiu'zha'zai'shan'dong'le
怎么回事啊,zen'me'hui'shi'a
怎么了,zen'me'le
怎么没人关心了,zen'me'mei'ren'guan'xin'le
怎么弄,zen'me'nong
怎么跑网吧去了,zen'me'pao'wang'ba'qu'le
怎么秀,zen'me'xiu
怎么样最近,zen'me'yang'zui'jin
怎么又想退群了,zen'me'you'xiang'tui'qun'le
翟丽君,zhai'li'jun
翟宗娜,zhai'zong'na
张冬,zhang'dong
张浩冉,zhang'hao'ran
张金旺,zhang'jin'wang
张鹏飞,zhang'peng'fei
张宇,zhang'yu
张志光,zhang'zhi'guang
找不到,zhao'bu'dao
招不到啊,zhao'bu'dao'a
找对象,zhao'dui'xiang
找个呗带到她面前秀恩爱呗,zhao'ge'bei'dai'dao'ta'mian'qian'xiu'en'ai'bei
赵旭颖,zhao'xu'ying
朝阳梦谷,zhao'yang'meng'gu
朝阳那边工资高点,zhao'yang'na'bian'gong'zi'gao'dian
这不都是黑色的,zhe'bu'dou'shi'hei'se'de
这次他又回来找我,zhe'ci'ta'you'hui'lai'zhao'wo
这个答案怎么样啊,zhe'ge'da'an'zen'me'yang'a
这个都是英语聊天的,zhe'ge'dou'shi'ying'yu'liao'tian'de
这个好看,zhe'ge'hao'kan
这个人是谁,zhe'ge'ren'shi'shui
这个是咱们群里的,zhe'ge'shi'zan'men'qun'li'de
这个行不,zhe'ge'xing'bu
这么不相信我呢,zhe'me'bu'xiang'xin'wo'ne
这三个要哪个,zhe'san'ge'yao'na'ge
这事不开玩笑,zhe'shi'bu'kai'wan'xiao
这是感慨什么呢,zhe'shi'gan'kai'shen'me'ne
这些干够了,zhe'xie'gan'gou'le
这样好啊,zhe'yang'hao'a
真的,zhen'de
真的很揪心,zhen'de'hen'jiu'xin
真就服了他们了,zhen'jiu'fu'le'ta'men'le
真无聊,zhen'wu'liao
正好你不是要换工作呢吗,zheng'hao'ni'bu'shi'yao'huan'gong'zuo'ne'ma
正好现在开始打埋伏,zheng'hao'xian'zai'kai'shi'da'mai'fu
挣钱快,zheng'qian'kuai
证书不是还没有到手嘛,zheng'shu'bu'shi'hai'mei'you'dao'shou'ma
正在,zheng'zai
知道啊,zhi'dao'a
知道吗,zhi'dao'ma
知道吗家里一直在催我找对象,zhi'dao'ma'jia'li'yi'zhi'zai'cui'wo'zhao'dui'xiang
知道我现在的心情吗,zhi'dao'wo'xian'zai'de'xin'qing'ma
直接打卡先打完了我在过去,zhi'jie'da'ka'xian'da'wan'le'wo'zai'guo'qu
只是掩盖忧伤,zhi'shi'yan'gai'you'shang
只想老老实实的成家,zhi'xiang'lao'lao'shi'shi'de'cheng'jia
只要是好女孩就行了,zhi'yao'shi'hao'nv'hai'jiu'xing'le
只有周日,zhi'you'zhou'ri
中关村的,zhong'guan'cun'de
周六上班,zhou'liu'shang'ban
周日才上课啊,zhou'ri'cai'shang'ke'a
周亚茹,zhou'ya'ru
朱宏,zhu'hong
准备换了,zhun'bei'huan'le
自己开公司,zi'ji'kai'gong'si
咨询顾问说白了就是前台,zi'xun'gu'wen'shuo'bai'le'jiu'shi'qian'tai
最近很烦躁,zui'jin'hen'fan'zao
最近忙不忙,zui'jin'mang'bu'mang
最近一直觉得很累,zui'jin'yi'zhi'jue'de'hen'lei
最近有没有清理电脑啊,zui'jin'you'mei'you'qing'li'dian'nao'a
坐班车吧,zuo'ban'che'ba
左边肩膀难受,zuo'bian'jian'bang'nan'shou
做什么车回去,zuo'shen'me'che'hui'qu
做什么呢啊,zuo'shen'me'ne'a
昨天还说找人包车呢,zuo'tian'hai'shuo'zhao'ren'bao'che'ne
昨天晚上冻着了吧,zuo'tian'wan'shang'dong'zhe'le'ba
昨天我就在群里问没有人回哈,zuo'tian'wo'jiu'zai'qun'li'wen'mei'you'ren'hui'ha
昨晚没有,zuo'wan'mei'you
昨晚下雨着凉了,zuo'wan'xia'yu'zhao'liang'le
左右,zuo'you
