爱而不能令,ai'er'bu'neng'ling
令吾间必索知之,ling'wu'jian'bi'suo'zhi'zhi
令吾闻知之而传于敌间也,ling'wu'wen'zhi'zhi'er'chuan'yu'di'jian'ye
令之以文,ling'zhi'yi'wen
留之,liu'zhi
乱而不能治,luan'er'bu'neng'zhi
乱而取之,luan'er'qu'zhi
乱军引胜,luan'jun'yin'sheng
乱生于治,luan'sheng'yu'zhi
乱也,luan'ye
乱者,luan'zhe
掠乡分众,lue'xiang'fen'zhong
掠于饶野,lue'yu'rao'ye
吕牙在殷,lv'ya'zai'yin
每战必败,mei'zhan'bi'bai
门者,men'zhe
縻军,mi'jun
民不服,min'bu'fu
民既专一,min'ji'zhuan'yi
民之司命,min'zhi'si'ming
明君贤将所以动而胜人,ming'jun'xian'jiang'suo'yi'dong'er'sheng'ren
命曰,ming'yue
命曰费留,ming'yue'fei'liu
明主虑之,ming'zhu'lv'zhi
莫难于军争,mo'nan'yu'jun'zheng
莫亲于间,mo'qin'yu'jian
莫知其道,mo'zhi'qi'dao
莫知所之,mo'zhi'suo'zhi
莫知吾所以制胜之形,mo'zhi'wu'suo'yi'zhi'sheng'zhi'xing
谋攻第三,mou'gong'di'san
谋也,mou'ye
暮气归,mu'qi'gui
木石之性,mu'shi'zhi'xing
乃为之势,nai'wei'zhi'shi
难以返,nan'yi'fan
难知如阴,nan'zhi'ru'yin
内间,nei'jian
内间可得而使也,nei'jian'ke'de'er'shi'ye
内间者,nei'jian'zhe
内外骚动,nei'wai'sao'dong
内外之费,nei'wai'zhi'fei
内虚于家,nei'xu'yu'jia
能而示之不能,neng'er'shi'zhi'bu'neng
能使敌人不得至者,neng'shi'di'ren'bu'de'zhi'zhe
能使敌人前后不相及,neng'shi'di'ren'qian'hou'bu'xiang'ji
能使敌人自至者,neng'shi'di'ren'zi'zhi'zhe
能为不可胜,neng'wei'bu'ke'sheng
能以上智为间者,neng'yi'shang'zhi'wei'jian'zhe
能以众击寡者,neng'yi'zhong'ji'gua'zhe
能因敌变化而取胜者,neng'yin'di'bian'hua'er'qu'sheng'zhe
能愚士卒之耳目,neng'yu'shi'zu'zhi'er'mu
鸟集者,niao'ji'zhe
鸟起者,niao'qi'zhe
怒而挠之,nu'er'nao'zhi
怒可以复喜,nu'ke'yi'fu'xi
怒也,nu'ye
圮地无舍,pi'di'wu'she
譬如率然,pi'ru'shuai'ran
譬若骄子,pi'ruo'jiao'zi
疲者后,pi'zhe'hou
平陆处易,ping'lu'chu'yi
破国次之,po'guo'ci'zhi
破军次之,po'jun'ci'zhi
破军罢马,po'jun'pi'ma
破旅次之,po'lv'ci'zhi
破伍次之,po'wu'ci'zhi
破卒次之,po'zu'ci'zhi
其次伐兵,qi'ci'fa'bing
其次伐交,qi'ci'fa'jiao
其法半至,qi'fa'ban'zhi
其法十一而至,qi'fa'shi'yi'er'zhi
其国可隳,qi'guo'ke'hui
起火有日,qi'huo'you'ri
其疾如风,qi'ji'ru'feng
其节短,qi'jie'duan
七十万家,qi'shi'wan'jia
其势险,qi'shi'xian
其所措胜,qi'suo'cuo'sheng
其所居易者,qi'suo'ju'yi'zhe
其下攻城,qi'xia'gong'cheng
其相救也如左右手,qi'xiang'jiu'ye'ru'zuo'you'shou
其徐如林,qi'xu'ru'lin
期也,qi'ye
齐勇如一,qi'yong'ru'yi
其用战也,qi'yong'zhan'ye
其用战也胜,qi'yong'zhan'ye'sheng
其用战也胜久则钝兵挫锐,qi'yong'zhan'ye'sheng'jiu'ze'dun'bing'cuo'rui
其战人也,qi'zhan'ren'ye
其战胜不忒,qi'zhan'sheng'bu'te
奇正是也,qi'zheng'shi'ye
奇正相生,qi'zheng'xiang'sheng
奇正之变,qi'zheng'zhi'bian
齐之以武,qi'zhi'yi'wu
前不能救后,qian'bu'neng'jiu'hou
千里馈粮,qian'li'kui'liang
千里杀将,qian'li'sha'jiang
前死后生,qian'si'hou'sheng
浅则散,qian'ze'san
强而避之,qiang'er'bi'zhi
强弱,qiang'ruo
樵采也,qiao'cai'ye
怯生于勇,qie'sheng'yu'yong
怯者不得独退,qie'zhe'bu'de'du'tui
亲而离之,qin'er'li'zhi
侵掠如火,qin'lue'ru'huo
轻车先出居其侧者,qing'che'xian'chu'ju'qi'ce'zhe
轻地吾将使之属,qing'di'wu'jiang'shi'zhi'shu
轻地也,qing'di'ye
轻地则无止,qing'di'ze'wu'zhi
穷寇勿迫,qiong'kou'wu'po
穷寇也,qiong'kou'ye
丘陵堤防,qiu'ling'di'fang
丘牛大车,qiu'niu'da'che
衢地合交,qu'di'he'jiao
衢地吾将谨其恃,qu'di'wu'jiang'jin'qi'shi
衢地也,qu'di'ye
衢地则合交,qu'di'ze'he'jiao
取敌之利者,qu'di'zhi'li'zhe
驱而来,qu'er'lai
驱而往,qu'er'wang
去国越境而师者,qu'guo'yue'jing'er'shi'zhe
屈力殚货,qu'li'dan'huo
趋其所不意,qu'qi'suo'bu'yi
取人,qu'ren
屈人之兵,qu'ren'zhi'bing
屈伸之力,qu'shen'zhi'li
取用于国,qu'yong'yu'guo
去之,qu'zhi
曲制官道主用也,qu'zhi'guan'dao'zhu'yong'ye
屈诸侯者以害,qu'zhu'hou'zhe'yi'hai
趋诸侯者以利,qu'zhu'hou'zhe'yi'li
全国为上,quan'guo'wei'shang
全军为上,quan'jun'wei'shang
全旅为上,quan'lv'wei'shang
全伍为上,quan'wu'wei'shang
全卒为上,quan'zu'wei'shang
然后能为胜,ran'hou'neng'wei'sheng
然后十万之师举矣,ran'hou'shi'wan'zhi'shi'ju'yi
人皆知我所以胜之形,ren'jie'zhi'wo'suo'yi'sheng'zhi'xing
人君之宝也,ren'jun'zhi'bao'ye
人情之理,ren'qing'zhi'li
任势者,ren'shi'zhe
人之所欲杀,ren'zhi'suo'yu'sha
日费千金,ri'fei'qian'jin
日夜不处,ri'ye'bu'chu
日有短长,ri'you'duan'chang
日月是也,ri'yue'shi'ye
日者,ri'zhe
如登高而去其梯,ru'deng'gao'er'qu'qi'ti
入浅者,ru'qian'zhe
入人之地不深者,ru'ren'zhi'di'bu'shen'zhe
入人之地深,ru'ren'zhi'di'shen
入深者,ru'shen'zhe
如循环之无端,ru'xun'huan'zhi'wu'duan
如以碫投卵者,ru'yi'duan'tou'luan'zhe
入诸侯之地,ru'zhu'hou'zhi'di
如转木石,ru'zhuan'mu'shi
如转圆石,ru'zhuan'yuan'shi
锐卒勿攻,rui'zu'wu'gong
若敌先居之,ruo'di'xian'ju'zhi
若交军于斥泽之中,ruo'jiao'jun'yu'chi'ze'zhi'zhong
若决积水,ruo'jue'ji'shui
若驱群羊,ruo'qu'qun'yang
弱生于强,ruo'sheng'yu'qiang
若使一人,ruo'shi'yi'ren
散地则无战,san'di'ze'wu'zhan
散而条达者,san'er'tiao'da'zhe
三军,san'jun
三军可夺气,san'jun'ke'duo'qi
三军之所恃而动也,san'jun'zhi'suo'shi'er'dong'ye
三军之众,san'jun'zhi'zhong
三军足食,san'jun'zu'shi
三十里而争利,san'shi'li'er'zheng'li
三曰地,san'yue'di
三月而后成,san'yue'er'hou'cheng
三曰火辎,san'yue'huo'zi
三曰数,san'yue'shu
色不过五,se'bu'guo'wu
杀马肉食者,sha'ma'rou'shi'zhe
杀士卒三分之一,sha'shi'zu'san'fen'zhi'yi
善攻者,shan'gong'zhe
山林,shan'lin
山林险阻沮泽,shan'lin'xian'zu'ju'ze
善求之于势,shan'qiu'zhi'yu'shi
善守者,shan'shou'zhe
善守者藏,shan'shou'zhe'cang
善用兵者,shan'yong'bing'zhe
善战者,shan'zhan'zhe
善战者之胜也,shan'zhan'zhe'zhi'sheng'ye
善之善者也,shan'zhi'shan'zhe'ye
赏罚孰明,shang'fa'shu'ming
上将之道也,shang'jiang'zhi'dao'ye
赏莫厚于间,shang'mo'hou'yu'jian
赏其先得者,shang'qi'xian'de'zhe
上下不相收,shang'xia'bu'xiang'shou
上下同欲,shang'xia'tong'yu
上下同欲者胜,shang'xia'tong'yu'zhe'sheng
上雨,shang'yu
上雨水流至欲涉者,shang'yu'shui'liu'zhi'yu'she'zhe
上雨水沫至,shang'yu'shui'mo'zhi
少而往来者,shao'er'wang'lai'zhe
少则能逃之,shao'ze'neng'tao'zhi
舍人,she'ren
神乎神乎,shen'hu'shen'hu
深间不能窥,shen'jian'bu'neng'kui
深入则拘,shen'ru'ze'ju
深入则专,shen'ru'ze'zhuan
深则专,shen'ze'zhuan
声不过五,sheng'bu'guo'wu
胜负见矣,sheng'fu'jian'yi
生间,sheng'jian
生间者,sheng'jian'zhe
胜久,sheng'jiu
胜可为也,sheng'ke'wei'ye
胜可知,sheng'ke'zhi
胜乃不殆,sheng'nai'bu'dai
胜乃可全,sheng'nai'ke'quan
胜已败者也,sheng'yi'bai'zhe'ye
胜于,sheng'yu
胜之半也,sheng'zhi'ban'ye
视不相见,shi'bu'xiang'jian
食敌一钟,shi'di'yi'zhong
实而备之,shi'er'bei'zhi
是故百战百胜,shi'gu'bai'zhan'bai'sheng
是故不争天下之交,shi'gu'bu'zheng'tian'xia'zhi'jiao
是故不知诸侯之谋者,shi'gu'bu'zhi'zhu'hou'zhi'mou'zhe
是故方马埋轮,shi'gu'fang'ma'mai'lun
是故卷甲而趋,shi'gu'juan'jia'er'qu
是故军无辎重则亡,shi'gu'jun'wu'zi'zhong'ze'wang
是故其兵不修而戒,shi'gu'qi'bing'bu'xiu'er'jie
是故屈诸侯者以害,shi'gu'qu'zhu'hou'zhe'yi'hai
是故散地吾将一其志,shi'gu'san'di'wu'jiang'yi'qi'zhi
是故散地则无战,shi'gu'san'di'ze'wu'zhan
是故胜兵,shi'gu'sheng'bing
是故始如处女,shi'gu'shi'ru'chu'nv
是故朝气锐,shi'gu'zhao'qi'rui
是故政举之日,shi'gu'zheng'ju'zhi'ri
是故智者之虑,shi'gu'zhi'zhe'zhi'lv
势均难以挑战,shi'jun'nan'yi'tiao'zhan
使民不得虑,shi'min'bu'de'lv
事莫密于间,shi'mo'mi'yu'jian
恃其险也,shi'qi'xian'ye
十去其六,shi'qu'qi'liu
十去其七,shi'qu'qi'qi
使人备己者也,shi'ren'bei'ji'zhe'ye
士人尽力,shi'ren'jin'li
使人无识,shi'ren'wu'shi
势如彍弩,shi'ru'kuo'nu
视生处,shi'sheng'chu
视生处高,shi'sheng'chu'gao
是谓,shi'wei
是谓必取,shi'wei'bi'qu
是谓必胜,shi'wei'bi'sheng
是谓乱军引胜,shi'wei'luan'jun'yin'sheng
是谓巧能成事,shi'wei'qiao'neng'cheng'shi
是谓神纪,shi'wei'shen'ji
是谓胜敌而益强,shi'wei'sheng'di'er'yi'qiang
施无法之赏,shi'wu'fa'zhi'shang
恃吾有所不可攻也,shi'wu'you'suo'bu'ke'gong'ye
恃吾有以待之,shi'wu'you'yi'dai'zhi
势也,shi'ye
是以十攻其一也,shi'yi'shi'gong'qi'yi'ye
食于敌,shi'yu'di
十则围之,shi'ze'wei'zhi
势者,shi'zhe
时者,shi'zhe
时制,shi'zhi
使之无知,shi'zhi'wu'zhi
识众寡之用,shi'zhong'gua'zhi'yong
失众也,shi'zhong'ye
视卒如爱子,shi'zu'ru'ai'zi
视卒如婴儿,shi'zu'ru'ying'er
士卒孰练,shi'zu'shu'lian
士卒坐者涕沾襟,shi'zu'zuo'zhe'ti'zhan'jin
守而必固者,shou'er'bi'gu'zhe
兽骇者,shou'hai'zhe
守其所必攻也,shou'qi'suo'bi'gong'ye
手若使一人,shou'ruo'shi'yi'ren
守也,shou'ye
守则不足,shou'ze'bu'zu
数罚者,shu'fa'zhe
孰能穷之哉,shu'neng'qiong'zhi'zai
数赏者,shu'shang'zhe
数生称,shu'sheng'cheng
数也,shu'ye
率然者,shuai'ran'zhe
帅与之期,shuai'yu'zhi'qi
帅与之深,shuai'yu'zhi'shen
水可以绝,shui'ke'yi'jue
水流至,shui'liu'zhi
水沫至,shui'mo'zhi
水无常形,shui'wu'chang'xing
水因地而制流,shui'yin'di'er'zhi'liu
水之行,shui'zhi'xing
四彻者,si'che'zhe
死地吾将示之以不活,si'di'wu'jiang'shi'zhi'yi'bu'huo
死地也,si'di'ye
死地则战,si'di'ze'zhan
死而更生,si'er'geng'sheng
死间,si'jian
死间者,si'jian'zhe
死且不北,si'qie'bu'bei
死生,si'sheng
死生之地,si'sheng'zhi'di
四时是也,si'shi'shi'ye
四时无常位,si'shi'wu'chang'wei
四五者,si'wu'zhe
死焉不得,si'yan'bu'de
四曰称,si'yue'cheng
四曰火库,si'yue'huo'ku
四曰将,si'yue'jiang
死者不可以复生,si'zhe'bu'ke'yi'fu'sheng
速而不可及也,su'er'bu'ke'ji'ye
虽画地而守之,sui'hua'di'er'shou'zhi
虽有智者,sui'you'zhi'zhe
虽知地形,sui'zhi'di'xing
虽知五利,sui'zhi'wu'li
孫子兵法,sun'zi'bing'fa
孙子曰,sun'zi'yue
所从归者迂,suo'cong'gui'zhe'yu
索其情,suo'qi'qing
所以变人之耳目也,suo'yi'bian'ren'zhi'er'mu'ye
所以一民之耳目也,suo'yi'yi'min'zhi'er'mu'ye
所由入者隘,suo'you'ru'zhe'ai
天地孰得,tian'di'shu'de
天井,tian'jing
天牢,tian'lao
天罗,tian'luo
天隙,tian'xi
天陷,tian'xian
天者,tian'zhe
天之燥也,tian'zhi'zao'ye
同三军之任,tong'san'jun'zhi'ren
同三军之政,tong'san'jun'zhi'zheng
通形者,tong'xing'zhe
通于九变之利者,tong'yu'jiu'bian'zhi'li'zhe
通者,tong'zhe
投之亡地然后存,tou'zhi'wang'di'ran'hou'cun
投之无所往,tou'zhi'wu'suo'wang
投之于险,tou'zhi'yu'xian
徒来也,tu'lai'ye
途有所不由,tu'you'suo'bu'you
退不避罪,tui'bu'bi'zui
退而不可追者,tui'er'bu'ke'zhui'zhe
退也,tui'ye
亡国不可以复存,wang'guo'bu'ke'yi'fu'cun
为变者也,wei'bian'zhe'ye
为不得已,wei'bu'de'yi
味不过五,wei'bu'guo'wu
为不可测,wei'bu'ke'ce
围地吾将塞其阙,wei'di'wu'jiang'sai'qi'que
围地也,wei'di'ye
围地则谋,wei'di'ze'mou
未睹巧之久,wei'du'qiao'zhi'jiu
为泛地,wei'fan'di
微乎微乎,wei'hu'wei'hu
唯亟去无留,wei'ji'qu'wu'liu
威加于敌,wei'jia'yu'di
为交地,wei'jiao'di
委军而争利,wei'jun'er'zheng'li
为诳事于外,wei'kuang'shi'yu'wai
唯民是保,wei'min'shi'bao
为轻地,wei'qing'di
为衢地,wei'qu'di
为散地,wei'san'di
围师遗阙,wei'shi'yi'que
为死地,wei'si'di
为围地,wei'wei'di
惟无武进,wei'wu'wu'jin
微与之期,wei'yu'zhi'qi
微哉微哉,wei'zai'wei'zai
危则动,wei'ze'dong
围则御,wei'ze'yu
为争地,wei'zheng'di
谓之进,wei'zhi'jin
谓之神,wei'zhi'shen
谓之退,wei'zhi'tui
未之有也,wei'zhi'you'ye
为重地,wei'zhong'di
未足恃也,wei'zu'shi'ye
闻雷霆不为聪耳,wen'lei'ting'bu'wei'cong'er
我不欲战,wo'bu'yu'zhan
我出而不利,wo'chu'er'bu'li
我得亦利,wo'dei'yi'li
我可以往,wo'ke'yi'wang
我无出也,wo'wu'chu'ye
我先居之,wo'xian'ju'zhi
我欲战,wo'yu'zhan
卧者涕交颐,wo'zhe'ti'jiao'yi
我专为一,wo'zhuan'wei'yi
无败者,wu'bai'zhe
勿从也,wu'cong'ye
无待于内,wu'dai'yu'nei
无附于水而迎客,wu'fu'yu'shui'er'ying'ke
勿告以利,wu'gao'yi'li
勿告以言,wu'gao'yi'yan
无攻下风,wu'gong'xia'feng
无击堂堂之阵,wu'ji'tang'tang'zhi'zhen
五间俱起,wu'jian'ju'qi
五间之事,wu'jian'zhi'shi
勿近也,wu'jin'ye
无粮食则亡,wu'liang'shi'ze'wang
无穷如天地,wu'qiong'ru'tian'di
五色之变,wu'se'zhi'bian
五声之变,wu'sheng'zhi'bian
五事,wu'shi
五十里而争利,wu'shi'li'er'zheng'li
无恃其不攻,wu'shi'qi'bu'gong
无恃其不来,wu'shi'qi'bu'lai
吾士无余财,wu'shi'wu'yu'cai
无所不备,wu'suo'bu'bei
无所不用间也,wu'suo'bu'yong'jian'ye
无所往则固,wu'suo'wang'ze'gu
无所往者,wu'suo'wang'zhe
吾所与战之地,wu'suo'yu'zhan'zhi'di
无通其使,wu'tong'qi'shi
无委积则亡,wu'wei'ji'ze'wang
五味之变,wu'wei'zhi'bian
五行无常胜,wu'xing'wu'chang'sheng
无形则深间不能窥,wu'xing'ze'shen'jian'bu'neng'kui
无邀正正之旗,wu'yao'zheng'zheng'zhi'qi
吾以此观之,wu'yi'ci'guan'zhi
吾以此知胜负矣,wu'yi'ci'zhi'sheng'fu'yi
无迎水流,wu'ying'shui'liu
吾迎之,wu'ying'zhi
勿迎之于水内,wu'ying'zhi'yu'shui'nei
无勇功,wu'yong'gong
无余命,wu'yu'ming
吾远之,wu'yuan'zhi
无约而请和者,wu'yue'er'qing'he'zhe
五曰法,wu'yue'fa
五曰胜,wu'yue'sheng
五则攻之,wu'ze'gong'zhi
无战可也,wu'zhan'ke'ye
五者,wu'zhe
无智名,wu'zhi'ming
无辎重则亡,wu'zi'zhong'ze'wang
昔殷之兴也,xi'yin'zhi'xing'ye
昔之善战者,xi'zhi'shan'zhan'zhe
先暴而后畏其众者,xian'bao'er'hou'wei'qi'zhong'zhe
先夺其所爱,xian'duo'qi'suo'ai
先夺其所爱则听矣,xian'duo'qi'suo'ai'ze'ting'yi
先居高阳,xian'ju'gao'yang
先其所爱,xian'qi'suo'ai
先人至,xian'ren'zhi
先胜而后求战,xian'sheng'er'hou'qiu'zhan
先为不可胜,xian'wei'bu'ke'sheng
险形者,xian'xing'zhe
险者,xian'zhe
陷者,xian'zhe
先至而得天下众者,xian'zhi'er'de'tian'xia'zhong'zhe
陷之死地然后生,xian'zhi'si'di'ran'hou'sheng
先知也,xian'zhi'ye
先知迂直之计者胜,xian'zhi'yu'zhi'zhi'ji'zhe'sheng
先知者,xian'zhi'zhe
险阻,xian'zu
乡间者,xiang'jian'zhe
相守数年,xiang'shou'shu'nian
小林,xiao'lin
小林蘙荟者,xiao'lin'yi'hui'zhe
校之以计,xiao'zhi'yi'ji
信己之私,xin'ji'zhi'si
行火必有因,xing'huo'bi'you'yin
行军第九,xing'jun'di'jiu
形名是也,xing'ming'shi'ye
行千里而不劳者,xing'qian'li'er'bu'lao'zhe
型也,xing'ye
形也,xing'ye
行于无人之地也,xing'yu'wu'ren'zhi'di'ye
形圆而不可败,xing'yuan'er'bu'ke'bai
形者,xing'zhe
形之,xing'zhi
形之而知死生之地,xing'zhi'er'zhi'si'sheng'zhi'di
修道而保法,xiu'dao'er'bao'fa
修橹轒辒,xiu'lu'fen'wen
虚实,xu'shi
虚实第六,xu'shi'di'liu
虚实是也,xu'shi'shi'ye
虚也,xu'ye
徐与人言者,xu'yu'ren'yan'zhe
悬缶不返其舍者,xuan'fou'bu'fan'qi'she'zhe
悬缻不返其舍者,xuan'fou'bu'fan'qi'she'zhe
悬权而动,xuan'quan'er'dong
悬无政之令,xuan'wu'zheng'zhi'ling
言不相闻,yan'bu'xiang'wen
佯北勿从,yang'bei'wu'cong
养生而处,yang'sheng'er'chu
夜风止,ye'feng'zhi
夜呼者,ye'hu'zhe
夜战多金鼓,ye'zhan'duo'jin'gu
谒者,ye'zhe
以饱待饥,yi'bao'dai'ji
役不再籍,yi'bu'zai'ji
一不知,yi'bu'zhi
以待,yi'dai
佚而劳之,yi'er'lao'zhi
以分和,yi'fen'he
蚁附之,yi'fu'zhi
夷关折符,yi'guan'zhe'fu
以患为利,yi'huan'wei'li
蘙荟,yi'hui
蘙荟者,yi'hui'zhe
以近待远,yi'jin'dai'yuan
以静待哗,yi'jing'dai'hua
以决战事,yi'jue'zhan'shi
以利动,yi'li'dong
以利动之,yi'li'dong'zhi
佚能劳之,yi'neng'lao'zhi
易其居,yi'qi'ju
以奇胜,yi'qi'sheng
易其事,yi'qi'shi
以弱击强,yi'ruo'ji'qiang
以少合众,yi'shao'he'zhong
一胜一负,yi'sheng'yi'fu
易胜者也,yi'sheng'zhe'ye
以时发之,yi'shi'fa'zhi
以数守之,yi'shu'shou'zhi
以水佐攻者强,yi'shui'zuo'gong'zhe'qiang
以吾度之,yi'wu'du'zhi
亦奚益于胜哉,yi'xi'yi'yu'sheng'zai
疑也,yi'ye
疑矣,yi'yi
以镒称铢,yi'yi'cheng'zhu
以佚待劳,yi'yi'dai'lao
以一击十,yi'yi'ji'shi
以虞待不虞,yi'yu'dai'bu'yu
以虞待不虞者胜,yi'yu'dai'bu'yu'zhe'sheng
以迂为直,yi'yu'wei'zhi
一曰道,yi'yue'dao
一曰度,yi'yue'du
一曰火人,yi'yue'huo'ren
以战则利,yi'zhan'ze'li
以正合,yi'zheng'he
以争一日之胜,yi'zheng'yi'ri'zhi'sheng
以治待乱,yi'zhi'dai'luan
伊挚在夏,yi'zhi'zai'xia
以众击寡,yi'zhong'ji'gua
以铢称镒,yi'zhu'cheng'yi
役诸侯者以业,yi'zhu'hou'zhe'yi'ye
以诛其事,yi'zhu'qi'shi
以卒待之,yi'zu'dai'zhi
以佐其外,yi'zuo'qi'wai
因必素具,yin'bi'su'ju
因而利之,yin'er'li'zhi
引而去之,yin'er'qu'zhi
因间,yin'jian
因间者,yin'jian'zhe
因利而制权也,yin'li'er'zhi'quan'ye
因粮于敌,yin'liang'yu'di
因其敌间而用之,yin'qi'di'jian'er'yong'zhi
因其官人而用之,yin'qi'guan'ren'er'yong'zhi
因其乡人而用之,yin'qi'xiang'ren'er'yong'zhi
因是而知之,yin'shi'er'zhi'zhi
因形而措胜于众,yin'xing'er'cuo'sheng'yu'zhong
阴阳寒暑,yin'yang'han'shu
盈而勿从,ying'er'wu'cong
营军也,ying'jun'ye
用兵之法,yong'bing'zhi'fa
用兵之灾也,yong'bing'zhi'zai'ye
用而示之不用,yong'er'shi'zhi'bu'yong
用间,yong'jian
用间第十三,yong'jian'di'shi'san
勇怯,yong'qie
勇者不得独进,yong'zhe'bu'de'du'jin
用之必败,yong'zhi'bi'bai
用之必胜,yong'zhi'bi'sheng
有隘者,you'ai'zhe
右背高,you'bei'gao
有北者,you'bei'zhe
有崩者,you'beng'zhe
右不能救左,you'bu'neng'jiu'zuo
又不相去,you'bu'xiang'qu
由不虞之道,you'bu'yu'zhi'dao
有驰者,you'chi'zhe
有泛地,you'fan'di
有反间,you'fan'jian
有挂者,you'gua'zhe
有交地,you'jiao'di
有乱者,you'luan'zhe
有内间,you'nei'jian
有轻地,you'qing'di
有衢地,you'qu'di
有散地,you'san'di
又三月而后已,you'san'yue'er'hou'yi
有生间,you'sheng'jian
有死地,you'si'di
有死间,you'si'jian
有通者,you'tong'zhe
有险者,you'xian'zhe
有陷者,you'xian'zhe
诱也,you'ye
有因间,you'yin'jian
有远者,you'yuan'zhe
有争地,you'zheng'di
诱之以利,you'zhi'yi'li
有支者,you'zhi'zhe
有重地,you'zhong'di
有走者,you'zou'zhe
与不可以战者胜,yu'bu'ke'yi'zhan'zhe'sheng
遇敌怼而自战,yu'di'dui'er'zi'zhan
于九地之下,yu'jiu'di'zhi'xia
于军者三,yu'jun'zhe'san
迂其途,yu'qi'tu
于千仞之山者,yu'qian'ren'zhi'shan'zhe
于千仞之溪者,yu'qian'ren'zhi'xi'zhe
欲人之进也,yu'ren'zhi'jin'ye
欲涉者,yu'she'zhe
于天下,yu'tian'xia
欲休息也,yu'xiu'xi'ye
欲战者,yu'zhan'zhe
予之,yu'zhi
与众相得也,yu'zhong'xiang'de'ye
远而示之近,yuan'er'shi'zhi'jin
远而挑战者,yuan'er'tiao'zhan'zhe
远近险易,yuan'jin'xian'yi
远近险易广狭死生也,yuan'jin'xian'yi'guang'xia'si'sheng'ye
远输,yuan'shu
远形者,yuan'xing'zhe
圆则行,yuan'ze'xing
远者,yuan'zhe
曰北,yue'bei
曰崩,yue'beng
曰驰,yue'chi
曰挂,yue'gua
曰可,yue'ke
曰乱,yue'luan
越人之兵虽多,yue'ren'zhi'bing'sui'duo
曰通,yue'tong
曰陷,yue'xian
月有死生,yue'you'si'sheng
月在箕壁翼轸也,yue'zai'ji'bi'yi'zhen'ye
曰支,yue'zhi
曰主孰有道,yue'zhu'shu'you'dao
曰走,yue'zou
运兵计谋,yun'bing'ji'mou
愠可以复说,yun'ke'yi'fu'shuo
杂于害而患可解也,za'yu'hai'er'huan'ke'jie'ye
杂于利而务可伸也,za'yu'li'er'wu'ke'shen'ye
在顺详敌之意,zai'shun'xiang'di'zhi'yi
则百姓财竭,ze'bai'xing'cai'jie
则百姓竭,ze'bai'xing'jie
则百姓贫,ze'bai'xing'pin
则不服,ze'bu'fu
则不及,ze'bu'ji
则不可用,ze'bu'ke'yong
则不能尽知用兵之利也,ze'bu'neng'jin'zhi'yong'bing'zhi'li'ye
则钝兵挫锐,ze'dun'bing'cuo'rui
则国用不足,ze'guo'yong'bu'zu
则蹶上将军,ze'jue'shang'jiang'jun
则军士,ze'jun'shi
则军士惑矣,ze'jun'shi'huo'yi
则可千里而会战,ze'ke'qian'li'er'hui'zhan
则民服,ze'min'fu
则内外之费,ze'nei'wai'zhi'fei
则其城可拔,ze'qi'cheng'ke'ba
则其交不得合,ze'qi'jiao'bu'de'he
则其众不得聚,ze'qi'zhong'bu'de'ju
则擒三将军,ze'qin'san'jiang'jun
则三分之二至,ze'san'fen'zhi'er'zhi
则听矣,ze'ting'yi
则我众敌寡,ze'wo'zhong'di'gua
则我专而敌分,ze'wo'zhuan'er'di'fen
则无所不寡,ze'wu'suo'bu'gua
则吾所与战者寡矣,ze'wu'suo'yu'zhan'zhe'gua'yi
则吾之所与战者约矣,ze'wu'zhi'suo'yu'zhan'zhe'yue'yi
则勇者不得独进,ze'yong'zhe'bu'de'du'jin
则早应之于外,ze'zao'ying'zhi'yu'wai
则诸侯,ze'zhu'hou
则诸侯之难,ze'zhu'hou'zhi'nan
则辎重捐,ze'zi'zhong'juan
则左不能救右,ze'zuo'bu'neng'jiu'you
战道不胜,zhan'dao'bu'sheng
战而不利,zhan'er'bu'li
战隆无登,zhan'long'wu'deng
战胜,zhan'sheng
战势不过奇正,zhan'shi'bu'guo'qi'zheng
杖而立者,zhang'er'li'zhe
朝气锐,zhao'qi'rui
者胜,zhe'sheng
正兵合,zheng'bing'he
争地吾将趋其后,zheng'di'wu'jiang'qu'qi'hou
争地则无攻,zheng'di'ze'wu'gong
正以治,zheng'yi'zhi
政之道也,zheng'zhi'dao'ye
之必可胜,zhi'bi'ke'sheng
知彼知己,zhi'bi'zhi'ji
治兵不知九变之术,zhi'bing'bu'zhi'jiu'bian'zhi'shu
知此而用战者必胜,zhi'ci'er'yong'zhan'zhe'bi'sheng
知敌之可击,zhi'di'zhi'ke'ji
知敌之可击而不知吾卒不可以击,zhi'di'zhi'ke'ji'er'bu'zhi'wu'zu'bu'ke'yi'ji
知敌之情者也,zhi'di'zhi'qing'zhe'ye
知己知彼,zhi'ji'zhi'bi
知可以战,zhi'ke'yi'zhan
治乱,zhi'luan
鸷鸟之疾,zhi'niao'zhi'ji
致人,zhi'ren
知胜之道也,zhi'sheng'zhi'dao'ye
至死无所之,zhi'si'wu'suo'zhi
知天知地,zhi'tian'zhi'di
知吾卒之可以击,zhi'wu'zu'zhi'ke'yi'ji
智信仁勇严,zhi'xin'ren'yong'yan
之形者,zhi'xing'zhe
支形者,zhi'xing'zhe
至矣,zhi'yi
知用兵矣,zhi'yong'bing'yi
至于毁折者,zhi'yu'hui'zhe'zhe
至于漂石者,zhi'yu'piao'shi'zhe
至于无声,zhi'yu'wu'sheng
至于无形,zhi'yu'wu'xing
