阿兵哥,a'bing'ge
开庄,kai'zhuang
看百威,kan'bai'wei
看包厢,kan'bao'xiang
勘测院,kan'ce'yuan
看福州,kan'fu'zhou
看过去,kan'guo'qu
看花灯,kan'hua'deng
看下吧,kan'xia'ba
看下有没有,kan'xia'you'mei'you
康力士,kang'li'shi
康靓园,kang'liang'yuan
考卷,kao'juan
可落户,ke'luo'hu
科学楼,ke'xue'lou
科艺节,ke'yi'jie
科作业,ke'zuo'ye
课作业纸,ke'zuo'ye'zhi
坑园,keng'yuan
空军医院,kong'jun'yi'yuan
口好渴,kou'hao'ke
酷动,ku'dong
酷格,ku'ge
快安,kuai'an
快乐学习,kuai'le'xue'xi
快去睡啦,kuai'qu'shui'la
快去休息,kuai'qu'xiu'xi
快熟面,kuai'shu'mian
快速面,kuai'su'mian
狂带,kuang'dai
魁岐,kui'qi
困爆了,kun'bao'le
困说,kun'shuo
拉大便,la'da'bian
拉拉车,la'la'che
拉直板,la'zhi'ban
来宝龙,lai'bao'long
来不来咯,lai'bu'lai'lo
来不起来,lai'bu'qi'lai
来长乐,lai'chang'le
来肚子,lai'du'zi
来福建,lai'fu'jian
来福清,lai'fu'qing
来福州,lai'fu'zhou
来福州啊,lai'fu'zhou'a
来福州吧,lai'fu'zhou'ba
来福州了,lai'fu'zhou'le
来福州玩,lai'fu'zhou'wan
来进去,lai'jin'qu
来连江,lai'lian'jiang
来平潭,lai'ping'tan
来上去,lai'shang'qu
来下去,lai'xia'qu
岚华,lan'hua
兰庭,lan'ting
琅峰,lang'feng
琅岐,lang'qi
琅岐岛,lang'qi'dao
朗园,lang'yuan
老百威,lao'bai'wei
老福州,lao'fu'zhou
捞化,lao'hua
老人会,lao'ren'hui
老鼠干,lao'shu'gan
老药洲,lao'yao'zhou
老夜,lao'ye
老一把,lao'yi'ba
老一母,lao'yi'mu
老邮差,lao'you'chai
乐都汇,le'du'hui
乐满堂,le'man'tang
乐西东,le'xi'dong
累半死,lei'ban'si
累死点,lei'si'dian
累死掉,lei'si'diao
冷死掉,leng'si'diao
礼饼,li'bing
鲤城,li'cheng
荔城区,li'cheng'qu
李导,li'dao
离福州,li'fu'zhou
李干,li'gan
利嘉,li'jia
利嘉城,li'jia'cheng
丽景天成,li'jing'tian'cheng
离开福州,li'kai'fu'zhou
莉莉玛莲,li'li'ma'lian
丽平,li'ping
丽群,li'qun
理头发,li'tou'fa
荔枝肉,li'zhi'rou
连城县,lian'cheng'xian
联合网,lian'he'wang
连江,lian'jiang
连江北路,lian'jiang'bei'lu
连江的,lian'jiang'de
连江了,lian'jiang'le
连江路,lian'jiang'lu
连江人,lian'jiang'ren
连江县,lian'jiang'xian
连小新,lian'xiao'xin
两不来,liang'bu'lai
靓车堡,liang'che'bao
亮嫂,liang'sao
两通,liang'tong
两学,liang'xue
蓼沿,liao'yan
燎原路,liao'yuan'lu
裂掉,lie'diao
列东,lie'dong
林斌,lin'bin
林冰,lin'bing
林超,lin'chao
林晨,lin'chen
林城,lin'cheng
林春,lin'chun
林大哥,lin'da'ge
林导,lin'dao
林董,lin'dong
林恩,lin'en
林帆,lin'fan
林芳,lin'fang
林菲,lin'fei
林芬,lin'fen
林锋,lin'feng
林庚,lin'geng
林光,lin'guang
林涵,lin'han
林航,lin'hang
林浩,lin'hao
林恒,lin'heng
林红,lin'hong
林华,lin'hua
林欢,lin'huan
林煌,lin'huang
林辉,lin'hui
林佳,lin'jia
林佳佳,lin'jia'jia
林建,lin'jian
林娇,lin'jiao
林杰,lin'jie
林锦,lin'jin
林晶,lin'jing
林晶晶,lin'jing'jing
林娟,lin'juan
林君,lin'jun
林凯,lin'kai
林康,lin'kang
林岚,lin'lan
林璐,lin'lu
林梅,lin'mei
林梦婷,lin'meng'ting
林楠,lin'nan
林萍,lin'ping
林倩,lin'qian
林强,lin'qiang
林泉,lin'quan
林群,lin'qun
林珊,lin'shan
林胜,lin'sheng
林帅,lin'shuai
林硕,lin'shuo
林思,lin'si
林挺,lin'ting
林婷婷,lin'ting'ting
林彤,lin'tong
林伟,lin'wei
林文杰,lin'wen'jie
林文婷,lin'wen'ting
林希,lin'xi
林霞,lin'xia
林昕,lin'xin
林心怡,lin'xin'yi
林耀,lin'yao
林叶,lin'ye
林颖,lin'ying
林瑜,lin'yu
林则徐,lin'ze'xu
林铮,lin'zheng
林志强,lin'zhi'qiang
林志伟,lin'zhi'wei
玲芳,ling'fang
溜班,liu'ban
六一北路,liu'yi'bei'lu
六一环岛,liu'yi'huan'dao
六一路,liu'yi'lu
六一中路,liu'yi'zhong'lu
龙峰,long'feng
龙凤头,long'feng'tou
龙华天桥,long'hua'tian'qiao
龙台山,long'tai'shan
龙田,long'tian
龙田镇,long'tian'zhen
龙岩,long'yan
龙岩的,long'yan'de
龙岩了,long'yan'le
龙岩人,long'yan'ren
龙岩市,long'yan'shi
龙苑,long'yuan
龙芝,long'zhi
芦柑,lu'gan
芦华,lu'hua
卤货,lu'huo
路跑,lu'pao
卤味,lu'wei
乱泉水,luan'quan'shui
轮工,lun'gong
罗汉肉,luo'han'rou
罗马之恋,luo'ma'zhi'lian
罗说,luo'shuo
罗星塔,luo'xing'ta
罗源,luo'yuan
罗源的,luo'yuan'de
罗源了,luo'yuan'le
罗源人,luo'yuan'ren
罗源湾,luo'yuan'wan
罗源县,luo'yuan'xian
吕咏蓝,lv'yong'lan
旅游系,lv'you'xi
马保,ma'bao
马鼻,ma'bi
玛格,ma'ge
骂过去,ma'guo'qu
妈集,ma'ji
马坑,ma'keng
马老七,ma'lao'qi
妈妈集市,ma'ma'ji'shi
玛莎莉,ma'sha'li
马尾,ma'wei
马尾的,ma'wei'de
马尾了,ma'wei'le
马尾区,ma'wei'qu
买架,mai'jia
麦田房产,mai'tian'fang'chan
买一架,mai'yi'jia
蛮吃,man'chi
蛮打,man'da
蛮带,man'dai
蛮加,man'jia
漫咖啡,man'ka'fei
蛮去,man'qu
蛮去了,man'qu'le
蛮说,man'shuo
蛮说的,man'shuo'de
蛮说说,man'shuo'shuo
蛮问问,man'wen'wen
蛮问下,man'wen'xia
蛮写,man'xie
毛净重,mao'jing'zhong
茂泰,mao'tai
毛通,mao'tong
贸院,mao'yuan
贸总,mao'zong
没步,mei'bu
没补习,mei'bu'xi
没错咯,mei'cuo'ge
没错了,mei'cuo'le
没错嘛,mei'cuo'ma
没错没错,mei'cuo'mei'cuo
没错是,mei'cuo'shi
没地方买,mei'di'fang'mai
没的士,mei'di'shi
没掉了,mei'diao'le
梅芳,mei'fang
梅峰,mei'feng
梅峰宾馆,mei'feng'bin'guan
梅峰路,mei'feng'lu
美佛儿,mei'fo'er
玫瑰园,mei'gui'yuan
没过去了,mei'guo'qu'le
梅海园,mei'hai'yuan
没鸡鸡,mei'ji'ji
每课一练,mei'ke'yi'lian
没两下,mei'liang'xia
梅列,mei'lie
梅列区,mei'lie'qu
美林湾,mei'lin'wan
美仑华美达,mei'lun'hua'mei'da
没念书,mei'nian'shu
美其乐,mei'qi'le
梅钦,mei'qin
没去的话,mei'qu'de'hua
没去睡,mei'qu'shui
没去睡觉,mei'qu'shui'jiao
没神,mei'shen
没什么差,mei'shen'me'cha
没生活,mei'sheng'huo
没台风,mei'tai'feng
没体,mei'ti
没体了,mei'ti'le
梅亭,mei'ting
梅溪,mei'xi
梅仙,mei'xian
没药救,mei'yao'jiu
没药救了,mei'yao'jiu'le
没在福州,mei'zai'fu'zhou
没在怕,mei'zai'pa
没这么快,mei'zhe'me'kuai
没这么早,mei'zhe'me'zao
湄洲岛,mei'zhou'dao
湄洲湾,mei'zhou'wan
没煮饭,mei'zhu'fan
门边,men'bian
蒙古营,meng'gu'ying
米糊,mi'hu
米罗街,mi'luo'jie
迷人在哪里,mi'ren'zai'na'li
蜜水,mi'shui
灭白,mie'bai
闽侯,min'hou
闽侯的,min'hou'de
闽侯了,min'hou'le
闽侯县,min'hou'xian
闽江,min'jiang
闽江大道,min'jiang'da'dao
闽江大学,min'jiang'da'xue
闽江饭店,min'jiang'fan'dian
闽江公园,min'jiang'gong'yuan
闽江学院,min'jiang'xue'yuan
闽南,min'nan
闽南理工,min'nan'li'gong
闽南人,min'nan'ren
闽清,min'qing
闽清县,min'qing'xian
闽台,min'tai
闽院,min'yuan
闽粤汇,min'yue'hui
茗果,ming'guo
名街,ming'jie
明天进去,ming'tian'jin'qu
明天看下,ming'tian'kan'xia
明溪,ming'xi
明虾,ming'xia
明一,ming'yi
莫拉嘎,mo'la'ga
没收人,mo'shou'ren
末未,mo'wei
魔指仙境,mo'zhi'xian'jing
木金,mu'jin
幕浦,mu'pu
沐思,mu'si
目鱼,mu'yu
目屿岛,mu'yu'dao
那不懂,na'bu'dong
那不是很好,na'bu'shi'hen'hao
拿督,na'du
那福州,na'fu'zhou
那架,na'jia
那就不懂了,na'jiu'bu'dong'le
那就没错了,na'jiu'mei'cuo'le
那看下,na'kan'xia
那快去睡,na'kuai'qu'shui
那快去睡吧,na'kuai'qu'shui'ba
哪里会,na'li'hui
哪里会啊,na'li'hui'a
那么迟,na'me'chi
那么迟了,na'me'chi'le
那么迟睡,na'me'chi'shui
那没错,na'mei'cuo
那你看下,na'ni'kan'xia
那你去睡觉,na'ni'qu'shui'jiao
拿去吃,na'qu'chi
拿去看,na'qu'kan
那去睡,na'qu'shui
那去睡吧,na'qu'shui'ba
那去睡觉,na'qu'shui'jiao
那去睡觉吧,na'qu'shui'jiao'ba
拿去洗,na'qu'xi
那我看下,na'wo'kan'xia
那我去睡,na'wo'qu'shui
那我去睡觉,na'wo'qu'shui'jiao
那我去睡啦,na'wo'qu'shui'la
那我去睡了,na'wo'qu'shui'le
那我去睡咯,na'wo'qu'shui'lo
那我先去睡了,na'wo'xian'qu'shui'le
纳新,na'xin
哪有办法,na'you'ban'fa
哪有咯,na'you'ge
那有没,na'you'mei
那怎么办咯,na'zen'me'ban'ge
南曹,nan'cao
南公园,nan'gong'yuan
南国金辉,nan'guo'jin'hui
难后,nan'hou
南后街,nan'hou'jie
南江滨,nan'jiang'bin
南街,nan'jie
南靖,nan'jing
南门兜,nan'men'dou
南平,nan'ping
南平的,nan'ping'de
南平了,nan'ping'le
南平人,nan'ping'ren
南平市,nan'ping'shi
南投,nan'tou
南屿镇,nan'yu'zhen
你班上,ni'ban'shang
你傍晚,ni'bang'wan
你不去睡,ni'bu'qu'shui
你不去睡觉,ni'bu'qu'shui'jiao
你不在福州,ni'bu'zai'fu'zhou
你到福州,ni'dao'fu'zhou
你饭吃了,ni'fan'chi'le
你饭吃了吗,ni'fan'chi'le'ma
你饭吃了没,ni'fan'chi'le'mei
你福清,ni'fu'qing
你福州,ni'fu'zhou
你干嘛咯,ni'gan'ma'ge
你很逗,ni'hen'dou
你很恶心,ni'hen'e'xin
你很贱,ni'hen'jian
你看过去,ni'kan'guo'qu
你快去睡觉,ni'kuai'qu'shui'jiao
你来福州,ni'lai'fu'zhou
你妈鸡,ni'ma'ji
你蛮听,ni'man'ting
你那么迟,ni'na'me'chi
你去福州,ni'qu'fu'zhou
你去睡了,ni'qu'shui'le
你去厦门,ni'qu'xia'men
你人在哪,ni'ren'zai'na
你人在哪里,ni'ren'zai'na'li
你是福州,ni'shi'fu'zhou
你问干嘛,ni'wen'gan'ma
你厦门,ni'xia'men
你先去睡,ni'xian'qu'shui
你先去睡吧,ni'xian'qu'shui'ba
你先去睡觉,ni'xian'qu'shui'jiao
你要去睡觉,ni'yao'qu'shui'jiao
你也去睡,ni'ye'qu'shui
你也去睡吧,ni'ye'qu'shui'ba
你也去睡觉,ni'ye'qu'shui'jiao
你也有看,ni'ye'you'kan
你也有去,ni'ye'you'qu
你有打,ni'you'da
你有带,ni'you'dai
你有回来,ni'you'hui'lai
你有叫,ni'you'jiao
你有开,ni'you'kai
你有来,ni'you'lai
你有没看,ni'you'mei'kan
你有没去,ni'you'mei'qu
你有没有去,ni'you'mei'you'qu
你有去,ni'you'qu
你有去吗,ni'you'qu'ma
你有傻,ni'you'sha
你有上班,ni'you'shang'ban
你有玩,ni'you'wan
你有在,ni'you'zai
你在福清,ni'zai'fu'qing
你在福州,ni'zai'fu'zhou
你在福州哪里,ni'zai'fu'zhou'na'li
你在干嘛咯,ni'zai'gan'ma'ge
你这么迟,ni'zhe'me'chi
你周天,ni'zhou'tian
你自己看咯,ni'zi'ji'kan'lo
你自己看下,ni'zi'ji'kan'xia
念不下去,nian'bu'xia'qu
年段,nian'duan
年段的,nian'duan'de
年段第一,nian'duan'di'yi
年段长,nian'duan'zhang
念书吧,nian'shu'ba
尿包,niao'bao
宁德,ning'de
宁德的,ning'de'de
宁德了,ning'de'le
宁德人,ning'de'ren
宁德市,ning'de'shi
宁化,ning'hua
宁化县,ning'hua'xian
牛滑,niu'hua
拗九节,niu'jiu'jie
牛排店,niu'pai'dian
牛太,niu'tai
牛太郎,niu'tai'lang
农林,nong'lin
农林大,nong'lin'da
农林大学,nong'lin'da'xue
浓妆淡抹,nong'zhuang'dan'mo
诺米丁,nuo'mi'ding
女内,nv'nei
哦米,o'mi
哦肉,o'rou
欧也妮,ou'ye'ni
爬鼓山,pa'gu'shan
怕欧美,pa'ou'mei
派恰,pai'qia
排尾,pai'wei
排尾路,pai'wei'lu
潘渡,pan'du
潘墩,pan'dun
攀讲,pan'jiang
炮打了,pao'da'le
泡粉,pao'fen
跑福州,pao'fu'zhou
泡椒田鸡,pao'jiao'tian'ji
跑没,pao'mei
跑没了,pao'mei'le
泡爪,pao'zhao
跑走了,pao'zou'le
配饭,pei'fan
配酒,pei'jiu
朋友几个,peng'you'ji'ge
屁点,pi'dian
屁点大,pi'dian'da
皮肤病院,pi'fu'bing'yuan
皮厚点,pi'hou'dian
瓢羹,piao'geng
漂亮人生,piao'liang'ren'sheng
聘金,pin'jin
拼桌,pin'zhuo
平安大厦,ping'an'da'sha
屏东,ping'dong
屏东中学,ping'dong'zhong'xue
屏南,ping'nan
屏山,ping'shan
平潭,ping'tan
平潭岛,ping'tan'dao
平潭的,ping'tan'de
平潭话,ping'tan'hua
平潭了,ping'tan'le
平潭人,ping'tan'ren
平潭县,ping'tan'xian
破店,po'dian
破街,po'jie
浦城,pu'cheng
浦城县,pu'cheng'xian
朴坊,pu'fang
扑感敏,pu'gan'min
普拉达,pu'la'da
浦上,pu'shang
浦上大道,pu'shang'da'dao
莆田,pu'tian
莆田的,pu'tian'de
莆田话,pu'tian'hua
莆田了,pu'tian'le
莆田男,pu'tian'nan
莆田人,pu'tian'ren
莆田市,pu'tian'shi
莆田学院,pu'tian'xue'yuan
奇达,qi'da
七搞八搞,qi'gao'ba'gao
七街十二府,qi'jie'shi'er'fu
期末考,qi'mo'kao
期末考了,qi'mo'kao'le
七七八八,qi'qi'ba'ba
旗山,qi'shan
旗山校区,qi'shan'xiao'qu
气死掉,qi'si'diao
起先,qi'xian
七想八想,qi'xiang'ba'xiang
七星井,qi'xing'jing
旗汛口,qi'xun'kou
恰强,qia'qiang
前次,qian'ci
前横,qian'heng
前横路,qian'heng'lu
千江月,qian'jiang'yue
前林,qian'lin
钱隆,qian'long
钱塘,qian'tang
前亭,qian'ting
前下,qian'xia
前薛,qian'xue
前屿,qian'yu
前桌,qian'zhuo
巧丹,qiao'dan
巧芳,qiao'fang
巧萍,qiao'ping
桥亭,qiao'ting
桥亭活鱼,qiao'ting'huo'yu
切强,qie'qiang
亲母,qin'mu
琴亭,qin'ting
青草油,qing'cao'you
请迟,qing'chi
清楚下,qing'chu'xia
青橄榄,qing'gan'lan
青瓜汁,qing'gua'zhi
清航街,qing'hang'jie
青红,qing'hong
请假下,qing'jia'xia
青口,qing'kou
清口清,qing'kou'qing
青口镇,qing'kou'zhen
清禄,qing'lu
情侣套餐,qing'lv'tao'can
青年会,qing'nian'hui
清汤面,qing'tang'mian
清霞,qing'xia
青云山,qing'yun'shan
秋凤,qiu'feng
秋英,qiu'ying
去班上,qu'ban'shang
去宝龙,qu'bao'long
去不去咯,qu'bu'qu'ge
去长乐,qu'chang'le
去吃鸡,qu'chi'ji
去吃下,qu'chi'xia
去大利嘉,qu'da'li'jia
去肚子,qu'du'zi
去福清,qu'fu'qing
去福州,qu'fu'zhou
去福州了,qu'fu'zhou'le
去鼓山,qu'gu'shan
去江滨,qu'jiang'bin
去金峰,qu'jin'feng
去金山,qu'jin'shan
去连江,qu'lian'jiang
去龙田,qu'long'tian
去龙岩,qu'long'yan
去罗源,qu'luo'yuan
去马尾,qu'ma'wei
去买下,qu'mai'xia
去南平,qu'nan'ping
去宁德,qu'ning'de
去平潭,qu'ping'tan
去莆田,qu'pu'tian
去泉州,qu'quan'zhou
去三明,qu'san'ming
去师大,qu'shi'da
去睡,qu'shui
去睡吧你,qu'shui'ba'ni
去睡呗,qu'shui'bei
去睡咯,qu'shui'ge
去睡会儿,qu'shui'hui'er
去睡觉咯,qu'shui'jiao'lo
去睡啦,qu'shui'la
去睡了,qu'shui'le
去睡了吗,qu'shui'le'ma
去台江,qu'tai'jiang
去午睡,qu'wu'shui
去武夷山,qu'wu'yi'shan
去厦门,qu'xia'men
去厦门了,qu'xia'men'le
去休息,qu'xiu'xi
去休息吧,qu'xiu'xi'ba
去休息了,qu'xiu'xi'le
去学生街,qu'xue'sheng'jie
去永泰,qu'yong'tai
去煮,qu'zhu
去做作业,qu'zuo'zuo'ye
全福州,quan'fu'zhou
泉港区,quan'gang'qu
全年段,quan'nian'duan
全球眼,quan'qiu'yan
泉头,quan'tou
泉州的,quan'zhou'de
泉州了,quan'zhou'le
泉州人,quan'zhou'ren
群升,qun'sheng
群升国际,qun'sheng'guo'ji
群众路,qun'zhong'lu
然到,ran'dao
然怪,ran'guai
热死点,re'si'dian
热死掉,re'si'diao
仁德,ren'de
仁德站,ren'de'zhan
人好累,ren'hao'lei
人好难受,ren'hao'nan'shou
人很不舒服,ren'hen'bu'shu'fu
人很累,ren'hen'lei
人很难受,ren'hen'nan'shou
人难受,ren'nan'shou
人在哪里,ren'zai'na'li
日出东方,ri'chu'dong'fang
日春,ri'chun
榕城,rong'cheng
榕城广场,rong'cheng'guang'chang
榕都,rong'dou
榕哥,rong'ge
榕华,rong'hua
榕桦医院,rong'hua'yi'yuan
榕姐,rong'jie
融侨,rong'qiao
融侨城,rong'qiao'cheng
融侨锦江,rong'qiao'jin'jiang
融信第一城,rong'xin'di'yi'cheng
柔爱,rou'ai
肉片,rou'pian
如果没去,ru'guo'mei'qu
如果有去,ru'guo'you'qu
儒江,ru'jiang
软件园,ruan'jian'yuan
萨贝尔,sa'bei'er
撒女内,sa'nv'nei
撒以内,sa'yi'nei
赛岐,sai'qi
三八路,san'ba'lu
三迪,san'di
三都澳,san'du'ao
三坊七巷,san'fang'qi'xiang
三分二,san'fen'er
三分一,san'fen'yi
三钢,san'gang
三江口,san'jiang'kou
三角埕,san'jiao'cheng
三角池,san'jiao'chi
三角糕,san'jiao'gao
三角井,san'jiao'jing
三金倒,san'jin'dao
三明,san'ming
三明的,san'ming'de
三明了,san'ming'le
三明人,san'ming'ren
三明市,san'ming'shi
三明学院,san'ming'xue'yuan
三木,san'mu
三山,san'shan
三山镇,san'shan'zhen
三盛,san'sheng
三盛实业,san'sheng'shi'ye
三溪,san'xi
三县洲,san'xian'zhou
三元达,san'yuan'da
三元区,san'yuan'qu
瑟江,se'jiang
傻不隆冬,sha'bu'long'dong
沙堤,sha'di
沙雕,sha'diao
沙雕节,sha'diao'jie
傻狗,sha'gou
傻瓜蛋,sha'gua'dan
傻瓜啦,sha'gua'la
沙京,sha'jing
沙拉斯,sha'la'si
傻女内,sha'nv'nei
傻炮弹,sha'pao'dan
傻子脸,sha'zi'lian
山姆,shan'mu
鳝溪,shan'xi
上渡,shang'du
上福清,shang'fu'qing
上福州,shang'fu'zhou
尚干,shang'gan
上杭,shang'hang
上杭县,shang'hang'xian
上湖,shang'hu
上江城,shang'jiang'cheng
上街镇,shang'jie'zhen
上林街,shang'lin'jie
上三路,shang'san'lu
上薛,shang'xue
商学楼,shang'xue'lou
上周天,shang'zhou'tian
商专,shang'zhuan
少图,shao'tu
邵武,shao'wu
邵武市,shao'wu'shi
勺园,shao'yuan
社保医保,she'bao'yi'bao
设备齐全,she'bei'qi'quan
舍搓,she'cuo
舍费,she'fei
舍歌,she'ge
社巡,she'xun
社医保,she'yi'bao
舍友,she'you
畲族,she'zu
什么咯,shen'me'ge
什么意思咯,shen'me'yi'si'ge
圣安娜,sheng'an'na
省电影,sheng'dian'ying
省二,sheng'er
盛丰,sheng'feng
省府,sheng'fu
省府路,sheng'fu'lu
省璜,sheng'huang
盛辉,sheng'hui
盛辉物流,sheng'hui'wu'liu
盛记,sheng'ji
省检,sheng'jian
省交通,sheng'jiao'tong
圣杰士,sheng'jie'shi
省军区,sheng'jun'qu
省立,sheng'li
胜利家园,sheng'li'jia'yuan
省立医院,sheng'li'yi'yuan
生男的,sheng'nan'de
圣农,sheng'nong
省人民医院,sheng'ren'min'yi'yuan
盛世经典,sheng'shi'jing'dian
省体,sheng'ti
省体育,sheng'ti'yu
省体育中心,sheng'ti'yu'zhong'xin
省图,sheng'tu
省图书馆,sheng'tu'shu'guan
圣舞堂,sheng'wu'tang
省直机关,sheng'zhi'ji'guan
省质检,sheng'zhi'jian
十八重溪,shi'ba'chong'xi
十八中,shi'ba'zhong
市标,shi'biao
石步,shi'bu
是不是咯,shi'bu'shi'ge
师大,shi'da
师大了,shi'da'le
食鼎记,shi'ding'ji
市二,shi'er
市二医院,shi'er'yi'yuan
是福州,shi'fu'zhou
试过去,shi'guo'qu
市检,shi'jian
市教院附中,shi'jiao'yuan'fu'zhong
世界城,shi'jie'cheng
食科,shi'ke
是了啦,shi'le'la
是咯啊,shi'lo'a
是咯哇,shi'lo'wa
是咯呀,shi'lo'ya
世贸百货,shi'mao'bai'huo
世茂外滩,shi'mao'wai'tan
世欧,shi'ou
世欧澜山,shi'ou'lan'shan
世欧王庄,shi'ou'wang'zhuang
事情做完,shi'qing'zuo'wan
十三水,shi'san'shui
石山水,shi'shan'shui
十四桥,shi'si'qiao
实验区,shi'yan'qu
十洋,shi'yang
食杂店,shi'za'dian
实在多,shi'zai'duo
实在好,shi'zai'hao
实在困,shi'zai'kun
实在累,shi'zai'lei
实在热,shi'zai're
市质检,shi'zhi'jian
石竹,shi'zhu
石竹山,shi'zhu'shan
瘦嘎嘎,shou'ga'ga
寿宁,shou'ning
寿宁县,shou'ning'xian
手扒鸡,shou'pa'ji
手枪腿,shou'qiang'tui
首山,shou'shan
首山路,shou'shan'lu
寿山石,shou'shan'shi
首占,shou'zhan
书呆,shu'dai
数计,shu'ji
树汤路,shu'tang'lu
数学考卷,shu'xue'kao'juan
双坂,shuang'ban
双基,shuang'ji
双抛桥,shuang'pao'qiao
双子星,shuang'zi'xing
水部,shui'bu
水部门兜,shui'bu'men'dou
睡迟,shui'chi
睡迟点,shui'chi'dian
睡迟了,shui'chi'le
水当当,shui'dang'dang
水都,shui'du
谁咯,shui'ge
水金,shui'jin
水乐园,shui'le'yuan
水南,shui'nan
水泥漆,shui'ni'qi
水世界,shui'shi'jie
睡太迟,shui'tai'chi
谁有去,shui'you'qu
水煮活鱼,shui'zhu'huo'yu
顺昌,shun'chang
说麻道辣,shuo'ma'dao'la
说怕,shuo'pa
说七说八,shuo'qi'shuo'ba
说什么咯,shuo'shen'me'ge
说下哈,shuo'xia'ha
说又不说,shuo'you'bu'shuo
四川仔,si'chuan'zai
四道菜,si'dao'cai
四分一,si'fen'yi
四季风,si'ji'feng
四季如春,si'ji'ru'chun
私立校,si'li'xiao
死没了,si'mei'le
死去睡,si'qu'shui
死去睡觉,si'qu'shui'jiao
四十中,si'shi'zhong
嵩口,song'kou
松溪,song'xi
苏澳,su'ao
苏导,su'dao
速度请,su'du'qing
算福州,suan'fu'zhou
酸枣糕,suan'zao'gao
索菲斯,suo'fei'si
索莫,suo'mo
他等等,ta'deng'deng
塔头,ta'tou
塔头路,ta'tou'lu
他有去,ta'you'qu
他有说,ta'you'shuo
他有问,ta'you'wen
他有在,ta'you'zai
他在福州,ta'zai'fu'zhou
塔庄,ta'zhuang
太迟,tai'chi
太迟睡,tai'chi'shui
太迟睡了,tai'chi'shui'le
台风啊,tai'feng'a
台风天,tai'feng'tian
台福,tai'fu
泰禾,tai'he
台江,tai'jiang
台江步行街,tai'jiang'bu'xing'jie
台江的,tai'jiang'de
台江区,tai'jiang'qu
台江万达,tai'jiang'wan'da
太经常,tai'jing'chang
太空城,tai'kong'cheng
苔录,tai'lu
太姥山,tai'mu'shan
泰宁,tai'ning
太平面,tai'ping'mian
台球店,tai'qiu'dian
台三小,tai'san'xiao
台湾街,tai'wan'jie
台屿,tai'yu
泰园,tai'yuan
潭城镇,tan'cheng'zhen
贪吃婆,tan'chi'po
坛南湾,tan'nan'wan
昙石,tan'shi
潭头,tan'tou
躺恋爱,tang'lian'ai
套餐饭,tao'can'fan
套餐好,tao'can'hao
淘江,tao'jiang
桃源洞,tao'yuan'dong
特香包,te'xiang'bao
特艺城,te'yi'cheng
替点,ti'dian
体工队,ti'gong'dui
踢狗,ti'gou
体科,ti'ke
体科院,ti'ke'yuan
提早说,ti'zao'shuo
天鹅湾,tian'e'wan
天峰,tian'feng
天福,tian'fu
田黄,tian'huang
田鸡,tian'ji
天门山,tian'men'shan
天生林艺,tian'sheng'lin'yi
甜丫丫,tian'ya'ya
贴贴纸,tie'tie'zhi
挺迟,ting'chi
挺多个,ting'duo'ge
挺多天,ting'duo'tian
庭芳苑,ting'fang'yuan
听过去,ting'guo'qu
亭江,ting'jiang
亭街,ting'jie
挺经常,ting'jing'chang
廷坪,ting'ping
亭下,ting'xia
同春,tong'chun
筒骨,tong'gu
通湖,tong'hu
通湖路,tong'hu'lu
铜盘,tong'pan
铜盘路,tong'pan'lu
通学生,tong'xue'sheng
透堡,tou'bao
头梳,tou'shu
偷摘,tou'zhai
投资区,tou'zi'qu
土八路,tu'ba'lu
涂脸,tu'lian
土楼,tu'lou
涂下,tu'xia
土鸭,tu'ya
团立项,tuan'li'xiang
团支,tuan'zhi
退冰,tui'bing
拖地板,tuo'di'ban
拓荒,tuo'huang
托克,tuo'ke
托克拉克,tuo'ke'la'ke
托斯卡纳,tuo'si'ka'na
哇嘎,wa'ga
哇哈,wa'ha
袜裤,wa'ku
娃娃班,wa'wa'ban
歪哈,wai'ha
外酒,wai'jiu
外贸中心,wai'mao'zhong'xin
歪呀,wai'ya
外语外贸,wai'yu'wai'mao
湾边,wan'bian
完断,wan'duan
万豪汇,wan'hao'hui
玩很好,wan'hen'hao
万利汇,wan'li'hui
晚上有没,wan'shang'you'mei
万象城,wan'xiang'cheng
万业,wan'ye
玩在一起,wan'zai'yi'qi
旺达,wang'da
王庄,wang'zhuang
胃得安,wei'de'an
威美斯,wei'mei'si
为破,wei'po
为什么咯,wei'shen'me'ge
威斯丁,wei'si'ding
威斯汀,wei'si'ting
味王,wei'wang
味中味,wei'zhong'wei
问干嘛,wen'gan'ma
文光,wen'guang
文贵,wen'gui
问过去,wen'guo'qu
文捷,wen'jie
文金,wen'jin
问你下,wen'ni'xia
问七问八,wen'qi'wen'ba
温泉公园,wen'quan'gong'yuan
温泉路,wen'quan'lu
温泉路口,wen'quan'lu'kou
文山里,wen'shan'li
温书假,wen'shu'jia
问他下,wen'ta'xia
文武砂,wen'wu'sha
我班上,wo'ban'shang
我班上的,wo'ban'shang'de
我傍晚,wo'bang'wan
窝被窝,wo'bei'wo
我表姐夫,wo'biao'jie'fu
我表嫂,wo'biao'sao
我伯母,wo'bo'mu
我不在福州,wo'bu'zai'fu'zhou
我吃下,wo'chi'xia
我吃下饭,wo'chi'xia'fan
我穿下,wo'chuan'xia
窝床,wo'chuang
我到福州,wo'dao'fu'zhou
