阿基米德蜗杆,a'ji'mi'de'wo'gan
三相交流电,san'xiang'jiao'liu'dian
三心定理,san'xin'ding'li
砂漏,sha'lou
砂轮,sha'lun
砂轮越程槽,sha'lun'yue'cheng'cao
上旋杆,shang'xuan'gan
上隅角,shang'yu'jiao
少齿差行星传动,shao'chi'cha'xing'xing'chuan'dong
设计变量,she'ji'bian'liang
深沟球轴承,shen'gou'qiu'zhou'cheng
渗碳,shen'tan
生产阻力,sheng'chan'zu'li
升程,sheng'cheng
升距,sheng'ju
施工电梯,shi'gong'dian'ti
实际廓线,shi'ji'kuo'xian
实际啮合线,shi'ji'nie'he'xian
视图,shi'tu
失效,shi'xiao
十字槽沉头螺钉,shi'zi'cao'chen'tou'luo'ding
十字滑块联轴器,shi'zi'hua'kuai'lian'zhou'qi
十字结联轴节,shi'zi'jie'lian'zhou'jie
手动换向阀液压泵站,shou'dong'huan'xiang'fa'ye'ya'beng'zhan
输出功,shu'chu'gong
输出构件,shu'chu'gou'jian
输出机构,shu'chu'ji'gou
输出力矩,shu'chu'li'ju
数控精车,shu'kong'jing'che
输入构件,shu'ru'gou'jian
数学模型,shu'xue'mo'xing
双滑块机构,shuang'hua'kuai'ji'gou
双列轴承,shuang'lie'zhou'cheng
双曲柄机构,shuang'qu'bing'ji'gou
双头螺柱,shuang'tou'luo'zhu
双万向联轴节,shuang'wan'xiang'lian'zhou'jie
双向推力轴承,shuang'xiang'tui'li'zhou'cheng
双摇杆机构,shuang'yao'gan'ji'gou
双折线,shuang'zhe'xian
双转块机构,shuang'zhuan'kuai'ji'gou
水平投影面,shui'ping'tou'ying'mian
伺服电机,si'fu'dian'ji
四杆机构,si'gan'ji'gou
丝杠,si'gang
四号图纸,si'hao'tu'zhi
松边,song'bian
速度波动,su'du'bo'dong
速度不均匀波动系数,su'du'bu'jun'yun'bo'dong'xi'shu
速度曲线,su'du'qu'xian
速度瞬心,su'du'shun'xin
塑性变形,su'xing'bian'xing
缩小比例,suo'xiao'bi'li
塔吊班,ta'diao'ban
塔吊塔式起重机,ta'diao'ta'shi'qi'zhong'ji
塔轮,ta'lun
太阳轮,tai'yang'lun
弹簧,tan'huang
弹性滑动,tan'xing'hua'dong
弹性联轴器,tan'xing'lian'zhou'qi
弹性套柱销联轴器,tan'xing'tao'zhu'xiao'lian'zhou'qi
镗床,tang'chuang
套架,tao'jia
套筒,tao'tong
特殊运动链,te'shu'yun'dong'lian
特性,te'xing
替代机构,ti'dai'ji'gou
提升运输,ti'sheng'yun'shu
梯形螺纹,ti'xing'luo'wen
跳动位置公差,tiao'dong'wei'zhi'gong'cha
调速电动机,tiao'su'dian'dong'ji
调速器,tiao'su'qi
调心滚子轴承,tiao'xin'gun'zi'zhou'cheng
调心球轴承,tiao'xin'qiu'zhou'cheng
调心轴承,tiao'xin'zhou'cheng
调压调速,tiao'ya'tiao'su
调质,tiao'zhi
铁磁流体密封,tie'ci'liu'ti'mi'feng
铁拉杆,tie'la'gan
停车阶段,ting'che'jie'duan
同步带,tong'bu'dai
同步带传动,tong'bu'dai'chuan'dong
同轴度,tong'zhou'du
透老控,tou'lao'kong
透老巷,tou'lao'xiang
投影,tou'ying
投影轴,tou'ying'zhou
凸轮,tu'lun
凸轮倒置机构,tu'lun'dao'zhi'ji'gou
凸轮机构,tu'lun'ji'gou
凸轮廓线,tu'lun'kuo'xian
凸轮廓线绘制,tu'lun'kuo'xian'hui'zhi
凸轮理论廓线,tu'lun'li'lun'kuo'xian
凸面符号,tu'mian'fu'hao
凸面体,tu'mian'ti
图样,tu'yang
凸缘联轴器,tu'yuan'lian'zhou'qi
推程,tui'cheng
退刀槽,tui'dao'cao
退火,tui'huo
推力球轴承,tui'li'qiu'zhou'cheng
推力轴承,tui'li'zhou'cheng
脱碳,tuo'tan
瓦检员,wa'jian'yuan
瓦斯检查员,wa'si'jian'cha'yuan
瓦斯排版,wa'si'pai'ban
外齿轮,wai'chi'lun
外螺纹,wai'luo'wen
外形尺寸,wai'xing'chi'cun
外圆磨削,wai'yuan'mo'xue
弯曲应力,wan'qu'ying'li
万向联轴器,wan'xiang'lian'zhou'qi
完整花键长度,wan'zheng'hua'jian'chang'du
往复式密封,wang'fu'shi'mi'feng
往复移动,wang'fu'yi'dong
网上设计,wang'shang'she'ji
微动螺旋机,wei'dong'luo'xuan'ji
位移,wei'yi
位移曲线,wei'yi'qu'xian
位置度,wei'zhi'du
位置公差,wei'zhi'gong'cha
位姿,wei'zi
稳定性,wen'ding'xing
稳定运转阶段,wen'ding'yun'zhuan'jie'duan
稳健设计,wen'jian'she'ji
蜗杆,wo'gan
蜗杆传动机构,wo'gan'chuan'dong'ji'gou
蜗杆头数,wo'gan'tou'shu
蜗杆蜗轮,wo'gan'wo'lun
蜗杆蜗轮机构,wo'gan'wo'lun'ji'gou
蜗杆形凸轮步进机构,wo'gan'xing'tu'lun'bu'jin'ji'gou
蜗杆旋向,wo'gan'xuan'xiang
蜗杆直径系数,wo'gan'zhi'jing'xi'shu
蜗轮,wo'lun
涡圈形盘簧,wo'quan'xing'pan'huang
误差的敏感方向,wu'cha'de'min'gan'fang'xiang
无级变速装置,wu'ji'bian'su'zhuang'zhi
无声链,wu'sheng'lian
铣床,xi'chuang
铣刀,xi'dao
细点画线,xi'dian'hua'xian
细实线,xi'shi'xian
细双点画线,xi'shuang'dian'hua'xian
铣削,xi'xiao
细虚线,xi'xu'xian
细牙螺纹,xi'ya'luo'wen
下隅角,xia'yu'jiao
现场平衡,xian'chang'ping'heng
线轮廓度,xian'lun'kuo'du
限期整改时间,xian'qi'zheng'gai'shi'jian
相对间隙,xiang'dui'jian'xi
相贯线,xiang'guan'xian
相交两直线,xiang'jiao'liang'zhi'xian
橡胶弹簧,xiang'jiao'tan'huang
向视图,xiang'shi'tu
相同焊缝数量符号,xiang'tong'han'feng'shu'liang'fu'hao
相图,xiang'tu
向心力,xiang'xin'li
向心轴承,xiang'xin'zhou'cheng
巷修队,xiang'xiu'dui
小齿轮,xiao'chi'lun
小径,xiao'jing
谐波齿轮,xie'bo'chi'lun
谐波传动,xie'bo'chuan'dong
斜齿圆柱齿轮,xie'chi'yuan'zhu'chi'lun
斜二轴测图,xie'er'zhou'ce'tu
行程速比系数,xing'cheng'su'bi'xi'shu
行程速度变化系数,xing'cheng'su'du'bian'hua'xi'shu
形封闭凸轮机构,xing'feng'bi'tu'lun'ji'gou
形位公差,xing'wei'gong'cha
行星齿轮装置,xing'xing'chi'lun'zhuang'zhi
行星减速器,xing'xing'jian'su'qi
行星轮,xing'xing'lun
行星轮变速装置,xing'xing'lun'bian'su'zhuang'zhi
行星轮系,xing'xing'lun'xi
形状公差,xing'zhuang'gong'cha
虚拟现实设计,xu'ni'xian'shi'she'ji
许用不平衡量,xu'yong'bu'ping'heng'liang
许用压力角,xu'yong'ya'li'jiao
许用应力,xu'yong'ying'li
虚约束,xu'yue'shu
悬架,xuan'jia
旋向,xuan'xiang
旋转式密封,xuan'zhuan'shi'mi'feng
循环功率流,xun'huan'gong'lv'liu
压力角,ya'li'jiao
压模,ya'mu
牙嵌式联轴器,ya'qian'shi'lian'zhou'qi
压缩机,ya'suo'ji
牙型,ya'xing
摇杆,yao'gan
液力传动,ye'li'chuan'dong
液力偶合器,ye'li'ou'he'qi
液压泵,ye'ya'beng
液压传动机构,ye'ya'chuan'dong'ji'gou
液压机构,ye'ya'ji'gou
液压驱动泵,ye'ya'qu'dong'beng
液压无级变速,ye'ya'wu'ji'bian'su
一般化运动链,yi'ban'hua'yun'dong'lian
异步电动机,yi'bu'dian'dong'ji
移动从动件,yi'dong'cong'dong'jian
移动副,yi'dong'fu
移动关节,yi'dong'guan'jie
移动凸轮,yi'dong'tu'lun
一号图纸,yi'hao'tu'zhi
异面两直线,yi'mian'liang'zhi'xian
隐患单位,yin'huan'dan'wei
隐患地点,yin'huan'di'dian
隐患内容,yin'huan'nei'rong
硬度转变区,ying'du'zhuan'bian'qu
盈亏功,ying'kui'gong
应力,ying'li
应力幅,ying'li'fu
应力集中,ying'li'ji'zhong
油杯,you'bei
游标卡尺,you'biao'ka'chi
油沟密封,you'gou'mi'feng
有害阻力,you'hai'zu'li
优化设计,you'hua'she'ji
有色金属,you'se'jin'shu
有效花键长度,you'xiao'hua'jian'chang'du
有效拉力,you'xiao'la'li
有效螺纹长度,you'xiao'luo'wen'chang'du
有效圆周力,you'xiao'yuan'zhou'li
有益阻力,you'yi'zu'li
余高,yu'gao
余弦加速度运动,yu'xian'jia'su'du'yun'dong
圆鼻刀,yuan'bi'dao
圆带,yuan'dai
圆带传动,yuan'dai'chuan'dong
圆刀,yuan'dao
原动件,yuan'dong'jian
圆弧齿厚,yuan'hu'chi'hou
圆弧圆柱蜗杆,yuan'hu'yuan'zhu'wo'gan
圆盘摩擦离合器,yuan'pan'mo'ca'li'he'qi
原始机构,yuan'shi'ji'gou
圆跳动,yuan'tiao'dong
圆形齿轮,yuan'xing'chi'lun
圆柱度,yuan'zhu'du
圆柱副,yuan'zhu'fu
圆柱滚子,yuan'zhu'gun'zi
圆柱滚子轴承,yuan'zhu'gun'zi'zhou'cheng
圆柱螺旋拉伸弹簧,yuan'zhu'luo'xuan'la'shen'tan'huang
圆柱螺旋扭转弹簧,yuan'zhu'luo'xuan'niu'zhuan'tan'huang
圆柱螺旋压缩弹簧,yuan'zhu'luo'xuan'ya'suo'tan'huang
圆柱凸轮,yuan'zhu'tu'lun
圆柱蜗杆,yuan'zhu'wo'gan
圆柱坐标操作器,yuan'zhu'zuo'biao'cao'zuo'qi
圆锥齿轮机构,yuan'zhui'chi'lun'ji'gou
圆锥滚子,yuan'zhui'gun'zi
圆锥滚子轴承,yuan'zhui'gun'zi'zhou'cheng
圆锥角,yuan'zhui'jiao
圆锥螺旋扭转弹簧,yuan'zhui'luo'xuan'niu'zhuan'tan'huang
跃度,yue'du
跃度曲线,yue'du'qu'xian
约束反力,yue'shu'fan'li
运动倒置,yun'dong'dao'zhi
运动方案设计,yun'dong'fang'an'she'ji
运动副,yun'dong'fu
运动构件,yun'dong'gou'jian
运动简图,yun'dong'jian'tu
运动链,yun'dong'lian
运动设计,yun'dong'she'ji
运动失真,yun'dong'shi'zhen
运动学,yun'dong'xue
运动周期,yun'dong'zhou'qi
运动综合,yun'dong'zong'he
运转不均匀系数,yun'zhuan'bu'jun'yun'xi'shu
载荷,zai'he
展成法,zhan'cheng'fa
战金果,zhan'jin'guo
展开图,zhan'kai'tu
张紧力,zhang'jin'li
张紧轮,zhang'jin'lun
振动力矩,zhen'dong'li'ju
正垂面,zheng'chui'mian
正垂线,zheng'chui'xian
正等轴测图,zheng'deng'zhou'ce'tu
正火,zheng'huo
正立投影面,zheng'li'tou'ying'mian
正平面,zheng'ping'mian
正平线,zheng'ping'xian
正切机构,zheng'qie'ji'gou
正投影法,zheng'tou'ying'fa
正弦机构,zheng'xian'ji'gou
正向运动学,zheng'xiang'yun'dong'xue
直齿圆柱齿轮,zhi'chi'yuan'zhu'chi'lun
直齿锥齿轮,zhi'chi'zhui'chi'lun
制动器,zhi'dong'qi
直角坐标操作器,zhi'jiao'zuo'biao'cao'zuo'qi
质径积,zhi'jing'ji
直径系列,zhi'jing'xi'lie
直径系数,zhi'jing'xi'shu
直廓环面蜗杆,zhi'kuo'huan'mian'wo'gan
直流电源,zhi'liu'dian'yuan
智能化设计,zhi'neng'hua'she'ji
职能科室,zhi'neng'ke'shi
执行构件,zhi'xing'gou'jian
中间平面,zhong'jian'ping'mian
中间线段,zhong'jian'xian'duan
中径,zhong'jing
中心距,zhong'xin'ju
中心距变动,zhong'xin'ju'bian'dong
中心轮,zhong'xin'lun
中心投影法,zhong'xin'tou'ying'fa
中心钻,zhong'xin'zuan
终止啮合点,zhong'zhi'nie'he'dian
周边尺寸,zhou'bian'chi'cun
轴测投影,zhou'ce'tou'ying
轴测图,zhou'ce'tu
轴承衬,zhou'cheng'chen
轴承高度,zhou'cheng'gao'du
轴承宽度,zhou'cheng'kuan'du
轴承内径,zhou'cheng'nei'jing
轴承寿命,zhou'cheng'shou'ming
轴承套圈,zhou'cheng'tao'quan
轴承外径,zhou'cheng'wai'jing
轴端挡圈,zhou'duan'dang'quan
轴肩,zhou'jian
轴颈,zhou'jing
周期性速度波动,zhou'qi'xing'su'du'bo'dong
轴瓦,zhou'wa
轴线,zhou'xian
轴向齿廓,zhou'xiang'chi'kuo
轴向当量动载荷,zhou'xiang'dang'liang'dong'zai'he
轴向当量静载荷,zhou'xiang'dang'liang'jing'zai'he
轴向分力,zhou'xiang'fen'li
轴向基本额定动载荷,zhou'xiang'ji'ben'e'ding'dong'zai'he
轴向接触轴承,zhou'xiang'jie'chu'zhou'cheng
轴向平面,zhou'xiang'ping'mian
轴向伸缩系数,zhou'xiang'shen'suo'xi'shu
轴向游隙,zhou'xiang'you'xi
轴向载荷,zhou'xiang'zai'he
肘形机构,zhou'xing'ji'gou
主动齿轮,zhu'dong'chi'lun
主动带轮,zhu'dong'dai'lun
主动件,zhu'dong'jian
主动锥齿轮,zhu'dong'zhui'chi'lun
铸件壁厚,zhu'jian'bi'hou
柱塞泵,zhu'sai'beng
主视图,zhu'shi'tu
主提升系统,zhu'ti'sheng'xi'tong
主斜井,zhu'xie'jing
主运动,zhu'yun'dong
铸造,zhu'zao
铸造圆角,zhu'zao'yuan'jiao
主轴,zhu'zhou
主轴箱,zhu'zhou'xiang
转动导杆机构,zhuan'dong'dao'gan'ji'gou
转动副,zhuan'dong'fu
转动关节,zhuan'dong'guan'jie
转向器,zhuan'xiang'qi
转子,zhuan'zi
转子平衡,zhuan'zi'ping'heng
装配条件,zhuang'pei'tiao'jian
装配图,zhuang'pei'tu
锥齿轮,zhui'chi'lun
锥顶,zhui'ding
锥距,zhui'ju
锥轮,zhui'lun
锥面包络圆柱蜗杆,zhui'mian'bao'luo'yuan'zhu'wo'gan
准双曲面齿轮,zhun'shuang'qu'mian'chi'lun
子机构,zi'ji'gou
自锁,zi'suo
自锁条件,zi'suo'tiao'jian
自由度,zi'you'du
总反力,zong'fan'li
纵向重合度,zong'xiang'chong'he'du
总重合度,zong'zhong'he'du
组成原理,zu'cheng'yuan'li
组合安装,zu'he'an'zhuang
组合齿形,zu'he'chi'xing
组合机构,zu'he'ji'gou
阻抗力,zu'kang'li
钻床,zuan'chuang
钻削镗削,zuan'xue'tang'xue
最大盈亏功,zui'da'ying'kui'gong
最少齿数,zui'shao'chi'shu
最小向径,zui'xiao'xiang'jing
坐标法,zuo'biao'fa
