鹌鹑蛋,an'chun'dan
生态小黄瓜,sheng'tai'xiao'huang'gua
生态小茄子,sheng'tai'xiao'qie'zi
生猪耳,sheng'zhu'er
生猪口条,sheng'zhu'kou'tiao
生猪心,sheng'zhu'xin
师傅添加剂包,shi'fu'tian'jia'ji'bao
石膏粉,shi'gao'fen
石花菜,shi'hua'cai
什锦果酱瓶,shi'jin'guo'jiang'ping
什锦酱,shi'jin'jiang
什锦酱袋装,shi'jin'jiang'dai'zhuang
什锦酱罐装,shi'jin'jiang'guan'zhuang
石榴,shi'liu
石榴花,shi'liu'hua
狮牌吉士粉桶,shi'pai'ji'shi'fen'tong
石屏豆腐,shi'ping'dou'fu
石屏豆腐块,shi'ping'dou'fu'kuai
十三香盒,shi'san'xiang'he
实友泡打粉桶,shi'you'pao'da'fen'tong
熟白云豆,shu'bai'yun'dou
树番茄,shu'fan'qie
树瓜,shu'gua
熟红豆,shu'hong'dou
薯片,shu'pian
薯条,shu'tiao
熟芝麻酱,shu'zhi'ma'jiang
熟猪耳,shu'zhu'er
熟猪口条,shu'zhu'kou'tiao
熟猪心,shu'zhu'xin
双鹤玫瑰露酒瓶,shuang'he'mei'gui'lu'jiu'ping
双汇火腿肠件,shuang'hui'huo'tui'chang'jian
双汇午餐肉三文治,shuang'hui'wu'can'rou'san'wen'zhi
双桥牌味精,shuang'qiao'pai'wei'jing
双喜泡打粉桶,shuang'xi'pao'da'fen'tong
水豆豉,shui'dou'chi
水豆腐,shui'dou'fu
水豆花,shui'dou'hua
水发海带丝,shui'fa'hai'dai'si
水发木耳,shui'fa'mu'er
水发牛白叶,shui'fa'niu'bai'ye
水发肉皮,shui'fa'rou'pi
水发猪黄喉,shui'fa'zhu'huang'hou
水发竹笋丝,shui'fa'zhu'sun'si
水果,shui'guo
水节菜,shui'jie'cai
水晶花把,shui'jing'hua'ba
水蕨菜,shui'jue'cai
水萝卜丝,shui'luo'bo'si
水萝卜条,shui'luo'bo'tiao
水蜜桃,shui'mi'tao
水蜜桃罐头瓶,shui'mi'tao'guan'tou'ping
水香菜,shui'xiang'cai
水腌菜,shui'yan'cai
四川红桔,si'chuan'hong'jie
四川黄姜,si'chuan'huang'jiang
四川新姜,si'chuan'xin'jiang
丝瓜,si'gua
四季宝花生酱瓶,si'ji'bao'hua'sheng'jiang'ping
四季豆,si'ji'dou
饲料土鸡,si'liao'tu'ji
思念油条,si'nian'you'tiao
松花蛋个,song'hua'dan'ge
酸菜,suan'cai
酸菜件,suan'cai'jian
酸菜鱼佐料,suan'cai'yu'zuo'liao
酸菜鱼佐料件,suan'cai'yu'zuo'liao'jian
酸豇豆,suan'jiang'dou
酸浆豆腐,suan'jiang'dou'fu
蒜米,suan'mi
酸笋,suan'sun
酸笋丝,suan'sun'si
蒜苔,suan'tai
蒜香骨包,suan'xiang'gu'bao
锁阳,suo'yang
塔花菜,ta'hua'cai
泰国桔,tai'guo'ju
泰国辣鸡汁瓶,tai'guo'la'ji'zhi'ping
泰国荔枝,tai'guo'li'zhi
泰国西米瓶,tai'guo'xi'mi'ping
泰国鱼露瓶,tai'guo'yu'lu'ping
太和豆豉,tai'he'dou'chi
太和豆鼓,tai'he'dou'gu
太太乐味粉包,tai'tai'le'wei'fen'bao
太阳花朵,tai'yang'hua'duo
汤池老酱,tang'chi'lao'jiang
汤袋个,tang'dai'ge
棠梨花,tang'li'hua
棠梨花瓶,tang'li'hua'ping
唐排,tang'pai
特惠哈密瓜,te'hui'ha'mi'gua
特级冬枣,te'ji'dong'zao
甜白酒,tian'bai'jiu
甜白酒盒,tian'bai'jiu'he
甜菜,tian'cai
甜脆包谷棒,tian'cui'bao'gu'bang
甜脆包谷米,tian'cui'bao'gu'mi
甜脆豆,tian'cui'dou
甜脆豌豆,tian'cui'wan'dou
甜脆豌豆米,tian'cui'wan'dou'mi
天哥冻鸡脚,tian'ge'dong'ji'jiao
天和螺粉包,tian'he'luo'fen'bao
甜角,tian'jiao
天麻,tian'ma
甜面酱,tian'mian'jiang
甜面酱瓶,tian'mian'jiang'ping
田笋,tian'sun
茼蒿,tong'hao
童子骨,tong'zi'gu
筒子骨,tong'zi'gu
土公鸡,tu'gong'ji
土鸡,tu'ji
土鸡蛋,tu'ji'dan
土司面包大条,tu'si'mian'bao'da'tiao
土鸭,tu'ya
娃娃菜,wa'wa'cai
娃娃菜包,wa'wa'cai'bao
娃娃菜袋,wa'wa'cai'dai
豌豆粉,wan'dou'fen
豌豆米,wan'dou'mi
豌豆芽,wan'dou'ya
万人迷辣椒油瓶,wan'ren'mi'la'jiao'you'ping
王守义孜然粉包,wang'shou'yi'zi'ran'fen'bao
网纹瓜,wang'wen'gua
尾骨,wei'gu
威化纸包,wei'hua'zhi'bao
味椒盐瓶,wei'jiao'yan'ping
文山鸡,wen'shan'ji
窝窝头袋,wo'wo'tou'dai
武定鸡,wu'ding'ji
无花边生菜,wu'hua'bian'sheng'cai
无花果,wu'hua'guo
五花肉,wu'hua'rou
五花肉磨,wu'hua'rou'mo
五花肉片,wu'hua'rou'pian
乌鸡,wu'ji
无碱鲜面条,wu'jian'xian'mian'tiao
乌江榨菜小包,wu'jiang'zha'cai'xiao'bao
无筋豆,wu'jin'dou
无筋四季豆,wu'jin'si'ji'dou
无铅松花蛋个,wu'qian'song'hua'dan'ge
勿忘我把,wu'wang'wo'ba
无眼菠萝,wu'yan'bo'luo
西厨海带丝,xi'chu'hai'dai'si
西瓜,xi'gua
西红柿,xi'hong'shi
细尖椒,xi'jian'jiao
洗洁精,xi'jie'jing
西兰花,xi'lan'hua
细米线,xi'mi'xian
洗藕,xi'ou
西芹,xi'qin
西生菜,xi'sheng'cai
西生菜球生菜,xi'sheng'cai'qiu'sheng'cai
细腌菜,xi'yan'cai
西洋菜,xi'yang'cai
吸油纸张,xi'you'zhi'zhang
西元西,xi'yuan'xi
夏果袋,xia'guo'dai
虾片盒,xia'pian'he
夏威夷木瓜,xia'wei'yi'mu'gua
鲜百合,xian'bai'he
鲜百合包,xian'bai'he'bao
鲜茶树菇,xian'cha'shu'gu
咸蛋个,xian'dan'ge
咸蛋黄板,xian'dan'huang'ban
咸蛋黄红太阳袋,xian'dan'huang'hong'tai'yang'dai
鲜冬菇,xian'dong'gu
鲜干豆,xian'gan'dou
鲜荷叶根,xian'he'ye'gen
鲜花椒,xian'hua'jiao
鲜鸡油,xian'ji'you
鲜芦笋,xian'lu'sun
鲜面条,xian'mian'tiao
鲜蘑菇,xian'mo'gu
鲜柠檬,xian'ning'meng
仙人掌,xian'ren'zhang
鲜肉水饺袋,xian'rou'shui'jiao'dai
鲜沙姜,xian'sha'jiang
鲜沙松尖,xian'sha'song'jian
鲜山药,xian'shan'yao
鲜豌豆米,xian'wan'dou'mi
鲜西芹,xian'xi'qin
鲜香菇,xian'xiang'gu
咸鸭蛋,xian'ya'dan
咸鸭蛋个,xian'ya'dan'ge
鲜竹笋,xian'zhu'sun
香菜,xiang'cai
香椿,xiang'chun
香葱,xiang'cong
香豆腐,xiang'dou'fu
香豆腐袋,xiang'dou'fu'dai
香干,xiang'gan
香菇,xiang'gu
香瓜,xiang'gua
香蕉,xiang'jiao
香辣酱,xiang'la'jiang
香辣酱桶装,xiang'la'jiang'tong'zhuang
香辣酥袋,xiang'la'su'dai
香梨,xiang'li
香柳,xiang'liu
香茅,xiang'mao
香茅草,xiang'mao'cao
香米饵块个,xiang'mi'er'kuai'ge
香芹,xiang'qin
象山腐竹,xiang'shan'fu'zhu
相思菜,xiang'si'cai
相思菜板,xiang'si'cai'ban
香笋,xiang'sun
湘西外婆菜,xiang'xi'wai'po'cai
香叶,xiang'ye
香芋,xiang'yu
香芋饼件,xiang'yu'bing'jian
香芋色香油瓶,xiang'yu'se'xiang'you'ping
小白菜,xiao'bai'cai
小菠菜,xiao'bo'cai
小葱,xiao'cong
小刀烤鸭只,xiao'dao'kao'ya'zhi
小刀鸭生,xiao'dao'ya'sheng
小冻菌,xiao'dong'jun
小豆芽,xiao'dou'ya
小番茄,xiao'fan'qie
小瓜,xiao'gua
小核桂圆,xiao'he'gui'yuan
小核龙眼,xiao'he'long'yan
小黄瓜,xiao'huang'gua
小黄姜,xiao'huang'jiang
小姬菇,xiao'ji'gu
小尖椒,xiao'jian'jiao
小金瓜,xiao'jin'gua
小金桔,xiao'jin'ju
小京白菜,xiao'jing'bai'cai
小韭菜,xiao'jiu'cai
小蕨菜,xiao'jue'cai
小苦菜,xiao'ku'cai
小莲花白,xiao'lian'hua'bai
小麦子,xiao'mai'zi
小馒头袋,xiao'man'tou'dai
小馒头个,xiao'man'tou'ge
小芒果,xiao'mang'guo
小玫瑰把,xiao'mei'gui'ba
小米,xiao'mi
小米菜,xiao'mi'cai
小青菜,xiao'qing'cai
小青椒,xiao'qing'jiao
小烧豆腐,xiao'shao'dou'fu
小唐菜,xiao'tang'cai
小香瓜,xiao'xiang'gua
小香芹绿,xiao'xiang'qin'lv
小樱桃红皮萝卜,xiao'ying'tao'hong'pi'luo'bo
小芋头,xiao'yu'tou
小圆筒,xiao'yuan'tong
小猪脚,xiao'zhu'jiao
新的橙汁瓶,xin'de'cheng'zhi'ping
新的柠檬汁瓶,xin'de'ning'meng'zhi'ping
新豆腐皮,xin'dou'fu'pi
新黄心洋芋,xin'huang'xin'yang'yu
新姜,xin'jiang
心灵美,xin'ling'mei
新奇士橙,xin'qi'shi'cheng
新鲜黑毛肚,xin'xian'hei'mao'du
新鲜甜笋,xin'xian'tian'sun
新鲜虾仁,xin'xian'xia'ren
新鲜香茅草,xin'xian'xiang'mao'cao
新鲜小米辣,xin'xian'xiao'mi'la
新鲜竹笋,xin'xian'zhu'sun
新洋芋,xin'yang'yu
杏鲍菇,xing'bao'gu
星湖麦芽粉包,xing'hu'mai'ya'fen'bao
杏仁片散,xing'ren'pian'san
熊猫牌炼乳瓶,xiong'mao'pai'lian'ru'ping
宣威火腿,xuan'wei'huo'tui
雪碧瓶,xue'bi'ping
雪蛤,xue'ha
雪兰牛奶件,xue'lan'niu'nai'jian
雪梨,xue'li
血皮菜,xue'pi'cai
血旺,xue'wang
鸭肠,ya'chang
鸭蛋,ya'dan
鸭蛋个,ya'dan'ge
鸭舌,ya'she
鸭珍,ya'zhen
盐包,yan'bao
腌菜,yan'cai
腌菜包,yan'cai'bao
腌菜无色素,yan'cai'wu'se'su
盐蛋个,yan'dan'ge
腌鸡,yan'ji
腌藠头,yan'jiao'tou
盐焗鸡粉袋,yan'ju'ji'fen'dai
盐焗鸡粉盒,yan'ju'ji'fen'he
腌小白鱼,yan'xiao'bai'yu
盐小包,yan'xiao'bao
洋葱,yang'cong
羊肚菌,yang'du'jun
洋花菜,yang'hua'cai
洋鸡蛋件,yang'ji'dan'jian
阳江豆豉盒,yang'jiang'dou'chi'he
羊角菜,yang'jiao'cai
洋兰花把,yang'lan'hua'ba
杨梅,yang'mei
羊乳饼,yang'ru'bing
洋丝瓜,yang'si'gua
洋丝瓜尖,yang'si'gua'jian
杨桃,yang'tao
腰花,yao'hua
野公鸡,ye'gong'ji
椰皇,ye'huang
野芥兰,ye'jie'lan
叶萝卜,ye'luo'bo
野母鸡,ye'mu'ji
椰青,ye'qing
野山椒瓶,ye'shan'jiao'ping
野生荠菜,ye'sheng'ji'cai
野甜菜,ye'tian'cai
一般的肥肉,yi'ban'de'fei'rou
意大利粉包,yi'da'li'fen'bao
一葵玉桂粉瓶,yi'kui'yu'gui'fen'ping
宜良烤鸭,yi'liang'kao'ya
伊面包,yi'mian'bao
银针菇,yin'zhen'gu
油豆腐,you'dou'fu
油桃,you'tao
鱼肚,yu'du
玉兰片,yu'lan'pian
玉米,yu'mi
玉米棒,yu'mi'bang
玉米棒水果,yu'mi'bang'shui'guo
玉米粒,yu'mi'li
玉米生粉,yu'mi'sheng'fen
玉米笋,yu'mi'sun
芋头花,yu'tou'hua
芋头仔,yu'tou'zai
玉香粉瓶,yu'xiang'fen'ping
圆豆,yuan'dou
圆杆苦菜,yuan'gan'ku'cai
员工海带丝,yuan'gong'hai'dai'si
芫茜粉包,yuan'qian'fen'bao
芫茜籽,yuan'qian'zi
仔姑只,zai'gu'zhi
仔姜,zai'jiang
仔排,zai'pai
仔排骨,zai'pai'gu
藏红花,zang'hong'hua
藏红花菜,zang'hong'hua'cai
糟辣子,zao'la'zi
榨菜,zha'cai
榨菜袋,zha'cai'dai
榨菜丝袋,zha'cai'si'dai
昭通酱,zhao'tong'jiang
折耳根,zhe'er'gen
折耳根叶,zhe'er'gen'ye
折叶,zhe'ye
珍珠菜,zhen'zhu'cai
珍珠鸡,zhen'zhu'ji
蒸肉粉袋,zheng'rou'fen'dai
正义纯猪油桶,zheng'yi'chun'zhu'you'tong
直葱,zhi'cong
芝麻菜,zhi'ma'cai
芝麻花,zhi'ma'hua
芝麻油,zhi'ma'you
芝麻油瓶,zhi'ma'you'ping
汁瓶,zhi'ping
支竹,zhi'zhu
皱皮椒,zhou'pi'jiao
皱青椒,zhou'qing'jiao
肘子,zhou'zi
煮白云豆,zhu'bai'yun'dou
猪板油,zhu'ban'you
煮刀豆,zhu'dao'dou
猪肚,zhu'du
猪耳,zhu'er
猪肺个,zhu'fei'ge
猪粉肠,zhu'fen'chang
猪肝,zhu'gan
煮红豆,zhu'hong'dou
猪脑花,zhu'nao'hua
猪皮,zhu'pi
猪舌,zhu'she
朱师傅果冻袋,zhu'shi'fu'guo'dong'dai
猪手,zhu'shou
竹丝鸡,zhu'si'ji
竹笋丝,zhu'sun'si
竹笋听,zhu'sun'ting
猪蹄,zhu'ti
猪尾,zhu'wei
猪小肠,zhu'xiao'chang
猪心,zhu'xin
猪血,zhu'xue
紫菜包,zi'cai'bao
紫菜提,zi'cai'ti
紫草,zi'cao
紫发荞粉件,zi'fa'qiao'fen'jian
紫发玉米粉件,zi'fa'yu'mi'fen'jian
仔鸡,zi'ji
紫芥兰,zi'jie'lan
紫莲花白,zi'lian'hua'bai
紫罗兰把,zi'luo'lan'ba
紫糯米,zi'nuo'mi
紫皮红薯,zi'pi'hong'shu
紫茄子,zi'qie'zi
紫苏,zi'su
紫太阳花把,zi'tai'yang'hua'ba
综合类,zong'he'lei
