阿拉伯胶,a'la'bo'jiao
脊椎腔注射,ji'zhui'qiang'zhu'she
脊椎注射,ji'zhui'zhu'she
甲丙烯酸乙酯,jia'bing'xi'suan'yi'zhi
颊额片,jia'e'pian
加工炮制,jia'gong'pao'zhi
甲基吡咯酮,jia'ji'bi'luo'tong
甲基丙烯酸丙烯酸甲酯,jia'ji'bing'xi'suan'bing'xi'suan'jia'zhi
甲基丙烯酸共聚物,jia'ji'bing'xi'suan'gong'ju'wu
甲基丙烯酸共聚物肠溶,jia'ji'bing'xi'suan'gong'ju'wu'chang'rong
甲基丙烯酸甲酯,jia'ji'bing'xi'suan'jia'zhi
甲基丙烯酸羟乙酯,jia'ji'bing'xi'suan'qiang'yi'zhi
甲基丙烯酸酸共聚物,jia'ji'bing'xi'suan'suan'gong'ju'wu
甲基丙烯酸酯共聚物,jia'ji'bing'xi'suan'zhi'gong'ju'wu
甲基丙烯酸酯共聚物不溶,jia'ji'bing'xi'suan'zhi'gong'ju'wu'bu'rong
甲基纤维素,jia'ji'xian'wei'su
假零级反应,jia'ling'ji'fan'ying
颊粘附给药,jia'nian'fu'gei'yao
假粘性流动,jia'nian'xing'liu'dong
加入顺序,jia'ru'shun'xu
加速批准,jia'su'pi'zhun
加速试验,jia'su'shi'yan
加速试验法,jia'su'shi'yan'fa
假塑性流动,jia'su'xing'liu'dong
假塑性流体,jia'su'xing'liu'ti
家兔法,jia'tu'fa
加压过滤,jia'ya'guo'lv
加压滤过,jia'ya'lv'guo
加压气水喷射洗涤法,jia'ya'qi'shui'pen'she'xi'di'fa
鉴别方法,jian'bie'fang'fa
检查方法,jian'cha'fang'fa
煎膏剂,jian'gao'ji
简化的新药申请,jian'hua'de'xin'yao'shen'qing
间接致癌,jian'jie'zhi'ai
检漏,jian'lou
剪切混合,jian'qie'hun'he
剪切力,jian'qie'li
剪切速度,jian'qie'su'du
剪切应力,jian'qie'ying'li
碱洗法,jian'xi'fa
间歇灭菌法,jian'xie'mie'jun'fa
碱性介质,jian'xing'jie'zhi
碱性条件,jian'xing'tiao'jian
减压滤过,jian'ya'lv'guo
碱中毒,jian'zhong'du
煎煮法,jian'zhu'fa
降解途径,jiang'jie'tu'jing
降压物质,jiang'ya'wu'zhi
搅拌,jiao'ban
胶浆,jiao'jiang
胶浆剂,jiao'jiang'ji
酵解,jiao'jie
交联甲基纤维素钠,jiao'lian'jia'ji'xian'wei'su'na
交联交联聚维酮,jiao'lian'jiao'lian'ju'wei'tong
交联交联羧甲基纤维素钠,jiao'lian'jiao'lian'suo'jia'ji'xian'wei'su'na
交联聚丙烯酸钠,jiao'lian'ju'bing'xi'suan'na
交联聚维酮,jiao'lian'ju'wei'tong
交联聚乙烯比咯烷酮,jiao'lian'ju'yi'xi'bi'ge'wan'tong
交联聚乙烯吡咯烷酮,jiao'lian'ju'yi'xi'bi'luo'wan'tong
交联羧甲基纤维素钠,jiao'lian'suo'jia'ji'xian'wei'su'na
交联羧甲基纤维素纳,jiao'lian'suo'jia'ji'xian'wei'su'na
酵母菌数,jiao'mu'jun'shu
胶囊,jiao'nang
胶囊剂,jiao'nang'ji
胶囊类,jiao'nang'lei
胶凝,jiao'ning
胶溶法,jiao'rong'fa
胶塞,jiao'sai
胶束,jiao'shu
胶体,jiao'ti
胶体硅,jiao'ti'gui
胶体磨,jiao'ti'mo
胶体溶液,jiao'ti'rong'ye
胶体溶液型,jiao'ti'rong'ye'xing
胶体输液,jiao'ti'shu'ye
焦头,jiao'tou
胶团的形成,jiao'tuan'de'xing'cheng
胶团乳,jiao'tuan'ru
胶丸,jiao'wan
矫味矫嗅剂,jiao'wei'jiao'xiu'ji
焦亚硫酸钠,jiao'ya'liu'suan'na
嚼用片,jiao'yong'pian
角质层,jiao'zhi'ceng
结饼,jie'bing
结肠靶向,jie'chang'ba'xiang
结肠部位前体药物,jie'chang'bu'wei'qian'ti'yao'wu
结肠定位给药系统,jie'chang'ding'wei'gei'yao'xi'tong
接触角,jie'chu'jiao
介电常数,jie'dian'chang'shu
解毒作用,jie'du'zuo'yong
洁尔灭,jie'er'mie
结构鉴定,jie'gou'jian'ding
结合变性,jie'he'bian'xing
结合键,jie'he'jian
结合水分,jie'he'shui'fen
结晶,jie'jing
洁净区,jie'jing'qu
洁净区托销药品,jie'jing'qu'tuo'xiao'yao'pin
结晶型,jie'jing'xing
拮抗作用,jie'kang'zuo'yong
解离常数,jie'li'chang'shu
界面缩聚法,jie'mian'suo'ju'fa
界面张力,jie'mian'zhang'li
接受,jie'shou
接收宝,jie'shou'bao
介质,jie'zhi
浸出方法,jin'chu'fang'fa
浸出过程,jin'chu'guo'cheng
浸出溶剂,jin'chu'rong'ji
浸出药剂,jin'chu'yao'ji
浸出原理,jin'chu'yuan'li
近代药物制剂,jin'dai'yao'wu'zhi'ji
浸膏剂,jin'gao'ji
浸膏片,jin'gao'pian
金黄色葡萄球菌,jin'huang'se'pu'tao'qiu'jun
浸润,jin'run
金属离子,jin'shu'li'zi
金属络合剂,jin'shu'luo'he'ji
浸渍法,jin'zi'fa
径,jing
经典恒温法,jing'dian'heng'wen'fa
晶格能不同,jing'ge'neng'bu'tong
胫胶,jing'jiao
鲸蜡,jing'la
鲸蜡醇,jing'la'chun
静脉注射,jing'mai'zhu'she
晶癖,jing'pi
经皮传递系统,jing'pi'chuan'di'xi'tong
经皮给药,jing'pi'gei'yao
经皮给药系统,jing'pi'gei'yao'xi'tong
经皮吸收,jing'pi'xi'shou
经皮吸收促进剂,jing'pi'xi'shou'cu'jin'ji
经皮吸收制剂,jing'pi'xi'shou'zhi'ji
经皮治疗制剂,jing'pi'zhi'liao'zhi'ji
精神药品,jing'shen'yao'pin
精神依赖性,jing'shen'yi'lai'xing
经时过程,jing'shi'guo'cheng
晶态,jing'tai
经胃肠道给药,jing'wei'chang'dao'gei'yao
晶型,jing'xing
晶型不同,jing'xing'bu'tong
晶型转变,jing'xing'zhuan'bian
晶型转化,jing'xing'zhuan'hua
竞争转运现象,jing'zheng'zhuan'yun'xian'xiang
精制,jing'zhi
精制技术,jing'zhi'ji'shu
酒剂,jiu'ji
酒石酸盐,jiu'shi'suan'yan
聚丙交酯乙交酯,ju'bing'jiao'zhi'yi'jiao'zhi
聚丙烯,ju'bing'xi
聚丙烯薄膜,ju'bing'xi'bao'mo
聚丙烯酸树酯,ju'bing'xi'suan'shu'zhi
聚丙烯酸树脂系列,ju'bing'xi'suan'shu'zhi'xi'lie
聚丙烯酰胺凝胶,ju'bing'xi'xian'an'ning'jiao
局部层流,ju'bu'ceng'liu
局部定位作用,ju'bu'ding'wei'zuo'yong
局部化学反应,ju'bu'hua'xue'fan'ying
局部用凝胶剂,ju'bu'yong'ning'jiao'ji
局部用散剂,ju'bu'yong'san'ji
聚沉,ju'chen
聚丁烯,ju'ding'xi
聚对苯二甲酸乙二醇酯,ju'dui'ben'er'jia'suan'yi'er'chun'zhi
聚合,ju'he
聚合等,ju'he'deng
聚集,ju'ji
聚集状态,ju'ji'zhuang'tai
聚甲基丙烯酸,ju'jia'ji'bing'xi'suan
聚甲基丙烯酸甲酯,ju'jia'ji'bing'xi'suan'jia'zhi
聚甲基丙烯酸酯,ju'jia'ji'bing'xi'suan'zhi
聚结物,ju'jie'wu
咀嚼片,ju'jue'pian
聚氯乙烯,ju'lv'yi'xi
聚偏氟乙烯膜,ju'pian'fu'yi'xi'mo
聚羟丙甲丙烯酸甲酯,ju'qiang'bing'jia'bing'xi'suan'jia'zhi
聚氰基丙烯酸丁酯,ju'qing'ji'bing'xi'suan'ding'zhi
聚氰基丙烯酸烷酯,ju'qing'ji'bing'xi'suan'wan'zhi
聚氰基丙烯酸异丁脂,ju'qing'ji'bing'xi'suan'yi'ding'zhi
聚氰基丙烯酸异丁酯,ju'qing'ji'bing'xi'suan'yi'ding'zhi
聚乳酸,ju'ru'suan
聚乳酸聚乙醇酸共聚物,ju'ru'suan'ju'yi'chun'suan'gong'ju'wu
聚乳酸聚乙二醇嵌段共聚物,ju'ru'suan'ju'yi'er'chun'qian'duan'gong'ju'wu
聚乳酸乙醇酸共聚物,ju'ru'suan'yi'chun'suan'gong'ju'wu
聚山梨酯,ju'shan'li'zhi
聚四氟乙烯膜,ju'si'fu'yi'xi'mo
聚酸酯乙交酯,ju'suan'zhi'yi'jiao'zhi
聚羧乙烯,ju'suo'yi'xi
聚维酮,ju'wei'tong
聚酰胺膜,ju'xian'an'mo
聚氧基丙烯酸烷酯,ju'yang'ji'bing'xi'suan'wan'zhi
聚氧乙烯,ju'yang'yi'xi
聚氧乙烯蓖麻油化合物,ju'yang'yi'xi'bi'ma'you'hua'he'wu
聚氧乙烯单硬脂酸酯,ju'yang'yi'xi'dan'ying'zhi'suan'zhi
聚氧乙烯基,ju'yang'yi'xi'ji
聚氧乙烯聚氧丙烯共聚物,ju'yang'yi'xi'ju'yang'bing'xi'gong'ju'wu
聚氧乙烯失水山梨醇,ju'yang'yi'xi'shi'shui'shan'li'chun
聚氧乙烯硬脂酸酯,ju'yang'yi'xi'ying'zhi'suan'zhi
聚氧乙烯油醇醚,ju'yang'yi'xi'you'chun'mi
聚氧乙烯与油醇缩合,ju'yang'yi'xi'yu'you'chun'suo'he
聚氧乙烯脂肪醇醚,ju'yang'yi'xi'zhi'fang'chun'mi
聚氧乙烯脂肪酸酯,ju'yang'yi'xi'zhi'fang'suan'zhi
剧药,ju'yao
聚乙絺醉,ju'yi'chi'zui
聚乙醇酸,ju'yi'chun'suan
聚异丁烯,ju'yi'ding'xi
聚异丁烯类压敏胶,ju'yi'ding'xi'lei'ya'min'jiao
聚乙二醇,ju'yi'er'chun
聚乙二醇类,ju'yi'er'chun'lei
聚乙烯,ju'yi'xi
聚乙烯比咯烷酮,ju'yi'xi'bi'ge'wan'tong
聚乙烯吡咯烷酮,ju'yi'xi'bi'luo'wan'tong
聚乙烯醇,ju'yi'xi'chun
聚乙烯缩丁醛,ju'yi'xi'suo'ding'quan
聚乙烯缩甲乙醛,ju'yi'xi'suo'jia'yi'quan
枸橼酸盐,ju'yuan'suan'yan
绝对生物利用度,jue'dui'sheng'wu'li'yong'du
绝对致死剂量,jue'dui'zhi'si'ji'liang
菌落形成单位,jun'luo'xing'cheng'dan'wei
均匀分散,jun'yun'fen'san
均匀设计,jun'yun'she'ji
菌株选育,jun'zhu'xuan'yu
卡波姆,ka'bo'mu
卡波普,ka'bo'pu
抗毒素,kang'du'su
抗菌谱,kang'jun'pu
抗粘着剂,kang'nian'zhuo'ji
抗生素,kang'sheng'su
抗体,kang'ti
抗体滴度,kang'ti'di'du
抗血清,kang'xue'qing
抗氧剂,kang'yang'ji
抗药性,kang'yao'xing
抗原,kang'yuan
抗粘剂,kang'zhan'ji
抗张强度,kang'zhang'qiang'du
考察报告,kao'cha'bao'gao
克当量,ke'dang'liang
克当量数,ke'dang'liang'shu
壳多糖,ke'duo'tang
克分子,ke'fen'zi
客分子,ke'fen'zi
克分子分数,ke'fen'zi'fen'shu
克分子量,ke'fen'zi'liang
克分子浓度,ke'fen'zi'nong'du
壳聚糖,ke'ju'tang
可可豆脂,ke'ke'dou'zhi
可控性,ke'kong'xing
克劳修斯克拉珀龙方程,ke'lao'xiu'si'ke'la'po'long'fang'cheng
颗粒剂,ke'li'ji
颗粒剂类,ke'li'ji'lei
颗粒密度,ke'li'mi'du
可溶颗粒剂,ke'rong'ke'li'ji
可溶性,ke'rong'xing
可溶性液体,ke'rong'xing'ye'ti
可压性淀粉,ke'ya'xing'dian'fen
克原子,ke'yuan'zi
空气悬浮法,kong'qi'xuan'fu'fa
空缺稳定理论,kong'que'wen'ding'li'lun
控释胶囊,kong'shi'jiao'nang
控释胶囊剂,kong'shi'jiao'nang'ji
控释颗粒剂,kong'shi'ke'li'ji
控释膜,kong'shi'mo
控释膜剂,kong'shi'mo'ji
控释片,kong'shi'pian
控释贴剂,kong'shi'tie'ji
控释小丸,kong'shi'xiao'wan
控释制剂,kong'shi'zhi'ji
空调净化系统,kong'tiao'jing'hua'xi'tong
空调器,kong'tiao'qi
空隙比,kong'xi'bi
空隙率,kong'xi'lv
空心胶囊,kong'xin'jiao'nang
控制区洗涤,kong'zhi'qu'xi'di
控制释药,kong'zhi'shi'yao
口服,kou'fu
口服定时择时给药系统,kou'fu'ding'shi'ze'shi'gei'yao'xi'tong
口服定位释药系统,kou'fu'ding'wei'shi'yao'xi'tong
口服给药,kou'fu'gei'yao
口服结肠定位释药系统,kou'fu'jie'chang'ding'wei'shi'yao'xi'tong
口服片,kou'fu'pian
口服普通片,kou'fu'pu'tong'pian
口服药品,kou'fu'yao'pin
口服液,kou'fu'ye
口服制剂,kou'fu'zhi'ji
口含片,kou'han'pian
口颊片,kou'jia'pian
口腔崩解片,kou'qiang'beng'jie'pian
口腔内给药,kou'qiang'nei'gei'yao
口腔片,kou'qiang'pian
口腔贴片,kou'qiang'tie'pian
库尔特计数法,ku'er'te'ji'shu'fa
跨距,kua'ju
快速耐受,kuai'su'nai'shou
快速膨胀技术,kuai'su'peng'zhang'ji'shu
快粘力,kuai'zhan'li
扩散,kuo'san
扩散混合,kuo'san'hun'he
扩散系数,kuo'san'xi'shu
拉封,la'feng
拉曼,la'man
拉乌尔定律,la'wu'er'ding'lv
类毒素,lei'du'su
类固醇停药综合征,lei'gu'chun'ting'yao'zong'he'zheng
累积分布,lei'ji'fen'bu
累积尿排泄曲线,lei'ji'niao'pai'xie'qu'xian
累加效应,lei'jia'xiao'ying
类脂质体,lei'zhi'zhi'ti
冷藏,leng'cang
冷冻,leng'dong
冷冻干燥,leng'dong'gan'zao
冷冻干燥法,leng'dong'gan'zao'fa
冷却,leng'que
冷溶法,leng'rong'fa
粒层,li'ceng
粒度,li'du
粒度测定方法,li'du'ce'ding'fang'fa
粒度分布,li'du'fen'bu
理论依据,li'lun'yi'ju
理论综述,li'lun'zong'shu
离心法,li'xin'fa
利用度,li'yong'du
离子,li'zi
粒子大小,li'zi'da'xiao
粒子带电,li'zi'dai'dian
粒子间,li'zi'jian
粒子间机械镶嵌,li'zi'jian'ji'xie'xiang'qian
离子交换法,li'zi'jiao'huan'fa
离子交换色谱法,li'zi'jiao'huan'se'pu'fa
离子交换树脂,li'zi'jiao'huan'shu'zhi
粒子径,li'zi'jing
离子强度,li'zi'qiang'du
离子渗透法,li'zi'shen'tou'fa
离子型,li'zi'xing
离子状态,li'zi'zhuang'tai
连续相,lian'xu'xiang
凉暗处保存,liang'an'chu'bao'cun
谅解备忘录,liang'jie'bei'wang'lu
两相分散系统,liang'xiang'fen'san'xi'tong
两相交替加入法,liang'xiang'jiao'ti'jia'ru'fa
两性化合物,liang'xing'hua'he'wu
两性离子型,liang'xing'li'zi'xing
量子药理学,liang'zi'yao'li'xue
疗效,liao'xiao
疗效肯定,liao'xiao'ken'ding
疗效确切,liao'xiao'que'qie
裂片,lie'pian
邻苯二甲酸醋酸纤维素,lin'ben'er'jia'suan'cu'suan'xian'wei'su
临床前安全性研究,lin'chuang'qian'an'quan'xing'yan'jiu
临床试验,lin'chuang'shi'yan
临床文献,lin'chuang'wen'xian
临床研究,lin'chuang'yan'jiu
临床药剂学,lin'chuang'yao'ji'xue
临床药理学,lin'chuang'yao'li'xue
临床药学,lin'chuang'yao'xue
临床应用,lin'chuang'ying'yong
临界胶束浓度,lin'jie'jiao'shu'nong'du
临界速度,lin'jie'su'du
临界相对湿度,lin'jie'xiang'dui'shi'du
磷酸二鲸蜡脂,lin'suan'er'jing'la'zhi
磷酸葡萄糖脱氢酶,lin'suan'pu'tao'tang'tuo'qing'mei
磷酸盐,lin'suan'yan
磷脂,lin'zhi
磷脂酸,lin'zhi'suan
磷脂酰丝氨酸,lin'zhi'xian'si'an'suan
零级反应,ling'ji'fan'ying
流变学,liu'bian'xue
流变学性质,liu'bian'xue'xing'zhi
流出速度,liu'chu'su'du
硫代硫酸钠,liu'dai'liu'suan'na
流动曲线,liu'dong'qu'xian
流动性,liu'dong'xing
流动性缓冲剂,liu'dong'xing'huan'chong'ji
流化,liu'hua
流化床包衣法,liu'hua'chuang'bao'yi'fa
流浸膏剂,liu'jin'gao'ji
流能磨,liu'neng'mo
硫酸钙,liu'suan'gai
硫酸化物,liu'suan'hua'wu
留样观察法,liu'yang'guan'cha'fa
漏槽,lou'cao
漏槽状态,lou'cao'zhuang'tai
卤化物,lu'hua'wu
卵黄,luan'huang
卵磷脂,luan'lin'zhi
铝箔聚乙烯复合物,lv'bo'ju'yi'xi'fu'he'wu
铝盖,lv'gai
滤过,lv'guo
滤过器,lv'guo'qi
滤过性水溶性,lv'guo'xing'shui'rong'xing
滤过装置,lv'guo'zhuang'zhi
氯化钠等渗当量法,lv'hua'na'deng'shen'dang'liang'fa
绿脓杆菌,lv'nong'gan'jun
铝皂,lv'zao
麻点,ma'dian
麻醉性药品,ma'zui'xing'yao'pin
麻醉药品,ma'zui'yao'pin
脉冲式给药系统,mai'chong'shi'gei'yao'xi'tong
脉冲式给药系统制剂,mai'chong'shi'gei'yao'xi'tong'zhi'ji
脉冲释药,mai'chong'shi'yao
卖泽,mai'ze
卖泽聚氧乙烯脂肪酸醋,mai'ze'ju'yang'yi'xi'zhi'fang'suan'cu
埋植剂,mai'zhi'ji
埋植制剂,mai'zhi'zhi'ji
慢冻法,man'dong'fa
慢通道,man'tong'dao
慢性毒性实验,man'xing'du'xing'shi'yan
毛细管,mao'xi'guan
毛细管电泳,mao'xi'guan'dian'yong
毛细管状,mao'xi'guan'zhuang
酶,mei
霉败问题,mei'bai'wen'ti
美国国家处方集,mei'guo'guo'jia'chu'fang'ji
美国联邦法规,mei'guo'lian'bang'fa'gui
美国食品药品管理局,mei'guo'shi'pin'yao'pin'guan'li'ju
美国药典,mei'guo'yao'dian
霉菌数,mei'jun'shu
每瓶总揿次,mei'ping'zong'qin'ci
每揿主药含量,mei'qin'zhu'yao'han'liang
没食子酸及其酯,mei'shi'zi'suan'ji'qi'zhi
酶原,mei'yuan
门静脉,men'jing'mai
蜜丸,mi'wan
面积差异,mian'ji'cha'yi
面积基准,mian'ji'ji'zhun
免疫纳米球,mian'yi'na'mi'qiu
免疫抑制剂,mian'yi'yi'zhi'ji
免疫原性,mian'yi'yuan'xing
免疫增强剂,mian'yi'zeng'qiang'ji
免疫脂质体,mian'yi'zhi'zhi'ti
棉子油,mian'zi'you
灭菌,mie'jun
灭菌处理,mie'jun'chu'li
灭菌混悬液,mie'jun'hun'xuan'ye
灭菌技术,mie'jun'ji'shu
灭菌溶液,mie'jun'rong'ye
灭菌乳浊液,mie'jun'ru'zhuo'ye
灭菌条件,mie'jun'tiao'jian
灭菌要求,mie'jun'yao'qiu
灭菌注射用水,mie'jun'zhu'she'yong'shui
敏感性,min'gan'xing
敏感脂质体,min'gan'zhi'zhi'ti
敏化作用,min'hua'zuo'yong
民族药,min'zu'yao
明胶,ming'jiao
摩尔,mo'er
摩尔分数浓度,mo'er'fen'shu'nong'du
摩尔分子体积,mo'er'fen'zi'ti'ji
摩尔浓度,mo'er'nong'du
膜剂,mo'ji
膜剂类,mo'ji'lei
默克索引,mo'ke'suo'yin
膜控释型,mo'kong'shi'xing
膜孔转运,mo'kong'zhuan'yun
模型颗粒,mo'xing'ke'li
模印片,mo'yin'pian
膜载体,mo'zai'ti
膜状制剂,mo'zhuang'zhi'ji
目视检查法,mu'shi'jian'cha'fa
拇指实验,mu'zhi'shi'yan
纳米粒,na'mi'li
纳米囊,na'mi'nang
纳米球,na'mi'qiu
纳米乳,na'mi'ru
纳米脂质体,na'mi'zhi'zhi'ti
耐热性,nai're'xing
耐湿耐水性,nai'shi'nai'shui'xing
耐受性,nai'shou'xing
耐酸性,nai'suan'xing
耐压容器,nai'ya'rong'qi
耐药性,nai'yao'xing
难溶性药物,nan'rong'xing'yao'wu
囊材,nang'cai
囊泡,nang'pao
囊心物,nang'xin'wu
脑部靶向释药,nao'bu'ba'xiang'shi'yao
脑部位前体药物,nao'bu'wei'qian'ti'yao'wu
脑磷脂,nao'lin'zhi
闹钟,nao'zhong
内毒素,nei'du'su
内服,nei'fu
内服散剂,nei'fu'san'ji
内聚力,nei'ju'li
内呑,nei'tian
内相,nei'xiang
内消旋体,nei'xiao'xuan'ti
内应力,nei'ying'li
尼泊金类,ni'bo'jin'lei
泥浆汰,ni'jiang'tai
逆浓度差,ni'nong'du'cha
粘度,nian'du
粘度曲线,nian'du'qu'xian
粘度调整,nian'du'tiao'zheng
粘度系数,nian'du'xi'shu
粘附力,nian'fu'li
粘附性,nian'fu'xing
粘合剂,nian'he'ji
粘合剂层,nian'he'ji'ceng
粘胶分散型,nian'jiao'fen'san'xing
年龄差异,nian'ling'cha'yi
粘弹性,nian'tan'xing
粘性,nian'xing
粘性粉体,nian'xing'fen'ti
粘着性,nian'zhuo'xing
尿药累积量法,niao'yao'lei'ji'liang'fa
尿药浓度,niao'yao'nong'du
凝胶,ning'jiao
凝胶过滤法,ning'jiao'guo'lv'fa
凝胶剂,ning'jiao'ji
凝结,ning'jie
凝聚法,ning'ju'fa
凝聚性,ning'ju'xing
牛顿流体,niu'dun'liu'ti
牛顿粘度定律,niu'dun'nian'du'ding'lv
牛磺双氢褐霉素钠,niu'huang'shuang'qing'he'mei'su'na
浓度,nong'du
浓度差,nong'du'cha
浓度梯度,nong'du'ti'du
浓芳香水剂,nong'fang'xiang'shui'ji
浓煎剂,nong'jian'ji
浓配法,nong'pei'fa
浓缩丸,nong'suo'wan
排列模型,pai'lie'mo'xing
排泄,pai'xie
泡沫剂,pao'mo'ji
泡沫状细流状,pao'mo'zhuang'xi'liu'zhuang
泡囊,pao'nang
抛射剂,pao'she'ji
泡腾崩解剂,pao'teng'beng'jie'ji
泡腾颗粒剂,pao'teng'ke'li'ji
泡腾片,pao'teng'pian
泡腾性冲剂,pao'teng'xing'chong'ji
配位数,pei'wei'shu
配伍禁忌,pei'wu'jin'ji
配液,pei'ye
喷出总量,pen'chu'zong'liang
喷射速率,pen'she'su'lv
喷雾干燥法,pen'wu'gan'zao'fa
喷雾干燥冷结法,pen'wu'gan'zao'leng'jie'fa
喷雾剂,pen'wu'ji
喷雾凝结法,pen'wu'ning'jie'fa
喷雾器,pen'wu'qi
硼酸,peng'suan
硼酸盐,peng'suan'yan
皮肤代谢抑制剂,pi'fu'dai'xie'yi'zhi'ji
皮肤接触,pi'fu'jie'chu
皮肤粘膜,pi'fu'nian'mo
皮肤湿度,pi'fu'shi'du
皮肤温度,pi'fu'wen'du
批号批次编码系统,pi'hao'pi'ci'bian'ma'xi'tong
批记录待包装品校正,pi'ji'lu'dai'bao'zhuang'pin'jiao'zheng
批量生产分批生产,pi'liang'sheng'chan'fen'pi'sheng'chan
皮内注射,pi'nei'zhu'she
皮下注射,pi'xia'zhu'she
皮下注射用片,pi'xia'zhu'she'yong'pian
片剂,pian'ji
片剂的包衣,pian'ji'de'bao'yi
片剂类,pian'ji'lei
片剂硬度,pian'ji'ying'du
片剂制备,pian'ji'zhi'bei
片重差异,pian'zhong'cha'yi
频率分布,pin'lv'fen'bu
平衡溶解度,ping'heng'rong'jie'du
平衡水分,ping'heng'shui'fen
评价,ping'jia
平平加,ping'ping'jia
破裂,po'lie
普郎尼克,pu'lang'ni'ke
普良尼克,pu'liang'ni'ke
普流罗尼,pu'liu'luo'ni
葡糖环糊精,pu'tang'huan'hu'jing
普通,pu'tong
普通处方,pu'tong'chu'fang
普通片,pu'tong'pian
普通乳,pu'tong'ru
普通散剂,pu'tong'san'ji
普通制剂,pu'tong'zhi'ji
起草,qi'cao
气流式粉碎机,qi'liu'shi'fen'sui'ji
气凝胶,qi'ning'jiao
起泡,qi'pao
起泡剂,qi'pao'ji
气溶胶,qi'rong'jiao
气体反溶剂技术,qi'ti'fan'rong'ji'ji'shu
气体分散型,qi'ti'fen'san'xing
气体分析,qi'ti'fen'xi
气体剂型,qi'ti'ji'xing
气体透过法,qi'ti'tou'guo'fa
气体吸附法,qi'ti'xi'fu'fa
气雾剂,qi'wu'ji
汽压法,qi'ya'fa
企业识别形象,qi'ye'shi'bie'xing'xiang
起浊,qi'zhuo
潜溶,qian'rong
潜溶剂,qian'rong'ji
前体,qian'ti
前体药物,qian'ti'yao'wu
前药,qian'yao
羟苯酯类,qiang'ben'zhi'lei
羟丙基淀粉,qiang'bing'ji'dian'fen
羟丙基环糊精,qiang'bing'ji'huan'hu'jing
羟丙基甲基纤维素,qiang'bing'ji'jia'ji'xian'wei'su
羟丙基纤维素,qiang'bing'ji'xian'wei'su
羟丙甲丙烯酸甲酯,qiang'bing'jia'bing'xi'suan'jia'zhi
羟丙甲基纤维素,qiang'bing'jia'ji'xian'wei'su
羟丙甲基纤维素酞酸酯,qiang'bing'jia'ji'xian'wei'su'tai'suan'zhi
羟丙甲纤维素,qiang'bing'jia'xian'wei'su
羟丙甲纤维素酸酯,qiang'bing'jia'xian'wei'su'suan'zhi
羟丙甲纤维素酞酸醋,qiang'bing'jia'xian'wei'su'tai'suan'cu
羟丙甲纤维酸酯,qiang'bing'jia'xian'wei'suan'zhi
羟丙纤维素,qiang'bing'xian'wei'su
腔道给药,qiang'dao'gei'yao
强化试验,qiang'hua'shi'yan
羟基乙酸,qiang'ji'yi'suan
羟基乙烯共聚物,qiang'ji'yi'xi'gong'ju'wu
羟甲基泛粉钠,qiang'jia'ji'fan'fen'na
羟甲基纤维素,qiang'jia'ji'xian'wei'su
羟甲基纤维素钠,qiang'jia'ji'xian'wei'su'na
羟甲基纤维素酞酸酯,qiang'jia'ji'xian'wei'su'tai'suan'zhi
强氧化剂,qiang'yang'hua'ji
羟乙基淀粉,qiang'yi'ji'dian'fen
羟乙基纤维素,qiang'yi'ji'xian'wei'su
鞘内注射,qiao'nei'zhu'she
切力,qie'li
切速率,qie'su'lv
亲水胶,qin'shui'jiao
亲水亲油基团,qin'shui'qin'you'ji'tuan
亲水亲油平衡值,qin'shui'qin'you'ping'heng'zhi
亲水性药物,qin'shui'xing'yao'wu
氢化,qing'hua
氢化植物油,qing'hua'zhi'wu'you
氢氧化钙,qing'yang'hua'gai
氢氧化铝,qing'yang'hua'lv
氢氧化镁,qing'yang'hua'mei
氢氧化锌,qing'yang'hua'xin
琼脂,qiong'zhi
球磨机,qiu'mo'ji
球形度,qiu'xing'du
去除,qu'chu
去除方法,qu'chu'fang'fa
去离子水,qu'li'zi'shui
去污剂,qu'wu'ji
去污作用,qu'wu'zuo'yong
去脂质化,qu'zhi'zhi'hua
全程化,quan'cheng'hua
全反式,quan'fan'shi
全粉末片,quan'fen'mo'pian
全酶,quan'mei
全面质量管理,quan'mian'zhi'liang'guan'li
全身作用,quan'shen'zuo'yong
确定名称,que'ding'ming'cheng
缺陷作用水平,que'xian'zuo'yong'shui'ping
染色法,ran'se'fa
热烙法,re'lao'fa
热力学不稳定体系,re'li'xue'bu'wen'ding'ti'xi
热力学不稳定系统,re'li'xue'bu'wen'ding'xi'tong
热力学不稳定性,re'li'xue'bu'wen'ding'xing
热力学稳定体系,re'li'xue'wen'ding'ti'xi
热敏脂质体,re'min'zhi'zhi'ti
热溶法,re'rong'fa
热原,re'yuan
热原检查,re'yuan'jian'cha
人工合成,ren'gong'he'cheng
人工合成品,ren'gong'he'cheng'pin
人工免疫,ren'gong'mian'yi
人种药理学,ren'zhong'yao'li'xue
日本药局方,ri'ben'yao'ju'fang
日内瓦命名法,ri'nei'wa'ming'ming'fa
融变时限,rong'bian'shi'xian
熔程,rong'cheng
溶出度,rong'chu'du
溶出速度,rong'chu'su'du
溶出速率,rong'chu'su'lv
融合,rong'he
熔和法,rong'he'fa
溶化性,rong'hua'xing
溶剂,rong'ji
溶剂法,rong'ji'fa
溶剂非溶剂法,rong'ji'fei'rong'ji'fa
溶剂化物,rong'ji'hua'wu
