爱即彼之集谛因,ai'ji'bi'zhi'ji'di'yin
与诸天女相倚喜,yu'zhu'tian'nv'xiang'yi'xi
怨敌复次成亲友,yuan'di'fu'ci'cheng'qin'you
怨敌烈火厌欲乐,yuan'di'lie'huo'yan'yu'le
远离此等得闲暇,yuan'li'ci'deng'de'xian'xia
圆满趋向有海岸,yuan'man'qu'xiang'you'hai'an
月亮亦炽冬日寒,yue'liang'yi'chi'dong'ri'han
赞毁世间此八法,zan'hui'shi'jian'ci'ba'fa
造罪之人乃至于,zao'zui'zhi'ren'nai'zhi'yu
斩断手足与耳鼻,zhan'duan'shou'zu'yu'er'bi
辗转反侧出哀号,zhan'zhuan'fan'ce'chu'ai'hao
照耀一切世间界,zhao'yao'yi'qie'shi'jian'jie
真实摄此三学中,zhen'shi'she'ci'san'xue'zhong
证得涅槃之善资,zheng'de'nie'pan'zhi'shan'zi
证得无惧无罪果,zheng'de'wu'ju'wu'zui'guo
正见正命与正勤,zheng'jian'zheng'ming'yu'zheng'qin
正念择法及精进,zheng'nian'ze'fa'ji'jing'jin
正念正定与正语,zheng'nian'zheng'ding'yu'zheng'yu
正业正思八圣道,zheng'ye'zheng'si'ba'sheng'dao
知财动摇无实质,zhi'cai'dong'yao'wu'shi'zhi
执持邪见转旁生,zhi'chi'xie'jian'zhuan'pang'sheng
知伏六根诸对境,zhi'fu'liu'gen'zhu'dui'jing
知世法者得与失,zhi'shi'fa'zhe'de'yu'shi
知余财物无实义,zhi'yu'cai'wu'wu'shi'yi
智者痛苦如财多,zhi'zhe'tong'ku'ru'cai'duo
智者于此求不得,zhi'zhe'yu'ci'qiu'bu'de
知足乃为最殊胜,zhi'zu'nai'wei'zui'shu'sheng
知足无财真富翁,zhi'zu'wu'cai'zhen'fu'weng
众合号叫无间等,zhong'he'hao'jiao'wu'jian'deng
终究不净无实质,zhong'jiu'bu'jing'wu'shi'zhi
终为七烈日所焚,zhong'wei'qi'lie'ri'suo'fen
周身缠绕利荆棘,zhou'shen'chan'rao'li'jing'ji
诸不善果之种子,zhu'bu'shan'guo'zhi'zhong'zi
诸地狱中恒受苦,zhu'di'yu'zhong'heng'shou'ku
诸饿鬼界春季时,zhu'e'gui'jie'chun'ji'shi
诸求胜法如末者,zhu'qiu'sheng'fa'ru'mo'zhe
转成痴哑野蛮人,zhuan'cheng'chi'ya'ye'man'ren
转生为人造罪业,zhuan'sheng'wei'ren'zao'zui'ye
自在忆念所属身,zi'zai'yi'nian'suo'shu'shen
纵然曾为转轮王,zong'ran'ceng'wei'zhuan'lun'wang
纵然长期于天界,zong'ran'chang'qi'yu'tian'jie
纵然未证正等觉,zong'ran'wei'zheng'zheng'deng'jue
纵是比丘难尽行,zong'shi'bi'qiu'nan'jin'xing
纵未即时如刀砍,zong'wei'ji'shi'ru'dao'kan
族貌闻虽具全士,zu'mao'wen'sui'ju'quan'shi
阻塞解脱城市门,zu'se'jie'tuo'cheng'shi'men
罪业之果必现前,zui'ye'zhi'guo'bi'xian'qian
作母女儿姊妹想,zuo'mu'nv'er'zi'mei'xiang
