爱和谊保险公司,ai'he'yi'bao'xian'gong'si
社会保险基金,she'hui'bao'xian'ji'jin
社会保险事业管理局,she'hui'bao'xian'shi'ye'guan'li'ju
社会保险政策,she'hui'bao'xian'zheng'ce
社会保障,she'hui'bao'zhang
社会发放,she'hui'fa'fang
社会化发放,she'hui'hua'fa'fang
社会统筹账户,she'hui'tong'chou'zhang'hu
社会养老保险费,she'hui'yang'lao'bao'xian'fei
设立申请书,she'li'shen'qing'shu
社平工资,she'ping'gong'zi
社区劳动保障,she'qu'lao'dong'bao'zhang
升高费率,sheng'gao'fei'lv
省劳动保障厅,sheng'lao'dong'bao'zhang'ting
生命人寿保险股份有限公司,sheng'ming'ren'shou'bao'xian'gu'fen'you'xian'gong'si
生死两全保险,sheng'si'liang'quan'bao'xian
生育保险,sheng'yu'bao'xian
生育保险费,sheng'yu'bao'xian'fei
生育保险统筹基金,sheng'yu'bao'xian'tong'chou'ji'jin
生育保险制度,sheng'yu'bao'xian'zhi'du
实际缴费工资平均指数,shi'ji'jiao'fei'gong'zi'ping'jun'zhi'shu
实际缴费年限,shi'ji'jiao'fei'nian'xian
实际赔付率,shi'ji'pei'fu'lv
实际全损,shi'ji'quan'sun
施救费用,shi'jiu'fei'yong
市劳动保障局,shi'lao'dong'bao'zhang'ju
实收,shi'shou
实收保费,shi'shou'bao'fei
视同缴费,shi'tong'jiao'fei
视同缴费工龄,shi'tong'jiao'fei'gong'ling
视同缴费年限,shi'tong'jiao'fei'nian'xian
失业保险,shi'ye'bao'xian
失业保险费,shi'ye'bao'xian'fei
失业保险统筹基金,shi'ye'bao'xian'tong'chou'ji'jin
失业保险制度,shi'ye'bao'xian'zhi'du
事业单位退休人员,shi'ye'dan'wei'tui'xiu'ren'yuan
事业单位退休职工,shi'ye'dan'wei'tui'xiu'zhi'gong
失业专项资金,shi'ye'zhuan'xiang'zi'jin
事业组织,shi'ye'zu'zhi
首创安泰人寿保险有限公司,shou'chuang'an'tai'ren'shou'bao'xian'you'xian'gong'si
手续费,shou'xu'fei
手续费率,shou'xu'fei'lv
手续费台帐,shou'xu'fei'tai'zhang
受益权,shou'yi'quan
受益人,shou'yi'ren
双重价值条款,shuang'chong'jia'zhi'tiao'kuan
双方事故,shuang'fang'shi'gu
水利管理业,shui'li'guan'li'ye
水利环境和公司管理业,shui'li'huan'jing'he'gong'si'guan'li'ye
水力系统,shui'li'xi'tong
水险,shui'xian
水渍险,shui'zi'xian
死亡伤残赔偿限额,si'wang'shang'can'pei'chang'xian'e
私营企业投保,si'ying'qi'ye'tou'bao
私营投保,si'ying'tou'bao
损失率,sun'shi'lv
索赔,suo'pei
索赔申请书,suo'pei'shen'qing'shu
所属性质,suo'shu'xing'zhi
泰安,tai'an
太保,tai'bao
泰康人寿保险股份有限公司,tai'kang'ren'shou'bao'xian'gu'fen'you'xian'gong'si
太平保险,tai'ping'bao'xian
太平保险股份有限公司,tai'ping'bao'xian'gu'fen'you'xian'gong'si
太平保险有限公司,tai'ping'bao'xian'you'xian'gong'si
太平人寿保险有限公司,tai'ping'ren'shou'bao'xian'you'xian'gong'si
太平洋安泰,tai'ping'yang'an'tai
太平洋安泰人寿保险有限公司,tai'ping'yang'an'tai'ren'shou'bao'xian'you'xian'gong'si
太平洋财产,tai'ping'yang'cai'chan
太平洋财产保险公司,tai'ping'yang'cai'chan'bao'xian'gong'si
太平洋财险,tai'ping'yang'cai'xian
太平养老保险股份有限公司,tai'ping'yang'lao'bao'xian'gu'fen'you'xian'gong'si
太平洋寿险,tai'ping'yang'shou'xian
特别费用,te'bie'fei'yong
特别约定,te'bie'yue'ding
特困企业,te'kun'qi'ye
特殊风险保险,te'shu'feng'xian'bao'xian
特殊工种,te'shu'gong'zhong
特殊批改,te'shu'pi'gai
提车保险车种,ti'che'bao'xian'che'zhong
提供交通事故责任认定书,ti'gong'jiao'tong'shi'gu'ze'ren'ren'ding'shu
提前退休,ti'qian'tui'xiu
提前退休人员,ti'qian'tui'xiu'ren'yuan
提前退休职工,ti'qian'tui'xiu'zhi'gong
天安保险,tian'an'bao'xian
天安保险股份有限公司,tian'an'bao'xian'gu'fen'you'xian'gong'si
天保人寿,tian'bao'ren'shou
天平车险,tian'ping'che'xian
天平汽车保险股份有限公司,tian'ping'qi'che'bao'xian'gu'fen'you'xian'gong'si
调济金,tiao'ji'jin
调资,tiao'zi
同比增幅,tong'bi'zeng'fu
统筹基金,tong'chou'ji'jin
统筹内,tong'chou'nei
统筹外,tong'chou'wai
同等责任,tong'deng'ze'ren
统计快报,tong'ji'kuai'bao
统计日期,tong'ji'ri'qi
同时投保,tong'shi'tou'bao
投保程序,tou'bao'cheng'xu
投保单,tou'bao'dan
投保流程,tou'bao'liu'cheng
投保人,tou'bao'ren
突堤式,tu'di'shi
途耗,tu'hao
团体人身保险,tuan'ti'ren'shen'bao'xian
团体人身意外伤害保险,tuan'ti'ren'shen'yi'wai'shang'hai'bao'xian
团体人员意外险,tuan'ti'ren'yuan'yi'wai'xian
团体险,tuan'ti'xian
团意险,tuan'yi'xian
退保,tui'bao
推定全损,tui'ding'quan'sun
退休费,tui'xiu'fei
退休金,tui'xiu'jin
退休年金保险,tui'xiu'nian'jin'bao'xian
退休年龄,tui'xiu'nian'ling
退休人员,tui'xiu'ren'yuan
退休人员死亡,tui'xiu'ren'yuan'si'wang
退休申报,tui'xiu'shen'bao
退休审批,tui'xiu'shen'pi
退休证年检,tui'xiu'zheng'nian'jian
退休职工年检,tui'xiu'zhi'gong'nian'jian
退职,tui'zhi
退职人员,tui'zhi'ren'yuan
托管中心,tuo'guan'zhong'xin
拖欠保险费,tuo'qian'bao'xian'fei
拖欠工伤保险费,tuo'qian'gong'shang'bao'xian'fei
拖欠生育保险费,tuo'qian'sheng'yu'bao'xian'fei
拖欠失业保险费,tuo'qian'shi'ye'bao'xian'fei
拖欠养老保险费,tuo'qian'yang'lao'bao'xian'fei
拖欠养老金,tuo'qian'yang'lao'jin
拖欠医疗保险费,tuo'qian'yi'liao'bao'xian'fei
外国保险公司,wai'guo'bao'xian'gong'si
外商企业投保,wai'shang'qi'ye'tou'bao
外资独资保险公司,wai'zi'du'zi'bao'xian'gong'si
外资企业投保,wai'zi'qi'ye'tou'bao
未到期责任准备金,wei'dao'qi'ze'ren'zhun'bei'jin
委付,wei'fu
未核保,wei'he'bao
未决笔数,wei'jue'bi'shu
未决金额,wei'jue'jin'e
未决赔款,wei'jue'pei'kuan
未决赔款准备金,wei'jue'pei'kuan'zhun'bei'jin
卫生社会保障和福利,wei'sheng'she'hui'bao'zhang'he'fu'li
危险单位,wei'xian'dan'wei
危险管理,wei'xian'guan'li
危险事故,wei'xian'shi'gu
危险因素,wei'xian'yin'su
卫星传输服务,wei'xing'chuan'shu'fu'wu
违约责任,wei'yue'ze'ren
五保合一,wu'bao'he'yi
无民事行为能力,wu'min'shi'xing'wei'neng'li
无赔退费,wu'pei'tui'fei
无赔优待,wu'pei'you'dai
无效果无报酬,wu'xiao'guo'wu'bao'chou
无责,wu'ze
无责代赔,wu'ze'dai'pei
无责任财产损失赔偿限额,wu'ze'ren'cai'chan'sun'shi'pei'chang'xian'e
无责任死亡伤残赔偿限额,wu'ze'ren'si'wang'shang'can'pei'chang'xian'e
无责任医疗费用赔偿限额,wu'ze'ren'yi'liao'fei'yong'pei'chang'xian'e
下岗服务中心,xia'gang'fu'wu'zhong'xin
下岗失业人员,xia'gang'shi'ye'ren'yuan
下岗中心,xia'gang'zhong'xin
现代财产,xian'dai'cai'chan
现代财产保险有限公司,xian'dai'cai'chan'bao'xian'you'xian'gong'si
现代财险,xian'dai'cai'xian
限额赔偿方式,xian'e'pei'chang'fang'shi
现金价值,xian'jin'jia'zhi
现金赔款,xian'jin'pei'kuan
险种类别,xian'zhong'lei'bie
险种名称,xian'zhong'ming'cheng
香港民安保险有限公司,xiang'gang'min'an'bao'xian'you'xian'gong'si
相关社保业务,xiang'guan'she'bao'ye'wu
相互给付,xiang'hu'ji'fu
校园方责任险,xiao'yuan'fang'ze'ren'xian
协保,xie'bao
协商处理,xie'shang'chu'li
信诚人寿,xin'cheng'ren'shou
信诚人寿保险有限公司,xin'cheng'ren'shou'bao'xian'you'xian'gong'si
新光人寿,xin'guang'ren'shou
新华人寿保险股份有限公司,xin'hua'ren'shou'bao'xian'gu'fen'you'xian'gong'si
信诺人寿,xin'nuo'ren'shou
新闻出版业,xin'wen'chu'ban'ye
信息传输计算机服务和软件业,xin'xi'chuan'shu'ji'suan'ji'fu'wu'he'ruan'jian'ye
信用保险,xin'yong'bao'xian
信用人寿保险,xin'yong'ren'shou'bao'xian
幸福人寿,xing'fu'ren'shou
幸福人寿保险股份有限公司,xing'fu'ren'shou'bao'xian'gu'fen'you'xian'gong'si
续保,xu'bao
延五补差,yan'wu'bu'cha
阳光财产保险股份有限公司,yang'guang'cai'chan'bao'xian'gu'fen'you'xian'gong'si
阳光财险,yang'guang'cai'xian
阳光农险,yang'guang'nong'xian
阳光农业相互保险公司,yang'guang'nong'ye'xiang'hu'bao'xian'gong'si
养老保险,yang'lao'bao'xian
养老保险费,yang'lao'bao'xian'fei
养老保险统筹基金,yang'lao'bao'xian'tong'chou'ji'jin
养老保险制度,yang'lao'bao'xian'zhi'du
养老金,yang'lao'jin
养老金保险,yang'lao'jin'bao'xian
养老金月标准,yang'lao'jin'yue'biao'zhun
养老金专项补助,yang'lao'jin'zhuan'xiang'bu'zhu
养殖业保险,yang'zhi'ye'bao'xian
业务报表,ye'wu'bao'biao
业务结清,ye'wu'jie'qing
业务员,ye'wu'yuan
一般赔付率,yi'ban'pei'fu'lv
一次性支付,yi'ci'xing'zhi'fu
溢额再保险,yi'e'zai'bao'xian
已核保,yi'he'bao
已决案均赔款,yi'jue'an'jun'pei'kuan
已决笔数,yi'jue'bi'shu
已决金额,yi'jue'jin'e
已决赔款,yi'jue'pei'kuan
医疗保险,yi'liao'bao'xian
医疗保险费,yi'liao'bao'xian'fei
医疗保险统筹基金,yi'liao'bao'xian'tong'chou'ji'jin
医疗保险制度,yi'liao'bao'xian'zhi'du
医疗费用赔偿限额,yi'liao'fei'yong'pei'chang'xian'e
医疗责任保险,yi'liao'ze'ren'bao'xian
已满期保费,yi'man'qi'bao'fei
一切险,yi'qie'xian
意外伤害保险,yi'wai'shang'hai'bao'xian
意外险,yi'wai'xian
已赚保费,yi'zhuan'bao'fei
已赚赔付率,yi'zhuan'pei'fu'lv
因病退休,yin'bing'tui'xiu
银行代发,yin'hang'dai'fa
银行代发工资,yin'hang'dai'fa'gong'zi
银行代发退休费,yin'hang'dai'fa'tui'xiu'fei
银行发放,yin'hang'fa'fang
银行业,yin'hang'ye
英大泰和人寿保险股份有限公司,ying'da'tai'he'ren'shou'bao'xian'gu'fen'you'xian'gong'si
应收,ying'shou
应收保费,ying'shou'bao'fei
营业费用率,ying'ye'fei'yong'lv
营业机动车险,ying'ye'ji'dong'che'xian
营业统计报表,ying'ye'tong'ji'bao'biao
永安保险,yong'an'bao'xian
永安财产,yong'an'cai'chan
永安财产保险股份有限公司,yong'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
永诚财产保险股份有限公司,yong'cheng'cai'chan'bao'xian'gu'fen'you'xian'gong'si
友邦保险,you'bang'bao'xian
预期寿命,yu'qi'shou'ming
预约分保,yu'yue'fen'bao
预约再保险,yu'yue'zai'bao'xian
月标准,yue'biao'zhun
运费保险,yun'fei'bao'xian
运输服务业,yun'shu'fu'wu'ye
运输险,yun'shu'xian
再保险,zai'bao'xian
再保险保障,zai'bao'xian'bao'zhang
再保险集团,zai'bao'xian'ji'tuan
再保险业务管理规定,zai'bao'xian'ye'wu'guan'li'gui'ding
在岗职工月平均工资,zai'gang'zhi'gong'yue'ping'jun'gong'zi
在职死亡,zai'zhi'si'wang
在职职工,zai'zhi'zhi'gong
在职职工死亡,zai'zhi'zhi'gong'si'wang
暂保单,zan'bao'dan
责任保险,ze'ren'bao'xian
责任免除,ze'ren'mian'chu
责任险,ze'ren'xian
责任限额,ze'ren'xian'e
责任准备金,ze'ren'zhun'bei'jin
增加费率,zeng'jia'fei'lv
增加退休费,zeng'jia'tui'xiu'fei
增加退休金,zeng'jia'tui'xiu'jin
增值条款,zeng'zhi'tiao'kuan
增资,zeng'zi
栈桥式,zhan'qiao'shi
展业费,zhan'ye'fei
帐户余额,zhang'hu'yu'e
招商信诺人寿保险有限公司,zhao'shang'xin'nuo'ren'shou'bao'xian'you'xian'gong'si
折旧率,zhe'jiu'lv
折扣率,zhe'kou'lv
折扣系数,zhe'kou'xi'shu
折前保费,zhe'qian'bao'fei
政策性破产,zheng'ce'xing'po'chan
正德人寿保险股份有限公司,zheng'de'ren'shou'bao'xian'gu'fen'you'xian'gong'si
政府机关,zheng'fu'ji'guan
征缴,zheng'jiao
征缴任务,zheng'jiao'ren'wu
征缴社保欠费,zheng'jiao'she'bao'qian'fei
证券业,zheng'quan'ye
争议处理,zheng'yi'chu'li
政治风险保险,zheng'zhi'feng'xian'bao'xian
支公司,zhi'gong'si
直接业务,zhi'jie'ye'wu
滞纳金,zhi'na'jin
滞纳金部分,zhi'na'jin'bu'fen
知识产权服务,zhi'shi'chan'quan'fu'wu
指数化,zhi'shu'hua
指数化月平均工资,zhi'shu'hua'yue'ping'jun'gong'zi
指数化月平均缴费工资,zhi'shu'hua'yue'ping'jun'jiao'fei'gong'zi
质押,zhi'ya
职业责任保险,zhi'ye'ze'ren'bao'xian
职业责任险,zhi'ye'ze'ren'xian
职业中介服务,zhi'ye'zhong'jie'fu'wu
中安财险,zhong'an'cai'xian
中保康联人寿保险有限公司,zhong'bao'kang'lian'ren'shou'bao'xian'you'xian'gong'si
终保时间,zhong'bao'shi'jian
钟表珠宝维修,zhong'biao'zhu'bao'wei'xiu
仲裁,zhong'cai
忠诚保证保险,zhong'cheng'bao'zheng'bao'xian
中德安联人寿,zhong'de'an'lian'ren'shou
中德安联人寿保险有限公司,zhong'de'an'lian'ren'shou'bao'xian'you'xian'gong'si
中断缴费,zhong'duan'jiao'fei
中断缴费工龄,zhong'duan'jiao'fei'gong'ling
中断缴费年限,zhong'duan'jiao'fei'nian'xian
中断缴费年月,zhong'duan'jiao'fei'nian'yue
中断缴费期间,zhong'duan'jiao'fei'qi'jian
中断缴费时段,zhong'duan'jiao'fei'shi'duan
中国保监会,zhong'guo'bao'jian'hui
中国保险行业协会,zhong'guo'bao'xian'hang'ye'xie'hui
中国保险监督管理委员会,zhong'guo'bao'xian'jian'du'guan'li'wei'yuan'hui
中国保险控股有限公司,zhong'guo'bao'xian'kong'gu'you'xian'gong'si
中国保险学会,zhong'guo'bao'xian'xue'hui
中国财产再保险股份有限公司,zhong'guo'cai'chan'zai'bao'xian'gu'fen'you'xian'gong'si
中国出口信用保险公司,zhong'guo'chu'kou'xin'yong'bao'xian'gong'si
中国大地财产保险股份有限公司,zhong'guo'da'di'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国平安,zhong'guo'ping'an
中国平安保险集团股份有限公司,zhong'guo'ping'an'bao'xian'ji'tuan'gu'fen'you'xian'gong'si
中国平安财产保险股份有限公司,zhong'guo'ping'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国平安人寿保险股份有限公司,zhong'guo'ping'an'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人保,zhong'guo'ren'bao
中国人保控股公司,zhong'guo'ren'bao'kong'gu'gong'si
中国人保资产管理有限公司,zhong'guo'ren'bao'zi'chan'guan'li'you'xian'gong'si
中国人民保险公司,zhong'guo'ren'min'bao'xian'gong'si
中国人民财产保险股份有限公司,zhong'guo'ren'min'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国人民健康保险股份有限公司,zhong'guo'ren'min'jian'kang'bao'xian'gu'fen'you'xian'gong'si
中国人民人寿保险股份有限公司,zhong'guo'ren'min'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人寿,zhong'guo'ren'shou
中国人寿保险股份有限公司,zhong'guo'ren'shou'bao'xian'gu'fen'you'xian'gong'si
中国人寿保险集团公司,zhong'guo'ren'shou'bao'xian'ji'tuan'gong'si
中国人寿财产保险公司,zhong'guo'ren'shou'cai'chan'bao'xian'gong'si
中国人寿财产保险股份有限公司,zhong'guo'ren'shou'cai'chan'bao'xian'gu'fen'you'xian'gong'si
中国人寿养老保险股份有限公司,zhong'guo'ren'shou'yang'lao'bao'xian'gu'fen'you'xian'gong'si
中国人寿再保险股份有限公司,zhong'guo'ren'shou'zai'bao'xian'gu'fen'you'xian'gong'si
中国人寿资产管理公司,zhong'guo'ren'shou'zi'chan'guan'li'gong'si
中国太平洋,zhong'guo'tai'ping'yang
中国太平洋保险集团有限公司,zhong'guo'tai'ping'yang'bao'xian'ji'tuan'you'xian'gong'si
中国再保险,zhong'guo'zai'bao'xian
中国再保险集团公司,zhong'guo'zai'bao'xian'ji'tuan'gong'si
中航三星人寿保险有限公司,zhong'hang'san'xing'ren'shou'bao'xian'you'xian'gong'si
中宏人寿保险有限公司,zhong'hong'ren'shou'bao'xian'you'xian'gong'si
中华联合,zhong'hua'lian'he
中华联合保险,zhong'hua'lian'he'bao'xian
中华联合财产保险公司,zhong'hua'lian'he'cai'chan'bao'xian'gong'si
中金财险,zhong'jin'cai'xian
中美大都会保险,zhong'mei'da'du'hui'bao'xian
中美大都会人寿保险有限公司,zhong'mei'da'du'hui'ren'shou'bao'xian'you'xian'gong'si
终身寿险,zhong'shen'shou'xian
中外合资保险公司,zhong'wai'he'zi'bao'xian'gong'si
中小学团体平安保险,zhong'xiao'xue'tuan'ti'ping'an'bao'xian
中意保险,zhong'yi'bao'xian
中意财产,zhong'yi'cai'chan
中意财产保险有限公司,zhong'yi'cai'chan'bao'xian'you'xian'gong'si
中意人寿保险有限公司,zhong'yi'ren'shou'bao'xian'you'xian'gong'si
中银保险,zhong'yin'bao'xian
中银保险有限公司,zhong'yin'bao'xian'you'xian'gong'si
中英保险,zhong'ying'bao'xian
中英人寿保险有限公司,zhong'ying'ren'shou'bao'xian'you'xian'gong'si
中再资产管理股份有限公司,zhong'zai'zi'chan'guan'li'gu'fen'you'xian'gong'si
终止保险关系,zhong'zhi'bao'xian'guan'xi
终止工伤保险关系,zhong'zhi'gong'shang'bao'xian'guan'xi
终止生育保险关系,zhong'zhi'sheng'yu'bao'xian'guan'xi
终止失业保险关系,zhong'zhi'shi'ye'bao'xian'guan'xi
终止投保,zhong'zhi'tou'bao
终止养老保险关系,zhong'zhi'yang'lao'bao'xian'guan'xi
种植业保险,zhong'zhi'ye'bao'xian
终止医疗保险关系,zhong'zhi'yi'liao'bao'xian'guan'xi
注册会计师责任险,zhu'ce'kuai'ji'shi'ze'ren'xian
逐年递减,zhu'nian'di'jian
逐年递增,zhu'nian'di'zeng
转分保,zhuan'fen'bao
专项资金,zhuan'xiang'zi'jin
追偿,zhui'chang
资本金,zi'ben'jin
资本密集,zi'ben'mi'ji
自动垫交保险费贷款,zi'dong'dian'jiao'bao'xian'fei'dai'kuan
自动核保,zi'dong'he'bao
自留比例,zi'liu'bi'li
自留额,zi'liu'e
自留风险,zi'liu'feng'xian
子女教育保险,zi'nv'jiao'yu'bao'xian
自然纯保费,zi'ran'chun'bao'fei
自杀条款,zi'sha'tiao'kuan
自收自支事业单位,zi'shou'zi'zhi'shi'ye'dan'wei
自行车,zi'xing'che
自愿保险,zi'yuan'bao'xian
总保费,zong'bao'fei
总成,zong'cheng
综合费用率,zong'he'fei'yong'lv
综合赔付率,zong'he'pei'fu'lv
足额发放,zu'e'fa'fang
足额缴费,zu'e'jiao'fei
足额支付,zu'e'zhi'fu
组织机构代码证,zu'zhi'ji'gou'dai'ma'zheng
最大补偿原则,zui'da'bu'chang'yuan'ze
最大诚信,zui'da'cheng'xin
最大诚信原则,zui'da'cheng'xin'yuan'ze
